[0:00:00.00]-[0:00:02.00]  ¿Le falla el sal?
[0:54:06.76]-[0:54:19.48]  eso ya, la madre madrugaba algo a ir al campo y luego a las 2 ó 3 horas, iba al huerto, me voy al huerto pronto
[0:54:19.48]-[0:54:27.48]  y cuando despierte, ya a lo mejor se fue la madre y empezó a llorar, pero bueno, eso no
[0:54:27.48]-[0:54:32.48]  los niños, los pobres
[0:54:32.48]-[0:54:34.48]  y cuando iban a nacer un niño, ¿qué hacían?
[0:54:34.48]-[0:54:39.48]  todo, porque nacía, al médico, si se le iba a avisar al médico
[0:54:39.48]-[0:54:41.48]  ¿cómo ha dicho que? ¿que no?
[0:54:41.48]-[0:54:46.48]  pues que, al médico, como ahora, médico, porque daba luz y ya estaba vía
[0:54:46.48]-[0:54:49.48]  ¿y había médico en el pueblo?
[0:54:49.48]-[0:54:51.48]  sí, en el pueblo sí había médico
[0:54:51.48]-[0:54:55.48]  ha habido siempre médico, ahora no, pero siempre ha habido médico
[0:54:55.48]-[0:54:58.48]  ahora viene de Cuenca a la Ormeda y aquí
[0:54:58.48]-[0:55:01.48]  pero antes siempre hemos tenido médicos
[0:55:01.48]-[0:55:04.48]  es que había mucho personal
[0:55:04.48]-[0:55:07.48]  que estaba todo el pueblo, muchachos y...
[0:55:07.48]-[0:55:09.48]  ¿entonces habiendo médico aquí no avisaban?
[0:55:09.48]-[0:55:11.48]  nada
[0:55:11.48]-[0:55:13.48]  daba luz y ya estaba vía
[0:55:13.48]-[0:55:16.48]  se ponía mal y no tenían que llamar, venía
[0:55:16.48]-[0:55:19.48]  pero si no, no porque costaba las perras y no había
[0:55:19.48]-[0:55:21.48]  y tenías que pagar
[0:55:23.48]-[0:55:25.48]  ¿y no estaban igualados aquí?
[0:55:25.48]-[0:55:27.48]  sí, eso sí, igualados sí
[0:55:27.48]-[0:55:29.48]  ¿y aquí se hicieron la costumbre de la iguala?
[0:55:29.48]-[0:55:31.48]  sí, igual así
[0:55:31.48]-[0:55:33.48]  ¿y nos puedes contar cómo era?
[0:55:33.48]-[0:55:36.48]  antes una panera de trigo, a lo mejor por matrimonio
[0:55:36.48]-[0:55:40.48]  ¿entonces cuando fueran a nacer un niño con la iguala no valía?
[0:55:40.48]-[0:55:43.48]  no, tenías que pagar
[0:55:43.48]-[0:55:45.48]  pero para eso estaba la iguala ¿no?
[0:55:45.48]-[0:55:49.48]  pero si estabas malo que estabas constipado o lo que puedas
[0:55:49.48]-[0:55:53.48]  eso pasaba la iguala si estabas malo y lo llamabas
[0:55:53.48]-[0:55:56.48]  pero si daba salud y tenías que llamar al médico
[0:55:56.48]-[0:55:58.48]  tenías que llamar al médico
[0:55:58.48]-[0:56:01.48]  ya tenías que pagar lo que fuera, no mucho sería tampoco
[0:56:01.48]-[0:56:04.48]  pero no había, y la gente...
[0:56:04.48]-[0:56:08.48]  ahora si se ponía malo, si claro tenías que llamar al médico
[0:56:08.48]-[0:56:12.48]  pero antes como ahora a Cuenca
[0:56:12.48]-[0:56:15.48]  a que te vean el médico, a ver cómo viene, a ver cómo va
[0:56:15.48]-[0:56:17.48]  o viniera como viniera
[0:56:17.48]-[0:56:21.48]  me acuerdo yo que la familia de mi abuelo
[0:56:21.48]-[0:56:25.48]  dio a luz dos, pues allí nos llamaron al médico
[0:56:25.48]-[0:56:29.48]  porque no lo necesitaría, si lo necesitaba
[0:56:29.48]-[0:56:32.48]  pero que no, dio a luz dos la mujer
[0:56:32.48]-[0:56:34.48]  sin embargo la de...
[0:56:34.48]-[0:56:38.48]  por di la luz y claro, y se murió
[0:56:38.48]-[0:56:41.48]  se murió, si la llamaron al médico pero...
[0:56:41.48]-[0:56:45.48]  y estaba preparada, que para el primero estuvo malísima
[0:56:45.48]-[0:56:48.48]  y le dijo que tenía que ir a Cuenca
[0:56:48.48]-[0:56:50.48]  y no fue
[0:56:50.48]-[0:56:52.48]  y naceré el crío y moriré
[0:56:52.48]-[0:56:56.48]  ella murió, el crío vive
[0:56:56.48]-[0:57:00.48]  que tendrá ya 45 años, ¿no crees que tiene?
[0:57:00.48]-[0:57:04.48]  y la madre murió, nada más nacer
[0:57:04.48]-[0:57:09.48]  se salvó y si la ponía al médico
[0:57:09.48]-[0:57:11.48]  pero nada, pero no
[0:57:11.48]-[0:57:15.48]  le dijeron que fuera a Cuenca a dar a luz
[0:57:15.48]-[0:57:18.48]  porque no se dio bien el primer...
[0:57:18.48]-[0:57:20.48]  que el palapriero
[0:57:20.48]-[0:57:23.48]  pero dijo que no iba y que no iba
[0:57:23.48]-[0:57:25.48]  se murió, nada más nacer
[0:57:25.48]-[0:57:27.48]  nada más nacer, murió ella
[0:57:27.48]-[0:57:30.48]  eso es
[0:57:30.48]-[0:57:32.48]  que para el primero estuvo mal
[0:57:32.48]-[0:57:34.48]  ¿y no había una mujer aquí?
[0:57:34.48]-[0:57:36.48]  no, aquí no había nada
[0:57:36.48]-[0:57:38.48]  ¿y practicantes también?
[0:57:38.48]-[0:57:40.48]  no, no médico, no médico nada más
[0:57:40.48]-[0:57:43.48]  no había como ahora practicantes
[0:57:43.48]-[0:57:46.48]  ¿y la iguala entonces cuánto era?
[0:57:46.48]-[0:57:48.48]  una fanega de trigo
[0:57:48.48]-[0:57:49.48]  ¿al año?
[0:57:49.48]-[0:57:52.48]  al año, por matrimonio
[0:57:52.48]-[0:57:56.48]  si había quien, claro si tenía la familia un costal de trigo
[0:57:56.48]-[0:58:00.48]  a lo mejor si tenía dos o tres muchachos
[0:58:00.48]-[0:58:02.48]  pues ya era el costal de trigo
[0:58:02.48]-[0:58:06.48]  no sé cuánto llevaban por hijo
[0:58:06.48]-[0:58:08.48]  ¿y te atendía bien el médico?
[0:58:08.48]-[0:58:10.48]  sí, venía todos los días
[0:58:10.48]-[0:58:13.48]  cuando estaba un enfermo
[0:58:13.48]-[0:58:14.48]  ¿sabías?
[0:58:14.48]-[0:58:16.48]  el médico salía a hacer su...
[0:58:16.48]-[0:58:18.48]  la visita
[0:58:18.48]-[0:58:20.48]  si estaba malo venía todos los días
[0:58:20.48]-[0:58:22.48]  y decía pues ya está bien
[0:58:22.48]-[0:58:24.48]  pues ya no venía
[0:58:24.48]-[0:58:26.48]  y lo llamabas todos los días
[0:58:26.48]-[0:58:28.48]  ¿y sabían esos médicos o no?
[0:58:28.48]-[0:58:29.48]  sí
[0:58:29.48]-[0:58:30.48]  sabían
[0:58:30.48]-[0:58:34.48]  sabían, o sea más de cuatro se han muerto
[0:58:34.48]-[0:58:38.48]  porque no se fiaba y se morían
[0:58:38.48]-[0:58:41.48]  de lo que era de pulmonía
[0:58:41.48]-[0:58:43.48]  de eso se le había...
[0:58:43.48]-[0:58:45.48]  se murieron por aquí pollo de bebé
[0:58:45.48]-[0:58:50.48]  un año, pues en poco tiempo se murieron 22
[0:58:50.48]-[0:58:52.48]  entre pequeños y grandes
[0:58:52.48]-[0:58:53.48]  ¿en un año?
[0:58:53.48]-[0:58:55.48]  muy alojados sí
[0:58:55.48]-[0:58:57.48]  ¿cuándo después de la guerra?
[0:58:57.48]-[0:58:59.48]  hmmm
[0:58:59.48]-[0:59:01.48]  no sé, ¿cuántos?
[0:59:01.48]-[0:59:03.48]  no sé, se morían bastante
[0:59:03.48]-[0:59:04.48]  se murieron muchos
[0:59:04.48]-[0:59:07.48]  es que de pulmonía se morían
[0:59:07.48]-[0:59:09.48]  se fiaba o no
[0:59:09.48]-[0:59:10.48]  ¿no había medicina?
[0:59:10.48]-[0:59:11.48]  sí
[0:59:11.48]-[0:59:13.48]  pero que no se...
[0:59:13.48]-[0:59:15.48]  que le pedía a él que no era nada
[0:59:15.48]-[0:59:18.48]  es que venía y decía po, no tiene nada
[0:59:18.48]-[0:59:22.48]  pero luego tal como la de porfirio
[0:59:22.48]-[0:59:24.48]  dijo que no tenía nada
[0:59:24.48]-[0:59:28.48]  y luego después lo llamó que venía el de la braguerita
[0:59:28.48]-[0:59:29.48]  y le dijo a la mujer
[0:59:29.48]-[0:59:30.48]  y dice, ¿está la chica mala?
[0:59:30.48]-[0:59:32.48]  y dice, pues llama a Almey
[0:59:32.48]-[0:59:33.48]  y dice, está ahí y que no tiene nada
[0:59:33.48]-[0:59:37.48]  y dice, tú vete y llamalo y le dices que he dicho que venga
[0:59:37.48]-[0:59:39.48]  y que la escute
[0:59:39.48]-[0:59:42.48]  la escutó y dice, deje de estar al sitio
[0:59:42.48]-[0:59:43.48]  si no la escuta no lo sabe
[0:59:43.48]-[0:59:45.48]  aquella noche se había muerto
[0:59:45.48]-[0:59:46.48]  aquella noche se había muerto
[0:59:46.48]-[0:59:48.48]  estaba...
[0:59:49.48]-[0:59:51.48]  estaba ya casi en lo último
[0:59:51.48]-[0:59:53.48]  le puso dos indicciones
[0:59:53.48]-[0:59:55.48]  en una dos
[0:59:55.48]-[0:59:57.48]  de filicilina
[0:59:57.48]-[0:59:59.48]  a otro día a las cuatro de la mañana
[0:59:59.48]-[1:00:01.48]  y dice, bueno, está la chiquita allá vien
[1:00:01.48]-[1:00:04.48]  ya vive y ya está en Valencia
[1:00:04.48]-[1:00:06.48]  pero si no, aquella noche ya había muerto
[1:00:06.48]-[1:00:07.48]  pero así...
[1:00:07.48]-[1:00:09.48]  así todos
[1:00:09.48]-[1:00:11.48]  sí, así mira, la chiquita
[1:00:11.48]-[1:00:13.48]  tres años de tiene
[1:00:13.48]-[1:00:15.48]  tenía, cuando se le murió
[1:00:15.48]-[1:00:16.48]  dice que no tenía nada
[1:00:16.48]-[1:00:19.48]  y fue al médico a Pinchales y se le quedó muerta
[1:00:19.48]-[1:00:21.48]  al médico, al boticario
[1:00:21.48]-[1:00:23.48]  al vino
[1:00:23.48]-[1:00:25.48]  todo eso se fue al pueblo de Murías
[1:00:25.48]-[1:00:27.48]  ahí en donde está el...
[1:00:27.48]-[1:00:29.48]  el bar
[1:00:29.48]-[1:00:33.48]  pues ahí estuvieron haciendo eso para...
[1:00:33.48]-[1:00:35.48]  un museo
[1:00:35.48]-[1:00:37.48]  que estuvo de museo primero
[1:00:37.48]-[1:00:40.48]  ahí sacaron de las ruinas varias monedas
[1:00:40.48]-[1:00:43.48]  y ahí estaba todo lo que había ahí metido
[1:00:43.48]-[1:00:45.48]  pues estuvo preparándolo
[1:00:45.48]-[1:00:48.48]  y claro, fue en el invierno y coció frío
[1:00:48.48]-[1:00:50.48]  había corriente
[1:00:50.48]-[1:00:52.48]  y nada, que la dio
[1:00:52.48]-[1:00:54.48]  dijo que no tenía nada, no tenía nada
[1:00:54.48]-[1:00:56.48]  no tenía nada, pero pues se murió
[1:00:56.48]-[1:00:58.48]  y así, mi chico
[1:00:58.48]-[1:01:00.48]  se pulmonía
[1:01:00.48]-[1:01:02.48]  se pulmonía, se le iban todos, todos
[1:01:02.48]-[1:01:04.48]  no sé, se suyaba
[1:01:04.48]-[1:01:07.48]  no porque no había medicina para curarlo
[1:01:07.48]-[1:01:10.48]  y a lo mejor si...
[1:01:10.48]-[1:01:12.48]  si él se está en lo suyo
[1:01:12.48]-[1:01:13.48]  no se levanta
[1:01:13.48]-[1:01:15.48]  pero ya va en los ovejos
[1:01:15.48]-[1:01:17.48]  tenía ganado y no estaba más que...
[1:01:17.48]-[1:01:19.48]  él es el ganado
[1:01:19.48]-[1:01:21.48]  y sí que entendía que sí sabía, sí
[1:01:21.48]-[1:01:23.48]  que era buen médico, pero...
[1:01:23.48]-[1:01:25.48]  ¿qué es estar en los ovejos?
[1:01:25.48]-[1:01:27.48]  pues que tenía ganado
[1:01:27.48]-[1:01:29.48]  que tenía ganado
[1:01:32.48]-[1:01:34.48]  no, pero como dicen los ovejos...
[1:01:34.48]-[1:01:37.48]  que estaba en los ovejos más que en las personas
[1:01:37.48]-[1:01:39.48]  ah, ya, ya
[1:01:39.48]-[1:01:41.48]  estaba más en los ovejos
[1:01:41.48]-[1:01:43.48]  más que en los enfermos
[1:01:43.48]-[1:01:51.48]  y aquí dice que hay un museo de romana
[1:01:51.48]-[1:01:53.48]  aquí había
[1:01:53.48]-[1:01:57.48]  porque hemos visto en el mapa que había unas fermas romanas aquí
[1:01:57.48]-[1:01:59.48]  sí, sí
[1:01:59.48]-[1:02:03.48]  ¿hay alguna fuente de agua caliente aquí en el pueblo?
[1:02:03.48]-[1:02:05.48]  no, no hay nada
[1:02:05.48]-[1:02:07.48]  entonces, ¿qué es lo que hay? ¿un museo?
[1:02:07.48]-[1:02:10.48]  había museo, es que está en la ruina
[1:02:10.48]-[1:02:12.48]  ¿habéis ido a la ruina?
[1:02:12.48]-[1:02:15.48]  no, porque ahí no está bien
[1:02:15.48]-[1:02:17.48]  ahí no está bien, ahí los perdí
[1:02:17.48]-[1:02:19.48]  ¿ves? ¿vais a la ruina?
[1:02:22.48]-[1:02:24.48]  y veis, nosotros no nos...
[1:02:24.48]-[1:02:27.48]  no nos parece las ruinas nada
[1:02:27.48]-[1:02:29.48]  porque las tenemos vistas
[1:02:29.48]-[1:02:32.48]  sí, pero todo el que viene es sin vida
[1:02:34.48]-[1:02:37.48]  hay una pasilla, está la fuente
[1:02:37.48]-[1:02:39.48]  sí, hay una fuente que...
[1:02:39.48]-[1:02:42.48]  bueno, ¿qué ha habido que había pueblo?
[1:02:42.48]-[1:02:44.48]  porque arriba hay un campanario
[1:02:44.48]-[1:02:48.48]  que está, se nota, que había campanas y todo eso
[1:02:48.48]-[1:02:50.48]  la gran valeria, pues eso está...
[1:02:50.48]-[1:02:52.48]  sí, hombre
[1:02:52.48]-[1:02:54.48]  pero está un poco más lejos de aquí, ¿no?
[1:02:54.48]-[1:02:55.48]  nada
[1:02:55.48]-[1:02:57.48]  ¿cómo lejos? está ahí cuatro pasos
[1:02:57.48]-[1:02:59.48]  puede estar a los 200 metros
[1:02:59.48]-[1:03:01.48]  pues cerca
[1:03:01.48]-[1:03:02.48]  del pueblo
[1:03:02.48]-[1:03:03.48]  ¿la ciudad romana?
[1:03:03.48]-[1:03:04.48]  sí, la ciudad romana
[1:03:04.48]-[1:03:06.48]  nos han dicho que vienen muchos autobuses
[1:03:06.48]-[1:03:08.48]  sí, uuu, autobuses
[1:03:08.48]-[1:03:09.48]  hemos pasado 15
[1:03:09.48]-[1:03:10.48]  ¿en la plaza?
[1:03:10.48]-[1:03:13.48]  en la plaza 12 y allá abajo en la...
[1:03:13.48]-[1:03:15.48]  en la báscula, otros tres
[1:03:15.48]-[1:03:18.48]  caray, ¿y se van dando desde la plaza al pueblo?
[1:03:18.48]-[1:03:21.48]  así, va, pues, si van dando
[1:03:21.48]-[1:03:24.48]  con el coche pueden salir hasta la huida al pueblo
[1:03:24.48]-[1:03:26.48]  luego hay una cadera para que no pasen los coches
[1:03:26.48]-[1:03:28.48]  ¿y está abierto a cualquier hora?
[1:03:28.48]-[1:03:30.48]  sí, está abierto
[1:03:30.48]-[1:03:32.48]  no sé si está la...
[1:03:32.48]-[1:03:34.48]  hoy sí que es domingo
[1:03:34.48]-[1:03:35.48]  ah, sí, sí
[1:03:35.48]-[1:03:39.48]  hoy está la guardia, para que haya una guardia
[1:03:39.48]-[1:03:41.48]  y lo enseña
[1:03:41.48]-[1:03:43.48]  una vajeta, la montaña
[1:03:43.48]-[1:03:46.48]  el joven también, y lo enseña
[1:03:46.48]-[1:03:48.48]  y así me...
[1:03:48.48]-[1:03:50.48]  me enseña
[1:03:52.48]-[1:03:53.48]  que interesante, ¿no?
[1:03:53.48]-[1:03:55.48]  y esto antes no se le prestaba atención
[1:03:55.48]-[1:03:56.48]  pues no
[1:03:56.48]-[1:03:57.48]  porque no...
[1:03:57.48]-[1:03:59.48]  ¿por qué cuando se descubrió?
[1:03:59.48]-[1:04:01.48]  ¿por qué...?
[1:04:01.48]-[1:04:03.48]  pues...
[1:04:03.48]-[1:04:06.48]  no sé, antes no hacían caso de todo eso
[1:04:06.48]-[1:04:08.48]  están los enjibes
[1:04:08.48]-[1:04:11.48]  no está más que he descubierto los enjibes y estaban descubiertos
[1:04:11.48]-[1:04:14.48]  pero lo que hay abajo en las habitaciones esas no
[1:04:14.48]-[1:04:17.48]  estaba... se labraba todo y se sembraba
[1:04:17.48]-[1:04:20.48]  pero ahora lo que hay
[1:04:20.48]-[1:04:23.48]  antes de llegar al cementerio, que dicen que es el palacio
[1:04:23.48]-[1:04:26.48]  pues eso, ahí
[1:04:26.48]-[1:04:27.48]  estaban...
[1:04:27.48]-[1:04:29.48]  bien que había una era y...
[1:04:29.48]-[1:04:33.48]  aquí ya van la mía del trigo y se va todo eso
[1:04:33.48]-[1:04:36.48]  así que lo que pasa es que luego ya han quitado las tierras
[1:04:36.48]-[1:04:38.48]  y lo han descubierto
[1:04:38.48]-[1:04:41.48]  y por aquel lado están las termas esas
[1:04:41.48]-[1:04:45.48]  y por el frente a la puerta del cementerio hay otras habitaciones
[1:04:45.48]-[1:04:48.48]  que eso dicen que era la plaza del mercado
[1:04:48.48]-[1:04:49.48]  o que casca
[1:04:49.48]-[1:04:52.48]  será verdad, claro, cuando lo hice
[1:04:52.48]-[1:04:54.48]  pero bueno, eso ya no lo sabemos
[1:04:54.48]-[1:04:56.48]  eso no lo sabemos ni
[1:04:56.48]-[1:04:58.48]  pero ahí sí, ya verás
[1:04:58.48]-[1:05:00.48]  sí, pues te ha habido...
[1:05:00.48]-[1:05:04.48]  subís para Santa Catalina, que decimos que hay un muro
[1:05:04.48]-[1:05:06.48]  subís arriba y ya verás
[1:05:06.48]-[1:05:08.48]  han hecho dos miradores
[1:05:08.48]-[1:05:11.48]  y en uno está la piedra del esquilidrio
[1:05:11.48]-[1:05:13.48]  que esa igual
[1:05:13.48]-[1:05:15.48]  la ves y dices, ¿cómo se tendrá?
[1:05:15.48]-[1:05:18.48]  la ves que está bastante grande
[1:05:18.48]-[1:05:20.48]  y nada
[1:05:20.48]-[1:05:22.48]  yo me da miedo de subir
[1:05:22.48]-[1:05:24.48]  suben muchos y sacan fotografías
[1:05:24.48]-[1:05:28.48]  caballeros en ellas, pero yo no
[1:05:28.48]-[1:05:30.48]  yo me da miedo, eso sí
[1:05:30.48]-[1:05:34.48]  y en tiempos los motos
[1:05:34.48]-[1:05:37.48]  con palancas a ver si la tierra va abajo
[1:05:37.48]-[1:05:39.48]  ni nada
[1:05:39.48]-[1:05:43.48]  y tiene un borde
[1:05:43.48]-[1:05:45.48]  si acaso así de ancho
[1:05:45.48]-[1:05:47.48]  que parece que está
[1:05:47.48]-[1:05:49.48]  como si estuviera
[1:05:49.48]-[1:05:50.48]  soldado
[1:05:50.48]-[1:05:52.48]  como si estuviera soldado
[1:05:52.48]-[1:05:54.48]  pero no está
[1:05:54.48]-[1:05:56.48]  yo no sé cómo se tiene
[1:05:56.48]-[1:05:58.48]  ¿para qué sirve la piedra esta?
[1:05:58.48]-[1:06:00.48]  nada, no sirve nada más
[1:06:00.48]-[1:06:02.48]  que cada como si estuviera
[1:06:02.48]-[1:06:04.48]  encima de la risca esta
[1:06:04.48]-[1:06:06.48]  esto es una risca
[1:06:06.48]-[1:06:08.48]  y está la piedra en esta condición
[1:06:08.48]-[1:06:10.48]  bueno, en venta los dos sitios
[1:06:10.48]-[1:06:12.48]  pero aquí ya se padecen antes
[1:06:12.48]-[1:06:14.48]  y está en la misma vida
[1:06:14.48]-[1:06:16.48]  así
[1:06:16.48]-[1:06:18.48]  que dices, están de esta forma
[1:06:18.48]-[1:06:21.48]  si la apretan de allí va
[1:06:21.48]-[1:06:23.48]  no la han tirado
[1:06:23.48]-[1:06:25.48]  con palancas los motos
[1:06:25.48]-[1:06:27.48]  ¿pero es una cosa de los romanos?
[1:06:27.48]-[1:06:29.48]  no, no es una cosa de los romanos
[1:06:29.48]-[1:06:31.48]  que no saben ahí cómo
[1:06:31.48]-[1:06:33.48]  cómo está la piedra ahí
[1:06:33.48]-[1:06:35.48]  porque una cosa dice
[1:06:35.48]-[1:06:37.48]  pues es que se ha desplomado de arriba
[1:06:37.48]-[1:06:39.48]  no se puede desplomar
[1:06:39.48]-[1:06:41.48]  pero eso yo que sé
[1:06:41.48]-[1:06:43.48]  la naturaleza
[1:06:43.48]-[1:06:45.48]  eso cómo está, no se sabe
[1:06:45.48]-[1:06:47.48]  y hay
[1:06:47.48]-[1:06:49.48]  hay quien le dé
[1:06:49.48]-[1:06:51.48]  padre y madre a eso
[1:06:51.48]-[1:06:53.48]  nada más que la piedra está ahí
[1:06:53.48]-[1:06:55.48]  a ver
[1:06:55.48]-[1:06:57.48]  por qué
[1:06:57.48]-[1:06:59.48]  ¿y usted se ha atrevido a subir a la piedra?
[1:06:59.48]-[1:07:01.48]  si, yo no
[1:07:01.48]-[1:07:03.48]  yo no, yo no
[1:07:03.48]-[1:07:05.48]  yo siento pocas cosas
[1:07:05.48]-[1:07:07.48]  pero el sobrino mío sí que estuvimos
[1:07:07.48]-[1:07:09.48]  me cago
[1:07:09.48]-[1:07:11.48]  y le dijeron
[1:07:11.48]-[1:07:13.48]  estamos por allí por la piedra avanzando
[1:07:13.48]-[1:07:15.48]  y le dijeron, hermano otra fotografía
[1:07:15.48]-[1:07:17.48]  para hacer un vídeo
[1:07:17.48]-[1:07:19.48]  y ahora
[1:07:19.48]-[1:07:21.48]  y ahora
[1:07:21.48]-[1:07:23.48]  ¿se le recuerdan algún cuento?
[1:07:23.48]-[1:07:25.48]  ¿qué les contarán sus abuelos?
[1:07:25.48]-[1:07:27.48]  ¿todos sus padres?
[1:07:27.48]-[1:07:29.48]  no estarán antes para cuentos
[1:07:29.48]-[1:07:31.48]  ni cuentos, ni historias
[1:07:31.48]-[1:07:33.48]  ni romances
[1:07:33.48]-[1:07:35.48]  ¿qué?
[1:07:35.48]-[1:07:37.48]  de romances
[1:07:37.48]-[1:07:39.48]  pero no
[1:07:39.48]-[1:07:41.48]  de muchos trabajos
[1:07:41.48]-[1:07:43.48]  y muchos
[1:07:43.48]-[1:07:45.48]  ¿y no hay alguna historia
[1:07:45.48]-[1:07:47.48]  de así el pueblo?
[1:07:47.48]-[1:07:49.48]  ¿algún sucedido?
[1:07:49.48]-[1:07:51.48]  no sé
[1:07:51.48]-[1:07:53.48]  pues
[1:07:53.48]-[1:07:55.48]  ¿alguna anécdota que nos puedan contar?
[1:07:55.48]-[1:07:57.48]  ¿de alguna atracción que recuerden?
[1:07:57.48]-[1:07:59.48]  no sé
[1:07:59.48]-[1:08:01.48]  no sé
[1:08:01.48]-[1:08:03.48]  aquí en la guerra
[1:08:03.48]-[1:08:05.48]  ¿fue
[1:08:05.48]-[1:08:07.48]  tranquila la guerra?
[1:08:07.48]-[1:08:09.48]  la guerra pues pasó
[1:08:09.48]-[1:08:11.48]  en todas partes
[1:08:11.48]-[1:08:13.48]  nada más que aquí mataron o mataron
[1:08:13.48]-[1:08:15.48]  aquí sí hubo
[1:08:15.48]-[1:08:17.48]  no, no, que mataron o mataron
[1:08:17.48]-[1:08:19.48]  en la guerra mataron a los otros tres
[1:08:19.48]-[1:08:21.48]  mataron pero en el frente
[1:08:21.48]-[1:08:23.48]  en el frente sí
[1:08:23.48]-[1:08:25.48]  era de Senecas
[1:08:25.48]-[1:08:27.48]  y por...
[1:08:27.48]-[1:08:29.48]  no
[1:08:29.48]-[1:08:31.48]  de el Cermidial más
[1:08:31.48]-[1:08:33.48]  que lo del paseo y todo eso
[1:08:33.48]-[1:08:35.48]  que le daban el paseo
[1:08:35.48]-[1:08:37.48]  y los rojos
[1:08:37.48]-[1:08:39.48]  a los fascistas que decían
[1:08:39.48]-[1:08:41.48]  no, pero... y eso no
[1:08:41.48]-[1:08:43.48]  y luego
[1:08:43.48]-[1:08:45.48]  varios curas ocultos
[1:08:45.48]-[1:08:47.48]  y lo sabían por los perros
[1:08:47.48]-[1:08:49.48]  y además que cuando vinieron
[1:08:49.48]-[1:08:51.48]  no sé qué
[1:08:51.48]-[1:08:53.48]  vinieron y estaba don Pino
[1:08:53.48]-[1:08:55.48]  oculto que estaba el hombre debajo de la cama
[1:08:55.48]-[1:08:57.48]  lo cogieron
[1:08:57.48]-[1:08:59.48]  y lo llevaron a cuenta pero el hombre lo soltaron
[1:08:59.48]-[1:09:01.48]  ¿que era un cura?
[1:09:01.48]-[1:09:03.48]  era cura
[1:09:03.48]-[1:09:05.48]  pero a los aterres no les hicieron nada
[1:09:07.48]-[1:09:09.48]  eso sí, la iglesia de los santos
[1:09:09.48]-[1:09:11.48]  porque existían todos los pueblos
[1:09:11.48]-[1:09:13.48]  ah sí, les torturaron los santos
[1:09:13.48]-[1:09:15.48]  todos
[1:09:15.48]-[1:09:17.48]  era porque vinieron
[1:09:17.48]-[1:09:19.48]  ¿es gente del pueblo?
[1:09:19.48]-[1:09:21.48]  de la parrilla
[1:09:21.48]-[1:09:23.48]  un pueblo
[1:09:23.48]-[1:09:25.48]  que está
[1:09:25.48]-[1:09:27.48]  puede que esté
[1:09:27.48]-[1:09:29.48]  20
[1:09:29.48]-[1:09:31.48]  algunos kilómetros
[1:09:31.48]-[1:09:33.48]  porque está la parrilla 9
[1:09:33.48]-[1:09:35.48]  y sí, estará
[1:09:35.48]-[1:09:37.48]  a menos 10
[1:09:37.48]-[1:09:39.48]  más
[1:09:39.48]-[1:09:41.48]  no sé
[1:09:41.48]-[1:09:43.48]  porque era la parrilla de la casa arriba
[1:09:43.48]-[1:09:45.48]  y los militares ya
[1:09:45.48]-[1:09:47.48]  los metieron en la iglesia
[1:09:47.48]-[1:09:49.48]  bueno, eso fue
[1:09:49.48]-[1:09:51.48]  que venían de descanso
[1:09:51.48]-[1:09:53.48]  porque estaban en el frente
[1:09:53.48]-[1:09:55.48]  los callados
[1:09:55.48]-[1:09:57.48]  y los dejaron
[1:09:57.48]-[1:09:59.48]  los metieron en la iglesia porque no había
[1:09:59.48]-[1:10:01.48]  local para meterlos en nuestro sitio
[1:10:01.48]-[1:10:03.48]  la iglesia es grande
[1:10:03.48]-[1:10:05.48]  ahí metieron seguro que
[1:10:05.48]-[1:10:07.48]  seguro que un batallón por lo menos
[1:10:07.48]-[1:10:09.48]  de saber que a lo mejor está el vizo
[1:10:09.48]-[1:10:11.48]  con tanto cascar
[1:10:11.48]-[1:10:13.48]  el casado seco
[1:10:13.48]-[1:10:15.48]  nada más que molestar
[1:10:15.48]-[1:10:17.48]  que seguro que está seco
[1:10:17.48]-[1:10:19.48]  no, le queda
[1:10:19.48]-[1:10:21.48]  huele muy bien desde luego
[1:10:23.48]-[1:10:25.48]  no sé qué olé
[1:10:25.48]-[1:10:27.48]  los tajas que puse
[1:10:29.48]-[1:10:31.48]  ¿aquí ustedes siguen comiendo
[1:10:31.48]-[1:10:33.48]  la comida de antes?
[1:10:33.48]-[1:10:35.48]  o comen diferente?
[1:10:35.48]-[1:10:37.48]  pues ya no es como antes
[1:10:37.48]-[1:10:39.48]  ¿ustedes antes qué comían?
[1:10:39.48]-[1:10:41.48]  potaje y gachas
[1:10:41.48]-[1:10:43.48]  ¿y el potaje eran judías?
[1:10:43.48]-[1:10:45.48]  judías
[1:10:45.48]-[1:10:47.48]  la guiaba
[1:10:47.48]-[1:10:49.48]  le echabas un poco de unto, ajo
[1:10:49.48]-[1:10:51.48]  cebolla o pimentón
[1:10:51.48]-[1:10:53.48]  y la guiaba, luego le echabas
[1:10:53.48]-[1:10:55.48]  una patata y ya
[1:10:55.48]-[1:10:57.48]  el unto es la manteca, ¿no?
[1:10:57.48]-[1:10:59.48]  el unto es un poco de aceite
[1:10:59.48]-[1:11:01.48]  o sea, aquí unto no llaman a la manteca
[1:11:01.48]-[1:11:03.48]  pero al final
[1:11:03.48]-[1:11:05.48]  ¿y cuando dice unto se le quiere...?
[1:11:05.48]-[1:11:07.48]  un poco de aceite, manteca no le echaban
[1:11:07.48]-[1:11:09.48]  ¿y las vacas?
