[0:00:00.00]-[0:00:01.00]  en el año.
[0:58:17.00]-[0:58:19.00]  Bueno, yo ya no. Mi madre.
[0:58:19.00]-[0:58:21.00]  Me lo hacía.
[0:58:21.00]-[0:58:23.00]  Y el primer día te hacían a los críos
[0:58:23.00]-[0:58:25.00]  un gallito, una figurita.
[0:58:25.00]-[0:58:27.00]  Pero que sobraba algún trotito que hacías.
[0:58:27.00]-[0:58:29.00]  No, no. Una semana o dos
[0:58:29.00]-[0:58:31.00]  ahora se podía comer.
[0:58:31.00]-[0:58:33.00]  Si fuera como ahora no hubieras podido morder.
[0:58:33.00]-[0:58:35.00]  Pues te duraba que ese día...
[0:58:35.00]-[0:58:37.00]  Como no había muchos relojes en las casas,
[0:58:37.00]-[0:58:39.00]  o se escuchaba el campanario
[0:58:39.00]-[0:58:41.00]  las horas, por la pasta,
[0:58:41.00]-[0:58:43.00]  lo que tenía que estar, si dos horas,
[0:58:43.00]-[0:58:45.00]  tres, le posaron, o sea...
[0:58:45.00]-[0:58:47.00]  O se iba a la plaza a ver la hora.
[0:58:47.00]-[0:58:49.00]  Y luego empezaban, que primero lo habían
[0:58:49.00]-[0:58:51.00]  puesto ya todo trabajado,
[0:58:51.00]-[0:58:53.00]  pero tenía que tener sus horas.
[0:58:53.00]-[0:58:55.00]  Como todas las masas de estas,
[0:58:55.00]-[0:58:57.00]  que antes no había de esto rápido.
[0:58:57.00]-[0:58:59.00]  Era tal cual.
[0:58:59.00]-[0:59:01.00]  Por eso se podía comer, aunque no era tan
[0:59:01.00]-[0:59:03.00]  tierno, pero si no ahora no podías morder.
[0:59:03.00]-[0:59:05.00]  Un pan buenísimo era.
[0:59:05.00]-[0:59:07.00]  Una semana o más, sí. Y hacían grandes,
[0:59:07.00]-[0:59:09.00]  grandes panes para que no fueras...
[0:59:09.00]-[0:59:11.00]  ¿Te durabas decir que hacías el pan?
[0:59:11.00]-[0:59:13.00]  Sí, de kilo o más, sí.
[0:59:13.00]-[0:59:15.00]  Y luego hacían esto.
[0:59:15.00]-[0:59:17.00]  Y iban al horno.
[0:59:17.00]-[0:59:19.00]  Cuando ya tenían todo más adecido,
[0:59:19.00]-[0:59:21.00]  iban al horno. Y allí pues
[0:59:21.00]-[0:59:23.00]  les dejaban, pues si era la cuchilla,
[0:59:23.00]-[0:59:25.00]  lo alargaban.
[0:59:25.00]-[0:59:27.00]  Luego las rayas aquellas, quedaba igual,
[0:59:27.00]-[0:59:29.00]  tanto el pan a una raya o medio, como los de antes.
[0:59:29.00]-[0:59:31.00]  Pero esto ya iban al horno.
[0:59:31.00]-[0:59:33.00]  Con la masa, a la hora que había subido.
[0:59:33.00]-[0:59:35.00]  Miraban que tenía que estar
[0:59:35.00]-[0:59:37.00]  con una manta en la mía, que tenían siempre.
[0:59:37.00]-[0:59:39.00]  Primero un trapo,
[0:59:39.00]-[0:59:41.00]  blanco, limpio, para envolverlo.
[0:59:41.00]-[0:59:43.00]  Luego, para el calor,
[0:59:43.00]-[0:59:45.00]  una mantita cuadradita que se hacía
[0:59:45.00]-[0:59:47.00]  así, o dos, para estas cosas ya.
[0:59:47.00]-[0:59:49.00]  Y bien tapado. Y a sitios
[0:59:49.00]-[0:59:51.00]  que pudiera estar más calentito.
[0:59:51.00]-[0:59:53.00]  Subía más rápido.
[0:59:53.00]-[0:59:55.00]  Y luego ya cuando veían que la cosa,
[0:59:55.00]-[0:59:57.00]  ellos ya calculaban de siempre que lo hacían a la hora.
[0:59:57.00]-[0:59:59.00]  Y luego ya al horno.
[0:59:59.00]-[1:00:01.00]  Y como antes todos madrugaban, igual para ir a comprar
[1:00:01.00]-[1:00:03.00]  el pescado antes de las 7 de la mañana
[1:00:03.00]-[1:00:05.00]  y las cosas de las tiendas.
[1:00:05.00]-[1:00:07.00]  Y en la plaza,
[1:00:07.00]-[1:00:09.00]  mira, a las 7 de la mañana en el invierno
[1:00:09.00]-[1:00:11.00]  ¿qué hora era? Y antes de estas horas
[1:00:11.00]-[1:00:13.00]  que están adelantadas.
[1:00:13.00]-[1:00:15.00]  Que...
[1:00:15.00]-[1:00:17.00]  cambiaba todo mucho.
[1:00:17.00]-[1:00:19.00]  Yo ya no soy lo de mis padres.
[1:00:19.00]-[1:00:21.00]  Yo del 43, yo del 45.
[1:00:21.00]-[1:00:23.00]  Y hemos conocido todo esto
[1:00:23.00]-[1:00:25.00]  más vueltas.
[1:00:25.00]-[1:00:27.00]  Perdona un inciso.
[1:00:27.00]-[1:00:29.00]  Es que antes cuando hiciste esta del Deloge,
[1:00:29.00]-[1:00:31.00]  el Sereno cantaba a las horas.
[1:00:31.00]-[1:00:33.00]  Ah, también. No lo dejaba.
[1:00:33.00]-[1:00:35.00]  El Sereno,
[1:00:35.00]-[1:00:37.00]  ¡Sereno! ¡Las 3! ¡Lloviendo!
[1:00:37.00]-[1:00:39.00]  Daba el tiempo.
[1:00:39.00]-[1:00:41.00]  Sí, eso también.
[1:00:41.00]-[1:00:43.00]  ¡Sereno! ¡Las 4! ¡Buen tiempo!
[1:00:43.00]-[1:00:45.00]  Hasta que
[1:00:45.00]-[1:00:47.00]  Amotea Rodde, 150 años, 200,
[1:00:47.00]-[1:00:49.00]  pero se cantaba el Sereno
[1:00:49.00]-[1:00:51.00]  y iba con su farodillo,
[1:00:51.00]-[1:00:53.00]  como ida y vuelta
[1:00:53.00]-[1:00:55.00]  por el pueblo y se veía
[1:00:55.00]-[1:00:57.00]  una maledad. Y lo que decíamos antes,
[1:00:57.00]-[1:00:59.00]  que tenías que ir a buscar al médico, tenías que buscar al Sereno.
[1:00:59.00]-[1:01:01.00]  El Sereno, el médico no te venía
[1:01:01.00]-[1:01:03.00]  si no le acompañaba al Sereno.
[1:01:03.00]-[1:01:05.00]  Y pregonar
[1:01:05.00]-[1:01:07.00]  el Sereno con el Sereno
[1:01:07.00]-[1:01:09.00]  con la Guaziro.
[1:01:09.00]-[1:01:11.00]  La Guaziro.
[1:01:11.00]-[1:01:13.00]  La Guaziro era como la garantía de que no era mentira.
[1:01:13.00]-[1:01:15.00]  Claro. Esto lo hemos vivido.
[1:01:15.00]-[1:01:17.00]  Si el médico le daba...
[1:01:17.00]-[1:01:19.00]  le podían asaltar porque iba
[1:01:19.00]-[1:01:21.00]  con su material, no era un hombre
[1:01:21.00]-[1:01:23.00]  para ir solo por el pueblo.
[1:01:23.00]-[1:01:25.00]  Le acompañaba una autoridad.
[1:01:25.00]-[1:01:27.00]  ¿Y dónde vamos? Por la casa Polenito.
[1:01:27.00]-[1:01:29.00]  Y el Sereno se esperaba abajo
[1:01:29.00]-[1:01:31.00]  y cuando terminaba lo volvía a acompañar a su casa.
[1:01:31.00]-[1:01:33.00]  Son cosas de los pobres
[1:01:33.00]-[1:01:35.00]  pero era así.
[1:01:35.00]-[1:01:37.00]  Y se recogía a mano
[1:01:37.00]-[1:01:39.00]  el fruto. Todo.
[1:01:39.00]-[1:01:41.00]  La vendimia, sin cosa arriba,
[1:01:41.00]-[1:01:43.00]  a mano.
[1:01:43.00]-[1:01:45.00]  Con unas boletas
[1:01:45.00]-[1:01:47.00]  encima de nosotros.
[1:01:47.00]-[1:01:49.00]  Con unos dedales de aluminio
[1:01:49.00]-[1:01:51.00]  aquí y aquí.
[1:01:51.00]-[1:01:53.00]  Si no los dedos se no hubieran puesto.
[1:01:53.00]-[1:01:55.00]  Una cosa así redondita
[1:01:55.00]-[1:01:57.00]  así alargada.
[1:01:57.00]-[1:01:59.00]  Así redondita de un lado
[1:01:59.00]-[1:02:01.00]  y de otro. Y aquí al medio
[1:02:01.00]-[1:02:03.00]  iba un trocito de
[1:02:03.00]-[1:02:05.00]  anillo.
[1:02:05.00]-[1:02:07.00]  Del mismo aluminio.
[1:02:07.00]-[1:02:09.00]  Pero a la parte de abajo.
[1:02:09.00]-[1:02:11.00]  Y aquí quedaba. Te ponías
[1:02:11.00]-[1:02:13.00]  como si fuera el anillo.
[1:02:13.00]-[1:02:15.00]  Y aquí te quedaba,
[1:02:15.00]-[1:02:17.00]  aquí te salía la punta de rota.
[1:02:17.00]-[1:02:19.00]  Y aquí ahora le pusieras
[1:02:19.00]-[1:02:21.00]  dos dedos de cada mano.
[1:02:21.00]-[1:02:23.00]  Aquí pegada lleva una lengüeta de aluminio.
[1:02:23.00]-[1:02:25.00]  Un cabato cada hora.
[1:02:25.00]-[1:02:27.00]  Dale, dale.
[1:02:27.00]-[1:02:29.00]  Sí, sí, sí. A mí me gustaba más esto.
[1:02:29.00]-[1:02:31.00]  Que con las máquinas.
[1:02:31.00]-[1:02:33.00]  Lo que no se puede hacer porque es muy costoso.
[1:02:33.00]-[1:02:35.00]  Pero a mí la aceituna me gustaba así.
[1:02:35.00]-[1:02:37.00]  Ahora, duna en una.
[1:02:37.00]-[1:02:39.00]  Bueno, y vas a prisa con la aceituna.
[1:02:39.00]-[1:02:41.00]  No, no, no, no.
[1:02:41.00]-[1:02:43.00]  Sí, sí, sí.
[1:02:43.00]-[1:02:45.00]  Bueno, todo esto lo hemos vivido.
[1:02:45.00]-[1:02:47.00]  Alguna vez antes
[1:02:47.00]-[1:02:49.00]  el sereno les ha pillado y les ha hecho la bronca.
[1:02:49.00]-[1:02:51.00]  Sí.
[1:02:51.00]-[1:02:53.00]  Por ellos.
[1:02:53.00]-[1:02:55.00]  Por ejemplo en fiestas a las 12 pasaba.
[1:02:55.00]-[1:02:57.00]  Pero no.
[1:02:57.00]-[1:02:59.00]  Estamos chillando, pero nada más pasaba.
[1:02:59.00]-[1:03:01.00]  Es que
[1:03:01.00]-[1:03:03.00]  se respetaba lo que decíamos antes.
[1:03:03.00]-[1:03:05.00]  La respetaba.
[1:03:05.00]-[1:03:07.00]  Y algunos los llevaban a la casa.
[1:03:07.00]-[1:03:09.00]  Cuando los veías por allá, ya me cago en ti.
[1:03:09.00]-[1:03:11.00]  Ya te ponías más serio que un titán.
[1:03:11.00]-[1:03:13.00]  No, no.
[1:03:13.00]-[1:03:15.00]  Con la manta.
[1:03:15.00]-[1:03:17.00]  Me cago en ti.
[1:03:17.00]-[1:03:19.00]  Y entraban al café.
[1:03:19.00]-[1:03:21.00]  Y todo el mundo callaba.
[1:03:21.00]-[1:03:23.00]  Y jugaban las tardas.
[1:03:23.00]-[1:03:25.00]  Era muy rígido.
[1:03:25.00]-[1:03:27.00]  Era el régimen que había.
[1:03:27.00]-[1:03:29.00]  Y era así represivo.
[1:03:29.00]-[1:03:31.00]  Pues se acompañaba algunas veces
[1:03:31.00]-[1:03:33.00]  en la casa, pero nadie
[1:03:33.00]-[1:03:35.00]  sabía que se hubiera sido la guardia civil.
[1:03:35.00]-[1:03:37.00]  Siempre veíamos una gran tarde.
[1:03:37.00]-[1:03:39.00]  No, pero bien.
[1:03:39.00]-[1:03:41.00]  Fiestas.
[1:03:41.00]-[1:03:43.00]  A veces no mucho, pero...
[1:03:43.00]-[1:03:45.00]  Pero esto que lo decía el sereno, lo decía.
[1:03:45.00]-[1:03:47.00]  Pero como a veces se dormía muy fuerte,
[1:03:47.00]-[1:03:49.00]  si no se oía, a la plaza sí iba.
[1:03:49.00]-[1:03:51.00]  Yo lo he vivido
[1:03:51.00]-[1:03:53.00]  en mi casa.
[1:03:53.00]-[1:03:55.00]  Mi padre trabajaba en un fabrico.
[1:03:55.00]-[1:03:57.00]  Y alguna vez que el reloj lo tenía arreglado,
[1:03:57.00]-[1:03:59.00]  que tenía un despertador,
[1:03:59.00]-[1:04:01.00]  acompañaba así, llamamé.
[1:04:01.00]-[1:04:03.00]  Tenía un despertador así.
[1:04:03.00]-[1:04:05.00]  Era un despertador que era de aquellos que había una campana ahí arriba.
[1:04:05.00]-[1:04:07.00]  Y mi padre tenía
[1:04:07.00]-[1:04:09.00]  una mesita que era un mármol.
[1:04:09.00]-[1:04:11.00]  Y cuando tocaba el despertador, le daba
[1:04:11.00]-[1:04:13.00]  ¡tac, tac, tac!
[1:04:13.00]-[1:04:15.00]  Y me cagó el día.
[1:04:15.00]-[1:04:17.00]  Me cagó el día.
[1:04:17.00]-[1:04:19.00]  Y yo, ¡vá, pare!
[1:04:19.00]-[1:04:21.00]  Y era que a la tarde,
[1:04:21.00]-[1:04:23.00]  si hubiera estado en una mesa de madera, amor,
[1:04:23.00]-[1:04:25.00]  yo estaba en una de mármol y como...
[1:04:25.00]-[1:04:27.00]  ¡Asi!
[1:04:27.00]-[1:04:29.00]  Bueno, y el día que no tenía
[1:04:29.00]-[1:04:31.00]  el despertador, llamó.
[1:04:31.00]-[1:04:33.00]  Y mañana a las cinco, la hora que llamamé,
[1:04:33.00]-[1:04:35.00]  y te llamaba, y te llamaba.
[1:04:35.00]-[1:04:37.00]  No, pero había muchas cosas.
[1:04:37.00]-[1:04:39.00]  Íbamos a la montaña, mi padre y mi madre.
[1:04:39.00]-[1:04:41.00]  Y no llevaba reloj,
[1:04:41.00]-[1:04:43.00]  que no se tenía.
[1:04:43.00]-[1:04:45.00]  Y se iba allá.
[1:04:45.00]-[1:04:47.00]  ¡Pare!
[1:04:47.00]-[1:04:49.00]  Y había señales que yo sabía.
[1:04:49.00]-[1:04:51.00]  Mira, allí, ahí uno ve con las montañas,
[1:04:51.00]-[1:04:53.00]  la parte de allá que es que nos daba en la montaña,
[1:04:53.00]-[1:04:55.00]  que es la muleta que decimos nosotros,
[1:04:55.00]-[1:04:57.00]  una piedra muy grande
[1:04:57.00]-[1:04:59.00]  que se sube arriba
[1:04:59.00]-[1:05:01.00]  y parece una plaza de toros.
[1:05:01.00]-[1:05:03.00]  Y luego más para allá,
[1:05:03.00]-[1:05:05.00]  hay un rincón así hondo,
[1:05:05.00]-[1:05:07.00]  y al medio se ve blanco.
[1:05:07.00]-[1:05:09.00]  Y todo grande y blanco.
[1:05:09.00]-[1:05:11.00]  Pero al medio de todo, como si fuera
[1:05:11.00]-[1:05:13.00]  un huevo frito.
[1:05:13.00]-[1:05:15.00]  Había una cosa, en vez de amarilla,
[1:05:15.00]-[1:05:17.00]  de verde, que de allí verías
[1:05:17.00]-[1:05:19.00]  arbolitos. Pero de lejos se veía
[1:05:19.00]-[1:05:21.00]  un hueco, grande,
[1:05:21.00]-[1:05:23.00]  oscuro. Otro, redondo,
[1:05:23.00]-[1:05:25.00]  todo blanco. Yo por ejemplo lo enseñaba él.
[1:05:25.00]-[1:05:27.00]  Y luego uno más pequeño,
[1:05:27.00]-[1:05:29.00]  que era en verde.
[1:05:29.00]-[1:05:31.00]  Cuando estaba, me decía sin catalán,
[1:05:31.00]-[1:05:33.00]  yo te lo digo.
[1:05:33.00]-[1:05:35.00]  Cuando está en medio de la maleceta, la una.
[1:05:35.00]-[1:05:37.00]  Cuando está en medio de todos los arbolitos,
[1:05:37.00]-[1:05:39.00]  la redonda pequeña, la una.
[1:05:39.00]-[1:05:41.00]  Y cuando tuve lo que lo miré, era así.
[1:05:43.00]-[1:05:45.00]  Luego para bajarte,
[1:05:45.00]-[1:05:47.00]  y bueno, para bajarnos, en las sierras
[1:05:47.00]-[1:05:49.00]  de estos de Tímen, que decimos, que es un pueblo
[1:05:49.00]-[1:05:51.00]  vecino que hay.
[1:05:51.00]-[1:05:53.00]  Cuando está el sol,
[1:05:53.00]-[1:05:55.00]  que ya no lo ves aquí, y están aquellas
[1:05:55.00]-[1:05:57.00]  montañas, ya puedes irte, que había hora y media
[1:05:57.00]-[1:05:59.00]  piedra, y yo pensaba que íbamos a llevarlos
[1:05:59.00]-[1:06:01.00]  a pie, con todo encima.
[1:06:01.00]-[1:06:03.00]  Hora y media de hierro, y yo también ya bajaba.
[1:06:03.00]-[1:06:05.00]  Cuesta bajar todo un día.
[1:06:05.00]-[1:06:07.00]  Era duro, y con frío.
[1:06:07.00]-[1:06:09.00]  Eso dependería de la época.
[1:06:09.00]-[1:06:11.00]  Ahora en el viernes,
[1:06:11.00]-[1:06:13.00]  pero lo que iba a hacer es coger en el viernes.
[1:06:13.00]-[1:06:15.00]  Ahora empieza, y estás desde abajo
[1:06:15.00]-[1:06:17.00]  al mar, por lo menos.
[1:06:17.00]-[1:06:19.00]  Porque aquí se remueven a medida que el viento las tiraba.
[1:06:21.00]-[1:06:23.00]  A mí, claro, si todas las irebamos a las recogías.
[1:06:23.00]-[1:06:25.00]  Pero antes no, antes
[1:06:25.00]-[1:06:27.00]  iba a recogir todo por un invierno.
[1:06:27.00]-[1:06:29.00]  Porque iba recogiendo,
[1:06:29.00]-[1:06:31.00]  mira, que el viento las tiraba.
[1:06:31.00]-[1:06:33.00]  Porque es un pueblo que hace mucho viento.
[1:06:33.00]-[1:06:35.00]  Pues vamos, que hay soladas.
[1:06:35.00]-[1:06:37.00]  Son 73.
[1:06:37.00]-[1:06:39.00]  Son 73.
[1:06:39.00]-[1:06:41.00]  Pero ellos me refiero, que nosotros
[1:06:41.00]-[1:06:43.00]  los que son pobres ya están
[1:06:43.00]-[1:06:45.00]  allá arriba.
[1:06:45.00]-[1:06:47.00]  Pues bueno, estas
[1:06:47.00]-[1:06:49.00]  tantas cosas saldrían, madre mía.
[1:06:49.00]-[1:06:51.00]  Todo fuego
[1:06:51.00]-[1:06:53.00]  del suelo.
[1:06:53.00]-[1:06:55.00]  Nada de...
[1:06:55.00]-[1:06:57.00]  Ya decían que los domingos
[1:06:57.00]-[1:06:59.00]  era el sábado, los sábados era el sábado.
[1:06:59.00]-[1:07:01.00]  Estufa, el viento, nada. El fuego para calentarteada.
[1:07:01.00]-[1:07:03.00]  La ley, ya.
[1:07:03.00]-[1:07:05.00]  Y hacer la comida.
[1:07:05.00]-[1:07:07.00]  Pero luego si te lavan los pies, mira, en una silla delante
[1:07:07.00]-[1:07:09.00]  ponen los pies ahí.
[1:07:09.00]-[1:07:11.00]  Todo se hacía con el fuego este.
[1:07:11.00]-[1:07:13.00]  Cuando bajaba ya de la montaña,
[1:07:13.00]-[1:07:15.00]  las puertas que teníamos no se cerraba.
[1:07:15.00]-[1:07:17.00]  Una cortina de estas de antes
[1:07:17.00]-[1:07:19.00]  feas, de noche y...
[1:07:19.00]-[1:07:21.00]  Y de día siempre estaba abierto.
[1:07:21.00]-[1:07:23.00]  Si estabas curva, no puedes tenerlo.
[1:07:23.00]-[1:07:25.00]  Y las puertas de madera,
[1:07:25.00]-[1:07:27.00]  como eran de los años,
[1:07:27.00]-[1:07:29.00]  pues los agujeros de los bajados
[1:07:29.00]-[1:07:31.00]  de la montaña te ponían solo el pasaporte.
[1:07:31.00]-[1:07:33.00]  Y vas a buscar
[1:07:33.00]-[1:07:35.00]  la agua a las fuentes, ¿eh? La fuente que
[1:07:35.00]-[1:07:37.00]  había en cada punto del pueblo.
[1:07:37.00]-[1:07:39.00]  Y si estaba fría, yo quería salir
[1:07:39.00]-[1:07:41.00]  a dar la vuelta, pues me
[1:07:41.00]-[1:07:43.00]  quitaba la ropa, me iba allí
[1:07:43.00]-[1:07:45.00]  y iba a buscar
[1:07:45.00]-[1:07:47.00]  primero el agua y luego a dar la vuelta.
[1:07:47.00]-[1:07:49.00]  Y te quitabas toda la ropa que llevabas
[1:07:49.00]-[1:07:51.00]  y luego con casi nada.
[1:07:51.00]-[1:07:53.00]  Y luego mi ducha, ya no te hablo de los de atrás,
[1:07:53.00]-[1:07:55.00]  mi ducha, ¿sabes qué era?
[1:07:55.00]-[1:07:57.00]  Que era en invierno, al fuego
[1:07:57.00]-[1:07:59.00]  calentaba una olla de agua.
[1:07:59.00]-[1:08:01.00]  Luego un recipiente grande,
[1:08:01.00]-[1:08:03.00]  que era un barrenco,
[1:08:03.00]-[1:08:05.00]  grande, grande, grande.
[1:08:05.00]-[1:08:07.00]  Grande,
[1:08:07.00]-[1:08:09.00]  aquello era para ponerme yo de pie dentro.
[1:08:09.00]-[1:08:11.00]  Un bol...
[1:08:11.00]-[1:08:13.00]  Un bol, un bol...
[1:08:13.00]-[1:08:15.00]  Una taza.
[1:08:15.00]-[1:08:17.00]  Una taza.
[1:08:17.00]-[1:08:19.00]  Un bote, un bote, no, de metado.
[1:08:19.00]-[1:08:21.00]  O una jarra.
[1:08:21.00]-[1:08:23.00]  Yo no tenía un bote, esto es de aves.
[1:08:23.00]-[1:08:25.00]  La aguacatella,
[1:08:25.00]-[1:08:27.00]  agua fría del río,
[1:08:27.00]-[1:08:29.00]  de aquí, quiero decir,
[1:08:29.00]-[1:08:31.00]  de las fuentes, al otro.
[1:08:31.00]-[1:08:33.00]  Y yo dentro, sin nada, cuando se iban a dormir todos.
[1:08:33.00]-[1:08:35.00]  Ya, tirando primero
[1:08:35.00]-[1:08:37.00]  agua caliente, jabón de casa.
[1:08:37.00]-[1:08:39.00]  Luego,
[1:08:39.00]-[1:08:41.00]  la misma aguacalla y hasta las de pie.
[1:08:41.00]-[1:08:43.00]  Luego ya,
[1:08:43.00]-[1:08:45.00]  el pelo que siguen ahí está.
[1:08:45.00]-[1:08:47.00]  Luego a porcer otra pasada y otra al pelo.
[1:08:47.00]-[1:08:49.00]  Bueno, pero eran los tipos
[1:08:49.00]-[1:08:51.00]  que se robaban por comer.
[1:08:51.00]-[1:08:53.00]  Me han robado las
[1:08:53.00]-[1:08:55.00]  aditunas, me han robado las garrobas,
[1:08:55.00]-[1:08:57.00]  me han robado las galletas, más que nada casi era por...
[1:08:57.00]-[1:08:59.00]  Y el que robaba mucho
[1:08:59.00]-[1:09:01.00]  eran los gitanos.
[1:09:01.00]-[1:09:03.00]  Hay un problema, es que cuando estamos hablando para luego poder
[1:09:03.00]-[1:09:05.00]  apuntarlo bien, si hablamos todos al aves,
[1:09:05.00]-[1:09:07.00]  luego no nos podemos.
[1:09:07.00]-[1:09:09.00]  ¿Como va a preguntar la comunidad?
[1:09:09.00]-[1:09:11.00]  A los medios
[1:09:11.00]-[1:09:13.00]  de la calle esta,
[1:09:13.00]-[1:09:15.00]  había unas abuelas que se ponían,
[1:09:15.00]-[1:09:17.00]  más acusadas aún que nosotras, se fue como
[1:09:17.00]-[1:09:19.00]  me apretían a mí, porque antes tenían 18
[1:09:19.00]-[1:09:21.00]  años con saco de infalte y pasiones,
[1:09:21.00]-[1:09:23.00]  y pues ya lo apretían.
[1:09:23.00]-[1:09:25.00]  Y se ponían a jugar con una tabla de
[1:09:25.00]-[1:09:27.00]  ir a la bar,
[1:09:27.00]-[1:09:29.00]  encima de las 4 que se ponían,
[1:09:29.00]-[1:09:31.00]  a jugar a las cajas,
[1:09:31.00]-[1:09:33.00]  en sillas de madera pequeñitas,
[1:09:33.00]-[1:09:35.00]  y solo con pecos que decían, perritas de aquellas
[1:09:35.00]-[1:09:37.00]  del mar, que son blanquitas,
[1:09:37.00]-[1:09:39.00]  no sé donde eran más bonitas, y aquello no
[1:09:39.00]-[1:09:41.00]  se llevaba nada.
[1:09:41.00]-[1:09:43.00]  O judías, o garbanzos, lo que hubiera.
[1:09:43.00]-[1:09:45.00]  Te lo digo porque en medio de cada calle se ponían,
[1:09:45.00]-[1:09:47.00]  quienes iban a pasar, si no se quitaban de allí.
[1:09:47.00]-[1:09:49.00]  Imagínate tú quien pasaba por el currico,
[1:09:49.00]-[1:09:51.00]  un animal más grande,
[1:09:51.00]-[1:09:53.00]  pero el carro aún pasaba por el lado.
[1:09:53.00]-[1:09:55.00]  Te refiero que esto,
[1:09:55.00]-[1:09:57.00]  viéndolo yo,
[1:09:57.00]-[1:09:59.00]  en las calles,
[1:09:59.00]-[1:10:01.00]  en medio, las tardes,
[1:10:01.00]-[1:10:03.00]  se ponían una casa,
[1:10:03.00]-[1:10:05.00]  se ponían a gente así,
[1:10:05.00]-[1:10:07.00]  la tabla era
[1:10:07.00]-[1:10:09.00]  la madera de la bar.
[1:10:11.00]-[1:10:13.00]  Pues lo que decías tú, esto de robar,
[1:10:13.00]-[1:10:15.00]  oye te digo, robar, se robaba por necesidad.
[1:10:15.00]-[1:10:17.00]  Pero lo que decíamos,
[1:10:17.00]-[1:10:19.00]  el que tenía 95,
[1:10:19.00]-[1:10:21.00]  pero el que no lo tenía y no tenía dinero,
[1:10:21.00]-[1:10:23.00]  pues me han quitado cachobas,
[1:10:23.00]-[1:10:25.00]  me han quitado tomates, me han quitado fruta.
[1:10:25.00]-[1:10:27.00]  Ahora, lo que...
[1:10:27.00]-[1:10:29.00]  Aquí lo que... eran los gitanos.
[1:10:29.00]-[1:10:31.00]  Cada 15... y eso que había guardia civil,
[1:10:31.00]-[1:10:33.00]  si no habíamos tenido guardia civil,
[1:10:33.00]-[1:10:35.00]  pero aquí veían los gitanos, me han quitado un colchón,
[1:10:35.00]-[1:10:37.00]  me han quitado esto, me han quitado siempre...
[1:10:39.00]-[1:10:41.00]  Pero aquí de robar, robar,
[1:10:41.00]-[1:10:43.00]  verdad, no.
[1:10:43.00]-[1:10:45.00]  Todo era cosa...
[1:10:45.00]-[1:10:47.00]  No, pero eran pequeños hurtos,
[1:10:47.00]-[1:10:49.00]  no era que decir que...
[1:10:49.00]-[1:10:51.00]  Si nos hubieran robado nosotros, nos hubiera hecho mucha falta,
[1:10:51.00]-[1:10:53.00]  pero que, pues ahora,
[1:10:53.00]-[1:10:55.00]  los ricos, pues siempre eran terratenientes,
[1:10:55.00]-[1:10:57.00]  y aquellos podían, pero nosotros,
[1:10:57.00]-[1:10:59.00]  si que nos hubiera,
[1:10:59.00]-[1:11:01.00]  porque claro que yo te servía,
[1:11:01.00]-[1:11:03.00]  pero me refiero que no como ahora las cosas.
[1:11:03.00]-[1:11:05.00]  Y, hablando de los ricos,
[1:11:05.00]-[1:11:07.00]  cuando entró el primer automóvil aquí en el pueblo,
[1:11:07.00]-[1:11:09.00]  fue la reacción.
[1:11:09.00]-[1:11:11.00]  ¿Cómo sé?
[1:11:11.00]-[1:11:13.00]  Ahora me acuerdo, pues el automóvil,
[1:11:13.00]-[1:11:15.00]  y el avión, pasó una vez una avioneta,
[1:11:15.00]-[1:11:17.00]  toda la gente del pueblo a verla,
[1:11:17.00]-[1:11:19.00]  ¡Mira, es esto!
[1:11:19.00]-[1:11:21.00]  Lo vimos, eh, a mirar una avioneta.
[1:11:23.00]-[1:11:25.00]  Que por cierto, una,
[1:11:25.00]-[1:11:27.00]  la llevaba una de... uno de aquí conocido,
[1:11:27.00]-[1:11:29.00]  y quiso hacer...
[1:11:29.00]-[1:11:31.00]  ¡Gracias! Raro, el pueblo, para que lo viéramos,
[1:11:31.00]-[1:11:33.00]  y dio con una casa que está
[1:11:33.00]-[1:11:35.00]  cerca de la carretera,
[1:11:35.00]-[1:11:37.00]  pobre, se quedó nada con tan enganchada
[1:11:37.00]-[1:11:39.00]  con la casa.
[1:11:39.00]-[1:11:41.00]  Ya que hayan empezado, le explicaré.
[1:11:41.00]-[1:11:43.00]  Tenía un tío que se llama...
[1:11:43.00]-[1:11:45.00]  Muy bien, y tío mío.
[1:11:45.00]-[1:11:47.00]  Que estaba en Reus, y había servido en la aviación,
[1:11:47.00]-[1:11:49.00]  y era muy campechano,
[1:11:49.00]-[1:11:51.00]  y se hizo amigo
[1:11:51.00]-[1:11:53.00]  con los jefes generales,
[1:11:53.00]-[1:11:55.00]  y todo el mundo preguntaba...
[1:11:55.00]-[1:11:57.00]  Y tenía un amigo, de allí que era muy aviador,
[1:11:57.00]-[1:11:59.00]  y de cherta, de cherta, de cherta,
[1:11:59.00]-[1:12:01.00]  y un día, jugaron un partido de fútbol,
[1:12:01.00]-[1:12:03.00]  y dice, pues, que jugados, dice, pues,
[1:12:03.00]-[1:12:05.00]  ven que jugaremos nosotros al fútbol, y venimos aquí
[1:12:05.00]-[1:12:07.00]  a jugar al fútbol. Y quedó muy contento,
[1:12:07.00]-[1:12:09.00]  y dice, pues bueno, por la semana que viene os vendré a ver con la avioneta.
[1:12:09.00]-[1:12:11.00]  Y todo el mundo,
