[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[0:43:06.00]-[0:43:10.00]  Después no me bañaba con ella y de ahí las boté.
[0:43:10.00]-[0:43:20.00]  Y cuando me la voy a la casa, hasta que no me ha vuelto a doler.
[0:43:20.00]-[0:43:27.00]  ¿Y usted silbaba para qué?
[0:43:27.00]-[0:43:28.00]  ¿Con qué objetivo?
[0:43:28.00]-[0:43:31.00]  ¿Qué quería decir cuando silbaba?
[0:43:31.00]-[0:43:34.00]  ¿Con quién lo utilizaba el silbo?
[0:43:34.00]-[0:43:39.00]  No, yo no podía silbar de mucho de lejos porque no...
[0:43:39.00]-[0:43:43.00]  Hay que poner el este así.
[0:43:43.00]-[0:43:45.00]  Pero muchas silbaban sin el dedo.
[0:43:45.00]-[0:43:46.00]  Para silbar.
[0:43:46.00]-[0:43:48.00]  Ahora ya si silbo es así.
[0:43:48.00]-[0:43:56.00]  Sí.
[0:43:56.00]-[0:43:59.00]  Antes es que tenían por obligación.
[0:43:59.00]-[0:44:00.00]  Pero...
[0:44:00.00]-[0:44:02.00]  Si ya me van de un lado a otro.
[0:44:02.00]-[0:44:04.00]  No puedo silbar así porque ya digo,
[0:44:04.00]-[0:44:11.00]  cuando tenía mienta dura, entonces sí que me ponía el dedo así.
[0:44:11.00]-[0:44:15.00]  Y ya silbaba mucho más.
[0:44:15.00]-[0:44:17.00]  ¿Y ahora por ejemplo qué es lo que ha dicho?
[0:44:17.00]-[0:44:20.00]  Cuando mi marido mandó al perro, ya yo silbé.
[0:44:20.00]-[0:44:25.00]  Como que ya el perro iba para arriba con la semilla.
[0:44:25.00]-[0:44:27.00]  Sí.
[0:44:27.00]-[0:44:34.00]  Y después cuando el perro vino, cuando ya ellos vinieron para abajo,
[0:44:34.00]-[0:44:38.00]  dice que fuera yo arranchando el almuerzo que él viniera a almorzar.
[0:44:38.00]-[0:44:42.00]  Entonces él me lo decía por silbo.
[0:44:42.00]-[0:44:46.00]  ¿Y cuando acaba de silbar usted algo?
[0:44:46.00]-[0:44:49.00]  ¿Ha dicho algo al silbar?
[0:44:49.00]-[0:44:52.00]  Ellos se comunicaban, los entendía tú fácilmente
[0:44:52.00]-[0:44:57.00]  lo que ellos querían que le llevara o le traerá.
[0:44:57.00]-[0:45:00.00]  El silbo que están silbando hoy no era como el de antes.
[0:45:00.00]-[0:45:04.00]  Antes llamaban por ti, sabías que era por ti.
[0:45:04.00]-[0:45:10.00]  Te mandaban a buscar cualquier cosa y te lo explicaban fácilmente.
[0:45:10.00]-[0:45:12.00]  Ellos estaban en riesgo.
[0:45:12.00]-[0:45:16.00]  Es que ellos antes trabajaban en el campo.
[0:45:16.00]-[0:45:23.00]  Y entonces al trabajar en el campo, de noche se iban a buscar comida para los animales y todo
[0:45:23.00]-[0:45:25.00]  y tenían que silbar.
[0:45:25.00]-[0:45:28.00]  Entonces tenían que saber a dónde estaba uno y dónde estaba el otro.
[0:45:28.00]-[0:45:31.00]  Es igual o se avisaba.
[0:45:31.00]-[0:45:38.00]  Y tu tío cuando se halló, que estaba en ayunas, enmayado, con hambre.
[0:45:38.00]-[0:45:41.00]  Tenían que sobrevivir.
[0:45:41.00]-[0:45:49.00]  Yo un día perdí y llamó a todos los compañeros que se hubieran adverciado un huevito para desayunarse.
[0:45:49.00]-[0:45:52.00]  Y con eso vinieron a su casa.
[0:45:52.00]-[0:45:55.00]  Antes era via unión.
[0:45:55.00]-[0:45:58.00]  Y se apagracían uno a otro.
[0:45:58.00]-[0:46:00.00]  Pero ya hoy no hay.
[0:46:00.00]-[0:46:03.00]  Salían para los pueblos que tenían que ir.
[0:46:03.00]-[0:46:04.00]  Ya hoy no hay.
[0:46:04.00]-[0:46:05.00]  Ya hoy no.
[0:46:05.00]-[0:46:12.00]  Ya más bien si tienes taquita.
[0:46:12.00]-[0:46:17.00]  Pero era muy distinto.
[0:46:17.00]-[0:46:19.00]  Aquí todo el mundo se conocía.
[0:46:19.00]-[0:46:21.00]  Todo el mundo salía.
[0:46:21.00]-[0:46:22.00]  No tenías miedo.
[0:46:22.00]-[0:46:25.00]  Iba pequeño a buscar la leche donde yo estuviera.
[0:46:25.00]-[0:46:29.00]  Y tú no tenías miedo a nadie porque nadie te hacía nada.
[0:46:29.00]-[0:46:31.00]  Hoy no.
[0:46:31.00]-[0:46:35.00]  Ya después de que tienen cada uno su coche y tiene su coche.
[0:46:35.00]-[0:46:37.00]  Ya hoy más bien te quitaste y te cogiste.
[0:46:37.00]-[0:46:38.00]  Te cogiste nada.
[0:46:38.00]-[0:46:40.00]  Pero esta zona es tranquila, ¿no?
[0:46:40.00]-[0:46:41.00]  Aquí sí.
[0:46:41.00]-[0:46:42.00]  No, gracias a Dios.
[0:46:42.00]-[0:46:43.00]  Nosotros sí.
[0:46:43.00]-[0:46:44.00]  Nosotros no tenemos problemas.
[0:46:44.00]-[0:46:45.00]  Sencillos sí.
[0:46:45.00]-[0:46:47.00]  Aquí se llaman para el silbo.
[0:46:47.00]-[0:46:48.00]  Se llaman...
[0:46:48.00]-[0:46:50.00]  Los niños pueden salir y todo.
[0:46:50.00]-[0:46:52.00]  ¿Siguen silbando aquí en Chepude?
[0:46:52.00]-[0:46:53.00]  Algunos sí.
[0:46:53.00]-[0:46:55.00]  Aquí todavía sí.
[0:46:55.00]-[0:46:56.00]  Algunos.
[0:46:56.00]-[0:46:58.00]  ¿Y usted comprende cuando silban?
[0:46:58.00]-[0:47:00.00]  Pero lo mejor es que vayan a silblar.
[0:47:00.00]-[0:47:05.00]  Si el silbo es eso, sí lo entiende.
[0:47:05.00]-[0:47:07.00]  ¿Quiénes eran los mejores que silbaban?
[0:47:07.00]-[0:47:08.00]  ¿Eh?
[0:47:08.00]-[0:47:10.00]  ¿Quiénes eran?
[0:47:10.00]-[0:47:14.00]  Bueno, eran los que tenían el ganado en el monte.
[0:47:14.00]-[0:47:16.00]  Estaban en el monte antes que nada.
[0:47:16.00]-[0:47:18.00]  Los que estaban en el monte y que tenían el ganado en el monte
[0:47:18.00]-[0:47:20.00]  y llamaban por su familia de arriba de la laguna.
[0:47:20.00]-[0:47:21.00]  Sí.
[0:47:21.00]-[0:47:24.00]  Y le contestaban de aquí abajo.
[0:47:24.00]-[0:47:27.00]  Y él decía de arriba lo que tenía que decir
[0:47:27.00]-[0:47:30.00]  y cuando encerraba el ganado para venirse y para abajo.
[0:47:30.00]-[0:47:33.00]  Ahí había.
[0:47:33.00]-[0:47:36.00]  Y si iban al monte que antes lo...
[0:47:36.00]-[0:47:38.00]  Era el malo con ellos.
[0:47:38.00]-[0:47:40.00]  Es el que lo tendía en el sacasoco, una prima mía.
[0:47:40.00]-[0:47:44.00]  Y también el pobre en Paz de Cáceres se murió ya.
[0:47:44.00]-[0:47:46.00]  Oye, silbaba acá de todo el mundo.
[0:47:46.00]-[0:47:47.00]  Bien, mujeres y hombres.
[0:47:47.00]-[0:47:48.00]  ¿Mujeres y hombres?
[0:47:48.00]-[0:47:49.00]  Sí, porque...
[0:47:49.00]-[0:47:51.00]  ¿Silbaban mejor las mujeres o los hombres?
[0:47:51.00]-[0:47:53.00]  No, más potente los hombres.
[0:47:53.00]-[0:47:55.00]  Pero la mujer también silbaba.
[0:47:55.00]-[0:47:58.00]  La llamaba por nosotros y nosotros la entendíamos.
[0:47:58.00]-[0:47:59.00]  Sí, la mujer está...
[0:47:59.00]-[0:48:01.00]  De mi padre también.
[0:48:01.00]-[0:48:03.00]  Esa todavía es silba.
[0:48:03.00]-[0:48:04.00]  ¿Y usted también silba?
[0:48:04.00]-[0:48:05.00]  No, no.
[0:48:05.00]-[0:48:08.00]  Yo eso no lo aprendí nunca.
[0:48:08.00]-[0:48:10.00]  Pero usted sí que lo entendía.
[0:48:10.00]-[0:48:14.00]  Sí, eso sí que lo entiendo yo fácilmente cuando llaman por...
[0:48:14.00]-[0:48:18.00]  Que gente que lo silba como lo silbaba antes.
[0:48:18.00]-[0:48:23.00]  Bueno, creo que eso sí va todavía.
[0:48:23.00]-[0:48:27.00]  Ya tiene una prima de ella también aquí.
[0:48:27.00]-[0:48:29.00]  Aquí sí la mujer sí era pa' olvidar.
[0:48:29.00]-[0:48:33.00]  Es que ellas iban al monte a lo mejor que tenían que buscar leña
[0:48:33.00]-[0:48:35.00]  porque como hoy tenemos cocinilla y tenemos todo,
[0:48:35.00]-[0:48:39.00]  ellas tenían que traer leña pa' amasar, pa' el pan y pa' todo.
[0:48:39.00]-[0:48:42.00]  Trabajaban, no chidían las pobres.
[0:48:42.00]-[0:48:44.00]  Eso nos lo puede contar.
[0:48:44.00]-[0:48:46.00]  Aquí había electricidad cuando usted era joven.
[0:48:46.00]-[0:48:47.00]  ¿Qué va?
[0:48:47.00]-[0:48:48.00]  No.
[0:48:48.00]-[0:48:49.00]  No.
[0:48:49.00]-[0:48:55.00]  Entonces, ¿cómo veían, qué utilizaban para tener luz?
[0:48:55.00]-[0:48:56.00]  ¿Para tener?
[0:48:56.00]-[0:48:57.00]  Luz.
[0:48:57.00]-[0:48:59.00]  Luz.
[0:48:59.00]-[0:49:07.00]  Veníamos a dormir, bueno, cogía la noche y subiendo por una cuesta pa' arriba,
[0:49:07.00]-[0:49:13.00]  hacíamos un fuego y después cogíamos los achos de leña
[0:49:13.00]-[0:49:18.00]  y con los achos, jabanando con los achos de fuego de leña,
[0:49:18.00]-[0:49:22.00]  llegamos a Chipudi.
[0:49:22.00]-[0:49:28.00]  Mi madre me iba a encontrar pa' arriba y mi papá iban hasta arriba,
[0:49:28.00]-[0:49:35.00]  hasta el monte hueco de adentro a buscarnos como nos guardaba la noche.
[0:49:35.00]-[0:49:43.00]  Ya nosotros veníamos con el acho de leña.
[0:49:43.00]-[0:49:53.00]  Lo abanábamos, el aire lo hacía así y teníamos pa' poder pasar.
[0:49:53.00]-[0:50:00.00]  Y ya después no, ya después estaba un herrero y comprábamos farol
[0:50:00.00]-[0:50:09.00]  que ahí tenemos uno, un farol con una vela adentro y con ese farol salíamos y entrábamos.
[0:50:09.00]-[0:50:10.00]  ¿Con velas de cera?
[0:50:10.00]-[0:50:11.00]  Con velas.
[0:50:11.00]-[0:50:14.00]  ¿De cera? Sí, de cera, antes la tienda de cera, sí.
[0:50:14.00]-[0:50:17.00]  ¿Y aquí en las casas veían con los faroles?
[0:50:17.00]-[0:50:21.00]  No, aquí en casa con velas también.
[0:50:21.00]-[0:50:23.00]  No, con lamparitas.
[0:50:23.00]-[0:50:25.00]  Con las lámparas de petróleo.
[0:50:25.00]-[0:50:28.00]  ¿Y cómo eran esas lámparas?
[0:50:28.00]-[0:50:33.00]  Aquí las viejas las llamaban rehomas.
[0:50:33.00]-[0:50:34.00]  ¿Rehomas?
[0:50:34.00]-[0:50:45.00]  Eran de, no me acuerdo ahora de qué eran hechas las rehomas esas.
[0:50:45.00]-[0:50:47.00]  ¿De cómo de...?
[0:50:47.00]-[0:50:49.00]  Un latero de esos.
[0:50:49.00]-[0:50:51.00]  Sí, con lata.
[0:50:51.00]-[0:50:52.00]  Con lata, lo hacían.
[0:50:52.00]-[0:50:55.00]  ¿Lo hacían pa' poner el petróleo por abajo?
[0:50:55.00]-[0:50:58.00]  Un latero, las hacían con lata.
[0:50:58.00]-[0:51:02.00]  Le poníamos el petróleo y por dentro.
[0:51:02.00]-[0:51:08.00]  Después le poníamos una mecha de camiseta.
[0:51:08.00]-[0:51:19.00]  Y entonces, la poníamos por la parte de arriba, la mecha esa y por debajo el petróleo y la mecha pa' también.
[0:51:19.00]-[0:51:24.00]  Y con eso nos alumbramos, le decíamos rehoma.
[0:51:24.00]-[0:51:28.00]  Y era un señor que trabajaba en eso, con lata.
[0:51:28.00]-[0:51:30.00]  Con lata.
[0:51:30.00]-[0:51:34.00]  ¿Y cómo eran los colchones?
[0:51:34.00]-[0:51:37.00]  Los colchones eran de tela.
[0:51:37.00]-[0:51:42.00]  Uno era de tela de colchón rayada.
[0:51:42.00]-[0:51:51.00]  El que tenía pa' comprar la tela de esa rayada, hacía su colchón y lo llenaba después de paja.
[0:51:51.00]-[0:51:52.00]  De paja.
[0:51:52.00]-[0:51:54.00]  De paja de ceba.
[0:51:54.00]-[0:51:59.00]  Y a ropa de milho también se llenaba.
[0:51:59.00]-[0:52:05.00]  Yo las llenaba porque teníamos un pedacito en Valladolid con las ropas de milho.
[0:52:05.00]-[0:52:11.00]  Y otros de ceba, según el que pudieran llenarlos.
[0:52:11.00]-[0:52:19.00]  Pero los llenaban de sacos, de sacas, de las que vinían de papa.
[0:52:19.00]-[0:52:28.00]  Las ajuntaban, las compraban y las ajuntaban y después las cosían con una aguja de dana.
[0:52:28.00]-[0:52:38.00]  Le decían que era una aguja grande, tenía el culo grande y era grande.
[0:52:38.00]-[0:52:45.00]  Y por ahí metían gilazas.
[0:52:45.00]-[0:52:50.00]  Y con eso se cosían los colchones.
[0:52:50.00]-[0:53:00.00]  Y después había un muchacho aquí que era hitoso y hacía las camas de madera del monte.
[0:53:00.00]-[0:53:05.00]  Y con esa madera hacían las camas.
[0:53:05.00]-[0:53:06.00]  El marco de la cama.
[0:53:06.00]-[0:53:07.00]  Eso.
[0:53:07.00]-[0:53:10.00]  Hasta que después vinieron de fuera.
[0:53:10.00]-[0:53:14.00]  Camas buenas, colchones buenos y todo eso compraron.
[0:53:14.00]-[0:53:17.00]  Y los colchones antiguos no eran buenos.
[0:53:17.00]-[0:53:20.00]  Los colchones antiguos eran de sacos.
[0:53:20.00]-[0:53:24.00]  De sacos, no eran de tela, de rayas, como usted decía.
[0:53:24.00]-[0:53:26.00]  Eran de sacos.
[0:53:26.00]-[0:53:33.00]  Y cuando uno se tumbaba eran tan cómodos como los de hoy o no eran tan cómodos?
[0:53:33.00]-[0:53:34.00]  No.
[0:53:34.00]-[0:53:41.00]  Cuando se quitaron los de sacos y vinieron los colchones nuevos de fuera,
[0:53:41.00]-[0:53:46.00]  entonces romanceamos porque eran colchones buenos y las camas buenas.
[0:53:46.00]-[0:53:51.00]  Ahora sí, ahora tenemos buenas camas y buenos colchones.
[0:53:51.00]-[0:53:53.00]  Pero entonces no.
[0:53:53.00]-[0:53:56.00]  ¿Has dicho que entonces romanceaban?
[0:53:56.00]-[0:54:01.00]  Romancear sí, más de cuatro cantaban romances.
[0:54:01.00]-[0:54:02.00]  ¿Ah sí?
[0:54:02.00]-[0:54:06.00]  ¿Y qué romances se cantaban aquí?
[0:54:06.00]-[0:54:11.00]  Quítate de delante, que quiero ver a Chipudi.
[0:54:11.00]-[0:54:14.00]  Soy de Chipudi, traigo mi jerga.
[0:54:14.00]-[0:54:16.00]  Si me da frío me abrigo en ella.
[0:54:16.00]-[0:54:20.00]  Y entonces había nergas de lana que se hacían los telares.
[0:54:20.00]-[0:54:22.00]  ¿Sí?
[0:54:22.00]-[0:54:27.00]  Y muchos cantares, muchas cosas.
[0:54:27.00]-[0:54:32.00]  Es que como no tenían eso, pues tenía la gente sus telares.
[0:54:32.00]-[0:54:40.00]  Y hacían jerga, que eran que las mujeres pelaban las ovejas,
[0:54:40.00]-[0:54:43.00]  lavaban bien la lana, la hilaban.
[0:54:43.00]-[0:54:46.00]  Y los telares hacían la jerga.
[0:54:46.00]-[0:54:50.00]  Y las traperas, que es con lo que tenían ellos antes.
[0:54:50.00]-[0:54:52.00]  Hacían traperas también.
[0:54:52.00]-[0:54:57.00]  Entonces por eso...
[0:54:57.00]-[0:55:00.00]  Trae una trapera para que la vean.
[0:55:00.00]-[0:55:05.00]  Y romances y cosas de esas, en los romances sí, pero eso es en procesión.
[0:55:05.00]-[0:55:08.00]  Trae una trapera para que la vean.
[0:55:08.00]-[0:55:10.00]  ¿Usted se sabe más romances?
[0:55:10.00]-[0:55:11.00]  ¿Eh?
[0:55:11.00]-[0:55:14.00]  ¿Usted se sabe de memoria más romances?
[0:55:14.00]-[0:55:16.00]  No, pues mira ahora mismo no.
[0:55:16.00]-[0:55:18.00]  ¡Ay, alubatora!
[0:55:18.00]-[0:55:19.00]  ¿Qué es esto?
[0:55:19.00]-[0:55:21.00]  Están vendiendo pescado.
[0:55:21.00]-[0:55:23.00]  Ah, pescado.
[0:55:23.00]-[0:55:25.00]  Sí, pasan por aquí los furgones vendiendo pescado.
[0:55:25.00]-[0:55:27.00]  Y se oye perfectamente.
[0:55:27.00]-[0:55:29.00]  Sí, para que suba uno a comprar.
[0:55:29.00]-[0:55:31.00]  Esto es como lo del silbo, ¿no?
[0:55:31.00]-[0:55:33.00]  Lo del silbo es mejor que esto.
[0:55:33.00]-[0:55:36.00]  Pero es que antes tenían que ir para todos sitios caminando.
[0:55:36.00]-[0:55:37.00]  Claro.
[0:55:37.00]-[0:55:40.00]  Entonces tenían que tener el silbo.
[0:55:40.00]-[0:55:43.00]  Y también se levantaban de madrugada para ir a caminar.
[0:55:43.00]-[0:55:46.00]  Era salir de aquí caminando a la villa.
[0:55:46.00]-[0:55:47.00]  Sí.
[0:55:47.00]-[0:55:48.00]  A Hermiguan.
[0:55:48.00]-[0:55:49.00]  A Hermiguan.
[0:55:49.00]-[0:55:50.00]  Todos los pueblos.
[0:55:50.00]-[0:55:53.00]  De madrugada cargaban uno para un lado y el otro para otro.
[0:55:53.00]-[0:55:54.00]  Sí.
[0:55:56.00]-[0:55:59.00]  ¿Y cómo eran los zapatos para caminar tanto?
[0:55:59.00]-[0:56:02.00]  ¿Quién hacía los zapatos? ¿De dónde los compraban?
[0:56:02.00]-[0:56:05.00]  Antes había unos de esos de...
[0:56:05.00]-[0:56:07.00]  De amasos.
[0:56:07.00]-[0:56:11.00]  Pero había otros buenos de esos de... ¿Cómo les decían?
[0:56:11.00]-[0:56:14.00]  No me acuerdo ahora.
[0:56:14.00]-[0:56:18.00]  De onas. Con onas también estaban ellas.
[0:56:18.00]-[0:56:21.00]  Quina que les decían antes.
[0:56:21.00]-[0:56:22.00]  También.
[0:56:22.00]-[0:56:25.00]  No me acuerdo ahora cómo eran los que...
[0:56:25.00]-[0:56:26.00]  Pero se compraban.
[0:56:26.00]-[0:56:28.00]  Las zapatarras que mi papá vendía.
[0:56:28.00]-[0:56:30.00]  ¿Quién los hacía?
[0:56:30.00]-[0:56:31.00]  ¿Eh?
[0:56:31.00]-[0:56:32.00]  ¿Quién los hacía?
[0:56:32.00]-[0:56:34.00]  No, eso venía de fuera.
[0:56:34.00]-[0:56:35.00]  Eso venía de fuera.
[0:56:35.00]-[0:56:36.00]  Venía de fuera.
[0:56:36.00]-[0:56:39.00]  ¿Y la ropa? ¿Usted, por ejemplo, cosía la ropa de sus hijos?
[0:56:39.00]-[0:56:40.00]  ¿Quién la hacía?
[0:56:40.00]-[0:56:43.00]  No, antes ya. Antes de Vallaranrey había una costurera.
[0:56:43.00]-[0:56:46.00]  Cuando yo me casé me hizo una de Vallaranrey.
[0:56:46.00]-[0:56:48.00]  El traje.
[0:56:48.00]-[0:56:49.00]  Sí.
[0:56:49.00]-[0:56:50.00]  Y me...
[0:56:50.00]-[0:56:53.00]  Y el velo y todo eso.
[0:56:53.00]-[0:56:56.00]  Me lo hizo una de Vallaranrey.
[0:56:56.00]-[0:56:58.00]  En la calera.
[0:57:00.00]-[0:57:04.00]  ¿Y cómo era su traje de novia?
[0:57:04.00]-[0:57:05.00]  Blanco.
[0:57:05.00]-[0:57:07.00]  ¿Y el velo blanco?
[0:57:07.00]-[0:57:08.00]  Sí.
[0:57:08.00]-[0:57:10.00]  Una media blanca que me trajo.
[0:57:10.00]-[0:57:12.00]  Una que le mandaron de Cuba.
[0:57:12.00]-[0:57:14.00]  La madrina mía.
[0:57:16.00]-[0:57:22.00]  Me regaló los zapatos blancos y las medias blancas.
[0:57:22.00]-[0:57:23.00]  Todo blanco.
[0:57:23.00]-[0:57:24.00]  Todo blanco.
[0:57:24.00]-[0:57:26.00]  ¿Y hicieron una fiesta?
[0:57:26.00]-[0:57:29.00]  Hicimos una fiesta.
[0:57:29.00]-[0:57:33.00]  Salimos de mi casa a la iglesia.
[0:57:33.00]-[0:57:41.00]  Después en la iglesia el cura empezó a tirar y pegar besetas a los chiquillos.
[0:57:41.00]-[0:57:45.00]  Y me apreciaba mucho.
[0:57:45.00]-[0:57:47.00]  No me cobró nada.
[0:57:47.00]-[0:57:51.00]  Después pasamos por el juzgado.
[0:57:51.00]-[0:57:54.00]  Nos firmamos.
[0:57:54.00]-[0:57:57.00]  Después allí estaba...
[0:57:57.00]-[0:58:00.00]  Ya había juzgado y había ayuntamiento antes.
[0:58:00.00]-[0:58:03.00]  Y pasamos por el juzgado, firmamos.
[0:58:03.00]-[0:58:05.00]  Después fuimos para arriba.
[0:58:05.00]-[0:58:07.00]  En el salón de mi papá.
[0:58:07.00]-[0:58:10.00]  Hicimos el bureo.
[0:58:10.00]-[0:58:14.00]  Teto, pan, amasado, bollos, galletas.
[0:58:14.00]-[0:58:16.00]  ¿Hicieron el bureo?
[0:58:16.00]-[0:58:18.00]  ¿Cómo es?
[0:58:18.00]-[0:58:19.00]  La fiesta.
[0:58:19.00]-[0:58:21.00]  Una fiesta.
[0:58:21.00]-[0:58:25.00]  Estaba ahí una chica que le decía las de Salazar.
[0:58:25.00]-[0:58:27.00]  Que eran de los ricos.
[0:58:27.00]-[0:58:30.00]  Y eran amigas mías, me querían mucho.
[0:58:30.00]-[0:58:32.00]  Fuieron también a acompañarme.
[0:58:32.00]-[0:58:35.00]  Y si esto hubo de lo mejor.
[0:58:35.00]-[0:58:38.00]  Mató mi padre un carnero.
[0:58:38.00]-[0:58:41.00]  Teníamos carne de carnero, carne de cabra.
[0:58:41.00]-[0:58:44.00]  El que quería de una a una y el que quería de otra.
[0:58:44.00]-[0:58:46.00]  Bien preparada, bien arreglada.
[0:58:46.00]-[0:58:48.00]  Y batatas de valerian rey.
[0:58:48.00]-[0:58:50.00]  Que habíamos comprado la finca.
[0:58:50.00]-[0:58:51.00]  Sí.
[0:58:51.00]-[0:58:54.00]  Y lo pasaron muy bien.
[0:58:54.00]-[0:58:57.00]  ¿Después se fueron de viaje de novios?
[0:58:57.00]-[0:58:59.00]  ¿O eso entonces no se hacía?
[0:58:59.00]-[0:59:01.00]  No, de viaje de novios no fuimos.
[0:59:01.00]-[0:59:03.00]  Eso sí que no fuimos.
[0:59:03.00]-[0:59:05.00]  ¿Y cómo conoció usted a su marido?
[0:59:05.00]-[0:59:07.00]  ¿Cómo se conocían los jóvenes antes aquí?
[0:59:07.00]-[0:59:09.00]  Yo me conocía, vinía para acá.
[0:59:09.00]-[0:59:12.00]  Él me conocía en los bailes.
[0:59:12.00]-[0:59:15.00]  Íbamos a bailar a la plaza.
[0:59:17.00]-[0:59:19.00]  Y me enamoré de él.
[0:59:19.00]-[0:59:21.00]  Yo no me enamoré de más nadie.
[0:59:21.00]-[0:59:24.00]  Sino de él y después de que me casé.
[0:59:24.00]-[0:59:26.00]  Con él y más nadie.
[0:59:26.00]-[0:59:28.00]  Se me murió él.
[0:59:28.00]-[0:59:30.00]  Me quedé viuda.
[0:59:30.00]-[0:59:35.00]  Ya no había visto hombres, sino mis hijos.
[0:59:36.00]-[0:59:38.00]  Porque yo no...
[0:59:39.00]-[0:59:41.00]  No siguió de él.
[0:59:44.00]-[0:59:47.00]  Entonces lo conocían en un baile.
[0:59:48.00]-[0:59:50.00]  Sí, en los bailes es donde ellos se enamoraban.
[0:59:50.00]-[0:59:53.00]  Porque es donde más nos conocíamos, en los bailes.
[0:59:53.00]-[0:59:54.00]  Sí.
[0:59:54.00]-[0:59:58.00]  ¿Y cómo se declaraban los chicos?
[0:59:59.00]-[1:00:01.00]  Uy, cómo se declaran...
[1:00:02.00]-[1:00:04.00]  ¿Qué sí quería ser su novia?
[1:00:04.00]-[1:00:06.00]  Su novio. Sí, su novia.
[1:00:08.00]-[1:00:09.00]  Sí.
[1:00:09.00]-[1:00:12.00]  ¿Y cuánto tiempo estaban hasta que luego se casaban?
[1:00:12.00]-[1:00:15.00]  No, después estuvimos un poquito, pero yo después...
[1:00:16.00]-[1:00:18.00]  Él me dijo que iba a decirse a mi padre.
[1:00:18.00]-[1:00:21.00]  Yo le dije que sí, que se lo dijera a mi padre.
[1:00:21.00]-[1:00:25.00]  Que quería que estará segura si él estaba conforme o no.
[1:00:25.00]-[1:00:26.00]  Sí.
[1:00:26.00]-[1:00:28.00]  ¿Y él se lo fue a decir a su padre entonces?
[1:00:28.00]-[1:00:30.00]  Sí, él se lo dijo a mi padre.
[1:00:30.00]-[1:00:34.00]  Y mi padre le dijo que sí, que si nos queríamos que sí.
[1:00:34.00]-[1:00:37.00]  Que él nos daba permiso para casarnos.
[1:00:37.00]-[1:00:41.00]  Y nos ayudaba a casar con lo que tuviera.
[1:00:41.00]-[1:00:44.00]  Y entonces su marido trabajaba en el campo también,
[1:00:44.00]-[1:00:46.00]  ¿trabajó en el campo toda la vida?
[1:00:46.00]-[1:00:48.00]  Sí, él también trabajaba en el campo.
[1:00:49.00]-[1:00:52.00]  ¿Trabajaba para una persona...?
[1:00:52.00]-[1:00:53.00]  No, no.
[1:00:53.00]-[1:00:54.00]  ¿No?
[1:00:54.00]-[1:00:55.00]  No.
[1:00:55.00]-[1:00:58.00]  ¿Pero los terrenos que tenían eran suyos, propios?
[1:00:58.00]-[1:01:02.00]  No, los terrenos los alquilió mi suegro que fue a Cuba.
[1:01:02.00]-[1:01:03.00]  Y el padre de ella también...
[1:01:03.00]-[1:01:04.00]  Mi papá también fue a Cuba.
[1:01:04.00]-[1:01:06.00]  El padre de ella fue en el Barbanera.
[1:01:06.00]-[1:01:07.00]  Que fue en el Barbanera.
[1:01:07.00]-[1:01:11.00]  Y los demás se hundieron y él no, se salvó.
[1:01:11.00]-[1:01:12.00]  ¿Ah sí?
[1:01:12.00]-[1:01:16.00]  Y más bien después lo llamaban Barbanera porque él escapó.
[1:01:16.00]-[1:01:19.00]  Y los otros se murieron, se hundió el barco.
[1:01:19.00]-[1:01:20.00]  Se hundió el barco.
[1:01:20.00]-[1:01:23.00]  Entonces ellos iban y lo que cogían era para...
[1:01:23.00]-[1:01:28.00]  El dinerito que ellos ganaban era para comprar terreno.
[1:01:28.00]-[1:01:29.00]  Que antes era mucho.
[1:01:29.00]-[1:01:33.00]  Y después compraron terreno y los que no tenían nada,
[1:01:33.00]-[1:01:38.00]  compraron su tierra.
[1:01:38.00]-[1:01:39.00]  De medias a con los ricos.
[1:01:39.00]-[1:01:40.00]  De medias, sí.
[1:01:40.00]-[1:01:42.00]  Le daban la mitad de la cosecha.
[1:01:42.00]-[1:01:43.00]  Mi papá compró...
[1:01:43.00]-[1:01:44.00]  Tenían que trabajar para los ricos.
[1:01:44.00]-[1:01:45.00]  En Barbanera.
[1:01:45.00]-[1:01:51.00]  Le daban un poquito y un poquito para los que lo trabajaban y lo más para ellos.
[1:01:51.00]-[1:01:52.00]  Era eso, siempre.
[1:01:52.00]-[1:01:55.00]  Entonces su marido no trabajaba de medias.
[1:01:55.00]-[1:01:56.00]  No, que va.
[1:01:56.00]-[1:01:57.00]  Él todo lo que hizo.
[1:01:57.00]-[1:02:04.00]  Mi marido daba dinero a los que se querían...
[1:02:04.00]-[1:02:05.00]  Se iban para Venezuela.
[1:02:05.00]-[1:02:08.00]  Les dio dinero.
[1:02:08.00]-[1:02:09.00]  Sí, les prestaba.
[1:02:09.00]-[1:02:10.00]  Sí.
[1:02:10.00]-[1:02:13.00]  Si se los devolvían, pues bien.
[1:02:13.00]-[1:02:16.00]  Y si no se los devolvían, se acababan con la tierra.
[1:02:16.00]-[1:02:19.00]  Y mi papá se quedó con lo de...
[1:02:19.00]-[1:02:21.00]  Pero ese era mi... el padre de ella.
[1:02:21.00]-[1:02:22.00]  No mi padre, no.
[1:02:22.00]-[1:02:23.00]  Mi padre no.
