[0:00:00.00]-[0:00:02.00]  Lo sé yo bien.
[0:39:37.16]-[0:39:40.16]  Las patatas te los comen, te las revuelcan y te las comen.
[0:39:40.16]-[0:39:44.16]  Así que no podemos ni sembrar.
[0:39:44.16]-[0:39:48.16]  ¿Y antiguamente el tiempo, como era que hacía mucho más que ahora,
[0:39:48.16]-[0:39:49.16]  ¿nevaba más o no?
[0:39:49.16]-[0:39:53.16]  No sé, el tiempo, ahora viene todo cambiado.
[0:39:53.16]-[0:39:58.16]  Entonces, llovía más en el invierno y ahora viene todo cambiado.
[0:39:58.16]-[0:40:02.16]  Porque hoy llueve, pero llevábamos una temporada que no había llovido nada, nada,
[0:40:02.16]-[0:40:04.16]  y estaba todo, todo seco.
[0:40:04.16]-[0:40:07.16]  Hoy mira, hoy se echó a llover, no sé si lloverá mucho o poco,
[0:40:07.16]-[0:40:09.16]  pero ya llevábamos mucho tiempo que no llovía.
[0:40:09.16]-[0:40:13.16]  Y hacía falta que lloviera porque estaba todo seco.
[0:40:13.16]-[0:40:15.16]  Estaba todo seco.
[0:40:15.16]-[0:40:18.16]  Pues, ya le digo, la vida es así.
[0:40:18.16]-[0:40:22.16]  ¿Y antiguamente en las casas aquí en el pueblo comerán de piedra o...?
[0:40:22.16]-[0:40:23.16]  Casi todas, sí.
[0:40:23.16]-[0:40:24.16]  ¿Sí?
[0:40:24.16]-[0:40:30.16]  Antes sí, mira, como lo antiguo, todos, todas las antiguas son de piedra.
[0:40:30.16]-[0:40:33.16]  Ahora las que se van haciendo pues ya se van haciendo de otra manera,
[0:40:33.16]-[0:40:36.16]  pero bueno, todas eran de piedra.
[0:40:36.16]-[0:40:39.16]  ¿Y había personas que hacían las casas o que las personas hacían su...?
[0:40:39.16]-[0:40:41.16]  Antes había bañinos como hay ahora.
[0:40:41.16]-[0:40:42.16]  ¿Sí?
[0:40:42.16]-[0:40:45.16]  Sí, antes había bañinos como hay ahora.
[0:40:45.16]-[0:40:49.16]  Pero antes a lo mejor pues las hacían entre...
[0:40:49.16]-[0:40:54.16]  Ayudaban unos a otros y ahora pues ya tiene que ser por contratos,
[0:40:54.16]-[0:40:58.16]  y ya tiene que ser un aparejador y ya tiene que ser un...
[0:40:58.16]-[0:41:01.16]  Ya, ya cambia, ya cambia ahora.
[0:41:01.16]-[0:41:05.16]  Antiguamente en el pueblo la gente estaba más unida que ahora, ¿usted cree o no?
[0:41:05.16]-[0:41:06.16]  Yo creo que sí.
[0:41:06.16]-[0:41:07.16]  Yo creo que sí.
[0:41:07.16]-[0:41:08.16]  Sí.
[0:41:08.16]-[0:41:09.16]  Yo creo que sí.
[0:41:09.16]-[0:41:12.16]  Estaba más unida la gente que ahora, ¿te parece?
[0:41:12.16]-[0:41:13.16]  A mí vamos.
[0:41:13.16]-[0:41:14.16]  No sé.
[0:41:14.16]-[0:41:15.16]  Claro.
[0:41:15.16]-[0:41:20.16]  ¿Y después de la guerra aquí se notó mucho el agrado, no?
[0:41:20.16]-[0:41:22.16]  ¿En esa parte de la escena?
[0:41:22.16]-[0:41:26.16]  Yo casi no me acuerdo nada porque era una niña muy pequeña,
[0:41:26.16]-[0:41:28.16]  cuando eso de la guerra no me acuerdo nada.
[0:41:28.16]-[0:41:29.16]  No, yo no me acuerdo.
[0:41:29.16]-[0:41:30.16]  Yo no.
[0:41:30.16]-[0:41:34.16]  Tendría un año o dos años, dos años tendría yo,
[0:41:34.16]-[0:41:35.16]  cuando la guerra.
[0:41:35.16]-[0:41:38.16]  Así que no, yo de eso no me acuerdo nada.
[0:41:38.16]-[0:41:43.16]  ¿Y el trato con los pueblos de los que hay en el otro pueblo de al lado y eso?
[0:41:43.16]-[0:41:44.16]  Pues bien.
[0:41:44.16]-[0:41:46.16]  ¿Has sido...?
[0:41:46.16]-[0:41:49.16]  Sí, siempre se ha tenido eso.
[0:41:49.16]-[0:41:54.16]  Ellos vienen aquí, nosotros íbamos allí, eso sí, eso es verdad.
[0:41:54.16]-[0:41:58.16]  Las fiestas, cuando las fiestas ellos venían aquí, nosotros íbamos allí,
[0:41:58.16]-[0:42:02.16]  siempre hay amistades, siempre hay amigos, siempre hay cosas.
[0:42:02.16]-[0:42:05.16]  Y cuando era la fiesta de aquí venían ellos allí,
[0:42:05.16]-[0:42:08.16]  cuando era la fiesta de allí íbamos allí, aquí, así, así.
[0:42:08.16]-[0:42:10.16]  Y antiguamente en el pueblo había baileo o algo, ¿no?
[0:42:10.16]-[0:42:11.16]  Sí.
[0:42:11.16]-[0:42:12.16]  Sí.
[0:42:12.16]-[0:42:13.16]  Entonces sí.
[0:42:13.16]-[0:42:14.16]  ¿Y dónde se ha tirado?
[0:42:14.16]-[0:42:19.16]  Bueno, entonces ahora pues van a las discotecas y eso,
[0:42:19.16]-[0:42:25.16]  y entonces era aquí con una pandereta o con una gaita, con una gaita o una pandereta.
[0:42:25.16]-[0:42:27.16]  Sí, menudo el baile se reía.
[0:42:27.16]-[0:42:28.16]  ¿Pero pasa que en la calle?
[0:42:28.16]-[0:42:31.16]  En la calle sí, en la calle, en la calle, sí, sí, sí.
[0:42:31.16]-[0:42:32.16]  Antes era así.
[0:42:32.16]-[0:42:33.16]  Sí.
[0:42:33.16]-[0:42:34.16]  Antes era así.
[0:42:34.16]-[0:42:35.16]  Y se divertían mejor que ahora.
[0:42:35.16]-[0:42:36.16]  Sí.
[0:42:36.16]-[0:42:37.16]  La gente.
[0:42:37.16]-[0:42:38.16]  ¿Y cómo era?
[0:42:38.16]-[0:42:39.16]  ¿Los chicos acababan bailando allí?
[0:42:39.16]-[0:42:42.16]  Claro, claro, claro, sí, sí, sí, sí.
[0:42:42.16]-[0:42:48.16]  Sí, con gaitas había gaiteros y con un tamboril y una gaita, menudo, y panderetas,
[0:42:48.16]-[0:42:54.16]  sí, entonces era muy mejor que ahora, que ahora van para las discotecas y esperan.
[0:42:54.16]-[0:42:55.16]  Ha cambiado mucho eso.
[0:42:55.16]-[0:42:56.16]  Ha cambiado mucho, sí.
[0:42:56.16]-[0:42:59.16]  Y usted tiene hijos.
[0:42:59.16]-[0:43:00.16]  Tengo dos, sí.
[0:43:00.16]-[0:43:01.16]  Y tiene nietos también, ¿no?
[0:43:01.16]-[0:43:03.16]  Tengo una nieta, sí.
[0:43:03.16]-[0:43:09.16]  ¿Y cree usted que la educación de sus hijos y la de su nieta es distinta o es igual?
[0:43:09.16]-[0:43:10.16]  Yo…
[0:43:10.16]-[0:43:13.16]  Porque antes había más respeto a los padres, ¿o no?
[0:43:13.16]-[0:43:14.16]  Bueno, es igual.
[0:43:14.16]-[0:43:25.16]  Yo la nieta que es enfermera y tiene su carrera y eso, yo a los míos no le pude dar la carrera,
[0:43:25.16]-[0:43:27.16]  no porque fueran tontos, sino porque no había.
[0:43:27.16]-[0:43:35.16]  Esta ahora, pues, ya tienen un poco más y, bueno, y que salió ella, y que salió ella.
[0:43:35.16]-[0:43:40.16]  Yo no digo porque… yo no digo nada de los hijos porque si no sacaran una carrera fue
[0:43:40.16]-[0:43:43.16]  porque nosotros no podíamos darse.
[0:43:43.16]-[0:43:45.16]  Pero, ya vengo.
[0:43:45.16]-[0:43:47.16]  Yo lo veo igual.
[0:43:47.16]-[0:43:52.16]  Yo los hijos míos, para mí están educados y la nieta igual, es igual.
[0:43:52.16]-[0:43:54.16]  Para mí es igual.
[0:43:54.16]-[0:44:00.16]  Y que tengan eso, para mí la nieta es igual que los hijos.
[0:44:00.16]-[0:44:02.16]  Así que…
[0:44:02.16]-[0:44:09.16]  ¿Y usted recuerda de alguna canción, algún canto del pueblo, algo así que sea típico?
[0:44:09.16]-[0:44:15.16]  Para eso tienen que ir a una mujer que hay muy mayoría que tiene noventa y tantos años.
[0:44:15.16]-[0:44:20.16]  Esa sabe y ya… esa sí que sabe canciones de antes, esa sí sabe.
[0:44:20.16]-[0:44:23.16]  Ahora yo eso no, porque…
[0:44:23.16]-[0:44:28.16]  Pero aquella mujer sí sabe canciones de todo el año.
[0:44:28.16]-[0:44:32.16]  Y, ¿venían cegadores o no? ¿No hacía falta?
[0:44:32.16]-[0:44:34.16]  También venían, sí.
[0:44:34.16]-[0:44:37.16]  Y iba la gente a cegar para ganar su honduro, ¿ah, no?
[0:44:37.16]-[0:44:40.16]  Para ganar su honduro. Pues estáis moviendo de frío ahí.
[0:44:40.16]-[0:44:42.16]  No, no se preocupen.
[0:44:42.16]-[0:44:45.16]  Pero, ¿cómo, contrataban o cómo?
[0:44:45.16]-[0:44:47.16]  Sí, para ganar un jornal, claro.
[0:44:47.16]-[0:44:55.16]  Pues el que tuviera que darle mucho que cegar, pues ala, para darle cinco duros que ni se los darían.
[0:44:55.16]-[0:45:04.16]  Entonces, yo no me acuerdo de meter así a jornaleros, pero que gente que sí.
[0:45:04.16]-[0:45:06.16]  Y otros marchaban a cegar por ahí.
[0:45:06.16]-[0:45:12.16]  Y que se acababa de cegar aquí, pues ala cegar para arriba, para Sanabria, para Galicia, para ganar cinco duros o lo que sea.
[0:45:12.16]-[0:45:14.16]  Así era la vida.
[0:45:14.16]-[0:45:19.16]  ¿Y algún postre o algún dulce que hicieron ustedes? ¿Han echado un dulce o algún chico?
[0:45:19.16]-[0:45:26.16]  Hay mucha gente. Yo no, porque ahora ya soy mayor. Los hacía, pero ahora ya no. Los hacía, pero ahora ya no.
[0:45:26.16]-[0:45:29.16]  Pero hay mucha gente que los está haciendo aquí.
[0:45:29.16]-[0:45:31.16]  ¿Y usted qué hacía ahora?
[0:45:31.16]-[0:45:37.16]  Oye, rosquillas a lo mejor, o así, pero no, no, no es. Pero aquí hay mucha gente que los está haciendo.
[0:45:37.16]-[0:45:40.16]  Madalena, aquí, de toda la clase. Hay gente que los hace.
[0:45:40.16]-[0:45:41.16]  Sí.
[0:45:41.16]-[0:45:47.16]  Ahí para abajo hay unas que los hacen, pero muy bien, muy bien. Así que pregunten ustedes por eso.
[0:45:47.16]-[0:45:49.16]  ¿Y qué le ve que el jabón la haces hacía?
[0:45:49.16]-[0:45:50.16]  Sí.
[0:45:50.16]-[0:45:51.16]  ¿Y esa compresión de jabón?
[0:45:51.16]-[0:45:52.16]  Sí.
[0:45:52.16]-[0:45:53.16]  ¿Y cómo funciona?
[0:45:53.16]-[0:46:06.16]  Pues el jabón, con la grasa que queda, lo que no sirve para comer y no servía para eso, pues se picaba menudito, menudito, menudito.
[0:46:06.16]-[0:46:13.16]  Se echaba en un cubo de plástico, porque si no, con las hojas se quema, y se echaba en el cubo.
[0:46:13.16]-[0:46:20.16]  Y para tres kilos, me parece que son tres kilos de grasa, se le echaba medio de sosa, medio de sosa.
[0:46:20.16]-[0:46:27.16]  Y se le echaba como dos litros de agua hirviendo, y se le iba echando poco a poco, se iba dando vuelta, vuelta, vuelta, vuelta, vuelta, vuelta.
[0:46:27.16]-[0:46:29.16]  Salía un jabón buenísimo.
[0:46:29.16]-[0:46:31.16]  Pero había que tener cuidado con la sosa, ¿no?
[0:46:31.16]-[0:46:41.16]  Claro, de tema. Que va para una mano o para un ojo, hay que tener mucho cuidado, pero bueno, sí, sí. Y se sigue haciendo, el jabón se sigue haciendo.
[0:46:41.16]-[0:46:43.16]  ¿Y médico en el pueblo había?
[0:46:43.16]-[0:46:55.16]  Sí, sí, sí, sí. Aquí hemos tenido siempre médicos, siempre, bueno, de todo, en este pueblo se ha tenido de todo, el ayuntamiento, que hay de todo.
[0:46:55.16]-[0:47:01.16]  Ah, sí, ya hay de todo. ¿Y antiguamente los niños se tenían en casa o no? ¿O se iba al hospital, a la residencia?
[0:47:01.16]-[0:47:03.16]  ¿Cómo los?
[0:47:03.16]-[0:47:06.16]  ¿Cuándo la mujer tenía los niños?
[0:47:06.16]-[0:47:22.16]  Cuando tenía los niños, entonces en el pueblo, en el pueblo, que ahora no, ahora los llevan luego, luego los cogen para urgencias y los llevan luego, las mujeres que están de parto.
[0:47:22.16]-[0:47:25.16]  Pero antes no, aquí en el pueblo.
[0:47:25.16]-[0:47:26.16]  ¿Y había una mujer que...
[0:47:26.16]-[0:47:32.16]  Sí, que era una matrona, una que no sabía nada, pero bueno, pero...
[0:47:32.16]-[0:47:42.16]  Una que no sabía nada, porque no tenía estudios ni nada, así era. Y los que salieron, salieron porque salieron, pero porque supieran, no sé.
[0:47:42.16]-[0:47:53.16]  De eso era muy mal antes, ahora no. Se van a reconocimiento luego, en el momento que caen embarazadas, luego es otro día reconocimiento.
[0:47:53.16]-[0:48:01.16]  ¿Y cómo saldrían bien? Que yo nunca fui a reconocimiento, nunca. Sí, ¿verdad? Gracias a Dios me salieron bien.
[0:48:01.16]-[0:48:10.16]  Pero, ¿por qué no cuando la mujer tiene los niños, se le da algo especial, algo para que...
[0:48:10.16]-[0:48:13.16]  Entonces mataban una gallina y le daban el caldo...
[0:48:13.16]-[0:48:16.16]  ¿Sí? ¿Y cómo era eso?
[0:48:16.16]-[0:48:23.16]  Pues mataban la gallina y después le daban el caldo a la mujer y a lo mejor el marido comía la carne, ¿no?
[0:48:23.16]-[0:48:30.16]  Yo a mí eso no me tocó, gracias a Dios, eso no me tocó. Pero habría de todo.
[0:48:30.16]-[0:48:35.16]  No sé, pero luego cuando la mujer tenía que trabajar y a cenar, ¿qué hacía con los niños?
[0:48:35.16]-[0:48:41.16]  Pues qué iba a hacer, pobrecicos niños. Con ellos a cuestas.
[0:48:41.16]-[0:48:45.16]  Y si hacía calor, al calor, y si hacía frío, al frío.
[0:48:45.16]-[0:48:50.16]  Y tirados allí en una gavilla, pobres niños. De cómo viven ahora, a cómo se vivían antes.
[0:48:50.16]-[0:48:55.16]  Sí, sí, sí. De cómo se vive ahora, a cómo se vivían antes.
[0:48:55.16]-[0:49:01.16]  Eso los niños es lo que más... Hoy los niños se crían, ¿cómo se crían los niños, por favor?
[0:49:01.16]-[0:49:05.16]  Mucho, mucho, mucho.
[0:49:05.16]-[0:49:07.16]  ¿O sea que la mujer y los niños...
[0:49:07.16]-[0:49:13.16]  Ay, entonces. Y cargada con el niño a cuestas y la cesta para llevarle de comer a la gente que andaba secando.
[0:49:13.16]-[0:49:21.16]  Así era antes. Entonces era una vida muy esclava. Ahora cambió, gracias a Dios, para mejor, pues.
[0:49:21.16]-[0:49:25.16]  Es mejor. Así que...
[0:49:25.16]-[0:49:29.16]  ¿Y lo de la rosquilla no lo cuenta como era el puerto, que hacía en serio?
[0:49:29.16]-[0:49:37.16]  Bueno, eso, pues azúcar y harina y... Yo de madalena sí que sé eso, no, nunca lo hacía.
[0:49:37.16]-[0:49:41.16]  La rosquilla, pues, harina y azúcar y huevo.
[0:49:41.16]-[0:49:46.16]  El huevo con harina y azúcar y batirlo bien, bien, bien, bien batidas.
[0:49:46.16]-[0:49:53.16]  Y después con harina ponerlas a hacer las rosquillas y a la sartén a freír con aceite.
[0:49:53.16]-[0:50:03.16]  Eso lo que hacía yo. Vamos, pero la gente que hace las madalenas, hoy hay otros adelantos en el horno, si hay otros adelantos.
[0:50:03.16]-[0:50:07.16]  Ya le digo, para abajo hay una mujer que las hace creo muy bien.
[0:50:07.16]-[0:50:11.16]  ¿Y actualmente había aceite o no? ¿O se compraba o venían a comprar?
[0:50:11.16]-[0:50:16.16]  Habría, pero no se compraría mucho. Porque antes, yo no, gracias a Dios.
[0:50:16.16]-[0:50:24.16]  Pero gente con la manteca del cerdo y se irían arreglando. Se irían arreglando con eso.
[0:50:24.16]-[0:50:28.16]  Y ahora la manteca del cerdo para jabón.
[0:50:28.16]-[0:50:31.16]  ¿Y antiguamente a fruta, al pescado y eso? ¿Lo comían?
[0:50:31.16]-[0:50:40.16]  A fruta y al pescado, sí. Ahora vienen... todas las semanas vienen dos o tres con fruta, pescado y todo.
[0:50:40.16]-[0:50:47.16]  Antes ni fruta ni pescado. La leche, los que teníamos vacas y las orteñábamos tomábamos alguna leche, los que no, ninguna.
[0:50:47.16]-[0:50:55.16]  Así era antes, sí. Así era antes. Ahora fruta viene, ya le digo, dos o tres veces a la semana un frutero.
[0:50:55.16]-[0:51:03.16]  Y con pescado fresco, con congelado, vamos, cambia todo. Todo ha cambiado una cosa.
[0:51:03.16]-[0:51:05.16]  ¿A tu momento no había frutales aquí?
[0:51:05.16]-[0:51:10.16]  Sí, era eso, frutales sí, frutales sí, frutales sí.
[0:51:10.16]-[0:51:14.16]  Y otra cosa, volviendo a lo de los niños pequeños, ¿qué daban de congelados?
[0:51:14.16]-[0:51:22.16]  ¿Qué le íbamos a dar, pobre chicos? Lealé, lealé, digo yo, los que tenían leche, pues leche, los que no, ninguna.
[0:51:22.16]-[0:51:26.16]  Así se criaban los niños entonces. Y así se criaban ahora.
[0:51:26.16]-[0:51:31.16]  Pero en otros sitios nos contaba una señora que le daban sopa, algo así, como...
[0:51:31.16]-[0:51:39.16]  ¡Lo que tuvieran! ¡Lo que tuvieran! ¡Ay, que...! Los niños eran muy esclavos, el pobre chico.
[0:51:39.16]-[0:51:48.16]  Yo los míos, vamos, ya no fue como antes, pero los míos se criaron como...
[0:51:48.16]-[0:51:55.16]  Bueno, que ya teníamos leche, que ya teníamos de todo. Pero los que no tuvieran leche, pues leche ni probarla.
[0:51:55.16]-[0:52:05.16]  Para ver lo que era leche, un niño, sí, sí, sí, sí, pues... Así era la vida. Y así fue.
[0:52:05.16]-[0:52:08.16]  ¿Y usted capiaría algo de la vida de antes?
[0:52:08.16]-[0:52:11.16]  Hombre, yo ahora estoy más contenta porque se vive mejor.
[0:52:11.16]-[0:52:12.16]  Sí.
[0:52:12.16]-[0:52:19.16]  Claro, digo. Se vive mejor y yo...
[0:52:19.16]-[0:52:28.16]  Porque ya que lo pasemos mal los abuelos míos, eso, los padres, también.
[0:52:28.16]-[0:52:33.16]  Ahora nosotros un poco mejor, los hijos mejor, pues se alegra uno de eso, ¿o no?
[0:52:33.16]-[0:52:34.16]  Claro.
[0:52:34.16]-[0:52:40.16]  Claro, que vaya la vida pa' arriba, digo yo. Vamos, me parece a mí. Me parece a mí.
[0:52:40.16]-[0:52:44.16]  Pero ahora con la capitán se ve diferente el pueblo y las costumbres se pierden, ¿no?
[0:52:44.16]-[0:52:54.16]  Bueno, a mí la capitán no me gusta porque es muy... No sé. Yo voy a la capital y no más tengo ganas de venirme pa' mi casa porque estoy más tranquila en mi casa.
[0:52:54.16]-[0:53:03.16]  Sea mejor o sea peor, estoy más tranquila en mi casa. En mi casa estoy más tranquila y cada uno vive en su...
[0:53:03.16]-[0:53:05.16]  Pero su nieta no vive aquí en el pueblo.
[0:53:05.16]-[0:53:07.16]  No. Ella está trabajando.
[0:53:07.16]-[0:53:08.16]  Ah, no.
[0:53:08.16]-[0:53:14.16]  Pero viene aquí a...
[0:53:14.16]-[0:53:16.16]  Sí, aún ahora este fin... Están unos días aquí.
[0:53:16.16]-[0:53:18.16]  ¿Y en verano a quién viene más gente o...?
[0:53:18.16]-[0:53:20.16]  Sí, en el verano hay mucha gente.
[0:53:20.16]-[0:53:21.16]  Sí.
[0:53:21.16]-[0:53:27.16]  Se pone esto de gente en el verano. En el verano hay mucha gente, mucha, mucha, mucha, mucha.
[0:53:27.16]-[0:53:29.16]  Viene mucha gente. Vienen todos.
[0:53:29.16]-[0:53:32.16]  Toda la gente que está por ahí, pues viene en el verano de vacaciones.
[0:53:32.16]-[0:53:38.16]  Todo el mundo tiene casa y todo el mundo. Y el que no tiene casa, vienen de la capital muchos, sí, al pueblo.
[0:53:38.16]-[0:53:40.16]  Muchos, muchos, sí.
[0:53:40.16]-[0:53:43.16]  Arriendan una casa y vienen muchos pa' el pueblo.
[0:53:43.16]-[0:53:45.16]  ¿Y aquí hay río en el sur de la zona?
[0:53:45.16]-[0:53:46.16]  Sí.
[0:53:46.16]-[0:53:48.16]  Hay uno pa' este lado y otro pa' este.
[0:53:48.16]-[0:53:49.16]  Ajá.
[0:53:49.16]-[0:54:00.16]  Hay dos ríos. Pero, vamos, cuando llueve bajan con agua. Ahora sí, no llueve. Ahora no tienen mucho porque ha llovido poco, pero sí. Hay dos ríos, sí.
[0:54:00.16]-[0:54:03.16]  ¿Y cuando van a irse?
[0:54:03.16]-[0:54:05.16]  Pues, pues...
[0:54:05.16]-[0:54:07.16]  Sobre los juegos de los niños.
[0:54:07.16]-[0:54:08.16]  Ah, bueno.
[0:54:08.16]-[0:54:14.16]  Usted ha hablado de los niños pequeños y se acorda de algún juego, de algo, con lo que jugaran.
[0:54:14.16]-[0:54:18.16]  Entonces se jugaban muchas cosas. A las mecas las niñas.
[0:54:18.16]-[0:54:19.16]  ¿Eso qué es?
[0:54:19.16]-[0:54:27.16]  Las mecas. Las mecas eran con unas bolas que teníamos. A las mecas que las tirábamos y las cogíamos.
[0:54:27.16]-[0:54:30.16]  Paso meca, paso mecón, paso naranja, paso limón.
[0:54:30.16]-[0:54:39.16]  Entonces andábamos las niñas a sus juegos, a la comba. A la comba con una soga, a la comba. Para eso también muchas...
[0:54:39.16]-[0:54:43.16]  Era más lo de las niñas y lo de los niños.
[0:54:43.16]-[0:54:49.16]  Entonces había juegos y ahora hay otros y ahora le tienen los juegos para los niños.
[0:54:49.16]-[0:54:58.16]  En la era le tienen... pues aquí le tienen para que vayan a jugar. Entonces no había eso. Antes jugábamos a eso y ahora lo unimos.
[0:54:58.16]-[0:55:05.16]  Van pa' ahí, pues a jugar de otra manera. Y así. Y de otra manera todo. Es de otra manera.
[0:55:05.16]-[0:55:07.16]  Muy bien.
[0:55:07.16]-[0:55:08.16]  Bueno.
[0:55:08.16]-[0:55:09.16]  ¿Ahora qué te interesa?
[0:55:09.16]-[0:55:13.16]  Pues pueden preguntar en otro sitio, que en otros sabe más que yo.
[0:55:13.16]-[0:55:14.16]  No, pero si usted no se ha contado todo.
[0:55:14.16]-[0:55:17.16]  No, no, no. Pero yo otro sabe más que yo.
[0:55:17.16]-[0:55:19.16]  No se ha contado todo muy bien.
[0:55:19.16]-[0:55:20.16]  No, pero...
[0:55:20.16]-[0:55:24.16]  Solo una pregunta más. Lo de la morcilla, ¿se hacía con piel?
[0:55:24.16]-[0:55:25.16]  Sí.
[0:55:25.16]-[0:55:27.16]  Pero ¿y cómo sabía? ¿Se era dulce?
[0:55:27.16]-[0:55:29.16]  Pues la dulce.
[0:55:29.16]-[0:55:31.16]  Pero ¿y sé cómo se comía? ¿O sea de postre o cómo?
[0:55:31.16]-[0:55:39.16]  Cocida. Se cocía y se comía. A algunas veces se le echaban... y la gente hace morcillas todavía hoy.
[0:55:39.16]-[0:55:40.16]  Sí.
[0:55:40.16]-[0:55:45.16]  Sí. Todavía hacen morcillas a la gente ahora. Yo no, pero la gente sí hace morcillas.
[0:55:45.16]-[0:55:53.16]  Y hacen nueces también. Patas de nueces también. Estaban muy ricas cuando salían.
[0:55:53.16]-[0:55:58.16]  Pues esa por la mañana era lo que comía la gente cuando iba al monte.
[0:55:58.16]-[0:56:06.16]  Cocían la morcilla y la envolvían en una berfa para que no se le secara, en una hoja de berfa.
[0:56:06.16]-[0:56:11.16]  Y a cegar el carro de monte, que es entonces a cegar el monte para traer para los corrales.
[0:56:11.16]-[0:56:15.16]  Y la morcilla la iban comiendo por el camino porque no había tiempo de comerla en casa.
[0:56:15.16]-[0:56:17.16]  Así era, sí.
[0:56:17.16]-[0:56:19.16]  Mira, ya tocan a mis.
[0:56:19.16]-[0:56:20.16]  Sí.
[0:56:20.16]-[0:56:22.16]  Para ir a mis en el pueblo.
[0:56:22.16]-[0:56:23.16]  Sí, los amigos.
[0:56:23.16]-[0:56:25.16]  Porque hay una vida aquí en el pueblo.
[0:56:25.16]-[0:56:26.16]  Sí.
[0:56:26.16]-[0:56:27.16]  Sí.
[0:56:27.16]-[0:56:33.16]  Mira, esa casa de ahí, esa de la pulaga de abajo, es la casa del tur. Es muy grande.
[0:56:33.16]-[0:56:35.16]  Esa de piedra.
[0:56:35.16]-[0:56:41.16]  Esa es la del tur, es muy grande.
[0:56:41.16]-[0:56:43.16]  ¿Y de qué parte sois?
[0:56:43.16]-[0:56:45.16]  Venimos de Salamanca.
[0:56:45.16]-[0:56:46.16]  Que está mojando ahí.
[0:56:46.16]-[0:56:52.16]  Sí, bueno.
[0:56:52.16]-[0:56:54.16]  Pues muchas gracias por habernos acudido.
[0:56:54.16]-[0:57:01.16]  Bueno, bueno, bueno, que yo no les he explicado las cosas. Hay gente que se las hubiera explicado mejor.
[0:57:01.16]-[0:57:03.16]  No, pero sí nos lo ha gustado.
[0:57:03.16]-[0:57:09.16]  Hay gente que no lo sabe. Hay mucha gente que no sabe mejor que yo.
[0:57:09.16]-[0:57:17.16]  Los que están trabajando hoy mismo con las vacas, los que eso saben mejor que yo.
[0:57:17.16]-[0:57:19.16]  Yo le conté lo que sí.
[0:57:19.16]-[0:57:21.16]  Ni más ni menos.
[0:57:21.16]-[0:57:23.16]  No, ni más ni menos.
[0:57:23.16]-[0:57:35.16]  70, que ya soy mayor.
[0:57:35.16]-[0:57:37.16]  No, pues están ingresando.
[0:57:37.16]-[0:57:40.16]  Sí, ya soy mayor.
[0:57:40.16]-[0:57:46.16]  Ya sois mayor.
[0:57:46.16]-[0:57:48.16]  Pero bueno, que no me ponga peor.
[0:57:48.16]-[0:57:56.16]  Que hasta ahora valgo para hacer las cosas de casa y para atender a los familiares.
[0:57:56.16]-[0:58:05.16]  Así que no es poco. Mientras se pueda atenderle para hacer la comida y cuando vienen del trabajo y así.
[0:58:05.16]-[0:58:06.16]  No es poco.
[0:58:06.16]-[0:58:10.16]  ¿Qué se va a pedir? Si ya sabemos que la vida es así.
[0:58:10.16]-[0:58:14.16]  Nacemos, crecemos y vivimos y morimos. Y así es la vida.
[0:58:14.16]-[0:58:16.16]  Hay una pregunta que se me olvida.
[0:58:16.16]-[0:58:18.16]  ¿Hay lobos aquí en esta zona?
[0:58:18.16]-[0:58:19.16]  Y hay.
[0:58:19.16]-[0:58:22.16]  ¿Y hay todavía? ¿Y usted no me recuerda si algo...
[0:58:22.16]-[0:58:23.16]  Hombre, no.
[0:58:23.16]-[0:58:24.16]  ¿Y no puede contar algo?
[0:58:24.16]-[0:58:30.16]  No. Y cuando andaba con las ovejas, ir y cogerte una y marcharte con ella y comértela.
[0:58:30.16]-[0:58:39.16]  Ah, no. Y ahora mismo, no hace muchos días que íbamos de paseo, unas cuantas, y vimos cruzar uno aquí por la ribera para abajo.
[0:58:39.16]-[0:58:44.16]  Bajamos por la carretera y cruzaban. Sí, sí, sí. Lobos hay bastantes.
[0:58:44.16]-[0:58:51.16]  ¿Y antiguamente cazaban o no? ¿Y se mataban a los lobos? ¿O no? ¿La gente? ¿Los pastores?
[0:58:51.16]-[0:58:56.16]  Antes eso, pero si no los dejan matar tampoco. Están prohibidos matarlos.
[0:58:56.16]-[0:59:04.16]  Hombre, hombre. Matan a una persona y no tiene... como si no mataran a nadie, pero matan a un lobo y a lo mejor lo mantienen en la cárcel.
[0:59:04.16]-[0:59:12.16]  Como matan un ciervo o eso, un cazador y lo meten en la cárcel. Eso está prohibido.
[0:59:12.16]-[0:59:22.16]  ¿Algún lobo mató a los lobos? Sí, hombre. Yo me acuerdo de que mataban los lobos y después venían a pedir por los huevos.
[0:59:22.16]-[0:59:30.16]  Sí, con el lobo. Lo traían a la cuesta. Así que así era la vida entonces.
[0:59:30.16]-[0:59:35.16]  Pues, pues, pues, pues, que nos vamos. Bueno, que están tocando a misa y...
[0:59:35.16]-[0:59:44.16]  Bueno, pues, ala igualmente. Ala. Bueno, yo ya le digo. Perdonen, pero yo les he dicho lo poco que sé.
[0:59:44.16]-[0:59:48.16]  Muy bien, seguro me aprobamos. Lo poco que sé. Así que ala.
[0:59:48.16]-[1:00:05.16]  Gracias, señor. Adiós.
