[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[0:40:38.00]-[0:40:41.00]  había ahí en la plaza de Alcoy,
[0:40:41.00]-[0:40:45.00]  había una tienda que no me recuerdo el nombre,
[0:40:45.00]-[0:40:48.00]  y entonces ya estaba, y había alguna empresa, sí,
[0:40:48.00]-[0:40:51.00]  que había, pero pequeña, aún no estaba bien eso, pero bueno,
[0:40:51.00]-[0:40:55.00]  y entonces yo por fin ya, él le dije que no,
[0:40:55.00]-[0:40:57.00]  que para vivir allí los dos no era escaso,
[0:40:57.00]-[0:41:01.00]  y entonces se tenía que renovar algunas cosas,
[0:41:01.00]-[0:41:04.00]  comprender, ya comprar un coche más, una camioneta,
[0:41:04.00]-[0:41:07.00]  y para traer ahí la louja, y comprar eso,
[0:41:07.00]-[0:41:10.00]  más verduras y todo eso, y entonces yo ya le dije,
[0:41:10.00]-[0:41:13.00]  pues no, que me lo dejaba, que sí lo vendía,
[0:41:13.00]-[0:41:18.00]  y se lo quedó mi hermano todo, yo me vine aquí muro,
[0:41:18.00]-[0:41:22.00]  y ese realito que es eso, pues me compré un piso ahí,
[0:41:22.00]-[0:41:27.00]  y me compré un piso, ya fui al campo a trabajar,
[0:41:27.00]-[0:41:32.00]  y a podar y a eso, y me fui con un hombre,
[0:41:32.00]-[0:41:36.00]  que yo ya entendía mucho, pero me faltaba práctica
[0:41:36.00]-[0:41:40.00]  en algunos árboles como los frutales, y todo eso,
[0:41:40.00]-[0:41:45.00]  y entonces resulta que a todo eso, pues ya me empecé,
[0:41:45.00]-[0:41:49.00]  fue un inverno, a podar los árboles,
[0:41:49.00]-[0:41:52.00]  los árboles en este hombre, y ya me enseñé,
[0:41:52.00]-[0:41:55.00]  y entonces yo ya me conocían aquí y eso,
[0:41:55.00]-[0:41:58.00]  y ya empecé a trabajar, yo por mi cuenta,
[0:41:58.00]-[0:42:02.00]  y así fui, y entonces pagué el piso,
[0:42:02.00]-[0:42:05.00]  y después aquí un hombre aquí tenía unos cerezos,
[0:42:05.00]-[0:42:08.00]  yo era el encargado, y así estuve,
[0:42:08.00]-[0:42:12.00]  morí 7, 8 años yo con él, y le hice ganar dinero,
[0:42:12.00]-[0:42:16.00]  y yo también gané, y ya me vendí el local el piso,
[0:42:16.00]-[0:42:19.00]  aquel que no estaba muy bien me compré la casita,
[0:42:19.00]-[0:42:22.00]  y así fue, mire, y así trabajando y haciendo todo.
[0:42:22.00]-[0:42:25.00]  ¿Por qué aquí qué árboles había?
[0:42:25.00]-[0:42:28.00]  Aquí hay mucho, aquí hay, empieza usted,
[0:42:28.00]-[0:42:32.00]  por los cerezos, las cerezas, eso es lo que me da,
[0:42:32.00]-[0:42:36.00]  y este chico tenía ahí 4, 5, 6 bancales, 7,
[0:42:36.00]-[0:42:39.00]  y lo plantó todo ese cerezo, y entonces yo,
[0:42:39.00]-[0:42:42.00]  él era el encargado, y eso yo por ahí ya tenía mucho trabajo,
[0:42:42.00]-[0:42:46.00]  y después yo en Muro también tenía unos chaleas ahí,
[0:42:46.00]-[0:42:50.00]  que tenía que ir a por el verano, y entonces yo ahí es cuando,
[0:42:50.00]-[0:42:56.00]  pero eso es porque yo entiendo mucho del negocio,
[0:42:56.00]-[0:42:59.00]  entendía mucho del negocio, yo sabía defenderme,
[0:42:59.00]-[0:43:02.00]  y sabía las cosas, y el trabajo y todo,
[0:43:02.00]-[0:43:05.00]  y entonces yo a mí no me faltaba trabajo ningún día,
[0:43:05.00]-[0:43:08.00]  pero yo era solo como fuera, como si fuera empresario,
[0:43:08.00]-[0:43:11.00]  y era que yo soy autónomo, yo soy autónomo,
[0:43:11.00]-[0:43:15.00]  y me hubiera podido poner eventual, pues no lo quiso,
[0:43:15.00]-[0:43:18.00]  no lo quiso, pues ya viste, pues no,
[0:43:18.00]-[0:43:21.00]  yo a ir a demandar limón o algo como aquel que dices,
[0:43:21.00]-[0:43:27.00]  para que te pusieran eventual, y me salieron aquí,
[0:43:27.00]-[0:43:31.00]  que tienen más tierra para ir de eventual al jornal de él,
[0:43:31.00]-[0:43:35.00]  pero no lo quiso, porque a cada uno estudia,
[0:43:35.00]-[0:43:39.00]  yo iba a un chalet, un hombre que era fabricante,
[0:43:39.00]-[0:43:42.00]  era encargado de la fábrica y él lo que le llevaba,
[0:43:42.00]-[0:43:46.00]  y le dían, ¿cómo va la cosa?, dice, mal, mal,
[0:43:46.00]-[0:43:50.00]  si no ponen fábricas nuevas, pues yo tengo trabajo,
[0:43:50.00]-[0:43:53.00]  y él dice, tú tienes muchos clientes,
[0:43:53.00]-[0:43:56.00]  y entonces me abrió los ojos, porque resulta que yo,
[0:43:56.00]-[0:44:00.00]  me abrió los ojos porque, es una cosa,
[0:44:00.00]-[0:44:04.00]  como me salieron aquí algunas personas para dejármelo todo,
[0:44:04.00]-[0:44:07.00]  y ir a lo del seguido, y ponerme eventual,
[0:44:07.00]-[0:44:11.00]  entonces yo digo, no, yo digo, si abre yo voy con él,
[0:44:11.00]-[0:44:14.00]  y como los conocía de pequeño,
[0:44:14.00]-[0:44:19.00]  y los conozco de pequeño, hay quien se ha muerto, hay quien vive,
[0:44:19.00]-[0:44:24.00]  resulta que yo ya lo conocía, y digo, no, estos me van a enredar,
[0:44:24.00]-[0:44:28.00]  lo mismo que le he dicho antes, que yo digo la verdad,
[0:44:28.00]-[0:44:31.00]  pero la mayoría lo dicen, dicen mentira,
[0:44:31.00]-[0:44:34.00]  y dice, bueno, ya lo tengo, y después vas trabajando,
[0:44:34.00]-[0:44:37.00]  y te ponen eventual, y después lo mejor trabajas medio año,
[0:44:37.00]-[0:44:40.00]  y yo digo, mira, ya no tengo trabajo, ahora esta semana lo tengo,
[0:44:40.00]-[0:44:43.00]  a la que viene, y entonces yo digo, ya me fastidiaste,
[0:44:43.00]-[0:44:47.00]  entonces resulta que no lo quise, atendí lo de este hombre,
[0:44:47.00]-[0:44:50.00]  yo digo, si uno no me da trabajo, otro me da,
[0:44:50.00]-[0:44:53.00]  y si no, otro me da, y así que fui así,
[0:44:53.00]-[0:44:57.00]  y hasta hoy tengo trabajo, ya tengo 84 años,
[0:44:57.00]-[0:45:00.00]  y tengo trabajo, y lo dejé todo,
[0:45:00.00]-[0:45:05.00]  y el año pasado dejé un chalet ahí, que iba y no quería,
[0:45:05.00]-[0:45:08.00]  y yo digo, no, no, ya está bien, y por eso le digo,
[0:45:08.00]-[0:45:12.00]  ahora, eso todo es porque tengo muchas ganas de trabajar,
[0:45:12.00]-[0:45:16.00]  y cumplir, y no engañar al dueño, y cosas así,
[0:45:16.00]-[0:45:21.00]  así fue, así que ya le digo.
[0:45:21.00]-[0:45:24.00]  ¿Cómo era lo de recoger las cerezas?
[0:45:24.00]-[0:45:28.00]  Pues, coger las cerezas, mira, pues llegamos y vemos gente,
[0:45:28.00]-[0:45:33.00]  y recogen las cerezas, y entonces yo la llevamos en la cooperativa,
[0:45:33.00]-[0:45:37.00]  teníamos ya para clasificarlas,
[0:45:37.00]-[0:45:40.00]  de poner una más gorda aquí, otra más pequeña,
[0:45:40.00]-[0:45:43.00]  teníamos un cartoncito, pues no era la máquina ni nada,
[0:45:43.00]-[0:45:46.00]  y así íbamos, y yo tenía, tengo un tractorito pequeño,
[0:45:46.00]-[0:45:49.00]  y las traía yo, y así, mire, así recogiendo,
[0:45:49.00]-[0:45:53.00]  y ahora eso es por mes de mayo,
[0:45:53.00]-[0:45:58.00]  yo ahí estaba un mes recogiendo cerezas,
[0:45:58.00]-[0:46:04.00]  y comiendo, diciendo la verdad, como un animal para comer,
[0:46:04.00]-[0:46:07.00]  porque me levantaba yo a las 6 de la mañana y me venía,
[0:46:07.00]-[0:46:11.00]  y hasta las 8, 9 de la noche no llegaba a casa,
[0:46:11.00]-[0:46:14.00]  y comer y todo bajo el árbol, porque traer las cerezas,
[0:46:14.00]-[0:46:17.00]  los hombres cogían y se iban a comer, y después venían,
[0:46:17.00]-[0:46:20.00]  y yo tenía que entonces traer las cerezas a la cooperativa,
[0:46:20.00]-[0:46:23.00]  las que hacían a la mañana, y después ir allí a comer,
[0:46:23.00]-[0:46:29.00]  y ir clasificándolas y todo, y arreglando cajitas y todo eso,
[0:46:29.00]-[0:46:33.00]  y cuando venía la noche, cuando venía la tarde, ellos se vinieron,
[0:46:33.00]-[0:46:36.00]  y entonces tenía que terminar todo y traer las cerezas,
[0:46:36.00]-[0:46:43.00]  y después a lo mejor de ahí, de ahí irse a otro campo,
[0:46:43.00]-[0:46:47.00]  y para mañana los trabajadores que lo tuvieran mejor
[0:46:47.00]-[0:46:53.00]  y no perdiéramos ahora, en el tractocito traía todas las cosas que tenía,
[0:46:53.00]-[0:46:59.00]  todas las mesas y todo, y al otro campo para mañana empezar allí.
[0:46:59.00]-[0:47:03.00]  Claro, yo le hice ganar dinero, pero yo también gané,
[0:47:03.00]-[0:47:07.00]  y ahí es cuando me senté bien, yo la casita la pagué,
[0:47:07.00]-[0:47:11.00]  era para 15 años y no llegó a 5 años, la pagué,
[0:47:11.00]-[0:47:15.00]  porque era para 15 años, pero yo a eso le he tenido miedo siempre,
[0:47:15.00]-[0:47:20.00]  la deuda, porque como sufrí tanto de pequeño,
[0:47:20.00]-[0:47:24.00]  y mi madre a veces estaba delicada, y a lo mejor tenía que ir al médico,
[0:47:24.00]-[0:47:29.00]  y a veces tenía que pagar la visita, ir a un especialista al coho y eso,
[0:47:29.00]-[0:47:35.00]  pues resulta que tenía que pagar la visita, y si no tenías dinero,
[0:47:35.00]-[0:47:40.00]  si no tenías dinero ya sabes lo que pasa, no comprendes,
[0:47:40.00]-[0:47:45.00]  así que ya le digo, por eso le digo yo he sufrido mucho,
[0:47:45.00]-[0:47:49.00]  pero me ha sabido defender, y siempre, y pagué la casita de menos de 5 años,
[0:47:49.00]-[0:47:54.00]  porque yo digo 15 años son muchos, tiene que pasar mucha agua por el río,
[0:47:54.00]-[0:47:59.00]  y si tú te enfermas o algo, aunque hay seguros, pero a lo mejor,
[0:47:59.00]-[0:48:02.00]  como le pasa ahora, cuánta gente le pasa ahora,
[0:48:02.00]-[0:48:06.00]  después de apagado y andado, ahora lo perdí el piso y todo,
[0:48:06.00]-[0:48:16.00]  todo por lo mismo, porque yo estaba en la casita y había otro matrimonio allí,
[0:48:16.00]-[0:48:23.00]  no es por nada, y el matrimonio se iba a la gasolinera,
[0:48:23.00]-[0:48:29.00]  un barcamía los sábados, y se venía allí y se hacían la cenita,
[0:48:29.00]-[0:48:33.00]  lo que fuera, y cantaban allí, y me decía a mí ya,
[0:48:33.00]-[0:48:37.00]  mi señora me dice, mira, vente, yo no quería, yo no,
[0:48:37.00]-[0:48:42.00]  yo mañana, el domingo me iba a trabajar, y trabajaba hasta el domingo mediodía,
[0:48:42.00]-[0:48:48.00]  del lunes al domingo mediodía, nada más tenía mediodía de vacaciones,
[0:48:48.00]-[0:48:53.00]  y le voy a decir una cosa, que conozco un médico, y le trabajo,
[0:48:53.00]-[0:48:58.00]  y le digo, tú tendrás dinerito, yo digo, algo tengo que tener,
[0:48:58.00]-[0:49:03.00]  porque trabajo toda la semana, hasta el domingo mediodía,
[0:49:03.00]-[0:49:07.00]  y yo ya no tengo tiempo de ir a la gastardada, ni tengo ganas de salir,
[0:49:07.00]-[0:49:16.00]  nada más tengo ganas de descansar, así que, bueno, a ustedes ya les gusta,
[0:49:16.00]-[0:49:21.00]  ya les gusta, el médico que ha empezado a decirnos que,
[0:49:21.00]-[0:49:24.00]  no, el médico no me ha dicho, yo iba y le decía el trabajo,
[0:49:24.00]-[0:49:29.00]  pero había aquí, médico, no, aquí, sí, aquí había un médico,
[0:49:29.00]-[0:49:35.00]  aquí había uno, antes aquí, una casa aquí, que le llamaba casa victoria,
[0:49:35.00]-[0:49:41.00]  que es de Alcoy, pero ese no era yo, este que le he dicho yo, este es de Alcoy,
[0:49:41.00]-[0:49:46.00]  pero él vive en Alcoy, pero tiene una casita muro,
[0:49:46.00]-[0:49:50.00]  y entonces yo, pues lo conocí, lo conocí a él,
[0:49:50.00]-[0:49:55.00]  fui a trabajar y su padre también, y su padre ya tiene 90,
[0:49:55.00]-[0:50:01.00]  me dijo ese día, que tiene 97 años, era practicante,
[0:50:01.00]-[0:50:08.00]  y ese hombre, yo iba con otro, con el, yo iba de jornalero,
[0:50:08.00]-[0:50:14.00]  y el empresario este que tenía empresaria era un vivo,
[0:50:14.00]-[0:50:17.00]  pues fuimos a trabajar allí, a ese chalet,
[0:50:17.00]-[0:50:22.00]  y el hombre se iba a trabajar, pues la mujer, y salían los niños y eso,
[0:50:22.00]-[0:50:27.00]  y yo entre mí y dios, y aquellos, entraron ahí y trabajaban y se plantaban,
[0:50:27.00]-[0:50:31.00]  empezaban a hablar y eso, y yo, esta señora sale para ver que tenemos todos,
[0:50:31.00]-[0:50:36.00]  y yo iba recogiendo en el rastrillo la hierba y eso,
[0:50:36.00]-[0:50:41.00]  y así fue, y después el último día cuando terminaba fui yo un rato allí a terminarlo,
[0:50:41.00]-[0:50:43.00]  y el hombre, porque yo era, y el hombre me dijo,
[0:50:43.00]-[0:50:47.00]  ¿usted no podría venir a eso? y yo digo, es que trabajo ahí, si puede ser domingo,
[0:50:47.00]-[0:50:55.00]  domingo de mañana o sábado que no, y de entonces conocí yo al padre del médico este,
[0:50:55.00]-[0:51:01.00]  y después el médico este hizo una casita y cuando lo hice, yo fui con él,
[0:51:01.00]-[0:51:05.00]  y ya no me dejó, ya no, no sé, porque ya le digo,
[0:51:05.00]-[0:51:08.00]  ya fui a la casita de él y siempre, y ahora aún voy,
[0:51:08.00]-[0:51:13.00]  ya le digo que no puedo ir y no, no, vente, vente, ya le digo que no.
[0:51:13.00]-[0:51:15.00]  ¿Pero entonces aquí no había médico?
[0:51:15.00]-[0:51:22.00]  Sí, ahí está la casa Victoria, ahí eran de Alcoiro, y venían de Vargas, y lo conigui,
[0:51:22.00]-[0:51:28.00]  y entonces ahí hubo un médico, primero hubo un médico aquí, que venía, estaba aquí en Alcuan,
[0:51:28.00]-[0:51:33.00]  pero después aquél se fue y eso, ya, que no me recuerdo el nombre, porque yo era pequeño,
[0:51:33.00]-[0:51:49.00]  que por cierto, no sé si me se conoce, a ver, sí de esta, aquí creo que era, aquí me hice una rajada en un pino,
[0:51:49.00]-[0:51:59.00]  subiendo, y tenía así de dedo, las ramitas les cortaban así, y el tronco así, y así como se iba.
[0:51:59.00]-[0:52:07.00]  Y otro yo, se fuimos que tenía también, por la matanza del cerdo, y se fuimos a pasturar,
[0:52:07.00]-[0:52:15.00]  y allá en un barranco, y resulta que, estamos, y se fuimos los dos, él también tiene escabritas,
[0:52:15.00]-[0:52:20.00]  y yo iba mi hermano, pero como era la matanza y era el invierno, a veces llovía y no había trabajo en los campos,
[0:52:20.00]-[0:52:30.00]  y fue aquel día, y fuimos los dos allá, y subía un pino, y estaba todo lleno de garrenchitos de esos que habían cortado las ramitas,
[0:52:30.00]-[0:52:37.00]  caray, mejor voy allá, al copo de arriba, y había un margen que era como esa casa de alto o mes alto,
[0:52:37.00]-[0:52:46.00]  y el pino arriba, allá, y subió para arriba, y cuando ya estaba casi bajo, se rompió un tronquito de esos,
[0:52:46.00]-[0:52:56.00]  y el otro, me agarró, y cinco puntos me pegaron ahí, y me llenó, llevaba unos zapatos de goma, y llenó de sangre,
[0:52:56.00]-[0:53:04.00]  y me vino a pie, porque me curaron, entonces eso era, había un médico así, después el hombre ya se fue, no sé, para otra parte,
[0:53:04.00]-[0:53:16.00]  y ya era listo, y entonces, el don que le llamaban ahí, era especialista de la piel, y vino él a atender dos veces,
[0:53:16.00]-[0:53:27.00]  y tenía un hermano que era también, tenía la farmacia, en fin, y tenía otro hermano que era abogado, en fin, y ya se hizo más,
[0:53:27.00]-[0:53:34.00]  y después también hizo uno de muro aquí, un médico de muro vino para aquí, y siempre vino.
[0:53:34.00]-[0:53:37.00]  ¿Y el médico iba a las casas a visitar a...?
[0:53:37.00]-[0:53:44.00]  No, iba a la casa de él, ahora sí, si no podía venir iba a casa de él, claro, ¿cómo no?
[0:53:44.00]-[0:53:51.00]  Claro, sí, a casa de uno, y estamos igualados, pagamos tanto a cabez, ¿no comprendes?
[0:53:51.00]-[0:54:01.00]  Si lo utilizaban o no utilizaban, le pagamos al mes por 5, 10, 10 zetas, lo que fuera, eso no me acuerdo yo, y correcto.
[0:54:01.00]-[0:54:13.00]  Así que, sí, y ahora sí, estaba muy enfermo y eso resulta que te cobraba prima, ¿comprende?
[0:54:13.00]-[0:54:23.00]  Te comaba prima, eso ya, si hacías necesitas, me lo curo eso, iba yo a casa de la cura, y así que sí.
[0:54:23.00]-[0:54:25.00]  ¿Y los medicamentos?
[0:54:25.00]-[0:54:33.00]  Ah, yo no tenía que comprar y pagarlos uno, por eso, lo que le dije yo, yo bebita, mi madre, y todo eso,
[0:54:33.00]-[0:54:43.00]  por eso cuando compré la casita, yo no, y de vez en cuando hay que pagarlo pronto porque no sabe uno cómo se va a ver.
[0:54:43.00]-[0:54:46.00]  ¿Qué novia tienes, qué novia?
[0:54:46.00]-[0:54:48.00]  ¿Qué es novia ahora?
[0:54:48.00]-[0:54:49.00]  Claro.
[0:54:49.00]-[0:54:51.00]  ¿Era la pilla, no?
[0:54:51.00]-[0:54:53.00]  Yo no las conozco.
[0:54:53.00]-[0:54:56.00]  Ah, ¿y qué se lo escribís tanto como?
[0:54:56.00]-[0:55:04.00]  Venimos de Madrid, de la universidad, y estamos haciendo un estudio sobre las costumbres de aban.
[0:55:04.00]-[0:55:11.00]  No es voluntaria, mi lo que le gusta es que es mayor y toca mucho en la derivación.
[0:55:11.00]-[0:55:13.00]  Es pura, pura, tú.
[0:55:13.00]-[0:55:14.00]  ¿Te lo enseñamos?
[0:55:14.00]-[0:55:15.00]  Sí.
[0:55:15.00]-[0:55:16.00]  Claro, sí.
[0:55:16.00]-[0:55:23.00]  No, si es que más adelante, los que han encontrado, me han dicho que ya no se han ido.
[0:55:23.00]-[0:55:24.00]  Vale.
[0:55:24.00]-[0:55:29.00]  Sí, vale, pues, pero sí, bueno, pues mira, sí, lo dejo.
[0:55:29.00]-[0:55:30.00]  ¿Y no?
[0:55:30.00]-[0:55:31.00]  No, claro.
[0:55:31.00]-[0:55:35.00]  ¿Usaban remedios naturales para cuando estaban enfermos?
[0:55:35.00]-[0:55:36.00]  No, bueno, algunos sí.
[0:55:36.00]-[0:55:38.00]  ¿Si se hacían una herida o...?
[0:55:38.00]-[0:55:46.00]  Algunos sí, pero otros no, otros iban a la farmacia, entonces estaba el muro, aquí no había muro,
[0:55:46.00]-[0:55:52.00]  y el farmacéptico también hacía muchas de esas, medicinas de esas, ¿comprende?
[0:55:52.00]-[0:56:00.00]  Muchas medicinas, él ya las hacía, cosas, como, como mismo la vaselina y todo eso, ¿sabes?
[0:56:00.00]-[0:56:09.00]  Eso lo digo porque yo había un medio muro que se estaba en el cuello, que operaba de la garganta y todo,
[0:56:09.00]-[0:56:16.00]  y resulta que tenía una masía ahí, íbamos a trabajar, y entonces yo de la nariz me engripo algo,
[0:56:16.00]-[0:56:22.00]  ahora ya me pasó, pero antes, más joven, y la cabeza cuando me hacía mucho sol,
[0:56:22.00]-[0:56:31.00]  a veces me constipaba la nariz, y entonces fui al médico ese, y no me cobró nada, creo,
[0:56:31.00]-[0:56:34.00]  porque yo había ido al jornal de...
[0:56:34.00]-[0:56:42.00]  Dice, no, dice eso, dice sí, tú tienes, tienen que hacerte una vaselina especial en el farmacéutico,
[0:56:42.00]-[0:56:49.00]  y eso, y me la hice una vez o dos, pero después no sabía poco, porque ahora ya me hacía ido,
[0:56:49.00]-[0:56:53.00]  ahora tan viejo y eso sí, por eso que...
[0:56:53.00]-[0:56:56.00]  ¿Y antes los partos cómo eran?
[0:56:56.00]-[0:57:03.00]  La cosa, la mujer, estas que estaban en los pueblos, después a eso ya,
[0:57:03.00]-[0:57:12.00]  eso ya no lo puedo decir yo, porque ya todo eso de antes era así, los pueblos, casi no iban los médicos de esos,
[0:57:12.00]-[0:57:20.00]  si atendían algo, pero ya me fui a Venezuela y yo de eso ya no, sé que sí,
[0:57:20.00]-[0:57:27.00]  en Alcoy había uno muy bueno que venía aquí, o iban a la visita, el que podía,
[0:57:27.00]-[0:57:33.00]  o si el parto no iba muy bien, comprender cosas de esas, ya, ya, ya, ya,
[0:57:33.00]-[0:57:41.00]  mira, pasa igual que, el que puede va a un especialista y el que no puede, pues va a uno cualquiera,
[0:57:41.00]-[0:57:47.00]  eso es lo que pasa, entonces, entonces pues nosotros se defendíamos de los campos,
[0:57:47.00]-[0:57:54.00]  el que tenía más campos, pues sí, estaba, pues vivía mejor, ahora venía yo que vivía mal,
[0:57:54.00]-[0:58:02.00]  porque resulta que había un pederisco de eso y lo echaba a perder todo y la cosecha se había perdido,
[0:58:02.00]-[0:58:08.00]  entonces resulta que después él tenía que ver jornales para trabajar, comprender, y tenía que extraerle,
[0:58:08.00]-[0:58:15.00]  y el banco entonces no prestaba dinero, entonces el banco lo único, entre amigos, prestamos,
[0:58:15.00]-[0:58:23.00]  por eso han venido muchas guerras en los pueblos, porque resulta que detrás de las cosas,
[0:58:23.00]-[0:58:30.00]  pues resulta que, resulta que claro, mucha gente, che, tú tienes, préstame un dinero,
[0:58:30.00]-[0:58:37.00]  yo lo pagaré al año que viene y eso es que no puedo, y lo prestaba y casi no le pagaba intereses,
[0:58:37.00]-[0:58:44.00]  y resulta que en acabada, después llegaban que a lo mejor venía mal aquél y no podía pagarle,
[0:58:44.00]-[0:58:48.00]  y entonces ya venían los líos, y como no había papeles, que era la palabra,
[0:58:48.00]-[0:58:58.00]  a lo mejor se perdían, ya se perdía la amistad y todo, eso seguido, seguido, conozco yo, conozco no,
[0:58:58.00]-[0:59:06.00]  una casa esa, la jefita esa, una otra, ahí había un hombre que le prestaba a un tío mío,
[0:59:06.00]-[0:59:11.00]  y vino la guerra, la moneda era muy fuerte y la guerra después la moneda valía mucho más,
[0:59:11.00]-[0:59:18.00]  en cuatro pierras lo pagó todo, y entonces se pelearon, como no, el hombre aquí, porque entonces
[0:59:18.00]-[0:59:24.00]  el que tenía a lo mejor, pues va a ser un 50 o 100 pesetas o 200, los jornales muy baratos y todo,
[0:59:24.00]-[0:59:29.00]  yo más o menos no, pues resulta que claro, le prestaba a lo mejor o tenía mil pesetas,
[0:59:29.00]-[0:59:33.00]  más o menos, que le diera mucho dinero, le prestaba 100 pesetas, lo mejor,
[0:59:33.00]-[0:59:41.00]  pero siempre vino la guerra después, que yo, aquella casa, la otra, vivía yo, y la otra no,
[0:59:41.00]-[0:59:47.00]  la otra, y yo, mi madre, y la otra, allí que está, allí había la almazara, y mi padre,
[0:59:47.00]-[0:59:53.00]  y mi tío y eso, teníamos una almazara nosotros ahí, y le voy a decir a mi madre,
[0:59:53.00]-[1:00:00.00]  que resulta que, que resulta que compraron la almazara y se enredaron, y vino la guerra,
[1:00:00.00]-[1:00:06.00]  y después la pudieron pagar, que si no, no la hubieran podido pagar, al desvalorizar la moneda,
[1:00:06.00]-[1:00:15.00]  usted sabe que es lo que estábamos diciendo en los países, son cosas esas que, son cosas muy, muy eso,
[1:00:15.00]-[1:00:20.00]  y la pagaron, entonces quien perdió, la empresa, comprende, entonces la empresa por lo mejor tenía,
[1:00:20.00]-[1:00:25.00]  y entonces pues se vio mal, y así las cosas pasaban todas así también.
[1:00:25.00]-[1:00:29.00]  ¿Y la almazara para qué era?
[1:00:29.00]-[1:00:39.00]  Para hacer el aceite, porque es que el aceite, el aceite es la cosa que, no es como el vino,
[1:00:39.00]-[1:00:45.00]  el vino no hace falta casi prensa ni nada, ni en muy poco dinero se hace el vino,
[1:00:45.00]-[1:00:51.00]  pero el aceite no, el aceite hay que poner mucho, el aceite hay que comprar la maquinaria,
[1:00:51.00]-[1:00:59.00]  y vale mucho dinero, y se gana poco, y por eso ha venido ahora, poco a poco han venido así las máquinas estas,
[1:00:59.00]-[1:01:04.00]  y esto pasa lo mismo, pero es que entonces aquí en este pueblo habían cuatro mazarras,
[1:01:04.00]-[1:01:11.00]  ahí en esa casa amarilla, ahí, esa de la otra parte, esa ahí había una, la otra no traía, y ahí había otra,
[1:01:11.00]-[1:01:19.00]  y en aquella puerta ancha, allí había otra, esa era pequeñita, antigua, y ahí trabajaban,
[1:01:19.00]-[1:01:26.00]  esa antigua, y las otras eran esas, y trabajamos poco tiempo, y tenías que todo el año parado,
[1:01:26.00]-[1:01:32.00]  y ahora si venía un año, que un año, me acuerdo yo, por cierto, porque yo hacía la almazara,
[1:01:32.00]-[1:01:38.00]  y yo, y en esa mazerita, ahí hicimos todo el pueblo el aceite, en esa almazara,
[1:01:38.00]-[1:01:45.00]  y yo y otro hombre hacíamos el aceite de todos, porque yo tenía catorce años,
[1:01:45.00]-[1:01:52.00]  y yo trabajé la almazara mía, y resulta ahí de mi tío, y resulta que yo trabajaba bien y cumplía,
[1:01:52.00]-[1:01:59.00]  y después mi tío y eso pues se peleamos, porque murió mi padre y cosas de la vida,
[1:01:59.00]-[1:02:06.00]  murió mi padre en un testoy, como el padre de mi padre vivía, entonces el otro hombre, el otro hermano,
[1:02:06.00]-[1:02:16.00]  pues se quedó en la casa grande, y quería, ¡hey! y así que la cosa fue que nada, mire, se perdió,
[1:02:16.00]-[1:02:22.00]  y la vendimos, se perdió toda ya, y entonces a mí, y antes de irme a Venezuela,
[1:02:22.00]-[1:02:29.00]  yo en la almazara, una que había ahí, resulta que trabajé yo de jefe, el dueño,
[1:02:29.00]-[1:02:36.00]  y tenía yo un hombre viejo, yo un chaval, yo era el jefe, ya ve usted, también trabajaba así,
[1:02:36.00]-[1:02:43.00]  y así fui, hasta que me fui a Venezuela, entonces me fui a lo deje, y entonces ya, digamos, va.
[1:02:43.00]-[1:02:46.00]  ¿Cómo sacaba el aceite?
[1:02:46.00]-[1:02:55.00]  El aceite pues llevaba, antes sacía, ahí había un rubrón de piedra grande,
[1:02:55.00]-[1:03:05.00]  y tenía eso, eso ya iba con electricidad, entonces ya lleva un motor, lo llevaba en la correa,
[1:03:05.00]-[1:03:10.00]  y entonces daba vueltas, y la pisaba, la pisaba, la pisaba, y daba vueltas,
[1:03:10.00]-[1:03:17.00]  y caía toda la pasta en un depósito ahí, y de ahí entonces lo poníamos ya en la carretilla,
[1:03:17.00]-[1:03:25.00]  lo poníamos los portins, en castellano, y íbamos parando, parando, parando, parando,
[1:03:25.00]-[1:03:33.00]  hasta alto, así como dos metros o dos y pico, y entonces ya iba, a las siete se iba despediendo,
[1:03:33.00]-[1:03:38.00]  despediendo, despediendo, y salía ahí a un depósito.
[1:03:38.00]-[1:03:49.00]  En esa época también llevaba la batería, la, ¿cómo se llama? La batería no, la, ahora no me saldo,
[1:03:49.00]-[1:03:58.00]  ahora no me saldo, la batería no era, era parecido con la.
[1:03:58.00]-[1:04:05.00]  Bueno, caía en la máquina aquella y le daba vueltas, la trabajaba caliente, así como,
[1:04:05.00]-[1:04:11.00]  entonces ya lo ponía a los portins, pero ya ese destilaba más pronto, ese,
[1:04:11.00]-[1:04:18.00]  nada de pararlo bajo la prensa, apretarlo, estaba bien, pero nosotros lo apretamos dos veces.
[1:04:18.00]-[1:04:24.00]  Uno le apretamos la primera y después lo molíamos el orujo, y lo tiramos,
[1:04:24.00]-[1:04:29.00]  y entonces lo volvimos y le poníamos agua caliente para que saliera todo lo que quedaba.
[1:04:29.00]-[1:04:36.00]  Y en la batidora, ya me salió la batidora, la batidora después, ya iba la pasta a la batidora,
[1:04:36.00]-[1:04:42.00]  en la batidora la agua caliente daba vueltas como una tubería, como si fuera, como si fuera
[1:04:42.00]-[1:04:48.00]  una calefacción en casa, de eso, pues igual le daba ahí, estaba una calentura más o menos ahí,
