[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[0:35:49.00]-[0:35:54.00]  Y entonces, como te aquí a la calle, se iba el tío y se llevaba una, porque ya vino.
[0:35:54.00]-[0:35:59.00]  Y quedaban los tíos a caba y hasta que nos llegaban a la punta que estaba el torre de Alcontragovino.
[0:35:59.00]-[0:36:01.00]  ¿Qué sería eso de largo?
[0:36:01.00]-[0:36:04.00]  Pues, coño, podía haber puesto al torre acabando.
[0:36:04.00]-[0:36:07.00]  Y hasta que no terminaban, no era el de Alcontragovino.
[0:36:07.00]-[0:36:11.00]  Y mi padre llegaba, cuando lo cometía a trabajar.
[0:36:11.00]-[0:36:13.00]  Iba con la burro.
[0:36:13.00]-[0:36:17.00]  Le dejaba salsicchones ahí, y comía.
[0:36:17.00]-[0:36:20.00]  Y un pan de esos que no sabía ni más de que eran así de grandes.
[0:36:20.00]-[0:36:24.00]  Y lo agarraba, y mi padre pescaba así vos.
[0:36:24.00]-[0:36:27.00]  Claro que yo le decía, pues, aquí estamos las hanchas.
[0:36:27.00]-[0:36:30.00]  Nos abracamos de un ciguayo y la comía más que el de Alcontrago.
[0:36:30.00]-[0:36:33.00]  Y quería el torne aquí sin que mi padre...
[0:36:33.00]-[0:36:36.00]  Me contabrió la boca si lo actuó con él.
[0:36:36.00]-[0:36:39.00]  ¿Y usted iba también al campo a ayudar o no?
[0:36:39.00]-[0:36:42.00]  Yo era muy pequeño, no tuve eso.
[0:36:42.00]-[0:36:44.00]  Ya un primo que era grande, claro.
[0:36:44.00]-[0:36:47.00]  Y mi hermano cuando se espinaron, entonces ya metíamos tres o cuatro nomás.
[0:36:47.00]-[0:36:49.00]  Ya llegábamos nosotros.
[0:36:49.00]-[0:36:51.00]  Pero entonces éramos pequeños.
[0:36:51.00]-[0:36:53.00]  Mi padre metía 20.
[0:36:53.00]-[0:36:56.00]  Después, en que lo metía seis, lo metía tres.
[0:36:56.00]-[0:36:58.00]  Porque ya podíamos nosotros también.
[0:36:58.00]-[0:37:01.00]  Y ésta también trabajaba.
[0:37:01.00]-[0:37:05.00]  ¿Y qué cultivaban ustedes cuando ya empezaron en el campo?
[0:37:05.00]-[0:37:09.00]  Cerebao, trigo, avena.
[0:37:09.00]-[0:37:11.00]  ¿Y lo sembraron nomás o...?
[0:37:11.00]-[0:37:13.00]  No.
[0:37:13.00]-[0:37:16.00]  Bueno, a lo primero sí.
[0:37:16.00]-[0:37:19.00]  Uno iba tirando la recipiente.
[0:37:19.00]-[0:37:24.00]  Y el otro con la mura detrás, con la reterrera enterrándolo.
[0:37:24.00]-[0:37:27.00]  Ya después compramos un tractor.
[0:37:27.00]-[0:37:30.00]  Entonces ya el tractor se la ramaba, ahora enterrado.
[0:37:30.00]-[0:37:32.00]  Pero eso fue mucho después.
[0:37:32.00]-[0:37:34.00]  Claro, mucho después.
[0:37:34.00]-[0:37:36.00]  Ahora tenemos los tractores.
[0:37:36.00]-[0:37:40.00]  Ahora cuando empiece a irse, empezar a hacer pre.
[0:37:40.00]-[0:37:42.00]  Y nos va a ir a lo que hemos hecho.
[0:37:42.00]-[0:37:46.00]  ¿Y para sembrar se podía irse cuando era pequeño, no?
[0:37:46.00]-[0:37:49.00]  De niño, porque no hacía falta tanto trabajo, o no?
[0:37:49.00]-[0:37:51.00]  ¿Qué va a ir con aquella guante de agua?
[0:37:51.00]-[0:37:53.00]  ¿Allevar de agua al campo?
[0:37:53.00]-[0:37:54.00]  Y el vino.
[0:37:54.00]-[0:37:56.00]  Una burrica.
[0:37:56.00]-[0:37:58.00]  Iba a llevar la comida y el vino.
[0:37:58.00]-[0:38:00.00]  ¿A que dices la burra con...?
[0:38:00.00]-[0:38:03.00]  No iba a la cocina.
[0:38:03.00]-[0:38:05.00]  Claro, yo era muy pequeño en torre.
[0:38:05.00]-[0:38:08.00]  ¿Y qué hacía la comida su madre y luego se la daba a ustedes...?
[0:38:08.00]-[0:38:09.00]  Claro, pues en una...
[0:38:09.00]-[0:38:14.00]  En una iglesia, ahora, la burro me la echaba como si fueran bolsas en los lados.
[0:38:14.00]-[0:38:19.00]  Y yo montaba mi burro con la comida y me digo, vaya más, estamos a lo porero, igual.
[0:38:19.00]-[0:38:22.00]  ¿Y qué se comía en esa época en el campo?
[0:38:22.00]-[0:38:24.00]  Pues de todo.
[0:38:24.00]-[0:38:28.00]  Lo mismo que ahora, antes, las tosteras, más naturales, pero lo mismo.
[0:38:28.00]-[0:38:32.00]  Con los mariscos, trascichón, guisado.
[0:38:32.00]-[0:38:34.00]  ¿Y guisado también llevaban a la comida?
[0:38:34.00]-[0:38:39.00]  Claro, había una olla de esas grandes, me la ponía y aquí me echaba unos platos y haría los rellizados.
[0:38:39.00]-[0:38:40.00]  ¿Y eso no se volcaba?
[0:38:40.00]-[0:38:45.00]  No, era bien tapada, la olla bien tapada.
[0:38:45.00]-[0:38:47.00]  ¿Y llegaba caliente y todo?
[0:38:47.00]-[0:38:53.00]  Claro, estaba rellena apartado, yo me iba, y cada media hora que llegaba, colegaba así mucho.
[0:38:53.00]-[0:38:55.00]  ¿Te querías tomar comida en cascacho también?
[0:38:55.00]-[0:39:00.00]  Sí, claro, de todo, lo mismo que ahora, en las tosteras, pues...
[0:39:00.00]-[0:39:05.00]  Ya no en todas las casas se podía hacer eso, porque no había.
[0:39:05.00]-[0:39:13.00]  Mis padres siempre han estado bien, han tenido tierra, han tenido mucho grano siempre, y han vivido bien siempre.
[0:39:13.00]-[0:39:16.00]  ¿Y este cascacho es del tipo andaluz o manchego?
[0:39:16.00]-[0:39:17.00]  Manchego.
[0:39:17.00]-[0:39:20.00]  ¿Y así es como se hace?
[0:39:20.00]-[0:39:28.00]  Con una pasta que se lo hacía mi mujer, esta no se la va a hacer, esta la ha hecho dos o tres veces.
[0:39:28.00]-[0:39:37.00]  Mi mujer, yo también me gusta la caza, mataba a dos, tres liebres, con mis hijos, que nos dieron dos o tres palomas.
[0:39:37.00]-[0:39:44.00]  Y un par de liebres haciendo papachos que preparaban un plato de esos y podíamos hacer la caza.
[0:39:44.00]-[0:39:50.00]  No tenía proponas que hago, comía, no, hambre, no pasaba.
[0:39:50.00]-[0:39:53.00]  ¿Y todavía queda caza por aquí o no?
[0:39:53.00]-[0:39:59.00]  Sí, queda un poco. Yo tengo... me voy a Aguacete a la J.
[0:39:59.00]-[0:40:05.00]  Ahora que está... se ha abierto la veda ahora, pero ahora estoy muy atada, por las paredes, para mí no me ocurre.
[0:40:05.00]-[0:40:07.00]  ¿Ah, que todavía están pariendo las borregas?
[0:40:07.00]-[0:40:12.00]  Ahora, ahora están en este mes, están pariendo.
[0:40:12.00]-[0:40:16.00]  ¿Y cuando gasto usted ahora gastará caza con escopeta, no?
[0:40:16.00]-[0:40:18.00]  Yo con galgo.
[0:40:18.00]-[0:40:20.00]  ¿Con galgo?
[0:40:20.00]-[0:40:23.00]  ¿Y entonces no te falta ni escopeta?
[0:40:23.00]-[0:40:26.00]  No, me gusta la caza, la escopeta.
[0:40:26.00]-[0:40:33.00]  Yo tengo ese tocho o algo y me gasto todos los años más de doce, sería, ¿no?
[0:40:33.00]-[0:40:36.00]  de dos millones de pesetas antiguas.
[0:40:36.00]-[0:40:37.00]  ¿En el coto?
[0:40:37.00]-[0:40:38.00]  En el coto, sí.
[0:40:38.00]-[0:40:54.00]  Yo tengo uno en Nijas, ahí en Aguacete, otro en Pérrola y otro en la escuela de Don Javis, que es en la parte de Andalucía.
[0:40:54.00]-[0:41:00.00]  Y este año, pues, se abrió la veda el día, el lunes, ayer.
[0:41:00.00]-[0:41:01.00]  ¿La veda de qué?
[0:41:01.00]-[0:41:03.00]  De los galgos, pero...
[0:41:03.00]-[0:41:05.00]  Ah, porque hay una veda para gastar con galgo.
[0:41:05.00]-[0:41:08.00]  No, yo trago una escopeta.
[0:41:08.00]-[0:41:12.00]  La escopeta se cerró el domingo y el lunes se abrió la de los galgos.
[0:41:12.00]-[0:41:14.00]  Y luego el día sábado quiero ir.
[0:41:14.00]-[0:41:17.00]  ¿Y queda todavía algo una vez haya cerrado la escopeta?
[0:41:17.00]-[0:41:20.00]  Es que en los cotos que los tengo no entra la escopeta.
[0:41:20.00]-[0:41:23.00]  Aquí sí, aquí no hay nada.
[0:41:23.00]-[0:41:25.00]  Porque vos andas a escopeta no más vas.
[0:41:25.00]-[0:41:26.00]  Claro.
[0:41:26.00]-[0:41:28.00]  Pero en los cotos que no tenemos apagado nada.
[0:41:28.00]-[0:41:30.00]  En el otro no ha quedado.
[0:41:30.00]-[0:41:32.00]  No entra la escopeta, sí.
[0:41:32.00]-[0:41:34.00]  Y ahí lo voy a rellever.
[0:41:34.00]-[0:41:35.00]  ¿Y la mata con un galgo?
[0:41:35.00]-[0:41:36.00]  Yo no lo he visto en cero.
[0:41:36.00]-[0:41:41.00]  Pues la libra sale y si la libra es más que el perro pues escapa.
[0:41:41.00]-[0:41:44.00]  Y si el perro es más que ella pues la mata.
[0:41:44.00]-[0:41:46.00]  ¿Y la mata con la boca?
[0:41:46.00]-[0:41:50.00]  Pues va corriendo y dangancha con la boca.
[0:41:50.00]-[0:41:53.00]  ¿Y no es peligro que se la coma?
[0:41:53.00]-[0:41:56.00]  Hombre, a ver, que se la come se destaca.
[0:41:56.00]-[0:41:59.00]  El de no caiga más.
[0:41:59.00]-[0:42:01.00]  Pero yo este año pasé a grabar a dos perras.
[0:42:01.00]-[0:42:04.00]  Que nos mandaban una comadre de albeiri.
[0:42:04.00]-[0:42:06.00]  De las perras que pelaban.
[0:42:06.00]-[0:42:08.00]  Y venían a reventar.
[0:42:08.00]-[0:42:10.00]  Con la libra y sin tomar un pelo.
[0:42:10.00]-[0:42:12.00]  Y las traían hasta hoy.
[0:42:12.00]-[0:42:14.00]  Este año ya no nos han estado dos que día.
[0:42:14.00]-[0:42:16.00]  Tengo hija de ella.
[0:42:16.00]-[0:42:18.00]  ¿Y tiene hija de las galgas?
[0:42:18.00]-[0:42:23.00]  ¿Y cómo las teníais que entrenar cuando eran cachorras las galgas?
[0:42:23.00]-[0:42:25.00]  ¿Y cómo se entrenan galgos de caza?
[0:42:25.00]-[0:42:27.00]  Pues les cogía colegos.
[0:42:27.00]-[0:42:30.00]  Y allí en mi campo se los soltaba.
[0:42:30.00]-[0:42:32.00]  Los sacaban a un mundo.
[0:42:32.00]-[0:42:34.00]  Los conejos.
[0:42:34.00]-[0:42:36.00]  De las madrieras.
[0:42:36.00]-[0:42:38.00]  Y entonces los soltaba allí.
[0:42:38.00]-[0:42:40.00]  Y cuando yo corría en cuatro conejos.
[0:42:40.00]-[0:42:43.00]  Y miraban uno y morían ellos ya perros y tal.
[0:42:43.00]-[0:42:45.00]  Cuidado, que me enseñó.
[0:42:45.00]-[0:42:48.00]  ¿Y cómo aprendían a traer el traje?
[0:42:48.00]-[0:42:50.00]  De eso me encargaba yo.
[0:42:50.00]-[0:42:52.00]  Los soltaba al conejo y entonces los mataban.
[0:42:52.00]-[0:42:54.00]  Y empezaban a llamar a traerlo pa' acá.
[0:42:54.00]-[0:42:57.00]  Una trae y otras se quedan allí.
[0:42:57.00]-[0:42:59.00]  O se lo dejan y si vienen las perras se les da al conejo.
[0:42:59.00]-[0:43:02.00]  Pero a la vez se les llamaba y de eso.
[0:43:02.00]-[0:43:05.00]  Cuando te la traes te dan a iniciar y de eso.
[0:43:05.00]-[0:43:06.00]  Y hasta hoy ya no hay nadie.
[0:43:06.00]-[0:43:08.00]  Y por esto es lo que tengo para eso.
[0:43:08.00]-[0:43:11.00]  ¿Y hay que darle también alguna recompensa de comida?
[0:43:11.00]-[0:43:13.00]  Sí, claro.
[0:43:13.00]-[0:43:17.00]  Viene yo.
[0:43:17.00]-[0:43:19.00]  ¿Y que le damos de recompensa a la galga?
[0:43:19.00]-[0:43:21.00]  Pienso.
[0:43:21.00]-[0:43:24.00]  Así que ahí está yo.
[0:43:24.00]-[0:43:26.00]  Hola.
[0:43:26.00]-[0:43:29.00]  No le ha gustado la gestita.
[0:43:29.00]-[0:43:31.00]  No le hace caso a nadie.
[0:43:31.00]-[0:43:33.00]  ¿Esto es para de verdad?
[0:43:33.00]-[0:43:35.00]  ¿Este lo ha enseñado usted también a matar borregas?
[0:43:35.00]-[0:43:37.00]  Claro.
[0:43:37.00]-[0:43:38.00]  Ya cuando la hacen muy muy,
[0:43:38.00]-[0:43:43.00]  dice, vamos a acá por ver el bebé.
[0:43:43.00]-[0:43:44.00]  Y los toma.
[0:43:44.00]-[0:43:47.00]  Tiene fotos por ahí con ellos tomados.
[0:43:47.00]-[0:43:49.00]  ¿O que los coge en brazos?
[0:43:49.00]-[0:43:52.00]  Ay, que gracia.
[0:43:52.00]-[0:43:54.00]  Vamos a verlo.
[0:43:54.00]-[0:43:55.00]  Vamos a verlo, bebé.
[0:43:55.00]-[0:43:56.00]  Vamos.
[0:43:56.00]-[0:43:57.00]  ¿Ven?
[0:43:57.00]-[0:43:58.00]  Vamos a verlo, bebé.
[0:43:58.00]-[0:44:00.00]  ¿Te había asustado?
[0:44:00.00]-[0:44:01.00]  No, no.
[0:44:01.00]-[0:44:02.00]  No me asusto.
[0:44:02.00]-[0:44:04.00]  ¿A ti te te creía la noche cuando te estaba...
[0:44:04.00]-[0:44:06.00]  No, ni para que me llevaba a tomar.
[0:44:06.00]-[0:44:08.00]  ¿Y la quina sí por ahí es por ser entenida?
[0:44:08.00]-[0:44:10.00]  Tenía, y tenía.
[0:44:10.00]-[0:44:11.00]  Con eso, ni.
[0:44:11.00]-[0:44:12.00]  Con eso, ni.
[0:44:12.00]-[0:44:14.00]  ¿Y la quina sí por ahí es por ser entenida?
[0:44:14.00]-[0:44:15.00]  No.
[0:44:15.00]-[0:44:16.00]  No.
[0:44:16.00]-[0:44:17.00]  No.
[0:44:17.00]-[0:44:18.00]  No.
[0:44:18.00]-[0:44:19.00]  No.
[0:44:19.00]-[0:44:20.00]  No.
[0:44:20.00]-[0:44:22.00]  No.
[0:44:22.00]-[0:44:28.00]  Con eso, como a mí no lo gusta, con el bebé, o los conejos.
[0:44:28.00]-[0:44:30.00]  No hay necesidad.
[0:44:30.00]-[0:44:32.00]  Y entonces cuando cae para la tierra, ¿se los comen así?
[0:44:32.00]-[0:44:35.00]  ¿La libra es cierta o no?
[0:44:35.00]-[0:44:37.00]  La libra es... no, es mucho.
[0:44:37.00]-[0:44:43.00]  Ya ven, cuando los comen a mi, casi cada uno lo come.
[0:44:43.00]-[0:44:45.00]  ¿Que los asuste más por asistión, no?
[0:44:45.00]-[0:44:48.00]  No, porque si tú te ponen en finito, yo no mato ahí.
[0:44:48.00]-[0:45:08.00]  y hay que levantarse para poder cogerla o que coger la camioneta?
[0:45:08.00]-[0:45:18.00]  no, porque esta cerca, pero si quieres dos horas de camino en el coche hay que estar ahí con la novia, ya se ve, tiene el día
[0:45:18.00]-[0:45:24.00]  pero un que raga la novia y los carros ya no van bien, tienen que correrse
[0:45:24.00]-[0:45:27.00]  y los que no la sacan también de la madriguera?
[0:45:27.00]-[0:45:29.00]  no, las tienen en el sendero
[0:45:29.00]-[0:45:32.00]  ah, que no se cierran los puertos y después se quedan aquí?
[0:45:32.00]-[0:45:40.76]  no, ahí hay que ir.
[0:45:44.76]-[0:45:47.76]  entonces, casa de pájaros no puede hacer usted colocalgo, no?
[0:45:47.76]-[0:45:49.76]  nada, yo no quiero vivir
[0:45:49.76]-[0:45:51.76]  y jabalí queda por aquí algo o tampoco?
[0:45:51.76]-[0:45:55.76]  sí, hay que ir, pero si hay que correr, tampoco puedo caminar
[0:45:55.76]-[0:45:58.76]  porque eso tampoco también sería con la escopeta, no?
[0:45:58.76]-[0:46:01.76]  y los gringos y el reso con balas
[0:46:03.76]-[0:46:07.76]  con gabariles y pegados en tiros con las copetas estas ahí y no va de nada
[0:46:09.76]-[0:46:15.76]  los rumbines que llevan balas, balas de seguridad a daño
[0:46:15.76]-[0:46:18.76]  y los cartuchos son de plomo
[0:46:18.76]-[0:46:22.76]  en vez de llevar perdigones como llevan los cartuchos, esos llevan plomo
[0:46:22.76]-[0:46:27.76]  son como balas pequeñas y así de cosas
[0:46:27.76]-[0:46:30.76]  pero eso no le ha gustado a usted nunca
[0:46:30.76]-[0:46:34.76]  ni lo he gustado, porque tengo un amigo que se dice a las casas
[0:46:34.76]-[0:46:38.76]  me lo ha dicho 40 veces, ve este, que vea, ahora es como te sigues, ya digo nada
[0:46:38.76]-[0:46:41.76]  pero porque no le gusta, le parece medio...
[0:46:41.76]-[0:46:45.76]  a mi no me gustará que lo haga, nada más que me dé otra cosa
[0:46:47.76]-[0:46:51.76]  es una defensa personal, eso, el que más puede se la llevo
[0:46:51.76]-[0:46:55.76]  vas con las copetas, le pegas un tiro y lo matas para que te quede
[0:46:55.76]-[0:47:00.76]  pero una nieve, si puede se va y si no tiene cargo, pues la mata
[0:47:00.76]-[0:47:03.76]  eso es una defensa que se defiende uno del otro
[0:47:03.76]-[0:47:05.76]  y eso me gusta mucho
[0:47:05.76]-[0:47:07.76]  hay menos trampa
[0:47:07.76]-[0:47:10.76]  si puede me mata y si no, pues hay que ver, me escapo
[0:47:10.76]-[0:47:14.76]  pero es lo de las copetas que sale de una nieve y le pega un tiro y lo mata
[0:47:14.76]-[0:47:17.76]  para que quede con la nieve y después lo mata
[0:47:17.76]-[0:47:21.76]  bueno, además cambiará el sabor y todo, si tiene la nieve con loco dentro
[0:47:21.76]-[0:47:25.76]  y estás comiendo, luego te sale el arroz perdido, donde es el humo
[0:47:25.76]-[0:47:27.76]  te sale y va a...
[0:47:31.76]-[0:47:33.76]  eso sí
[0:47:33.76]-[0:47:36.76]  mi padre casa con las copetas, el puper
[0:47:36.76]-[0:47:38.76]  no, pues es lindo, es un casito que se ayuda a mi
[0:47:38.76]-[0:47:41.76]  también lo hago unas que tres, tres o cuatro
[0:47:41.76]-[0:47:43.76]  pero demás son todas copetas
[0:47:43.76]-[0:47:47.76]  y la gente joven sigue yendo al campo a calzar o ya?
[0:47:47.76]-[0:47:51.76]  si, los jóvenes más que los viejos, ahora han salido mis barbujas
[0:47:51.76]-[0:47:53.76]  los jóvenes son todos jóvenes
[0:47:53.76]-[0:47:59.76]  pero los galos, como dices que estos años vamos comiendo con las copetas
[0:47:59.76]-[0:48:02.76]  termina la veida y la juega ahí y no te gasto
[0:48:02.76]-[0:48:04.76]  pero los galos dicen que estos años comimos
[0:48:04.76]-[0:48:06.76]  si pero tampoco mucho, no? porque se comen mucho
[0:48:06.76]-[0:48:08.76]  si, si, si, si, si
[0:48:08.76]-[0:48:12.76]  cuando se cierran las velas de la fiesta y se abre tres veces al año
[0:48:12.76]-[0:48:14.76]  se tiran ahí ya los siete meses
[0:48:14.76]-[0:48:17.76]  y cuando ya salen de la vida voy a tomar más
[0:48:17.76]-[0:48:22.76]  si lo hay a cada mañana se lo he hecho esta noche
[0:48:22.76]-[0:48:24.76]  y a la mañana ya
[0:48:24.76]-[0:48:29.76]  pero si, yo lo siento más
[0:48:29.76]-[0:48:33.76]  y si cazaste con calda porque las hembras son mejores que los machos para calzar?
[0:48:33.76]-[0:48:35.76]  porque yo antes tenía machos y hembras
[0:48:35.76]-[0:48:39.76]  y entonces cuando decidí abrir la vida, que me iba a calzar
[0:48:39.76]-[0:48:43.76]  el macho me había vivido una hembra y entonces me he calzado la hembra
[0:48:43.76]-[0:48:45.76]  y entonces me he vivido con un amigo
[0:48:45.76]-[0:48:48.76]  y entonces como creía usted nunca?
[0:48:48.76]-[0:48:50.76]  hay otro que tiene machos
[0:48:50.76]-[0:48:53.76]  entonces me salió una que no creía
[0:48:53.76]-[0:48:56.76]  entonces me salió una que no creía
[0:48:56.76]-[0:48:58.76]  y creía
[0:48:58.76]-[0:49:00.76]  pues creía usted la que ganas el mejor
[0:49:00.76]-[0:49:02.76]  claro, claro
[0:49:02.76]-[0:49:05.76]  tengo un amigo que es un macho lo que tiene
[0:49:05.76]-[0:49:09.76]  y esto después, cuando salen de la vida
[0:49:09.76]-[0:49:13.76]  cuando vas a hacer más uno y lo que ganas más tienes tres
[0:49:13.76]-[0:49:15.76]  y yo tengo dos
[0:49:15.76]-[0:49:19.76]  pero yo pongo el segundo tres y me quedo con dos
[0:49:19.76]-[0:49:21.76]  y qué es lo que hace?
[0:49:21.76]-[0:49:24.76]  tiene que regalar también a algunos cachorros o no quiere ya la gente?
[0:49:24.76]-[0:49:26.76]  si claro, quiere
[0:49:26.76]-[0:49:28.76]  si, claro, claro
[0:49:28.76]-[0:49:30.76]  yo me dejo un amigo que necesito
[0:49:30.76]-[0:49:32.76]  y otros los venden
[0:49:32.76]-[0:49:34.76]  pero yo no jodé
[0:49:34.76]-[0:49:36.76]  bueno, pues se crea
[0:49:36.76]-[0:49:41.76]  yo me quedo con dos que no hacen falta
[0:49:41.76]-[0:49:44.76]  y los demás los voy a dormir
[0:49:51.76]-[0:49:55.76]  y anota usted, si sigue estimando los rego
[0:49:55.76]-[0:50:00.76]  ¿lo sigue alimentando igual que hace tiempo o le trae otro tipo de pienso?
[0:50:00.76]-[0:50:02.76]  otro tipo de pienso
[0:50:02.76]-[0:50:04.76]  ¿se nota que haya cambiado el sabor?
[0:50:04.76]-[0:50:06.76]  se hace en el antes
[0:50:06.76]-[0:50:10.76]  antes trabajaba un poco el tenazte de tres meses
[0:50:10.76]-[0:50:13.76]  y ahora los dos meses ya tiene su color
[0:50:13.76]-[0:50:15.76]  y eso no cambia
[0:50:15.76]-[0:50:17.76]  se hace muy pronto
[0:50:17.76]-[0:50:19.76]  ¿y eso no cambia el sabor de las gafas?
[0:50:19.76]-[0:50:22.76]  los piensos están en abritados o veterinarios
[0:50:22.76]-[0:50:25.76]  son el mismo que siempre estábamos antes
[0:50:25.76]-[0:50:27.76]  pero ahora lleva otras estructuras
[0:50:27.76]-[0:50:31.76]  no, lo digo porque como dice usted que antes la bandera más natural
[0:50:31.76]-[0:50:33.76]  es el de los chinos
[0:50:33.76]-[0:50:35.76]  ah
[0:50:35.76]-[0:50:37.76]  y en los correos también
[0:50:37.76]-[0:50:39.76]  porque los correos antes les echaban
[0:50:39.76]-[0:50:41.76]  y van en aquel que mamaba y los que comían
[0:50:41.76]-[0:50:43.76]  ah, que comían hierba, suelto, ello
[0:50:43.76]-[0:50:47.76]  entonces los que comían mar, había hierba y entonces se había entupiado
[0:50:47.76]-[0:50:51.76]  y entonces los comían aquel que daba la leche de la madre
[0:50:51.76]-[0:50:53.76]  y ahora porque les echaban
[0:50:53.76]-[0:50:55.76]  aunque sean más pochos
[0:50:55.76]-[0:50:58.76]  ¿y se nota el cambio de sabor o no?
[0:50:58.76]-[0:51:00.76]  no
[0:51:00.76]-[0:51:03.76]  porque se nota, porque se llevaba un año que deshizo
[0:51:03.76]-[0:51:06.76]  antiguamente, los travesiantes mataban un reloj de los grandes
[0:51:06.76]-[0:51:08.76]  y ahora matan con estos pochos y los matan
[0:51:08.76]-[0:51:10.76]  pero ahora no vemos un año que deshizo
[0:51:10.76]-[0:51:12.76]  pero nosotros tenemos...
[0:51:12.76]-[0:51:14.76]  no, por eso le digo, si lo ha notado usted
[0:51:14.76]-[0:51:16.76]  no, no
[0:51:16.76]-[0:51:18.76]  no, porque no me crezco ya de años
[0:51:18.76]-[0:51:20.76]  que se terminó
[0:51:20.76]-[0:51:22.76]  lo han dado ya no tanto como antes
[0:51:22.76]-[0:51:24.76]  hacía 20 años, más
[0:51:24.76]-[0:51:26.76]  más de 20 años
[0:51:26.76]-[0:51:28.76]  que ha cambiado ya todo eso
[0:51:28.76]-[0:51:31.76]  ¿y lo ha hecho usted de menos a esa época o...?
[0:51:31.76]-[0:51:33.76]  lo he hecho
[0:51:33.76]-[0:51:35.76]  porque entonces no se gastaba nada
[0:51:35.76]-[0:51:37.76]  se sacaba también menos
[0:51:37.76]-[0:51:39.76]  pero gastaba menos
[0:51:39.76]-[0:51:41.76]  ahora los piensos están mudados
[0:51:41.76]-[0:51:43.76]  y viene que estar el piensio
[0:51:43.76]-[0:51:46.76]  y entonces como le huía o tanto
[0:51:46.76]-[0:51:48.76]  se había llevado mucho tiempo
[0:51:48.76]-[0:51:50.76]  porque oía que la madre y los hijos
[0:51:50.76]-[0:51:52.76]  todo el campo no gastaba una peseta
[0:51:52.76]-[0:51:54.76]  si nos daba 4000 pesetas
[0:51:54.76]-[0:51:56.76]  4000 pesetas pues se lo ganaba
[0:51:56.76]-[0:51:58.76]  y ahora lo que lo vende ahí
[0:51:58.76]-[0:52:00.76]  es que se ha comido más de 5
[0:52:00.76]-[0:52:02.76]  y si quiere que haya más vuelta
[0:52:02.76]-[0:52:04.76]  quiere saber
[0:52:04.76]-[0:52:06.76]  ¿y por qué está pasando?
[0:52:06.76]-[0:52:08.76]  ¿ha cambiado el clima y ahora no llueve?
[0:52:08.76]-[0:52:10.76]  no llueve, ríe, ríe
[0:52:10.76]-[0:52:12.76]  pero el año pasado
[0:52:12.76]-[0:52:14.76]  se ha sembrado el ceboa colares
[0:52:14.76]-[0:52:16.76]  y no pude ni comprar
[0:52:16.76]-[0:52:18.76]  ¿porque llovía poco?
[0:52:18.76]-[0:52:20.76]  no, cuando más falta el aves
[0:52:20.76]-[0:52:22.76]  después cuando tuvimos tanto aire
[0:52:22.76]-[0:52:24.76]  hay un mes en el que aire
[0:52:24.76]-[0:52:26.76]  y cada vez que monto va y no se gana
[0:52:26.76]-[0:52:28.76]  ¿y se echaba el de entera o se echaba el de entera?
[0:52:28.76]-[0:52:30.76]  se echaba el de entera
[0:52:30.76]-[0:52:32.76]  bueno, no lo echaba el de entera
[0:52:32.76]-[0:52:34.76]  se lo comía la abuela
[0:52:34.76]-[0:52:36.76]  daba un poco de pinica
[0:52:36.76]-[0:52:38.76]  como así de pequeña, nada
[0:52:38.76]-[0:52:40.76]  no tenía vuelta a ser al bote
[0:52:40.76]-[0:52:42.76]  y se había dado el de entera
[0:52:42.76]-[0:52:44.76]  y ya llevó dos años así
[0:52:44.76]-[0:52:46.76]  hace tres años y todo
[0:52:46.76]-[0:52:48.76]  ¿y no se puede regar?
[0:52:48.76]-[0:52:50.76]  ¿tiene que ser lluvia?
[0:52:50.76]-[0:52:52.76]  a mí de siempre no había lluvia
[0:52:52.76]-[0:52:56.76]  pero no porque el trigo no ha amitado agua
[0:52:56.76]-[0:52:58.76]  sino porque no hay agua
[0:52:58.76]-[0:53:00.76]  porque no hay agua para los que no se dan agua
[0:53:00.76]-[0:53:02.76]  en Calaeste
[0:53:02.76]-[0:53:04.76]  en esa zona que yo soy nudo
[0:53:04.76]-[0:53:06.76]  no ha llegado hasta allí la...
[0:53:06.76]-[0:53:08.76]  el calaeste que es el de las bases
[0:53:08.76]-[0:53:10.76]  ese de...
[0:53:10.76]-[0:53:12.76]  por lo menos
[0:53:12.76]-[0:53:14.76]  yo estaba en esta zona de aquí
[0:53:14.76]-[0:53:16.76]  de Campos pa allá
[0:53:16.76]-[0:53:18.76]  donde estaban
[0:53:18.76]-[0:53:20.76]  ahí unas tierras que teníamos ahí
[0:53:20.76]-[0:53:22.76]  que ya está de árbol
[0:53:22.76]-[0:53:24.76]  de botonero, de árbol
[0:53:24.76]-[0:53:26.76]  ¿ahora aquí también hay fruta y huerto?
[0:53:26.76]-[0:53:28.76]  claro
[0:53:28.76]-[0:53:32.76]  ¿y esta zona también de naranja como Valencia?
[0:53:32.76]-[0:53:34.76]  no, muy bien lleno
[0:53:34.76]-[0:53:36.76]  pero también en naranja
[0:53:36.76]-[0:53:38.76]  en un suriaco
[0:53:38.76]-[0:53:40.76]  pero sobre todo que no tiene trigo
[0:53:40.76]-[0:53:42.76]  y se va...
[0:53:42.76]-[0:53:44.76]  claro, si de ahí no tengo agua
