[0:00:00.00]-[0:00:05.00]  No hagas preguntas comprometidas.
[0:34:31.00]-[0:34:33.00]  150 pares de mulas.
[0:34:33.00]-[0:34:37.00]  Y hoy pues tienes a lo mejor 8 o 10 tractores.
[0:34:37.00]-[0:34:39.00]  Que por eso hay tantos pares de obreros también,
[0:34:39.00]-[0:34:43.00]  porque entonces 150 pares de mulas, cada uno necesitaba un par de mulas.
[0:34:43.00]-[0:34:46.00]  Un obrero y había 150 obreros empleados.
[0:34:46.00]-[0:34:51.00]  Y hoy pues a lo mejor hay dos o tres, porque los otros los llevan los ambos.
[0:34:51.00]-[0:34:53.00]  Y es como conducir un coche.
[0:34:53.00]-[0:34:57.00]  Que no cuesta trabajo y que cuide mucho.
[0:34:57.00]-[0:35:00.00]  ¿Y los carros se dan para el trabajo del campo?
[0:35:00.00]-[0:35:02.00]  Los carros para el trabajo del campo.
[0:35:02.00]-[0:35:03.00]  Habían que tenerlo por aquí.
[0:35:03.00]-[0:35:04.00]  ¿Eh?
[0:35:04.00]-[0:35:05.00]  Trigo tenían por aquí.
[0:35:05.00]-[0:35:06.00]  Trigo por aquí era lo que más...
[0:35:06.00]-[0:35:08.00]  La viña se daba mucho por aquí, la viña.
[0:35:08.00]-[0:35:11.00]  Por aquí se ha dado todo bien, porque este era un terreno bueno.
[0:35:11.00]-[0:35:15.00]  ¿Cómo preparaban la tierra para el cereal?
[0:35:15.00]-[0:35:16.00]  ¿Daban vueltas?
[0:35:16.00]-[0:35:18.00]  Si se las daba vueltas.
[0:35:18.00]-[0:35:20.00]  Se sembraba año sí y año no.
[0:35:20.00]-[0:35:22.00]  Año sí y año no en un terreno, ¿no?
[0:35:22.00]-[0:35:23.00]  En un terreno.
[0:35:23.00]-[0:35:25.00]  Se hacía la balbechera un año.
[0:35:25.00]-[0:35:29.00]  Uno que tuviera por ejemplo la mitad, lo sembraba.
[0:35:29.00]-[0:35:35.00]  Y la otra mitad lo estaba haciendo balbecho, que por ejemplo ahora lo alzaban,
[0:35:35.00]-[0:35:40.00]  porque salían los balbechos mejor alzándolos ahora y que viniera los hielos.
[0:35:40.00]-[0:35:42.00]  Y se iba a cojar ahí eso y luego...
[0:35:42.00]-[0:35:43.00]  ¿Alzar qué es?
[0:35:43.00]-[0:35:45.00]  Levantarlos.
[0:35:45.00]-[0:35:50.00]  O sea, después de sembrado, como quedaba el rastrojo ese, bueno pues la primer vuelta.
[0:35:50.00]-[0:35:52.00]  Y eso se llamaba alzar.
[0:35:52.00]-[0:35:53.00]  Esa es la primera.
[0:35:53.00]-[0:35:55.00]  Sí, y luego ya pues lo haraban otra vez.
[0:35:55.00]-[0:35:58.00]  Cuántas más veces lo harás mejor.
[0:35:58.00]-[0:36:03.00]  Cuántas más veces lo harás, pero como mínimo, pues lo haraban en el transcurso ese cuatro veces.
[0:36:03.00]-[0:36:04.00]  Cuatro veces.
[0:36:04.00]-[0:36:09.00]  En distintas épocas, cuatro o cinco veces, hasta que se sembraba.
[0:36:09.00]-[0:36:14.00]  Porque había hombres que, con una gracia que salía en especial, que se aprendía.
[0:36:14.00]-[0:36:21.00]  Se echaba un costal así, iba andando y llevaba a lo mejor 30 kilos y cogía así y iba así tirando.
[0:36:21.00]-[0:36:26.00]  Y ese cogía un espacio, pues que te lo diga, a lo mejor el ancho del porcio este,
[0:36:26.00]-[0:36:29.00]  y iba tirándolo, tirándolo y luego venía por el otro lado.
[0:36:29.00]-[0:36:34.00]  Y luego nacía eso y decía, parece mentira, pero que por ejemplo cada cuatro centímetros
[0:36:34.00]-[0:36:37.00]  había un grano tirado en el suelo, no estaban pegotones, ¿no?
[0:36:37.00]-[0:36:39.00]  Había gente que...
[0:36:39.00]-[0:36:42.00]  Sí, había gente, generalmente se aprendía bien eso.
[0:36:42.00]-[0:36:44.00]  ¿Eso se iba a sembrar a...?
[0:36:44.00]-[0:36:50.00]  Eso era sembrar, lo tiraban así y decían a Gualeo, porque a chorrillos se podía ir sembrando así,
[0:36:50.00]-[0:36:53.00]  pero eso era muy costoso.
[0:36:53.00]-[0:36:56.00]  Se sembraba a Boleo.
[0:36:56.00]-[0:37:00.00]  Iba uno a sembrar y había a lo mejor cinco padres de Mulastrano,
[0:37:00.00]-[0:37:03.00]  y él solo sembraba lo que araban los otros.
[0:37:03.00]-[0:37:07.00]  Llevaba un sobo, pero así era.
[0:37:07.00]-[0:37:10.00]  ¿Y después había que quitar hierbas o...?
[0:37:10.00]-[0:37:12.00]  Bueno, sí, luego lo andaban.
[0:37:12.00]-[0:37:17.00]  Había años y años que echaban más o menos, pero también se quitaba mucha hierba,
[0:37:17.00]-[0:37:20.00]  porque no usaban insecticidas.
[0:37:20.00]-[0:37:25.00]  Ahora se usan muchos insecticidas que dicen, bueno, pues echa ahí,
[0:37:25.00]-[0:37:29.00]  y al trigo no le ataca, pero a la hierba esa, pues ahí no sale nada.
[0:37:29.00]-[0:37:33.00]  Era más venenoso y más tóxico y todo lo que quieras, pero así era.
[0:37:33.00]-[0:37:35.00]  Porque era un trabajo duro lo de quitar...
[0:37:35.00]-[0:37:39.00]  Pues sí. Se andaba, que decían por el hondo, se pasaba un arao.
[0:37:39.00]-[0:37:46.00]  Otras veces había chicos, chavales, que si eran carlos llevaban una cosa como una orquilla que hacía así,
[0:37:46.00]-[0:37:53.00]  palo y unas hojitas iban así andando, y en todos los sitios donde veían un carlo, pues se cortaba a mano.
[0:37:53.00]-[0:37:57.00]  ¿Y ya cuando había crecido, para asegar?
[0:37:57.00]-[0:38:03.00]  Bueno, pues cuando había crecido para asegar se dejaba y cuando estaba para asegar se asejaba a mano.
[0:38:03.00]-[0:38:04.00]  A mano.
[0:38:04.00]-[0:38:07.00]  Y cogiéndolo, pues a puñado, pero entonces iban las mujeres y todo,
[0:38:07.00]-[0:38:16.00]  y se iba puñado con una hoz y una zoqueta, que decíamos que la zoqueta era una cosa que se hacía un hueco en un tarugo,
[0:38:16.00]-[0:38:21.00]  que eso venía hecho, que cogía el puñado mucho mayor, en una palabra.
[0:38:21.00]-[0:38:25.00]  Ese era el gesto de la zoqueta, que se realmente ponía la mano izquierda.
[0:38:25.00]-[0:38:29.00]  Como se llegaba con la derecha y así se llegaba a mano.
[0:38:29.00]-[0:38:30.00]  A mano.
[0:38:30.00]-[0:38:31.00]  A mano.
[0:38:31.00]-[0:38:38.00]  Ahora ya son las cosechadoras, pero ten en cuenta que una cosechadora ahora va y en un día,
[0:38:38.00]-[0:38:42.00]  en un día, pues deja terminado, lo deja lo primero en sacos,
[0:38:42.00]-[0:38:46.00]  digo, y si no en sacos a graner, como quieras, pero lo deja.
[0:38:46.00]-[0:38:53.00]  Y en un día hace más que hacían, pues 60 hombres todos los días.
[0:38:53.00]-[0:38:54.00]  Ya, ya, ya.
[0:38:54.00]-[0:38:57.00]  Y además no trabajaba al lado de como trabajaban nosotros.
[0:38:57.00]-[0:38:59.00]  Porque en agosto...
[0:38:59.00]-[0:39:04.00]  No, es que la cosechadora ahora, pues ya, al principio sí, pero ahora lleva una cabida,
[0:39:04.00]-[0:39:06.00]  como si fuera un coche.
[0:39:06.00]-[0:39:09.00]  Y por menos, como es en el mes de agosto, que es cuando más calor hace,
[0:39:09.00]-[0:39:11.00]  pues lleva hasta ahí acondicionado dentro.
[0:39:11.00]-[0:39:16.00]  Que ya dice, yo estoy aquí, por ejemplo, a 18 grados, y no le entra el polvo.
[0:39:16.00]-[0:39:20.00]  Claro, en esas condiciones, pues aguanta más que uno que tiene que venir corriendo.
[0:39:20.00]-[0:39:22.00]  Claro, claro.
[0:39:22.00]-[0:39:27.00]  Y cuando secaban con la hoz, ¿había segando y después gente recogiendo?
[0:39:27.00]-[0:39:31.00]  Cuando secaban con la hoz, lo segaban y lo hacían haces.
[0:39:31.00]-[0:39:34.00]  Haces como manojos grandes que se ataban.
[0:39:34.00]-[0:39:38.00]  Luego después se iba, se apilaba.
[0:39:38.00]-[0:39:43.00]  Lo apilaban con las espigas para adentro, con el fin de que no se melmara.
[0:39:43.00]-[0:39:47.00]  Y luego después con una cosa que llevaban en un holcón, que era un palo,
[0:39:47.00]-[0:39:53.00]  no acuerdo que tenía así dos ganchos, pinchabas y echándolo hacia el carro.
[0:39:53.00]-[0:39:56.00]  En el carro iba otro que lo iba colocando.
[0:39:56.00]-[0:39:58.00]  Luego después se traía la era.
[0:39:58.00]-[0:40:05.00]  Y había que desatarlos y con unas mulas, a base de pisalo,
[0:40:05.00]-[0:40:10.00]  pues lo hacían, lo destrozaban todos, a base de pisalo y unas trillas,
[0:40:10.00]-[0:40:15.00]  que la trilla era una cosa que se dedicaban de los de la provincia de Segovia.
[0:40:15.00]-[0:40:20.00]  Y eran los mejores trilleros que había, que llamaban cantalejo,
[0:40:20.00]-[0:40:25.00]  que eran unas tablas de pino, unas tablas que tuvieran un ancho de metro y medio,
[0:40:25.00]-[0:40:28.00]  por así, por dos de largo.
[0:40:28.00]-[0:40:32.00]  Y eso por debajo se devolvía y llevaba unos pedronales,
[0:40:32.00]-[0:40:37.00]  de un pedronal sacaban tiritas que te cortaban.
[0:40:37.00]-[0:40:40.00]  Que si por casualidad caía uno, en un descanso de Segovia,
[0:40:40.00]-[0:40:47.00]  se había escapado las mulas y había pillado una trilla que le había pasado por encima,
[0:40:47.00]-[0:40:50.00]  pues los matales no le mataban, pero le sacaban, como decíamos,
[0:40:50.00]-[0:40:52.00]  hechos anulazas, arañados por todos lados,
[0:40:52.00]-[0:40:55.00]  y si le habían pillado la ropa se le había hecho 40 cachos solamente,
[0:40:55.00]-[0:40:57.00]  la pasada era.
[0:40:57.00]-[0:41:00.00]  ¿Y qué tenían, cuantrillaban, en qué forma? ¿Era redondo?
[0:41:00.00]-[0:41:05.00]  Redondo. Redondo se hacía, en eras que había puestas, se dedicaban a eso.
[0:41:05.00]-[0:41:06.00]  ¿En eras?
[0:41:06.00]-[0:41:08.00]  Eras, que decíamos eras, eras.
[0:41:08.00]-[0:41:13.00]  Y era una cosa redonda, cuanto más grande mejor, porque andaban con más soltura,
[0:41:13.00]-[0:41:18.00]  las mulas tiraban mejor, porque el tiro en las mulas le llevaban enredor,
[0:41:18.00]-[0:41:22.00]  y siempre le llevaban enganchado en la parte izquierda,
[0:41:22.00]-[0:41:25.00]  tirando de lado, no es como tirar así de frente.
[0:41:25.00]-[0:41:28.00]  Y cuanto más grande deje la hecha, pues mejor.
[0:41:28.00]-[0:41:32.00]  Y tiraban solamente de un lado, las dos llevaban un balacín,
[0:41:32.00]-[0:41:35.00]  que iba esto, una cosa así, cogía aquí a la trilla,
[0:41:35.00]-[0:41:40.00]  y así llevaba unas anillas y allá llevaban unos ganchos que eso giraba.
[0:41:40.00]-[0:41:44.00]  Y por eso, la que iba enredado de dentro andaba menos que la de fuera.
[0:41:44.00]-[0:41:46.00]  Y así era como se hacía.
[0:41:46.00]-[0:41:50.00]  Luego después, por la tala, cuando ya estaba bien desgranado y que se veía hielo,
[0:41:50.00]-[0:41:55.00]  pues lo recogían, se recogía con un camiso.
[0:41:55.00]-[0:42:02.00]  El camiso era una tabla, que por ejemplo, así, de ancha,
[0:42:02.00]-[0:42:07.00]  que iba rastreando por el suelo, que tenía un corte que no se enganchaba,
[0:42:07.00]-[0:42:12.00]  y un hombre que montaba atrás y agarraba a la cola de la caballería que fuera,
[0:42:12.00]-[0:42:19.00]  le hacían, pues como salían colados, pues como sale a lo mejor el caballo de un recorreado morito,
[0:42:19.00]-[0:42:22.00]  y allí llevaba una cuerda y en eso se agarraba él.
[0:42:22.00]-[0:42:27.00]  Y hacía un montón, pues acaba a lo mejor un montón así de alto,
[0:42:27.00]-[0:42:31.00]  y más alto que de donde está el cubeto, aquí está en travesía.
[0:42:31.00]-[0:42:35.00]  Pero después había otros rodillos, los rodillos ya eran una cosa a mano,
[0:42:35.00]-[0:42:38.00]  que había dos o tres que lo iban arrodillando,
[0:42:38.00]-[0:42:41.00]  y así lo hacían un montón en un sitio donde no estorbada,
[0:42:41.00]-[0:42:43.00]  y cuando venía aire, pues se limpiaba el aire.
[0:42:43.00]-[0:42:45.00]  ¿Y con qué limpiaban?
[0:42:45.00]-[0:42:50.00]  Pues se limpiaba con un bielo echándolo al alto.
[0:42:50.00]-[0:42:54.00]  Siempre las heras estaban en un sitio por aquí de ahí, es que mejor se daban al gallego que les dían,
[0:42:54.00]-[0:42:57.00]  y estaban ahí en un cordón de tierra,
[0:42:57.00]-[0:43:02.00]  y los ojetes, muy especialidad, que lo tiraban y con arruela como vida hacía,
[0:43:02.00]-[0:43:04.00]  así un poquito más cruzado o menos cruzado,
[0:43:04.00]-[0:43:08.00]  pero que se lesionaba el trigo de la paja,
[0:43:08.00]-[0:43:12.00]  y que la paja iba por ejemplo a parada, donde está el montón de la arena,
[0:43:12.00]-[0:43:16.00]  y el trigo se quedaba aquí, y a base de dar los vueltas,
[0:43:16.00]-[0:43:20.00]  pues lo veías y decías, esto es imposible, pues esto era verdad.
[0:43:20.00]-[0:43:24.00]  Luego dentro de eso, pues había unos que eran más largos que otros,
[0:43:24.00]-[0:43:27.00]  y había puesto a limpiar a lo mejor una tarde,
[0:43:27.00]-[0:43:30.00]  porque eso se aprovechaba mucho el tiempo cuando entraba el aire bien,
[0:43:30.00]-[0:43:32.00]  y a lo mejor había puesto a las seis de la tarde,
[0:43:32.00]-[0:43:35.00]  y lo dejaba otro día a las ocho de la mañana.
[0:43:35.00]-[0:43:41.00]  Y había quienes en ese tiempo había limpiado a lo mejor dos mil kilos de trigo,
[0:43:41.00]-[0:43:47.00]  y había quien no podía hacer más que mil, porque varía menos, o era menos mañoso.
[0:43:47.00]-[0:43:52.00]  ¿Y cuando ya habían separado el grano de la paja, qué hacían con...
[0:43:52.00]-[0:43:56.00]  Lo metían en sacos, como si hicieramos bolsas, y ya se bajaba.
[0:43:56.00]-[0:44:00.00]  Y se bajaba el grano, si era el trigo se vendía a los almacenes,
[0:44:00.00]-[0:44:05.00]  a los fabricantes de harina, y si era sólada pues eran piensos,
[0:44:05.00]-[0:44:09.00]  que se había que dejar primero para que comiera el ganado que tenías tú,
[0:44:09.00]-[0:44:11.00]  y todos los bichos que tenías.
[0:44:11.00]-[0:44:15.00]  Pero llevaban a moler el trigo.
[0:44:15.00]-[0:44:19.00]  No, el pienso no, el trigo se le vendía, y ese tenía una fábrica de harinas,
[0:44:19.00]-[0:44:24.00]  lo moría, y ya lo vendía hecho harina luego para comer pan.
[0:44:24.00]-[0:44:25.00]  ¿Y la cebada?
[0:44:25.00]-[0:44:28.00]  La cebada pues no, se molía, se molía a lo mejor un poco para hacerlo,
[0:44:28.00]-[0:44:31.00]  porque decían que era más digestivo, que les facilitaba la digestión.
[0:44:31.00]-[0:44:35.00]  Pero las mulas no, eso se les llevaba entero.
[0:44:35.00]-[0:44:42.00]  Se llevaba con la paja, y las mulas pues de ordinario se comía a lo mejor una mula,
[0:44:42.00]-[0:44:48.00]  cinco o seis kilos, porque claro, el animal era un bicho que con arreglo a como moría,
[0:44:48.00]-[0:44:51.00]  como comía el día.
[0:44:51.00]-[0:44:56.00]  Era como una persona que a lo mejor uno, pues qué te voy a decir, come menos y es más,
[0:44:56.00]-[0:45:01.00]  más vino, tiene otra raza, con más facilidad, corre mejor, salta, lo que sea.
[0:45:01.00]-[0:45:11.00]  Pero las mulas eran de los bichos del animal que más acusaban si una mula comía o si no comía.
[0:45:11.00]-[0:45:15.00]  Se la notaba hasta en el brillo del pelo, y en las ganas de las mulas trabajar.
[0:45:15.00]-[0:45:17.00]  O sea que había que dar de comer muchísimo a las mulas.
[0:45:17.00]-[0:45:18.00]  Y a las mulas las ayudaban.
[0:45:18.00]-[0:45:21.00]  Entonces en época de trabajo, daban más de comer.
[0:45:21.00]-[0:45:25.00]  Pues sí, que generalmente se les daba un poco más de comer a las mulas,
[0:45:25.00]-[0:45:29.00]  porque la mula era una cosa que tenía un desgaste grande.
[0:45:29.00]-[0:45:35.00]  Y venía una temporada que estaba por ejemplo ocho días lloviendo,
[0:45:35.00]-[0:45:40.00]  y echándolas menos de comer, como no hacían más, pues la mula no se pesaba,
[0:45:40.00]-[0:45:46.00]  pero si la hubieras visto y se hubiera pesado, pues se había hecho a lo mejor un kilo todos los días.
[0:45:46.00]-[0:45:50.00]  Y hasta en el mismo pelo se notaba.
[0:45:50.00]-[0:45:56.00]  La mula que comía bien tenía otro brillo, otra cosa, a la mula que se veía que comía mal.
[0:45:56.00]-[0:46:03.00]  La mula era un animal que se le esquilaba, esquilarlas era cortarlas el pelo, una vez al año.
[0:46:03.00]-[0:46:06.00]  Y se les cortaba el pelo desde la mitad de la tripa para arriba,
[0:46:06.00]-[0:46:10.00]  hasta la parte del lombo, por la tripa abajo no se cortaba nunca.
[0:46:10.00]-[0:46:13.00]  Ni lo que podíamos decir los mulos, las pantorrillas.
[0:46:13.00]-[0:46:18.00]  Como si llegábamos desde los carrillos del pulo para arriba,
[0:46:18.00]-[0:46:21.00]  toda la parte del lombo y eso era lo que se les cortaba.
[0:46:21.00]-[0:46:23.00]  Y eso lo hacían una vez.
[0:46:23.00]-[0:46:27.00]  ¿Y eso con la paja? ¿Qué hacían?
[0:46:27.00]-[0:46:31.00]  Pues con la paja, las mulas consumían mucha paja.
[0:46:31.00]-[0:46:36.00]  En los pueblos entonces, los cocidos, que además eran mejor,
[0:46:36.00]-[0:46:40.00]  de eso sí te lo digo yo, porque eso lo he visto yo en mi padre,
[0:46:40.00]-[0:46:44.00]  que había una lumbre baja y de los cepos por ejemplo,
[0:46:44.00]-[0:46:48.00]  cuando se emundaban las olivas de pernillos de esos, se echaban cepos.
[0:46:48.00]-[0:46:52.00]  Y estaba así, no en el suelo, pues no se puede decir cómo está eso.
[0:46:52.00]-[0:46:54.00]  Y allí se ponía el cocido.
[0:46:54.00]-[0:47:00.00]  El cocido solía ser un puchero de barro, pero de barro que luego tenía como un baño.
[0:47:00.00]-[0:47:05.00]  Y yo recuerdo mi madre de que, especialmente cuando llegaban los toros,
[0:47:05.00]-[0:47:08.00]  porque era muy aficionado a los toros, y el día de los toros,
[0:47:08.00]-[0:47:11.00]  un cocido a la hora de ponerle al gas press, le ponía a mi mujer dentro
[0:47:11.00]-[0:47:15.00]  y en media hora estaba abierto, pero no estaba igual que sabía que.
[0:47:15.00]-[0:47:18.00]  Que entonces llegaba una fiesta y le decía, bueno pues,
[0:47:18.00]-[0:47:23.00]  echaba los garbanzos, echaba la carne del tocino, almóndigas, carnias,
[0:47:23.00]-[0:47:26.00]  y lo dejaba y estaba así a lo mejor cociendo cuatro horas.
[0:47:26.00]-[0:47:28.00]  Y cuando veníamos estaba hecho.
[0:47:28.00]-[0:47:32.00]  Y eso pues se cocía de eso, de la parte de paja que no valía ya,
[0:47:32.00]-[0:47:37.00]  de lo que las mulas tiraban y eso, con algo de excremento de las mulas,
[0:47:37.00]-[0:47:42.00]  que se hacía allí y con eso se cocía.
[0:47:42.00]-[0:47:48.00]  Yo recuerdo que en mi casa, y en todas las casas,
[0:47:48.00]-[0:47:52.00]  cuando llegaba por la noche y yo era pequeño, le decía yo a mi madre,
[0:47:52.00]-[0:47:56.00]  y hacía frío, madre caliente muestré la cama.
[0:47:56.00]-[0:48:01.00]  Y la cama era un calentador, que no sé si lo habréis visto a vosotras alguna vez,
[0:48:01.00]-[0:48:06.00]  el calentador era una cosa como si iba con una sartén que tenía el lado mulago,
[0:48:06.00]-[0:48:09.00]  y tenía una tapadera que no se podía manchar.
[0:48:09.00]-[0:48:14.00]  Y cogía a mi madre del rescoldo de la coabía y lo echaban en el calentador,
[0:48:14.00]-[0:48:18.00]  y eso estaba muy bien limpio, un vuelo bajo, cada vez se calentaba.
[0:48:18.00]-[0:48:24.00]  Y eso lo pasaban entre la manta y las sábanas y estaba tan calentito.
[0:48:26.00]-[0:48:29.00]  ¿Y dónde guardaban la paja?
[0:48:29.00]-[0:48:31.00]  Las pajas se guardaban en pajares viajitos, era un pajarito.
[0:48:31.00]-[0:48:33.00]  ¿En eso? O sea, ¿no estaban en alto?
[0:48:33.00]-[0:48:38.00]  Lo sabía con arreglo a cada uno como podía, era más cómodo así porque aquí lo echaban con más facilidad,
[0:48:38.00]-[0:48:41.00]  se echaban en alto también, cada uno como podía.
[0:48:41.00]-[0:48:43.00]  Claro, cuando había que echar en alto la paja era más difícil, ¿no?
[0:48:43.00]-[0:48:49.00]  Claro, no era más difícil, era más trabajoso, y así al descargarlo pues caía la mayoría del trabajo,
[0:48:49.00]-[0:48:53.00]  en todas las cuadras que había había una pajera,
[0:48:53.00]-[0:48:58.00]  una pajera era pues un depósito donde cogía a lo mejor 100 kilos de paja,
[0:48:58.00]-[0:49:02.00]  y allí había una criba para cribarlo un poco por si llevaba lo de tierra fría,
[0:49:02.00]-[0:49:07.00]  y se echaba de comer a las mulas en la cuadra, en unos pesebres que había,
[0:49:07.00]-[0:49:12.00]  que los pesebres eran como ni gramos cajones, que estaban ya preparados para ello.
[0:49:14.00]-[0:49:17.00]  ¿Y para qué más usaban la paja? ¿Para camas de animales y eso?
[0:49:17.00]-[0:49:21.00]  Sí, para camas de animales y eso, que luego se hacían mucha basura.
[0:49:21.00]-[0:49:27.00]  El estiércol, y eso era la mayor riqueza que se podía echar a las plantas,
[0:49:27.00]-[0:49:33.00]  que se podía echar en el suelo y se veía que a otro año, si estaba mejor,
[0:49:33.00]-[0:49:37.00]  decían, ese sí lo han apretado de basura, y se echaba basura.
[0:49:37.00]-[0:49:39.00]  Se recogían y...
[0:49:39.00]-[0:49:44.00]  Sí, sí, todo eso se recogía, mira, ahí en medio, por ejemplo, había un hoyo entonces,
[0:49:44.00]-[0:49:48.00]  y todo lo que se sacaba se iba echando ahí,
[0:49:48.00]-[0:49:51.00]  y cuando llovía pues las aguas iban a parar y se repodría eso,
[0:49:51.00]-[0:49:55.00]  y luego se sacaba, y eso era el estiércol, que era muy buena cosa.
[0:49:55.00]-[0:49:57.00]  Y echaban a las tierras.
[0:49:57.00]-[0:50:01.00]  Como hacen ahora, por ejemplo, en Madrid, una de las mejores basuras que hay
[0:50:01.00]-[0:50:06.00]  es la hoja, esa hoja, en el retiro, las hojas que caen,
[0:50:06.00]-[0:50:11.00]  pues tienen un hoyo, un sitio donde las echan todas allí, eso se repudre,
[0:50:11.00]-[0:50:16.00]  al año que viene o dentro de dos años lo sacan eso, y está hecha en una tierra negra,
[0:50:16.00]-[0:50:21.00]  y es cuando ponen un jardín que dicen, pero coño, si pusieron estantes de ayer
[0:50:21.00]-[0:50:26.00]  y no había nadie, ahora qué flores más bonitas tiene, de begonias y cosas de esas, ¿sí?
[0:50:26.00]-[0:50:29.00]  Es por el estiércol.
[0:50:29.00]-[0:50:32.00]  Y de ovejas no usaban estiércol.
[0:50:32.00]-[0:50:37.00]  De ovejas usaban estiércol el que pedía ovejas, eso era mejor,
[0:50:37.00]-[0:50:39.00]  y la gallinaza mejor.
[0:50:39.00]-[0:50:45.00]  La gallinaza es el excremento de la gallina, y lo de la paloma lo mejor,
[0:50:45.00]-[0:50:50.00]  pero eso es supertísimo, o sea que a eso tiene que ser mucho menos.
[0:50:50.00]-[0:50:55.00]  Pero claro, esas cosas no, el que las tenía no se vendían.
[0:50:55.00]-[0:50:57.00]  Ya se quedaba para las esterías.
[0:50:57.00]-[0:50:59.00]  Ya se quedaba para ellos.
[0:50:59.00]-[0:51:06.00]  Ahora las granjas, que aquí hay una granja muy grande, que tiene 70 o 80 mil gallinas,
[0:51:06.00]-[0:51:12.00]  pues tienen otros procedimientos que la gallinaza se saca todos los días y se hace montones,
[0:51:12.00]-[0:51:18.00]  y los camiones que vienen a descargar fruta, pues de reporte vienen aquí, cargan,
[0:51:18.00]-[0:51:21.00]  y se lleva a uno, pues a lo mejor 5 o 6 mil kilos,
[0:51:21.00]-[0:51:25.00]  lo que pueden, para estirar solo a las tierras en Valencia, no creas tú que es.
[0:51:25.00]-[0:51:27.00]  Es una cosa que los pagaban muy caro.
[0:51:27.00]-[0:51:29.00]  ¿Cómo se llama?
[0:51:29.00]-[0:51:32.00]  La gallinaza.
[0:51:32.00]-[0:51:39.00]  Y a veces, pues en depósitos, como si fueran tanques de la cansa de repartir la gasolina,
[0:51:39.00]-[0:51:45.00]  se lleva por dentro una cosa que como es como si fuera harina, lo mueve y lo deshace,
[0:51:45.00]-[0:51:52.00]  y lo hace en un barrillo, y lleva a lo mejor mil kilos de gallinaza y dos mil de agua,
[0:51:52.00]-[0:51:57.00]  y eso lo bate, lo hace en una especie de chocolate, que por cierto huele muy mal,
[0:51:57.00]-[0:52:03.00]  pero que eso es buenísimo, y lo tiran, como se riega la plaza Toros en Madrid,
[0:52:03.00]-[0:52:10.00]  con el tanque ese, pues así lo riegan, pero claro, es muy caro y lo hace pues el que puede hacer.
[0:52:10.00]-[0:52:14.00]  Y me has dicho que aparte de cereal tenían aquí viñas, ¿no?
[0:52:14.00]-[0:52:19.00]  Sí, aquí se criaba así viñas, muchas, y olivas.
[0:52:19.00]-[0:52:22.00]  ¿Y qué era? ¿Hacían vino?
[0:52:22.00]-[0:52:26.00]  Sí, aquí se hacía vino. Mucho, y se hacía, se hace.
[0:52:26.00]-[0:52:30.00]  ¿Y cómo cultivaban la viña? ¿Cómo la cuidaban?
[0:52:30.00]-[0:52:32.00]  Las viñas se cuidaban muy bien.
[0:52:32.00]-[0:52:33.00]  Había que cuidarlas mucho, ¿no?
[0:52:33.00]-[0:52:37.00]  Sí, había que plantarlas, después la viña labrarla muy bien, muy linda,
[0:52:37.00]-[0:52:42.00]  quitarla todas las siempre de la brocha que tuviera, gente que estuviera especializada en podarlas,
[0:52:42.00]-[0:52:45.00]  las viñas a veces se cuidaban muy bien, ahora es lo que más linda, ¿verdad?
[0:52:45.00]-[0:52:46.00]  ¿Y para podarlas?
[0:52:46.00]-[0:52:52.00]  Bueno, para podarlas había gente especializada, lo mismo que tienes jardineros que te podan un árbol muy bien,
[0:52:52.00]-[0:52:57.00]  pues aquí había, como era un pueblo que tenía muchas viñas, había muchos.
[0:52:57.00]-[0:53:01.00]  Ya eso luego dependía del capricho de cada uno, del suelo que pisaran,
[0:53:01.00]-[0:53:05.00]  porque había terrenos que eran mejor y se podían,
[0:53:05.00]-[0:53:12.00]  y del capricho de cada uno, hasta de la simpatía que tuviera tu aunque podaba.
[0:53:12.00]-[0:53:21.00]  Lo que ha pasado siempre es, hay un desfile de modelos y lo vas a ver todos igual,
[0:53:21.00]-[0:53:25.00]  y pasa ahí hay mujeres que dicen, pues a mí me gusta más culano de tal,
[0:53:25.00]-[0:53:28.00]  los modelos que ha presentado que los que ha presentado el otro y con la red de nariz,
[0:53:28.00]-[0:53:33.00]  y en la poda pues pasaba una cosa por el estilo, había quien tenía una gracia,
[0:53:33.00]-[0:53:36.00]  se podaba no con tijeras, sino con una hoz.
[0:53:36.00]-[0:53:38.00]  ¿Con una hoz? ¿Por qué?
[0:53:38.00]-[0:53:42.00]  Pues porque se limpiaba más la cepa, se podía meter en el mejor sitio.
[0:53:42.00]-[0:53:47.00]  La hoz era una cosa que tenía un mango, una cosa así,
[0:53:47.00]-[0:53:53.00]  por aquí abajo aparecía una cuchilla de un carpizero, de las pequeñas,
[0:53:53.00]-[0:54:01.00]  llevaba un corte buenísimo, finísimo y era muy difícil podar, había que tener su aire y su gracia.
[0:54:01.00]-[0:54:06.00]  Y se cogía un aliento así de grande y había que hacer así y le cortaba.
[0:54:06.00]-[0:54:09.00]  Y había que cortar ese aliento sin que se rajara.
[0:54:09.00]-[0:54:11.00]  ¿No se podía rajar?
[0:54:11.00]-[0:54:13.00]  Claro, no porque se estropeaba mucho.
[0:54:13.00]-[0:54:15.00]  ¿Y los alientos después usaban para...?
