[0:00:00.00]-[0:00:02.00]  ¿Queréis que la come?
[0:39:51.00]-[0:39:53.00]  No es que no digáis.
[0:39:53.00]-[0:39:55.00]  Es que lo dicen todas.
[0:39:55.00]-[0:39:57.00]  No saben a nada.
[0:39:57.00]-[0:39:59.00]  Las gallinas sacan algún ojico...
[0:39:59.00]-[0:40:01.00]  O pico.
[0:40:01.00]-[0:40:03.00]  Decimos en las gráficas de las gallinas.
[0:40:03.00]-[0:40:05.00]  Pero...
[0:40:05.00]-[0:40:07.00]  Los corrales estos...
[0:40:07.00]-[0:40:09.00]  Que mi chica compra gallinas en San Agosto...
[0:40:09.00]-[0:40:11.00]  Y pocos buenos caldos salen.
[0:40:11.00]-[0:40:13.00]  Sin embargo,
[0:40:13.00]-[0:40:15.00]  Hace pocos días...
[0:40:15.00]-[0:40:17.00]  Porque estas son más jóvenes...
[0:40:17.00]-[0:40:19.00]  Y ido matando materos...
[0:40:19.00]-[0:40:21.00]  Y le mandé...
[0:40:21.00]-[0:40:23.00]  Y dice, esto es caldo.
[0:40:23.00]-[0:40:25.00]  Esto es caldo.
[0:40:25.00]-[0:40:27.00]  No, eso.
[0:40:27.00]-[0:40:29.00]  Creo que no comen, más que todo, artificial.
[0:40:29.00]-[0:40:31.00]  Pero ahora todas las jóvenes ya no quieren tener...
[0:40:31.00]-[0:40:33.00]  Ni gallinas, ni nada.
[0:40:33.00]-[0:40:35.00]  Todas las jóvenes que hay por aquí...
[0:40:35.00]-[0:40:37.00]  Que son todas colasteras, que se han casado con chicos de aquí...
[0:40:37.00]-[0:40:39.00]  No tienen ni gallinas, ni ningún bicho.
[0:40:39.00]-[0:40:41.00]  Ni nada.
[0:40:41.00]-[0:40:43.00]  Ni bananas, no.
[0:40:43.00]-[0:40:45.00]  Como lo ves tú, todo bien.
[0:40:45.00]-[0:40:47.00]  Las manos se le caen huevos.
[0:40:47.00]-[0:40:49.00]  Y yo cinco o dos ganas...
[0:40:49.00]-[0:40:51.00]  Tengo a cualquier hora.
[0:40:51.00]-[0:40:53.00]  Y tú igual.
[0:40:53.00]-[0:40:55.00]  Si, ahora mi chico estuvo y se llevó.
[0:40:55.00]-[0:40:57.00]  Mira que día estuvo mi chica.
[0:40:57.00]-[0:40:59.00]  El día tan corte.
[0:40:59.00]-[0:41:01.00]  Y mira las docenas que se llevó.
[0:41:01.00]-[0:41:03.00]  Pues, y puedes ver las que eso.
[0:41:03.00]-[0:41:05.00]  Y esta mañana ha venido...
[0:41:05.00]-[0:41:07.00]  Un pariente mío...
[0:41:07.00]-[0:41:09.00]  Y...
[0:41:09.00]-[0:41:11.00]  Y aquél se lo merecía.
[0:41:11.00]-[0:41:13.00]  Y ha tenido papo de él,
[0:41:13.00]-[0:41:15.00]  De todas cosas.
[0:41:15.00]-[0:41:17.00]  Pero solamente se lo llegaron otras personas.
[0:41:17.00]-[0:41:19.00]  No tengo, pero como...
[0:41:19.00]-[0:41:21.00]  Hacemos confitados de todo.
[0:41:21.00]-[0:41:23.00]  De todas clases que...
[0:41:23.00]-[0:41:25.00]  Que vienen. Hasta de calabaza.
[0:41:25.00]-[0:41:27.00]  Pero hacemos tú y yo.
[0:41:27.00]-[0:41:29.00]  Y alguna más, pero pocas en el pueblo.
[0:41:29.00]-[0:41:31.00]  La gente no tiene ganas de trabajar.
[0:41:31.00]-[0:41:33.00]  Pero yo, mira, me pongo la cochera.
[0:41:33.00]-[0:41:35.00]  Y al día de los del butano...
[0:41:35.00]-[0:41:37.00]  Allí...
[0:41:37.00]-[0:41:39.00]  No me se pierde ni un melocotón.
[0:41:39.00]-[0:41:41.00]  Antes que me se pierda, yo unos botes.
[0:41:41.00]-[0:41:43.00]  Por si no se pudren.
[0:41:43.00]-[0:41:47.00]  El otro día abrimos una calabaza...
[0:41:47.00]-[0:41:49.00]  Que pesaría ni se los kilos.
[0:41:49.00]-[0:41:51.00]  Se llevó mi chica mucha para darla en Zaragoza.
[0:41:51.00]-[0:41:53.00]  Para darla...
[0:41:53.00]-[0:41:55.00]  Y tengo...
[0:41:55.00]-[0:41:57.00]  No sé lo que tengo.
[0:41:57.00]-[0:41:59.00]  Porque no tengo ganas de hacer de calabaza.
[0:41:59.00]-[0:42:01.00]  Yo también congelo la calabaza cuando viene.
[0:42:01.00]-[0:42:03.00]  Ahora la sembramos.
[0:42:03.00]-[0:42:05.00]  Cuando son las pequeñas de esas...
[0:42:05.00]-[0:42:07.00]  Pero es que son cosas...
[0:42:07.00]-[0:42:09.00]  Que son camisas de garante.
[0:42:09.00]-[0:42:11.00]  Las congelo a trozos.
[0:42:11.00]-[0:42:13.00]  Y las saco del arco.
[0:42:13.00]-[0:42:15.00]  Y las descubre cuando quieres.
[0:42:15.00]-[0:42:17.00]  Pero hay que hacer todo pesado.
[0:42:17.00]-[0:42:19.00]  Y judías.
[0:42:19.00]-[0:42:21.00]  Las judías no necesito.
[0:42:21.00]-[0:42:23.00]  Pero las congeladas...
[0:42:23.00]-[0:42:25.00]  Y así sale.
[0:42:25.00]-[0:42:27.00]  Me encarnan en brillo.
[0:42:27.00]-[0:42:29.00]  Yo me gusta mucho.
[0:42:29.00]-[0:42:31.00]  Me encarnan en brillo.
[0:42:31.00]-[0:42:33.00]  Y sale una cosa...
[0:42:33.00]-[0:42:35.00]  Y se les da bien el herto de mis nietos.
[0:42:35.00]-[0:42:37.00]  Que son como vosotros.
[0:42:37.00]-[0:42:39.00]  Bueno, mi nieta tiene 16 años más altas que vosotras.
[0:42:39.00]-[0:42:41.00]  Y no come.
[0:42:41.00]-[0:42:43.00]  Y mi chica le digo, hombre, llévate mermelada.
[0:42:43.00]-[0:42:45.00]  Si no come, ni la chica, ni ella.
[0:42:45.00]-[0:42:47.00]  Pues, a mi me gusta nada más.
[0:42:47.00]-[0:42:49.00]  Y si es almendras...
[0:42:49.00]-[0:42:51.00]  Y nueces de olas.
[0:42:51.00]-[0:42:53.00]  Solo pipas.
[0:42:53.00]-[0:42:55.00]  Con lo buenas que son las nueces y las almendras.
[0:42:55.00]-[0:42:57.00]  Cuando hablábamos antes de morcillas...
[0:42:57.00]-[0:42:59.00]  Han mencionado ustedes...
[0:42:59.00]-[0:43:01.00]  Canela y clavo.
[0:43:01.00]-[0:43:03.00]  ¿A qué comida se les echa...
[0:43:03.00]-[0:43:05.00]  Aparte de eso, ¿a qué comida se les echa a esas especias?
[0:43:05.00]-[0:43:07.00]  Solo porque yo pensaba que solo era para pastelería.
[0:43:07.00]-[0:43:09.00]  ¿Canela?
[0:43:09.00]-[0:43:11.00]  Canela y clavo.
[0:43:11.00]-[0:43:13.00]  No, no, pero eso es clavillo, ¿no?
[0:43:13.00]-[0:43:15.00]  No, no, no, canela.
[0:43:15.00]-[0:43:17.00]  También puedes echar a los guisos si quieres.
[0:43:17.00]-[0:43:19.00]  Y clavillo.
[0:43:19.00]-[0:43:21.00]  Clavillo puedes echar a los guisos que quieras.
[0:43:21.00]-[0:43:23.00]  Y yo os hago echar...
[0:43:23.00]-[0:43:25.00]  Canela no veo yo en ocho.
[0:43:25.00]-[0:43:27.00]  Yo echo...
[0:43:27.00]-[0:43:29.00]  A los guisos un poco de tomillo.
[0:43:29.00]-[0:43:31.00]  Del campo.
[0:43:31.00]-[0:43:33.00]  Le da mucho...
[0:43:33.00]-[0:43:35.00]  Mucho sabor.
[0:43:35.00]-[0:43:37.00]  Sí, y un poco de moscada.
[0:43:37.00]-[0:43:39.00]  Y orégano, que está bien hecha.
[0:43:39.00]-[0:43:41.00]  ¡Orégano para los guisos!
[0:43:43.00]-[0:43:45.00]  Pero canela, si se echa en las morcillas...
[0:43:45.00]-[0:43:47.00]  Yo clavo no echaba, eh.
[0:43:47.00]-[0:43:49.00]  Yo echaba pimienta y canela.
[0:43:49.00]-[0:43:51.00]  Pues debe ser una cosa muy local, porque a mí me gustan mucho las morcillas.
[0:43:51.00]-[0:43:53.00]  La verdad que sí, pero...
[0:43:53.00]-[0:43:55.00]  Yo clavo no.
[0:43:55.00]-[0:43:57.00]  Y piñones tampoco me gustan.
[0:43:57.00]-[0:43:59.00]  En las morcillas.
[0:43:59.00]-[0:44:01.00]  Nada más se viene a pañanas...
[0:44:01.00]-[0:44:03.00]  Y eran olé.
[0:44:03.00]-[0:44:05.00]  ¿A quién echa piñones, además?
[0:44:05.00]-[0:44:07.00]  Sí, a mí no me gustan.
[0:44:07.00]-[0:44:09.00]  A mí eso que me salga no me gusta.
[0:44:09.00]-[0:44:11.00]  Y en Galataíuz hay un sitio que las hacen las morcillas como las habíamos nosotros.
[0:44:11.00]-[0:44:13.00]  Yo siempre que bajo y mi chica me manda...
[0:44:13.00]-[0:44:15.00]  O cuando suben.
[0:44:15.00]-[0:44:17.00]  O ni más.
[0:44:17.00]-[0:44:21.00]  Porque en Galataíuz hay muchas tiendas y es un pueblo grande, pero bueno, ha prosperado.
[0:44:21.00]-[0:44:23.00]  Hacen las morcillas como antiguamente.
[0:44:23.00]-[0:44:25.00]  En muchas camiserías.
[0:44:27.00]-[0:44:29.00]  Y no es como las que venden en Sabeco y en Galerías.
[0:44:29.00]-[0:44:31.00]  Que las compran de...
[0:44:31.00]-[0:44:33.00]  Están en bandejeras.
[0:44:33.00]-[0:44:35.00]  Así.
[0:44:35.00]-[0:44:37.00]  Y en muchas camiserías como nosotros.
[0:44:37.00]-[0:44:39.00]  Bien embutidos.
[0:44:39.00]-[0:44:41.00]  ¿Y a los guisos se les echan setas cuando salen del campo?
[0:44:41.00]-[0:44:43.00]  Caminón.
[0:44:43.00]-[0:44:45.00]  Mejor que los piñones que venden de...
[0:44:45.00]-[0:44:47.00]  Están de...
[0:44:47.00]-[0:44:49.00]  Envernaderos o de lo que sea.
[0:44:49.00]-[0:44:51.00]  Aquí uno había que criar...
[0:44:51.00]-[0:44:53.00]  San piñón en una bodega.
[0:44:53.00]-[0:44:55.00]  ¿Verdad?
[0:44:55.00]-[0:44:59.00]  ¿El lucero que criaba san piñón en una bodega?
[0:44:59.00]-[0:45:01.00]  Sí.
[0:45:01.00]-[0:45:03.00]  Para mí.
[0:45:03.00]-[0:45:05.00]  Es mejor el a setas del campo.
[0:45:05.00]-[0:45:07.00]  Yo cuando decí que las setas del campo me gustan más que la carne.
[0:45:07.00]-[0:45:09.00]  Con mucha cebolla y que el jamón.
[0:45:09.00]-[0:45:11.00]  Nosotros nos quedamos al campo y buscamos las setas.
[0:45:11.00]-[0:45:13.00]  ¿A Ciccior?
[0:45:13.00]-[0:45:15.00]  Yo el año pasado me traía historias de raíz de setas.
[0:45:15.00]-[0:45:17.00]  Pero no.
[0:45:17.00]-[0:45:19.00]  ¿Y a los guisos?
[0:45:19.00]-[0:45:21.00]  ¿A los guisos?
[0:45:21.00]-[0:45:23.00]  A los guisos.
[0:45:23.00]-[0:45:25.00]  Son ricas.
[0:45:25.00]-[0:45:27.00]  Muy ricas.
[0:45:27.00]-[0:45:29.00]  Sí, sí.
[0:45:29.00]-[0:45:31.00]  Que ahora luego saldrán ya.
[0:45:31.00]-[0:45:33.00]  Como...
[0:45:33.00]-[0:45:35.00]  Yo como tengo ahí una chopera en los dos campos.
[0:45:35.00]-[0:45:37.00]  Mi marido va a subir.
[0:45:37.00]-[0:45:39.00]  Me cogió.
[0:45:39.00]-[0:45:41.00]  Y si no, Ciccior madrugó.
[0:45:41.00]-[0:45:43.00]  Porque la gente madruga mucho para buscar setas.
[0:45:43.00]-[0:45:45.00]  Que a la acelería los tienes.
[0:45:45.00]-[0:45:47.00]  Hasta viene el illo acá.
[0:45:47.00]-[0:45:49.00]  Ese pueblo, no sé si la habéis oído.
[0:45:49.00]-[0:45:51.00]  ¿El illo acá de los zapatos?
[0:45:51.00]-[0:45:53.00]  No, no, no.
[0:45:53.00]-[0:45:55.00]  Es que los zapatos son muy ricos.
[0:45:55.00]-[0:45:57.00]  Y no se ven bien por un camino que hay.
[0:45:57.00]-[0:45:59.00]  Y mal que saben los caminos.
[0:45:59.00]-[0:46:01.00]  ¿Por dónde están?
[0:46:01.00]-[0:46:03.00]  El otro día...
[0:46:03.00]-[0:46:05.00]  Te digo que los dillucas que saben bien por dónde se crían las setas.
[0:46:05.00]-[0:46:07.00]  Cuando tenemos...
[0:46:07.00]-[0:46:09.00]  Cuando tenemos nosotros unas artilleras.
[0:46:09.00]-[0:46:11.00]  Pero es que esos viviendo de la dilluca.
[0:46:11.00]-[0:46:13.00]  Las de montes son mejor.
[0:46:13.00]-[0:46:15.00]  Las de la huelga son peor.
[0:46:15.00]-[0:46:17.00]  La seta.
[0:46:17.00]-[0:46:19.00]  Bueno, yo me voy.
[0:46:19.00]-[0:46:21.00]  ¿Cómo se tiene el apellido?
[0:46:21.00]-[0:46:23.00]  ¿Cómo se tiene el apellido?
[0:46:23.00]-[0:46:25.00]  Yo me voy.
[0:46:25.00]-[0:46:27.00]  Yo se bueno.
[0:46:31.00]-[0:46:33.00]  ¿Usted ha sido de aquí de todo el pueblo?
[0:46:33.00]-[0:46:35.00]  ¿Eh?
[0:46:35.00]-[0:46:37.00]  De toda la vida he sido del pueblo, sí.
[0:46:37.00]-[0:46:39.00]  Y ha estado aquí siempre.
[0:46:39.00]-[0:46:41.00]  Siempre, no ha ido a ningún lado.
[0:46:41.00]-[0:46:43.00]  Nunca.
[0:46:43.00]-[0:46:45.00]  No debo ir.
[0:46:45.00]-[0:46:47.00]  Si debo de toda vida cuidando a abuelos.
[0:46:47.00]-[0:46:49.00]  No hay hombre.
[0:46:49.00]-[0:46:51.00]  Mi madre ayudó para 9 años.
[0:46:51.00]-[0:46:53.00]  Y antes pendiente ella.
[0:46:53.00]-[0:46:55.00]  Y antes otra que tengo otra...
[0:46:55.00]-[0:46:57.00]  Ahora, 5 años, otra abuela. La madre de mi marido.
[0:46:57.00]-[0:46:59.00]  Nosotros ya sin quien formar.
[0:46:59.00]-[0:47:01.00]  Aquí la ley de dependencia no...
[0:47:01.00]-[0:47:03.00]  Hay que saber por qué la metieron...
[0:47:03.00]-[0:47:05.00]  En Taragoza una...
[0:47:05.00]-[0:47:07.00]  Una cuñada mía la metió en una residencia ahí.
[0:47:07.00]-[0:47:09.00]  Pero no saca la...
[0:47:09.00]-[0:47:11.00]  Entre 7 hermanos.
[0:47:11.00]-[0:47:13.00]  Yo 5 años y yo el otro día.
[0:47:13.00]-[0:47:15.00]  Así que está bien.
[0:47:15.00]-[0:47:17.00]  Así que llevo toda la vida cuidando a abuelos.
[0:47:21.00]-[0:47:23.00]  Ya te digo, ahora esta semana santa como no me tocaba que fue eso,
[0:47:23.00]-[0:47:25.00]  pues me fui a la taquilletilla.
[0:47:25.00]-[0:47:27.00]  Y después tengo a mis hijos allí.
[0:47:27.00]-[0:47:29.00]  ¿Usted cuantos hijos tiene? Pues un hijo y un hijo.
[0:47:29.00]-[0:47:31.00]  ¿Se criaron también aquí en el pueblo?
[0:47:31.00]-[0:47:33.00]  Sí, hasta que se fueron a estudiar.
[0:47:33.00]-[0:47:35.00]  Mi chica es enfermera.
[0:47:35.00]-[0:47:37.00]  El otro nuevo bueno estuvo...
[0:47:37.00]-[0:47:39.00]  Dice que se estaba mejor en el pueblo, pero...
[0:47:39.00]-[0:47:41.00]  Oye mi chica, para que no estuviera aquí trabajando,
[0:47:41.00]-[0:47:43.00]  que no le falta la faena,
[0:47:43.00]-[0:47:45.00]  que no quiera ir trabajando en hospitales,
[0:47:45.00]-[0:47:47.00]  que la plaza cada una.
[0:47:47.00]-[0:47:49.00]  Diciendo posiciones.
[0:47:49.00]-[0:47:51.00]  Que no me haré dos meses allí
[0:47:51.00]-[0:47:53.00]  para que estudiará mi hija.
[0:47:53.00]-[0:47:55.00]  No creas...
[0:47:55.00]-[0:47:57.00]  ¿Y aquí en el pueblo entonces había escuela?
[0:47:57.00]-[0:47:59.00]  Sí, que había escuela.
[0:47:59.00]-[0:48:01.00]  Sí, que había escuela.
[0:48:01.00]-[0:48:03.00]  ¿Ustedes fueron a la escuela aquí?
[0:48:03.00]-[0:48:05.00]  Sí.
[0:48:05.00]-[0:48:07.00]  ¿Y cómo era? Pues oye, todas las chicas estaban en un lado
[0:48:07.00]-[0:48:09.00]  y los chicos en otro.
[0:48:09.00]-[0:48:11.00]  Y nada, por la tarde a bordar sábanas,
[0:48:11.00]-[0:48:13.00]  y a rezar al rosario,
[0:48:13.00]-[0:48:15.00]  que a mí eso me sabía algo, ¿ves?
[0:48:15.00]-[0:48:17.00]  Cuando nos tocaba.
[0:48:17.00]-[0:48:19.00]  Y por la mañana, pues,
[0:48:19.00]-[0:48:21.00]  en un libro llevamos todas
[0:48:21.00]-[0:48:23.00]  las asignaturas.
[0:48:23.00]-[0:48:25.00]  No es como ahora que lleváis.
[0:48:25.00]-[0:48:27.00]  Llevamos muchísimos.
[0:48:27.00]-[0:48:29.00]  Ya lo sé ya.
[0:48:29.00]-[0:48:31.00]  Que tengo muchos libros, le digo a mi hija,
[0:48:31.00]-[0:48:33.00]  que va a leer tantos libros que los voy a quemar.
[0:48:33.00]-[0:48:35.00]  Y de ella...
[0:48:35.00]-[0:48:37.00]  Cuando iban a la escuela los guardo,
[0:48:37.00]-[0:48:39.00]  y cuando estuve estudiando los guardo.
[0:48:39.00]-[0:48:41.00]  ¿Y hasta qué edad fue usted a la escuela?
[0:48:41.00]-[0:48:43.00]  Hasta los 14 que iban.
[0:48:43.00]-[0:48:45.00]  ¿Y después a trabajar?
[0:48:45.00]-[0:48:47.00]  Luego a trabajar mañana aquí, al campo.
[0:48:47.00]-[0:48:49.00]  Al campo.
[0:48:49.00]-[0:48:51.00]  Chebraba tu padre el remolacha,
[0:48:51.00]-[0:48:53.00]  a esclarecer el remolacha.
[0:48:53.00]-[0:48:55.00]  Y eran cuatro viñas para coger.
[0:48:55.00]-[0:48:57.00]  Les hacíamos todo lo que se.
[0:48:57.00]-[0:48:59.00]  Antes no se iba a estudiar.
[0:48:59.00]-[0:49:01.00]  Ahora no van a hacer ninguna...
[0:49:01.00]-[0:49:03.00]  Ahora no se trabaja.
[0:49:03.00]-[0:49:05.00]  Yo no frego, ni lavo, porque la meto a lavar las maquillas.
[0:49:05.00]-[0:49:07.00]  Así de esto.
[0:49:07.00]-[0:49:09.00]  Y lavar la hueva de aceite
[0:49:09.00]-[0:49:11.00]  a los calcetines del campo, porque le va mejor la...
[0:49:11.00]-[0:49:13.00]  la tierra.
[0:49:13.00]-[0:49:15.00]  Yo tengo la nostalgia de rodilla.
[0:49:15.00]-[0:49:17.00]  Primero tengo mucha atrosis.
[0:49:17.00]-[0:49:19.00]  Me falta que se quede, pero no tengo ganas de...
[0:49:19.00]-[0:49:21.00]  ¿Y antes usted no lo ha conocido?
[0:49:21.00]-[0:49:23.00]  ¿No lo ha reconocido?
[0:49:23.00]-[0:49:25.00]  Pero antes las señoras que fregaban el suelo...
[0:49:25.00]-[0:49:27.00]  Sí, también infrago yo el suelo de rodilla.
[0:49:27.00]-[0:49:29.00]  Digo que también infrago yo el suelo de rodilla.
[0:49:29.00]-[0:49:31.00]  Es como ahora que está en la Fregona.
[0:49:31.00]-[0:49:33.00]  Sí, en la Fregona.
[0:49:33.00]-[0:49:35.00]  Conocí ya muchos años de eso, en la Fregona.
[0:49:35.00]-[0:49:37.00]  Pues sí.
[0:49:37.00]-[0:49:39.00]  Pero te duele de todo.
[0:49:39.00]-[0:49:41.00]  Mira, hoy me he hecho yo la cista.
[0:49:41.00]-[0:49:43.00]  Bueno, pues no podía abrir los ojos.
[0:49:43.00]-[0:49:45.00]  Porque a las cinco de la mañana levanto a mi marido,
[0:49:45.00]-[0:49:47.00]  pues a las seis se ha de abrar.
[0:49:47.00]-[0:49:49.00]  Y mi madre me ha dicho que se echara...
[0:49:49.00]-[0:49:51.00]  Digo, pues que ahora en el váter.
[0:49:51.00]-[0:49:53.00]  Y no he querido levantarme.
[0:49:53.00]-[0:49:55.00]  Pues cuando he ido, pues la mujer se me la ha engordido.
[0:49:55.00]-[0:49:57.00]  Mira, ahí digo que fracasa.
[0:49:57.00]-[0:49:59.00]  La fe que hay que despedir.
[0:49:59.00]-[0:50:01.00]  Y así...
[0:50:01.00]-[0:50:03.00]  Que ve el gran millón, ¿no?
[0:50:03.00]-[0:50:05.00]  Y diga, pues, y es todo.
[0:50:05.00]-[0:50:07.00]  No, yo le vaya a saber mal hoy.
[0:50:07.00]-[0:50:09.00]  Porque ahora...
[0:50:09.00]-[0:50:11.00]  Que ahora ya se me informó.
[0:50:11.00]-[0:50:13.00]  Ah, no, no.
[0:50:13.00]-[0:50:15.00]  ¿Puedes usted contar alguna cosa más?
[0:50:15.00]-[0:50:17.00]  De cuando ella era joven.
[0:50:17.00]-[0:50:19.00]  Ya te la he dicho.
[0:50:19.00]-[0:50:21.00]  Sí, por ejemplo, de cómo se diera la educación,
[0:50:21.00]-[0:50:23.00]  en la familia, antes.
[0:50:23.00]-[0:50:25.00]  Bueno, pues antes teníamos
[0:50:25.00]-[0:50:27.00]  más respeto que ahora.
[0:50:27.00]-[0:50:29.00]  Sí, sí.
[0:50:29.00]-[0:50:31.00]  Y ahora, pues,
[0:50:31.00]-[0:50:33.00]  ya no hay respeto.
[0:50:33.00]-[0:50:35.00]  Igual ella, que antes,
[0:50:35.00]-[0:50:37.00]  cuando éramos jóvenes, teníamos más respeto
[0:50:37.00]-[0:50:39.00]  que ahora tienen los jóvenes.
[0:50:39.00]-[0:50:41.00]  Yo lo veo por mis nietos.
[0:50:41.00]-[0:50:43.00]  Y mi marido no ha de saber.
[0:50:43.00]-[0:50:45.00]  Eso ya no sabéis, que no hay respeto.
[0:50:45.00]-[0:50:47.00]  Yo, mi marido, a mí...
[0:50:47.00]-[0:50:49.00]  A mí no me hacía en caso mis hijos, y entonces...
[0:50:49.00]-[0:50:51.00]  Pero a mi marido no es que ya nada más mirarlos.
[0:50:51.00]-[0:50:53.00]  Y a sus nietos no les gusta
[0:50:53.00]-[0:50:55.00]  cómo los están criando.
[0:50:55.00]-[0:50:57.00]  Y así, ya lo lo verás.
[0:50:57.00]-[0:50:59.00]  Eres de esto que querís, ya lo lo verás.
[0:50:59.00]-[0:51:01.00]  Yo veo que el hijo que lleva poco vicio,
[0:51:01.00]-[0:51:03.00]  es más agudo
[0:51:03.00]-[0:51:05.00]  y más espabilo.
[0:51:05.00]-[0:51:07.00]  Y el que lleva mucho dinero,
[0:51:07.00]-[0:51:09.00]  ese sale un bala.
[0:51:09.00]-[0:51:11.00]  Como ha pasado, está pasando aquí
[0:51:11.00]-[0:51:13.00]  en este pueblo, ¿eh?
[0:51:13.00]-[0:51:15.00]  El que lleva mucho vicio, un bala.
[0:51:15.00]-[0:51:17.00]  Droga si lo te ven.
[0:51:19.00]-[0:51:21.00]  Y el padre que no respeta, los hijos...
[0:51:23.00]-[0:51:25.00]  Yo hasta ahora, a mi hija aún les hace...
[0:51:25.00]-[0:51:27.00]  Pero el marido es más...
[0:51:27.00]-[0:51:29.00]  El Tarré lo tiene muy flojo.
[0:51:29.00]-[0:51:31.00]  Pero a mi chica, les quita hasta...
[0:51:31.00]-[0:51:33.00]  hasta... les quita hasta la televisión.
[0:51:33.00]-[0:51:35.00]  Las centenas.
[0:51:35.00]-[0:51:37.00]  Se vaya a trabajar...
[0:51:37.00]-[0:51:39.00]  ¿A la hospital?
[0:51:39.00]-[0:51:41.00]  ¿Cómo su nombre, por favor? Para meterlo en el informe.
[0:51:41.00]-[0:51:43.00]  ¿El nombre de usted?
[0:51:43.00]-[0:51:45.00]  ¿Qué le digo el nombre?
[0:51:45.00]-[0:51:47.00]  Sí, yo se le he dicho...
[0:51:47.00]-[0:51:49.00]  Yo se le he dicho...
[0:51:49.00]-[0:51:51.00]  Que es que le tiene un poco de respeto.
[0:51:51.00]-[0:51:53.00]  A él.
[0:51:53.00]-[0:51:55.00]  A él.
[0:51:55.00]-[0:51:57.00]  A él, sí.
[0:51:57.00]-[0:51:59.00]  Yo me veo, que cuando está en Zaragoza,
[0:51:59.00]-[0:52:01.00]  pasa a mi casa cualquier hora
[0:52:01.00]-[0:52:03.00]  y se puede decir que el niño
[0:52:03.00]-[0:52:05.00]  es mi hermano mío.
[0:52:05.00]-[0:52:07.00]  Es que al menos son familia entonces.
[0:52:07.00]-[0:52:09.00]  Pero de esta...
[0:52:09.00]-[0:52:11.00]  de esta...
[0:52:13.00]-[0:52:15.00]  Su hija, una hija suya, se casó con su...
[0:52:15.00]-[0:52:17.00]  Pero es este, mi hermano mío.
[0:52:17.00]-[0:52:19.00]  Con su primo.
[0:52:19.00]-[0:52:21.00]  La madre de su y mi madre.
[0:52:21.00]-[0:52:23.00]  La madre de las hermanas.
[0:52:23.00]-[0:52:25.00]  La de mi hermana.
[0:52:25.00]-[0:52:27.00]  Todos estos campos de aquí eran de...
[0:52:27.00]-[0:52:29.00]  de la familia de mi madre.
[0:52:29.00]-[0:52:31.00]  Las escuelas, las casas esas
[0:52:31.00]-[0:52:33.00]  de los nuestros, todas eran de mi abuela.
[0:52:33.00]-[0:52:35.00]  La que vivo yo.
[0:52:35.00]-[0:52:37.00]  Todas esas casas que tal han...
[0:52:37.00]-[0:52:39.00]  Las escuelas que me dice que han dejado un coche,
[0:52:39.00]-[0:52:41.00]  no sé si eran ustedes o...
[0:52:41.00]-[0:52:43.00]  Hemos dejado un coche por ahí, sí.
[0:52:43.00]-[0:52:45.00]  No, pero es que
[0:52:45.00]-[0:52:47.00]  un señor que ha salido ahí enfrente a las escuelas
[0:52:47.00]-[0:52:49.00]  y se hizo...
[0:52:49.00]-[0:52:51.00]  No.
[0:52:51.00]-[0:52:53.00]  Oye...
[0:52:53.00]-[0:52:55.00]  Oye, muchas gracias.
[0:52:55.00]-[0:52:57.00]  Muchas gracias.
[0:52:57.00]-[0:52:59.00]  ¿Qué van a hacer?
[0:52:59.00]-[0:53:01.00]  Sí, sí.
[0:53:01.00]-[0:53:03.00]  Muchas gracias.
[0:53:03.00]-[0:53:05.00]  De nada.
[0:53:05.00]-[0:53:07.00]  Es que llevaré que no le nada a todo.
[0:53:07.00]-[0:53:09.00]  Porque más no sabemos.
[0:53:09.00]-[0:53:11.00]  Sabemos más de antes que de ahora nada.
[0:53:11.00]-[0:53:13.00]  Yo lo primero, mira, voy a colpar
[0:53:13.00]-[0:53:15.00]  la otra cosa, ¿no, compro?
[0:53:15.00]-[0:53:17.00]  Gracias.
[0:53:17.00]-[0:53:19.00]  ¿Qué les quitaría?
[0:53:19.00]-[0:53:21.00]  Yo le...
[0:53:21.00]-[0:53:23.00]  ¿Dónde vas a salir?
[0:53:23.00]-[0:53:25.00]  Con la... Bueno, con la noche.
[0:53:25.00]-[0:53:27.00]  Cuando la meto a la cama me voy a hacer un paseo por la carretera.
[0:53:27.00]-[0:53:29.00]  Si está el tiempo bueno y si hace frío,
[0:53:29.00]-[0:53:31.00]  pues le pongo el chacetón.
[0:53:31.00]-[0:53:33.00]  Si me apetece.
[0:53:33.00]-[0:53:35.00]  Y...
[0:53:35.00]-[0:53:37.00]  Respirar. Muchas gracias.
[0:53:37.00]-[0:53:39.00]  De nada.
[0:53:39.00]-[0:53:41.00]  A ver, que sus demas informes por ahí.
[0:53:41.00]-[0:53:43.00]  Sí.
[0:53:43.00]-[0:53:45.00]  A vosotros sabráis las de las granjas.
[0:53:45.00]-[0:53:47.00]  Que sus...
[0:53:47.00]-[0:53:49.00]  Las grandezas de ahora.
[0:53:49.00]-[0:53:51.00]  De olores del tocino.
[0:53:51.00]-[0:53:53.00]  Y se acaba la grandeza del mundo.
[0:53:53.00]-[0:53:55.00]  Y te bajan los olores del tocino.
[0:53:55.00]-[0:53:57.00]  De nada.
[0:53:57.00]-[0:53:59.00]  En vez de ventilar la casa tienes que cerrarla.
