[0:00:00.00]-[0:00:02.00]  Hola, buenos días.
[0:45:09.00]-[0:45:14.00]  y luego le puso un seis, uno seis y le dice, chache, vamos a ponérsela por cinco millones
[0:45:14.00]-[0:45:17.00]  y no hay pan partido para ninguno
[0:45:17.00]-[0:45:21.00]  no, hoy se ha ido el pequeño, el nieto pequeño que tengo
[0:45:21.00]-[0:45:27.00]  se ha ido a Huitec con el camión del otro, del mediano, el constructor, el que manda
[0:45:27.00]-[0:45:32.00]  a llevar chatarras de cocinas y todo eso que se las recogía él para recoger, perra
[0:45:32.00]-[0:45:39.00]  y se las ha llevado, el camión se lo ha dado para que lo llevara con el camión
[0:45:39.00]-[0:45:42.00]  aquí no hay pan partido, venían de...
[0:45:42.00]-[0:45:46.00]  no, de eso no puedo decir
[0:45:46.00]-[0:45:50.00]  y hijo, pues me conoce y bueno, y ella y todo
[0:45:50.00]-[0:45:56.00]  de esto me dice, tú te tienes que venir a Perrones, allí a jugar con nosotras
[0:45:56.00]-[0:45:59.00]  además de casa y esto y lo otro y de todo
[0:45:59.00]-[0:46:03.00]  dice, que sí, que con nosotros te vamos a buscar una casa, yo no
[0:46:03.00]-[0:46:07.00]  que yo estoy aquí, yo he caído aquí como si hubiera caído del cielo
[0:46:07.00]-[0:46:09.00]  en la aldea
[0:46:09.00]-[0:46:13.00]  y porque había eso de aquí, nada, no, pues eso
[0:46:13.00]-[0:46:16.00]  venían y los chicas venían y decían
[0:46:16.00]-[0:46:20.00]  que nos vas a poner 10 o 12 botellas de alitro
[0:46:20.00]-[0:46:26.00]  15 o 20 botellas, bolsas de corteza, de papas, mejillones, tantas
[0:46:26.00]-[0:46:30.00]  que nos vamos con el coche y nos vamos por ahí por la cabezuela
[0:46:30.00]-[0:46:32.00]  a Baleanos, por eso, Toño, Hueto, Loto
[0:46:32.00]-[0:46:34.00]  y había muchas esas y a mí me querían
[0:46:34.00]-[0:46:39.00]  o yo voy a Perrones y me besan todos los chicos y todo, como eso
[0:46:39.00]-[0:46:44.00]  la quité el día 4 de la tienda, el día 4
[0:46:44.00]-[0:46:47.00]  la quité, la tenía ahí en la entrada, mire
[0:46:47.00]-[0:46:58.00]  aquí la tenía, el mostrador
[0:46:58.00]-[0:47:05.00]  ahí tenía el mostrador, entran las chicas que entran
[0:47:05.00]-[0:47:07.00]  ¿dónde tenía usted el mostrador?
[0:47:07.00]-[0:47:08.00]  aquí, aquí
[0:47:08.00]-[0:47:10.00]  ah, esto es la tienda
[0:47:10.00]-[0:47:13.00]  aquí tenía el mostrador y aquí las estanterías y allá
[0:47:13.00]-[0:47:15.00]  y luego se ha hecho usted aquí el comedor
[0:47:15.00]-[0:47:19.00]  sí, esto es el comedor, tenía las cortinas y nada
[0:47:19.00]-[0:47:22.00]  ¿y estas piezas de casa?
[0:47:22.00]-[0:47:30.00]  esas son mis chicos cargadores, mis chicas que están
[0:47:30.00]-[0:47:33.00]  están viendo la casa
[0:47:33.00]-[0:47:36.00]  madre mía, ¿y esto es una pieza enorme?
[0:47:36.00]-[0:47:45.00]  sí, son cargadores, el marido de esa chica que es este
[0:47:45.00]-[0:47:50.00]  esa es mi chica, esta, la que se hizo, mi chico
[0:47:50.00]-[0:47:53.00]  y esos son los otros
[0:47:53.00]-[0:47:57.00]  es el constructor
[0:47:57.00]-[0:48:02.00]  casa de campo pero, muy fresca, para que se acerquen así
[0:48:02.00]-[0:48:06.00]  y frescas, ya de los papeles que tienen, sí
[0:48:06.00]-[0:48:11.00]  eso es que se va para arriba, para el terro
[0:48:11.00]-[0:48:13.00]  ¿y antiguamente también cazaban?
[0:48:13.00]-[0:48:17.00]  ¿cazaban? sí, sí, se cazaban antes también
[0:48:17.00]-[0:48:20.00]  pero no había tantos animales como ahora que
[0:48:20.00]-[0:48:23.00]  ahora echan a perder los alimentos
[0:48:23.00]-[0:48:25.00]  un pedazo de almendros en cuatro días
[0:48:25.00]-[0:48:29.00]  con las patas y manos y lo que pueden
[0:48:29.00]-[0:48:32.00]  bajan abajo y lo echan a perder todo
[0:48:32.00]-[0:48:36.00]  sí, sí
[0:48:36.00]-[0:48:42.00]  bueno, no creo que pase nada con esto que me han hecho esta pregunta
[0:48:42.00]-[0:48:50.00]  es que ayer vinieron los de, perdónenme que no les quiero ofender
[0:48:50.00]-[0:48:54.00]  ayer vinieron los de el brutano
[0:48:54.00]-[0:48:57.00]  y habían venido, este año pasaron otros
[0:48:57.00]-[0:49:01.00]  y murió una mujer del dinero que le sacaron
[0:49:01.00]-[0:49:05.00]  y se cayó enferma y a los 4 o 5 días murió
[0:49:05.00]-[0:49:11.00]  y mi nuela, mi nuela que es la alcaldesa, ¿sabí usted?
[0:49:11.00]-[0:49:15.00]  ayer cogió y fue allí y él vino aquí
[0:49:15.00]-[0:49:17.00]  y le digo, ¿saben mi tele recibo?
[0:49:17.00]-[0:49:20.00]  digo, bien, digo, voy a hablar con mi nuela
[0:49:20.00]-[0:49:22.00]  y dice, tía, yo tengo que hablar
[0:49:22.00]-[0:49:25.00]  y le dice al otro que iba, dice, yo tengo que hablar
[0:49:25.00]-[0:49:30.00]  dentro de un cuarto de hora o diez minutos no les puedo atender
[0:49:30.00]-[0:49:34.00]  y es que iba a hablar al ayuntamiento, ¿sabí usted?
[0:49:34.00]-[0:49:36.00]  y por eso, ¿sabí usted la gente?
[0:49:36.00]-[0:49:38.00]  perdónenme
[0:49:38.00]-[0:49:43.00]  ¿y me has dicho que su padre hacía cosas con madera?
[0:49:43.00]-[0:49:44.00]  ¿eh?
[0:49:44.00]-[0:49:45.00]  ¿su padre con madera?
[0:49:45.00]-[0:49:48.00]  madera no, que trojaban madera y mucha huerta
[0:49:48.00]-[0:49:50.00]  nosotros teníamos mucha huerta
[0:49:50.00]-[0:49:52.00]  allí cada melocotón se hacía así
[0:49:52.00]-[0:49:56.00]  así cada uno, pimientos que esos de cuatro morros eran así
[0:49:56.00]-[0:50:00.00]  y cacaos a lo mejor para coger 20 sacos de cacaos
[0:50:00.00]-[0:50:03.00]  y de bichuelas y de todo eso, mucho, mucho
[0:50:03.00]-[0:50:05.00]  tenía mucha huerta
[0:50:05.00]-[0:50:06.00]  ¿qué son cacaos?
[0:50:06.00]-[0:50:07.00]  ¿eh?
[0:50:07.00]-[0:50:08.00]  sí
[0:50:08.00]-[0:50:09.00]  ¿qué son cacaos?
[0:50:09.00]-[0:50:12.00]  cacaos, carcahuetes, cacaos eso ok
[0:50:12.00]-[0:50:13.00]  ¿cacaos?
[0:50:13.00]-[0:50:17.00]  sí, cacaos, cacaos puestos, sí, de todo
[0:50:17.00]-[0:50:18.00]  claro
[0:50:18.00]-[0:50:23.00]  y bolsadas a lo mejor llevaban no sé cuántas gente con
[0:50:23.00]-[0:50:26.00]  con de esto, ¿cómo se llama?
[0:50:26.00]-[0:50:31.00]  bancos para poner bolsas en los árboles
[0:50:31.00]-[0:50:34.00]  para ponerle bolsadas melocotones
[0:50:34.00]-[0:50:38.00]  ¿sabes? y cada melocotón era de esos que le dían el piquillo
[0:50:38.00]-[0:50:40.00]  y carrascos
[0:50:40.00]-[0:50:44.00]  y qué le vas a decir, la vida aquí en este pueblo
[0:50:44.00]-[0:50:45.00]  ¿usted cuando...?
[0:50:45.00]-[0:50:48.00]  aquí viñas, viñas lo que más eso y bueno
[0:50:48.00]-[0:50:52.00]  cuando murió mi marido, mi hijo, me todoña
[0:50:52.00]-[0:50:55.00]  mi suegro que le hicieron esta casa a él
[0:50:55.00]-[0:50:59.00]  porque no había, eran dos hermanas y un hermano
[0:50:59.00]-[0:51:01.00]  y mi hijo, mi marido
[0:51:01.00]-[0:51:04.00]  no podía estar el padre sin verlo a todos momentos
[0:51:04.00]-[0:51:07.00]  y le hizo esta caseta para que ellos vivieran aquí
[0:51:07.00]-[0:51:09.00]  y yo vivía en esta casa
[0:51:09.00]-[0:51:16.00]  y mi marido murió el día 3, el día de estos santos
[0:51:16.00]-[0:51:18.00]  hace tres años pasera
[0:51:21.00]-[0:51:25.00]  ¿y entonces cómo era el cultivo de la vid?
[0:51:25.00]-[0:51:26.00]  ¿de la viña?
[0:51:26.00]-[0:51:31.00]  de la viña pues entonces, bueno, antes pues
[0:51:31.00]-[0:51:36.00]  vendían la uva o se hacía el vino en las casas
[0:51:36.00]-[0:51:39.00]  no me acuerdo aquello, como eso, de todo se hacía
[0:51:39.00]-[0:51:42.00]  pero ahora como está la cooperativa ahí en los Pedrones
[0:51:42.00]-[0:51:45.00]  pues ahí se lleva todo el vino y ahí lo hacen
[0:51:45.00]-[0:51:49.00]  mi chico este, que eso es el que está en la bodega
[0:51:49.00]-[0:51:52.00]  pero ahora ha colocado mi chico
[0:51:52.00]-[0:51:54.00]  el marido de esta chica
[0:51:54.00]-[0:51:58.00]  va a la parada de la nuclear, que la hacen ahora la parada
[0:51:58.00]-[0:51:59.00]  y la ha metido ahí
[0:51:59.00]-[0:52:03.00]  y este niño con el que yo al otro que tiene la carrera de ingeniero
[0:52:03.00]-[0:52:08.00]  pero no lo ha podido, porque no hay plaza para él solo esto
[0:52:08.00]-[0:52:12.00]  y está de encargado ahí en un sitio que le dicen la viña
[0:52:12.00]-[0:52:15.00]  le decían que hacen yogures y de todo
[0:52:15.00]-[0:52:21.00]  de anones, quesos y de todo mucho
[0:52:21.00]-[0:52:23.00]  y está de encargado ahí
[0:52:23.00]-[0:52:25.00]  y tiene la carrera de ingeniero
[0:52:25.00]-[0:52:29.00]  pero no puede ejercerla porque no ha podido, no ha tenido plaza
[0:52:29.00]-[0:52:31.00]  ¿y ovejas había en el pueblo?
[0:52:31.00]-[0:52:32.00]  ¿Ovejas?
[0:52:32.00]-[0:52:33.00]  ¿Ovejas?
[0:52:33.00]-[0:52:35.00]  Hay pero de Cati Blanques
[0:52:35.00]-[0:52:40.00]  de Cati Blanques ahí, ayer me, ayer, no antes de ayer
[0:52:40.00]-[0:52:43.00]  me quedé, no sé cuántos sacos de Pazel
[0:52:43.00]-[0:52:46.00]  un favor a un hombre, al del pienso que viene
[0:52:46.00]-[0:52:50.00]  y durante la noche a por él y que tiene el ganado por ahí
[0:52:50.00]-[0:52:54.00]  en los retojos ahora de que se queda espiga y todo eso
[0:52:54.00]-[0:52:57.00]  ¿pero era para leche o para...?
[0:52:57.00]-[0:53:02.00]  para, no, para consumo de, no es para consumo de
[0:53:02.00]-[0:53:04.00]  es para vender luego los corderos
[0:53:04.00]-[0:53:07.00]  y cabritos, lleva cabras también revuelto
[0:53:07.00]-[0:53:10.00]  ¿y hacían queso con la leche?
[0:53:10.00]-[0:53:15.00]  no, hacen ahí pero en esa casa particular me resta mi hijo
[0:53:15.00]-[0:53:20.00]  mi nieto que es cabras que están, que pasan por máquinas
[0:53:20.00]-[0:53:25.00]  ¿sabes? pasan por máquinas en la teta, la leche y la cenis
[0:53:25.00]-[0:53:29.00]  y es los quesos y todo, eso va todo en máquinas, todo en máquinas
[0:53:29.00]-[0:53:31.00]  ¿pero eso es más moderno? ¿antiguamente no?
[0:53:31.00]-[0:53:37.00]  no, eso no, eso tienen ahí cosas muy de valores de mucho dinero
[0:53:37.00]-[0:53:40.00]  y hay una almacena ahí en eso que parece
[0:53:40.00]-[0:53:43.00]  no sé cuánto tendrá de grande
[0:53:43.00]-[0:53:47.00]  y tienen de destruir, de todo
[0:53:47.00]-[0:53:53.00]  quesos tienen chicos para destruir todo con coches
[0:53:53.00]-[0:53:55.00]  con sus bonetas
[0:53:55.00]-[0:53:58.00]  ¿la aldea tiene patrón o santa o...?
[0:53:58.00]-[0:53:59.00]  ¿cual la? ¿este?
[0:53:59.00]-[0:54:00.00]  sí, San Isidro
[0:54:00.00]-[0:54:02.00]  ¿y qué se hacía?
[0:54:02.00]-[0:54:06.00]  ¿qué se hacía? pues nada, se hacía misa, se hace
[0:54:06.00]-[0:54:11.00]  ahora no está el santo porque como mi no era alcaldesa
[0:54:11.00]-[0:54:16.00]  quieren hacerle alguna capilla, alguna cosa, un trozo por ahí de tierra
[0:54:16.00]-[0:54:19.00]  porque la iglesia está muy mal por lo visto
[0:54:19.00]-[0:54:22.00]  y es particular que la iglesia ya es muy mayor
[0:54:22.00]-[0:54:26.00]  y claro por lo que no quieren darle ningún disgusto a la mujer
[0:54:26.00]-[0:54:29.00]  ¿cómo que es particular la iglesia?
[0:54:29.00]-[0:54:33.00]  es particular que es de unos señores que alquilaron
[0:54:33.00]-[0:54:37.00]  recibieron todo eso de frailes y curas y de todo eso ¿sabes?
[0:54:37.00]-[0:54:44.00]  millonarios y trillonarios, quito la mía, toda la casa era toda la calle de ellos
[0:54:44.00]-[0:54:48.00]  y mejor las viñas, todo lo que vea todo es de ellos
[0:54:48.00]-[0:54:50.00]  como el que dice
[0:54:50.00]-[0:54:51.00]  ¿y se hacía procesión o no?
[0:54:51.00]-[0:54:53.00]  sí, sí, y pan bendito y todo, todos los años
[0:54:53.00]-[0:54:54.00]  ¿y cómo era?
[0:54:54.00]-[0:54:59.00]  y pues nada, pan bendito se hace procesión y el pan bendito lo hace
[0:54:59.00]-[0:55:07.00]  el panadero de los Pedrones, el que me bajaba mi el pan
[0:55:07.00]-[0:55:11.00]  ¿y qué le va a decir? ¿antiguamente había cura en la aldea?
[0:55:11.00]-[0:55:15.00]  no, cura no, el cura que viene de Pedrones es el que baja aquí
[0:55:15.00]-[0:55:16.00]  ¿siempre?
[0:55:16.00]-[0:55:18.00]  sí
[0:55:18.00]-[0:55:20.00]  ¿y alcalde había en el pueblo?
[0:55:20.00]-[0:55:22.00]  alcalde estaba minora
[0:55:22.00]-[0:55:23.00]  ¿antiguamente?
[0:55:23.00]-[0:55:26.00]  sí, sí, había antes alcalde
[0:55:26.00]-[0:55:29.00]  ¿y escuela?
[0:55:29.00]-[0:55:36.00]  escuela no, escuela no, escuela sí, en el antaño, antes de yo, no sé
[0:55:36.00]-[0:55:42.00]  había un poquito de escuela ahí con unos niños y luego ya se fueron al Pedrones
[0:55:42.00]-[0:55:51.00]  a Pedrones, hacían hasta el quinto, me parece, no sé, y luego se iban con los educadores a Requena
[0:55:51.00]-[0:55:53.00]  ¿que iban niños y niños juntos?
[0:55:53.00]-[0:55:56.00]  sí, sí, no, no, no, todo juntos
[0:55:56.00]-[0:55:58.00]  ¿y el maestro era del pueblo o no?
[0:55:58.00]-[0:56:06.00]  el maestro no, el maestro venía de, a lo mejor de Requena o de otros sitios venía
[0:56:06.00]-[0:56:09.00]  ¿y en su pueblo, o sea, donde usted nació, cómo era la escuela?
[0:56:09.00]-[0:56:10.00]  ¿cómo?
[0:56:10.00]-[0:56:11.00]  ¿donde usted nació?
[0:56:11.00]-[0:56:12.00]  en la golfilia
[0:56:12.00]-[0:56:19.00]  en la golfilia, pues yo qué sé decirle, yo no sé, aquello, había una mieja de escuela allí
[0:56:19.00]-[0:56:24.00]  una casilla allí, todo se dejó para baile
[0:56:24.00]-[0:56:26.00]  servía para todo
[0:56:26.00]-[0:56:33.00]  eso, así que eso, pues, cosa de antiguo, el que sabía, sabía y el que no, pues a lo mejor
[0:56:33.00]-[0:56:41.00]  venía un maestro de una chica un poco que sabía algo y daba, a lo mejor cuando éramos un poquito
[0:56:41.00]-[0:56:44.00]  pequeños y luego con eso te arreglabas ya
[0:56:44.00]-[0:56:45.00]  ¿y usted fue a la escuela?
[0:56:45.00]-[0:56:46.00]  ¿eh?
[0:56:46.00]-[0:56:47.00]  ¿usted fue a la escuela?
[0:56:47.00]-[0:56:50.00]  eh, pues claro, eh
[0:56:50.00]-[0:56:53.00]  ¿y tenía maestro o maestra?
[0:56:53.00]-[0:57:05.00]  no sé, primero tuve maestra, una que le decían, y luego, cómo le llamaban, Paco me parece, no sé cómo le llamaban, maestro
[0:57:05.00]-[0:57:06.00]  ¿y qué enseñaban?
[0:57:06.00]-[0:57:12.00]  enseñaban por los, no que sí, ya no me recuerdo
[0:57:12.00]-[0:57:21.00]  ¿sabes para ti, como aquel que dice poner tu nombre y un poquito de arreglarte para ti?
[0:57:21.00]-[0:57:22.00]  pues ya
[0:57:22.00]-[0:57:24.00]  ¿me enseñaban a contar?
[0:57:24.00]-[0:57:25.00]  ¿eh?
[0:57:25.00]-[0:57:26.00]  ¿a contar?
[0:57:26.00]-[0:57:27.00]  sí, sí
[0:57:27.00]-[0:57:30.00]  porque usted aquí ha tenido que hacer muchas cuentas, ¿no?
[0:57:30.00]-[0:57:35.00]  sí, de eso, pero ya, ahí calculadoras y todo, ya
[0:57:35.00]-[0:57:38.00]  ¿usted de cabeza nacional?
[0:57:38.00]-[0:57:45.00]  sí, también, también eso, también eso, pero ahora ya hay muchas cosas
[0:57:45.00]-[0:57:46.00]  claro
[0:57:46.00]-[0:57:49.00]  ¿y usted se casó aquí, ha dicho o no?
[0:57:49.00]-[0:57:51.00]  no, me casé en La Mancha, en La Balsa
[0:57:51.00]-[0:57:52.00]  ¿y cómo fue su boda?
[0:57:52.00]-[0:57:56.00]  bueno, estuve en el hotel Rialto de Valencia
[0:57:56.00]-[0:57:58.00]  ¿sabes dónde es?
[0:57:58.00]-[0:58:04.00]  en el hotel Rialto de Valencia, pues ahí estuve de viaje a novio
[0:58:04.00]-[0:58:07.00]  ¿de viaje a novio? ¿cuántos días?
[0:58:07.00]-[0:58:08.00]  ¿eh?
[0:58:08.00]-[0:58:09.00]  ¿cuántos días?
[0:58:09.00]-[0:58:21.00]  ¿cuántos días? Me voy a sacar de mi alfoz, ay, entonces, entonces, ahora, ahora de blanco y de...
[0:58:21.00]-[0:58:23.00]  porque antiguamente no se...
[0:58:23.00]-[0:58:24.00]  no, lo voy a sacar, ahí que lo vean
[0:58:24.00]-[0:58:25.00]  sí
[0:58:25.00]-[0:58:35.00]  lo voy a sacar, ahí que lo vean
[0:58:35.00]-[0:58:42.00]  ahora, es que le puse, como le digo que soy yacea, pues le hice, le hice un...
[0:58:42.00]-[0:58:47.00]  tenía un cuadro más yaceao que este, pero...
[0:58:47.00]-[0:58:48.00]  díselo
[0:58:48.00]-[0:58:49.00]  anda
[0:58:49.00]-[0:58:51.00]  ese es mi marido y yo
[0:58:51.00]-[0:58:52.00]  gracias, gracias
[0:58:52.00]-[0:58:58.00]  y le puse ese cuadro porque lo que digo yo que soy una serayó y digo voy a hacerle un cuadro, digo que lo tenga nadie mañana
[0:58:58.00]-[0:59:00.00]  si lo quieren, que lo tire
[0:59:00.00]-[0:59:04.00]  digo y eso, y no me sea con ilas, una puerpa o algún mueble hueso, ¿sabes?
[0:59:04.00]-[0:59:05.00]  que guapa
[0:59:05.00]-[0:59:06.00]  ¿qué?
[0:59:06.00]-[0:59:07.00]  que guapa era, es
[0:59:07.00]-[0:59:10.00]  si va, ahora si con nada de gordota y...
[0:59:10.00]-[0:59:14.00]  no, no, mira que dice elegante, antiguamente no se casaban de blanco
[0:59:14.00]-[0:59:16.00]  no, yo quise de negro
[0:59:16.00]-[0:59:17.00]  sí
[0:59:17.00]-[0:59:18.00]  que guapa
[0:59:18.00]-[0:59:20.00]  que guapa, sí, que pestañas
[0:59:20.00]-[0:59:22.00]  madre mía, que pestañas
[0:59:22.00]-[0:59:30.00]  pues así las tenía, ahora como aquel que dice con 85 y estoy bien porque lo sé yo, que yo trabajo mucho y lo tengo
[0:59:30.00]-[0:59:34.00]  bueno, la rachada y algunas cosas bien el pintor y me lo pinta
[0:59:34.00]-[0:59:37.00]  pero yo me lo retoco todo y yo me lo hago todo, ¿sabes?
[0:59:37.00]-[0:59:42.00]  con 85 años y dice mis hijos y todo que estoy bien
[0:59:42.00]-[0:59:43.00]  sí, eso está bien
[0:59:43.00]-[0:59:44.00]  sí
[0:59:44.00]-[0:59:45.00]  eso se conserva bien
[0:59:45.00]-[0:59:48.00]  y había costumbre de regalar algo a los novios
[0:59:48.00]-[0:59:52.00]  sí, sí, te regalaban cosas, pero no lo de ahora
[0:59:52.00]-[0:59:56.00]  a lo mejor media dos y una de taza para el café y...
[0:59:56.00]-[0:59:57.00]  y ya
[0:59:57.00]-[0:59:58.00]  y ya estaba
[0:59:58.00]-[1:00:00.00]  y el café ¿cómo era antiguamente?
[1:00:00.00]-[1:00:03.00]  el café, ¿qué cómo era el café?
[1:00:03.00]-[1:00:09.00]  yo qué sé, yo no me acuerdo del café, del café, pues sería, mira
[1:00:09.00]-[1:00:12.00]  ¿qué tomaba usted de desayuno cuando era?
[1:00:12.00]-[1:00:14.00]  yo nada, yo ni tomaba ni tomo
[1:00:14.00]-[1:00:16.00]  yo el café no, no
[1:00:16.00]-[1:00:18.00]  ¿y chocolate, toda la quinta, chocolate?
[1:00:18.00]-[1:00:22.00]  chocolate, sí, chocolate en polvo y mis hijos me dicen
[1:00:22.00]-[1:00:29.00]  madre usted se tiene que tomar algo porque yo no me tomo nada más que las pastillas de la atención por si acaso eso
[1:00:29.00]-[1:00:34.00]  me operaré de la vista de las tartaratas que eso un poquito y eso
[1:00:34.00]-[1:00:37.00]  y dice tiene que cuidarse por las mañanas
[1:00:37.00]-[1:00:38.00]  claro
[1:00:38.00]-[1:00:39.00]  pero...
[1:00:39.00]-[1:00:41.00]  y aquí por ejemplo no se toma chocolate
[1:00:41.00]-[1:00:43.00]  la leche no me gusta tampoco, no
[1:00:43.00]-[1:00:44.00]  no
[1:00:44.00]-[1:00:48.00]  y las mujeres por ejemplo que habían parido se les daba chocolate para que se recuperase
[1:00:48.00]-[1:00:53.00]  sí, se les daban, cuando murió mi padre, que murió mi padre
[1:00:53.00]-[1:01:02.00]  pues murió, ay pues, ahora cuarenta y cinco años, cuarenta y seis
[1:01:02.00]-[1:01:07.00]  cuarenta y seis, irá a hacer ya, cuarenta y seis irá a hacer al año que viene
[1:01:07.00]-[1:01:14.00]  y murió y yo tuve el chiquillo, el marido de esta chica, el pequeño
[1:01:14.00]-[1:01:21.00]  y me dijo que me lo llevaban engañado, estaba nervioso, ellos vivían
[1:01:21.00]-[1:01:24.00]  y murió y yo lo supe a los ocho días
[1:01:24.00]-[1:01:28.00]  que murió mi padre, yo no estuve ni nada, no sé nada
[1:01:28.00]-[1:01:33.00]  nada más que murieron y no me lo quisieron decir
[1:01:33.00]-[1:01:38.00]  y un día viene y ya me había levantado y te llevaban un batín verde
[1:01:38.00]-[1:01:46.00]  y estaba ahí yo, por lo que dicen de que se les daba y me dice un señor que
[1:01:46.00]-[1:01:51.00]  venía con el coche a repartir a los chiquillos por no venir andando
[1:01:51.00]-[1:01:56.00]  y le dijo, cierra la puerta que no digas nada a tu madre, que quiero hablar contigo
[1:01:56.00]-[1:02:00.00]  le dices que tu padre, tu abuelo ha muerto
[1:02:00.00]-[1:02:03.00]  no se le digáis nada a tu madre por favor
[1:02:03.00]-[1:02:08.00]  y yo como soy un poco gata me asomé y lo vi
[1:02:08.00]-[1:02:11.00]  y entonces me tuvieron que dar caldo de gallina, lo digo por esto
[1:02:11.00]-[1:02:17.00]  para que me subiera el pecho porque yo le hervía los tres pechos
[1:02:17.00]-[1:02:19.00]  ¿era costumbre dar caldo de gallina?
[1:02:19.00]-[1:02:25.00]  Sí, caldo de gallina, para que subiste la leche, el pecho que lo tuviese
[1:02:25.00]-[1:02:28.00]  diera su vida y lo criara tú
[1:02:28.00]-[1:02:32.00]  que entonces se criaban casi todos los niños con el pecho
[1:02:32.00]-[1:02:35.00]  ¿y torrijas se les daba a las mujeres del aparido?
[1:02:35.00]-[1:02:36.00]  ¿Qué? ¿Torrijas?
[1:02:36.00]-[1:02:39.00]  Pues no sé, eso, pues sí también
[1:02:39.00]-[1:02:44.00]  yo también me gusta de hacer torrijas, esas rebanetas de pan
[1:02:44.00]-[1:02:47.00]  que se hacen, las pasas por la leche o por eso
[1:02:47.00]-[1:02:50.00]  pero yo leche no les pongo, pero les pongo huevo
[1:02:50.00]-[1:02:55.00]  y luego con aceite caliente los echas y luego las pasas con azúcar
[1:02:55.00]-[1:02:58.00]  y están buenas las torrijas
[1:02:58.00]-[1:03:02.00]  ¿porque viendo lo de los niños, antiguamente se daba luz en la casa?
[1:03:02.00]-[1:03:03.00]  ¿se paría en casa?
[1:03:03.00]-[1:03:05.00]  Pues sí, sí, sí
[1:03:05.00]-[1:03:06.00]  ¿y cómo era?
[1:03:06.00]-[1:03:08.00]  Pues nada, que se tenían con ellos
[1:03:08.00]-[1:03:09.00]  ¿pero había médico?
[1:03:09.00]-[1:03:13.00]  Sí, sí, venía entonces el médico, sí
[1:03:13.00]-[1:03:15.00]  ¿pero usted ha dicho que había sido...?
[1:03:15.00]-[1:03:18.00]  Sí, sí, sí, como hadrón así, de muchos niños
[1:03:18.00]-[1:03:23.00]  que sí, una chica tuvo siete y eso y ahí otra dos y bueno, sí
[1:03:23.00]-[1:03:25.00]  a mí se ha entendido todo un poquito
[1:03:25.00]-[1:03:28.00]  un día, les voy a contar una cosa
[1:03:28.00]-[1:03:32.00]  un día me dice, eso es cierto, me dice
[1:03:32.00]-[1:03:36.00]  cuando decía, dice, tiene ya señora Frida
[1:03:36.00]-[1:03:38.00]  usted téngame la toalla
[1:03:38.00]-[1:03:41.00]  y yo le tenía la toalla, siéntese este
[1:03:41.00]-[1:03:44.00]  se la ponía en la silla
[1:03:44.00]-[1:03:48.00]  y dice, ya tiene el agua puesta, digo sí
[1:03:48.00]-[1:03:51.00]  y ya se pone de pacto y pare
[1:03:51.00]-[1:03:55.00]  y vacía el agua y salen las patatas y garbanzos
[1:03:55.00]-[1:03:57.00]  y me dice señora
[1:03:57.00]-[1:04:00.00]  usted es muy aseada pero en esto poco ha sido
[1:04:00.00]-[1:04:04.00]  digo, y me se ha llorado y a chillar y le dice señora
[1:04:04.00]-[1:04:08.00]  que yo de que he venido estaba tapando el agua
[1:04:08.00]-[1:04:11.00]  con la cobertura de porcelana
[1:04:11.00]-[1:04:13.00]  me acuerdo toda la vida
[1:04:13.00]-[1:04:16.00]  digo yo no he visto el agua, me dijo que estaba caliente
[1:04:16.00]-[1:04:19.00]  digo yo no le toco alba
[1:04:19.00]-[1:04:23.00]  y he ido veces y mi nuera con los nenes
[1:04:23.00]-[1:04:25.00]  y me ha dicho, que señora Frida
[1:04:25.00]-[1:04:28.00]  usted se acuerda, el sofoco que tomó usted
[1:04:28.00]-[1:04:31.00]  eso es cierto, por mí
[1:04:31.00]-[1:04:33.00]  pero al final no pasó nada
[1:04:33.00]-[1:04:35.00]  no, no pasó nada, nada más que estaba sucia el agua
[1:04:35.00]-[1:04:37.00]  y hubo que poner otra
[1:04:37.00]-[1:04:40.00]  así que mire, eso me pasó
[1:04:43.00]-[1:04:45.00]  y ahora ya es un recuerdo
[1:04:45.00]-[1:04:50.00]  recuerdo de eso, recuerdo de cosas que me han pasado a mí
[1:04:50.00]-[1:04:52.00]  a mí me han pasado cosas
[1:04:52.00]-[1:04:54.00]  y hay otra chica, me dice
[1:04:54.00]-[1:04:55.00]  que?
[1:04:55.00]-[1:04:57.00]  dice ven a pincharle al chiquillo
[1:04:57.00]-[1:05:01.00]  y yo cojo y yo pinchaba así, pincho así
[1:05:01.00]-[1:05:03.00]  le decido que soy, y hago así
[1:05:03.00]-[1:05:05.00]  y hago así, y no lo siente
[1:05:05.00]-[1:05:07.00]  mi nuera dice que no siente como le pincho
[1:05:07.00]-[1:05:09.00]  pero bueno, y me digo
[1:05:09.00]-[1:05:12.00]  ay, y no hace nada tu chico
[1:05:12.00]-[1:05:15.00]  y vuelve el chiquillo, y tu chico esta muerto
[1:05:15.00]-[1:05:19.00]  dice, mi chico esta muerto, digo si
[1:05:19.00]-[1:05:21.00]  digo yo me voy a llamar a tu tia ni...
[1:05:21.00]-[1:05:23.00]  digo que el chiquillo esta muerto
[1:05:23.00]-[1:05:25.00]  y luego sabes que era
[1:05:25.00]-[1:05:27.00]  que se vetía ella
[1:05:27.00]-[1:05:29.00]  que había sido de los ataques que le daban
