[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[0:46:14.80]-[0:46:19.80]  Era extraperro, no podías decir tengo aceite y tengo harina.
[0:46:19.80]-[0:46:22.80]  ¿Pero extraperro dónde? ¿Tienes que ir a otra...
[0:46:22.80]-[0:46:27.80]  El extraperro es como aquel, ¿qué es el dinero negro?
[0:46:27.80]-[0:46:30.80]  No, es que yo sé que es un extraperro, no sé.
[0:46:30.80]-[0:46:32.80]  Pues el dinero negro también es extraperro, ¿no?
[0:46:32.80]-[0:46:35.80]  No sabes, pero siempre hay quien tiene dinero negro.
[0:46:35.80]-[0:46:38.80]  Y el extraperro pues pasa eso.
[0:46:39.80]-[0:46:43.80]  Pero ¿tienes que ir a comprarlo donde quiera?
[0:46:43.80]-[0:46:47.80]  Claro, yo voy y venían. Venían, te lo traían.
[0:46:47.80]-[0:46:49.80]  Te lo traían y...
[0:46:49.80]-[0:46:54.80]  Oye, ¿tú quieres? Pues sí, ve, te ganarás tanto.
[0:46:54.80]-[0:46:59.80]  Pero conquistar porque si te cogía la guardia de vida, adiós, te la veré.
[0:46:59.80]-[0:47:00.80]  ¿Había guardia de vida?
[0:47:00.80]-[0:47:01.80]  Toda la vida.
[0:47:01.80]-[0:47:03.80]  ¿Tadía que estar en el cuarto?
[0:47:03.80]-[0:47:07.80]  Toda la vida. Obviamente, esto había teniente.
[0:47:07.80]-[0:47:09.80]  Se necesitaba había línea.
[0:47:09.80]-[0:47:11.80]  Y a jefe de línea, sí.
[0:47:11.80]-[0:47:14.80]  Hasta la guerra, como jefe de línea.
[0:47:14.80]-[0:47:17.80]  ¿Y era muy dura aquí la guardia civil?
[0:47:17.80]-[0:47:21.80]  Eso hay quien puede hablar mal. Yo no puedo hablar mal de nadie.
[0:47:21.80]-[0:47:26.80]  No puedo hablar mal de nadie porque para mí todos me parecen que no se aporta a nadie.
[0:47:26.80]-[0:47:33.80]  Que no haya sido querido ni una parte ni otra, a mí me da igual.
[0:47:33.80]-[0:47:37.80]  Pero que no estoy yo quejoso, a mí no me han pegado ni me han dicho ni nada.
[0:47:39.80]-[0:47:42.80]  Que todos no tenemos más suerte.
[0:47:42.80]-[0:47:45.80]  A lo mejor me lo merecido y me han perdonado, no lo sé.
[0:47:45.80]-[0:47:49.80]  A lo mejor... Es que no he dado motivos para hacerlo.
[0:47:49.80]-[0:47:51.80]  ¿Y el cura mandaba mucho aquí?
[0:47:51.80]-[0:47:52.80]  ¿Qué más?
[0:47:52.80]-[0:47:54.80]  Cuéntanos un poco cómo...
[0:47:54.80]-[0:47:57.80]  ¿Y cómo se notaba que mandaba?
[0:47:57.80]-[0:48:00.80]  ¿Por qué se notaba que el cura mandaba?
[0:48:00.80]-[0:48:02.80]  Es que la vida de los...
[0:48:02.80]-[0:48:06.80]  Lo mismo es otra, como vosotros todos.
[0:48:06.80]-[0:48:10.80]  Antes un cura, el chaval en seguir ahí, ¡pam!
[0:48:10.80]-[0:48:12.80]  ¡A mi la mano!
[0:48:12.80]-[0:48:13.80]  ¿Cómo? ¿Cómo?
[0:48:13.80]-[0:48:14.80]  ¿Qué hacía?
[0:48:14.80]-[0:48:15.80]  ¿Qué hacía?
[0:48:15.80]-[0:48:16.80]  ¿Qué hacía?
[0:48:16.80]-[0:48:19.80]  Me salió la mano.
[0:48:19.80]-[0:48:20.80]  ¿Qué hacía? ¿Qué hacía?
[0:48:20.80]-[0:48:22.80]  Me salió la mano.
[0:48:22.80]-[0:48:23.80]  ¿Así?
[0:48:23.80]-[0:48:24.80]  ¿Así?
[0:48:24.80]-[0:48:26.80]  Después todo el mundo seguro iba por la calle.
[0:48:26.80]-[0:48:27.80]  ¡Cumbre!
[0:48:27.80]-[0:48:29.80]  Pero...
[0:48:29.80]-[0:48:31.80]  Ahora ya no son así.
[0:48:31.80]-[0:48:33.80]  Y es que los curas tampoco son así.
[0:48:33.80]-[0:48:36.80]  Porque ahora como un cura,
[0:48:36.80]-[0:48:38.80]  y se va con los chicos, con los jóvenes de su tiempo,
[0:48:38.80]-[0:48:44.80]  y se va aquí, se va allá, igual va a un baile que va a la Argentina, que va a la iglesia.
[0:48:44.80]-[0:48:46.80]  Y es que no es de esa forma.
[0:48:46.80]-[0:48:47.80]  Porque es que en la iglesia...
[0:48:47.80]-[0:48:49.80]  ¡Eh!
[0:48:49.80]-[0:48:53.80]  ¿Sos qué? ¿Que se callen?
[0:48:53.80]-[0:48:55.80]  Llamaba la atención en la misma iglesia.
[0:48:55.80]-[0:48:56.80]  Sí.
[0:48:56.80]-[0:48:57.80]  ¡Cumbre!
[0:48:57.80]-[0:48:58.80]  Que más, que más decía y algún día se enfadó.
[0:48:58.80]-[0:49:00.80]  Se enfadaba y se iban tan negros.
[0:49:00.80]-[0:49:02.80]  Y ya decía, a mí no me voy a defender.
[0:49:02.80]-[0:49:03.80]  ¿Cómo? ¿A usted qué?
[0:49:03.80]-[0:49:04.80]  A mí no, a mí no.
[0:49:04.80]-[0:49:06.80]  Pero que alguno se marchó de la iglesia.
[0:49:06.80]-[0:49:09.80]  Y lo he visto marcharse de la iglesia porque no hablaba.
[0:49:09.80]-[0:49:11.80]  Y el de los del banco es el trasero que...
[0:49:11.80]-[0:49:12.80]  que se callen.
[0:49:12.80]-[0:49:14.80]  No hablaban. Se enfadaron, ¿no?
[0:49:14.80]-[0:49:16.80]  Como que se iban y se iban.
[0:49:16.80]-[0:49:18.80]  Yo no hablaba, eh.
[0:49:18.80]-[0:49:23.80]  Me marcharon porque no querían discutir.
[0:49:23.80]-[0:49:26.80]  ¿Y mandaban mucho a las mujeres o a los hombres más?
[0:49:26.80]-[0:49:30.80]  ¿O a quién? ¿Qué es lo que dejaban hacer y lo que dejaban hacer?
[0:49:30.80]-[0:49:34.80]  Los curas siempre igual van ahora que antes con las mujeres.
[0:49:34.80]-[0:49:39.80]  ¿Te has visto algún cura que haya mujeres y hombres con los hombres?
[0:49:39.80]-[0:49:40.80]  No.
[0:49:40.80]-[0:49:43.80]  Siempre están con las mujeres. Es verdad, es verdad.
[0:49:46.80]-[0:49:48.80]  ¿Y por qué? ¿Por qué será eso? ¿Por qué?
[0:49:48.80]-[0:49:52.80]  ¿Por qué tienen más poder sobre las mujeres o...?
[0:49:53.80]-[0:49:54.80]  No sé.
[0:49:54.80]-[0:49:56.80]  ¿Y vestían con sotana?
[0:49:56.80]-[0:49:58.80]  Sí, muy antes.
[0:49:59.80]-[0:50:01.80]  Se buscaba un cura que fue una chica.
[0:50:01.80]-[0:50:03.80]  Ah, sí, cuéntenos, cuéntenos.
[0:50:03.80]-[0:50:05.80]  Cuéntenos esa escena.
[0:50:05.80]-[0:50:13.80]  Sí, sí, tenía una fonda, hicieron novios, se casaron, se falló de cura,
[0:50:13.80]-[0:50:17.80]  se fue a Madrid y el marido viene y han venido y vienen.
[0:50:17.80]-[0:50:19.80]  Hace mucho que vienen.
[0:50:19.80]-[0:50:21.80]  Viene una chica, soluz.
[0:50:21.80]-[0:50:23.80]  ¿Y qué piensa la gente?
[0:50:23.80]-[0:50:27.80]  ¿Qué piensa la gente? Pues mira, ya de pensar.
[0:50:27.80]-[0:50:37.80]  Entonces había un secretario, ¿sabéis que se va a casar la chica de la escuela?
[0:50:37.80]-[0:50:38.80]  Sí, con un cura.
[0:50:38.80]-[0:50:41.80]  ¡Jalá, Pepe! ¡No digas eso!
[0:50:41.80]-[0:50:45.80]  Digo, ¿le han dicho cómo se llama el novio a que se llama...?
[0:50:45.80]-[0:50:47.80]  Digo, ¿qué es cura?
[0:50:47.80]-[0:50:49.80]  ¿Ella es cura? ¿Estás con el cura?
[0:50:49.80]-[0:50:51.80]  Te dije que no, que no que sí.
[0:50:51.80]-[0:50:53.80]  Digo, sí, es verdad.
[0:50:53.80]-[0:50:59.80]  Se casó, se salió de cura, mismo de hecho, tiene su nombre.
[0:50:59.80]-[0:51:00.80]  Claro.
[0:51:00.80]-[0:51:02.80]  Y ya está, y han vivido.
[0:51:04.80]-[0:51:08.80]  ¿Y aquí cuando usted era joven cómo se divertían aquí en el pueblo?
[0:51:08.80]-[0:51:12.80]  Sí, claro que no poco, como podía.
[0:51:12.80]-[0:51:18.80]  Claro que no como podía, porque había rondallas,
[0:51:18.80]-[0:51:24.80]  se sacaba mucho a rondar, a cantar las mozas, cantaba las mozas, la que vino más.
[0:51:24.80]-[0:51:28.80]  ¿Cómo dice, qué dice que hacían las mozas?
[0:51:28.80]-[0:51:33.80]  Se hacían rondas, rondar, rondar, y se les cantaba las mozas,
[0:51:33.80]-[0:51:37.80]  pues cada uno era la que tenía más afecto.
[0:51:38.80]-[0:51:40.80]  ¿Aquí había la costumbre del mayo?
[0:51:40.80]-[0:51:42.80]  No, pero parecido.
[0:51:42.80]-[0:51:43.80]  A ver, cuéntenos.
[0:51:43.80]-[0:51:49.80]  Había entonces que se llamaban, era para Navidad,
[0:51:49.80]-[0:51:51.80]  era para Navidad y...
[0:51:51.80]-[0:51:54.80]  ¿En primavera era Navidad?
[0:51:54.80]-[0:52:04.80]  Era Navidad y se hacían, había para la fiesta, les decían mayorales, los mayorales,
[0:52:04.80]-[0:52:13.80]  había, nombraban pues cuatro, cinco, seis, no sé, la cantidad no me acuerdo, cuatro por lo menos sí,
[0:52:13.80]-[0:52:19.80]  y rondaban y les cantaban, les cantaban a todos que eso,
[0:52:19.80]-[0:52:23.80]  y les hacían bizcochos, tortas buenas, ¿sabes?
[0:52:23.80]-[0:52:31.80]  Y van, les hacían cantas, jotas, discurías por ellas, por ellos, ¿sabes?
[0:52:31.80]-[0:52:38.80]  Para que las tíes les bajaban el bizcocho y los más contentos que hubo.
[0:52:38.80]-[0:52:40.80]  Una fiesta de lima que hacían.
[0:52:42.80]-[0:52:44.80]  ¿Y ustedes rondaban mucho o poco?
[0:52:44.80]-[0:52:47.80]  Sería para, eso era antes que el chaval.
[0:52:47.80]-[0:52:50.80]  ¿Y cuando usted era chaval cuál era la costumbre?
[0:52:50.80]-[0:52:53.80]  Sí, en todo eso sí, voy, había jotas.
[0:52:53.80]-[0:53:01.80]  Una vez se cantó uno una jota en su puerta, ¿sabes?
[0:53:01.80]-[0:53:08.80]  Era cantinero, o sea que tenía cantina, y ¿ha visto lo que se cantó?
[0:53:08.80]-[0:53:18.80]  Y le decían, p*** de moto, harías el...
[0:53:18.80]-[0:53:20.80]  ¿Y con el colchón le llaman así?
[0:53:20.80]-[0:53:28.80]  Dicen que tienes algo corto en el medir, para vivir en este mundo es mi estrés discurrido.
[0:53:28.80]-[0:53:32.80]  Se la cantó él mismo, a ver si me comprendes.
[0:53:33.80]-[0:53:36.80]  ¿Y aquí se celebraba Santa Gueda o no?
[0:53:36.80]-[0:53:42.80]  No, no, Santa Gueda no, Santa Gueda en Alecú.
[0:53:42.80]-[0:53:43.80]  ¿Ah sí, aquí no?
[0:53:43.80]-[0:53:46.80]  Aquí no, aquí no, a Santa Gueda no.
[0:53:46.80]-[0:53:52.80]  Ahora parece que quieren una mujer en un bocacaray, algunas se hacen más revolucionarias también.
[0:53:57.80]-[0:54:03.80]  Pero que sí, sí, hay una asociación cultural, hacemos marchas.
[0:54:03.80]-[0:54:05.80]  Yo estoy al talento de la jota.
[0:54:05.80]-[0:54:07.80]  ¿Y cuando...?
[0:54:07.80]-[0:54:17.80]  Marchas, hoy vamos a tal fuente, están puestas por ahí, por los bares, ya está puesta, el 13 de mayo empieza,
[0:54:17.80]-[0:54:27.80]  el 13 de mayo nos vamos a una fuente de Mora de Rubiolos, fue en Narices, el 20 otro, el 27 otro, o sea que cada semana.
[0:54:27.80]-[0:54:33.80]  Y luego se hace un día con bicicletas también, una marcha con bicicletas, y se hace una acampada,
[0:54:33.80]-[0:54:37.80]  se va el sábado, se duerme y duermos para casa.
[0:54:37.80]-[0:54:39.80]  Es una asociación cultural.
[0:54:39.80]-[0:54:40.80]  Está bien, ¿no?
[0:54:40.80]-[0:54:48.80]  Se llama Peñarroya 2024, 2024 metros que tiene la altura de Peñarroya,
[0:54:48.80]-[0:54:53.80]  el punto más alto de la provincia, el punto más alto de la provincia está en la zona de Europa.
[0:54:53.80]-[0:54:55.80]  Está frío, ¿eh?
[0:54:55.80]-[0:54:56.80]  Sí.
[0:54:56.80]-[0:55:00.80]  Por aquí nieva mucho por el paso.
[0:55:00.80]-[0:55:07.80]  Y después, si querís, si subís allí, quizás aún puede ser que haya un palo de nieve.
[0:55:07.80]-[0:55:10.80]  Había una barbaridad, iba a ir más de medio metro.
[0:55:10.80]-[0:55:12.80]  ¿Y antes Santuganete nevaba más que ahora?
[0:55:12.80]-[0:55:15.80]  Mucho más, mucho más, mucho más.
[0:55:15.80]-[0:55:19.80]  Y a eso de medio metro de nieve, eso costaría reo.
[0:55:19.80]-[0:55:26.80]  Ibas por las calles y no te veías, por aquí a zanjas, así, mucho.
[0:55:26.80]-[0:55:35.80]  ¿Y aquí había alguna costumbre de a los novios hacerles alguna broma después de la boda?
[0:55:35.80]-[0:55:46.80]  Aquí los que se les hacía era al que se casaba viudo con moza o mazo, moza con vino, ¿sabes?
[0:55:46.80]-[0:55:49.80]  Se hacían cencerrada, una cencerrada.
[0:55:49.80]-[0:55:56.80]  Y a tocarles en los besos.
[0:55:56.80]-[0:55:58.80]  ¿Y dónde?
[0:55:58.80]-[0:56:01.80]  Habéis pagado, habéis lo dicho y suban para lo que fuera.
[0:56:01.80]-[0:56:05.80]  Y yo, bien, esto no es para nada, nada, si para, ya está bien.
[0:56:05.80]-[0:56:10.80]  Y se les va a dar a los padres para que los sobrevedan y hasta un rato.
[0:56:10.80]-[0:56:13.80]  Pero cómo explíquenos cómo era esto, no he entendido bien.
[0:56:13.80]-[0:56:17.80]  O sea, que cuando se casaban dos viudos o un viudo...
[0:56:17.80]-[0:56:20.80]  Un viudo y una maza, un viudo y otro mozo.
[0:56:20.80]-[0:56:22.80]  ¿Y entonces?
[0:56:22.80]-[0:56:31.80]  Entonces pues ya van todos con una cencerrada o que cencerrada con griterío y en fin.
[0:56:31.80]-[0:56:35.80]  Campores, botes, los cuatro, ruido.
[0:56:35.80]-[0:56:40.80]  Y en la puerta, y ahí, bombo, bombo, bombo, hasta que no...
[0:56:40.80]-[0:56:42.80]  ¿Qué es lo que queréis?
[0:56:42.80]-[0:56:49.80]  Pues esto, que algedían y se había acabado todo.
[0:56:49.80]-[0:56:52.80]  Y que aquí como es un pueblo pequeño, ¿no?
[0:56:52.80]-[0:56:57.80]  Pues me imagino ser una boda, tienen que encargarse todos, ¿no?
[0:56:57.80]-[0:57:03.80]  ¿No? Es que como un boda grande, no, no hay tanta gente.
[0:57:03.80]-[0:57:11.80]  No, hoy, para todo eso, no te creas tú, porque...
[0:57:11.80]-[0:57:18.80]  Las masías se hacían bureos, folga, bureos.
[0:57:18.80]-[0:57:23.80]  Eran bailes que se reunían los de alrededor, las masías de alrededor.
[0:57:23.80]-[0:57:28.80]  Iban a... quedaban para una noche.
[0:57:28.80]-[0:57:32.80]  Esta noche en mi casa, esta noche en la otra.
[0:57:32.80]-[0:57:39.80]  Se hacían los carnavales, la canta bárbara o cualquier fiesta o cualquier domingo.
[0:57:39.80]-[0:57:44.80]  Se reunían así mucho las masías, porque es que estaban...
[0:57:44.80]-[0:57:48.80]  Había más centenas de masías en el pueblo.
[0:57:48.80]-[0:57:52.80]  Fíjate, en este pueblo había sesenta y dos.
[0:57:52.80]-[0:57:56.80]  Y habitadas todas.
[0:57:56.80]-[0:58:00.80]  Había tantas que a lo mejor había diez o doce.
[0:58:00.80]-[0:58:07.80]  Y ahí barrios, que se llaman de masías, están casi tocando unas riojas.
[0:58:07.80]-[0:58:14.80]  Y se juntaban el parque domingo en una era de la masía, en la era donde estían todos nosotros, pues se llenaba.
[0:58:14.80]-[0:58:17.80]  Pues, que haremos baile hasta el día.
[0:58:17.80]-[0:58:20.80]  Ya no venían.
[0:58:20.80]-[0:58:25.80]  ¿Y a qué edad se casó la gente entonces?
[0:58:25.80]-[0:58:27.80]  Por ejemplo, usted, a qué edad se casó?
[0:58:27.80]-[0:58:29.80]  Yo no sé.
[0:58:29.80]-[0:58:31.80]  ¿Por qué?
[0:58:31.80]-[0:58:37.80]  30 años, 32.
[0:58:37.80]-[0:58:43.80]  Pues como dije, era normal, así 20.
[0:58:43.80]-[0:58:47.80]  No, se volvían a casar de pronto.
[0:58:47.80]-[0:58:52.80]  Cuando yo nací, cosas de esas, se casaban de 19 o 20 años.
[0:58:52.80]-[0:58:55.80]  Después me fui yo y a mi casa se tardó.
[0:58:55.80]-[0:58:58.80]  Hay que haber quien más.
[0:58:58.80]-[0:59:01.80]  Y a la gente se la vuelve un poco.
[0:59:01.80]-[0:59:04.80]  Usted es de un espíritu moderno, ¿no?
[0:59:04.80]-[0:59:08.80]  Ese es lo que cabe decir.
[0:59:08.80]-[0:59:11.80]  Porque hoy día ya la cosa cambia.
[0:59:11.80]-[0:59:14.80]  ¿Y la gente antes se casaba con quien quería o a veces los padres?
[0:59:14.80]-[0:59:17.80]  No, más que nada eran arreglos.
[0:59:17.80]-[0:59:21.80]  Arreglos de masías, cien de masías.
[0:59:21.80]-[0:59:24.80]  Estos chavales, los tenemos que casar con los y voy a estar bien.
[0:59:24.80]-[0:59:27.80]  Se casaban primos y hermanos.
[0:59:27.80]-[0:59:30.80]  Los padres decían, ¿por qué?
[0:59:30.80]-[0:59:33.80]  Estos que se casen, tú ya estás bien.
[0:59:33.80]-[0:59:35.80]  Tú con él, yo con ti, ya está.
[0:59:35.80]-[0:59:37.80]  ¿Y los hijos que decían?
[0:59:37.80]-[0:59:39.80]  Están acostumbrados.
[0:59:39.80]-[0:59:41.80]  Así es que siempre siguieron.
[0:59:41.80]-[0:59:43.80]  De chiquitos eran primicos, que les daban y todo eso.
[0:59:43.80]-[0:59:45.80]  Y cuando llegaron mayores ricos, pues también,
[0:59:45.80]-[0:59:47.80]  que tenían hijos y han tenido más.
[0:59:47.80]-[0:59:49.80]  Pero ya no se separaban.
[0:59:49.80]-[0:59:51.80]  Y me comprendes, ¿verdad?
[0:59:51.80]-[0:59:53.80]  ¿Pero eso era por motivos económicos?
[0:59:53.80]-[0:59:55.80]  Sí, más que nada.
[0:59:55.80]-[0:59:57.80]  ¿O por amistades de familia?
[0:59:57.80]-[1:00:00.80]  Eso ya te digo, si los padres eran hermanos.
[1:00:00.80]-[1:00:04.80]  Los padres eran hermanos, unos retros.
[1:00:04.80]-[1:00:06.80]  Ellos primos eran hermanos.
[1:00:06.80]-[1:00:10.80]  Yo he conocido aquí una familia.
[1:00:10.80]-[1:00:16.80]  Ahí en estos pueblos de aquí arriba aún hacían las cosas esas.
[1:00:16.80]-[1:00:18.80]  Ahí yo estuve, fui a trabajar.
[1:00:18.80]-[1:00:28.80]  Al verano solía ir a asegar, a atar, a tallar, a la recolección.
[1:00:28.80]-[1:00:32.80]  Ahí estos pueblos de aquí arriba venían antes.
[1:00:32.80]-[1:00:34.80]  Están más bajos estos.
[1:00:34.80]-[1:00:36.80]  Los metimos ahí arriba pero están siempre más bajos.
[1:00:36.80]-[1:00:40.80]  Ahí al pobo, a unos pueblos que hay en Tolando, que buscaban.
[1:00:40.80]-[1:00:42.80]  Yo fui dos años.
[1:00:42.80]-[1:00:45.80]  ¿Qué pueblos son? ¿Viste el pobo?
[1:00:45.80]-[1:00:47.80]  El pobo.
[1:00:47.80]-[1:00:50.80]  El pobo de Aguilar del Pambla.
[1:00:50.80]-[1:00:54.80]  No estuve en el pobo, estuve en Ababu en un año.
[1:00:54.80]-[1:00:57.80]  El otro año en Aguilar del Pambla.
[1:00:57.80]-[1:01:03.80]  En el de Ababu, pero se fui a una casa que se fueron el día que llegué.
[1:01:03.80]-[1:01:07.80]  Se fueron los padres a hacer las cartas matrimoniales a Tereche.
[1:01:07.80]-[1:01:11.80]  Los mozos se quedaron en casa.
[1:01:11.80]-[1:01:18.80]  Y vino el coche y estuvo a casa, estuvo aquí también, estuvo a la tuya.
[1:01:18.80]-[1:01:26.80]  Por un burrico y dos ovejas, no soy soldado de los patraíces.
[1:01:26.80]-[1:01:28.80]  O sea que eran arreglados.
[1:01:28.80]-[1:01:30.80]  Arreglados, arreglados.
[1:01:30.80]-[1:01:33.80]  Y qué le iba a decir, aquí la herencia de esta parte, ¿cómo es?
[1:01:33.80]-[1:01:35.80]  ¿Hay un mayor?
[1:01:35.80]-[1:01:36.80]  Aquí no.
[1:01:36.80]-[1:01:49.80]  Tambas ni no.
[1:01:49.80]-[1:01:50.80]  Ah, dice Néstor.
[1:01:50.80]-[1:01:51.80]  Tambas ni no.
[1:01:51.80]-[1:01:53.80]  Y por qué le dicen los padres.
[1:01:53.80]-[1:02:00.80]  Pues, eh, en cada punto les dicen su cosa.
[1:02:00.80]-[1:02:02.80]  Yo creo que sí.
[1:02:02.80]-[1:02:03.80]  No, pero sí por...
[1:02:03.80]-[1:02:08.80]  A mí me dijo una chica, dice, tambas ni no.
[1:02:08.80]-[1:02:11.80]  Yo no sabía lo que me había dicho.
[1:02:11.80]-[1:02:18.80]  Y dice, ¿y es puyare con yota la borda?
[1:02:18.80]-[1:02:22.80]  Me voy a ver.
[1:02:22.80]-[1:02:24.80]  Y así, y ahí no pregunto.
[1:02:24.80]-[1:02:30.80]  Me fui con ella a la cuadra de las vacas, a Chales a las vacas.
[1:02:30.80]-[1:02:35.80]  La borda, las bordas son las bordas de las vacas.
[1:02:35.80]-[1:02:37.80]  Tambas, ¿a dónde vas?
[1:02:37.80]-[1:02:38.80]  Se te habla muy mal.
[1:02:38.80]-[1:02:43.80]  Habla muy mal y eso era la chica joven, eh, que era chica bien maja ya.
[1:02:43.80]-[1:02:45.80]  Me acuerdo su nombre.
[1:02:45.80]-[1:02:50.80]  ¿Cómo es en esta canción de Nino Bravo, no?
[1:02:50.80]-[1:02:55.80]  La llamaba bien maja ya, es verdad.
[1:02:55.80]-[1:02:56.80]  ¿Me gustó?
[1:02:56.80]-[1:03:02.80]  Sí, estaba muy buena, buenísimo.
[1:03:02.80]-[1:03:05.80]  Muy mal empezaba.
[1:03:05.80]-[1:03:07.80]  Tenía novio y lo dejó.
[1:03:07.80]-[1:03:12.80]  Ay, criatura, qué mal.
[1:03:12.80]-[1:03:14.80]  Y bueno, pues como nosotras somos extranjeras,
[1:03:14.80]-[1:03:18.80]  ¿qué palabras son típicas de esta zona que se dice aquí?
[1:03:18.80]-[1:03:20.80]  ¿Cómo dicen aquí silvar, por ejemplo?
[1:03:20.80]-[1:03:21.80]  ¿Silvar?
[1:03:21.80]-[1:03:22.80]  Chuflar.
[1:03:22.80]-[1:03:23.80]  Chuflar.
[1:03:23.80]-[1:03:24.80]  Chuflar.
[1:03:24.80]-[1:03:26.80]  Chuflar, eh, chuflar.
[1:03:26.80]-[1:03:31.80]  No sé chuflar, eh, silvar chuflar.
[1:03:31.80]-[1:03:32.80]  ¿Y qué más?
[1:03:32.80]-[1:03:34.80]  ¿Y cómo llaman a las abejas?
[1:03:34.80]-[1:03:36.80]  A las abejas, abejas.
[1:03:36.80]-[1:03:37.80]  ¿No las llaman moscas?
[1:03:37.80]-[1:03:41.80]  No, porque las avispas son otra cosa, muchos lo dicen avispas,
[1:03:41.80]-[1:03:45.80]  pero la avispa es otra cosa, no es la abeja, son iguales.
[1:03:45.80]-[1:03:46.80]  Más que son...
[1:03:46.80]-[1:03:48.80]  ¿Avejas también hay avispas?
[1:03:48.80]-[1:03:50.80]  Sí, sí, ya hacen miel igual.
[1:03:50.80]-[1:03:52.80]  ¿Tienen colmenas aquí?
[1:03:52.80]-[1:04:00.80]  Pues hay todos los años bastantes, las traen y se las llevan.
[1:04:00.80]-[1:04:07.80]  Ahora para... cuando las traen, las traen, hay que... hay muchos.
[1:04:07.80]-[1:04:09.80]  ¿Y qué tienen en este pueblo?
[1:04:09.80]-[1:04:10.80]  ¿Eh?
[1:04:10.80]-[1:04:11.80]  Río.
[1:04:11.80]-[1:04:12.80]  ¿Río?
[1:04:12.80]-[1:04:15.80]  Ponte derecho y mira atrás.
[1:04:15.80]-[1:04:17.80]  No, es que no es mirar.
[1:04:17.80]-[1:04:20.80]  Y cuando los chicos se van ahí a bañar, ¿alguien?
[1:04:20.80]-[1:04:22.80]  Hay piscina, ahora hay piscina.
[1:04:22.80]-[1:04:26.80]  Ay, qué moderno, esto no es un pueblo, esto es una ciudad ya.
[1:04:26.80]-[1:04:28.80]  No, yo me refiero a cuando usted era joven y iban al río.
[1:04:28.80]-[1:04:30.80]  ¿Cuál es el molino?
[1:04:30.80]-[1:04:34.80]  Y sin taparrabos, sin taparrabos.
[1:04:34.80]-[1:04:36.80]  Y la molinera era la mejor.
[1:04:36.80]-[1:04:38.80]  ¡Ey!
[1:04:38.80]-[1:04:42.80]  ¿Ya te has asomado a ver?
[1:04:42.80]-[1:04:43.80]  ¿Y el molino?
[1:04:43.80]-[1:04:45.80]  ¿Puedes decir que era sinudó?
[1:04:45.80]-[1:04:48.80]  Sí. ¿El molino que era de agua?
[1:04:48.80]-[1:04:52.80]  Sí, tres había, cinco, aquí cinco.
[1:04:52.80]-[1:04:56.80]  Ahora que los otros están tocando cabra ya,
[1:04:56.80]-[1:04:59.80]  y el uno le decía en el de Pastilla y el otro de Cabra.
[1:04:59.80]-[1:05:04.80]  Pero que es un término de altadad, ese término tiene, es muy grande.
[1:05:04.80]-[1:05:10.80]  Tocando cabra hasta aquí hay más, 104 kilómetros cuadrados tiene.
[1:05:10.80]-[1:05:15.80]  Y una diferencia de altura de cerca de mil metros,
[1:05:15.80]-[1:05:21.80]  de donde empieza tocando cabra hasta el puntal de Peñarroa, cerca a mil metros.
[1:05:21.80]-[1:05:22.80]  ¿Y pescaban ahí en el río?
[1:05:22.80]-[1:05:24.80]  Había muchísimas tuchas.
[1:05:24.80]-[1:05:26.80]  ¿Cómo las pescaban?
[1:05:26.80]-[1:05:29.80]  De todas maneras, entonces de todas maneras, porque había muchísimas.
[1:05:29.80]-[1:05:35.80]  A mano y con caña, yo fui uno de los primeros que empezaba a pescar con caña.
[1:05:35.80]-[1:05:40.80]  Pero no, si te metías al río en un momento las que querías.
[1:05:40.80]-[1:05:43.80]  ¿Cómo las cogían a mano?
[1:05:43.80]-[1:05:47.80]  No, si no, si resbalan mucho.
[1:05:47.80]-[1:05:52.80]  Pero no, se meten en los agujeros, meter la mano y al menos vos sacas un topo, una víbora.
[1:05:52.80]-[1:05:54.80]  Hay muchas víboras.
[1:05:54.80]-[1:06:01.80]  ¿Recuerdas alguien que le picara a la víbora?
[1:06:01.80]-[1:06:05.80]  El topo sí, los topos sí, los topos ojo con ellos, que te cruzaban el dedo.
[1:06:05.80]-[1:06:10.80]  ¿Pero víboras aquí nunca picaron a nadie?
[1:06:10.80]-[1:06:16.80]  Sí, han picado, han picado mucho, sobre todo, ¿sabes cómo?
[1:06:16.80]-[1:06:19.80]  Recogiendo las hierbas.
[1:06:19.80]-[1:06:22.80]  ¿Nos puedes contar algún caso que recuerde como dramático?
[1:06:22.80]-[1:06:25.80]  Porque no da tiempo a llevar a Teruel aún.
[1:06:25.80]-[1:06:29.80]  No, aquí siempre ha habido médicos.
[1:06:29.80]-[1:06:32.80]  ¿Tenía antídotos o qué?
[1:06:32.80]-[1:06:37.80]  Sí, aquí hacen un cortesico y sacan el veneno y van.
[1:06:37.80]-[1:06:39.80]  Además, unos expertos.
[1:06:39.80]-[1:06:41.80]  Hay que más picar, ¿no?
[1:06:41.80]-[1:06:45.80]  Es un torniquete, ¿no?
[1:06:45.80]-[1:06:51.80]  Sí, es lo de anudar el dedo así para que no se abraza.
[1:06:51.80]-[1:06:54.80]  O una herida, cosas de esas.
[1:06:54.80]-[1:06:56.80]  ¿Y los topos son peligrosos?
