[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[0:38:14.00]-[0:38:17.00]  La fiesta del ramo, fiesta de mayo...
[0:38:17.00]-[0:38:19.00]  No, aquí no ha habido fiestas de esas.
[0:38:19.00]-[0:38:23.00]  Aquí se hace otra fiesta, que es la Madalena, que es la patrona.
[0:38:23.00]-[0:38:25.00]  Y pues una fiesta corriente.
[0:38:25.00]-[0:38:28.00]  Y un día de verano, que se descansa y punto.
[0:38:28.00]-[0:38:30.00]  No se ha hecho nunca una fiesta para las mujeres.
[0:38:30.00]-[0:38:33.00]  No, para las mujeres antiguamente hacían Santágeda.
[0:38:33.00]-[0:38:35.00]  ¿Y cómo era Santágeda?
[0:38:35.00]-[0:38:36.00]  Ah, pues Santágeda.
[0:38:36.00]-[0:38:42.00]  Pues yo me recuerdo de una vez que vi Santágeda, que las mayores del pueblo,
[0:38:42.00]-[0:38:45.00]  pues, hacían la fiesta.
[0:38:45.00]-[0:38:51.00]  Hicieron una comilona allí en, no sé, en la plaza, y hacían la fiesta.
[0:38:51.00]-[0:38:53.00]  ¿Cómo se hacía, cómo era?
[0:38:53.00]-[0:38:55.00]  Nada, pues una comida que se hacían allí.
[0:38:55.00]-[0:39:00.00]  Pedían, antes ocho o quince días, y luego pues hacían una merienda.
[0:39:00.00]-[0:39:04.00]  Ahora hay pueblos, porque aquí en Olombrada, pues sí la hacen.
[0:39:04.00]-[0:39:07.00]  Y hacen mucha fiesta el día de Santágeda.
[0:39:07.00]-[0:39:10.00]  Pasa como, hay orilla de Segovia.
[0:39:10.00]-[0:39:14.00]  Ahora esa es la favorita de aquí de la provincia.
[0:39:14.00]-[0:39:17.00]  Claro, que este, ¿cómo se llama?
[0:39:17.00]-[0:39:19.00]  Zamarramala, ¿no?
[0:39:19.00]-[0:39:21.00]  Pero es que es la fiesta de eso.
[0:39:21.00]-[0:39:24.00]  Y ahí mandan las mujeres ese día.
[0:39:24.00]-[0:39:26.00]  No mandan los hombres.
[0:39:26.00]-[0:39:27.00]  Ah, sí.
[0:39:27.00]-[0:39:30.00]  Ese día se van las mujeres de casa y ale.
[0:39:30.00]-[0:39:32.00]  Y para ellas todo el día.
[0:39:32.00]-[0:39:34.00]  ¿Qué hace todas las mujeres?
[0:39:34.00]-[0:39:36.00]  La fiesta de las mujeres.
[0:39:36.00]-[0:39:38.00]  La fiesta de las señoras.
[0:39:38.00]-[0:39:39.00]  ¿Y aquí no se...?
[0:39:39.00]-[0:39:40.00]  Aquí no, aquí no.
[0:39:40.00]-[0:39:41.00]  Aquí llevan muchos años.
[0:39:41.00]-[0:39:47.00]  Fíjate si ahora años, que era yo, tendría yo unos doce años, o catorce,
[0:39:47.00]-[0:39:53.00]  cuando la última vez que vi yo hacer la fiesta de Santágeda.
[0:39:53.00]-[0:39:55.00]  Muchos años.
[0:39:55.00]-[0:39:59.00]  ¿Pero su madre o su abuela sí que habrán vivido la fiesta de Santágeda?
[0:39:59.00]-[0:40:03.00]  Antiguamente pues sí, las madres y las abuelas a lo mejor las harían,
[0:40:03.00]-[0:40:07.00]  pero yo aquí no recuerdo nada más que un año solamente
[0:40:07.00]-[0:40:11.00]  de haber conocido Santágeda, no he conocido más años.
[0:40:11.00]-[0:40:15.00]  ¿Y fiesta para los chicos, pues fiesta de los quintos?
[0:40:15.00]-[0:40:16.00]  Ah, eso sí.
[0:40:16.00]-[0:40:18.00]  Y los carnavales también corrían el gallo.
[0:40:18.00]-[0:40:21.00]  Hay este señor y...
[0:40:21.00]-[0:40:23.00]  ¿Es vosotros, no?
[0:40:23.00]-[0:40:27.00]  Pues sacaban los quintos,
[0:40:27.00]-[0:40:31.00]  sacaban un gallo, cada quintos sacaban un gallo,
[0:40:31.00]-[0:40:35.00]  y ponían dos carros, a uno a un lado y otro a otro,
[0:40:35.00]-[0:40:38.00]  y ponían una soga y ataban los gallos,
[0:40:38.00]-[0:40:43.00]  y luego pues a ver quién se podía llevar las crestas de los gallos.
[0:40:43.00]-[0:40:47.00]  Las cabezas de los gallos, y claro que se las llevaban.
[0:40:47.00]-[0:40:50.00]  Y luego pues iban con caballos o con eso,
[0:40:50.00]-[0:40:54.00]  y se pasaban los quintos un día, pues fantástico.
[0:40:54.00]-[0:40:56.00]  ¿Y qué era para despedida de...?
[0:40:56.00]-[0:41:00.00]  La despedida de los quintos, ya cuando se iban a ir a la mile.
[0:41:00.00]-[0:41:02.00]  ¿Cómo se llevaban las cabezas? ¿Cómo podían...?
[0:41:02.00]-[0:41:03.00]  Arrancándolas.
[0:41:03.00]-[0:41:05.00]  Se las arrancaban, el que podía con la mano, con la mano.
[0:41:05.00]-[0:41:08.00]  Y el que... a ver, y se la tenían que... la cogían y eso.
[0:41:08.00]-[0:41:10.00]  Y luego los gallos se los merendaban.
[0:41:10.00]-[0:41:11.00]  Sí.
[0:41:11.00]-[0:41:12.00]  Claro.
[0:41:12.00]-[0:41:15.00]  Los gallos se los merendaban después, se pasaban un día bueno.
[0:41:15.00]-[0:41:17.00]  Ahora aquí ya no existe eso.
[0:41:17.00]-[0:41:20.00]  ¿Y se daba algo a los quintos como despedida?
[0:41:20.00]-[0:41:24.00]  Sí, siempre daban algo a los quintos, salían a pedir,
[0:41:24.00]-[0:41:29.00]  pues oye, cada uno pues si les daban a lo mejor algo por ahí.
[0:41:29.00]-[0:41:32.00]  Y salían también el día de la pascua, ahora de las rosquillas,
[0:41:32.00]-[0:41:36.00]  o sea, esta pascua que viene, pues salían también los quintos a pedir
[0:41:36.00]-[0:41:41.00]  y les daban las mozas, iban a pedirlas las rosquillas.
[0:41:41.00]-[0:41:45.00]  Y les daban rosquillas, bollos y eso.
[0:41:45.00]-[0:41:48.00]  Pero las tenían que ponerlas en ramada, ¿eh?
[0:41:48.00]-[0:41:49.00]  Ah, sí, ¿cómo se dice?
[0:41:49.00]-[0:41:53.00]  Claro, pues iban a los árboles y cortaban ramas bonitas
[0:41:53.00]-[0:41:55.00]  y se las ponían en las ventanas.
[0:41:55.00]-[0:41:56.00]  A ver quién...
[0:41:56.00]-[0:41:57.00]  ¿El día de domingo?
[0:41:57.00]-[0:42:00.00]  El día de domingo... no, el día de la pascua.
[0:42:00.00]-[0:42:02.00]  ¿Ponían ramos en las ventanas?
[0:42:02.00]-[0:42:03.00]  Claro.
[0:42:03.00]-[0:42:04.00]  ¿Y se sabía quién había puesto el ramo...?
[0:42:04.00]-[0:42:06.00]  Anda, pues se adivinaba.
[0:42:06.00]-[0:42:10.00]  Por lo regular, pues eso lo hacían los que estaban prometidos.
[0:42:10.00]-[0:42:12.00]  Y claro, pues eso sabían.
[0:42:12.00]-[0:42:14.00]  ¿A usted le han puesto el ramo?
[0:42:14.00]-[0:42:17.00]  A mí no creo que me hayan puesto el ramo, ya.
[0:42:17.00]-[0:42:19.00]  Eso era más antiguo, cuando esta señora...
[0:42:19.00]-[0:42:21.00]  ¿No se sigue haciendo?
[0:42:21.00]-[0:42:24.00]  No, ahora no, aquí ya eso ya no existe.
[0:42:24.00]-[0:42:29.00]  Pero eso, cuando esta señora... sí, sí que existían eso,
[0:42:29.00]-[0:42:31.00]  de poner el ramo.
[0:42:33.00]-[0:42:37.00]  ¿Y entonces daban a los quintos, pues, rosquillas, bollos...?
[0:42:37.00]-[0:42:41.00]  Sí, eso sí, los daban para que... ahora ya no salen.
[0:42:41.00]-[0:42:43.00]  Ya no salen tampoco.
[0:42:44.00]-[0:42:47.00]  Bueno, aquí en este pueblo no lo... a lo mejor hay uno.
[0:42:47.00]-[0:42:53.00]  Yo no sé si hay algún quinto este año.
[0:42:53.00]-[0:42:55.00]  ¿Quinto este viejo?
[0:42:55.00]-[0:42:58.00]  Sí, hay uno, un chico de... sí.
[0:42:58.00]-[0:43:01.00]  ¿Y se va a hacer algo para despedirle?
[0:43:01.00]-[0:43:02.00]  No, nada.
[0:43:02.00]-[0:43:04.00]  No, eso no, nada.
[0:43:04.00]-[0:43:08.00]  O sea, ya es una costumbre que se ha perdido.
[0:43:08.00]-[0:43:10.00]  Ya no sé... un periódico.
[0:43:12.00]-[0:43:14.00]  No, no me sacáis en la tele.
[0:43:14.00]-[0:43:19.00]  Que me conocen en muchos lados a mí ya.
[0:43:19.00]-[0:43:21.00]  Sí, eso, es usted conocida.
[0:43:21.00]-[0:43:23.00]  ¿Cómo nos ha puesto gafas esta señora para...?
[0:43:23.00]-[0:43:24.00]  ¿De dónde sois vosotras?
[0:43:24.00]-[0:43:25.00]  De Madrid.
[0:43:25.00]-[0:43:26.00]  Ah, de Madrid.
[0:43:27.00]-[0:43:32.00]  Pues no se preocupe porque ni aunque lo intentemos no nos harían ni gafas en la televisión.
[0:43:32.00]-[0:43:34.00]  No me hagáis ir, no quiero yo ir.
[0:43:34.00]-[0:43:37.00]  No, que va, que esto es un trabajo de clase.
[0:43:39.00]-[0:43:42.00]  ¿Que estáis estudiando periodismo o qué?
[0:43:42.00]-[0:43:44.00]  No, historia.
[0:43:44.00]-[0:43:45.00]  ¿Qué es periodismo?
[0:43:45.00]-[0:43:46.00]  Historia.
[0:43:46.00]-[0:43:48.00]  Bueno, os he atendido por todo.
[0:43:48.00]-[0:43:54.00]  A ver, no, me queda por saber un poco las costumbres de cuando una mujer tenía hijos.
[0:43:54.00]-[0:43:56.00]  ¿Existía una partera en...?
[0:43:56.00]-[0:43:59.00]  Pues sí, mira, existía una partera y un médico.
[0:43:59.00]-[0:44:00.00]  Sí.
[0:44:00.00]-[0:44:02.00]  ¿Quién era la partera?
[0:44:02.00]-[0:44:03.00]  Pues una señora.
[0:44:03.00]-[0:44:04.00]  Una vecina.
[0:44:04.00]-[0:44:13.00]  Yo tuve una abuela que debió de coger más de 300 chicos.
[0:44:13.00]-[0:44:20.00]  En mi casa nada más había en todos los agujeros de las paredes había trapitos metidos de hilo.
[0:44:20.00]-[0:44:28.00]  Y una vez yo, que era un bicho un poco así irregular, digo a mi madre, bueno, yo salgo aquí
[0:44:28.00]-[0:44:34.00]  y nada más veo que en la pared metidos trapos, ¿por qué tiene tantos trapos aquí en esta pared metidos?
[0:44:34.00]-[0:44:39.00]  Y el trapo, como era hilo, pues no se pudre tan sencillamente, dura muchos años.
[0:44:39.00]-[0:44:46.00]  Lino, que era tela de lino, que se hacía entonces, lino.
[0:44:46.00]-[0:44:48.00]  Eso es muy antiguo.
[0:44:48.00]-[0:44:52.00]  Y venga, toda la pared llenita de trapitos, llenita de trapitos la pared.
[0:44:52.00]-[0:44:56.00]  Y ya una vez mi madre me dijo, mira hija, es que la abuela era partera
[0:44:56.00]-[0:45:01.00]  y entonces el ombligo de los niños se le traía a casa para que cantaran bien.
[0:45:01.00]-[0:45:04.00]  ¿Y eso?
[0:45:04.00]-[0:45:05.00]  Para que cantaran bien.
[0:45:05.00]-[0:45:14.00]  Anda, ella lo decía, pero ella lo tenía así, lo decían, pero que eso sería una tontería como una carambola, que digo yo, vamos.
[0:45:14.00]-[0:45:16.00]  Entonces su abuela fue partera.
[0:45:16.00]-[0:45:17.00]  Sí, esa.
[0:45:17.00]-[0:45:21.00]  Y cómo a la partera...
[0:45:21.00]-[0:45:27.00]  Luego ya cuando nosotros no, ya cuando nosotros ya venía un médico, pero entonces sí, las mujeres entendían.
[0:45:27.00]-[0:45:29.00]  Era entre vecinas.
[0:45:29.00]-[0:45:32.00]  Claro, entre vecinas, era una señora aquí en un pueblo.
[0:45:32.00]-[0:45:35.00]  Luego yo también he conocido a otras más jóvenes.
[0:45:35.00]-[0:45:37.00]  ¿Y se pagaba algo a la partera?
[0:45:37.00]-[0:45:43.00]  Sí, la regalaban a lo mejor un polio, o la regalaban un regalo, eso por lo regular hacían un regalo.
[0:45:43.00]-[0:45:46.00]  Y la invitaban el día del bautizo, ¿sabes?
[0:45:46.00]-[0:45:55.00]  Y la señora esa pues iba con la jarra a bautizar al niño, llevaba la jarrita con el agua caliente para bautizar al niño, y nada más.
[0:45:55.00]-[0:45:56.00]  ¿Y ahora es médico?
[0:45:56.00]-[0:46:07.00]  Y ahora pues sí, ahora les llevan a, por regular a Segovia la mayoría, pero ya llevan muchos años yendo a Segovia a dar a luz.
[0:46:07.00]-[0:46:16.00]  En las casas yo creo que ya, aquí ya no hay nadie que de, como no sea que sea de repente, y sí.
[0:46:16.00]-[0:46:21.00]  Pero ahora nosotros, yo tengo tres hijos y los tres han nacido en casa.
[0:46:21.00]-[0:46:22.00]  ¿En casa?
[0:46:22.00]-[0:46:24.00]  Sí, pero embargo esta señora...
[0:46:24.00]-[0:46:26.00]  Yo tengo dos y el uno en el valle de Segovia.
[0:46:26.00]-[0:46:28.00]  En Segovia y el otro aquí.
[0:46:28.00]-[0:46:40.00]  Sí, había ahí de estas jóvenes, ahora jóvenes ya, y nosotros no hemos ido nunca a ver al médico, a hacernos como ahora, que las hacen que este mes, que al otro, que tocarlas.
[0:46:40.00]-[0:46:43.00]  A nosotros no nos ha tocado nadie.
[0:46:43.00]-[0:46:49.00]  Lo hacíamos igual que los animales, se puede decir, ¿eh?
[0:46:49.00]-[0:46:50.00]  A fuerza de fuerza.
[0:46:50.00]-[0:46:51.00]  Sí.
[0:46:51.00]-[0:46:52.00]  Y nada más.
[0:46:52.00]-[0:46:54.00]  ¿Usted ha tenido sus hijos en casa?
[0:46:54.00]-[0:46:58.00]  Yo, mis hijos, yo los he tenido en casa pero no tengo ninguno.
[0:46:58.00]-[0:47:00.00]  Vaya.
[0:47:00.00]-[0:47:02.00]  No los puede ver a ninguno.
[0:47:02.00]-[0:47:06.00]  No los puedo ver eso, no los puedo ver porque los tengo muy largos.
[0:47:06.00]-[0:47:08.00]  No, vienen a verme de vez en cuando.
[0:47:08.00]-[0:47:10.00]  Ayer vinieron y me vieron.
[0:47:10.00]-[0:47:13.00]  Tengo dos hijas aquí y un hijo en Canarias.
[0:47:13.00]-[0:47:14.00]  ¿En Canarias?
[0:47:14.00]-[0:47:18.00]  En Los Canarias, se llaman Los Canarios.
[0:47:18.00]-[0:47:21.00]  ¿Sus hijos han estudiado en el pueblo? ¿Hay escuela?
[0:47:21.00]-[0:47:25.00]  Sí, ha habido escuela, sí, sí, ha habido escuela.
[0:47:25.00]-[0:47:27.00]  ¿Y ahora no hay?
[0:47:27.00]-[0:47:30.00]  Ahora van a Ulombrada.
[0:47:30.00]-[0:47:37.00]  Este pueblo hay dos niños o tres, nada más, y les llevan a Ulombrada al colegio.
[0:47:37.00]-[0:47:42.00]  Que allí hay siete o ocho maestros y van de todos los pueblos de alrededor.
[0:47:42.00]-[0:47:47.00]  Ya están concentrados, o sea, porque ahora no es como antes.
[0:47:47.00]-[0:47:52.00]  Que antes te daban matemáticas, te daban historia, te daba todo el mismo maestro.
[0:47:52.00]-[0:47:56.00]  Y ahora no, ahora cada uno les da una cosa.
[0:47:56.00]-[0:48:02.00]  Entonces pues, van, aprenden más, desde luego.
[0:48:02.00]-[0:48:04.00]  ¿Cómo van los niños a la escuela?
[0:48:04.00]-[0:48:06.00]  En un autocar les llevan.
[0:48:06.00]-[0:48:11.00]  En un autocar les recoge, les dan la comida y luego les traen por la tarde.
[0:48:11.00]-[0:48:14.00]  Entonces, antes en la escuela aquí había un maestro.
[0:48:14.00]-[0:48:17.00]  Había maestro y maestra.
[0:48:17.00]-[0:48:23.00]  Primero, cuando yo fui, era una escuela mixta.
[0:48:23.00]-[0:48:27.00]  Ibamos niños y niñas todos juntos.
[0:48:27.00]-[0:48:32.00]  Que éramos casi cien tomas, ¿eh?
[0:48:32.00]-[0:48:34.00]  Entre niños y niñas.
[0:48:34.00]-[0:48:36.00]  Y luego después ya hicieron dos escuelas.
[0:48:36.00]-[0:48:38.00]  Una de niños y otra de niñas.
[0:48:38.00]-[0:48:45.00]  O sea, la escuela era grande y la partieron por el medio y hicieron las dos cosas.
[0:48:45.00]-[0:48:50.00]  Después ya quitaron las escuelas y a Holombrada.
[0:48:50.00]-[0:48:52.00]  Y nada.
[0:48:52.00]-[0:48:57.00]  ¿Y recuerda que el maestro fuese una persona importante?
[0:48:57.00]-[0:49:00.00]  El maestro era una persona muy importante.
[0:49:00.00]-[0:49:04.00]  El maestro último de los que ha habido.
[0:49:04.00]-[0:49:09.00]  La maestra que tuve, muy buena maestra.
[0:49:09.00]-[0:49:12.00]  Cuando doña... una inminente maestra.
[0:49:12.00]-[0:49:17.00]  Y luego después, cuando mis hijos también tuvieron un buen maestro.
[0:49:17.00]-[0:49:19.00]  Aquí.
[0:49:19.00]-[0:49:22.00]  Que viven en Toral de los Vados.
[0:49:22.00]-[0:49:25.00]  ¿Maestro del pueblo también?
[0:49:25.00]-[0:49:27.00]  No, maestro nacional.
[0:49:27.00]-[0:49:31.00]  Maestros nacionales que venían unos de un lado y otros de otro.
[0:49:31.00]-[0:49:34.00]  Cada uno venía de un sitio.
[0:49:34.00]-[0:49:36.00]  ¿Y el maestro además de...?
[0:49:36.00]-[0:49:39.00]  Pero no ha habido malos maestros cuando nosotros.
[0:49:39.00]-[0:49:42.00]  Éramos peor nosotros a lo mejor que ellos.
[0:49:42.00]-[0:49:44.00]  Que a lo mejor no nos gustaba...
[0:49:44.00]-[0:49:49.00]  ¿Y el maestro era sólo maestro de matemáticas, gramática...?
[0:49:49.00]-[0:49:50.00]  De todo un poco.
[0:49:50.00]-[0:49:52.00]  ¿O era un poco consejero...?
[0:49:52.00]-[0:49:55.00]  No, de todo un poco. Y a consejero y todo.
[0:49:55.00]-[0:49:57.00]  Sí. Ha habido... ya te digo.
[0:49:57.00]-[0:50:00.00]  Consejero a lo mejor era un poco más el cura del pueblo.
[0:50:00.00]-[0:50:03.00]  No, el cura aquí no se metía poco.
[0:50:03.00]-[0:50:10.00]  Cuando había el señor cura que daba doctrina...
[0:50:10.00]-[0:50:12.00]  Eso ya hace muchos años.
[0:50:12.00]-[0:50:14.00]  Pero íbamos a lo mejor ocho días.
[0:50:14.00]-[0:50:16.00]  Nos daban religión.
[0:50:16.00]-[0:50:19.00]  Cuando nos daban religión en la escuela.
[0:50:19.00]-[0:50:22.00]  Pero a mí me tocó poca religión ya.
[0:50:22.00]-[0:50:25.00]  Porque nos tocaron los años de la república y eso.
[0:50:25.00]-[0:50:28.00]  Y entonces, pues, lo quitaron.
[0:50:28.00]-[0:50:31.00]  Pero sí, luego nos han enseñado.
[0:50:31.00]-[0:50:35.00]  Nos han enseñado porque te enseñaban la historia sagrada y todo.
[0:50:35.00]-[0:50:37.00]  Más educación quizá que hoy.
[0:50:37.00]-[0:50:39.00]  Sí, usted cree que más educación.
[0:50:39.00]-[0:50:46.00]  Usted recuerda algún consejo que le daban que no se haga algo.
[0:50:46.00]-[0:50:48.00]  Y que ahora...
[0:50:48.00]-[0:50:51.00]  Que ahora no se respeta tanto como antes.
[0:50:51.00]-[0:50:53.00]  La juventud...
[0:50:53.00]-[0:50:56.00]  Antes a nosotros una persona mayor nos decía una cosa.
[0:50:56.00]-[0:51:01.00]  Y oye, nos la había dicho un señor mayor o una señora y le respetábamos.
[0:51:01.00]-[0:51:03.00]  Le decíamos, anda por esto.
[0:51:03.00]-[0:51:05.00]  Y íbamos.
[0:51:05.00]-[0:51:07.00]  O cualquier recá que nos mandaba.
[0:51:07.00]-[0:51:10.00]  Ya puedes mandar tú ahora a un chaval que no te obedece.
[0:51:10.00]-[0:51:15.00]  ¿Qué recuerda usted como norma o como consejo de sus padres que...
[0:51:15.00]-[0:51:18.00]  Más que cumpliese...
[0:51:18.00]-[0:51:20.00]  Como comportarse o...
[0:51:20.00]-[0:51:22.00]  A mí por mi desgracia o suerte.
[0:51:22.00]-[0:51:24.00]  Me tocó ir muy poco a la escuela.
[0:51:24.00]-[0:51:27.00]  Me quedé sin padre a los 10 años.
[0:51:27.00]-[0:51:29.00]  Y fíjate tú.
[0:51:29.00]-[0:51:34.00]  Yo al quedarme sin padre mi madre tuvo que poner una tienda.
[0:51:34.00]-[0:51:37.00]  Y entonces tuve que dedicarme con ella a vender.
[0:51:37.00]-[0:51:39.00]  Por los pueblos.
[0:51:39.00]-[0:51:41.00]  Y recorríamos toda la comarca.
[0:51:41.00]-[0:51:42.00]  Se ha movido.
[0:51:42.00]-[0:51:43.00]  Así que me he movido.
[0:51:43.00]-[0:51:45.00]  Me ha tocado ir con...
[0:51:45.00]-[0:51:46.00]  Con carro.
[0:51:46.00]-[0:51:49.00]  Me ha tocado ir a vender y me ha tocado hacer de todo.
[0:51:49.00]-[0:51:51.00]  ¿Y qué vendían?
[0:51:51.00]-[0:51:52.00]  Paquetería.
[0:51:52.00]-[0:51:53.00]  Paquetería.
[0:51:53.00]-[0:51:55.00]  O sea, medias calcetines.
[0:51:55.00]-[0:51:56.00]  Ah, sí.
[0:51:56.00]-[0:51:57.00]  Hilos.
[0:51:57.00]-[0:51:59.00]  Todas cosas de eso.
[0:51:59.00]-[0:52:02.00]  Velos que entonces para la cabeza se llevaban.
[0:52:02.00]-[0:52:03.00]  Pues cosas de esas.
[0:52:03.00]-[0:52:05.00]  ¿Y se vendía...
[0:52:05.00]-[0:52:07.00]  Así que ya te digo.
[0:52:07.00]-[0:52:08.00]  ¿Lo que se vendía?
[0:52:08.00]-[0:52:11.00]  ¿Se vendía siempre por dinero?
[0:52:11.00]-[0:52:13.00]  ¿O se hacía a veces un cambio?
[0:52:13.00]-[0:52:14.00]  Bueno, pues mira.
[0:52:14.00]-[0:52:15.00]  Ahora te voy a decir.
[0:52:15.00]-[0:52:17.00]  Ahora que me hablas de esto.
[0:52:17.00]-[0:52:18.00]  Cuando la guerra.
[0:52:18.00]-[0:52:22.00]  Pues entonces las cosas faltaban en muchos lados.
[0:52:22.00]-[0:52:30.00]  Y nosotros, recuerdo que íbamos a vender y teníamos ahí dos pueblos que daban abastecimiento.
[0:52:30.00]-[0:52:33.00]  Que daban arroz, daban cosas en los pueblos.
[0:52:33.00]-[0:52:38.00]  Y nosotros pues las cambiábamos en cuenta de medias calcetines y cosas de eso.
[0:52:38.00]-[0:52:40.00]  Y luego pues las vendíamos y las vendíamos bien.
[0:52:40.00]-[0:52:42.00]  Nos quedaba una peseta en...
[0:52:42.00]-[0:52:44.00]  ¿Y quién decía por cuánto se cambiaba?
[0:52:44.00]-[0:52:47.00]  Bueno, el trueque ese que dices tú de eso no.
[0:52:47.00]-[0:52:48.00]  Eso ya era...
[0:52:48.00]-[0:52:49.00]  Aquí ya era más diferente.
[0:52:49.00]-[0:52:51.00]  Te decía, oye...
[0:52:51.00]-[0:52:53.00]  Una docena de...
[0:52:53.00]-[0:52:58.00]  Un par de calcetines por un kilo de arroz, por ejemplo.
[0:52:58.00]-[0:53:00.00]  Ah, bueno, pues sí, te le cambio.
[0:53:00.00]-[0:53:01.00]  O así.
[0:53:01.00]-[0:53:02.00]  Y te daban eso.
[0:53:02.00]-[0:53:04.00]  Eso fue al final de la guerra, ¿eh?
[0:53:04.00]-[0:53:05.00]  Luego ya no.
[0:53:05.00]-[0:53:10.00]  Luego se ha vendido pues normal y corriente como Dios manda.
[0:53:10.00]-[0:53:13.00]  Como un comercio lo que sea.
[0:53:13.00]-[0:53:15.00]  En este pueblo ha habido alcalde, claro.
[0:53:15.00]-[0:53:16.00]  Toda la vida.
[0:53:16.00]-[0:53:17.00]  Y le hay alcalde.
[0:53:17.00]-[0:53:18.00]  También, vamos...
[0:53:18.00]-[0:53:23.00]  ¿Es diferente ahora cómo se consigue ser alcalde o...?
[0:53:23.00]-[0:53:27.00]  Hombre, ahora por lo regular lo hacen por votación, como ves lo están haciendo.
[0:53:27.00]-[0:53:29.00]  Sí. ¿Y antes quién era alcalde?
[0:53:29.00]-[0:53:33.00]  Hombre, pues antes siempre elegían una persona del pueblo.
[0:53:33.00]-[0:53:37.00]  A lo mejor el que tenía un poco más inteligencia porque...
[0:53:37.00]-[0:53:39.00]  Entonces pues estudios no había como ahora.
[0:53:39.00]-[0:53:41.00]  En cada pueblo a lo mejor había uno.
[0:53:41.00]-[0:53:44.00]  Y el que salía con estudios pues no se quedaba.
[0:53:44.00]-[0:53:46.00]  Se tenía que marchar.
[0:53:46.00]-[0:53:51.00]  Y entonces pues oye, ya la cosa pues cambia mucho.
[0:53:51.00]-[0:53:55.00]  Ahora ya por lo regular en todos los pueblos pues hay chicos que han hecho estudios
[0:53:55.00]-[0:53:59.00]  y ya pueden ser alcaldes y cosas con más facilidad que eran antes.
[0:53:59.00]-[0:54:03.00]  Aunque ahora para moverse, para todas las cosas,
[0:54:03.00]-[0:54:07.00]  necesitan muchísimo más sabiduría que lo que nosotros sabíamos.
[0:54:07.00]-[0:54:09.00]  Porque nosotros sabíamos...
[0:54:09.00]-[0:54:14.00]  La que sabía restar, sumar, multiplicar y dividir pues era grande.
[0:54:14.00]-[0:54:21.00]  Y la que sabía un poco regla de tres pues ya sobresalía.
[0:54:21.00]-[0:54:26.00]  Pero no creas que era como ahora tantos estudios y tantas cosas.
[0:54:26.00]-[0:54:29.00]  O como el que estudia ahora.
[0:54:29.00]-[0:54:31.00]  Era muy diferente la vida.
[0:54:31.00]-[0:54:37.00]  Quisiera yo que la hubierais visto hace 50 años.
[0:54:37.00]-[0:54:41.00]  Ahora se vivía con mucha alegría.
[0:54:41.00]-[0:54:46.00]  Porque antes, a estas horas o después eso, por cualquier lado que ibas oía
[0:54:46.00]-[0:54:48.00]  a cualquiera que estaba cantando.
[0:54:48.00]-[0:54:50.00]  Y ahora no oyes a nadie.
[0:54:50.00]-[0:54:52.00]  No oyes a nadie.
[0:54:52.00]-[0:54:55.00]  Antes era, ¡ah la fulano que cantar es hecha!
[0:54:55.00]-[0:54:57.00]  Y las mujeres igual en las casas.
[0:54:57.00]-[0:54:59.00]  Estaban haciendo las labores y estaban cantando.
[0:54:59.00]-[0:55:01.00]  Y ahora no sale el cante a nadie.
[0:55:01.00]-[0:55:03.00]  Yo no sé por qué.
[0:55:03.00]-[0:55:07.00]  De ser usted joven ahora mismo,
[0:55:07.00]-[0:55:13.00]  ¿no crees que se comportara igual que cuando era joven entonces?
[0:55:13.00]-[0:55:17.00]  Bueno, yo cuando era joven pues oye, me lo he pasado como se lo pasaban.
[0:55:17.00]-[0:55:21.00]  Entonces en aquellos tiempos, bien, porque íbamos a las fiestas.
[0:55:21.00]-[0:55:25.00]  En todos los pueblos por aquí alrededor había fiestas.
[0:55:25.00]-[0:55:29.00]  Entonces iban las fiestas, pues se pasaba un día o dos que se bailaba
[0:55:29.00]-[0:55:31.00]  y se divertía uno.
[0:55:31.00]-[0:55:37.00]  Estaba en compañía pues 15 o 20 chavalas, otros tantos chavales,
[0:55:37.00]-[0:55:39.00]  y se pasaban el día.
[0:55:39.00]-[0:55:41.00]  Divertidos.
[0:55:41.00]-[0:55:43.00]  Se divertían yo creo que la gente más que ahora.
[0:55:43.00]-[0:55:45.00]  Porque ahora lo hacen de noche.
[0:55:45.00]-[0:55:47.00]  Y ahora no es vivir eso.
[0:55:47.00]-[0:55:49.00]  Entonces era todo de día.
[0:55:49.00]-[0:55:53.00]  A las 10 de la noche ya se había terminado la fiesta.
[0:55:53.00]-[0:55:55.00]  Ya cada una estaba en su casita.
[0:55:55.00]-[0:55:57.00]  Y ya está.
[0:55:57.00]-[0:56:01.00]  Una vez nosotros por esperarnos a ver los fuegos artificiales,
[0:56:01.00]-[0:56:03.00]  porque yo ya les había visto.
[0:56:03.00]-[0:56:07.00]  Pero resulta que unas amigas mías no les habían visto en Collas.
[0:56:07.00]-[0:56:11.00]  Y claro, pues nos quedamos.
[0:56:11.00]-[0:56:13.00]  Llegamos a las 2 de la mañana a casa.
[0:56:13.00]-[0:56:15.00]  La que me cortaron.
[0:56:15.00]-[0:56:17.00]  Por esperarnos hasta esa hora, ¿eh?
[0:56:17.00]-[0:56:21.00]  Así que fíjate, y ahora pues, vosotros es muy distinto,
