[0:00:00.00]-[0:00:04.92]  Y aquí estoy nativa.
[0:30:33.96]-[0:30:35.96]  Y las orejas y el rabo y todo eso.
[0:30:35.96]-[0:30:37.96]  Todo se aprovecha.
[0:30:45.96]-[0:30:49.96]  Ahora viendo arcones se tienen cuatro días igual en la muera,
[0:30:49.96]-[0:30:51.96]  recogen, luego se sacan y se meten al arcon, ¿me entiende?
[0:30:51.96]-[0:30:55.96]  Una vez que están congelados, pues ya cuando quieras gastar.
[0:30:55.96]-[0:30:59.96]  Sí, sí, es un plato bueno además, las orejas y las patas son muy ricas.
[0:30:59.96]-[0:31:01.96]  ¿Y qué otros animales tenían en casa antiguamente?
[0:31:01.96]-[0:31:03.96]  Nosotros hemos tenido de todo.
[0:31:03.96]-[0:31:05.96]  ¿De todo? ¿Tenían...?
[0:31:05.96]-[0:31:07.96]  Hemos tenido hasta 14 vacas en casa, con que con esto tenemos...
[0:31:07.96]-[0:31:09.96]  Claro, pero no había tantas casas, ¿no?
[0:31:09.96]-[0:31:11.96]  En la misma, nosotros la tenemos ahí.
[0:31:11.96]-[0:31:13.96]  ¿Y dónde tenían las vacas?
[0:31:13.96]-[0:31:15.96]  En la casa nosotros.
[0:31:15.96]-[0:31:17.96]  ¿Y cómo se cuidaban entre las vacas?
[0:31:17.96]-[0:31:21.96]  Antiguamente se sacaban mucho a comer a los pastos, a las hierbas,
[0:31:21.96]-[0:31:23.96]  por las cunetas, por todo lo sitio.
[0:31:23.96]-[0:31:25.96]  Luego ya con los piensos, cuando llegaban los piensos compuestos,
[0:31:25.96]-[0:31:29.96]  pues claro, necesitaba una persona para sacarlas, para fastear.
[0:31:29.96]-[0:31:31.96]  Entonces ya la Seguridad Social...
[0:31:31.96]-[0:31:33.96]  ¿Son vacas de leche o...?
[0:31:33.96]-[0:31:35.96]  Sí, sí, sí, de leche.
[0:31:35.96]-[0:31:37.96]  ¿Y para qué tenían?
[0:31:37.96]-[0:31:39.96]  Pues para explotar, para criar...
[0:31:39.96]-[0:31:41.96]  ¿La largadera de ahí?
[0:31:41.96]-[0:31:43.96]  Yo no he quitado... ¿La largadera de la cocina?
[0:31:43.96]-[0:31:45.96]  No, estará por encima de la encimera.
[0:31:45.96]-[0:31:49.96]  Es que, ¿ves? Es que tengo que atender a mucha gente, ¿no?
[0:31:49.96]-[0:31:51.96]  No solo a mí, a vosotros.
[0:31:51.96]-[0:31:55.96]  Habrá algunas mujeres que estarán tal como que todavía en la cama.
[0:31:55.96]-[0:31:59.96]  Y ahí también seríais que habéis ido a buscar.
[0:31:59.96]-[0:32:03.96]  ¿Y entonces las vacas las tenían para...?
[0:32:03.96]-[0:32:05.96]  Para vender la leche.
[0:32:05.96]-[0:32:07.96]  ¿Y criaban también o...?
[0:32:07.96]-[0:32:11.96]  Sí, sí, las que parían las madres se criaban en casa, con la misma madre.
[0:32:11.96]-[0:32:13.96]  ¿Y cuando una vaca paría, qué había que hacer?
[0:32:13.96]-[0:32:15.96]  Estar toda la noche vigilando, durante el día.
[0:32:15.96]-[0:32:19.96]  Ayudarle, si venía la cosa mal, pues se le llamaba al veterinario.
[0:32:19.96]-[0:32:23.96]  Y si no, pues en casa.
[0:32:23.96]-[0:32:25.96]  ¿Y luego ayudaban a los terneros o no?
[0:32:25.96]-[0:32:27.96]  No, sí, hombre, ya cuando...
[0:32:27.96]-[0:32:30.96]  Porque la leche materna es muy buena a darles, pero después...
[0:32:30.96]-[0:32:33.96]  Ya se sustituía por los polvos.
[0:32:33.96]-[0:32:36.96]  Que veis la leche que viene artificial.
[0:32:36.96]-[0:32:39.96]  No, leche natural, pero... Oye, artificial, pero en polvo.
[0:32:39.96]-[0:32:42.96]  Se disolvía y se les daban los terneros al verano.
[0:32:42.96]-[0:32:44.96]  Sí, sí, hombre.
[0:32:44.96]-[0:32:46.96]  ¿Y qué comían las vacas?
[0:32:46.96]-[0:32:49.96]  Pues los borrajes que se criaban en el campo, alfalfa,
[0:32:49.96]-[0:32:53.96]  pues de todo, berzas, remolacha, de todo eso.
[0:32:53.96]-[0:32:57.96]  Aparte que luego, lo que hemos dicho, al molino se bajaba, moler cebada,
[0:32:57.96]-[0:33:04.96]  y otros ingredientes para ellas, maíz, lo que traían los hombres.
[0:33:04.96]-[0:33:06.96]  ¿Y cuántas veces estaban de comer?
[0:33:06.96]-[0:33:08.96]  Tres, a la mañana, mediodía y a la noche.
[0:33:08.96]-[0:33:10.96]  Y ordeñar a la mañana y a la noche.
[0:33:10.96]-[0:33:11.96]  ¿Dos veces al día?
[0:33:11.96]-[0:33:12.96]  A la noche.
[0:33:12.96]-[0:33:14.96]  ¿Y cómo se ordeñaban antiguamente?
[0:33:14.96]-[0:33:16.96]  Sí, a manos. Después ya comprábamos máquina.
[0:33:16.96]-[0:33:20.96]  Para cuando nosotros quitamos las vacas, ahora hace 19 años que quitamos,
[0:33:20.96]-[0:33:24.96]  y fuimos las únicas del pueblo, las últimas del pueblo, que salieron.
[0:33:24.96]-[0:33:25.96]  Sí, 19 años.
[0:33:25.96]-[0:33:27.96]  ¿Pero cómo se ordeñaban antiguamente?
[0:33:27.96]-[0:33:30.96]  A mano, tenía un balde, el hombre sentaba en una sillita de esas pequeñas,
[0:33:30.96]-[0:33:35.96]  debajo de la vaca, y un caldero, y rin ran, rin ran, a sacar la leche.
[0:33:35.96]-[0:33:39.96]  Ya luego no, luego ya llegaron las máquinas, que eran como unas ventosas
[0:33:39.96]-[0:33:44.96]  que se armen unas pezones así largas, te metes a la vaca y por unas tuberías,
[0:33:44.96]-[0:33:48.96]  como si fuera una olla exprés, un cacharro grande donde iba la leche.
[0:33:48.96]-[0:33:51.96]  Y lo siento mucho, pero que os tengo que dejar.
[0:33:51.96]-[0:33:52.96]  Un poquito más de los panas.
[0:33:52.96]-[0:33:54.96]  Que tengo mucho que atender yo mejor.
[0:33:54.96]-[0:33:55.96]  Y aquí en Mariquena.
[0:33:55.96]-[0:33:57.96]  En realidad me vi en otros dos de Vitoria.
[0:33:57.96]-[0:34:00.96]  Y gallinas tenían.
[0:34:00.96]-[0:34:01.96]  Sí, y tengo todavía.
[0:34:01.96]-[0:34:03.96]  ¿Y cómo cuidaban las gallinas?
[0:34:03.96]-[0:34:06.96]  Pues mira, ahora ha venido mi marido, les echa el pienso y el agua,
[0:34:06.96]-[0:34:10.96]  las tenemos cerradas en un gallinero que tenemos, pocas, para el gasto de casa.
[0:34:10.96]-[0:34:11.96]  Y allí está.
[0:34:11.96]-[0:34:13.96]  ¿Antiguamente para vender o para...?
[0:34:13.96]-[0:34:16.96]  Va, aquí para explotar no hemos tenido nunca, no.
[0:34:16.96]-[0:34:18.96]  Más que nada para el consumo de casa.
[0:34:18.96]-[0:34:22.96]  Y ahora también seguimos teniendo así, o sea hay 20 o 21, pero para casa, nada más.
[0:34:22.96]-[0:34:23.96]  ¿Y ten gallo o no?
[0:34:23.96]-[0:34:26.96]  Sí, también tenemos un caporal allá.
[0:34:26.96]-[0:34:28.96]  ¿Y cómo se mataban antiguamente las gallinas?
[0:34:28.96]-[0:34:29.96]  Igual que ahora.
[0:34:29.96]-[0:34:34.96]  Cortándoles en el cocote de la cabeza, les desplumas un poco,
[0:34:34.96]-[0:34:39.96]  les sujetas bien así, les cortas ahí, le tiran la sangre en el fragadero o donde sea
[0:34:39.96]-[0:34:43.96]  y nada, luego pelarlas y ya sabes, a comer.
[0:34:43.96]-[0:34:44.96]  ¿Y ovejas tenían o no?
[0:34:44.96]-[0:34:45.96]  No, no se los hemos tenido.
[0:34:45.96]-[0:34:48.96]  ¿Y aquí ha hecho queso? ¿Sabía cómo se hacía queso?
[0:34:48.96]-[0:34:50.96]  Sí, sí, cómo se hacen los quesos, también he hecho, sí.
[0:34:50.96]-[0:34:51.96]  ¿Pero con leche de vaca o...?
[0:34:51.96]-[0:34:52.96]  Con la leche de vaca.
[0:34:52.96]-[0:34:55.96]  Cuando había mucha que igual no tenía suficiente en la venta,
[0:34:55.96]-[0:34:58.96]  porque nosotros la leche la llevaban al Ciego, a otro pueblo grande,
[0:34:58.96]-[0:35:01.96]  pues igual habían parido dos o tres y entonces tenía.
[0:35:01.96]-[0:35:04.96]  Entonces nada, tienes un suero artificial que compras en la farmacia,
[0:35:04.96]-[0:35:08.96]  le echas un tapocito, que eso tiene la marca, según la cantidad de leche que tengas,
[0:35:08.96]-[0:35:12.96]  le echas, le dejas un momento, bates y el suero va a un lado,
[0:35:12.96]-[0:35:15.96]  que es el líquido, lo que queda como agua, que eso es el suero,
[0:35:15.96]-[0:35:20.96]  y lo que se queda cuajado es lo que pasas a unas cestitas que había sido redondas,
[0:35:20.96]-[0:35:25.96]  con un filtro de gasa, le ponías y luego peso y ahí estaba el queso.
[0:35:25.96]-[0:35:26.96]  Pero era el queso fresco, ¿no?
[0:35:26.96]-[0:35:28.96]  Claro, como el que se llama queso de Burgos o eso.
[0:35:28.96]-[0:35:29.96]  Ah, sí.
[0:35:29.96]-[0:35:32.96]  Y entonces, hombre, podías dejarlo secar un poco, pero bueno.
[0:35:36.96]-[0:35:38.96]  ¿Y tenían más animales, conejos o algo?
[0:35:38.96]-[0:35:40.96]  Bueno, esos tenemos siempre para casa.
[0:35:40.96]-[0:35:41.96]  ¿Y cómo criaron?
[0:35:41.96]-[0:35:45.96]  Pues igual que, allí están en el gallinero en unas jaulas,
[0:35:45.96]-[0:35:49.96]  allí les echas pienso compuesto, que dice tu padre, no sé qué tiene,
[0:35:49.96]-[0:35:53.96]  es decir, les echas allí de comer forraje y el pienso compuesto
[0:35:53.96]-[0:35:56.96]  que traíamos siempre de la granja y ya está.
[0:35:56.96]-[0:35:58.96]  ¿Y cómo mataban los conejos?
[0:35:58.96]-[0:36:00.96]  Con un troco hasta el ojo.
[0:36:00.96]-[0:36:03.96]  Como no te pongan un diez, no sé.
[0:36:03.96]-[0:36:07.96]  Mira, el conejo se coge de las patas así, se le da detrás de las orejas
[0:36:07.96]-[0:36:10.96]  y se queda tontado. Entonces luego ya le sangras,
[0:36:10.96]-[0:36:14.96]  le clavas porque ya se ha quedado tontado, es como si queda uno desnupado.
[0:36:14.96]-[0:36:17.96]  Le das detrás de las orejas así y se queda como atontado.
[0:36:17.96]-[0:36:20.96]  Entonces lo coges y lo sangras, le cortas, le pinchas,
[0:36:20.96]-[0:36:23.96]  lo despellejas y ya está, lo limpias.
[0:36:23.96]-[0:36:25.96]  ¿Y antiguamente la piel servía para el conejo?
[0:36:25.96]-[0:36:29.96]  No, la piel del conejo no, esa no se ve, esa se tira.
[0:36:29.96]-[0:36:33.96]  ¿Y ya para acabar ya? ¿Qué se cultiva aquí antiguamente?
[0:36:33.96]-[0:36:36.96]  Pues trigo y cebada, sigue cultivándose,
[0:36:36.96]-[0:36:39.96]  a partir de que hicieron la concentración parcelaria,
[0:36:39.96]-[0:36:41.96]  que parte del hospital este que hay aquí arriba,
[0:36:41.96]-[0:36:44.96]  toda la carretera del Ogroño-Vitoria para arriba
[0:36:44.96]-[0:36:46.96]  y es toda concentración parcelaria.
[0:36:46.96]-[0:36:50.96]  Entonces aquí ya no, el campo ese no tocamos,
[0:36:50.96]-[0:36:52.96]  lo tenemos enrentado todo el pueblo,
[0:36:52.96]-[0:36:56.96]  pues a unos que vienen de otros pueblos, de Moreda o de Villar,
[0:36:56.96]-[0:37:01.96]  y ahí le pagan una renta y ellos, aquí nos dedicamos solamente al vino.
[0:37:01.96]-[0:37:02.96]  Al vino.
[0:37:02.96]-[0:37:04.96]  Todo el pueblo, vamos.
[0:37:04.96]-[0:37:06.96]  ¿Y cómo es la del vino?
[0:37:06.96]-[0:37:08.96]  Ay, majo, que se tiene un tema muy largo.
[0:37:08.96]-[0:37:11.96]  ¡Oh! Tienes que poder la viña, tienes que no sé qué...
[0:37:11.96]-[0:37:13.96]  Mira, pregúntame unos portugueses que hay arriba,
[0:37:13.96]-[0:37:15.96]  esos que vienen a hacer la labor.
[0:37:15.96]-[0:37:17.96]  Hace poco han venido, a ver si los cogían ya.
[0:37:17.96]-[0:37:20.96]  Pues el viñedo da mucho trabajo.
[0:37:20.96]-[0:37:23.96]  Si tú te... lo que te digo yo que aquí se dedica todo el mundo a ello.
[0:37:23.96]-[0:37:24.96]  Al vino.
[0:37:24.96]-[0:37:27.96]  Sí. La materia prima nuestra es esa.
[0:37:27.96]-[0:37:30.96]  Hay gente que vende todo a la uva cuando vendimea
[0:37:30.96]-[0:37:33.96]  y hay gente que elaboramos el vino y lo vendemos por nuestra cuenta.
[0:37:33.96]-[0:37:36.96]  La mayor parte hacen así, vendimear,
[0:37:36.96]-[0:37:38.96]  las bodegas grandes, las grandes superficies,
[0:37:38.96]-[0:37:40.96]  que son las que quieren acaparar todo,
[0:37:40.96]-[0:37:43.96]  por eso este año le pusieron un precio cumbre a la uva,
[0:37:43.96]-[0:37:46.96]  porque no querían más que quitar a los pequeños bodegueros
[0:37:46.96]-[0:37:48.96]  para que ellos quedasen con todo.
[0:37:48.96]-[0:37:51.96]  Eso era como ponerle un cepillo a una persona y decir
[0:37:51.96]-[0:37:54.96]  con este precio de la uva, ¿quién elabora el vino?
[0:37:54.96]-[0:37:57.96]  Y es verdad, porque ha sido más rentable vender la uva que elaborar el vino.
[0:37:57.96]-[0:37:59.96]  Sí, porque claro el vino...
[0:37:59.96]-[0:38:02.96]  Nosotros tenemos sociedades y bares cogidos
[0:38:02.96]-[0:38:04.96]  donde tenemos una clientela muy buena,
[0:38:04.96]-[0:38:06.96]  pero no les puedes pegar el empujo que le han pegado a la uva,
[0:38:06.96]-[0:38:08.96]  no le puedes pegar al vino.
[0:38:08.96]-[0:38:12.96]  Porque entonces te quedas y se tienen que dedicar a traer vino de otra parte
[0:38:12.96]-[0:38:14.96]  porque el vino de Rioja a la vez es caro.
[0:38:14.96]-[0:38:18.96]  El tema no te lo cuento porque es muy complicado.
[0:38:18.96]-[0:38:20.96]  Pero su marido lo mejor se lo puede contar.
[0:38:20.96]-[0:38:22.96]  No, mi marido mira bien.
[0:38:22.96]-[0:38:24.96]  Mi marido es el que se dedica...
[0:38:24.96]-[0:38:26.96]  Solo una pregunta y ya lo dejo.
[0:38:26.96]-[0:38:29.96]  Antiguamente, porque nos han dicho que los niños se tenían en casa.
[0:38:29.96]-[0:38:31.96]  Sí, yo parí los dos en casa. Tengo dos hijos.
[0:38:31.96]-[0:38:35.96]  Uno muy mal, parí muy mal, me tuvieron que sacar extraer.
[0:38:35.96]-[0:38:40.96]  Y estuve un día de parto y el parto el médico, el que teníamos en el pueblo,
[0:38:40.96]-[0:38:44.96]  dijo que esta mujer mañana parirá o pasara o cuando sea.
[0:38:44.96]-[0:38:46.96]  Y bueno, no me llevaron a ningún sitio.
[0:38:46.96]-[0:38:48.96]  A partir de entonces yo creo que ya no se han tenido en el pueblo.
[0:38:48.96]-[0:38:51.96]  Entonces me tuvieron que extraer con fuerces,
[0:38:51.96]-[0:38:55.96]  que son unos aparatos, unos diarros que meten y extraen la criatura.
[0:38:55.96]-[0:38:57.96]  Pasé muy mal.
[0:38:57.96]-[0:39:00.96]  Entonces tuve un hijo muy grande que hoy no sé que traen los hijos así
[0:39:00.96]-[0:39:02.96]  porque pesaba 5 kilos.
[0:39:02.96]-[0:39:04.96]  Así está él, que es así.
[0:39:04.96]-[0:39:07.96]  Pues vive unos 80 y no sé cuántos.
[0:39:07.96]-[0:39:13.96]  Si pesará de 112 o más, pesará el hijo mayor.
[0:39:13.96]-[0:39:15.96]  Yo entonces tuve mal.
[0:39:15.96]-[0:39:18.96]  Encima de una mesa de una cocina, que eso no se puede ni contar,
[0:39:18.96]-[0:39:22.96]  porque claro, tú sabes que vosotros no habéis oído o no habréis conocido,
[0:39:22.96]-[0:39:25.96]  pero los colchones antes eran de lana de la oveja.
[0:39:25.96]-[0:39:28.96]  Y entonces claro, eso siempre te hunde, te hace hueco.
[0:39:28.96]-[0:39:31.96]  La persona tenía que estar rígida o poner una tabla a la cama
[0:39:31.96]-[0:39:33.96]  o ponerte encima de una mesa.
[0:39:33.96]-[0:39:35.96]  Así que un quirofano en la cocina, en la habitación.
[0:39:35.96]-[0:39:39.96]  Tuvieron que traer otro médico de fuera a las 1500 y bueno,
[0:39:39.96]-[0:39:42.96]  luego tuve otro y aquel feliz, en casa también.
[0:39:42.96]-[0:39:44.96]  Se va el médico.
[0:39:44.96]-[0:39:46.96]  Se viene igual que el otro.
[0:39:46.96]-[0:39:47.96]  Me dice el médico.
[0:39:47.96]-[0:39:50.96]  Se me ha hecho el médico asistir a otro parto de la navarra,
[0:39:50.96]-[0:39:52.96]  ha bajado con la medicina y ha llamado para que cuando lleguemos
[0:39:52.96]-[0:39:54.96]  ya lo habían hecho ya las mujeres.
[0:39:54.96]-[0:39:56.96]  Una señora de mayores del pueblo me habían atendido a mí,
[0:39:56.96]-[0:39:58.96]  al niño ya estaba toda rara.
[0:39:58.96]-[0:39:59.96]  Había partera o corona.
[0:39:59.96]-[0:40:01.96]  No, pero de estas mujeres pues que siempre en los pueblos
[0:40:01.96]-[0:40:04.96]  como el médico de cabecera tenía dos o tres pueblos,
[0:40:04.96]-[0:40:07.96]  pues te podía tocar que estaba en otro sitio.
[0:40:07.96]-[0:40:10.96]  Y claro, entonces recurrían a, ¡oye esta mujer o la otra!
[0:40:10.96]-[0:40:13.96]  Pues bueno, aquella me arregló a mí, ya se fue.
[0:40:13.96]-[0:40:16.96]  ¿Y qué daban de comer a los niños antiguamente?
[0:40:16.96]-[0:40:18.96]  Nosotros lo hemos creído que la leche de las vacas.
[0:40:18.96]-[0:40:21.96]  Galletas marinas, harina tostada, papillas,
[0:40:21.96]-[0:40:24.96]  que aquí no había ni botitos ni potitos.
[0:40:24.96]-[0:40:27.96]  Y ves tú qué hijos tengo, lo puedes decir por el pueblo.
[0:40:27.96]-[0:40:29.96]  El que te ha dicho el mayor,
[0:40:29.96]-[0:40:31.96]  es el que trabaja en la caja vital aquí,
[0:40:31.96]-[0:40:35.96]  y bueno aquí en esta zona, y luego tengo otro,
[0:40:35.96]-[0:40:38.96]  que los 100 pasan los dos, con eso te digo.
[0:40:38.96]-[0:40:42.96]  El segundo es más bajo que el otro, pero bueno, tampoco es pequeño.
[0:40:42.96]-[0:40:45.96]  Pero es más ancho, pero el mayor ya te dio,
[0:40:45.96]-[0:40:49.96]  tiene una altura que paqué, así que ves, y en casa, como tú dices.
[0:40:49.96]-[0:40:53.96]  La madre lo pasó, pero bueno, aquí estamos todos, gracias a Dios.
[0:40:53.96]-[0:40:57.96]  Bueno, ahora sí que ya no me preguntes más, no te cuento.
[0:40:57.96]-[0:41:01.96]  Pero usted nos puede contar lo del vino un poco.
[0:41:01.96]-[0:41:04.96]  Yo el vino un poco, no sé nada.
[0:41:04.96]-[0:41:07.96]  Pero las viñas son de ustedes, o ¿antiguamente?
[0:41:07.96]-[0:41:09.96]  Antiguamente en renta.
[0:41:09.96]-[0:41:10.96]  ¿En renta eran?
[0:41:10.96]-[0:41:12.96]  Hasta este año hemos llevado viñas nosotros.
[0:41:12.96]-[0:41:14.96]  Bueno, y todavía llevamos una de una hermana.
[0:41:14.96]-[0:41:18.96]  Hasta este año dejamos cuatro viñas de otro.
[0:41:18.96]-[0:41:21.96]  ¿Y cómo es el trabajo de la viña?
[0:41:21.96]-[0:41:25.96]  ¿Desde que se planta y eso?
[0:41:25.96]-[0:41:29.96]  Cuando se planta, pone si fuera una barbuda.
[0:41:29.96]-[0:41:30.96]  ¿Una?
[0:41:30.96]-[0:41:31.96]  Una barbuda.
[0:41:31.96]-[0:41:32.96]  ¿Y qué es eso?
[0:41:32.96]-[0:41:34.96]  Una cepa, pero que esa no te traiga uva.
[0:41:34.96]-[0:41:39.96]  Y después hay que injertarle con un salmiento de la cepa que produce uva.
[0:41:39.96]-[0:41:41.96]  Tengo que ir al ayuntamiento, ¿qué hora tenés?
[0:41:41.96]-[0:41:42.96]  Sí, casi las dos.
[0:41:42.96]-[0:41:44.96]  A las dos de la tarde voy al ayuntamiento también.
[0:41:44.96]-[0:41:52.96]  Y después se ata con rafia, tiene que ser como que sabe, si no, no se prende.
[0:41:52.96]-[0:41:56.96]  Le atan con rafia la cepa y después si prenden o no prenden.
[0:41:56.96]-[0:42:00.96]  Ahora el año siguiente si no prenden, volver a vegetar y si no poner otra vez no hay vaso.
[0:42:00.96]-[0:42:02.96]  No, es complicado eso sí.
[0:42:02.96]-[0:42:04.96]  ¿Y hasta que sale uva?
[0:42:04.96]-[0:42:05.96]  A los cuatro años.
[0:42:05.96]-[0:42:06.96]  ¿A los cuatro?
[0:42:06.96]-[0:42:08.96]  Poniendo injerto no.
[0:42:08.96]-[0:42:10.96]  Al injerto de a los tres años ya empieza a tener o dos.
[0:42:10.96]-[0:42:14.96]  Empieza a tener algo, pero del otro a cuatro años.
[0:42:14.96]-[0:42:16.96]  ¿Y qué tipo de uva tiene en seda?
[0:42:16.96]-[0:42:20.96]  Blanca y negra, hirnacha, de hirnama.
[0:42:20.96]-[0:42:22.96]  ¿Y cuál es la diferencia más grande?
[0:42:22.96]-[0:42:28.96]  Las armaduras dicen que es mejor para el vino, más de eso, que se conserva más fuerte el vino.
[0:42:28.96]-[0:42:30.96]  Y la blanca es bueno para revolver.
[0:42:30.96]-[0:42:33.96]  Ahora las bodegas grandes no la quieren, la blanca.
[0:42:33.96]-[0:42:34.96]  ¿Por?
[0:42:34.96]-[0:42:37.96]  Porque la pagan mucho menos.
[0:42:37.96]-[0:42:44.96]  Sin embargo nosotros preferimos echarle blanca y negra, para que sea para el vino mejor.
[0:42:44.96]-[0:42:53.96]  Ellos quieren para coger más color, para ponerlo en barricas, entonces ya nos sacan al mercado con barricas.
[0:42:53.96]-[0:42:56.96]  ¿Y en qué época salían las uvas?
[0:42:56.96]-[0:42:57.96]  En octubre.
[0:42:57.96]-[0:43:01.96]  ¿Y cómo era la vendimia?
[0:43:01.96]-[0:43:02.96]  ¿La vendimia?
[0:43:02.96]-[0:43:06.96]  Vas a cortar con un colquete y después con restos al hombro vas a sacarla.
[0:43:06.96]-[0:43:07.96]  Así es.
[0:43:07.96]-[0:43:08.96]  Y ahora también.
[0:43:08.96]-[0:43:09.96]  Yo lo comía.
[0:43:09.96]-[0:43:15.96]  Lo que pasa es que antes, antiguamente, eran unos camportones así, les metían 170, 180 kilos.
[0:43:15.96]-[0:43:22.96]  Le había que cargarlos a los carros y después al lago, echarlos entre dos, coger el desro camportón entre dos,
[0:43:22.96]-[0:43:27.96]  echar el brazo y con la otra mano del culo al lago.
[0:43:27.96]-[0:43:35.96]  Y a mí me ha tocado subir escaleras tanto altura como esto, con los camportones para arriba, subiendo por escalera.
[0:43:35.96]-[0:43:41.96]  Y lo hice un año, al segundo le dije al amo, yo no vengo más, a mí no me fastidias.
[0:43:41.96]-[0:43:46.96]  Ahora tú lo que es coger un camportón, y ahora estoy jodido de la columna, eh, por eso.
[0:43:46.96]-[0:43:51.96]  Sabes tú coger pesos de ciento y pico y casi doscientos kilos algunos.
[0:43:51.96]-[0:43:58.96]  Era por un señor que había aquí que era el secretario de Franco cuando la guerra.
[0:43:58.96]-[0:44:01.96]  Entonces, tiene una tienda tremenda.
[0:44:01.96]-[0:44:06.96]  Y tenía amistad con mis cuñaos, que mi cuñao estuvo payos de administrador.
[0:44:06.96]-[0:44:13.96]  Y ya con mi cuñao nos arreglábamos bien porque en la cueva nos ponían dos tíos a descargar los carros.
[0:44:13.96]-[0:44:20.96]  Veníamos con ocho camportones en cada carro, llegamos a la cueva y nos ponían dos tíos y a descargarlos.
[0:44:20.96]-[0:44:26.96]  Pero después cambió de otro administrador, joder, ya que no sabías, una dije, por un año nada más.
[0:44:26.96]-[0:44:31.96]  ¿Y de qué eran los...? De tabla, con unos cellos, que eran dos.
[0:44:31.96]-[0:44:35.96]  Los echabas a hinchar antes de empezar a venir y media y ahora no se iban.
[0:44:35.96]-[0:44:37.96]  Porque el muesto se va, si no.
[0:44:37.96]-[0:44:47.96]  Ahora todo es en remolque, se. En remolque con una lona, o hay también otras que no llevan ni lona ni nada, bañeras que le llaman.
[0:44:47.96]-[0:44:52.96]  Y luego, cuando echaban la uva, ¿en el lago qué se hacía?
[0:44:52.96]-[0:45:03.96]  Pues después hay que pisar la uva. Y después cuando vas a sacar la uva le tienes que dar media vuelta para un lado y después media vuelta para el otro, pisando.
[0:45:03.96]-[0:45:06.96]  Y sacarla del culo de Londón hasta arriba con uno pillo.
[0:45:06.96]-[0:45:11.96]  ¿Y para qué era eso? Para pisar la uva, para sacar el vino.
[0:45:11.96]-[0:45:16.96]  Ahora tienes que atenderle este olor de arriba porque yo me voy. Lo voy a cambiar y te lo traigo.
[0:45:16.96]-[0:45:19.96]  Y esto es la buena almohada.
[0:45:19.96]-[0:45:22.96]  ¡Anda, mira!
[0:45:22.96]-[0:45:25.96]  Bueno, también a vosotros le tengo un trago de libros, ¿apetecen? ¿Queréis probar?
[0:45:25.96]-[0:45:26.96]  Vale.
[0:45:26.96]-[0:45:28.96]  ¿Queréis probar?
[0:45:28.96]-[0:45:29.96]  A ver si es un alba.
[0:45:29.96]-[0:45:31.96]  No, no es malta. Un poquito.
[0:45:31.96]-[0:45:34.96]  No, es que la bebimos luego para comer.
[0:45:34.96]-[0:45:39.96]  No hace falta.
[0:45:39.96]-[0:45:40.96]  Ahí está mal, compa.
[0:45:40.96]-[0:45:41.96]  Tenía el coche ahí.
[0:45:41.96]-[0:45:44.96]  ¿Diciste que tenía alba?
[0:45:44.96]-[0:45:50.96]  Sí, tenía alba.
[0:45:50.96]-[0:45:53.96]  ¿Qué haces, su padre?
[0:45:53.96]-[0:45:54.96]  ¿Qué pasa?
[0:45:54.96]-[0:45:57.96]  Si creíais que me ha pasado, cuando está que tenía dos coches.
[0:45:57.96]-[0:46:01.96]  ¿Cómo dos? ¿Y cómo tiene dos coches?
[0:46:01.96]-[0:46:03.96]  Pues en la máquina de motelar.
[0:46:03.96]-[0:46:04.96]  ¿Y pasaron dos?
[0:46:04.96]-[0:46:05.96]  Dos coches, la mía me dice.
[0:46:05.96]-[0:46:09.96]  ¿Tú sabes un poquito?
[0:46:09.96]-[0:46:10.96]  Yo, yo.
[0:46:10.96]-[0:46:14.96]  A ver, vale.
[0:46:14.96]-[0:46:17.96]  Mira, este es el vino nuestro, o sea, acá se lo veis en algún sitio.
[0:46:17.96]-[0:46:18.96]  ¿Podemos comprar?
[0:46:18.96]-[0:46:19.96]  Sí.
[0:46:19.96]-[0:46:20.96]  No, no, no.
[0:46:20.96]-[0:46:21.96]  No, no, no.
[0:46:21.96]-[0:46:22.96]  ¡Que me tienen que pagar ellos a mí!
[0:46:22.96]-[0:46:23.96]  No, no, no.
[0:46:23.96]-[0:46:24.96]  ¡Que me han dado!
[0:46:24.96]-[0:46:27.96]  Vamos a llevarnos, por lo menos, podemos llevarnos tres o cuatro botellas.
[0:46:27.96]-[0:46:28.96]  No, no hemos quitado.
[0:46:28.96]-[0:46:29.96]  ¿Entiquetada? ¿Que son para vosotros?
[0:46:29.96]-[0:46:30.96]  Sí, sí, sí.
[0:46:30.96]-[0:46:31.96]  Igual os da, entonces sin etiquetar.
[0:46:31.96]-[0:46:32.96]  Sí, sí, sí.
[0:46:32.96]-[0:46:33.96]  ¿Está sin etiquetar un estuche?
[0:46:33.96]-[0:46:35.96]  Toma, deja esta ahí.
[0:46:35.96]-[0:46:40.96]  ¿Está muy bueno?
[0:46:40.96]-[0:46:41.96]  Sí, sí.
[0:46:41.96]-[0:46:42.96]  ¿Está muy bueno?
[0:46:42.96]-[0:47:00.96]  Aquí no hay fábrica como en las grandes bodegas que tienen enólogos, químicos y en cada
[0:47:00.96]-[0:47:01.96]  todo.
[0:47:01.96]-[0:47:02.96]  Aquí está natural.
