[0:00:00.00]-[0:00:02.00]  ¿Fue mucha gente o...?
[0:32:40.00]-[0:32:42.00]  los domingos a las cuatro de la tarde.
[0:32:42.00]-[0:32:45.00]  A enseñarlos a rezar para que hicieramos la comunión.
[0:32:47.00]-[0:32:49.00]  Y hacíamos la comunión.
[0:32:49.00]-[0:32:51.00]  Todo, lo poco que habíamos aquí debajo.
[0:32:52.00]-[0:32:54.00]  ¿Usted iba cada domingo a...?
[0:32:54.00]-[0:32:55.00]  Sí, sí.
[0:32:55.00]-[0:32:57.00]  Además, después yo me quería ir después a la iglesia.
[0:32:58.00]-[0:33:02.00]  Porque ya después me acostumbré a ir a la iglesia
[0:33:02.00]-[0:33:05.00]  y él tenía una hermana que se me ha seguido.
[0:33:06.00]-[0:33:09.00]  Ellas eran de arriba de Tejeda.
[0:33:10.00]-[0:33:15.00]  Y entonces yo iba a la iglesia y ellos me enseñaron todos los rezar recién.
[0:33:17.00]-[0:33:22.00]  ¿Y el cura los arretaba cuando hacían algo mal en la calle o...?
[0:33:22.00]-[0:33:23.00]  No, no.
[0:33:23.00]-[0:33:25.00]  Él a la calle no salía mucho, sino a la misa.
[0:33:25.00]-[0:33:27.00]  Él no tenía cuenta con la gente de la calle.
[0:33:28.00]-[0:33:29.00]  Era un cura bueno.
[0:33:29.00]-[0:33:32.00]  Porque hay curas que se meten con la vida de la gente
[0:33:32.00]-[0:33:34.00]  y se salen de la parroquia.
[0:33:35.00]-[0:33:36.00]  Sí, lo echaban.
[0:33:37.00]-[0:33:38.00]  Claro, lo echaban.
[0:33:40.00]-[0:33:42.00]  Aquí los curas que había sido buenos.
[0:33:43.00]-[0:33:46.00]  Hasta Don Toro era del verde, también era muy bueno.
[0:33:48.00]-[0:33:50.00]  Era la época de mi madre también.
[0:33:51.00]-[0:33:53.00]  ¿Y ha notado usted muchos cambios en la religión o...?
[0:33:54.00]-[0:33:56.00]  Yo no quiero ser ahora mía, mi niño.
[0:33:56.00]-[0:33:59.00]  Yo por eso le pedí a ustedes que sigan de testigo.
[0:34:01.00]-[0:34:03.00]  Porque yo les digo, mira, aquí tengo yo.
[0:34:03.00]-[0:34:05.00]  A la entrada está la Virgen de las Nieves.
[0:34:06.00]-[0:34:07.00]  Y los apostó por los lados.
[0:34:08.00]-[0:34:09.00]  Mi religión es esta.
[0:34:09.00]-[0:34:10.00]  Yo no la cambio por nada.
[0:34:10.00]-[0:34:14.00]  Yo poco la voy a cumplir porque no...
[0:34:14.00]-[0:34:15.00]  a veces no puedo ir.
[0:34:16.00]-[0:34:17.00]  ¿Sabe?
[0:34:17.00]-[0:34:20.00]  Pero yo tengo fe en Dios y en la Virgen.
[0:34:21.00]-[0:34:23.00]  ¿Todavía va a la iglesia cada domingo?
[0:34:23.00]-[0:34:29.00]  Ya no voy. Antes iba todos los domingos, pero mi marido se enfermó y ya me toca la guardia esta.
[0:34:30.00]-[0:34:31.00]  Y esto es lo que hace.
[0:34:32.00]-[0:34:33.00]  No hay otra cosa.
[0:34:34.00]-[0:34:36.00]  ¿Y cómo son las fiestas del pueblo?
[0:34:37.00]-[0:34:40.00]  Eso, si vienes una vez te quedas prendada.
[0:34:41.00]-[0:34:42.00]  ¿Ah, sí?
[0:34:42.00]-[0:34:44.00]  En la rama te vuelves loca.
[0:34:44.00]-[0:34:46.00]  No sé dónde están los programas.
[0:34:47.00]-[0:34:48.00]  Porque te vuelves loca.
[0:34:49.00]-[0:34:50.00]  ¿Cómo son? ¿Qué es lo que hacen?
[0:34:50.00]-[0:34:52.00]  ¿Cuáles fiestas hay?
[0:34:52.00]-[0:34:55.00]  Mira, te voy a nombrar la fiesta de las Nieves.
[0:34:56.00]-[0:34:59.00]  Se va arriba al monte y se trae la rama.
[0:35:00.00]-[0:35:03.00]  Manojo de rama así para bailarla.
[0:35:03.00]-[0:35:07.00]  Empieza a las 10 de la mañana y termina a las 6 de la tarde.
[0:35:08.00]-[0:35:11.00]  Todo el mundo bailando hasta que llega aquí debajo.
[0:35:12.00]-[0:35:13.00]  ¿Me entiendes?
[0:35:13.00]-[0:35:17.00]  Se le pone la virgen, la rama, en la puerta.
[0:35:17.00]-[0:35:20.00]  En el altar.
[0:35:21.00]-[0:35:26.00]  Y después el día 4, el día 5, sale la virgen.
[0:35:27.00]-[0:35:29.00]  Que es la virgen de las Nieves, la fiesta de las Nieves.
[0:35:29.00]-[0:35:31.00]  Que es una fiesta famosa también.
[0:35:32.00]-[0:35:33.00]  ¿Vale?
[0:35:33.00]-[0:35:34.00]  ¿Mucha gente viene?
[0:35:34.00]-[0:35:35.00]  Muchas promesas.
[0:35:36.00]-[0:35:37.00]  Mucha gente, mucha gente.
[0:35:38.00]-[0:35:43.00]  Pero si tú vienes un día a la rama, te quedas con tu hombre.
[0:35:43.00]-[0:35:44.00]  ¿Ah, sí?
[0:35:44.00]-[0:35:49.00]  Se quedas acostumbrada porque es muy divertida.
[0:35:49.00]-[0:35:50.00]  Es muy divertida.
[0:35:50.00]-[0:35:53.00]  ¿Eso te ha ido cada año, me imagino?
[0:35:53.00]-[0:35:56.00]  Yo, cuando joven, sí bailaba, pero después no.
[0:35:57.00]-[0:35:58.00]  Mis hijas sí van.
[0:35:58.00]-[0:35:59.00]  ¿Ah, sí?
[0:35:59.00]-[0:36:00.00]  Y mis nietos.
[0:36:00.00]-[0:36:01.00]  ¿Todavía se hace entonces?
[0:36:01.00]-[0:36:03.00]  Sí, sí se hace.
[0:36:03.00]-[0:36:04.00]  ¿En qué fecha es?
[0:36:04.00]-[0:36:09.00]  El día 4 de agosto es la rama y el día 5 la subida de la virgen.
[0:36:10.00]-[0:36:12.00]  Es muy famosa.
[0:36:12.00]-[0:36:14.00]  ¿Y hay otras fiestas?
[0:36:14.00]-[0:36:17.00]  Después la concesión al pueblo también es famosa.
[0:36:19.00]-[0:36:21.00]  También se hace fiesta en el pueblo.
[0:36:21.00]-[0:36:22.00]  ¿También se baila?
[0:36:22.00]-[0:36:24.00]  No, no, no. Eso es donde baila.
[0:36:24.00]-[0:36:26.00]  Esas son las procesiones.
[0:36:26.00]-[0:36:27.00]  Ah, sí.
[0:36:27.00]-[0:36:28.00]  Después Semana Santa.
[0:36:29.00]-[0:36:30.00]  ¿Hay muchas, no, aquí?
[0:36:30.00]-[0:36:31.00]  Sí, varias.
[0:36:32.00]-[0:36:35.00]  ¿Usted participaba en las procesiones?
[0:36:36.00]-[0:36:37.00]  Antes sí, ahora no.
[0:36:37.00]-[0:36:39.00]  Ya no puedo ir a ningún sitio.
[0:36:39.00]-[0:36:40.00]  Tengo que acariciar.
[0:36:40.00]-[0:36:41.00]  Tengo que acariciar.
[0:36:42.00]-[0:36:46.00]  Ahora hay gente en mi casa porque mi hija se va a ir, mi nieta se va a ir.
[0:36:46.00]-[0:36:47.00]  Me quedo yo allí.
[0:36:49.00]-[0:36:50.00]  Y esto es así.
[0:36:50.00]-[0:36:54.00]  ¿Y en esas procesiones tocaba música usted?
[0:36:54.00]-[0:36:55.00]  Sí, sí, sí.
[0:36:55.00]-[0:36:56.00]  Se toca música.
[0:36:56.00]-[0:36:57.00]  Música de aquí, ¿no?
[0:36:57.00]-[0:36:59.00]  Sí, que mire ustedes no son de aquí.
[0:37:00.00]-[0:37:01.00]  No, de Madrid.
[0:37:01.00]-[0:37:04.00]  Ah, pues la música de acá.
[0:37:04.00]-[0:37:05.00]  Yo a Madrid a tocar.
[0:37:06.00]-[0:37:07.00]  Sí.
[0:37:07.00]-[0:37:08.00]  Ah, pues no.
[0:37:08.00]-[0:37:10.00]  Sí, la oye se vuelve loca.
[0:37:11.00]-[0:37:12.00]  Porque es una música muy alegre.
[0:37:13.00]-[0:37:14.00]  Es muy alegre.
[0:37:16.00]-[0:37:18.00]  ¿Y el carnaval aquí se celebra también?
[0:37:18.00]-[0:37:19.00]  También.
[0:37:19.00]-[0:37:20.00]  Ya no tanto como antes.
[0:37:21.00]-[0:37:24.00]  Antes había muchas murgas y todo, pero se va acabando todo.
[0:37:24.00]-[0:37:25.00]  Sí.
[0:37:28.00]-[0:37:32.00]  Y cuéntenos porque nos interesa mucho cómo eran las bodas antes, ¿qué se hacía?
[0:37:32.00]-[0:37:37.00]  Las bodas, las que tenía que celebrar, las que no tenía, ¿no?
[0:37:38.00]-[0:37:40.00]  Yo las celebré en mi casa.
[0:37:41.00]-[0:37:45.00]  No tenía para traje blanco, me lo conté azul, porque se usaba también.
[0:37:45.00]-[0:37:48.00]  Azul de derrazo, de corte.
[0:37:49.00]-[0:37:51.00]  Y las celebrabamos ahí con la familia.
[0:37:52.00]-[0:37:53.00]  Había de todo.
[0:37:53.00]-[0:37:56.00]  Como yo también, había de todo, no sé.
[0:37:56.00]-[0:37:58.00]  ¿Se hacía una cena o...?
[0:37:58.00]-[0:38:00.00]  No, un brindé.
[0:38:00.00]-[0:38:02.00]  Nos hicimos brindé.
[0:38:02.00]-[0:38:03.00]  Partimos la tarta.
[0:38:05.00]-[0:38:09.00]  Hoy en día son cenas a los restaurantes y para acá y para allá.
[0:38:09.00]-[0:38:12.00]  Porque tiene gente, el que tiene, el que no tiene no.
[0:38:12.00]-[0:38:14.00]  Niño, estás creciendo.
[0:38:15.00]-[0:38:16.00]  No se preocupe.
[0:38:17.00]-[0:38:18.00]  ¿Dónde cuantas de pie?
[0:38:18.00]-[0:38:20.00]  Y había tantas sillas ahí dentro.
[0:38:20.00]-[0:38:22.00]  No pasa nada, estoy cómodo.
[0:38:24.00]-[0:38:26.00]  Y así te digo yo que hay de todo.
[0:38:26.00]-[0:38:30.00]  ¿Se hacían unas bromas a los novios?
[0:38:30.00]-[0:38:32.00]  También se hacía, también se hacía.
[0:38:33.00]-[0:38:36.00]  Aquí se vio a vestir el marido de mi sobrina.
[0:38:37.00]-[0:38:43.00]  Y mi cuñón para descansar y mi primo, le metieron papeles dentro de los zapatos aquí delante.
[0:38:43.00]-[0:38:45.00]  Y el hombre caminaba así.
[0:38:46.00]-[0:38:48.00]  Oye, si los zapatos me servían.
[0:38:49.00]-[0:38:50.00]  Si los zapatos me servían.
[0:38:50.00]-[0:38:53.00]  Y fue a la boda con tus carranchas vacías y unas piernas.
[0:38:53.00]-[0:38:56.00]  Dime tú cómo podía ir.
[0:38:56.00]-[0:38:58.00]  Bromas pesadas.
[0:38:58.00]-[0:39:02.00]  Pero después uno vino de la boda, solo dijo y se me cagó la madre que los parió.
[0:39:03.00]-[0:39:05.00]  Mi cuñón era un mujer hetero.
[0:39:05.00]-[0:39:07.00]  Muy mujer hetero.
[0:39:07.00]-[0:39:09.00]  Que le gustaba dar bromas.
[0:39:09.00]-[0:39:11.00]  Le gustaba dar bromas.
[0:39:14.00]-[0:39:17.00]  ¿Y por ejemplo, podría contarnos cómo es su rutina?
[0:39:18.00]-[0:39:20.00]  Del día a día que hace usted cada día.
[0:39:20.00]-[0:39:23.00]  ¿Qué hago yo? Cuidar el hermoso hombre aquí.
[0:39:24.00]-[0:39:26.00]  Todo el día aquí metía, niño.
[0:39:26.00]-[0:39:28.00]  Eso es lo que yo hago.
[0:39:29.00]-[0:39:31.00]  Antes salía, pero ya no salimos.
[0:39:31.00]-[0:39:33.00]  ¿Y antes cómo era su vida?
[0:39:34.00]-[0:39:36.00]  Yo iba a vender el pescado.
[0:39:38.00]-[0:39:39.00]  Y vivíamos de eso.
[0:39:39.00]-[0:39:41.00]  De vender pescado.
[0:39:41.00]-[0:39:43.00]  El otro día yo lo vendía.
[0:39:44.00]-[0:39:47.00]  Hasta hoy en día no lo dejan ni vender.
[0:39:47.00]-[0:39:49.00]  Porque tenemos que tener...
[0:39:49.00]-[0:39:51.00]  ¿Cómo le dice?
[0:39:51.00]-[0:39:53.00]  Papeles y no sé qué.
[0:39:53.00]-[0:39:54.00]  Todo trají.
[0:39:54.00]-[0:39:57.00]  Pero lo vendía en el mercado o en el barrio?
[0:39:57.00]-[0:39:59.00]  No, lo vendía por la calle.
[0:39:59.00]-[0:40:01.00]  Yo llegué a vender hasta la espalda.
[0:40:02.00]-[0:40:03.00]  En el coche.
[0:40:04.00]-[0:40:05.00]  Con mi hijo.
[0:40:06.00]-[0:40:08.00]  Pero es que no dejan vender hoy.
[0:40:08.00]-[0:40:10.00]  Tiene que pagar un seguro.
[0:40:11.00]-[0:40:12.00]  Todo el dinero.
[0:40:13.00]-[0:40:15.00]  Todo el dinero.
[0:40:15.00]-[0:40:17.00]  Aquí tú ves.
[0:40:17.00]-[0:40:19.00]  Había unas chicas aquí.
[0:40:19.00]-[0:40:21.00]  Que las quitaron de aquí por eso.
[0:40:21.00]-[0:40:23.00]  Porque tienen que pagar.
[0:40:23.00]-[0:40:25.00]  Y las personas no tienen que pagar.
[0:40:25.00]-[0:40:27.00]  Si no venden pescado, no lo pagan.
[0:40:28.00]-[0:40:30.00]  Es esa cosa.
[0:40:32.00]-[0:40:34.00]  Una pregunta. ¿Conocen ustedes...
[0:40:34.00]-[0:40:35.00]  Antes no se ha hablado de música.
[0:40:35.00]-[0:40:38.00]  ¿Conocen ustedes de algún romance o alguna canción típica de aquí?
[0:40:38.00]-[0:40:39.00]  No.
[0:40:42.00]-[0:40:44.00]  ¿No solían cantar con...
[0:40:44.00]-[0:40:45.00]  En las fiestas.
[0:40:45.00]-[0:40:47.00]  Sí, yo no.
[0:40:47.00]-[0:40:48.00]  Sí hay muchas cosas.
[0:40:48.00]-[0:40:50.00]  Pero yo no salía a cantar.
[0:40:50.00]-[0:40:51.00]  Yo no.
[0:40:51.00]-[0:40:54.00]  ¿Saben un poco qué tipo de música era?
[0:40:54.00]-[0:40:56.00]  ¿Qué instrumentos había?
[0:40:57.00]-[0:41:00.00]  Bueno, hoy en día...
[0:41:00.00]-[0:41:02.00]  Hay canciones.
[0:41:02.00]-[0:41:03.00]  Y hay quien cante folia.
[0:41:03.00]-[0:41:04.00]  Y todas esas cosas.
[0:41:04.00]-[0:41:06.00]  Cosas canarias.
[0:41:06.00]-[0:41:08.00]  Pero yo no.
[0:41:08.00]-[0:41:10.00]  Una folia, ¿y en qué consiste?
[0:41:12.00]-[0:41:13.00]  Hay tantas cosas.
[0:41:13.00]-[0:41:15.00]  Malagueña, folia y todas esas cosas.
[0:41:15.00]-[0:41:17.00]  Yo no te sé explicar.
[0:41:19.00]-[0:41:21.00]  Pero la folia es muy bonita.
[0:41:21.00]-[0:41:22.00]  Es muy alegre.
[0:41:25.00]-[0:41:26.00]  Que son cosas canarias.
[0:41:26.00]-[0:41:29.00]  ¿Era una orquesta que tocaba en los baile?
[0:41:29.00]-[0:41:33.00]  No, son un conjunto de músicos de guitarra.
[0:41:33.00]-[0:41:34.00]  Esas gente.
[0:41:37.00]-[0:41:38.00]  Son juntos.
[0:41:38.00]-[0:41:42.00]  ¿Y luego podría contarnos algún cuento popular que usted sepa?
[0:41:42.00]-[0:41:44.00]  Que le contasen de pequeña o algo así.
[0:41:44.00]-[0:41:46.00]  ¿Algún cuento tradicional?
[0:41:46.00]-[0:41:47.00]  No sé.
[0:41:48.00]-[0:41:49.00]  No.
[0:41:50.00]-[0:41:52.00]  Que le contaba su madre para que se duerme.
[0:41:52.00]-[0:41:54.00]  Para que se duerma la noche.
[0:41:55.00]-[0:41:56.00]  Cantaba una historia, ¿no?
[0:41:57.00]-[0:41:59.00]  Hay tantas cosas, niña.
[0:42:01.00]-[0:42:02.00]  No sé.
[0:42:03.00]-[0:42:04.00]  Ahora, ¿qué?
[0:42:04.00]-[0:42:05.00]  ¿Qué?
[0:42:05.00]-[0:42:06.00]  ¿Qué?
[0:42:06.00]-[0:42:08.00]  No sé. Ahora.
[0:42:13.00]-[0:42:14.00]  ¿No la recuerda?
[0:42:14.00]-[0:42:15.00]  No.
[0:42:15.00]-[0:42:16.00]  Bueno.
[0:42:19.00]-[0:42:22.00]  Porque yo le cantaba a mis hijos una...
[0:42:22.00]-[0:42:23.00]  Una nada, ¿eh?
[0:42:26.00]-[0:42:28.00]  Que yo le cantaba así.
[0:42:28.00]-[0:42:36.00]  A ver si me acuerdo, ¿eh?
[0:42:36.00]-[0:43:01.00]  O a o a, o a o a, yo te haré una cunita de caracola.
[0:43:01.00]-[0:43:08.00]  Yo te vestiré tu cuna de blanca seda.
[0:43:13.00]-[0:43:20.00]  Yo te vestiré tu cuna de blanca seda.
[0:43:23.00]-[0:43:24.00]  Ya no me sé más.
[0:43:24.00]-[0:43:25.00]  Hermoso.
[0:43:25.00]-[0:43:26.00]  Muy bonita.
[0:43:27.00]-[0:43:29.00]  O sea, se la cantaba yo a mis hijas.
[0:43:29.00]-[0:43:32.00]  Que salió en una comedia también.
[0:43:33.00]-[0:43:37.00]  Y ellos cantaron esa cuna a sus hijos.
[0:43:37.00]-[0:43:38.00]  Sí, sí.
[0:43:38.00]-[0:43:41.00]  Mi hija la fue también a esa comedia.
[0:43:45.00]-[0:43:46.00]  No sé más.
[0:43:46.00]-[0:43:48.00]  Y usted ya para que nos contase algo más,
[0:43:48.00]-[0:43:51.00]  ¿qué piensa de cómo ha cambiado toda la vida?
[0:43:51.00]-[0:43:53.00]  De antes a la de ahora.
[0:43:53.00]-[0:43:59.00]  Te digo, ha cambiado tanto que yo tenía una paga y me la quitaron.
[0:43:59.00]-[0:44:01.00]  Esto más grande.
[0:44:02.00]-[0:44:05.00]  Mira, mi hija era soltera y estaba estudiando.
[0:44:07.00]-[0:44:10.00]  Pues bueno, mi hija se casó porque le llegó un novio y se casó.
[0:44:11.00]-[0:44:13.00]  Mi hija estuvo un tiempo aquí viviendo.
[0:44:14.00]-[0:44:17.00]  Yo eso no sabía de que tenía que aborrarse nada.
[0:44:17.00]-[0:44:20.00]  A mí me dijeron, cuando yo regalé la paga,
[0:44:20.00]-[0:44:22.00]  me dijeron, ¿y si quedan tiene?
[0:44:22.00]-[0:44:25.00]  Digo, yo voy a tener 65 años.
[0:44:25.00]-[0:44:27.00]  Dice, pues cuando tú tengas 65 años tú vienes,
[0:44:27.00]-[0:44:29.00]  que yo te regalo la paga.
[0:44:30.00]-[0:44:31.00]  Pues fui y me la arreglado.
[0:44:32.00]-[0:44:34.00]  Empecé a cobrar, empecé a cobrar.
[0:44:35.00]-[0:44:40.00]  Pues mi hija, como el marido era de vecindario, en la espalma,
[0:44:40.00]-[0:44:42.00]  pues se fue a vivir para allá.
[0:44:43.00]-[0:44:45.00]  Yo no sabía que había que darme de baja,
[0:44:45.00]-[0:44:48.00]  porque ella me dijo, esta paga es definitiva.
[0:44:49.00]-[0:44:51.00]  Eso no te la quita nadie.
[0:44:51.00]-[0:44:52.00]  Pues me la quitaron.
[0:44:52.00]-[0:44:57.00]  Llevo tres años y para cuatro ahora pagando 306 euros.
[0:44:58.00]-[0:45:01.00]  Y tú sabes lo que mi marido gana, 700 euros.
[0:45:01.00]-[0:45:02.00]  Con eso lo remedian.
[0:45:03.00]-[0:45:04.00]  ¿Te das cuenta?
[0:45:05.00]-[0:45:07.00]  Quedó los más grandes que quiero.
[0:45:07.00]-[0:45:09.00]  ¿Eh? Para que tú veas.
[0:45:11.00]-[0:45:14.00]  Así que uno hay que engruñarlo, como dice el refleto.
[0:45:15.00]-[0:45:17.00]  Engruñaditas aquí.
[0:45:17.00]-[0:45:21.00]  ¿Y conoces algún dicho típico de la zona que se diga aquí?
[0:45:22.00]-[0:45:24.00]  Pues no te sé qué decir.
[0:45:25.00]-[0:45:27.00]  Hay tantos dichos que no te sé decir.
[0:45:28.00]-[0:45:29.00]  ¿Sabes?
[0:45:30.00]-[0:45:31.00]  No te sé decir.
[0:45:33.00]-[0:45:37.00]  Yo tenía una pregunta en cuanto a cómo funcionaba antes la luz.
[0:45:38.00]-[0:45:39.00]  La luz, ah.
[0:45:39.00]-[0:45:42.00]  La luz era quinquele. ¿Sabes lo que son quinquele?
[0:45:42.00]-[0:45:43.00]  No.
[0:45:43.00]-[0:45:44.00]  Una botellita así.
[0:45:44.00]-[0:45:48.00]  Tiene una mecha, sube así para arriba, de petróleo.
[0:45:49.00]-[0:45:51.00]  Y después tenemos una pantallita.
[0:45:52.00]-[0:45:53.00]  Eso es lo que había.
[0:45:54.00]-[0:45:57.00]  Y yo tuve tantos hijos por casa que no teníamos luz.
[0:45:58.00]-[0:46:00.00]  Ni radio, ni tele.
[0:46:04.00]-[0:46:07.00]  No teníamos en qué tenerlo y entonces tenemos así.
[0:46:07.00]-[0:46:09.00]  Y esas eran las luces que había, niña.
[0:46:09.00]-[0:46:10.00]  Quinquele.
[0:46:11.00]-[0:46:12.00]  Se llama quinquele.
[0:46:12.00]-[0:46:14.00]  Tal vez tengo el de mi padre gris.
[0:46:15.00]-[0:46:17.00]  Es una bola así de cristal.
[0:46:18.00]-[0:46:20.00]  ¿Y la calefacción cómo se calentaba?
[0:46:20.00]-[0:46:21.00]  Con leña.
[0:46:23.00]-[0:46:27.00]  Había un hogar, le poníamos leña y hacíamos de comer.
[0:46:28.00]-[0:46:31.00]  Y cocinía de petróleo, de esas cocinillas, menos arriba.
[0:46:32.00]-[0:46:33.00]  Enfiernillos le dicen.
[0:46:35.00]-[0:46:36.00]  Y eso es lo que había.
[0:46:38.00]-[0:46:40.00]  ¿Y el agua cómo se calentaba?
[0:46:40.00]-[0:46:43.00]  ¿Y el agua cómo funcionaba? ¿Iban a la fuente?
[0:46:44.00]-[0:46:47.00]  El agua íbamos al pueblo a buscarlo a un kilómetro con el hilo en la cabeza.
[0:46:48.00]-[0:46:49.00]  Aquí tenemos la foto.
[0:46:51.00]-[0:46:52.00]  Está ahí fuera.
[0:46:52.00]-[0:46:54.00]  Ahora lo ves cuando salga.
[0:46:55.00]-[0:46:57.00]  Así que nosotros pasamos mucho por todo.
[0:46:57.00]-[0:46:58.00]  Por todo se pasó.
[0:47:02.00]-[0:47:06.00]  ¿Y había como unas minas por aquí o galerías de agua?
[0:47:06.00]-[0:47:12.00]  No, arriba en el pueblo salía el agua de la tierra de un riesgo.
[0:47:13.00]-[0:47:19.00]  Y entonces pusimos unos chorros que son montones de años, montones de años, cientos de años.
[0:47:20.00]-[0:47:22.00]  Y salían cinco cañones así para abajo de agua.
[0:47:23.00]-[0:47:24.00]  Y allí íbamos a buscar el agua.
[0:47:25.00]-[0:47:26.00]  En un asiente.
[0:47:28.00]-[0:47:29.00]  Que ya eso se secó.
[0:47:29.00]-[0:47:35.00]  Trabajaron por arriba unos postos y se llevaron el agua de la galería.
[0:47:37.00]-[0:47:40.00]  Ahora el agua que teníamos lo abrucimos de la calle.
[0:47:43.00]-[0:47:44.00]  Y un montón de cara.
[0:47:48.00]-[0:47:52.00]  En Tenerife hemos conocido a unas personas que vivían en unas cuevas.
[0:47:52.00]-[0:47:54.00]  Aquí también la gente vive...
[0:47:54.00]-[0:47:55.00]  Sí, también.
[0:47:56.00]-[0:47:57.00]  Yendo a Pagarda.
[0:47:57.00]-[0:47:59.00]  Y todavía hay gente que vive en cuevas.
[0:48:00.00]-[0:48:01.00]  Ustedes no llegarán allí.
[0:48:01.00]-[0:48:02.00]  Digo, yo no sé.
[0:48:03.00]-[0:48:08.00]  Por la carretera vieja hay que pasar por la carretera vieja y las cuevas se ven en frente.
[0:48:09.00]-[0:48:10.00]  ¿Y todavía vive ahí la gente?
[0:48:10.00]-[0:48:11.00]  Sí, vive gente ahí.
[0:48:12.00]-[0:48:14.00]  Hay casas y hay cuevas abajo.
[0:48:16.00]-[0:48:17.00]  Hay de todo.
[0:48:20.00]-[0:48:25.00]  Las cuevas... Ahora que hace frío, tú te metes en la cueva y es calentita.
[0:48:25.00]-[0:48:26.00]  Sí.
[0:48:26.00]-[0:48:28.00]  Y en el verano es fresquita.
[0:48:29.00]-[0:48:30.00]  ¿Viste, no?
[0:48:30.00]-[0:48:32.00]  Sí, se aísla de la temperatura.
[0:48:36.00]-[0:48:39.00]  ¿Y la ropa se limpiaba en una fuente?
[0:48:39.00]-[0:48:40.00]  En el barranco lavando.
[0:48:41.00]-[0:48:42.00]  En el barranco había agua.
[0:48:42.00]-[0:48:44.00]  Había una sequía. ¿Sabemos de una sequía?
[0:48:45.00]-[0:48:51.00]  Un riego de cemento y le ponen unas piedras y es el lavadero para lavar.
[0:48:52.00]-[0:48:53.00]  ¿Y las mujeres?
[0:48:53.00]-[0:48:56.00]  Sí, lavábamos y enjabonábamos y la tendíamos al sol.
[0:48:56.00]-[0:48:59.00]  No había lejía. Hoy hay lejía.
[0:48:59.00]-[0:49:03.00]  Tendíamos la ropa al sol y en cada momento la rociábamos.
[0:49:03.00]-[0:49:06.00]  Y el sol y el jabón limpiaba la ropa.
[0:49:07.00]-[0:49:08.00]  ¿Y el jabón cómo lo conseguían?
[0:49:08.00]-[0:49:13.00]  El jabón se hacía... Era azul y blanco, que le decían jabón suasto.
[0:49:15.00]-[0:49:16.00]  ¿Jabón?
[0:49:16.00]-[0:49:17.00]  Suasto.
[0:49:18.00]-[0:49:19.00]  ¿Lo compraban?
[0:49:19.00]-[0:49:23.00]  Lo compraban en barritas de jabón. ¿Sabes?
[0:49:24.00]-[0:49:28.00]  Que jabón se hace con aceite y no sé qué.
[0:49:28.00]-[0:49:30.00]  Y pistas y no sé qué.
[0:49:31.00]-[0:49:32.00]  Yo no sé.
[0:49:32.00]-[0:49:34.00]  Pues yo nunca lo había estado haciendo y lo he hecho.
[0:49:34.00]-[0:49:37.00]  Así que usted se ocupaba de la casa, de la limpieza de la ropa.
[0:49:37.00]-[0:49:38.00]  De todo.
[0:49:38.00]-[0:49:40.00]  De todo. Y además trabajaba.
[0:49:41.00]-[0:49:42.00]  ¿En qué trabajo?
[0:49:42.00]-[0:49:45.00]  En eso con mi marido, vendiendo el pescado.
[0:49:45.00]-[0:49:49.00]  Y cuando teníamos tomateros, también íbamos por la tarde a los tomateros.
[0:49:49.00]-[0:49:52.00]  Por la mañana cogíamos los tomates. Vivimos así, ni una.
[0:49:53.00]-[0:49:54.00]  Para no tener nada.
[0:49:56.00]-[0:49:58.00]  Tú me vas a decir tengo una gran casa.
[0:49:59.00]-[0:50:01.00]  Pero esta casa era vieja y la tiré.
[0:50:02.00]-[0:50:04.00]  Juntamos un dinero con mi marido, trabajaba y yo.
[0:50:05.00]-[0:50:10.00]  Mis yeños y mis hijas me la tiraron todo al suelo y me la trabajaron.
[0:50:11.00]-[0:50:12.00]  En ocho meses me la hicieron.
[0:50:12.00]-[0:50:13.00]  ¿Por qué?
[0:50:13.00]-[0:50:14.00]  Sí.
[0:50:14.00]-[0:50:15.00]  Pues está muy bien la casa.
[0:50:15.00]-[0:50:16.00]  Sí.
[0:50:16.00]-[0:50:17.00]  Sí, es una gran casa.
[0:50:18.00]-[0:50:19.00]  No tendría nada, dinero ni nada.
[0:50:20.00]-[0:50:24.00]  Y ni para decir voy a ir para tal sitio de viaje no tengo.
[0:50:24.00]-[0:50:27.00]  Pero para mi casa, disfrutar de mi casa, sí.
[0:50:28.00]-[0:50:29.00]  Sí.
[0:50:29.00]-[0:50:30.00]  Gracias.
[0:50:30.00]-[0:50:34.00]  Y en cuanto a su trabajo, ¿le parecía que las mujeres ganaban menos o...?
[0:50:35.00]-[0:50:36.00]  Ganaban la que podían.
[0:50:37.00]-[0:50:38.00]  La que podían.
[0:50:39.00]-[0:50:40.00]  ¿Los amigos?
[0:50:40.00]-[0:50:41.00]  ¿Los amigos?
[0:50:42.00]-[0:50:43.00]  Sí, las que podían.
[0:50:46.00]-[0:50:52.00]  ¿Y qué notaba? ¿Qué preocupación, por ejemplo, las preocupaciones de los jóvenes de antes eran las mismas que los de ahora?
[0:50:53.00]-[0:50:54.00]  ¿Qué nota que ha cambiado en eso?
[0:50:54.00]-[0:50:57.00]  Antes había más trabajo, ni... Habíamos menos gente.
[0:50:57.00]-[0:51:03.00]  Y donde querías, se empleaba en platanera, en la construcción, en tantas cosas.
