[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[0:34:03.00]-[0:34:06.00]  Lo tapaba con un...
[0:34:06.00]-[0:34:09.00]  Poníamos una nana tirada en el suelo y allí poníamos el niño.
[0:34:09.00]-[0:34:13.00]  Y después el niño, a la vuelta, y apalía las cocinas.
[0:34:13.00]-[0:34:15.00]  Sí, bueno, bueno.
[0:34:15.00]-[0:34:19.00]  Ahora tienen una cosa con los niños que es imposible, nada más que allí nacen ellos.
[0:34:19.00]-[0:34:21.00]  Ahora que para que se crían en oro.
[0:34:21.00]-[0:34:23.00]  Pero entonces, tiradines y allí por suelo.
[0:34:23.00]-[0:34:24.00]  Se criaron.
[0:34:24.00]-[0:34:27.00]  ¿Y si lloraba el niño, qué hacían?
[0:34:27.00]-[0:34:30.00]  Pues había que ir para allí a darle la...
[0:34:30.00]-[0:34:33.00]  De mamar.
[0:34:33.00]-[0:34:37.00]  ¿Ostras, bueno, a ti se le quería dar algo a darle de comida.
[0:34:37.00]-[0:34:45.00]  Que eran más mayorines ya, después también se le daba algo de otra cosa, pero si no, pues le daba el pecho.
[0:34:45.00]-[0:34:47.00]  ¿Le daba el pecho mucho tiempo?
[0:34:47.00]-[0:34:48.00]  Sí, sí.
[0:34:48.00]-[0:34:50.00]  ¿Usted, por ejemplo, a sus hijos?
[0:34:50.00]-[0:34:51.00]  Sí, sí, siempre.
[0:34:51.00]-[0:34:53.00]  ¿A los suyos como cuánto...
[0:34:53.00]-[0:34:56.00]  Bueno, pues un año, año y medio.
[0:34:56.00]-[0:34:58.00]  ¿Y veinte meses más?
[0:34:58.00]-[0:34:59.00]  Sí, sí.
[0:34:59.00]-[0:35:00.00]  ¿Y ustedes los suyos?
[0:35:00.00]-[0:35:01.00]  No llevo a nadie.
[0:35:01.00]-[0:35:02.00]  ¿Estas no tiene familia?
[0:35:02.00]-[0:35:03.00]  No tiene.
[0:35:03.00]-[0:35:04.00]  ¿Estas no tiene familia?
[0:35:04.00]-[0:35:05.00]  Sí, sí.
[0:35:05.00]-[0:35:08.00]  Pero yo los llevé siempre conmigo.
[0:35:08.00]-[0:35:14.00]  Hombre, algún día, a lo mejor mi madre me los tenía, pero como también ellos se trabajaban, pues no me los podían tener, nada más.
[0:35:14.00]-[0:35:23.00]  Yo siempre los llevé con las ovejas, por el invierno con buen frío, llevé los niños al cuello.
[0:35:23.00]-[0:35:35.00]  Y los llevé a arar, como lo dije, a ir a arar con las vacas, y los llevé a bassegar el pan, cuando segábamos el trigo y el centeno y todo eso.
[0:35:35.00]-[0:35:38.00]  ¿Y qué les daba?
[0:35:38.00]-[0:35:39.00]  ¿A los niños?
[0:35:39.00]-[0:35:42.00]  Cuando empezaban, después de dejar el pecho...
[0:35:42.00]-[0:35:44.00]  Bueno, pues les dábamos un poco de...
[0:35:44.00]-[0:35:45.00]  ¿De qué?
[0:35:45.00]-[0:35:51.00]  De pan, de pan, de pan, de pan, de pan.
[0:35:51.00]-[0:35:53.00]  ¿Y alguna patatina en puré?
[0:35:53.00]-[0:35:56.00]  O alguna patata con puré.
[0:35:56.00]-[0:35:59.00]  ¿Y entonces, si entonces no daban llantas por aquí?
[0:35:59.00]-[0:36:00.00]  Bueno, nosotros no...
[0:36:00.00]-[0:36:02.00]  ¿Y aquí en la playa, en el paladino, no había nada?
[0:36:02.00]-[0:36:03.00]  ¿Ví que hacían las uvas de pan?
[0:36:03.00]-[0:36:06.00]  No se sabía, por lo menos. No, no, no había entonces.
[0:36:06.00]-[0:36:12.00]  ¿Había algo de bocet de leche condensada? Había, que de otra manera no.
[0:36:12.00]-[0:36:23.00]  De leche condensada no se la di. No se la di nada más que al primero, porque no estuvo malo, pero no.
[0:36:23.00]-[0:36:27.00]  ¿A ti con harina tostada no hacían papillas?
[0:36:27.00]-[0:36:32.00]  No, no. Algo, pero poco, poco.
[0:36:32.00]-[0:36:41.00]  Después de que ya eran mayorines, se les daba el pan con un poco de chocolate, que lo comieran ellos roídos, eso.
[0:36:41.00]-[0:36:46.00]  Usted le ligó el horno una vez, así pasaba cuando estaban los guardias aquí que estuvieron aquí en el pueblo.
[0:36:46.00]-[0:36:48.00]  Y para las mujeres de los guardias que tenían...
[0:36:48.00]-[0:36:49.00]  ¿Quién te estaba en harina, verdad?
[0:36:49.00]-[0:36:52.00]  Sí, y me dijo que no te estaba en la policía la harina tostada.
[0:36:52.00]-[0:36:55.00]  Mirá, esta señorita, mirá.
[0:36:55.00]-[0:37:04.00]  Y ¿cómo eran las bodas antes? Por ejemplo, ¿ayudaban los padres o los novios a... vivían con...
[0:37:04.00]-[0:37:07.00]  Por ejemplo, ¿los novios vivían con los padres?
[0:37:07.00]-[0:37:09.00]  Siempre, hasta que se casaban, siempre.
[0:37:09.00]-[0:37:12.00]  Y luego a veces también, ¿no? En otros pueblos a veces...
[0:37:12.00]-[0:37:20.00]  Bueno, claro, a lo mejor alguna temporada porque hasta que hacían una casa, hasta que arreglaban.
[0:37:20.00]-[0:37:32.00]  Si no íbamos, hasta que hacíamos la casa íbamos para una casa vieja, la arreglábamos un poquitín y ya estábamos allí hasta que hacíamos la casa.
[0:37:32.00]-[0:37:36.00]  Y la teníamos que hacer nosotros.
[0:37:36.00]-[0:37:39.00]  Lo hacían aquí los hombres, la casa.
[0:37:39.00]-[0:37:40.00]  ¿De piedras?
[0:37:40.00]-[0:37:41.00]  De piedras.
[0:37:41.00]-[0:37:42.00]  ¿Y por adentro?
[0:37:42.00]-[0:37:43.00]  De piedras.
[0:37:43.00]-[0:37:45.00]  ¿Para dividir la casa?
[0:37:45.00]-[0:37:47.00]  Después la dividían con...
[0:37:47.00]-[0:37:48.00]  ¿De barro?
[0:37:48.00]-[0:37:49.00]  De barro.
[0:37:49.00]-[0:37:54.00]  La sacíamos, una forma de laberillo, de barro, por ahí, por los canales.
[0:37:54.00]-[0:37:55.00]  ¿Le llamaban adobes?
[0:37:55.00]-[0:37:59.00]  Sí, con paja también.
[0:37:59.00]-[0:38:00.00]  Yo ya eso ya no lo vi.
[0:38:00.00]-[0:38:01.00]  La paja ya no lo vimos.
[0:38:01.00]-[0:38:13.00]  Sí, yo sí vi paja en la casa misma que nosotros estamos, cuando fuimos nosotros, estaba los tabiques, que le llamamos tabiques, pues estaban...
[0:38:13.00]-[0:38:15.00]  Pero yo ya no los vi hacer.
[0:38:15.00]-[0:38:18.00]  Aquello ya fue lo que nosotros tiramos para hacer.
[0:38:18.00]-[0:38:20.00]  ¿Había de esos tabiques?
[0:38:20.00]-[0:38:22.00]  Sí, también la nuestra.
[0:38:22.00]-[0:38:38.00]  Había unos tabiques que estaban como si estuviera la paja enrollada y así haciendo trenza o eso, como si fuera una talega o un cesto, que están así pasando, pues así estaban...
[0:38:38.00]-[0:38:39.00]  Entrenzados.
[0:38:39.00]-[0:38:40.00]  Entrenzados.
[0:38:40.00]-[0:38:42.00]  La vi yo que estaba así entrezada.
[0:38:42.00]-[0:38:46.00]  Este por este lado, el otro por el otro, así una cosa entrezada, la paja.
[0:38:46.00]-[0:38:47.00]  Sí.
[0:38:47.00]-[0:38:48.00]  Y yo vi eso.
[0:38:48.00]-[0:39:03.00]  Yo lo vi, todavía lo vi, donde nosotros fuimos, pero nosotros ya después fue lo que tiramos y ya hicimos nosotros unos tabiques de barro, de barro se hacían, de barro.
[0:39:03.00]-[0:39:09.00]  Eran aquellos aloves, eran de barro.
[0:39:09.00]-[0:39:16.00]  ¿Y entonces la familia ayudaba o por ejemplo con muebles o con dinero o...?
[0:39:16.00]-[0:39:17.00]  ¿Cuando se casaba o no?
[0:39:17.00]-[0:39:19.00]  Sí.
[0:39:19.00]-[0:39:21.00]  Con lo que teníamos entonces.
[0:39:21.00]-[0:39:23.00]  Con el dinero, no había dinero.
[0:39:23.00]-[0:39:24.00]  Algo de dinero.
[0:39:24.00]-[0:39:26.00]  Mira, ¿sabes lo que daban a sus novios?
[0:39:26.00]-[0:39:38.00]  Una poca de lana de las ovejas, un billón, y la madrina les regalaba un pañuelo de estos para la careta, más que un poco más bajo, y yo no sé lo que le daban.
[0:39:38.00]-[0:39:40.00]  Bueno, yo pues cada uno daba nada, ¿eh?
[0:39:40.00]-[0:39:41.00]  A lo mejor...
[0:39:41.00]-[0:39:48.00]  A lo mejor no era nada, pues alguno te daba unos platos, otro te daba unos cubiertos, otro te daba unas cucharas, o...
[0:39:48.00]-[0:39:53.00]  No, nada, total aquello no era nada.
[0:39:53.00]-[0:40:00.00]  ¿Los novios cuando se casaban tenían algún traje tradicional, especial o...?
[0:40:00.00]-[0:40:04.00]  Ah, pues mucha cuadrilla.
[0:40:04.00]-[0:40:05.00]  Sí.
[0:40:05.00]-[0:40:12.00]  Bueno, pues los novios, el hombre llevaba un traje, bueno, chaqueta y pantalón.
[0:40:12.00]-[0:40:13.00]  Lo que podían.
[0:40:13.00]-[0:40:17.00]  Y las mujeres llevábamos un manteo.
[0:40:17.00]-[0:40:20.00]  ¿Y no saben a ellas lo que es eso o qué?
[0:40:20.00]-[0:40:22.00]  No.
[0:40:22.00]-[0:40:23.00]  ¿No saben lo que son manteos?
[0:40:23.00]-[0:40:27.00]  Sí, que los hay visto en la tele, cuando hay bailes de esos regionales.
[0:40:27.00]-[0:40:36.00]  ¿A que los hay visto que tenían unos pañuelos que le llamábamos de ramo de seda, con flores así por atrás, tendidos, largos hasta atrás?
[0:40:36.00]-[0:40:37.00]  Como unos...
[0:40:37.00]-[0:40:39.00]  Tal día de la boda, sí.
[0:40:39.00]-[0:40:43.00]  Tal día de la boda llevaban, la novia llevaba eso, un pañuelo de esos.
[0:40:43.00]-[0:40:50.00]  Que los he visto yo aquí en Astorga mismo, he visto yo esos bailes tradicionales de maragatos y de todos.
[0:40:50.00]-[0:41:00.00]  Y que también los habéis visto vosotros, de esos pañuelos largos, tendidos, que los tendían, los ponían así y los tendían por allá abajo, por atrás.
[0:41:00.00]-[0:41:02.00]  ¿Y eso se regalaba en la boda o...?
[0:41:02.00]-[0:41:16.00]  No, no, eso ya era, que los que tenían ellas, entonces había esos trajes para los días de fiestas más mayores, como el día de corpos, el día de la ascensión, que entonces se celebraba mucho aquí.
[0:41:16.00]-[0:41:20.00]  Entonces poníamos esos pañuelos. Y pues el día de la boda también.
[0:41:20.00]-[0:41:26.00]  Y en la boda la novia llevaba esos pañuelos y el novio ya llevaba un...
[0:41:26.00]-[0:41:31.00]  Pues claro, unos pantalones y una chaqueta, más buenos o más malos como pasa ahora, pero...
[0:41:31.00]-[0:41:36.00]  Los hombres igual que ahora, mejores o peores que eran, pero bueno, no...
[0:41:36.00]-[0:41:43.00]  Si vosotros lo contáis por ahí a otras personas, no lo creen, dicen que, ¡ay, pues qué fuentes vos contaron a aquella gente!
[0:41:43.00]-[0:41:46.00]  No, si fuéramos a contárselos todos, estábamos apañados.
[0:41:46.00]-[0:41:49.00]  Como son fuentes, como que no se hacían las medidas.
[0:41:49.00]-[0:41:57.00]  De eso a lo que pasamos, no nos contamos nada. De todo lo mal que se estaba por aquí.
[0:41:57.00]-[0:41:59.00]  ¿Y no había anillos, claro, en la boda?
[0:41:59.00]-[0:42:00.00]  Sí, hombre.
[0:42:00.00]-[0:42:01.00]  ¿Ah, sí?
[0:42:01.00]-[0:42:03.00]  Hombre, para la boda sí, anillos.
[0:42:03.00]-[0:42:04.00]  ¿Pero propios?
[0:42:04.00]-[0:42:05.00]  Entonces, ¿cómo no?
[0:42:05.00]-[0:42:07.00]  Ah, no sé, pero si vienes hasta las treta.
[0:42:07.00]-[0:42:10.00]  ¿Y que para la boda mataban una pernera?
[0:42:10.00]-[0:42:14.00]  ¿Qué era? ¿Qué pasaba ahí? ¿Mataban una pernera para comer?
[0:42:14.00]-[0:42:16.00]  O purveiros, o los otros...
[0:42:16.00]-[0:42:17.00]  ¿Anillos y jarras?
[0:42:17.00]-[0:42:19.00]  Unos anillos que había que hacer.
[0:42:19.00]-[0:42:22.00]  Bueno, yo qué sé, unos anillos que hubiera.
[0:42:22.00]-[0:42:24.00]  ¿Se dían de plata?
[0:42:24.00]-[0:42:25.00]  Una pesata de plata.
[0:42:25.00]-[0:42:27.00]  ¿De plata? ¿Eran de plata los anillos?
[0:42:27.00]-[0:42:29.00]  Pues así, un anillo.
[0:42:32.00]-[0:42:36.00]  ¿No valían 40 millones, 80 millones como ahora? No.
[0:42:36.00]-[0:42:38.00]  No, yo me imagino.
[0:42:38.00]-[0:42:42.00]  Ah, Dios mío, qué cuentos vos contamos, ¿verdad?
[0:42:42.00]-[0:42:43.00]  ¿De dónde eres tú?
[0:42:43.00]-[0:42:44.00]  ¿Yo?
[0:42:44.00]-[0:42:45.00]  Sí.
[0:42:45.00]-[0:42:46.00]  De Mallorca.
[0:42:46.00]-[0:42:49.00]  Ah, pero tampoco eres de la península entonces.
[0:42:49.00]-[0:42:51.00]  Bueno, pero llevo muchos años en Madrid.
[0:42:51.00]-[0:42:52.00]  Ah, ya llevas en Madrid.
[0:42:52.00]-[0:42:53.00]  Sí.
[0:42:53.00]-[0:42:55.00]  ¿De dónde vivís, en Madrid?
[0:42:55.00]-[0:42:58.00]  Pues, por el centro más o menos.
[0:42:58.00]-[0:43:00.00]  Ah, más por el centro.
[0:43:02.00]-[0:43:04.00]  Porque yo tengo dos hijos aquí en Madrid.
[0:43:04.00]-[0:43:05.00]  ¿Sí?
[0:43:05.00]-[0:43:06.00]  ¿Sus hijos están en Madrid?
[0:43:06.00]-[0:43:08.00]  Sí.
[0:43:08.00]-[0:43:10.00]  Ya que están bien colocados entonces.
[0:43:10.00]-[0:43:20.00]  Bueno, bien colocados, pero bueno, van viviendo, van viviendo maldizamente, pero bueno, se defienden.
[0:43:20.00]-[0:43:25.00]  No es que sean ricos ni nada, pero bueno, que tengan salud que es lo principal.
[0:43:25.00]-[0:43:26.00]  ¿Vienen?
[0:43:26.00]-[0:43:28.00]  Ah, los hijos.
[0:43:28.00]-[0:43:31.00]  ¿Vienen a menudo visitar a...
[0:43:31.00]-[0:43:32.00]  ¿Qué dice?
[0:43:32.00]-[0:43:35.00]  Si vienen a menudo visitar a este pueblo.
[0:43:35.00]-[0:43:37.00]  Vienen por el verano, siempre vienen.
[0:43:37.00]-[0:43:38.00]  El mes de agosto.
[0:43:38.00]-[0:43:39.00]  El mes de agosto vienen.
[0:43:39.00]-[0:43:43.00]  Y ahora por Semana Santa también vienen.
[0:43:43.00]-[0:43:44.00]  ¿Y usted los tuvo en casa?
[0:43:44.00]-[0:43:45.00]  ¿Quién?
[0:43:45.00]-[0:43:46.00]  Los hijos.
[0:43:46.00]-[0:43:47.00]  Sus hijos.
[0:43:47.00]-[0:43:49.00]  ¿Sólo son los hijos?
[0:43:49.00]-[0:43:52.00]  Sí, los baterías que no están, pero también ha sido alguno en el campo.
[0:43:52.00]-[0:43:54.00]  ¿En el campo?
[0:43:54.00]-[0:43:55.00]  ¿Los que los hijos?
[0:43:55.00]-[0:43:57.00]  No, pero dice a ver si venían.
[0:43:57.00]-[0:43:58.00]  No, no.
[0:43:58.00]-[0:43:59.00]  A ver si nacieron.
[0:43:59.00]-[0:44:00.00]  Ah, nacer.
[0:44:00.00]-[0:44:01.00]  No también para suscitar.
[0:44:01.00]-[0:44:02.00]  Nacer, nací en mi casa todo.
[0:44:02.00]-[0:44:06.00]  Uy, estaba bueno para el hospital, entonces no iba nadie para el hospital.
[0:44:06.00]-[0:44:07.00]  ¿Qué iba?
[0:44:07.00]-[0:44:08.00]  Todo lo hacían en casa.
[0:44:08.00]-[0:44:14.00]  Y estaban algunas mujeres cenando el pan y allá se entiende que se ha venido la hora
[0:44:14.00]-[0:44:18.00]  del taco y venían corriendo para casa y en el verano la familia ya quedaba en el campo.
[0:44:18.00]-[0:44:19.00]  Ay, por Dios.
[0:44:19.00]-[0:44:20.00]  A mí no le pasó a mi hermana.
[0:44:20.00]-[0:44:21.00]  ¿A su hermana?
[0:44:21.00]-[0:44:24.00]  A mi hermana no le pasó nada.
[0:44:24.00]-[0:44:27.00]  Cuando llegó a casa sola, estaba en un concierto.
[0:44:27.00]-[0:44:30.00]  Cuando llegó a casa sola, ya no podía llegar a casa.
[0:44:30.00]-[0:44:34.00]  Y cuando llegó a casa, apenas abrió la puerta y cayó un niño en casa.
[0:44:34.00]-[0:44:35.00]  Ah, bueno, bueno, pero bueno, llegó a casa.
[0:44:35.00]-[0:44:36.00]  Bueno, pero eso es un caso raro.
[0:44:36.00]-[0:44:37.00]  Bueno, bueno, pero fue así.
[0:44:37.00]-[0:44:39.00]  Bueno, bueno, los niños nacían en casa, sí.
[0:44:39.00]-[0:44:44.00]  Eso también ahora a lo mejor están en el campo y le pueden nacer en el campo alguna
[0:44:44.00]-[0:44:47.00]  que vaya de paseo, ¿verdad que no sé?
[0:44:47.00]-[0:44:48.00]  Pues sí.
[0:44:48.00]-[0:44:49.00]  Pero…
[0:44:49.00]-[0:44:50.00]  Pero están vigiladas los primeros días.
[0:44:50.00]-[0:44:55.00]  Pero sí, claro que están vigiladas, pero también le dicen los médicos que van a tener
[0:44:55.00]-[0:44:58.00]  mañana y a lo mejor tardan ocho días o a lo mejor está al revés.
[0:44:58.00]-[0:45:03.00]  Le dicen que tardan ocho días y le vienen más pronto de lo que lo esperan, ¿verdad que
[0:45:03.00]-[0:45:04.00]  sí?
[0:45:04.00]-[0:45:05.00]  No.
[0:45:05.00]-[0:45:07.00]  ¿Y os quedan muchos jóvenes por aquí en el pueblo?
[0:45:07.00]-[0:45:08.00]  No, no, aquí no hay nada.
[0:45:08.00]-[0:45:09.00]  Aquí no hay casi.
[0:45:09.00]-[0:45:10.00]  Aquí no.
[0:45:10.00]-[0:45:11.00]  ¿Y ustedes vosotros qué sois?
[0:45:11.00]-[0:45:12.00]  ¿De también de España o no?
[0:45:12.00]-[0:45:13.00]  No, nosotros somos de Canadá.
[0:45:13.00]-[0:45:14.00]  ¿De Canadá?
[0:45:14.00]-[0:45:15.00]  Sí, pero hemos venido porque trabajo con mi colega.
[0:45:15.00]-[0:45:16.00]  ¿Vosotros de Canadá?
[0:45:16.00]-[0:45:17.00]  Sí.
[0:45:17.00]-[0:45:18.00]  Anda, ¿y cómo venisteis tan lejos?
[0:45:18.00]-[0:45:19.00]  De Canadá, pues somos de mi vida.
[0:45:19.00]-[0:45:20.00]  Andale.
[0:45:20.00]-[0:45:21.00]  Eran de Canadá, pero eso es…
[0:45:21.00]-[0:45:22.00]  Pero sois de Canadá mismo.
[0:45:22.00]-[0:45:23.00]  Sí, sí, sí.
[0:45:23.00]-[0:45:24.00]  ¿Y vosotros de Canadá?
[0:45:24.00]-[0:45:25.00]  Sí, sí, sí.
[0:45:25.00]-[0:45:28.00]  Yo los dos mis hijos estuvieron en Canadá.
[0:45:28.00]-[0:45:33.00]  Mis hijos estuvieron en Canadá los dos, que tengo un Madrid ahora.
[0:45:33.00]-[0:45:34.00]  Así que yo…
[0:45:34.00]-[0:45:39.00]  Pues eso es, vamos a decir en Canadá, porque me llamó la atención.
[0:45:39.00]-[0:45:41.00]  ¿Y cómo hacían en Canadá?
[0:45:41.00]-[0:45:42.00]  Ah, pues trabajaban por allí.
[0:45:42.00]-[0:45:49.00]  No sé, uno era carnicero, todo el tiempo ha sido carnicero, ya antes de ir para Canadá
[0:45:49.00]-[0:45:52.00]  y en Canadá y aquí todo ha estado carnicero.
[0:45:52.00]-[0:45:55.00]  Pero el otro no sé en qué trabajó.
[0:45:55.00]-[0:45:58.00]  Pero ahora está haciendo un bar.
[0:45:58.00]-[0:46:01.00]  Sí, tiene un bar, pero bueno, bueno que no…
[0:46:01.00]-[0:46:02.00]  Y volvieron.
[0:46:02.00]-[0:46:04.00]  Sí, volvieron, volvieron a España.
[0:46:04.00]-[0:46:11.00]  ¿No eran de Canadá esos que a su señor traen ese día?
[0:46:11.00]-[0:46:12.00]  ¿A dónde?
[0:46:12.00]-[0:46:13.00]  Ayer, ayer en…
[0:46:13.00]-[0:46:14.00]  ¿A dónde?
[0:46:14.00]-[0:46:15.00]  ¿Eh?
[0:46:15.00]-[0:46:16.00]  Y dos niños que tienen ese…
[0:46:16.00]-[0:46:22.00]  Que estaban en Canadá.
[0:46:22.00]-[0:46:25.00]  Sí, los mis nietos son de Canadá.
[0:46:25.00]-[0:46:38.00]  Uno vino a casar aquí y marchó para allí, y después tuvo dos hijos y los dos son de Canadá.
[0:46:38.00]-[0:46:41.00]  Vaya, están aquí, pero son de Canadá.
[0:46:41.00]-[0:46:42.00]  ¿Nacieron allí?
[0:46:42.00]-[0:46:43.00]  Nacieron allí.
[0:46:43.00]-[0:46:44.00]  Son de ahí.
[0:46:44.00]-[0:46:47.00]  O sea que tienen pasaporte canadiense y todo.
[0:46:47.00]-[0:46:49.00]  Ay, yo no sé si tienen pasaporte…
[0:46:49.00]-[0:46:52.00]  Nacionalidad, digo. ¿Son españoles o canadienses?
[0:46:52.00]-[0:46:53.00]  No, no, ellos tienen la…
[0:46:53.00]-[0:46:54.00]  ¿Nacieron allí en Canadá?
[0:46:54.00]-[0:46:58.00]  Nacieron aquí, pero no, no, ahora ellos son españoles porque ya llevan mucho tiempo.
[0:46:58.00]-[0:47:04.00]  Ya llevan a lo mejor más de 20 años aquí esos chicos.
[0:47:04.00]-[0:47:11.00]  Esos mis nietos ya tendrán más de 20 años aquí.
[0:47:11.00]-[0:47:16.00]  Cuando vinieron eran unos niños, pero ahora ya no son.
[0:47:16.00]-[0:47:20.00]  Llevan más de 20 años porque ya se va a casar la…
[0:47:20.00]-[0:47:23.00]  Bueno, bueno, bueno, pero…
[0:47:23.00]-[0:47:25.00]  Y entonces…
[0:47:25.00]-[0:47:26.00]  Ya eran unos chavalines.
[0:47:26.00]-[0:47:28.00]  Eran unos chavalines, ¿no?
[0:47:28.00]-[0:47:30.00]  Pequeños, cuando vinieron.
[0:47:30.00]-[0:47:33.00]  Lo que pasa es que nunca habían hablado español y ahora ya no hablan.
[0:47:33.00]-[0:47:35.00]  Bueno.
[0:47:35.00]-[0:47:39.00]  Ahora no sabrán ya el inglés porque se olvidaría.
[0:47:39.00]-[0:47:48.00]  Porque allí en Canadá hablan el inglés, ¿verdad?
[0:47:48.00]-[0:47:49.00]  Bueno, pues ya os hemos contado.
[0:47:49.00]-[0:47:50.00]  No, no, que va.
[0:47:50.00]-[0:47:51.00]  Ya os hemos contado bastantes cuentos.
[0:47:51.00]-[0:47:52.00]  No, no, era un interés.
[0:47:52.00]-[0:47:54.00]  Bastantes cuentos os hemos contado ya.
[0:47:54.00]-[0:47:58.00]  No, sabíamos muy pocas, así que necesitábamos esas mismas cosas.
[0:47:58.00]-[0:48:02.00]  Me interesa también si había médico aquí en el pueblo, si vivía aquí o…
[0:48:02.00]-[0:48:05.00]  Bueno, pues sí, médico hay viejos.
[0:48:05.00]-[0:48:09.00]  Todo el tiempo había, ¿no? Ahora es cuando no lo hay.
[0:48:09.00]-[0:48:11.00]  Entonces sí.
[0:48:11.00]-[0:48:12.00]  Estaban aquí, y no…
[0:48:12.00]-[0:48:18.00]  Hombre, a lo mejor cuando éramos nosotros unas chavalas, pero después ya hubo médicos por aquí, hombre, ya estuvieron…
[0:48:18.00]-[0:48:20.00]  Pero venían un día a la semana.
[0:48:20.00]-[0:48:21.00]  No, señor.
[0:48:21.00]-[0:48:23.00]  Que estaban aquí viviendo, hombre.
[0:48:23.00]-[0:48:26.00]  Lo que no están ahora, que vienen desde León y desde Zorga.
[0:48:26.00]-[0:48:36.00]  Y estuvo don Juan, aquí en esta casa de… estuvo don Juan, y la casa de…
[0:48:36.00]-[0:48:41.00]  Estuvo viviendo aquí, y estuvo otro don Juan, ahí donde también viviendo aquí.
[0:48:41.00]-[0:48:48.00]  Y estuvo don Juan viviendo allá arriba con… o en Dalío.
[0:48:48.00]-[0:48:52.00]  No me digas que… ¿dónde se estuvieron? Lo que no están es ahora.
[0:48:52.00]-[0:48:53.00]  ¿Y había Iguala?
[0:48:53.00]-[0:48:54.00]  Sí, sí.
[0:48:54.00]-[0:48:55.00]  ¿Había Iguala aquí?
[0:48:55.00]-[0:48:59.00]  Entonces sí. Le pagábamos… no sé.
[0:48:59.00]-[0:49:00.00]  ¿Dinero o…?
[0:49:00.00]-[0:49:03.00]  Dinero, dinero. Le pagábamos al mes.
[0:49:03.00]-[0:49:04.00]  ¿Los pesetas o…?
[0:49:04.00]-[0:49:05.00]  Bueno, lo que fuera, yo no me acuerdo.
[0:49:05.00]-[0:49:07.00]  Porque entonces los pesetas eran mucho dinero.
[0:49:07.00]-[0:49:14.00]  Yo no sé lo que le pagábamos, pero sí era Iguala, era. No es como ahora, que ahora no.
[0:49:14.00]-[0:49:18.00]  ¿Y Iguala quién? ¿O qué era?
[0:49:18.00]-[0:49:23.00]  Bueno, pues le pagábamos tanto al mes. Lo que… lo que tuviera que pagar.
[0:49:23.00]-[0:49:25.00]  ¿Pero llegaron a venirse dos?
[0:49:25.00]-[0:49:31.00]  Sí. Había gente que no querían venirse porque le costaba… le partía caro o lo que fuera.
[0:49:31.00]-[0:49:33.00]  Porque no, no. No tenían los pesetas para pagar al médico.
[0:49:33.00]-[0:49:36.00]  Y no querían venirse, pero yo siempre estuvimos al mes.
[0:49:36.00]-[0:49:38.00]  ¿No teníamos médico que estaba haciendo eso?
[0:49:38.00]-[0:49:39.00]  ¿Pero eso que siempre hubo médicos?
[0:49:39.00]-[0:49:41.00]  Sí, siempre, siempre. Cuando…
[0:49:41.00]-[0:49:43.00]  Lo digo, era pequeña antes de que viniera.
[0:49:43.00]-[0:49:45.00]  Estaba en Filiel.
[0:49:45.00]-[0:49:46.00]  Estaba en Filiel.
[0:49:46.00]-[0:49:50.00]  Pero después de que se murió don Juan, ya vinieron para aquí médicos.
[0:49:50.00]-[0:49:55.00]  Siempre hubo médicos, porque él mismo estuvo muchos años.
[0:49:55.00]-[0:49:57.00]  Estuvieron algún tiempo, pero…
[0:49:57.00]-[0:50:02.00]  Y estuvo otro que se llamaba… ese don… que estaba en Astorga.
[0:50:02.00]-[0:50:05.00]  Ese don también estuvo unos cuantos años.
[0:50:05.00]-[0:50:10.00]  Y otro que hubo allá en casa de… que no sé qué era…
[0:50:10.00]-[0:50:12.00]  ¿Aquí era de la Pascua?
[0:50:12.00]-[0:50:15.00]  Que era de la Pascua o lo que fuera, también estuvo.
[0:50:15.00]-[0:50:17.00]  Otro moro también estuvo.
[0:50:17.00]-[0:50:21.00]  Otro que se llamaba don Juan, ahí estuvo en casa de…
[0:50:21.00]-[0:50:25.00]  Este don Juan, doña Pascua, también estuvo unos cuantos años.
[0:50:25.00]-[0:50:26.00]  ¿Por eso que…?
[0:50:26.00]-[0:50:27.00]  ¿Estaban dos o tres años?
[0:50:27.00]-[0:50:30.00]  Bueno, bueno, pero todo el tiempo hubo médicos.
[0:50:30.00]-[0:50:34.00]  De verdad que yo me acuerdo, todo el tiempo hubo médicos aquí en el pueblo.
[0:50:34.00]-[0:50:37.00]  Ahora ya no, ahora no están.
[0:50:37.00]-[0:50:40.00]  Ahora vienen todos los días.
[0:50:40.00]-[0:50:41.00]  ¿Cuántos días?
[0:50:41.00]-[0:50:43.00]  Todos los días vienen para la consulta.
[0:50:43.00]-[0:50:45.00]  Tenemos ahí, allá.
[0:50:45.00]-[0:50:47.00]  ¿Y cuándo se marcharon?
[0:50:47.00]-[0:50:50.00]  ¿Quién? ¿El médico?
[0:50:50.00]-[0:50:51.00]  Yo no sé cuándo marcharon.
[0:50:51.00]-[0:50:53.00]  ¿O este José médico?
[0:50:53.00]-[0:50:56.00]  Médicos… no sé cuándo se marcharon.
[0:50:56.00]-[0:50:59.00]  Ahora vienen todos los días.
[0:50:59.00]-[0:51:04.00]  Los martes y viernes vienen aquí a la consulta.
