[0:00:00.00]-[0:00:01.00]  ¡Llamo!
[0:43:59.00]-[0:44:02.00]  Todo está acabado aquí.
[0:44:02.00]-[0:44:05.00]  Aquí hoy no hay nada, pero nada de nada.
[0:44:05.00]-[0:44:08.00]  Aquí si un día, no siempre lo digo,
[0:44:08.00]-[0:44:11.00]  si un día para de venir el camión de la harina que va a ir al murno que hay arriba,
[0:44:11.00]-[0:44:12.00]  morimos de hambre.
[0:44:12.00]-[0:44:14.00]  No hay nada aquí.
[0:44:14.00]-[0:44:15.00]  Morimos.
[0:44:15.00]-[0:44:18.00]  Se puede morir muy fácil de hambre.
[0:44:18.00]-[0:44:21.00]  Y ahora ya veis que, no sé si estáis en eso,
[0:44:21.00]-[0:44:24.00]  pero esta zona no, pero ahí por Galicia ardió todo.
[0:44:24.00]-[0:44:27.00]  No sé si sabéis esa historia,
[0:44:27.00]-[0:44:30.00]  pero ardieron casas y ardió gente, porque la plantan.
[0:44:30.00]-[0:44:32.00]  Eso no arde el sol.
[0:44:32.00]-[0:44:34.00]  Aquí en Galicia, que lo veo del cuento,
[0:44:34.00]-[0:44:36.00]  queda un cristal que había el sol,
[0:44:36.00]-[0:44:38.00]  eso no pasa aquí, aquí no arde con eso.
[0:44:38.00]-[0:44:40.00]  Aquí le plantan fuego, además, al parecer, en cinco o seis sitios.
[0:44:40.00]-[0:44:41.00]  Aquí, allí, allí.
[0:44:41.00]-[0:44:43.00]  Ni un rayo planta fuego en Galicia.
[0:44:43.00]-[0:44:46.00]  Un rayo seca un eucalipto que se los pasa directo ahí.
[0:44:46.00]-[0:44:49.00]  Ese árbol que ves ahí grande, que fue el eucalipto,
[0:44:49.00]-[0:44:51.00]  ahí arriba en el monte, que tiene cimojas.
[0:44:51.00]-[0:44:53.00]  Nos sacó un rayo, pero no ardió nada.
[0:44:53.00]-[0:44:55.00]  Y esta árboreante se seca, pero no arde.
[0:44:55.00]-[0:44:57.00]  No planta fuego en el monte.
[0:44:57.00]-[0:44:58.00]  Eso lo dice uno.
[0:44:58.00]-[0:45:01.00]  Ahí aparecía un foco de fuego en cinco o seis sitios,
[0:45:01.00]-[0:45:03.00]  y aparecía todo.
[0:45:03.00]-[0:45:06.00]  No es tontería, no sé qué intereses hay en eso.
[0:45:06.00]-[0:45:10.00]  No sé qué intereses hay en eso, porque beneficiar,
[0:45:10.00]-[0:45:13.00]  beneficiar será para poner mal a la gente.
[0:45:13.00]-[0:45:15.00]  Será para eso, no sé por qué.
[0:45:15.00]-[0:45:18.00]  Pues ahora viene lo que van a regenerar,
[0:45:18.00]-[0:45:19.00]  que todo es un panto.
[0:45:19.00]-[0:45:22.00]  Van a regenerar porque los montes quedan en la ceniza,
[0:45:22.00]-[0:45:24.00]  que bajan las ríes, que matan al marisco,
[0:45:24.00]-[0:45:26.00]  que matan al pescado, que matan al salmón.
[0:45:26.00]-[0:45:27.00]  Abuelo.
[0:45:27.00]-[0:45:28.00]  ¿Qué? ¿Quién es quién?
[0:45:28.00]-[0:45:29.00]  No soy uno.
[0:45:29.00]-[0:45:30.00]  ¿Tienes uno?
[0:45:30.00]-[0:45:31.00]  Bueno.
[0:45:34.00]-[0:45:35.00]  ¿Tienes uno?
[0:45:35.00]-[0:45:37.00]  Chama a llamar a ver qué te voy a buscar, ¿cieras?
[0:45:37.00]-[0:45:39.00]  A ver qué se voy a llamar a mamá.
[0:45:39.00]-[0:45:40.00]  No, yo no.
[0:45:40.00]-[0:45:41.00]  ¿No?
[0:45:41.00]-[0:45:42.00]  ¿No se llama?
[0:45:42.00]-[0:45:43.00]  No.
[0:45:43.00]-[0:45:45.00]  Ya yo soy uno, claro.
[0:45:45.00]-[0:45:47.00]  Es menos mal que sea sexy cada día.
[0:45:49.00]-[0:45:52.00]  Y luego nos ha dicho, su padre se dedicó a los cultivos de granado.
[0:45:52.00]-[0:45:54.00]  ¿Y su madre a qué se dedicaba?
[0:45:54.00]-[0:45:56.00]  La casa iba al terreno también.
[0:45:56.00]-[0:45:57.00]  El hacerlo de la casa más era el terreno.
[0:45:57.00]-[0:45:59.00]  Cuando había que coger maíz, ahí iba todo el mundo.
[0:45:59.00]-[0:46:00.00]  También.
[0:46:00.00]-[0:46:01.00]  Y grandes, viejos y mayores.
[0:46:01.00]-[0:46:02.00]  ¿El cultivo se dedicaba a eso?
[0:46:02.00]-[0:46:03.00]  Sí, sí, sí, claro.
[0:46:04.00]-[0:46:06.00]  ¿Y su madre, por ejemplo, o sea, hacía pan en casa?
[0:46:06.00]-[0:46:08.00]  Sí, sí, sí, hacía pan en casa.
[0:46:08.00]-[0:46:10.00]  Todas las casas, todas las casas se hacían pan en casa.
[0:46:10.00]-[0:46:11.00]  Sí.
[0:46:11.00]-[0:46:14.00]  Aquí, pan, una casa, antes no se compraba nada.
[0:46:15.00]-[0:46:18.00]  Se hacía en casa el pan, se hacía una boya para el momento,
[0:46:18.00]-[0:46:21.00]  pero más, un poco más delgadita, que salía calentita,
[0:46:21.00]-[0:46:23.00]  no sabía aquello, la gloria.
[0:46:25.00]-[0:46:28.00]  Y ha hablado antes de la tuberculina de las vagas, ¿o sea?
[0:46:28.00]-[0:46:31.00]  Sí, esos saneamientos que los hacen a un hoy, ¿eh?
[0:46:31.00]-[0:46:32.00]  Sí, sí.
[0:46:32.00]-[0:46:35.00]  Pero ahora ya va un poquito de eso más, pero al principio,
[0:46:35.00]-[0:46:38.00]  arrasaron con cuadas enteras.
[0:46:38.00]-[0:46:41.00]  ¿Y en su época hubo tuberculosis?
[0:46:41.00]-[0:46:45.00]  Ni gente, poca ya, pero antes murió mucha gente.
[0:46:45.00]-[0:46:48.00]  En la casa que entraban, se salvaban pocos.
[0:46:48.00]-[0:46:51.00]  Pero ya en mi época ya no muría mucha gente.
[0:46:51.00]-[0:46:54.00]  Podía haber un caso, pero también lo puede haber hoy,
[0:46:54.00]-[0:46:58.00]  pero uno es que antes, y yo me tiene dicho que
[0:46:58.00]-[0:47:01.00]  murió mucha gente en la casa que se enfermaba uno,
[0:47:01.00]-[0:47:02.00]  casi enfermaban todos.
[0:47:03.00]-[0:47:06.00]  Sí, porque eso saltaba, no había tratamiento para eso,
[0:47:06.00]-[0:47:08.00]  y claro.
[0:47:09.00]-[0:47:12.00]  ¿Y qué recuerdo tiene del médico del pueblo?
[0:47:12.00]-[0:47:15.00]  Había que un médico, que no sería muy bueno,
[0:47:15.00]-[0:47:18.00]  para mí estaba sacando la muela, la recetivo,
[0:47:18.00]-[0:47:21.00]  no tenía muita fuerza, pero iba sacando.
[0:47:21.00]-[0:47:24.00]  Y era médico, no era de seguro, era médico que
[0:47:24.00]-[0:47:28.00]  le pagaban un solo mes, le pagaban en las casas,
[0:47:28.00]-[0:47:30.00]  no me acuerdo cómo lo llamaba aquello,
[0:47:30.00]-[0:47:32.00]  bueno, le pagaban una cantidad de dinero,
[0:47:32.00]-[0:47:35.00]  ibas allí, no te costaba nada, pero le pagaban un solo mes.
[0:47:35.00]-[0:47:38.00]  Es una cuota para que te atendía.
[0:47:38.00]-[0:47:41.00]  Y vivía ahí la feria, y después se fue,
[0:47:41.00]-[0:47:43.00]  porque eso ya se pasó a otras cosas,
[0:47:43.00]-[0:47:45.00]  se adñaron los centros, se adñaron...
[0:47:45.00]-[0:47:47.00]  Y era lo que había.
[0:47:47.00]-[0:47:51.00]  ¿Y qué medicamentos utilizaban en la época, si había?
[0:47:51.00]-[0:47:54.00]  Ficando todo penicilina, penicilina de afeito.
[0:47:54.00]-[0:47:57.00]  Y de otros medicamentos, supongo, una aspirina,
[0:47:57.00]-[0:48:01.00]  una manzanilla, y más nada.
[0:48:01.00]-[0:48:05.00]  ¿Y recuerda algún remedio casero que hiciera su madre, por ejemplo?
[0:48:05.00]-[0:48:06.00]  Claro.
[0:48:06.00]-[0:48:11.00]  Yo cuando tenía 14 años,
[0:48:11.00]-[0:48:14.00]  de pequeño siempre me dolía mucho la cabeza,
[0:48:14.00]-[0:48:16.00]  no sé si era la vista, si miraba nada, si era...
[0:48:16.00]-[0:48:17.00]  Bueno, ya.
[0:48:17.00]-[0:48:20.00]  Pero bueno, a los 15 años, ya venía para casa,
[0:48:20.00]-[0:48:23.00]  y venía a la escuela por las tardes,
[0:48:23.00]-[0:48:25.00]  siempre me dolía la cabeza, siempre me dolía la cabeza.
[0:48:25.00]-[0:48:27.00]  Pa' acá, tampoco, pero ya.
[0:48:27.00]-[0:48:31.00]  Por las tardes siempre me dolía la cabeza, siempre me dolía la cabeza.
[0:48:31.00]-[0:48:34.00]  Pa' acá, tampoco, una aspirina, pa' acá.
[0:48:34.00]-[0:48:38.00]  Después, cuando era noche, a lo mejor yo con mi madre allí miraba,
[0:48:38.00]-[0:48:41.00]  y decía, ¿qué, vas a querer cenar? ¿Vas a querer cenar?
[0:48:41.00]-[0:48:45.00]  No, no, para un día me dolía muchísimo la cabeza.
[0:48:45.00]-[0:48:47.00]  Me dolía muchísimo.
[0:48:47.00]-[0:48:50.00]  Mi madre le encendía la luz, un bombillo de dos había.
[0:48:50.00]-[0:48:54.00]  No encendía la luz, que me duele, muchas veces no encendía la luz.
[0:48:54.00]-[0:48:57.00]  Y ya tenía todo esto inflamado.
[0:48:57.00]-[0:49:03.00]  Por aquí, que no... Bueno, se trajo un médico.
[0:49:03.00]-[0:49:06.00]  Vino el médico, y ¿qué era?
[0:49:06.00]-[0:49:10.00]  Ex-servicón enseguida, para Perrón, que tiene sinusitis.
[0:49:10.00]-[0:49:13.00]  Sinusitis que... que estuvo aquí,
[0:49:13.00]-[0:49:15.00]  porque si no miraba primero, seguramente no pasaba nada,
[0:49:15.00]-[0:49:17.00]  pero se me puso aquí, me apelaron por aquí,
[0:49:17.00]-[0:49:19.00]  que todavía tenía aquí unas portadas.
[0:49:19.00]-[0:49:21.00]  Pero si te fijas, por aquí me levantaron todo esto,
[0:49:21.00]-[0:49:25.00]  aquí me resbalan el hueso, que desde aquel momento la cabeza no volvió a volver.
[0:49:25.00]-[0:49:28.00]  Un doctor, un billar, que había en Perrón,
[0:49:28.00]-[0:49:32.00]  que tenía la rigola, y era un de estos, de...
[0:49:32.00]-[0:49:34.00]  ¿Te operaron de sinusitis?
[0:49:34.00]-[0:49:36.00]  Sí, sí, sí. Tenía 14 años.
[0:49:36.00]-[0:49:38.00]  Pensé que moría.
[0:49:38.00]-[0:49:40.00]  Me puso todo esto que no miraba.
[0:49:40.00]-[0:49:42.00]  Me iniciaba inflamado, que me puso una infección.
[0:49:42.00]-[0:49:44.00]  Sinusitis es una infección.
[0:49:44.00]-[0:49:46.00]  Y se te puede pasar, sin operar,
[0:49:46.00]-[0:49:48.00]  si tienes el tiempo y un médico,
[0:49:48.00]-[0:49:51.00]  pero un médico ya era crónico aquí,
[0:49:51.00]-[0:49:53.00]  no es cierto, porque el que hablábamos que tenía...
[0:49:53.00]-[0:49:55.00]  A ver, déjeme sentar un poco.
[0:49:55.00]-[0:49:57.00]  ¿Qué le siente así?
[0:49:57.00]-[0:50:00.00]  Sí, le tuvo que doler muchísimo, ¿no?
[0:50:00.00]-[0:50:03.00]  Sí, te digo que siempre me dolía la cabeza mucho.
[0:50:03.00]-[0:50:06.00]  Cuando venía del colegio, que veníamos de acá ya a las 4,
[0:50:06.00]-[0:50:08.00]  siempre casi me dolía la cabeza.
[0:50:08.00]-[0:50:11.00]  No sé si era de la distra, si era de la sinusitis...
[0:50:11.00]-[0:50:13.00]  Bueno, una aspirina, unas rolas de limón,
[0:50:13.00]-[0:50:16.00]  que te voy a decir, por aquí con un trapo.
[0:50:16.00]-[0:50:19.00]  No sé si se batían a los limones, que había verdes.
[0:50:19.00]-[0:50:22.00]  Y era lo que había.
[0:50:22.00]-[0:50:26.00]  Ahora, verdad, es uno.
[0:50:26.00]-[0:50:30.00]  O sea, que le operaron, le abrieron aquí...
[0:50:30.00]-[0:50:32.00]  Sí, me cortó desde aquí,
[0:50:32.00]-[0:50:35.00]  y ra, y ra, levantaría esto,
[0:50:35.00]-[0:50:38.00]  y creo que me dejaron que fuera tres horas.
[0:50:38.00]-[0:50:41.00]  Tres horas de operación ahí.
[0:50:41.00]-[0:50:43.00]  Aquella noche para la otra noche era para ser peor,
[0:50:43.00]-[0:50:46.00]  porque me acuerdo que fuimos a un sanatorio privado,
[0:50:46.00]-[0:50:49.00]  un coferrón, llamamos sanatorio carmo, un fin.
[0:50:49.00]-[0:50:52.00]  Un sed, porque no sabía qué el colofón,
[0:50:52.00]-[0:50:54.00]  no sabía qué te daban para...
[0:50:54.00]-[0:50:56.00]  Bueno, estaba mi padre conmigo,
[0:50:56.00]-[0:50:58.00]  y le dije, dame agua, aunque morra,
[0:50:58.00]-[0:51:00.00]  porque no puedes beber, no puedes beber.
[0:51:00.00]-[0:51:02.00]  24 horas después de que te aparaban,
[0:51:02.00]-[0:51:04.00]  no podías beber, sed.
[0:51:04.00]-[0:51:07.00]  Daba agua igual, poníamos un algodón aquí.
[0:51:07.00]-[0:51:09.00]  Chupaba un algodón.
[0:51:09.00]-[0:51:11.00]  Tuvo que ser horrible.
[0:51:11.00]-[0:51:13.00]  Horrible, sí, horrible.
[0:51:13.00]-[0:51:15.00]  Y después más...
[0:51:15.00]-[0:51:17.00]  Tres minutos.
[0:51:19.00]-[0:51:21.00]  Pues yo creo que ya hemos terminado.
[0:51:21.00]-[0:51:23.00]  Pero se me ha remordado.
[0:51:23.00]-[0:51:25.00]  Muchísimas gracias.
[0:51:25.00]-[0:51:27.00]  Tienes que hacer como en la televisión, filtrar esto mucho,
[0:51:27.00]-[0:51:29.00]  porque si no esto, no sé si vaya a algún lado.
[0:51:29.00]-[0:51:31.00]  No, no, no.
[0:51:31.00]-[0:51:34.00]  Es muy importante, y además lo necesitamos para tomar notas y luego...
[0:51:34.00]-[0:51:36.00]  ¿Cómo nos ha dicho que se llamaba?
[0:51:38.00]-[0:51:40.00]  San Claudio, Ortigueira.
[0:51:40.00]-[0:51:42.00]  San Claudio, en el 31, perfecto.
[0:51:42.00]-[0:51:44.00]  ¿Nacido aquí?
[0:51:44.00]-[0:51:46.00]  Sí, aquí mismo, en esta casa.
[0:51:46.00]-[0:51:48.00]  ¿Y cómo se llama exactamente este enclave?
[0:51:48.00]-[0:51:50.00]  La palabra que se llama San Claudio.
[0:51:50.00]-[0:51:52.00]  Y aquí te voy a dar un nombre que es un nombre muy raro.
[0:51:52.00]-[0:51:54.00]  Ovella.
[0:51:54.00]-[0:51:56.00]  ¿Ovella? Oveja, ¿no?
[0:51:56.00]-[0:51:58.00]  Primero, yo creo que antiguamente,
[0:51:58.00]-[0:52:00.00]  porque había unas escrituras por ahí,
[0:52:00.00]-[0:52:02.00]  era Ovello.
[0:52:02.00]-[0:52:04.00]  Ovello.
[0:52:04.00]-[0:52:06.00]  Pero después de un secuento, es Ovella.
[0:52:06.00]-[0:52:10.00]  Pues muchísimas gracias por todo, de verdad.
[0:52:10.00]-[0:52:12.00]  No ha sido un placer.
[0:52:12.00]-[0:52:14.00]  No ha sido de mucha ayuda.
[0:52:14.00]-[0:52:16.00]  ¿Ves cómo se sabía?
[0:52:16.00]-[0:52:18.00]  Es ir burralos, ¡eh!
[0:52:18.00]-[0:52:20.00]  No se burra muchísimo para saber las costumbres
[0:52:20.00]-[0:52:22.00]  y para conocer cómo era todo antes,
[0:52:22.00]-[0:52:36.00]  que son cosas que se están perdiendo.
