[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[0:47:33.00]-[0:47:35.00]  Los chorizos pasaban.
[0:47:35.00]-[0:47:37.00]  El jodillo, el jodillo, sí.
[0:47:37.00]-[0:47:39.00]  Sí, sí.
[0:47:41.00]-[0:47:43.00]  Esto se ha caído,
[0:47:43.00]-[0:47:45.00]  he rompido los cuernos, mira, a veces se estropeó.
[0:47:45.00]-[0:47:47.00]  ¿Quién? Ah.
[0:47:47.00]-[0:47:49.00]  Sí, no, no.
[0:47:53.00]-[0:47:55.00]  ¿Cómo se prepara?
[0:47:55.00]-[0:47:57.00]  ¿Se hace de guiso o...?
[0:47:57.00]-[0:47:59.00]  No.
[0:47:59.00]-[0:48:01.00]  ¿Quién hace de guiso?
[0:48:01.00]-[0:48:03.00]  El guiso se cuece y se come.
[0:48:03.00]-[0:48:05.00]  No tiene otro misterio.
[0:48:05.00]-[0:48:07.00]  ¿Se come solo?
[0:48:07.00]-[0:48:09.00]  Con los dientes.
[0:48:09.00]-[0:48:11.00]  O me llanto.
[0:48:11.00]-[0:48:13.00]  O es muy pescadito, ¿no?
[0:48:13.00]-[0:48:15.00]  Pero...
[0:48:15.00]-[0:48:17.00]  ¿Se le echa algo más? ¿Se le echa...
[0:48:17.00]-[0:48:19.00] ...patata o grelo o...?
[0:48:19.00]-[0:48:21.00]  Sí.
[0:48:21.00]-[0:48:23.00]  Se le puede echar lo que se quiera.
[0:48:23.00]-[0:48:25.00]  Pero yo...
[0:48:25.00]-[0:48:27.00]  Pero yo...
[0:48:27.00]-[0:48:29.00] ...lo comería...
[0:48:29.00]-[0:48:31.00] ...sin nada más.
[0:48:31.00]-[0:48:33.00]  Sin nada más.
[0:48:33.00]-[0:48:35.00]  Cocido y ya está.
[0:48:35.00]-[0:48:37.00]  Cocido y abajo.
[0:48:37.00]-[0:48:39.00]  ¿Cuál es la comida?
[0:48:39.00]-[0:48:41.00]  ¿Cuál es el plato más típico de aquí, de esta zona?
[0:48:43.00]-[0:48:45.00]  El caldo.
[0:48:45.00]-[0:48:47.00]  ¿Y qué lleva el caldo gallego?
[0:48:47.00]-[0:48:49.00]  Lleva el racón, cocino,
[0:48:49.00]-[0:48:51.00]  chorizo,
[0:48:51.00]-[0:48:53.00]  berza, patatas,
[0:48:53.00]-[0:48:55.00]  y un poco de honto.
[0:48:55.00]-[0:48:57.00]  ¿Qué es el honto?
[0:48:57.00]-[0:48:59.00]  El honto es...
[0:48:59.00]-[0:49:01.00]  Es la grasa del cerdo que se cura.
[0:49:01.00]-[0:49:03.00]  El honto...
[0:49:03.00]-[0:49:05.00] ...queda como si fuera manteca, es muy...
[0:49:05.00]-[0:49:07.00]  ¿Manteca? ¿Qué es manteca?
[0:49:07.00]-[0:49:09.00]  Manteca.
[0:49:09.00]-[0:49:11.00]  ¿Y berza o...?
[0:49:11.00]-[0:49:13.00]  ¿El grano es la berza?
[0:49:13.00]-[0:49:15.00]  El grano es verdura también, sí.
[0:49:15.00]-[0:49:17.00]  Pero no lo mismo que la berza.
[0:49:17.00]-[0:49:19.00]  ¿La berza es la que ya cae?
[0:49:19.00]-[0:49:21.00]  ¿La berza es la que ya cae?
[0:49:21.00]-[0:49:23.00]  Luego hay berza gallega y otra vez para el magú.
[0:49:29.00]-[0:49:31.00]  El más oscuro está más claro.
[0:49:31.00]-[0:49:33.00]  Distinto sabor.
[0:49:33.00]-[0:49:35.00]  ¿Es lo mismo que la navija?
[0:49:35.00]-[0:49:37.00]  No, no.
[0:49:37.00]-[0:49:39.00]  Pero es parecido.
[0:49:39.00]-[0:49:41.00]  Es verdura igual, no es parecida.
[0:49:41.00]-[0:49:43.00]  La navija es verde y oscura.
[0:49:43.00]-[0:49:45.00]  Verde, verde, como la hierba.
[0:49:45.00]-[0:49:47.00]  Sí.
[0:49:47.00]-[0:49:51.00]  Es bárbaro como el repuesto.
[0:49:51.00]-[0:49:55.00]  Lo que pasa es que como aquí el caldo va llego, ¿no?
[0:49:55.00]-[0:49:57.00]  Pero imagino que en verano se come esta cosa.
[0:49:57.00]-[0:49:59.00]  Sí, no, se calda de todo.
[0:49:59.00]-[0:50:01.00]  De todo cae, da la vuelta.
[0:50:01.00]-[0:50:03.00]  Y se cocina.
[0:50:03.00]-[0:50:05.00]  Siempre hay caza.
[0:50:05.00]-[0:50:07.00]  ¿Aquí también se calía?
[0:50:07.00]-[0:50:09.00]  ¿De caza bastante por aquí?
[0:50:09.00]-[0:50:11.00]  Hay de todo.
[0:50:11.00]-[0:50:13.00]  ¿Y qué se suele cazar por aquí?
[0:50:13.00]-[0:50:15.00]  Con híbridos.
[0:50:15.00]-[0:50:17.00]  ¿Y qué se hace? ¿Cotos o...?
[0:50:17.00]-[0:50:19.00]  Sí.
[0:50:19.00]-[0:50:23.00]  ¿Y cuál es la temporada en que se tiene que cazar?
[0:50:23.00]-[0:50:25.00]  Ahora es la temporada.
[0:50:31.00]-[0:50:33.00]  ¿Enero?
[0:50:33.00]-[0:50:35.00]  Enero.
[0:50:35.00]-[0:50:37.00]  ¿Y usted cazaba?
[0:50:37.00]-[0:50:39.00]  Yo casé.
[0:50:39.00]-[0:50:41.00]  Ahora no.
[0:50:41.00]-[0:50:43.00]  ¿Y cómo cazaba? ¿Cazaba el aguardo?
[0:50:43.00]-[0:50:45.00]  Cazaba el reclamo.
[0:50:45.00]-[0:50:47.00]  ¿A tiro limpio?
[0:50:47.00]-[0:50:49.00]  A tiro limpio, ¿no?
[0:50:49.00]-[0:50:51.00]  Pero usted que iba por el campo y esta vez te pegaba un tiro.
[0:50:51.00]-[0:50:53.00]  A levantarlos con los perros.
[0:50:53.00]-[0:50:55.00]  Te van buscando por la mata, ¿no?
[0:50:55.00]-[0:50:59.00]  Levantaron conejos y yo cuando pudiera, pues me tiraba.
[0:50:59.00]-[0:51:01.00]  Claro.
[0:51:01.00]-[0:51:03.00]  Y a las parís pues al rastro.
[0:51:03.00]-[0:51:05.00]  Que si hay perros, no.
[0:51:05.00]-[0:51:07.00]  No hay, ¿eh?
[0:51:07.00]-[0:51:09.00]  Claro.
[0:51:09.00]-[0:51:11.00]  Me he escondido.
[0:51:11.00]-[0:51:17.00]  ¿Y usted tenía perros entonces también para cazar?
[0:51:17.00]-[0:51:19.00]  ¿Cuántos perros tenía?
[0:51:19.00]-[0:51:21.00]  Dos.
[0:51:21.00]-[0:51:23.00]  ¿Dos perros?
[0:51:23.00]-[0:51:25.00]  ¿Y con eso era suficiente?
[0:51:25.00]-[0:51:27.00]  Insuficiente con uno.
[0:51:27.00]-[0:51:29.00]  ¿Qué eran muy listos entonces?
[0:51:35.00]-[0:51:37.00]  ¿Y qué es lo más grande que cazó?
[0:51:37.00]-[0:51:39.00]  ¿El animal más grande que cazó? ¿Qué era?
[0:51:39.00]-[0:51:41.00]  Una pulga.
[0:51:43.00]-[0:51:45.00]  ¿Y los pequeños?
[0:51:47.00]-[0:51:49.00]  ¿Qué piensas que el piensas?
[0:51:49.00]-[0:51:51.00]  Contesta todo bien, ¿eh?
[0:51:51.00]-[0:51:53.00]  Entonces el más pequeño que era el lobo.
[0:51:53.00]-[0:51:57.00]  Me va a hacer un bebé más cazado que este.
[0:51:59.00]-[0:52:01.00]  ¿Y cuál fue el más pequeño entonces que cazó?
[0:52:01.00]-[0:52:03.00]  Yo que sé.
[0:52:03.00]-[0:52:05.00]  El jabalí.
[0:52:05.00]-[0:52:07.00]  Jabalíes.
[0:52:07.00]-[0:52:09.00]  ¡Bú!
[0:52:09.00]-[0:52:11.00]  ¿Cuántos me dieron en las piernas?
[0:52:11.00]-[0:52:13.00]  Sí.
[0:52:13.00]-[0:52:15.00]  ¿Y eso por qué?
[0:52:15.00]-[0:52:19.00]  Porque querían que los matara y no los maté.
[0:52:19.00]-[0:52:21.00]  ¿Y salían corriendo?
[0:52:21.00]-[0:52:23.00]  No.
[0:52:23.00]-[0:52:25.00]  ¿Han matado?
[0:52:25.00]-[0:52:27.00]  ¿Neguna vez le mordieron a un jabalí?
[0:52:27.00]-[0:52:29.00]  No.
[0:52:29.00]-[0:52:31.00]  ¿No es peligroso?
[0:52:31.00]-[0:52:33.00]  ¿Me lo dices a un jabalí?
[0:52:33.00]-[0:52:35.00]  Vaya.
[0:52:35.00]-[0:52:37.00]  Si era peligroso.
[0:52:37.00]-[0:52:39.00]  ¿Y luego con el jabalí cacían lo mismo que con el cerdo?
[0:52:39.00]-[0:52:41.00]  ¿Eh?
[0:52:41.00]-[0:52:43.00]  ¿Cuando mataban a un jabalí cacían lo mismo que con el cerdo?
[0:52:43.00]-[0:52:47.00]  Sí, lo mismo que con un cerdo.
[0:52:47.00]-[0:52:49.00]  Pero que estaba más rico el cerdo o el jabalí.
[0:52:53.00]-[0:52:59.00]  A mí me parece que está mejor el cerdo que el jabalí.
[0:52:59.00]-[0:53:01.00]  Mejor el cerdo que el jabalí.
[0:53:01.00]-[0:53:03.00]  ¿Por qué?
[0:53:03.00]-[0:53:05.00]  Porque el jabalí es duro.
[0:53:07.00]-[0:53:09.00]  ¿Entonces para comerlo?
[0:53:09.00]-[0:53:15.00]  Para comerlo hay que comprar una lima y lima los dientes y come.
[0:53:15.00]-[0:53:17.00]  ¿Y lo afilaron?
[0:53:17.00]-[0:53:21.00]  ¿Pero también se hacía chorizo? ¿Se curaban los jamones de jabalí y todo esto?
[0:53:21.00]-[0:53:23.00]  Hay quien hace eso, pero nosotros no.
[0:53:25.00]-[0:53:29.00]  Entonces, ¿cómo preparaban el jabalí? ¿Directamente para cocinarlo y ya está?
[0:53:29.00]-[0:53:33.00]  Cuando son pequeños y grandes son más.
[0:53:35.00]-[0:53:39.00]  Aquí ven para cazar.
[0:53:39.00]-[0:53:41.00]  Es como si agarraran el erónus.
[0:53:41.00]-[0:53:43.00]  Matan.
[0:53:43.00]-[0:53:45.00]  Matan el erónus.
[0:53:47.00]-[0:53:49.00]  ¿Y el corza? ¿También cazaban corzas aquí?
[0:53:49.00]-[0:53:51.00]  No, el corza no se mataba.
[0:53:53.00]-[0:53:55.00]  Chicas, más corzos sí.
[0:53:55.00]-[0:53:59.00]  Pero coño, los hombres que están en casa de los... ¿Qué están haciendo ahí?
[0:53:59.00]-[0:54:01.00]  Lanzando corzos.
[0:54:01.00]-[0:54:03.00]  ¿Te mató corzos?
[0:54:03.00]-[0:54:05.00]  Ni corzas tampoco.
[0:54:05.00]-[0:54:07.00]  Entonces no había.
[0:54:07.00]-[0:54:09.00]  ¿Qué le están aquí?
[0:54:09.00]-[0:54:11.00]  ¿En los cotos?
[0:54:11.00]-[0:54:15.00]  Por todos lados. Aquí al lado de la casa de los haines.
[0:54:17.00]-[0:54:21.00]  ¿Pero que los han traído aquí para hacer proceder o los están metiendo en algún sitio para los cotos?
[0:54:21.00]-[0:54:23.00]  Bajaron ellos.
[0:54:23.00]-[0:54:25.00]  ¿Bajaron de la sierra?
[0:54:25.00]-[0:54:27.00]  Sí, han traído a ellos solos.
[0:54:27.00]-[0:54:29.00]  A ellos solos se han traído.
[0:54:31.00]-[0:54:33.00]  ¿Sabes qué pasa? Activamente se trabajaba todo el...
[0:54:33.00]-[0:54:37.00]  Todo lo que es ahora de monte, hace 30 años eso era todo sembrado.
[0:54:37.00]-[0:54:41.00]  Estaba todo cultivado, todo. Se veía una ratada, un puente, todo.
[0:54:41.00]-[0:54:45.00]  Entonces ahora es todo bosque, bosque bajo.
[0:54:45.00]-[0:54:47.00]  Y se meten ahí y ahí no hay que dosar.
[0:54:47.00]-[0:54:49.00]  Claro.
[0:54:49.00]-[0:54:51.00]  ¿Están en el país ahí con cuidadas?
[0:54:51.00]-[0:54:53.00]  Sí.
[0:54:53.00]-[0:54:55.00]  ¿De noche sobre todo con los coches y vueltas?
[0:54:55.00]-[0:54:59.00]  No. A mí se me están poniendo a hacer contra el coche.
[0:54:59.00]-[0:55:01.00]  Y aquí ya varias gente.
[0:55:05.00]-[0:55:09.00]  Si van para Calavís, algún lobo...
[0:55:09.00]-[0:55:11.00]  ¿El lobo se ha llevado?
[0:55:11.00]-[0:55:13.00]  Algunos han visto ya por ahí.
[0:55:13.00]-[0:55:15.00]  ¿No están quitando toda la comida?
[0:55:15.00]-[0:55:17.00]  Claro.
[0:55:17.00]-[0:55:19.00]  Bajan de la sierra.
[0:55:19.00]-[0:55:23.00]  Siguiendo las carras, los corpos estos.
[0:55:25.00]-[0:55:29.00]  Aquí hay un chaval que tiene cuarenta vacas, pero es el único que tiene.
[0:55:29.00]-[0:55:31.00]  No, de la gente no hay nada.
[0:55:31.00]-[0:55:33.00]  Ni ovejas, ni cabras, ni...
[0:55:33.00]-[0:55:35.00]  Cabras montesas hay bastantes.
[0:55:35.00]-[0:55:37.00]  Sí.
[0:55:37.00]-[0:55:39.00]  Aquí hay algún cabrito que otro.
[0:55:39.00]-[0:55:47.00]  ¿Alguna cabritilla suelta, pero vos?
[0:55:47.00]-[0:55:49.00]  Eso sí que no se come, ¿no?
[0:55:49.00]-[0:55:51.00]  Los cabritos del monte.
[0:55:51.00]-[0:55:53.00]  Hombre, eso es un manjar.
[0:55:53.00]-[0:55:55.00]  ¿Sí?
[0:55:55.00]-[0:55:57.00]  Yo sé cómo hacer entonces.
[0:55:57.00]-[0:55:59.00]  Es un guisado.
[0:55:59.00]-[0:56:03.00]  Un cabrito de esos de ocho o diez kilos del monte, para buen día.
[0:56:03.00]-[0:56:05.00]  Lo dejas de un día para otro.
[0:56:05.00]-[0:56:07.00]  Lo preparas bien, un buen guiso, con patatas y pimienta.
[0:56:07.00]-[0:56:09.00]  Y solamente lo loya te invita a comer.
[0:56:09.00]-[0:56:11.00]  Vale.
[0:56:11.00]-[0:56:15.00]  Y lo dejas en puerta abierta, al día siguiente...
[0:56:15.00]-[0:56:17.00]  Eso me pasó a mí.
[0:56:17.00]-[0:56:19.00]  Faltaron unos con un coche, y era pequeño.
[0:56:19.00]-[0:56:25.00]  Y ahí un vecino mío dice, lo dejamos ahí, y más que tuyo colgado y tal.
[0:56:25.00]-[0:56:27.00]  Y mañana lo partimos.
[0:56:27.00]-[0:56:31.00]  Bueno, no sé de dónde fuimos, cuando vinimos un cabrón de un perro nos había comido la amistad.
[0:56:31.00]-[0:56:33.00]  Y ahí nos vamos a ir a la casa.
[0:56:33.00]-[0:56:39.00]  Y encima le habíamos dejado un cepo, para que se subiera el cepo y le llegara bien.
[0:56:39.00]-[0:56:45.00]  Y conejos también, caza por aquí y te deja de conejos.
[0:56:45.00]-[0:56:47.00]  Si.
[0:56:47.00]-[0:56:51.00]  Desde comerlo, tienen que llevarle algo al veterinario.
[0:56:51.00]-[0:56:53.00]  Sí, sí, una muestra de humanidad.
[0:56:53.00]-[0:56:55.00]  Y de jabalita, también.
[0:56:55.00]-[0:56:57.00]  Cualquier bicho, salva.
[0:56:57.00]-[0:56:59.00]  Incluso de cerdo doméstico, también.
[0:56:59.00]-[0:57:05.00]  Quina.
[0:57:05.00]-[0:57:07.00]  ¿Cuánto tarda de analizar, entonces?
[0:57:07.00]-[0:57:09.00]  ¿Llegas a allí cinco minutos y ya te lo dices?
[0:57:09.00]-[0:57:11.00]  ¿Cinco minutos?
[0:57:11.00]-[0:57:13.00]  Sí.
[0:57:13.00]-[0:57:15.00]  ¿Lleva un cachito?
[0:57:15.00]-[0:57:17.00]  Ya está.
[0:57:17.00]-[0:57:19.00]  Un cachito, para un poco reunir.
[0:57:19.00]-[0:57:21.00]  Me vas a las pitas.
[0:57:21.00]-[0:57:23.00]  Sí le gustaría, a él sí le gustaba.
[0:57:23.00]-[0:57:25.00]  Se le van a dar las mollejitas.
[0:57:25.00]-[0:57:27.00]  Me voy a meter las pitas.
[0:57:27.00]-[0:57:33.00]  Creativamente, cuando se hacían las matanzas aquí, no se llevaban ni al veterinario ni nada.
[0:57:33.00]-[0:57:39.00]  Y directamente se preparaban los chorizos, los jamones, los tocinos.
[0:57:39.00]-[0:57:43.00]  Se le daba su tiempo de curación y estaban riquísimos.
[0:57:43.00]-[0:57:44.00]  Vaya, sí.
[0:57:44.00]-[0:57:48.00]  Un chorizo de matanza, un cazo de jamón de matanza, no le envía ni al ibérico.
[0:57:48.00]-[0:57:49.00]  Ya me imagino.
[0:57:49.00]-[0:57:51.00]  Para gusto, que ha de estar bueno.
[0:57:51.00]-[0:57:57.00]  Bueno.
[0:57:57.00]-[0:57:59.00]  ¿Ya los hace entonces aquí matanzas?
[0:57:59.00]-[0:58:00.00]  Sí, hace algunas.
[0:58:00.00]-[0:58:02.00]  Algunas, hola.
[0:58:02.00]-[0:58:04.00]  Pocas, pero algunas sí se hacen.
[0:58:04.00]-[0:58:08.00]  ¿Y cada una hace la suya o tiene alguna persona que va matando los chichillos?
[0:58:08.00]-[0:58:10.00]  Se ayuda.
[0:58:10.00]-[0:58:13.00]  ¿Son los matagordes?
[0:58:13.00]-[0:58:15.00]  Sí, son los matagordes.
[0:58:15.00]-[0:58:17.00]  ¿Y los chichillos?
[0:58:17.00]-[0:58:22.00]  Sí, son los matagordes.
[0:58:22.00]-[0:58:25.00]  Los perros se encargan de lavarnos, limpiar.
[0:58:25.00]-[0:58:30.00]  Los dejan 24 horas, al día siguiente, a desayunarlos, a saciar las carnes.
[0:58:30.00]-[0:58:32.00]  ¿A puer socar los?
[0:58:32.00]-[0:58:34.00]  Preparar los jamones, salarlos y eso.
[0:58:34.00]-[0:58:36.00]  ¿Y con la sangre hacían…?
[0:58:36.00]-[0:58:37.00]  Hacían, ahora ya casi no.
[0:58:37.00]-[0:58:38.00]  ¿Con qué?
[0:58:38.00]-[0:58:39.00]  Con la sangre, mortilla.
[0:58:39.00]-[0:58:40.00]  ¿Mortilla?
[0:58:40.00]-[0:58:45.00]  Hacían un chorizo aquí, un rico que era el que llamaban filloas.
[0:58:45.00]-[0:58:49.00]  Con la sangre las hacían y eso sí estaba rico.
[0:58:49.00]-[0:58:51.00]  Yo sé que van lechando.
[0:58:51.00]-[0:58:53.00]  ¿La suyó de texano?
[0:58:53.00]-[0:58:54.00]  Sí.
[0:58:54.00]-[0:58:55.00]  ¿La conocéis vosotros?
[0:58:55.00]-[0:58:56.00]  Yo sí.
[0:58:56.00]-[0:58:57.00]  ¿Tú eres de pueblo también?
[0:58:57.00]-[0:59:00.00]  No, yo no soy de pueblo, soy de Madrid, pero con otros sí.
[0:59:00.00]-[0:59:01.00]  Pues allí matada por se hace.
[0:59:01.00]-[0:59:03.00]  No, allí no.
[0:59:03.00]-[0:59:06.00]  Yo estuve allí 32 años.
[0:59:06.00]-[0:59:07.00]  ¿De Madrid?
[0:59:07.00]-[0:59:08.00]  Sí.
[0:59:08.00]-[0:59:12.04]  Y tengo allí dos chicas, una está en el hospital clínico de enfermera, en la
[0:59:12.04]-[0:59:16.00]  parte de Pampua.
[0:59:16.00]-[0:59:18.00]  ¿Y con los otros?
[0:59:18.00]-[0:59:21.00]  No, yo vivía en Villa Cantarana, con los discos de Baja de Bajo.
[0:59:21.00]-[0:59:24.00]  Por encima de San Isidro, donde se hace la fiesta de San Isidro, la parterá, allí.
[0:59:24.00]-[0:59:25.00]  Ah, claro, sí, sí, sí.
[0:59:25.00]-[0:59:26.00]  Es calentemente, ¿no?
[0:59:26.00]-[0:59:27.00]  Sí, ahí por detrás.
[0:59:27.00]-[0:59:28.00]  Sí, sí, sí.
[0:59:28.00]-[0:59:29.00]  ¿En la candelabra?
[0:59:29.00]-[0:59:30.00]  Sí, ahí, ahí.
[0:59:30.00]-[0:59:33.00]  Y cuando había partidos de fútbol ahí, la venía.
[0:59:33.00]-[0:59:34.00]  Para la parca.
[0:59:34.00]-[0:59:35.00]  Sí, sí, sí.
[0:59:35.00]-[0:59:36.00]  Yo qué tal, eh.
[0:59:36.00]-[0:59:38.00]  Y para salir de la M30 y subir para arriba.
[0:59:38.00]-[0:59:42.00]  Alguna vez tenía que ir por los pases de Extremadura y veníamos por ahí, por la parca.
[0:59:42.00]-[0:59:44.00]  Estaba por el otro lado.
[0:59:44.00]-[0:59:46.00]  Era imposible entrar.
[0:59:46.00]-[0:59:47.00]  Sí, sí, sí.
[0:59:47.00]-[0:59:48.00]  Vamos, vamos a ver.
[0:59:48.00]-[0:59:49.00]  Le voy a librar ya de esto, ¿vale?
[0:59:49.00]-[0:59:50.00]  Sí, ma.
[0:59:50.00]-[0:59:51.00]  Sí, ma.
[0:59:51.00]-[0:59:52.00]  Lo voy a coger aquí y ya está.
[0:59:52.00]-[0:59:53.00]  Mira, qué asco.
[0:59:53.00]-[0:59:54.00]  Vaya hora que los lleva a Madrid.
[0:59:54.00]-[0:59:55.00]  Sí, pues.
[0:59:55.00]-[0:59:56.00]  No pasa nada.
[0:59:56.00]-[0:59:57.00]  Pero sí, sí, sí.
[0:59:57.00]-[0:59:58.00]  ¿Qué pasa?
[0:59:58.00]-[0:59:59.00]  ¿Qué pasa?
[0:59:59.00]-[1:00:00.00]  ¿Qué pasa?
[1:00:00.00]-[1:00:01.00]  ¿Qué pasa?
[1:00:01.00]-[1:00:02.00]  ¿Qué pasa?
[1:00:02.00]-[1:00:03.00]  ¿Qué pasa?
[1:00:03.00]-[1:00:04.00]  ¿Qué pasa?
[1:00:04.00]-[1:00:05.00]  ¿Qué pasa?
[1:00:05.00]-[1:00:06.00]  ¿Qué pasa?
[1:00:06.00]-[1:00:07.00]  ¿Qué pasa?
[1:00:07.00]-[1:00:08.00]  ¿Qué pasa?
[1:00:08.00]-[1:00:09.00]  ¿Qué pasa?
[1:00:09.00]-[1:00:10.00]  ¿Qué pasa?
[1:00:10.00]-[1:00:11.00]  ¿Qué pasa?
[1:00:11.00]-[1:00:12.00]  ¿Qué pasa?
[1:00:12.00]-[1:00:13.00]  ¿Qué pasa?
[1:00:13.00]-[1:00:14.00]  No pasa nada.
[1:00:14.00]-[1:00:15.00]  Ya las sueltas los del miel.
[1:00:15.00]-[1:00:16.00]  A la cárcel va a parar, marido.
[1:00:16.00]-[1:00:17.00]  Ya lo crees.
[1:00:17.00]-[1:00:18.00]  Ya huele desde aquí, ¿eh?
[1:00:18.00]-[1:00:19.00]  Sí, sí.
[1:00:19.00]-[1:00:20.00]  Huele, huele.
[1:00:20.00]-[1:00:21.00]  Aquellas vasijas están… ¿están llenas?
[1:00:21.00]-[1:00:22.00]  ¿O estaban?
[1:00:22.00]-[1:00:23.00]  Estas.
[1:00:23.00]-[1:00:24.00]  Estaban llenas.
[1:00:24.00]-[1:00:25.00]  A aquellas barras.
[1:00:25.00]-[1:00:26.00]  Luego lo pasan ahí.
[1:00:26.00]-[1:00:27.00]  ¿Qué pasa?
[1:00:27.00]-[1:00:28.00]  ¿Qué pasa?
[1:00:28.00]-[1:00:29.00]  ¿Qué pasa?
[1:00:29.00]-[1:00:30.00]  ¿Qué pasa?
[1:00:30.00]-[1:00:31.00]  ¿Qué pasa?
[1:00:31.00]-[1:00:32.00]  ¿Qué pasa?
[1:00:32.00]-[1:00:33.00]  ¿Qué pasa?
[1:00:33.00]-[1:00:34.00]  ¿Qué pasa?
[1:00:34.00]-[1:00:35.00]  ¿Qué pasa?
[1:00:35.00]-[1:00:36.00]  ¿Qué pasa?
[1:00:36.00]-[1:00:37.00]  ¿Qué pasa?
[1:00:37.00]-[1:00:38.00]  ¿Qué pasa?
[1:00:38.00]-[1:00:39.00]  ¿Qué pasa?
[1:00:39.00]-[1:00:40.00]  ¿Qué pasa?
[1:00:40.00]-[1:00:41.00] dlesujas.
[1:00:41.00]-[1:00:42.00]  Vos nadzieí al palo a elefantes.
[1:00:42.00]-[1:00:46.84]  Nos Salesotive, señor, mald
[1:00:46.84]-[1:00:48.84]  Espérate aquí.
[1:00:48.84]-[1:01:05.00]  Que mire, si lo Whoops, y este.
[1:01:05.00]-[1:01:07.00]  Bajasela para abajo.
[1:01:07.00]-[1:01:11.00]  Eso ahora está hirviendo el vino.
[1:01:11.00]-[1:01:13.00]  Hermándo tu bachas.
[1:01:19.00]-[1:01:21.00]  Estaba esas dos hasta mañana.
[1:01:21.00]-[1:01:23.00]  Pero eso antes lo pisaban, ¿no?
[1:01:23.00]-[1:01:25.00]  Antes lo pisaban con los pies.
[1:01:25.00]-[1:01:30.00]  Porque había lagares, pero ahora esta es la máquina de triturarla.
[1:01:30.00]-[1:01:33.00]  ¿Y cómo llaman al olor este?
[1:01:33.00]-[1:01:35.00]  El olor al vino.
[1:01:35.00]-[1:01:37.00]  Lo que huele es vino.
[1:01:37.00]-[1:01:39.00]  Es vino, sí.
[1:01:39.00]-[1:01:41.00]  ¿Y cómo se fermenta entonces?
[1:01:41.00]-[1:01:43.00]  Eso lo pichan.
[1:01:43.00]-[1:01:45.00]  ¿Y cómo hierve?
[1:01:45.00]-[1:01:47.00]  ¿Caliente?
[1:01:47.00]-[1:01:50.00]  No, no. Eso hierve sin calentar.
[1:01:50.00]-[1:01:52.00]  Eso fermenta.
[1:01:56.00]-[1:02:00.00]  Eso fue hecho 15 días antes y ya lo sacaron.
[1:02:00.00]-[1:02:02.00]  ¿Este está bien, no?
[1:02:02.00]-[1:02:05.00]  ¿Es para comercializarlo o es para consumo propio?
[1:02:05.00]-[1:02:07.00]  Este no es consumo propio.
[1:02:07.00]-[1:02:11.00]  Tiene el chico ahí, aquel que estaba conmigo allí arriba.
[1:02:11.00]-[1:02:15.00]  Y aquí la gente lo compra todo el mundo porque este es vino natural.
[1:02:15.00]-[1:02:17.00]  No lleva ninguna química.
[1:02:17.00]-[1:02:20.00]  En la fiesta de los Reyes, el vino, claro, vino.
[1:02:20.00]-[1:02:22.00]  Este es vino puro.
[1:02:22.00]-[1:02:25.00]  5 días para ficar en una casa.
[1:02:25.00]-[1:02:30.00]  Matamos un ternero aquí el día de Reyes, la víspera de los Reyes.
[1:02:30.00]-[1:02:33.00]  Y nos juntamos casi todo el pueblo a comer.
[1:02:33.00]-[1:02:40.00]  Traemos los cocineros y nos juntamos, viene saliendo a 10 euros.
[1:02:40.00]-[1:02:43.00]  No llegas a 10 euros diarios.
[1:02:43.00]-[1:02:46.00]  Por comer, vas a la mañana, mediodía y noche.
[1:02:46.00]-[1:02:48.00]  Comiendo ahí lo que quieras.
[1:02:48.00]-[1:02:50.00]  Y las 24 horas si quieres.
[1:02:50.00]-[1:02:52.00]  Y las 24 horas si quieres.
[1:02:52.00]-[1:02:55.00]  Y te vas al cuerpo para comer.
[1:02:55.00]-[1:02:57.00]  ¿Y si resistes?
[1:02:57.00]-[1:03:01.00]  De aquí se hacía también lo de los furanchos.
[1:03:01.00]-[1:03:02.00]  ¿Lo qué?
[1:03:02.00]-[1:03:03.00]  Los furanchos.
[1:03:03.00]-[1:03:04.00]  ¿Eso qué es?
[1:03:04.00]-[1:03:08.00]  Lo de los furanchos es cuando hacían lo mismo que esto en las casas.
[1:03:08.00]-[1:03:12.00]  Entonces colgaban una hoja de parra y cuando había excedentes de vino,
[1:03:12.00]-[1:03:16.00]  pues le llamaban vino de furancho, no sé si se lo conocen.
[1:03:16.00]-[1:03:18.00]  Aquí no, eso no se conoce.
[1:03:18.00]-[1:03:22.00]  ¿Vas a la zona del Lugo y todo esto?
[1:03:22.00]-[1:03:24.00]  Sí, puede ser.
[1:03:24.00]-[1:03:26.00]  Por aquí no.
[1:03:26.00]-[1:03:28.00]  ¿Ahí fermenta o vino?
[1:03:28.00]-[1:03:30.00]  Este es portugués.
[1:03:30.00]-[1:03:33.00]  Este vino de Portugal.
[1:03:33.00]-[1:03:35.00]  Y este de Zamora.
[1:03:35.00]-[1:03:38.00]  ¿Hay montes de Portugal porque estamos aquí cerca?
[1:03:38.00]-[1:03:39.00]  Claro.
[1:03:39.00]-[1:03:42.00]  Aquí estamos a 4 kilómetros de la frontera.
[1:03:42.00]-[1:03:44.00]  Sí, está a esta dirección.
