[0:00:00.00]-[0:00:04.00]  ¿Cómo mataban a... perdón.
[0:35:44.00]-[0:35:47.00]  ¿Y había intereses en las bodas o no?
[0:35:47.00]-[0:35:50.00]  Sí, sí que había intereses. Aquí había muchos intereses.
[0:35:50.00]-[0:35:54.00]  No se podía hacer una que tuviera con uno que tuviera algo.
[0:35:54.00]-[0:35:57.00]  Las que no tenían o no las querían. Había mucho interés, mucho, mucho.
[0:35:57.00]-[0:35:59.00]  ¿Tú conoces gente que se haya casado así?
[0:35:59.00]-[0:36:01.00]  Sí, sí, aquí en el pueblo se han casado varios.
[0:36:01.00]-[0:36:02.00]  Muchos así.
[0:36:02.00]-[0:36:05.00]  Pero vamos que las familias a lo mejor no las querían.
[0:36:05.00]-[0:36:08.00]  Ellas estaban un poco situadas y cogían a uno que era menos...
[0:36:08.00]-[0:36:12.00]  que no era de su categoría, decían entonces, ya ves qué categoría,
[0:36:12.00]-[0:36:17.00]  que no se tenía nada, pero bueno. Decían que no, que hoy ya ves con quién
[0:36:17.00]-[0:36:21.00]  se ha ido a casar esa, con uno más bajo que ella, en quién...
[0:36:21.00]-[0:36:25.00]  Pero vamos, ya no se anda con eso. Ya sí que no se mira eso en los pueblos.
[0:36:25.00]-[0:36:29.00]  Ya cada uno se casa con quien quiere y no se anda.
[0:36:29.00]-[0:36:33.00]  Pero antes si no... y la familia no creía que miraban muy bien,
[0:36:33.00]-[0:36:36.00]  si tenían menos, si se tenía un cacho de finca,
[0:36:36.00]-[0:36:40.00]  o si uno tenía una casa y la otra no la tenía, pues ya eran las diferencias
[0:36:40.00]-[0:36:44.00]  y las cosas que había. En aquella época se miraba mucho eso.
[0:36:44.00]-[0:36:49.00]  ¿Y tú a tus hijos les has dejado llegar tarde a trada?
[0:36:49.00]-[0:36:50.00]  ¿Yo?
[0:36:50.00]-[0:36:54.00]  Y llegan por la mañana a las seis y a las siete de la mañana a los ocho días.
[0:36:54.00]-[0:36:57.00]  Yo no los digo nada, vienen cuando quieren.
[0:36:57.00]-[0:37:01.00]  Cuando se termina la discoteca es cuando van a la fiesta y se termina la fiesta, vienen.
[0:37:01.00]-[0:37:03.00]  ¿Y los hizo trabajar?
[0:37:03.00]-[0:37:05.00]  ¿Qué si los hice trabajar?
[0:37:05.00]-[0:37:06.00]  ¿A tus hijos?
[0:37:06.00]-[0:37:08.00]  Sí, sí, yo a mis hijos los hago trabajar, claro.
[0:37:08.00]-[0:37:09.00]  ¿Y estudiar?
[0:37:09.00]-[0:37:13.00]  Y estudiar también. Los hago trabajar, esperamos, ellos son de trabajar,
[0:37:13.00]-[0:37:16.00]  que a mis hijos no hace falta mandarlos, pero que ellos ayudan a sus padres
[0:37:16.00]-[0:37:19.00]  a lo que les hace falta. Ellos vienen de la fiesta.
[0:37:19.00]-[0:37:23.00]  Y van a trabajar con sus padres, varios a veces han llegado
[0:37:23.00]-[0:37:26.00]  y a lo mejor han estado una hora y a la hora se han tenido que levantar,
[0:37:26.00]-[0:37:31.00]  atender al canal o ayudarlos a traer barcos o lo que sea y tienen que ir.
[0:37:31.00]-[0:37:35.00]  ¿Y tú recuerdas que tu padre amenazase a algún hermano
[0:37:35.00]-[0:37:38.00]  y que luego no cumpliese la amenaza, por ejemplo?
[0:37:38.00]-[0:37:41.00]  O sea, para eso los padres eran más estrictos.
[0:37:41.00]-[0:37:44.00]  Sí, sí. Y pegaban más antes, ¿eh?
[0:37:44.00]-[0:37:47.00]  Sí, sí, sí, los padres antes pegaban mucho.
[0:37:47.00]-[0:37:49.00]  ¿A ti te han pegado mucho?
[0:37:49.00]-[0:37:52.00]  No, a mí no me han pegado porque yo no era desobediente,
[0:37:52.00]-[0:37:54.00]  a mis hermanos sí los han pegado algunos.
[0:37:54.00]-[0:37:57.00]  A mi hermana y a mi hermano pequeño los han pegado bastante,
[0:37:57.00]-[0:37:59.00]  porque eran desobedientes, a los mayores…
[0:37:59.00]-[0:38:02.00]  A mí a la pequeña y a la mayor no, pero a los otros sí.
[0:38:02.00]-[0:38:05.00]  Anda, que a mi hermana no le gustaba ir a las aceitunas
[0:38:05.00]-[0:38:08.00]  y la tenían que pegar porque no quería ir.
[0:38:08.00]-[0:38:14.00]  ¿Y los padres aconsejaban a los hijos o más bien les mandaban en aquella época?
[0:38:14.00]-[0:38:18.00]  Más bien eran mandados, entonces no se aconsejaba tanto nada más que decían
[0:38:18.00]-[0:38:21.00]  «tú tienes que ir allí y tienes que hacerlo, si quieres como si no quieres».
[0:38:21.00]-[0:38:23.00]  Y a las hijas igual.
[0:38:23.00]-[0:38:27.00]  Entonces no había ninguna diferencia y era mandado, mandado.
[0:38:27.00]-[0:38:30.00]  No era «si quieres lo haces y si no quieres ahora»
[0:38:30.00]-[0:38:33.00]  o yo por ejemplo a la mía la digo «a esto y si quieres lo haces y si no quieres»
[0:38:33.00]-[0:38:35.00]  y ella dice «ay mamá no tengo ganas» y se sienta y lo hace.
[0:38:35.00]-[0:38:37.00]  Y no lo hace, pero entonces…
[0:38:37.00]-[0:38:39.00]  ¿Y el que os mandaban normalmente?
[0:38:39.00]-[0:38:42.00]  Pues hacía muchas cosas, ¿eh?
[0:38:42.00]-[0:38:45.00]  Pues no te digo, no teníamos agua, teníamos que ir a por agua.
[0:38:45.00]-[0:38:48.00]  Nos mandaban dira por agua, nos mandaban dira…
[0:38:48.00]-[0:38:52.00]  de llevar la merienda, los hombres, el desayuno…
[0:38:52.00]-[0:38:54.00]  Cuando estaban llegando todas esas cosas las teníamos que hacer.
[0:38:54.00]-[0:38:56.00]  ¿Y desde qué edad más o menos?
[0:38:56.00]-[0:38:59.00]  Pues yo de ocho y nueve años ya estaba haciendo.
[0:38:59.00]-[0:39:00.00]  ¿Ya recuerdas?
[0:39:00.00]-[0:39:02.00]  Sí, sí, sí, me recuerdo, pero bien.
[0:39:02.00]-[0:39:06.00]  De ocho años y de eso, pero muchísimas veces.
[0:39:06.00]-[0:39:10.00]  ¿Y en aquella época se podía elegir profesión?
[0:39:10.00]-[0:39:12.00]  La profesión o no.
[0:39:12.00]-[0:39:16.00]  En aquella época no se elegía nada, porque no había nada.
[0:39:16.00]-[0:39:20.00]  Estaba todo tan atrasado que no se podía elegir nada.
[0:39:20.00]-[0:39:24.00]  Porque ni se podía ir a estudiar, porque no había medio de ir a estudiar,
[0:39:24.00]-[0:39:25.00]  y no se podía ir a estudiar.
[0:39:25.00]-[0:39:28.00]  Ahora sí se puede elegir, pero antes es que no se podía elegir.
[0:39:28.00]-[0:39:31.00]  ¿Y qué ha cambiado de entonces ahora?
[0:39:31.00]-[0:39:32.00]  Pues todo.
[0:39:32.00]-[0:39:34.00]  ¿De las profesiones?
[0:39:34.00]-[0:39:37.00]  De las profesiones y de todo, de todo, de todo.
[0:39:37.00]-[0:39:39.00]  Ha cambiado pero una barbaridad todas las cosas.
[0:39:39.00]-[0:39:41.00]  Manda que no ha cambiado.
[0:39:41.00]-[0:39:44.00]  Las comodidades que tenemos, y antes no teníamos ninguna.
[0:39:44.00]-[0:39:46.00]  Ha cambiado todo mucho.
[0:39:46.00]-[0:39:49.00]  Antes las regañeras eran considerables.
[0:39:49.00]-[0:39:51.00]  ¿Por qué cosas se reñía normalmente?
[0:39:51.00]-[0:39:53.00]  Pues por cualquier cosina que teníamos.
[0:39:53.00]-[0:39:55.00]  ¿Entre los vecinos, por ejemplo?
[0:39:55.00]-[0:39:56.00]  Ah, no.
[0:39:56.00]-[0:39:57.00]  Bueno, da igual.
[0:39:57.00]-[0:40:00.00]  ¿Cómo se llevabas con el pueblo más unidos?
[0:40:00.00]-[0:40:04.00]  Entonces estaba la gente más… Ahora hay más diferencia.
[0:40:04.00]-[0:40:06.00]  Entonces la gente más unida.
[0:40:06.00]-[0:40:07.00]  ¿Más unida?
[0:40:07.00]-[0:40:10.00]  Sí, sí, sí, entonces estaba más unida la gente.
[0:40:10.00]-[0:40:11.00]  ¿Y en la familia también?
[0:40:11.00]-[0:40:14.00]  En la familia también. Todos los primos nos queríamos más.
[0:40:14.00]-[0:40:16.00]  No andábamos con el egoísmo.
[0:40:16.00]-[0:40:18.00]  Hoy anda la gente más con el egoísmo que antes.
[0:40:18.00]-[0:40:22.00]  Antes como no se tenía nada, nos juntábamos a las matanzas,
[0:40:22.00]-[0:40:25.00]  a los primos, a las bodas que se hacían en casa.
[0:40:25.00]-[0:40:29.00]  Y bueno, todos los primos, no lo pasábamos.
[0:40:29.00]-[0:40:34.00]  ¿Y cuando reñáis entre los hermanos o los primos por qué se solía reñer?
[0:40:34.00]-[0:40:37.00]  Pues por nada, porque entonces no teníamos nada y reñíamos
[0:40:37.00]-[0:40:40.00]  a lo mejor por cualquier cosa de nada, pero vamos.
[0:40:40.00]-[0:40:43.00]  No, se reñía. Entonces se reñía mucho menos que ahora.
[0:40:43.00]-[0:40:47.00]  Ahora se discute más la gente y parece que hay más diferencia,
[0:40:47.00]-[0:40:49.00]  que parece a mí, a mi parecer.
[0:40:49.00]-[0:40:53.00]  ¿Y se regañaba mucho a los niños entonces?
[0:40:53.00]-[0:40:57.00]  Bueno, a los niños… Y se los pegaba más que ahora se los pega.
[0:40:57.00]-[0:41:00.00]  Ahora los pagan los niños como quieren y antes no.
[0:41:00.00]-[0:41:04.00]  Antes se los regañaba más y iban más de otra manera.
[0:41:04.00]-[0:41:09.00]  Ahora parece que van más fuerte, tecillos, que se suele decir.
[0:41:09.00]-[0:41:12.00]  Ahora están con eso que tienen todo lo que quieren,
[0:41:12.00]-[0:41:15.00]  están los niños muy malcriados y ya está.
[0:41:15.00]-[0:41:17.00]  Ahora se les anima a otras cosas, a cosas diferentes.
[0:41:17.00]-[0:41:20.00]  Sí, ahora se les anima a otras cosas diferentes.
[0:41:20.00]-[0:41:23.00]  ¿Y los niños de ahora se aburren?
[0:41:23.00]-[0:41:25.00]  Y antes no nos aburríamos.
[0:41:25.00]-[0:41:26.00]  ¿Qué hacían con los niños?
[0:41:26.00]-[0:41:28.00]  Ahora tienen los niños que sin muñecas.
[0:41:28.00]-[0:41:31.00]  Antes hacíamos las muñecas nosotros de trapo.
[0:41:31.00]-[0:41:33.00]  ¿Y cómo los hacías?
[0:41:33.00]-[0:41:36.00]  Pues mira, hacíamos con un trapo, llenábamos la cabeza,
[0:41:36.00]-[0:41:40.00]  a lo mejor metíamos pajas o cualquier cosa en la cabeza.
[0:41:40.00]-[0:41:45.00]  Y luego hacíamos unos brazos de trapo y los cosíamos al cuerpo.
[0:41:45.00]-[0:41:49.00]  Luego los pintábamos los ojos con un lápiz o con lo que fuera,
[0:41:49.00]-[0:41:52.00]  y la boca y la nariz y así nos hacíamos las cosas,
[0:41:52.00]-[0:41:54.00]  porque antiguamente no había muñecas.
[0:41:54.00]-[0:41:56.00]  ¿Y tú recuerdas aburrirte alguna vez de cuando eras pequeña?
[0:41:56.00]-[0:41:57.00]  Nunca, nunca.
[0:41:57.00]-[0:41:59.00]  ¿Te acuerdas de haberte aburrido?
[0:41:59.00]-[0:42:01.00]  Ahora sí se aburren, pero antes no nos aburríamos.
[0:42:01.00]-[0:42:03.00]  Y los niños, ¿a qué no sabes lo que hacían?
[0:42:03.00]-[0:42:08.00]  Se salían ahí al campo y había un terrapleno así muy grande de tierra,
[0:42:08.00]-[0:42:10.00]  y hacían toros de barro.
[0:42:10.00]-[0:42:11.00]  ¿Toros de barro?
[0:42:11.00]-[0:42:12.00]  Y carros y cosas.
[0:42:12.00]-[0:42:17.00]  Luego hacían el carro, de las ruedecitas las hacían los niños,
[0:42:17.00]-[0:42:22.00]  con una caña que se llamaba, una caña que había en el campo,
[0:42:22.00]-[0:42:24.00]  es que no me acuerdo cómo se llamaban esas cañas,
[0:42:24.00]-[0:42:25.00]  y las hacían las ruedas.
[0:42:25.00]-[0:42:28.00]  Y luego otros, los toros de barro, las mulas de barro,
[0:42:28.00]-[0:42:30.00]  se iban a hacer las allí, siempre estaban haciendo,
[0:42:30.00]-[0:42:33.00]  y nos divertíamos mucho más que aburríamos.
[0:42:33.00]-[0:42:36.00]  ¿Y cómo se criaban los niños entonces?
[0:42:36.00]-[0:42:38.00]  Pues entonces los niños se criaban muy mal.
[0:42:38.00]-[0:42:42.00]  Con sopas recocías de la olla, y con sopas que...
[0:42:42.00]-[0:42:43.00]  ¿Sopas recocías?
[0:42:43.00]-[0:42:45.00]  Sopas de recocías, hacían unas sopas recocías,
[0:42:45.00]-[0:42:48.00]  las ponían en un fuchero a la lumbre, como entonces había,
[0:42:48.00]-[0:42:51.00]  era lumbre, lo que se dice era de leña.
[0:42:51.00]-[0:42:54.00]  Teníamos leña, no teníamos harne, nada de todo esto,
[0:42:54.00]-[0:42:58.00]  porque este delgaz hace... ¿cuántos años puede hacer?
[0:42:58.00]-[0:43:04.00]  Bueno, era yo joven, pero no hace tanto, tanto.
[0:43:04.00]-[0:43:09.00]  Que haga 30 años o 40 que vino por aquí al Gáez, por ahí,
[0:43:09.00]-[0:43:12.00]  pues teníamos lumbre y a los niños se los ponía un pucherito,
[0:43:12.00]-[0:43:16.00]  chiquitito, con unas sopas con un poco de aceite y eso,
[0:43:16.00]-[0:43:18.00]  y se los ponían allí, las llamaban sopas recocías
[0:43:18.00]-[0:43:21.00]  y eso es lo que les daban, o con un poco de leche y unas sopas.
[0:43:21.00]-[0:43:23.00]  ¿No creas que los criaban con eso?
[0:43:23.00]-[0:43:25.00]  Las que no los podían dar al pecho,
[0:43:25.00]-[0:43:28.00]  que no eran conviverones ni nada de todo eso.
[0:43:28.00]-[0:43:31.00]  Y con un poco de arroz y sobraban el mediodía,
[0:43:31.00]-[0:43:36.00]  que antes era cocido más que arroz,
[0:43:36.00]-[0:43:40.00]  porque se comía siempre al mediodía, cocido y por la mañana sopa.
[0:43:40.00]-[0:43:45.00]  En vez de leche era sopa, pero sopas claras con un torreno
[0:43:45.00]-[0:43:48.00]  que se llamaban, se freían un cachito de tocino
[0:43:48.00]-[0:43:52.00]  y con el aéxos del tocino se hacían las sopas.
[0:43:52.00]-[0:43:56.00]  ¿Y a los niños de entonces se consolaban o se dejaban llorar?
[0:43:56.00]-[0:43:58.00]  Los pobres han tenido que llorar muchas veces,
[0:43:58.00]-[0:44:02.00]  porque las madres se iban a lavar fuera la ropita de ellos
[0:44:02.00]-[0:44:04.00]  y los quedaban en la cuna solos.
[0:44:04.00]-[0:44:07.00]  ¿Y cuántas veces han tenido que llorar los pobres?
[0:44:07.00]-[0:44:08.00]  Estaban menos vivas.
[0:44:08.00]-[0:44:11.00]  Mucho menos los pobrecillos, mucho menos.
[0:44:11.00]-[0:44:13.00]  Es que las madres se tenían que ir,
[0:44:13.00]-[0:44:16.00]  las que no tenían familia para quedarlos al cargo de ellas,
[0:44:16.00]-[0:44:20.00]  se los quedaban en la cuna y se iban a lavar los enreos por la mañana,
[0:44:20.00]-[0:44:24.00]  lo que les quitaban, eran los pañales que se llamaban antiguamente,
[0:44:24.00]-[0:44:28.00]  no eran como pico y luego como ya y dodote y todo eso,
[0:44:28.00]-[0:44:33.00]  eran pañales, eran unos faldones así y ahí los tenían que lavar todos los días.
[0:44:33.00]-[0:44:34.00]  ¿Y quiénes los quedaban?
[0:44:34.00]-[0:44:37.00]  Nadie, se los quedaban en la cuna, no que se iban a lavar a los pobres.
[0:44:37.00]-[0:44:39.00]  ¿Y los eran pequeños para darles de comer eso?
[0:44:39.00]-[0:44:43.00]  Ah, bueno, pero iban, los lavaban, se venían, los daban lo que fuera
[0:44:43.00]-[0:44:47.00]  y volvían y así los quedaban al sol un poquito tendidos la ropa
[0:44:47.00]-[0:44:51.00]  y lo volvían a dar, lo otra vez a lavarlo otro poquito y así lo hacían.
[0:44:51.00]-[0:44:53.00]  O sea que no estaban tan pendientes como...
[0:44:53.00]-[0:44:54.00]  Ni nada, nada, nada.
[0:44:54.00]-[0:44:56.00]  Hombre, si había alguna vecina, siempre las vecinas,
[0:44:56.00]-[0:44:59.00]  asómate al niño, te quedo la llave y te asomas al niño
[0:44:59.00]-[0:45:04.00]  a ver si me llora o me le levanta o eso y si no, solito, la que no tenía nadie.
[0:45:04.00]-[0:45:07.00]  Si no tenía familia, pero bueno, siempre estaban aquí en el pueblo,
[0:45:07.00]-[0:45:11.00]  entonces antiguamente no se iba nadie fuera, estaban todos en el pueblo.
[0:45:11.00]-[0:45:12.00]  Hay mucha gente para cuidarlos.
[0:45:12.00]-[0:45:15.00]  Sí, había mucha gente para cuidarlos y las vecinas mismas,
[0:45:15.00]-[0:45:18.00]  si las decías quédate, mira, queda ahí el niño,
[0:45:18.00]-[0:45:22.00]  a mí me ha pasado con el mayor, de ir a lavar fuera que no había...
[0:45:22.00]-[0:45:25.00]  En verano teníamos agua, pero en verano nos faltaba
[0:45:25.00]-[0:45:27.00]  y teníamos que ir a lavar fuera.
[0:45:28.00]-[0:45:29.00]  ¿Y yo?
[0:45:29.00]-[0:45:30.00]  ¿Habías estado solo?
[0:45:30.00]-[0:45:35.00]  Hombre, solo no, porque tenía a mi madre, pero que si no, tú verás,
[0:45:35.00]-[0:45:37.00]  hubiera quedado de haberle quedado solo,
[0:45:37.00]-[0:45:39.00]  porque había que ir a lavar los enredos fuera.
[0:45:40.00]-[0:45:41.00]  Ahora, ¿y qué?
[0:45:41.00]-[0:45:45.00]  A ver, y de las contrariedades de la vida del caso.
[0:45:46.00]-[0:45:48.00]  A todas esas cosas.
[0:45:48.00]-[0:45:50.00]  Los fríos que nos hemos pasado a coger aceitunas,
[0:45:50.00]-[0:45:53.00]  a secar el calor en tiempos veranos.
[0:45:53.00]-[0:45:55.00]  ¿Cuánto mejor está ahora que antes?
[0:45:55.00]-[0:45:58.00]  ¿Y antiguamente a qué se temía?
[0:45:58.00]-[0:46:02.00]  Pues no lo sé, porque antiguamente, como estábamos acostumbrados a hacerlo,
[0:46:02.00]-[0:46:06.00]  no temíamos nada y estábamos tan contentos y tan felices,
[0:46:06.00]-[0:46:09.00]  pues no conocíamos otra vida, pues estábamos tan bien.
[0:46:09.00]-[0:46:11.00]  ¿Y había quién temía las tormentas?
[0:46:11.00]-[0:46:15.00]  Ah, bueno, eso sí, las tormentas entonces eran muy malas ahí.
[0:46:15.00]-[0:46:19.00]  Y aquí ha habido gente que ha caído rayos y los han matado.
[0:46:19.00]-[0:46:21.00]  ¿Y a las enfermedades de los animales?
[0:46:23.00]-[0:46:25.00]  Pues también había enfermedades de animales.
[0:46:25.00]-[0:46:30.00]  Entonces, antiguamente ha habido cosas que salían de los éstos.
[0:46:30.00]-[0:46:34.00]  Había una cosa que se llamaba carbuncos o no sé qué era.
[0:46:34.00]-[0:46:35.00]  ¿Carbunco?
[0:46:35.00]-[0:46:38.00]  Sí, una postillita que se lo tenían que quemar vivo,
[0:46:38.00]-[0:46:40.00]  que era cosa del ganado.
[0:46:40.00]-[0:46:42.00]  ¿Y vosotros habéis tenido alguna ventana?
[0:46:42.00]-[0:46:43.00]  No, nosotros no.
[0:46:43.00]-[0:46:46.00]  Nosotros, yo no me acuerdo de haber tenido, pero antiguamente han salido,
[0:46:46.00]-[0:46:51.00]  sí, que eran como ahora lo llaman cálcer de la piel.
[0:46:51.00]-[0:46:55.00]  Pues entonces eran cosas y eran a causa del ganado.
[0:46:55.00]-[0:46:58.00]  Antiguamente el ganado no es como ahora, que está más desinfectado,
[0:46:58.00]-[0:47:02.00]  más por los veterinarios, mucho más controlado, todas las cosas,
[0:47:02.00]-[0:47:05.00]  que antiguamente no había nada de todo eso.
[0:47:05.00]-[0:47:08.00]  Antiguamente había muy pocos veterinarios, no es como ahora,
[0:47:08.00]-[0:47:12.00]  que te los hacen de sanidad, los hace de tal, los veterinarios,
[0:47:12.00]-[0:47:17.00]  que sea vacunado, que sea esto, en fin, todos los días están reconociendo al ganado.
[0:47:17.00]-[0:47:21.00]  No es como antes y haciendo los análisis, los sacan sangre para hacerlos todos,
[0:47:21.00]-[0:47:22.00]  para mirarlos y ya está.
[0:47:22.00]-[0:47:26.00]  Un control que tienen muchos de hacer las cosas y antes no había nada de eso.
[0:47:26.00]-[0:47:27.00]  ¿Y los animales?
[0:47:27.00]-[0:47:31.00]  Antes sí que había muchas enfermedades de cosas de los animales, sí.
[0:47:31.00]-[0:47:32.00]  ¿Cuáles, las típicas de aquí?
[0:47:32.00]-[0:47:37.00]  Las típicas de aquí, eso que te llamas, que lo llamaban carbunco,
[0:47:37.00]-[0:47:40.00]  yo no sé por qué lo llamaban eso.
[0:47:40.00]-[0:47:43.00]  Sí, yo no sé.
[0:47:43.00]-[0:47:47.00]  Lo quemaban, se los quemaban pobrecillos a dolor vivo,
[0:47:47.00]-[0:47:52.00]  los quemaban así, si salían a cara o si salían al brazo, donde salieron.
[0:47:52.00]-[0:47:55.00]  ¿Y los animales a qué temen normalmente?
[0:47:55.00]-[0:47:58.00]  ¿Son más inmeados o sí?
[0:47:58.00]-[0:48:02.00]  Bueno, pues sí, sí que son las vacas, sí, por lo menos.
[0:48:02.00]-[0:48:06.00]  Se espantan así, si no conocen a alguno salen corriendo y eso,
[0:48:06.00]-[0:48:11.00]  a las personas que no conocen sí salen corriendo mucho, sí, se espantan y eso,
[0:48:11.00]-[0:48:15.00]  así se asustan a ver a los que no, hombres, los que las echan de comer todos los días
[0:48:15.00]-[0:48:18.00]  y los que están alrededor de ellas, no, pero a los que no.
[0:48:18.00]-[0:48:21.00]  Y los cerdos pasa lo mismo, como vayas y no te vean,
[0:48:21.00]-[0:48:26.00]  también huyen y se escapan corriendo, así se meten.
[0:48:26.00]-[0:48:29.00]  A las cochineras, en otros sitios se llaman cochineras,
[0:48:29.00]-[0:48:31.00]  aquí las hemos llamado siempre zagurdas.
[0:48:31.00]-[0:48:32.00]  ¿En qué?
[0:48:32.00]-[0:48:37.00]  Donde entran los cochinos, los llaman cochineras en otro sitio y aquí zagurdas.
[0:48:37.00]-[0:48:39.00]  O sea, ¿dónde están los cerdos?
[0:48:39.00]-[0:48:40.00]  Los cerdos.
[0:48:40.00]-[0:48:42.00]  ¿Los establos cerdos?
[0:48:42.00]-[0:48:43.00]  Sí, los establos.
[0:48:43.00]-[0:48:44.00]  ¿Zagurdas?
[0:48:44.00]-[0:48:48.00]  Bueno, es que ahora los tenemos en un establo, todos así, todos juntos en una nave,
[0:48:48.00]-[0:48:51.00]  pero es que antiguamente eran en zagurdas, que eran apartes,
[0:48:51.00]-[0:48:55.00]  cada uno estaba aparte, salían a comer, hacían una pila que teníamos fuera
[0:48:55.00]-[0:48:59.00]  y luego las metíamos y los cerrábamos con su puertecita cada uno solo.
[0:48:59.00]-[0:49:05.00]  Ya no, ya están a estilo chotos, a estilo ovejas en establos grandes.
[0:49:05.00]-[0:49:10.00]  ¿Y a ver entonces a los jóvenes que les preocupaba?
[0:49:10.00]-[0:49:12.00]  ¿En aquella época?
[0:49:12.00]-[0:49:13.00]  ¿En aquella época?
[0:49:13.00]-[0:49:15.00]  ¿Era ahí jóvenes que nos preocupaban?
[0:49:15.00]-[0:49:19.00]  Pues yo no sé qué decirte, yo a mí no me preocupaba nada.
[0:49:19.00]-[0:49:21.00]  ¿Tenían vida y todo eso?
[0:49:21.00]-[0:49:27.00]  Nosotros entonces teníamos la vida bien resuelta porque nos la resolvían nuestros padres,
[0:49:27.00]-[0:49:30.00]  nosotros no es como ahora, que están más pendientes de los estudios y las cosas,
[0:49:30.00]-[0:49:34.00]  como antes ya sabíamos lo que teníamos que hacer, ni teníamos estudios, ni teníamos nada,
[0:49:34.00]-[0:49:38.00]  pues nada más trabajar en el campo y ya está, y haciendo las cosas de casa.
[0:49:38.00]-[0:49:41.00]  Así que el problema lo teníamos muy resuelto.
[0:49:41.00]-[0:49:46.00]  ¿Y a los padres que les solía preocupar?
[0:49:46.00]-[0:49:48.00]  Pues yo no sé, ¿a los padres que los preocuparía?
[0:49:48.00]-[0:49:50.00]  ¿Qué te voy a decir yo que los podía preocupar?
[0:49:50.00]-[0:49:51.00]  A los padres, pues yo no sé.
[0:49:51.00]-[0:49:53.00]  ¿Ayudaban los padres en la boda?
[0:49:53.00]-[0:49:55.00]  ¿En la boda de...?
[0:49:55.00]-[0:49:57.00]  Sí, cuando iban a casar a un hijo les ayudaban.
[0:49:57.00]-[0:50:01.00]  Pero eran los padres que no lo hacían porque nosotros no ganábamos nada.
[0:50:01.00]-[0:50:04.00]  Nosotros trabajábamos para la casa y todo era para los padres.
[0:50:04.00]-[0:50:09.00]  Así que cuando tú te casabas los padres te daban, te hacían la boda y te compraban los muebles.
[0:50:09.00]-[0:50:11.00]  ¿A ti te ayudaron?
[0:50:11.00]-[0:50:15.00]  A mí sí, me compraron los muebles y me hicieron la boda.
[0:50:15.00]-[0:50:18.00]  ¿Y a tus hijos les ayudaras?
[0:50:18.00]-[0:50:20.00]  A los padres digo yo que los ayudaré también.
[0:50:20.00]-[0:50:22.00]  Ya también los padres los ayudan.
[0:50:22.00]-[0:50:26.00]  Es que ahora es diferente, los hijos ya ganan para ellos.
[0:50:26.00]-[0:50:30.00]  Ya hay muchos que se hacen ellos la boda porque ellos ganan para ellos.
[0:50:30.00]-[0:50:33.00]  ¿Y recuerda que preocupaba el cura aquí del pueblo?
[0:50:33.00]-[0:50:35.00]  Tenía una preocupación.
[0:50:35.00]-[0:50:36.00]  ¿El cura?
[0:50:36.00]-[0:50:38.00]  ¿A qué se dedicaba?
[0:50:38.00]-[0:50:39.00]  Uy, el cura.
[0:50:39.00]-[0:50:41.00]  Arreñí mucho a los jóvenes cuando íbamos a misa.
[0:50:41.00]-[0:50:45.00]  Nos reñían mucho y cuando íbamos a confesar siempre estaba riñiendo.
[0:50:45.00]-[0:50:48.00]  En aquella época reñían mucho los sacerdotes.
[0:50:48.00]-[0:50:54.00]  Yo no sé por qué sería encima que… no sé, que no te puedo explicar por qué nos reñían tanto.
[0:50:54.00]-[0:50:58.00]  Con la que nos veían a lo mejor de paseos, si iba alguno con nosotras, ya estaban riñendo.
[0:50:58.00]-[0:51:01.00]  ¿Y se metía el cura en la vida del pueblo?
[0:51:01.00]-[0:51:04.00]  Bueno, pues sí, en aquella época se metía.
[0:51:04.00]-[0:51:08.00]  El cura era casi de los que mandaban en el pueblo como alcalde.
[0:51:08.00]-[0:51:12.00]  El cura al alcalde eran los que más mandaban que eran los que estaban más.
[0:51:12.00]-[0:51:16.00]  ¿Y qué molestaba al cura, por ejemplo?
[0:51:16.00]-[0:51:20.00]  Cosas que le pudieron molestar al cura.
[0:51:20.00]-[0:51:25.00]  Ya te digo, si íbamos de paseo y nos veían con algún chico de camino no lo decían en iglesias.
[0:51:25.00]-[0:51:28.00]  Porque había unas chicas que iban de paseo y iba uno con ellas y otra con ellas.
[0:51:28.00]-[0:51:31.00]  Y eso qué malo es porque fueras de paseo con un chico.
[0:51:31.00]-[0:51:33.00]  En pandillas.
[0:51:33.00]-[0:51:34.00]  Y eso era sus preocupaciones.
[0:51:34.00]-[0:51:38.00]  Sus preocupaciones que no podían dejar de ver con un chico como hoy día que van.
[0:51:38.00]-[0:51:40.00]  Anda, que van solas.
[0:51:40.00]-[0:51:44.00]  Y entonces íbamos en pandillas. A lo mejor íbamos cuatro o cinco y venía uno con nosotras.
[0:51:44.00]-[0:51:46.00]  Y os regañaba por el baile, por ir al baile.
[0:51:46.00]-[0:51:48.00]  Y por ir al baile, sí.
[0:51:48.00]-[0:51:49.00]  Y nos dejaba.
[0:51:49.00]-[0:51:53.00]  No, y entonces en Semana Santa no nos dejaban ir al baile. No había baile.
[0:51:53.00]-[0:51:57.00]  Semana Santa no nos dejaban ir al baile. No había baile nunca.
[0:51:57.00]-[0:51:59.00]  Y se moría Dios, no nos dejaban ir al baile.
[0:51:59.00]-[0:52:01.00]  ¿Y las faldas cortas?
