[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[0:38:55.00]-[0:38:56.00]  15 minutos.
[0:38:58.00]-[0:38:59.00]  Cuatro horas.
[0:39:01.00]-[0:39:04.00]  Sí, oye, pues 22 kilómetros las mulas.
[0:39:04.00]-[0:39:06.00]  Iban cansas, pues qué te crees.
[0:39:06.00]-[0:39:11.00]  Y no se podía ir a obligarlas, porque me han caído malas.
[0:39:11.00]-[0:39:12.00]  Claro.
[0:39:13.00]-[0:39:15.00]  Se pueden desmayar y...
[0:39:15.00]-[0:39:18.00]  ¿Cuánta carga podía llevar usted en el carro?
[0:39:18.00]-[0:39:19.00]  En una galera.
[0:39:19.00]-[0:39:23.00]  Con tres mulas, 4000 kilos de patatas bajaba el año que...
[0:39:23.00]-[0:39:24.00]  ¿Tú eres de Zaragoza?
[0:39:24.00]-[0:39:25.00]  No, yo no.
[0:39:25.00]-[0:39:27.00]  ¿El de Sánchez sabes dónde está?
[0:39:28.00]-[0:39:30.00]  Es la calle el de Sánchez que decían.
[0:39:30.00]-[0:39:31.00]  No, no lo sé.
[0:39:31.00]-[0:39:33.00]  Aquí en las tablerías abajo.
[0:39:33.00]-[0:39:36.00]  Aquí va una calle que las hincharon entonces.
[0:39:36.00]-[0:39:38.00]  Como le dicen esa calle.
[0:39:39.00]-[0:39:41.00]  Y descargaba ahí.
[0:39:41.00]-[0:39:43.00]  Y a cargar a Bono la química.
[0:39:45.00]-[0:39:46.00]  Oye.
[0:39:48.00]-[0:39:52.00]  Y luego lo que cultivaban aquí lo vendían o...
[0:39:52.00]-[0:39:53.00]  Sí.
[0:39:53.00]-[0:39:54.00]  O en una cooperativa.
[0:39:54.00]-[0:39:56.00]  No, la remolacha aquí se llevaba a la fabricada.
[0:39:56.00]-[0:39:59.00]  Lo tenía aquí en Zuehra y aquí abajo.
[0:39:59.00]-[0:40:01.00]  ¿Sabes? Ahí no la cogían.
[0:40:01.00]-[0:40:02.00]  Pero cada uno tenía su parceria.
[0:40:02.00]-[0:40:03.00]  Su contrato.
[0:40:03.00]-[0:40:04.00]  No, no.
[0:40:04.00]-[0:40:07.00]  Ellos venían un grupo de...
[0:40:07.00]-[0:40:11.00]  Descuento de la remolacha al pesador, ¿sabes?
[0:40:11.00]-[0:40:13.00]  Y ahí pesaba, te descontaban y...
[0:40:13.00]-[0:40:16.00]  Cuando eso te lo pagaban la azucarera.
[0:40:17.00]-[0:40:18.00]  Sí.
[0:40:21.00]-[0:40:25.00]  Después de la guerra también hubo unos años que se ponía mucho al falde.
[0:40:25.00]-[0:40:27.00]  Que cambió la evolución.
[0:40:27.00]-[0:40:30.00]  Que echó a gastar algún animal.
[0:40:30.00]-[0:40:35.00]  Pero no había porque la guerra se quedó un desastre.
[0:40:36.00]-[0:40:38.00]  No había ni un papel de fumar.
[0:40:39.00]-[0:40:41.00]  Ni un papel de fumar.
[0:40:41.00]-[0:40:42.00]  Sí.
[0:40:42.00]-[0:40:47.00]  Sí, porque antes siempre los cigarros los liaba uno.
[0:40:47.00]-[0:40:48.00]  Sí.
[0:40:48.00]-[0:40:49.00]  Siempre.
[0:40:49.00]-[0:40:52.00]  Tabaco picado. Ahora no bebes hystería.
[0:40:52.00]-[0:40:53.00]  Sí, sí.
[0:40:53.00]-[0:40:54.00]  Sí, ahí, picado.
[0:40:54.00]-[0:40:55.00]  Es mucho más barato.
[0:40:55.00]-[0:40:57.00]  La verdad es que sale...
[0:40:57.00]-[0:41:01.00]  Que hace cuatro o cinco años que no creas que me quité de fumar.
[0:41:01.00]-[0:41:03.00]  Porque no me gustaba, eh.
[0:41:03.00]-[0:41:05.00]  Pero oye...
[0:41:05.00]-[0:41:09.00]  Y me digo, va a llegar a 80 años y me siento que he cortado porque...
[0:41:09.00]-[0:41:10.00]  No puede ser, oye.
[0:41:10.00]-[0:41:12.00]  Está usted más sano que una pera, eh.
[0:41:12.00]-[0:41:14.00]  Sí, usted está más sano.
[0:41:14.00]-[0:41:17.00]  Hombre, es malo ni está un nada.
[0:41:17.00]-[0:41:21.00]  Yo mi abuela es más joven que usted y parece mayor.
[0:41:21.00]-[0:41:23.00]  Es bastante más joven.
[0:41:23.00]-[0:41:24.00]  Y parece mayor.
[0:41:24.00]-[0:41:27.00]  Sí, es mayor.
[0:41:28.00]-[0:41:30.00]  ¿Y qué hacen normalmente?
[0:41:30.00]-[0:41:33.00]  ¿Se vienen aquí por las tardes, por las mañanas?
[0:41:33.00]-[0:41:39.00]  Yo no tengo otro día que bajara por el pán para la hija y los nietos.
[0:41:39.00]-[0:41:42.00]  Y me hacha un café al puente que es cuñao.
[0:41:42.00]-[0:41:44.00]  Y venime aquí.
[0:41:44.00]-[0:41:46.00]  Y si no, estar por ahí charrando con...
[0:41:46.00]-[0:41:49.00]  ¡Ah, que huetear con alguno!
[0:41:49.00]-[0:41:54.00]  ¡Tenemos una y otra cosa!
[0:41:54.00]-[0:42:00.00]  Pero después de los años en la capital pasaban mucho hambre.
[0:42:00.00]-[0:42:04.00]  Es que no había nada, no había nada.
[0:42:04.00]-[0:42:06.00]  Se quedó la guerra, claro.
[0:42:06.00]-[0:42:09.00]  Que la guerra son así.
[0:42:09.00]-[0:42:14.00]  Tres años una nación, pues cuenta, sin trabajar nadie.
[0:42:14.00]-[0:42:20.00]  Fíjate, yo, después de terminar la guerra, ya me junté...
[0:42:20.00]-[0:42:24.00]  Porque a los de la zona roja que llamaban a los republicanos, ¿ves?
[0:42:24.00]-[0:42:27.00]  Eso no les valió la guerra.
[0:42:27.00]-[0:42:34.00]  Cuando se terminó la guerra, el año 40, a los del 37, la quinta del 37.
[0:42:34.00]-[0:42:38.00]  Que la quinta del 37 tenía 21 años cuando el del año 37.
[0:42:38.00]-[0:42:41.00]  Porque los quintos son cuando tienen 21 años.
[0:42:41.00]-[0:42:44.00]  El año que tienen 21 años es quinta de aquello.
[0:42:44.00]-[0:42:48.00]  Por ejemplo, yo nací el 24, pues el quinto del 45.
[0:42:48.00]-[0:42:53.00]  ¿Sabes? 21 años después que naces, es los quintos que llamaban.
[0:42:53.00]-[0:42:56.00]  Y si no había nada, mejor.
[0:42:56.00]-[0:43:00.00]  Hoy había unos andaluces que cuando estábamos en Balbastró,
[0:43:00.00]-[0:43:05.00]  iban de vigilancia, o que íbamos por la noche de vigilancia.
[0:43:05.00]-[0:43:09.00]  Le tiraban a echar tiros a un corral, se llevaron las gallinas,
[0:43:09.00]-[0:43:12.00]  y parece que las habían robado.
[0:43:12.00]-[0:43:15.00]  Los hicieron meterse al río con hielo.
[0:43:15.00]-[0:43:20.00]  Es que, tú no te lo puedes imaginar lo que era entonces un militar.
[0:43:20.00]-[0:43:23.00]  Nada. No era militar, era un avasallo.
[0:43:23.00]-[0:43:26.00]  No te podías defender nada.
[0:43:26.00]-[0:43:29.00]  Algunos jefes había bueno, pero la mayoría nada.
[0:43:33.00]-[0:43:36.00]  Yo, un chico que estábamos en una de Gallegos,
[0:43:36.00]-[0:43:39.00]  ahí subiendo al César de Viennigo,
[0:43:39.00]-[0:43:42.00]  y metiendo una pieza a la iglesia para el día Santa Bárbara,
[0:43:42.00]-[0:43:45.00]  que es el 4 de diciembre, pues al correr un cañón,
[0:43:45.00]-[0:43:48.00]  como se sabe tanto, le amolemos una pierna.
[0:43:48.00]-[0:43:52.00]  Oye, pues estuvo enjascado meses y pico.
[0:43:52.00]-[0:43:55.00]  Pues no lo mandaron a casa.
[0:43:55.00]-[0:43:59.00]  El ejército aquello era un avasallamiento.
[0:43:59.00]-[0:44:03.00]  No era... De cocina lo dejaban al mozo.
[0:44:03.00]-[0:44:07.00]  Y me junté después de jubilanos y no le quedó ninguna paga.
[0:44:07.00]-[0:44:09.00]  No sé si después se la darían.
[0:44:09.00]-[0:44:11.00]  Oye, esto de los...
[0:44:11.00]-[0:44:16.00]  Así que después, sano y sano, se le jode una pierna y no lo mandan a casa.
[0:44:16.00]-[0:44:20.00]  Es que allí, de cocina, ¿qué dicen de eso?
[0:44:20.00]-[0:44:23.00]  Sabes, para pelar patatas, en fin...
[0:44:28.00]-[0:44:32.00]  ¿Qué le parece que los hombres ahora cocinen
[0:44:32.00]-[0:44:35.00]  y que se dediquen a las cosas de...?
[0:44:35.00]-[0:44:37.00]  Oye, muy bien, que trabajan.
[0:44:37.00]-[0:44:39.00]  Oye, que comprendelo.
[0:44:39.00]-[0:44:41.00]  Claro.
[0:44:41.00]-[0:44:42.00]  Claro.
[0:44:42.00]-[0:44:43.00]  A mí me parece muy bien.
[0:44:43.00]-[0:44:45.00]  Oye...
[0:44:45.00]-[0:44:48.00]  Yo, con la hija que estoy, porque la otra la tengo en Zoraba,
[0:44:48.00]-[0:44:51.00]  cuando se van estos dos verán yo también me voy a Zoraba,
[0:44:51.00]-[0:44:55.00]  pero la de aquí trabaja por la mañana en la oficina.
[0:44:56.00]-[0:44:59.00]  El marido trabaja en el hospital en Zaragoza.
[0:44:59.00]-[0:45:02.00]  A las dos ya vienen todos pues.
[0:45:02.00]-[0:45:04.00]  Oye, yo lo veo que él...
[0:45:04.00]-[0:45:06.00]  Yo no ayudaba nada, pero era más torpe...
[0:45:06.00]-[0:45:08.00]  Todos éramos torpes entonces.
[0:45:08.00]-[0:45:10.00]  Si no sabíamos guisarme, ¿sabes el qué?
[0:45:10.00]-[0:45:12.00]  Patatas con aceite.
[0:45:12.00]-[0:45:15.00]  Lo que en el monte, y a huevos fritos y tortillas.
[0:45:15.00]-[0:45:17.00]  Un puchero judías.
[0:45:17.00]-[0:45:19.00]  Lo que se hacía en el monte.
[0:45:19.00]-[0:45:21.00]  Pero para casa, si no, nadie...
[0:45:21.00]-[0:45:23.00]  Pero si es que no había tiempo tampoco.
[0:45:23.00]-[0:45:24.00]  Claro.
[0:45:24.00]-[0:45:26.00]  Lo sabías en el día trabajando...
[0:45:26.00]-[0:45:27.00]  Claro.
[0:45:27.00]-[0:45:30.00]  Trabajando todo el día y no se producía nada.
[0:45:35.00]-[0:45:38.00]  Pero oye, la juventud es siempre igual, eh.
[0:45:39.00]-[0:45:41.00]  Se pasa bien de joven.
[0:45:42.00]-[0:45:44.00]  Con todo qué mal que íbamos...
[0:45:46.00]-[0:45:48.00]  Qué mal que íbamos al pueblo.
[0:45:48.00]-[0:45:50.00]  A Zora, aquí ves tú.
[0:45:50.00]-[0:45:52.00]  Íbamos de fiestas.
[0:45:52.00]-[0:45:55.00]  Pues, al cine no podemos ir.
[0:45:55.00]-[0:45:57.00]  Nos llevamos terras más que para el baile.
[0:45:58.00]-[0:46:00.00]  Y cenar nada, mirá.
[0:46:02.00]-[0:46:05.00]  Porque entonces la única juerga era el baile.
[0:46:05.00]-[0:46:07.00]  Oye, ahora tienen 40.000.
[0:46:08.00]-[0:46:10.00]  Pero a ver lo que discurra eso, oye.
[0:46:10.00]-[0:46:14.00]  Con pocas terras, mira, mira cómo te pasas la fiesta.
[0:46:14.00]-[0:46:16.00]  ¿Y qué bailaban?
[0:46:16.00]-[0:46:18.00]  Todo, paso dobles, todo.
[0:46:18.00]-[0:46:20.00]  Aún hay algún baile de esos, ¿verdad?
[0:46:20.00]-[0:46:21.00]  Sí, sí.
[0:46:21.00]-[0:46:23.00]  Yo me río aquí.
[0:46:23.00]-[0:46:28.00]  Que si los veo algún rato, están así, bailando así, y con un vaso.
[0:46:28.00]-[0:46:30.00]  A mí no bailan agarrados ni nada.
[0:46:31.00]-[0:46:32.00]  Bueno...
[0:46:32.00]-[0:46:35.00]  No, no, es lo peor que veo, eh.
[0:46:35.00]-[0:46:36.00]  No.
[0:46:40.00]-[0:46:44.00]  ¿Y por ejemplo, jugó usted a las cartas o al dominó o alguna cosa?
[0:46:44.00]-[0:46:45.00]  No.
[0:46:45.00]-[0:46:47.00]  Sé jugar, pero no me gusta jugar con esos adicatos.
[0:46:47.00]-[0:46:48.00]  Es que ahí jugamos.
[0:46:48.00]-[0:46:51.00]  ¿Hay tradición? ¿No juega la gente en algún sitio?
[0:46:51.00]-[0:46:53.00]  ¿Se juntan para jugar a las cartas o al dominó?
[0:46:53.00]-[0:46:55.00]  Pues oye, con toda la dura que hay de perras,
[0:46:55.00]-[0:46:59.00]  se juegan menos de la misma parte que cuando te digo que no había.
[0:47:01.00]-[0:47:03.00]  Aquí, cuando se echó a ir a Francia y por ahí,
[0:47:03.00]-[0:47:07.00]  la gente jugaba, y ahora que llevan dos perras no juega nadie.
[0:47:08.00]-[0:47:09.00]  Nada.
[0:47:09.00]-[0:47:11.00]  Y aún el café, se juega.
[0:47:12.00]-[0:47:14.00]  Te hice mentira, fíjate en dos veces, eh.
[0:47:14.00]-[0:47:18.00]  Que no había cuatro perras y se jugaban, oye.
[0:47:29.00]-[0:47:30.00]  No más.
[0:47:31.00]-[0:47:33.00]  Llevamos 50 minutos.
[0:47:34.00]-[0:47:35.00]  Oye, lo que queráis.
[0:47:35.00]-[0:47:37.00]  Si queréis, cortamos.
[0:47:37.00]-[0:47:39.00]  No, no, nosotros, por nosotros más.
[0:47:39.00]-[0:47:44.00]  O sea, ¿qué más? ¿Nos puede contar alguna anécdota así graciosa
[0:47:44.00]-[0:47:46.00]  que le haya pasado en el pueblo?
[0:47:47.00]-[0:47:48.00]  Sí, sí.
[0:47:48.00]-[0:47:51.00]  Salíamos de noche, a la mañana íbamos de noche,
[0:47:51.00]-[0:47:53.00]  y cosas nos iban a pasar.
[0:47:53.00]-[0:47:55.00]  Si no estábamos nunca de día en el pueblo.
[0:47:56.00]-[0:47:59.00]  Bueno, pues en el pueblo, en el campo, o donde sea.
[0:48:01.00]-[0:48:04.00]  No, si no había historia, si no había tiempo.
[0:48:04.00]-[0:48:06.00]  Claro.
[0:48:06.00]-[0:48:10.00]  No creas tú que el domingo era la fiesta de todo el día, eh.
[0:48:10.00]-[0:48:12.00]  Bien, chica, bien.
[0:48:12.00]-[0:48:14.00]  Llegabas a casa, puesto el sol.
[0:48:15.00]-[0:48:18.00]  Y el lunes arranca otra vez, y si estabas por el monte,
[0:48:18.00]-[0:48:19.00]  quedate al monte.
[0:48:20.00]-[0:48:22.00]  Yo, en la caseta.
[0:48:22.00]-[0:48:24.00]  Y agua la jibe, eh.
[0:48:25.00]-[0:48:26.00]  En el monte no hay...
[0:48:26.00]-[0:48:28.00]  Se hacían aljibes, ¿sabes?
[0:48:28.00]-[0:48:29.00]  Para recoger agua.
[0:48:30.00]-[0:48:31.00]  Y no había agua.
[0:48:31.00]-[0:48:33.00]  No había aljibes que se recogía, claro.
[0:48:33.00]-[0:48:36.00]  Ya sabían a dónde iban a ir y ya se...
[0:48:39.00]-[0:48:41.00]  ¿Y a qué jugaban los niños, por ejemplo?
[0:48:42.00]-[0:48:45.00]  A tocamarros, que no sabrás tú lo que es.
[0:48:45.00]-[0:48:47.00]  No. ¿Qué es?
[0:48:49.00]-[0:48:51.00]  A pillate para ir en el puente y por ahí.
[0:48:52.00]-[0:48:54.00]  Y a la gente, a la gente.
[0:48:54.00]-[0:48:56.00]  Y a la gente, a la gente.
[0:48:56.00]-[0:48:58.00]  Y a la gente, a la gente.
[0:48:58.00]-[0:49:01.00]  A pillate para ir en el puente y por ahí.
[0:49:01.00]-[0:49:02.00]  Y a ladrón ya civil.
[0:49:02.00]-[0:49:04.00]  Eso lo habréis oído.
[0:49:04.00]-[0:49:05.00]  ¿Cómo?
[0:49:05.00]-[0:49:06.00]  A ladrón ya civil.
[0:49:06.00]-[0:49:07.00]  Ah, sí, sí.
[0:49:07.00]-[0:49:08.00]  Que se encorrían, ¿sabes?
[0:49:08.00]-[0:49:10.00]  Se fugaban dos por ahí.
[0:49:10.00]-[0:49:12.00]  Pero a veces que se iban hasta el monte, eh.
[0:49:12.00]-[0:49:14.00]  Los ladrones y los rígiles detrás.
[0:49:14.00]-[0:49:16.00]  Sí, pues no había otra cosa hoy, eh.
[0:49:17.00]-[0:49:19.00]  La gente así se divertía.
[0:49:21.00]-[0:49:25.00]  Y algo que sea así típico del pueblo.
[0:49:25.00]-[0:49:27.00]  Que sea...
[0:49:27.00]-[0:49:28.00]  Que sea más bello.
[0:49:28.00]-[0:49:29.00]  Almudévar.
[0:49:29.00]-[0:49:31.00]  Almudévar es histórico, fíjate.
[0:49:31.00]-[0:49:32.00]  Almudévar.
[0:49:32.00]-[0:49:33.00]  Sí.
[0:49:33.00]-[0:49:34.00]  Pedro se aputó.
[0:49:39.00]-[0:49:40.00]  Y la justicia...
[0:49:40.00]-[0:49:42.00]  Había dos carpinteros.
[0:49:42.00]-[0:49:43.00]  Y un guerrero.
[0:49:43.00]-[0:49:45.00]  Y hicieron una muerte.
[0:49:46.00]-[0:49:49.00]  Y la hizo uno de los guerreros, que había dos.
[0:49:49.00]-[0:49:52.00]  Y dijeron, pues matamos al carpintero.
[0:49:52.00]-[0:49:54.00]  Y dejamos al guerrero.
[0:49:54.00]-[0:49:56.00]  Para que no punte a los barrones.
[0:49:56.00]-[0:49:57.00]  Para labrar.
[0:49:57.00]-[0:50:01.00]  Esa refrán ha salido muchas veces en las Cortes.
[0:50:01.00]-[0:50:03.00]  En los juicios esos.
[0:50:03.00]-[0:50:04.00]  Dezcalificado.
[0:50:05.00]-[0:50:06.00]  La justicia Almudévar.
[0:50:06.00]-[0:50:08.00]  Que lo pague el que no lo deba.
[0:50:12.00]-[0:50:17.00]  Y he oído algunos que hasta en Madrid, en el juicio, en eso, el Supremo,
[0:50:17.00]-[0:50:18.00]  ha salido a rechazar.
[0:50:18.00]-[0:50:22.00]  Ha salido a rechazar la justicia Almudévar.
[0:50:23.00]-[0:50:24.00]  Tenía un...
[0:50:24.00]-[0:50:25.00]  ¿Quién era de aquí?
[0:50:25.00]-[0:50:26.00]  ¿Eh?
[0:50:26.00]-[0:50:27.00]  ¿De aquí?
[0:50:27.00]-[0:50:28.00]  No.
[0:50:28.00]-[0:50:29.00]  ¿Era?
[0:50:29.00]-[0:50:30.00]  ¿Ese hombre?
[0:50:30.00]-[0:50:31.00]  Sí.
[0:50:31.00]-[0:50:32.00]  No, esos eran de Almudévar.
[0:50:32.00]-[0:50:33.00]  Ah, de Almudévar.
[0:50:33.00]-[0:50:35.00]  Y también había un anarquista.
[0:50:37.00]-[0:50:41.00]  Porque entonces, igual que la Guardia Civil, había anarquistas, ¿sabes?
[0:50:41.00]-[0:50:43.00]  Que los pagaba la gente rica.
[0:50:43.00]-[0:50:45.00]  Pero eso, ¿cuándo?
[0:50:45.00]-[0:50:48.00]  Eso, hasta después de la guerra.
[0:50:48.00]-[0:50:50.00]  Luego poco anarquista, ¿eh, Gabriel?
[0:50:50.00]-[0:50:54.00]  Hostia, jodo, y pues mataron a todos, ¿qué te crees?
[0:50:55.00]-[0:50:57.00]  Cuando estaba el seminario, ¿sabes?
[0:50:57.00]-[0:51:01.00]  En la Casa Grande, que sales para allá que estaba el seminario.
[0:51:02.00]-[0:51:05.00]  Allí mató a Ascaso, se llamaba ese de Almudévar.
[0:51:05.00]-[0:51:10.00]  Y mató al de Zaragoza, que no sé si era Canón y Gúkera.
[0:51:11.00]-[0:51:14.00]  Un huelgasivo de la luz.
[0:51:14.00]-[0:51:17.00]  Que huelgasivo, que las que ahora solo pasarán ahí.
[0:51:17.00]-[0:51:21.00]  Que si lees la escritura, te estás de toda vida.
[0:51:25.00]-[0:51:28.00]  Pero antes igual las organizaban de otra manera, ¿no?
[0:51:28.00]-[0:51:30.00]  Que no había los sindicatos ni las historias.
[0:51:30.00]-[0:51:32.00]  No había, nada.
[0:51:33.00]-[0:51:36.00]  ¿Cómo hacían? Para organizar si querían una huelga.
[0:51:36.00]-[0:51:39.00]  Aquí no había ninguna huelga, en este pueblo.
[0:51:39.00]-[0:51:41.00]  ¿Concluía trabajo?
[0:51:41.00]-[0:51:44.00]  No había ningún sindicato ni nada, pero claro,
[0:51:44.00]-[0:51:49.00]  después de la guerra ya echaron formas en sindicatos.
[0:51:49.00]-[0:51:52.00]  Y yo iba a trabajar a Zaragoza y así.
[0:51:53.00]-[0:51:55.00]  Pero si no, no.
[0:52:03.00]-[0:52:06.00]  ¿Cuánto tiempo hace que están pavimentadas las calles?
[0:52:06.00]-[0:52:08.00]  Muchos.
[0:52:08.00]-[0:52:12.00]  No te digo el agua, de esa que cambiemos, que donde vivo yo.
[0:52:12.00]-[0:52:15.00]  Cambiaron la tubería y la calle.
[0:52:15.00]-[0:52:18.00]  Dicen que la tubería, que sabemos mal, que...
[0:52:18.00]-[0:52:21.00] ...y dice que llevaba 40 años.
[0:52:21.00]-[0:52:25.00]  Fue la primera que se puso, pero de agua corriente para todo el pueblo.
[0:52:25.00]-[0:52:27.00]  La calle esa.
[0:52:27.00]-[0:52:31.00]  No el cemento, que el cemento... La calle se había echado ya antes.
[0:52:31.00]-[0:52:34.00]  Se hicieron las calles, ¿sabes? Con el hormigón.
[0:52:34.00]-[0:52:37.00]  Pero después cuando llegó el agua, pues...
[0:52:37.00]-[0:52:40.00] ...hubo que arrancarlas, claro.
[0:52:40.00]-[0:52:44.00]  Y ya te digo, hace dos años que hicieron esa calle...
[0:52:44.00]-[0:52:47.00] ...pues 40 años es de que llevaban las tuberías, claro.
[0:52:47.00]-[0:52:50.00]  Había algunas que abren la tierra, pues 40 años.
[0:52:51.00]-[0:52:54.00]  Es muy fácil que se amuele, que se empudran.
[0:52:54.00]-[0:52:57.00]  Ahora dicen que es un poner... Porque no había material tampoco.
[0:52:57.00]-[0:52:59.00]  Ahora ponen material.
[0:52:59.00]-[0:53:02.00]  Ahora que yo los vi a lo mejor por ahí por la mi calle,
[0:53:02.00]-[0:53:05.00]  bajada de casa chica, veladí, y decía...
[0:53:05.00]-[0:53:08.00] ...esto de material puede durar hasta 80 años.
[0:53:08.00]-[0:53:10.00]  Es otra clase de material.
[0:53:10.00]-[0:53:13.00]  Pero entonces lo que había, oye...
[0:53:13.00]-[0:53:15.00]  Claro...
[0:53:18.00]-[0:53:22.00]  Bueno, aquí hasta la guerra no se hacía ninguna casa de estar de vigas.
[0:53:22.00]-[0:53:25.00]  Las adobas, ¿sabes lo que son adobas?
[0:53:25.00]-[0:53:27.00]  Sí, sí, sí.
[0:53:27.00]-[0:53:29.00]  Pero ya no queda nada de eso, ¿no?
[0:53:29.00]-[0:53:33.00]  No. Hombre, no habrá alguna casa... Esa será de adobas.
[0:53:33.00]-[0:53:35.00]  ¿Ah, sí? Sí.
[0:53:35.00]-[0:53:37.00]  Pues esa tiene mucho más de 100 años.
[0:53:37.00]-[0:53:39.00]  Era vieja cuando era chico de hoy.
[0:53:39.00]-[0:53:42.00]  ¿Esta? Esa, esa. Y esa otra más.
[0:53:42.00]-[0:53:44.00]  Esa.
[0:53:44.00]-[0:53:46.00]  ¿Más de 100 años?
[0:53:46.00]-[0:53:48.00]  Esa sí. Bueno, esa.
[0:53:48.00]-[0:53:50.00]  ¿De cemento?
[0:53:50.00]-[0:53:52.00]  No, esa habrá de todo.
[0:53:52.00]-[0:53:54.00]  ¿O de yeso? De todo hay.
[0:53:54.00]-[0:53:56.00]  Esa, esa.
[0:53:56.00]-[0:53:59.00]  El año pasado la compraron una pareja.
[0:53:59.00]-[0:54:01.00]  Esa era...
[0:54:01.00]-[0:54:03.00]  Me he contado, mi miagüelo, que esa casa robar...
[0:54:03.00]-[0:54:07.00]  A los amos la robaron una tarde cuando venía la gente del campo, es por aquí.
[0:54:08.00]-[0:54:10.00]  Esa era la casa de la chana.
[0:54:10.00]-[0:54:12.00]  Todo eso era olivar, es de ella.
[0:54:12.00]-[0:54:15.00]  Y la fábrica de la luz que estaba ahí.
[0:54:15.00]-[0:54:17.00]  Todo eso era de esa familia.
[0:54:17.00]-[0:54:19.00]  ¿Que se apellidaban chanas?
[0:54:20.00]-[0:54:22.00]  Casa de la chana.
[0:54:22.00]-[0:54:26.00]  El olivar, todas esas fincas que tenía, decían el olivar de bítis.
[0:54:26.00]-[0:54:29.00]  ¿No sabía que había olivos por esta zona?
[0:54:29.00]-[0:54:31.00]  Muchos, había.
[0:54:33.00]-[0:54:36.00]  Aunque era alguno por el monte, pero pocos.
[0:54:36.00]-[0:54:39.00]  Pero han puesto muchos estos daños.
[0:54:40.00]-[0:54:43.00]  Antes había grandes, pero pocos, pero ahora...
[0:54:43.00]-[0:54:46.00]  ¿No ves que dieron una subvención?
[0:54:46.00]-[0:54:48.00]  ¿Sabes?
[0:54:48.00]-[0:54:50.00]  Pero el de...
[0:54:50.00]-[0:54:52.00]  ¿Cuál fue? Ese...
[0:54:52.00]-[0:54:54.00]  ¿Cuál fue?
[0:54:54.00]-[0:54:56.00]  Ese...
[0:54:56.00]-[0:54:59.00]  No sé si fue Greciao quien fue...
[0:54:59.00]-[0:55:02.00]  Apuntaban los olivos...
[0:55:03.00]-[0:55:05.00]  Y daban por olivo.
[0:55:06.00]-[0:55:10.00]  Pero llegó el fris ese del mercado común y dijo no, no, por producción.
[0:55:11.00]-[0:55:13.00]  Porque el otro...
[0:55:13.00]-[0:55:15.00]  Ayer salió de la cárcel el...
[0:55:15.00]-[0:55:17.00]  Aquel que se peinaba tanto...
[0:55:17.00]-[0:55:19.00]  ¿No sabes? Ese ese...
[0:55:19.00]-[0:55:21.00]  Que era de en banco, como se llamaba...
[0:55:21.00]-[0:55:23.00]  Mario Conde.
[0:55:23.00]-[0:55:26.00]  Mario Conde, ayer salió de la cárcel, ¿verdad?
[0:55:26.00]-[0:55:28.00]  Sí.
[0:55:28.00]-[0:55:30.00]  Ese las puso con foto...
[0:55:30.00]-[0:55:32.00]  Eran como si eran fotografiados.
[0:55:32.00]-[0:55:34.00]  Eran de papel pintado.
[0:55:34.00]-[0:55:36.00]  Las oliveras.
[0:55:36.00]-[0:55:39.00]  Y aquí pusieron muchas, por eso, no por las oliveras.
[0:55:39.00]-[0:55:43.00]  Las pusieron porque si daban mil pesetas por olivera, por ponerlas...
[0:55:43.00]-[0:55:46.00]  Dijeron, aquí las ponemos, nos dan las perras.
[0:55:46.00]-[0:55:48.00]  Y ahí se quedarán yermas.
[0:55:48.00]-[0:55:50.00]  Pero dijo el otro, no, esto no.
[0:55:50.00]-[0:55:55.00]  Aquí se pagarán... Les pagan 14 pesetas por kilo de producción.
[0:55:55.00]-[0:55:57.00]  Pero por eso hay muchas aquí.
[0:55:57.00]-[0:55:58.00]  ¿14 pesetas?
[0:55:58.00]-[0:55:59.00]  Sí.
[0:55:59.00]-[0:56:01.00]  Cada kilo que cogen.
[0:56:01.00]-[0:56:03.00]  Es muy poco, ¿no?
[0:56:03.00]-[0:56:05.00]  Oye, esa es la subvención que tienen.
[0:56:05.00]-[0:56:07.00]  Si van a 100 pesetas de kilo...
[0:56:07.00]-[0:56:09.00]  Ah, que le dan, le subvencionan con eso.
[0:56:09.00]-[0:56:10.00]  Se subvencionan con eso.
[0:56:10.00]-[0:56:12.00]  Y ahí se lo compraban por eso.
[0:56:12.00]-[0:56:13.00]  No, no.
[0:56:13.00]-[0:56:14.00]  Eso es muy poco.
[0:56:14.00]-[0:56:16.00]  Ellos la venden donde quieren.
[0:56:16.00]-[0:56:19.00]  Pero cada kilo que entregan en el almacén de Euris...
[0:56:19.00]-[0:56:21.00]  ¿Posían con esas 14 pesetas?
[0:56:21.00]-[0:56:23.00]  Esas 14 pesetas en kilo.
[0:56:23.00]-[0:56:24.00]  Ya.
[0:56:30.00]-[0:56:32.00]  Y qué más, qué más...
[0:56:32.00]-[0:56:35.00]  Y del trigo también les dan mucho.
[0:56:35.00]-[0:56:36.00]  Sí.
[0:56:36.00]-[0:56:38.00]  De subvención.
[0:56:40.00]-[0:56:43.00]  El trigo vivo dan muchas perras, han dado.
[0:56:45.00]-[0:56:47.00]  Ahora menos, o ahora siguen dando.
