[0:00:00.00]-[0:00:01.00]  La vida aquí...
[0:37:22.00]-[0:37:25.00]  Bueno, pues claro, no se van aconsejar.
[0:37:25.00]-[0:37:28.00]  Y se hacían más caso que hoy.
[0:37:28.00]-[0:37:30.00]  Hoy...
[0:37:30.00]-[0:37:33.00]  Hoy a ver menos caso a la gente.
[0:37:33.00]-[0:37:34.00]  Antes era más obediente.
[0:37:34.00]-[0:37:39.00]  Sí, bueno, yo los tengo todos casa hogar, vamos, y va bien, pero...
[0:37:39.00]-[0:37:41.00]  Y tengo buenos nietos que no...
[0:37:41.00]-[0:37:44.00]  Ni tienen drogas, ni tienen nada de ratización, ni nada de nada.
[0:37:44.00]-[0:37:46.00]  No hemos tenido un problema de nada.
[0:37:46.00]-[0:37:49.00]  Yo estoy muy contenta con ellos.
[0:37:49.00]-[0:37:54.00]  Porque mira, hay gente que ya ves que si drogas, que si esto, que si el otro, y eso.
[0:37:54.00]-[0:37:55.00]  Pero vamos, yo...
[0:37:55.00]-[0:37:58.00]  Yo nunca he tenido jamás ni los nietos tampoco.
[0:37:58.00]-[0:37:59.00]  Muy bien.
[0:37:59.00]-[0:38:03.00]  El que se casó ahora es guardia civil, que ahora aprobó para esto de la carretera,
[0:38:03.00]-[0:38:05.00]  de los coches de la carretera.
[0:38:05.00]-[0:38:09.00]  Y eso, yo nunca jamás he tenido problemas con los nietos tampoco.
[0:38:09.00]-[0:38:13.00]  Mira, aquí este está, pues su madre se ha marchado al cubo, porque es del cubo su madre.
[0:38:13.00]-[0:38:19.00]  Y mi hijo se marchó a un pueblo que tenía que ir a hacer unos recaos.
[0:38:19.00]-[0:38:22.00]  Y dijo, abuela, que me quedo aquí, que me voy a comer contigo.
[0:38:22.00]-[0:38:24.00]  Bueno, pues venga, come conmigo mejor.
[0:38:24.00]-[0:38:27.00]  Se te acompañó.
[0:38:27.00]-[0:38:32.00]  Y los cultivos, si alguna vez no salían bien o había algún problema,
[0:38:32.00]-[0:38:34.00]  ¿qué contraria le discutían?
[0:38:34.00]-[0:38:36.00]  Pues nada, que entonces no pagaba nadie nada.
[0:38:36.00]-[0:38:41.00]  Ni estaban asegurados, ni estaban nada, así que el que lo perdía, lo perdía.
[0:38:41.00]-[0:38:45.00]  Es como hoy, que lo tienen, por ejemplo, hoy están asegurados,
[0:38:45.00]-[0:38:48.00]  le dan por la hierba que no hay, pues entonces no.
[0:38:48.00]-[0:38:50.00]  Entonces no nos daban nada.
[0:38:50.00]-[0:38:54.00]  No nos pagaban la hierba, por ejemplo, si no había, pues te tenías que aguantar.
[0:38:54.00]-[0:38:55.00]  Y hoy no.
[0:38:55.00]-[0:38:59.00]  Pues mira, ya han dicho en la tele que si le pagan la sequía, ¿qué tal?
[0:38:59.00]-[0:39:04.00]  Entonces, si había sequía, como si no la diera, era igual.
[0:39:04.00]-[0:39:06.00]  ¿Te dijeron que quedas a cien meses?
[0:39:06.00]-[0:39:10.00]  Hombre, claro, a ver, hija, no te pagaban nada, pues ya estaba.
[0:39:10.00]-[0:39:12.00]  Pero supongo que la gente del pueblo ayudaría, ¿no?
[0:39:12.00]-[0:39:13.00]  O sea, si una persona del pueblo...
[0:39:13.00]-[0:39:19.00]  Ah, hija, sí, sí, ayudaban, no, es que la gente del pueblo tampoco tenía muchas cosas y...
[0:39:19.00]-[0:39:22.00]  A lo mejor te daban un cachopán, pero no era para todos los días.
[0:39:22.00]-[0:39:25.00]  No, claro, era cosa que...
[0:39:25.00]-[0:39:28.00]  Así que bueno, ¿ves? La vida es así.
[0:39:28.00]-[0:39:32.00]  En algún sitio va donde se reunían, por las tardes, ¿no se visitaban?
[0:39:32.00]-[0:39:37.00]  Hombre, aquí no, te digo que estaría, que venían aquí a jugar, tenía siete mesas y aquí jugaban.
[0:39:37.00]-[0:39:40.00]  Yo tenía el bar también, aquí en el pueblo.
[0:39:40.00]-[0:39:44.00]  Y eso, también hay ahora los bares, el de los jubilaos.
[0:39:44.00]-[0:39:48.00]  Hay dos bares, uno de los jubilaos, que hoy está en discusión.
[0:39:48.00]-[0:39:53.00]  Y yo no he ido porque he andado limpiando arriba un poco y tal,
[0:39:53.00]-[0:39:57.00]  y quería, antes de marcharme para ahí, quería dejar limpia un poco la casa de polvo,
[0:39:57.00]-[0:40:00.00]  porque como he estado por ahí, pues no la tenía limpia.
[0:40:00.00]-[0:40:05.00]  Y digo, no, pues mira, la voy a limpiar y perdono la discusión ahora y no voy.
[0:40:05.00]-[0:40:10.00]  Pero bueno, que ahí ese bar y luego hay otro pegando ahí a la iglesia,
[0:40:10.00]-[0:40:14.00]  de la mocedad y de eso, más para la mocedad, claro.
[0:40:14.00]-[0:40:16.00]  Y bueno, sí, ¿no?
[0:40:16.00]-[0:40:21.00]  ¿Y según, si recuerdas, los niños salían de un puño?
[0:40:21.00]-[0:40:26.00]  No, no, no, los niños se iban por ahí a jugar o...
[0:40:26.00]-[0:40:27.00]  Se criaban al aire libre.
[0:40:27.00]-[0:40:30.00]  Claro, sí, y ahora igual.
[0:40:30.00]-[0:40:33.00]  Ahora cuando salen del colegio, este mío tiene que hacer los deberes,
[0:40:33.00]-[0:40:36.00]  pero cuando termina, pues ya sabes, a jugar.
[0:40:36.00]-[0:40:39.00]  Y hoy, mira, como ya terminó de los deberes y no está su madre,
[0:40:39.00]-[0:40:41.00]  pues por ahí anda corriendo la bicicleta.
[0:40:41.00]-[0:40:43.00]  ¿Y a qué se le iba a jugar contra la niña?
[0:40:43.00]-[0:40:49.00]  Sí, hombre, había mucho, había pelotas, había de todo esas cosas.
[0:40:49.00]-[0:40:53.00]  ¿Los niños jugaban solo los niños y las niñas con las niñas o siempre jugaban?
[0:40:53.00]-[0:40:57.00]  No, siempre jugaban aparte, porque como estaban enseñados a jugar aparte,
[0:40:57.00]-[0:40:59.00]  y sin embargo ahora no.
[0:40:59.00]-[0:41:03.00]  ¿Y ahora van a ayudar a misa, este mío va a ayudar a misa, al señor cura?
[0:41:03.00]-[0:41:06.00]  ¿Y otras niñas que hay, pues van igual?
[0:41:06.00]-[0:41:07.00]  Sí, pero ya no...
[0:41:07.00]-[0:41:11.00]  Claro, ya no, ya no, ya no, así que bueno, ya.
[0:41:11.00]-[0:41:13.00]  O sea, es de otra manera la cosa.
[0:41:13.00]-[0:41:14.00]  Se les agrupa el...
[0:41:14.00]-[0:41:15.00]  De otra manera.
[0:41:15.00]-[0:41:16.00]  Claro, es que no tienen.
[0:41:16.00]-[0:41:18.00]  Sí.
[0:41:18.00]-[0:41:20.00]  Pero hacían más caso antes que hoy.
[0:41:20.00]-[0:41:22.00]  Antes era más...
[0:41:22.00]-[0:41:24.00]  Hombre, claro, sí.
[0:41:24.00]-[0:41:28.00]  Lo que tiene es que era otra vida más esclava que hoy.
[0:41:28.00]-[0:41:31.00]  Claro, la vida ha cambiado mucho.
[0:41:31.00]-[0:41:33.00]  Se ve, sí, bastante.
[0:41:33.00]-[0:41:37.00]  Para todo el mundo, para todo el mundo, hija.
[0:41:39.00]-[0:41:45.00]  ¿Y cuando se reunían en unos bailes, o sea, para ir al baile, por ejemplo,
[0:41:45.00]-[0:41:48.00]  una muchacha lo podía ir al baile y tenía aquí la compañera de su madre o...
[0:41:48.00]-[0:41:50.00]  No, no, no, no, no, así no.
[0:41:50.00]-[0:41:54.00]  Aquí iban ellas todas, si tenía novio, estaba con el novio Pallis,
[0:41:54.00]-[0:42:00.00]  y si no tenía novio, pues no bailaba tú a esta y la otra al otro y así.
[0:42:00.00]-[0:42:02.00]  Ya, eso no es otra historia.
[0:42:02.00]-[0:42:04.00]  O sea que no se había digo...
[0:42:04.00]-[0:42:06.00]  No, no había problema.
[0:42:06.00]-[0:42:08.00]  Hombre, había problemas como hoy.
[0:42:08.00]-[0:42:11.00]  Muchas chicas a lo mejor ya saben lo que pasa.
[0:42:11.00]-[0:42:14.00]  La gente joven pues lo mismo es hoy que el otro día.
[0:42:14.00]-[0:42:18.00]  Eso, pero hoy hay más cosas para tener hijos y cosas.
[0:42:18.00]-[0:42:24.00]  Es como antiguamente que no teníamos esas cosas.
[0:42:24.00]-[0:42:32.00]  ¿Y había, o sea, un... como el alcalde por ejemplo, si tenías un...
[0:42:32.00]-[0:42:34.00]  Es que no sé si se ve el ayuntamiento.
[0:42:34.00]-[0:42:36.00]  Sí, sí, ahí lo tienes, toda la vida.
[0:42:36.00]-[0:42:37.00]  Se le llamaba ayuntamiento.
[0:42:37.00]-[0:42:39.00]  Ayuntamiento como ahora.
[0:42:39.00]-[0:42:43.00]  El ayuntamiento está ahí mismo, en la plaza, ahí a la vi puerta ves el ayuntamiento con el reloj.
[0:42:43.00]-[0:42:45.00]  ¿Cómo se elegía al alcalde del pueblo?
[0:42:45.00]-[0:42:46.00]  ¿Votando?
[0:42:46.00]-[0:42:48.00]  Sí, sí, todos votando como ahora.
[0:42:48.00]-[0:42:52.00]  Claro, igual.
[0:42:52.00]-[0:42:56.00]  Este alcalde que tenemos ahora pues lleva ya no sé cuántos años.
[0:42:56.00]-[0:42:59.00]  Pero ahora ya, ya no quiere seguir.
[0:42:59.00]-[0:43:00.00]  Este año ya no.
[0:43:00.00]-[0:43:02.00]  No quiere seguir porque ya cobra.
[0:43:02.00]-[0:43:04.00]  Ya empieza.
[0:43:04.00]-[0:43:08.00]  El año pasado tuvo que ser porque no había nadie quien quisiera el ayuntamiento.
[0:43:08.00]-[0:43:10.00]  Pero vamos, ahora ya sí.
[0:43:10.00]-[0:43:12.00]  Ahora ya, ya habrá otro, no sé, vamos.
[0:43:12.00]-[0:43:13.00]  No porque salen...
[0:43:13.00]-[0:43:15.00]  Sí, sí, de todo.
[0:43:15.00]-[0:43:16.00]  Sí, sí.
[0:43:16.00]-[0:43:17.00]  ¿Mantén salí?
[0:43:17.00]-[0:43:18.00]  Sí, también.
[0:43:18.00]-[0:43:19.00]  Sí, eso sí.
[0:43:19.00]-[0:43:22.00]  Pero mismo, ¿donde como ahora hay más? ¿Se ve más...?
[0:43:22.00]-[0:43:24.00]  No, yo creo que lo mismo.
[0:43:24.00]-[0:43:29.00]  Yo creo que un poco más o menos sí, porque aquí siempre ha habido secretario y hay.
[0:43:29.00]-[0:43:33.00]  Aquí no vive, pero viene tres días a la semana.
[0:43:33.00]-[0:43:34.00]  También.
[0:43:34.00]-[0:43:38.00]  Ahora ya está abierto, pero el alcalde sí, el alcalde está aquí.
[0:43:38.00]-[0:43:39.00]  Mira aquí.
[0:43:39.00]-[0:43:44.00]  ¿Y en el correo por ejemplo?
[0:43:44.00]-[0:43:47.00]  El correo no vive aquí, pero todos los días viene.
[0:43:47.00]-[0:43:48.00]  Todos los días.
[0:43:48.00]-[0:43:49.00]  Todos los días.
[0:43:49.00]-[0:43:51.00]  No estamos bien servidos de eso, sí.
[0:43:51.00]-[0:43:56.00]  A Vitibudino coge el correo, viene y eso, y tenemos al buzón ahí, pues echamos las cartas y...
[0:43:56.00]-[0:43:58.00]  No, no, el correo no falla tampoco.
[0:43:58.00]-[0:43:59.00]  El correo siempre está...
[0:43:59.00]-[0:44:01.00]  Sí, siempre, siempre.
[0:44:01.00]-[0:44:03.00]  O sea, que es un pueblo que conoce perfectamente...
[0:44:03.00]-[0:44:06.00]  Con Vitibudino y eso, pues es un pueblo comunicado de Vitibudino.
[0:44:06.00]-[0:44:09.00]  Aquí vamos a comprar Vitibudino y todo.
[0:44:09.00]-[0:44:10.00]  Claro, todo.
[0:44:10.00]-[0:44:11.00]  Claro.
[0:44:11.00]-[0:44:16.00]  Sí, porque está ahí cinco kilómetros y hay coche a tres horas.
[0:44:16.00]-[0:44:21.00]  El coche es a la banca, pasa por la carretera, pues si hay cuatro coches para abajo y cuatro coches para arriba.
[0:44:21.00]-[0:44:22.00]  O sea que todo el día hay...
[0:44:22.00]-[0:44:23.00]  Sí, sí, sí.
[0:44:23.00]-[0:44:25.00]  Puedes hacer muy granos.
[0:44:25.00]-[0:44:26.00]  ¿Y está lejos?
[0:44:26.00]-[0:44:28.00]  O sea, se tarda mucho tampoco.
[0:44:28.00]-[0:44:29.00]  No, cinco kilómetros.
[0:44:29.00]-[0:44:32.00]  Ya veo que no puede tardar cinco kilómetros, nada.
[0:44:32.00]-[0:44:34.00]  Cinco minutos, de aquí a Vitibudino cinco minutos.
[0:44:34.00]-[0:44:36.00]  No hay más.
[0:44:36.00]-[0:44:39.00]  Así que, fíjate.
[0:44:39.00]-[0:44:40.00]  Muy bien.
[0:44:40.00]-[0:44:43.00]  Voy a ver si hago la comida, que viene el niño y no tengo la comida.
[0:44:43.00]-[0:44:44.00]  Yo diría vos.
[0:44:44.00]-[0:44:46.00]  No que nos molestan nada más.
[0:44:46.00]-[0:44:47.00]  Ya, muchas gracias por...
[0:44:47.00]-[0:44:48.00]  Nada, de mujer.
[0:44:48.00]-[0:45:11.00] ...para atendernos.
