[0:00:00.00]-[0:00:02.00]  ¿Ya está grabando?
[0:36:59.92]-[0:37:01.92]  Ah, eso lo llaman ardeñar, eso es un acaudón.
[0:37:01.92]-[0:37:04.92]  Sí, sí, una manecilla que lleva cuatro o cinco dientes,
[0:37:04.92]-[0:37:08.92]  pues hay siete dientes, y lleva muy cortillas, pero viene así.
[0:37:08.92]-[0:37:11.92]  Y lo coge en la cama, y tira, y pues cae al faldo,
[0:37:11.92]-[0:37:14.92]  al faldo de cerdo, cae, y...
[0:37:14.92]-[0:37:17.92]  Y ha dicho que tenía una vid también.
[0:37:17.92]-[0:37:20.92]  ¿Nada? Vid de parte uva.
[0:37:20.92]-[0:37:22.92]  Vid, esta mera, vid.
[0:37:22.92]-[0:37:26.92]  Yo estuve hace tres años trabajando aquí en una,
[0:37:26.92]-[0:37:29.92]  pero esa la han vendido los dueños, la han vendido a otras familias,
[0:37:29.92]-[0:37:33.92]  ya no va nadie, está abandonada, como le digo, está abandonada.
[0:37:33.92]-[0:37:36.92]  Pero hay un pueblo que le llaman el Pozisco,
[0:37:36.92]-[0:37:40.92]  y uno hacia Almería, pero a izquierda para la Certiega.
[0:37:40.92]-[0:37:42.92]  Por Fiñana, antes de llegar a Fiñana,
[0:37:42.92]-[0:37:45.92]  al pasar de Guanija, hay un camino que va
[0:37:45.92]-[0:37:48.92]  ahí a la sierra que hay aquí del frente,
[0:37:48.92]-[0:37:51.92]  y sí, ahí hay una viña buena, sí.
[0:37:51.92]-[0:37:53.92]  Ahí, no sé el terreno que hay ahí.
[0:37:53.92]-[0:37:56.92]  Yo sí que había 24 hectáreas,
[0:37:56.92]-[0:37:59.92]  cuando yo estuve trabajando hace tres años, había 24 hectáreas,
[0:37:59.92]-[0:38:01.92]  y estábamos bien, pero era jovencilla,
[0:38:01.92]-[0:38:03.92]  y no echaban, no cargaban como tenían que cargar,
[0:38:03.92]-[0:38:05.92]  claro, volvieron a los noventillas, pero...
[0:38:05.92]-[0:38:09.92]  Lo que pasa es que eso pertenece a un pueblo de Ardeire,
[0:38:09.92]-[0:38:11.92]  aquel de arriba, Ardeire,
[0:38:11.92]-[0:38:14.92]  y al alcalde que había no le dieron permiso para hacer la bodega.
[0:38:14.92]-[0:38:17.92]  Está la excavación hecha, está la excavación hecha,
[0:38:17.92]-[0:38:19.92]  pero no le dieron permiso para hacerla,
[0:38:19.92]-[0:38:22.92]  y los dueños saltaron, lo que dé ahí, y la han vendido.
[0:38:22.92]-[0:38:24.92]  ¿Y antes hacía vino aquí?
[0:38:24.92]-[0:38:26.92]  ¿Ya antes? No, no, no.
[0:38:26.92]-[0:38:28.92]  Para eso vino, había una gente,
[0:38:28.92]-[0:38:31.92]  la mujer subió allá al pujarra,
[0:38:31.92]-[0:38:34.92]  pujarra, y la niña ahí, y han comprado
[0:38:34.92]-[0:38:36.92]  un par de kilos de uva,
[0:38:36.92]-[0:38:39.92]  mil, dos mil kilos, cien kilos, cada uno,
[0:38:39.92]-[0:38:43.92]  lo que llegaste, y sí, es cuando han hecho, pero...
[0:38:43.92]-[0:38:45.92]  ¿Pero aquí creas que aquí la uva no?
[0:38:45.92]-[0:38:46.92]  No.
[0:38:46.92]-[0:38:48.92]  No, aquí nunca se ha creado que la uva no.
[0:38:48.92]-[0:38:51.92]  Ahí en el llano donde están las placas solares,
[0:38:51.92]-[0:38:54.92]  sí hubo una viña que hubo allá hace muchos años,
[0:38:54.92]-[0:38:58.92]  muchos años, y era una uva blanca, pero muy buena,
[0:38:58.92]-[0:39:00.92]  era muy buena, muy dulce, muy buena, pero,
[0:39:00.92]-[0:39:03.92]  hacían vino, y hacían más tinajas grandes,
[0:39:03.92]-[0:39:05.92]  de barro, de esas grandes, pero,
[0:39:05.92]-[0:39:09.92]  aquí ya se hacía mucho tiempo, hacía treinta y tanto,
[0:39:09.92]-[0:39:12.92]  cuarenta años, después ya no, después no.
[0:39:12.92]-[0:39:15.92]  ¿Y la navaja esa que nos enseñó, se la trajo de Suiza?
[0:39:15.92]-[0:39:18.92]  No, no, esta la compré yo aquí, esta es...
[0:39:18.92]-[0:39:19.92]  ¿Nacional?
[0:39:19.92]-[0:39:20.92]  Sí, es nacional.
[0:39:20.92]-[0:39:23.92]  ¿Por qué no se ha hecho desde que se fue usted a Suiza a trabajar?
[0:39:23.92]-[0:39:25.92]  Estuve tres años en Suiza trabajando, en la construcción.
[0:39:25.92]-[0:39:26.92]  ¿En la construcción?
[0:39:26.92]-[0:39:28.92]  En la construcción, sí.
[0:39:28.92]-[0:39:33.92]  En el 80, 81 y 82, y me vine el día 15 de enero de los 63.
[0:39:33.92]-[0:39:34.92]  Ah, se acuerda usted.
[0:39:34.92]-[0:39:36.92]  Sí, yo me reclamé yo perfectamente, yo lo he sacido,
[0:39:36.92]-[0:39:40.92]  he hecho de todas, y luego estuve en el 97,
[0:39:40.92]-[0:39:49.92]  en el 97, me fui a Madrid, no, miento,
[0:39:49.92]-[0:39:53.92]  en el 87 me fui a Madrid y me vine en el 93 también,
[0:39:53.92]-[0:39:58.92]  de Madrid, estuve cuatro años, y lo conocí en Madrid o algo,
[0:39:58.92]-[0:40:02.92]  en Collao Mediano, a 50 kilómetros de Madrid.
[0:40:02.92]-[0:40:03.92]  Ah, por ahí por la sierra.
[0:40:03.92]-[0:40:09.92]  Por la sierra, a seis kilómetros de Guadarrama,
[0:40:09.92]-[0:40:11.92]  a diez de Villalba.
[0:40:11.92]-[0:40:13.92]  Se lo sabe usted mejor que nosotros.
[0:40:13.92]-[0:40:19.92]  Yo he estado por allí, había allí un bar que se llamaba,
[0:40:19.92]-[0:40:24.92]  conmigo, un tal de Alejandro, en la carretera que va hacia Los Molinos,
[0:40:24.92]-[0:40:27.92]  Tercedilla, todo eso lo conozco.
[0:40:27.92]-[0:40:28.92]  Eso lo ha corrido mucho.
[0:40:28.92]-[0:40:33.92]  Sí, lo ha corrido mucho, me había comprado ahí una motilla en Villalba,
[0:40:33.92]-[0:40:36.92]  en Villalba, me compré una motilla pequeña, una Morelli,
[0:40:36.92]-[0:40:40.92]  que era extranjera, italiana, y luego salimos mal,
[0:40:40.92]-[0:40:43.92]  era de Cusre dello, contaba llovía, luego empezaba a partir,
[0:40:43.92]-[0:40:46.92]  no podía subir al negocio, te preocupes.
[0:40:46.92]-[0:40:49.92]  Pero, sí, pues me voy a ir al pueblo, para ir a comprar,
[0:40:49.92]-[0:40:52.92]  porque yo vivía al pueblo, que era el pueblo,
[0:40:52.92]-[0:40:57.92]  yo vivía en una oración que se llama La Cubañera,
[0:40:57.92]-[0:41:02.92]  que está casi al final del pueblo, pero ya hacia Los Molinos,
[0:41:02.92]-[0:41:06.92]  tal cruce hacia Los Molinos y hacia Guadarrama.
[0:41:06.92]-[0:41:09.92]  Y luego iba a Los Molinos, iba a Pasarceguía, para arriba,
[0:41:09.92]-[0:41:13.92]  y luego aquí en la última estación, del tren.
[0:41:13.92]-[0:41:17.92]  Va a Puerto San Rafael, para Segovia y todo eso.
[0:41:17.92]-[0:41:18.92]  De donde le va a la estación.
[0:41:18.92]-[0:41:21.92]  Sí, claro, todo eso sí lo conozco bien.
[0:41:21.92]-[0:41:22.92]  Pues le gustaba esa zona.
[0:41:22.92]-[0:41:24.92]  Sí, y me encantaba.
[0:41:24.92]-[0:41:26.92]  Lo que pasa es que me quedé sin trabajo, digo,
[0:41:26.92]-[0:41:30.92]  yo quedaba aquí, digo, y pagando un piro que pagaba casi,
[0:41:30.92]-[0:41:36.92]  esto pagaba 56.000 pesetas, y me voy.
[0:41:36.92]-[0:41:38.92]  Tengo esta vez para trabajar ahí en la construcción.
[0:41:38.92]-[0:41:40.92]  Sí, la construcción, todo en la construcción.
[0:41:40.92]-[0:41:46.92]  En el Coyamediano, apretado al cementerio que hay en Coyamediano,
[0:41:46.92]-[0:41:51.92]  hay un recinto que tiene, parece que son 20 y tantas hectáreas,
[0:41:51.92]-[0:41:55.92]  ahí hay una cerca que es de mantenimiento de construcción.
[0:41:55.92]-[0:42:00.92]  Y ahí había grúas, había un vestuario de endamio, había de todo,
[0:42:00.92]-[0:42:04.92]  y hierro, para hacer encofrados, para hacer de todo, había allí.
[0:42:04.92]-[0:42:09.92]  Y era una almacena de mantenimiento de construcción.
[0:42:09.92]-[0:42:11.92]  A su hija no le gustó tanto.
[0:42:11.92]-[0:42:13.92]  Pues me gustó más que España.
[0:42:13.92]-[0:42:17.92]  Lo que pasa es que se terminó el contrato y no pude irme.
[0:42:17.92]-[0:42:21.92]  Y no me lo mandaron porque me faltaban tres meses
[0:42:21.92]-[0:42:25.92]  para coger el permiso anual, porque allí le dan el permiso anual.
[0:42:25.92]-[0:42:28.92]  Pero a mí me mandaron el contrato si no estuviera por aquí entonces.
[0:42:28.92]-[0:42:29.92]  No.
[0:42:29.92]-[0:42:31.92]  Estaría allí en Sevilla.
[0:42:31.92]-[0:42:33.92]  Y allí se pasa mucho frío, ¿eh?
[0:42:33.92]-[0:42:34.92]  Así hace mucho frío.
[0:42:34.92]-[0:42:36.92]  Más todavía, más todavía.
[0:42:36.92]-[0:42:41.92]  Que yo de agosto para adelante, allí había que ir con dos pares de pantalones,
[0:42:41.92]-[0:42:45.92]  con dos pares de guantes, porque un hierro se pegaba el celo
[0:42:45.92]-[0:42:47.92]  y no podía recorrerlo.
[0:42:47.92]-[0:42:51.92]  Tenía que calentarlo con un suplete, pero yo he pasado mucho frío.
[0:42:51.92]-[0:42:54.92]  Pero así loco se vivía bien.
[0:42:54.92]-[0:42:55.92]  Se vivía bien.
[0:42:55.92]-[0:42:56.92]  Es maravilla.
[0:42:56.92]-[0:42:57.92]  Y se pagaba dinero entonces.
[0:42:57.92]-[0:43:00.92]  Hoy, igual que aquí, un jornal igual que aquí,
[0:43:00.92]-[0:43:04.92]  pues más o menos, pues ya los euros aquí y allí igual.
[0:43:04.92]-[0:43:05.92]  Entonces no.
[0:43:05.92]-[0:43:06.92]  Entonces eran los francos.
[0:43:06.92]-[0:43:09.92]  Entonces un franco valía 53 pesetas.
[0:43:09.92]-[0:43:11.92]  Y al cambio, por aquí.
[0:43:11.92]-[0:43:12.92]  Sí.
[0:43:12.92]-[0:43:15.92]  ¿Y allí en qué parte de Suiza estuvo?
[0:43:15.92]-[0:43:16.92]  Tanto en el de Lucena.
[0:43:16.92]-[0:43:18.92]  En Lucena.
[0:43:18.92]-[0:43:21.92]  Un pueblo que llaman, que llaman Reiden.
[0:43:21.92]-[0:43:22.92]  Reiden.
[0:43:22.92]-[0:43:24.92]  ¿Y entonces allí en que hablaban francés?
[0:43:24.92]-[0:43:25.92]  Aquello era alemán.
[0:43:25.92]-[0:43:26.92]  Alemán.
[0:43:26.92]-[0:43:27.92]  Era alemán.
[0:43:27.92]-[0:43:31.92]  Que a mí yo no aprendí alemán, cuatro palabras sueltas,
[0:43:31.92]-[0:43:34.92]  pero nada, pero ya me han olvidado.
[0:43:34.92]-[0:43:37.92]  El único italiano, hay una palabra y otra.
[0:43:37.92]-[0:43:39.92]  Bueno, pero es nada.
[0:43:39.92]-[0:43:40.92]  Y que vivía con españoles.
[0:43:40.92]-[0:43:42.92]  Sí, vivía con españoles.
[0:43:42.92]-[0:43:46.92]  Un se va ahí de Córdoba y estábamos los dos juntos.
[0:43:46.92]-[0:43:49.92]  Los dos en una casa, la cogimos nosotros particularmente.
[0:43:49.92]-[0:43:52.92]  O bien fuimos primeramente a la casa de la empresa.
[0:43:52.92]-[0:43:54.92]  Pero ahí había mucha gente y había dos mons.
[0:43:54.92]-[0:43:57.92]  Dijeron, bueno, vámonos de aquí.
[0:43:57.92]-[0:44:00.92]  Y cogimos una casa particular y la pagamos nosotros.
[0:44:00.92]-[0:44:02.92]  Pero nosotros más bien les desquitamos,
[0:44:02.92]-[0:44:05.92]  porque la empresa también nos descontaba a la vivienda.
[0:44:05.92]-[0:44:08.92]  Pero más bien pues luego ya nos fuimos y ya no nos descontaban.
[0:44:08.92]-[0:44:11.92]  Y con el descuento que nos daban, pues pagábamos la casa.
[0:44:11.92]-[0:44:14.92]  ¿Y cómo le salió la idea de irse de Suiza?
[0:44:14.92]-[0:44:15.92]  ¿Se lo dijo a un amigo?
[0:44:15.92]-[0:44:16.92]  No, a un amigo.
[0:44:16.92]-[0:44:17.92]  De ahí de Reiden.
[0:44:17.92]-[0:44:20.92]  Me llevaba bien, me llevo bien, por eso me llevo bien.
[0:44:20.92]-[0:44:22.92]  Estaba aquí trabajando por las calles,
[0:44:22.92]-[0:44:24.92]  apañando calles y eso.
[0:44:24.92]-[0:44:26.92]  Y yo y tú, y estábamos altos ya de tierra,
[0:44:26.92]-[0:44:28.92]  porque yo ya estaba alto.
[0:44:28.92]-[0:44:31.92]  Pues yo desde que tenía 7 años estoy trabajando en el campo.
[0:44:31.92]-[0:44:32.92]  ¿De pronto?
[0:44:32.92]-[0:44:34.92]  Sí, más pronto.
[0:44:34.92]-[0:44:37.92]  Mi padre estaba trabajando en una mina, ahí de Alquife.
[0:44:37.92]-[0:44:39.92]  Y yo era el único hombre que había en la casa.
[0:44:39.92]-[0:44:43.92]  Estaba en el hermano de mayo, se fue a Barcelona y yo solo.
[0:44:43.92]-[0:44:47.92]  Y empezó a acabar con la tierra y con 7 años empecé yo a trabajar.
[0:44:47.92]-[0:44:48.92]  Y yo solo.
[0:44:48.92]-[0:44:51.92]  Pero por eso yo digo, a mí no me atrevo a estar.
[0:44:51.92]-[0:44:54.92]  No más lucha, de nada.
[0:44:56.92]-[0:44:58.92]  ¿Y luego tuvo que hacer el servicio militar?
[0:44:58.92]-[0:45:06.92]  Sí, hombre, cuando yo vine aquí en el 77, me fui yo a la mili.
[0:45:06.92]-[0:45:09.92]  La hice en el Cala de Henares, en el Cidro.
[0:45:09.92]-[0:45:16.92]  Y luego fui a Leganer, al cuartel Marqués, Rimiento de Saboy a Zay.
[0:45:16.92]-[0:45:19.92]  También lo hice allí.
[0:45:19.92]-[0:45:22.92]  También lo hice en el cuartel, ahí en Leganer.
[0:45:22.92]-[0:45:24.92]  Y luego a lo largo de los años estaba ahí trabajando.
[0:45:24.92]-[0:45:27.92]  Después, luego he estado con nuestros madres, he estado con los jefes que he estado.
[0:45:27.92]-[0:45:29.92]  Hemos hecho ahí reformas y eso.
[0:45:29.92]-[0:45:32.92]  Y yo estoy digo, coño, cuando lo meces, ¿qué pasa yo por aquí?
[0:45:32.92]-[0:45:35.92]  Pero bueno.
[0:45:35.92]-[0:45:37.92]  ¿Y cómo nos puede contar cómo era la mili antes?
[0:45:37.92]-[0:45:39.92]  Porque nosotros, yo eso ya no me ha tocado.
[0:45:39.92]-[0:45:40.92]  Ya.
[0:45:40.92]-[0:45:43.92]  Por la memoria, tengo un latome.
[0:45:43.92]-[0:45:45.92]  Sí, eso es, tengo un latome.
[0:45:45.92]-[0:45:51.92]  Hablamos todo el mundo, usted el mundo habla, que ya una gilipollez, es un año perdido.
[0:45:51.92]-[0:45:53.92]  Pues no, aprende muchas cosas.
[0:45:53.92]-[0:45:54.92]  Sí, que le enseñe.
[0:45:54.92]-[0:45:58.92]  Yo para mí, porque tú ahora mismo te llamas un juez y no sabes armarlo.
[0:45:58.92]-[0:46:00.92]  Te lo dejan en la empieza y no sabes armarlo.
[0:46:00.92]-[0:46:02.92]  Pues yo sí cojo, yo sí lo cojo y sí lo armo.
[0:46:02.92]-[0:46:04.92]  Pues yo lo armo.
[0:46:04.92]-[0:46:08.92]  Ahora si sabes, pues no ponerte, no esconderte, porque yo que sé muchas cosas.
[0:46:08.92]-[0:46:13.92]  Tirarte al camp, tirarte de ahí, de un helicóptero, pues yo me pasé por un helicóptero.
[0:46:13.92]-[0:46:14.92]  Sí.
[0:46:14.92]-[0:46:18.92]  Y todos los viernes, todos los viernes por la mañana nada más que eso.
[0:46:18.92]-[0:46:23.92]  Y luego por la tarde, pues por la tarde de paseo, pues luego la parte de día de mediodía ya de paseo.
[0:46:23.92]-[0:46:25.92]  Ya esta vez hasta el fin de semana de paseo.
[0:46:25.92]-[0:46:31.92]  Que no te tocaba guardiado, te tocaba retengo, te tocaba cualquier cosa, pero bueno, y no.
[0:46:31.92]-[0:46:32.92]  Y vino.
[0:46:32.92]-[0:46:33.92]  Dios mare.
[0:46:33.92]-[0:46:36.92]  Yo no, yo no hacía nada más.
[0:46:36.92]-[0:46:43.92]  Y yo, pues por suerte y por desgracia por no decir, yo tuve ciento setenta días de permiso de día.
[0:46:43.92]-[0:46:46.92]  Y luego fin de semana uno o cientos no venía de aquí a mi casa.
[0:46:46.92]-[0:46:50.92]  Aquí al pueblo venía uno o cientos no venía de aquí a mi casa.
[0:46:50.92]-[0:46:54.92]  Y yo el pase, pues me lo daban el pase del militar, porque el pase y a mí no me ayudaba nada.
[0:46:54.92]-[0:46:56.92]  Yo daba el pase y fuera.
[0:46:56.92]-[0:47:00.92]  Yo tenía el pase y a mí no me gustaba de nada más que ahí venía y ya está.
[0:47:00.92]-[0:47:03.92]  ¿Les trataban bien los oficiales?
[0:47:03.92]-[0:47:05.92]  Yo no tengo quejas.
[0:47:05.92]-[0:47:07.92]  No tengo quejas.
[0:47:07.92]-[0:47:10.92]  Yo no puedo ir ni bien ni mal porque mira, algo...
[0:47:10.92]-[0:47:13.92]  Yo hice allí la mil por lo que todo el mundo hace.
[0:47:13.92]-[0:47:17.92]  Y hay que ir para allá, pues para allá, que ahí, para allá, bueno, pues para ahí no lo pedí.
[0:47:17.92]-[0:47:20.92]  ¿Y cómo se, cuando tenían tiempo libre, cómo se distraían?
[0:47:20.92]-[0:47:24.92]  Una vez nos habíamos dado una vuelta ahí por los pueblos que hay de Madrid.
[0:47:24.92]-[0:47:31.92]  Pues estábamos allí en el Egane, pues por La Blaga, Conconje, Tafe, todo el pueblo, pues andábamos.
[0:47:31.92]-[0:47:32.92]  ¿Qué es lo?
[0:47:32.92]-[0:47:37.92]  Pues nos tumbábamos ahí en las camillas, el día que nos quedábamos ahí, pues teníamos guardia, teníamos a los que nos salían de la guardia,
[0:47:37.92]-[0:47:40.92]  cuando nos van, pues tumbamos aquí.
[0:47:40.92]-[0:47:42.92]  Y te tumbabas y no hacías nada.
[0:47:42.92]-[0:47:44.92]  Y nada más.
[0:47:44.92]-[0:47:48.92]  Ustedes salían del pueblo, tomaban una cerveza con alguien, con los amigos, nada más.
[0:47:48.92]-[0:47:51.92]  Pero no podía hacer otra cosa.
[0:47:54.92]-[0:48:00.92]  ¿Y le enseñaron algo en la mili de... porque usted fue a ir a la escuela, nos ha dicho que trabajas en los...
[0:48:00.92]-[0:48:04.92]  Sí, pues yo en la escuela aquí en el pueblo Nostro de Munso.
[0:48:04.92]-[0:48:10.92]  No, porque yo entré con cinco años y con 11 años me sacaron de la... me sacaron, pues me tuve que salir.
[0:48:10.92]-[0:48:12.92]  Y yo llegué hasta el tercero.
[0:48:12.92]-[0:48:15.92]  Llegué a la primera y hasta el cuarto, pero al fin.
[0:48:15.92]-[0:48:22.92]  Pero me salimos, me tuve que salir porque nosotros estamos siete hermanos, más una que se murió, ocho.
[0:48:22.92]-[0:48:25.92]  Y entonces estaba la cosa un poco... a la brea.
[0:48:25.92]-[0:48:29.92]  Yo fui mi padre, tierra y... bueno.
[0:48:29.92]-[0:48:35.92]  Pero luego por la noche había allí un sábado ahí de Jaén, un terrafaese llamaba.
[0:48:35.92]-[0:48:40.92]  Y me dijo, yo digo, ¿por qué no te apuntas aquí a la escuela y de noche te apuntas a la escuela?
[0:48:40.92]-[0:48:42.92]  Digo, nada, digo yo.
[0:48:43.92]-[0:48:45.92]  Nunca me ha gustado la escuela.
[0:48:45.92]-[0:48:48.92]  Y no lo tenía yo aparecido, que me empieza.
[0:48:48.92]-[0:48:51.92]  La verdad es que me empieza, me empieza.
[0:48:51.92]-[0:48:55.92]  Porque, mire, el sábado no ocupó lugar en Perú.
[0:48:55.92]-[0:48:59.92]  ¿Qué no? ¿Qué no, qué no, qué no? Y no me apunté.
[0:48:59.92]-[0:49:01.92]  Nada.
[0:49:01.92]-[0:49:05.92]  Fui yo más burro que talón, como decíamos aquí.
[0:49:05.92]-[0:49:06.92]  Fui muy burro.
[0:49:06.92]-[0:49:10.92]  Que tenía que haber ido a la escuela por si, por lo menos te hubieras sacado algo, yo no sé,
[0:49:10.92]-[0:49:11.92]  por...
[0:49:11.92]-[0:49:13.92]  Escolado, escola, o cualquier cosa, algo.
[0:49:13.92]-[0:49:14.92]  Pero yo no lo tengo.
[0:49:14.92]-[0:49:16.92]  Porque yo escribo y no lo tengo.
[0:49:16.92]-[0:49:17.92]  No.
[0:49:17.92]-[0:49:19.92]  ¿Y usted se acuerda cuando era niño a qué jugaban?
[0:49:19.92]-[0:49:21.92]  Aquí, pues a muchos juegos.
[0:49:21.92]-[0:49:26.92]  Aquí el niño, es que yo niña es como yo digo, este niña, pues yo no tenía, pues con siete años,
[0:49:26.92]-[0:49:28.92]  con siete años ya estaba yo en el campo.
[0:49:28.92]-[0:49:33.92]  Quiera una cosa o la otra, con una cabra, con una burra, con lo que sea, en tiempos.
[0:49:33.92]-[0:49:38.92]  Pues yo niña, pues sí, que luego venía, pues jugaba, pues escondiste, pues yo quería asaltar,
[0:49:38.92]-[0:49:43.92]  asalto a la muerte, que decíamos, asalto a la muerte, que uno saca, se ira, te saltas por encima.
[0:49:43.92]-[0:49:47.92]  Bueno, yo no sé, a lo mejor aquí en la plaza, a lo mejor,
[0:49:47.92]-[0:49:51.92]  porque te daban clacotazos en la oreja, en la que vio, te ponían, y pum,
[0:49:51.92]-[0:49:56.92]  y le daban, aquí a lo morco, me digo, a lo sujo, pero bueno.
[0:49:56.92]-[0:49:57.92]  ¿Travesuras hacían?
[0:49:57.92]-[0:50:01.92]  Pues travesuras, pues, entonces, pues como no había mucho para comer,
[0:50:01.92]-[0:50:07.92]  pues la gente podía asaltar a los muertos, coger bubas, ahora peras, cualquier cosa,
[0:50:07.92]-[0:50:11.92]  salir por las calles, romper las bombillas, yo pues no sé.
[0:50:11.92]-[0:50:13.92]  ¿Ustedes alguna travesura quisiera?
[0:50:13.92]-[0:50:18.92]  Pues travesuras, le he dicho, muchas, pero yo me comparto que, mira,
[0:50:18.92]-[0:50:25.92]  que esto de definir una cosa, pues no, porque no, porque había muchas, muchas.
[0:50:25.92]-[0:50:32.92]  Llegan por la calle, hace 20 días, menos que, 20 días,
[0:50:32.92]-[0:50:36.92]  ahí ha muerto un sábado joven, joven, 60 años,
[0:50:36.92]-[0:50:41.92]  y él cogió un gato, y lo levantó para arriba, y bajando para abajo, le dio un contacto,
[0:50:41.92]-[0:50:43.92]  y cuando llegó al suelo ya estaba muerto.
[0:50:43.92]-[0:50:45.92]  ¿El matriz?
[0:50:45.92]-[0:50:47.92]  Sí, que fíjate, travedora.
[0:50:47.92]-[0:50:50.92]  Bueno, cogía el gato ahí del cuello, y tiraba para arriba,
[0:50:50.92]-[0:50:53.92]  y cuando bajaba, le dio un contacto, y cuando llegó al suelo ya estaba muerto el gato.
[0:50:53.92]-[0:50:56.92]  Bueno, ¿cómo te lo explicas?
[0:50:56.92]-[0:50:58.92]  ¿Y por qué te volviste al suelo?
[0:50:58.92]-[0:51:00.92]  ¿Y para qué te voy a decir?
[0:51:00.92]-[0:51:03.92]  Pues no, hombre, pero, ¿qué han hecho travesuras?
[0:51:03.92]-[0:51:07.92]  ¿Qué podemos salir por la calle con un tiracina de esas, con las gomas y las...
[0:51:07.92]-[0:51:11.92]  Bueno, pues me dio una bombilla ahí, y vamos, la acabamos con la bombilla,
[0:51:11.92]-[0:51:15.92]  fue un día, un ruta, un ruta, muy bien.
[0:51:15.92]-[0:51:19.92]  Ya cualquier sitio, cogíamos una cuerda y hasta la puerta, cualquier sitio,
[0:51:19.92]-[0:51:23.92]  y para que no pudiera salir, llamaba a la puerta, atravesaba un alambre,
[0:51:23.92]-[0:51:27.92]  en el suelo, y llegaba a trompetarse, y a quechalla la gente, y pues,
[0:51:27.92]-[0:51:30.92]  pues te voy a decir, eso, eso es.
[0:51:30.92]-[0:51:32.92]  ¿Se lo pasaba bien?
[0:51:32.92]-[0:51:35.92]  Bien, dentro de lo que caía, y es que no había otro juego,
[0:51:35.92]-[0:51:38.92]  pues no hay novia, como yo digo, el balón, y...
[0:51:38.92]-[0:51:44.92]  Aquí daba un poco de arte, pero poco rosa, poca rosa.
[0:51:44.92]-[0:51:48.92]  Aquí llegaba una casa, mira, que te llaman esta poca,
[0:51:48.92]-[0:51:51.92]  y ahí salían, claro, tenía un alambre y una cuerda,
[0:51:51.92]-[0:51:55.92]  atrás de una puta, y se van a dar el porcará al suelo, jajaja,
[0:51:55.92]-[0:51:59.92]  para creer que es mala leche, porque esa es broma de mala leche,
[0:51:59.92]-[0:52:02.92]  pero, y si que algo querían ahí, que te parte un brazo, una pierna,
[0:52:02.92]-[0:52:06.92]  un cabellazo, y te dan con la nariz, y se dan la...
[0:52:06.92]-[0:52:08.92]  Sí, pero bueno.
[0:52:08.92]-[0:52:10.92]  ¿Y le regañaban mucho sus padres?
[0:52:10.92]-[0:52:14.92]  Había lo que di, otros, mira, más leves, pero bueno,
[0:52:14.92]-[0:52:17.92]  a mí adentro, a mí adentro.
[0:52:17.92]-[0:52:19.92]  Porque antes los padres regañaban más que...
[0:52:19.92]-[0:52:20.92]  Más que lo de hoy, sí.
[0:52:20.92]-[0:52:21.92]  Sí.
[0:52:21.92]-[0:52:23.92]  Nos llevaban más a la verga.
[0:52:23.92]-[0:52:25.92]  Me digo más a la derecha.
[0:52:25.92]-[0:52:27.92]  Sí, ahora pues...
[0:52:28.92]-[0:52:31.92]  Pero parece que había más respeto antes.
[0:52:31.92]-[0:52:35.92]  Hombre, de respeto, sí, había siempre más que hoy.
[0:52:35.92]-[0:52:37.92]  Bueno, todo el mundo hablaba antes de usted,
[0:52:37.92]-[0:52:40.92]  hoy ya está por todo, está de usted,
[0:52:40.92]-[0:52:43.92]  y te mandaba una persona mayor, te mandaba un perrecito,
[0:52:43.92]-[0:52:46.92]  y iba, hoy no lleve, y bueno, tú dijeras, y luego no vaya,
[0:52:46.92]-[0:52:49.92]  y luego, como le entiendes, asco, pero...
[0:52:49.92]-[0:52:53.92]  Antes de una persona mayor, te decía,
[0:52:53.92]-[0:52:55.92]  oye, por favor, me pueda de esto.
[0:52:55.92]-[0:52:59.92]  Bueno, pues sí, sí, iba y lo hacía, pero hoy...
[0:52:59.92]-[0:53:03.92]  Hoy no he creído que llegue a una verga de esas, no lo hace.
[0:53:03.92]-[0:53:06.92]  Y antes a la Guardia Civil también se le tenía más respeto.
[0:53:06.92]-[0:53:08.92]  A la Guardia Civil, me hago Guardia Civil para la tarde,
[0:53:08.92]-[0:53:11.92]  a las 7 de la tarde ya salía su reto para tu casa.
[0:53:11.92]-[0:53:16.92]  O aquí venían para la plaza y aquí no veían ni mosca, nada.
[0:53:16.92]-[0:53:19.92]  Y se perdía todo el mundo. Sí, sí.
[0:53:19.92]-[0:53:21.92]  Porque en otros poros nos han dicho que la Guardia Civil
[0:53:21.92]-[0:53:23.92]  antes también pegaba a la gente.
[0:53:23.92]-[0:53:26.92]  Pegaba, aquí llegaba ya, creciendo,
[0:53:26.92]-[0:53:29.92]  ya no podía ver nadie en la calle.
[0:53:29.92]-[0:53:30.92]  No.
[0:53:30.92]-[0:53:34.92]  La persona que le gustaba, la más mayor,
[0:53:34.92]-[0:53:38.92]  y gustaba un vaso de vino y salían por las paredes,
[0:53:38.92]-[0:53:39.92]  ya estaban temblando.
[0:53:39.92]-[0:53:41.92]  Con todo que se presentaba la Guardia Civil,
[0:53:41.92]-[0:53:43.92]  tipo, ya verás, aquí no estupará, aquí no estupará.
[0:53:43.92]-[0:53:46.92]  Y quedaba así, le daba.
