[0:00:00.00]-[0:00:01.20]  ¿La matanza?
[0:31:53.20]-[0:31:55.20]  Sí, se pegaban mucho, sí.
[0:31:55.20]-[0:31:57.20]  Sí, sí.
[0:31:57.20]-[0:31:59.20]  Sí, los niños siempre se estaban pegando.
[0:31:59.20]-[0:32:01.20]  ¿Las niñas no, no?
[0:32:01.20]-[0:32:03.20]  Bueno, igual.
[0:32:03.20]-[0:32:05.20]  Sí, igual.
[0:32:05.20]-[0:32:07.20]  ¿Te pasó a ti algo de pequeña?
[0:32:07.20]-[0:32:09.20]  Pues no.
[0:32:09.20]-[0:32:11.20]  Bueno, yo también era mutaste,
[0:32:11.20]-[0:32:13.20]  pues me jugaba, y los pegábamos,
[0:32:13.20]-[0:32:15.20]  y...
[0:32:15.20]-[0:32:17.20]  Sí, no sabes,
[0:32:17.20]-[0:32:19.20]  igual que todos.
[0:32:19.20]-[0:32:21.20]  ¿Había que verle a los padres más que ahora?
[0:32:21.20]-[0:32:23.20]  Sí.
[0:32:23.20]-[0:32:25.20]  Sí, sí, había más respeto.
[0:32:25.20]-[0:32:27.20]  Antes los padres se trataban de usted,
[0:32:27.20]-[0:32:31.20]  y no tenían más respeto que ya ahora.
[0:32:33.20]-[0:32:35.20]  Y buenos días, te levantabas del cama,
[0:32:35.20]-[0:32:37.20]  buenos días, buenas tardes,
[0:32:37.20]-[0:32:39.20]  o lo que fuera, pero, mientras vas a la mesa,
[0:32:39.20]-[0:32:41.20]  que aproveche.
[0:32:41.20]-[0:32:43.20]  Mi madre, si no decía,
[0:32:43.20]-[0:32:45.20]  estábamos comiendo y faltaba alguno,
[0:32:45.20]-[0:32:47.20]  y no decía que aproveche, nos hacía salir,
[0:32:47.20]-[0:32:49.20]  y me dijo que aproveche.
[0:32:49.20]-[0:32:51.20]  Sí, sí.
[0:32:53.20]-[0:32:55.20]  Si antes, no había disciplina.
[0:32:55.20]-[0:32:57.20]  ¿Recuerdas alguna vez que
[0:32:57.20]-[0:32:59.20]  sobreviviste a tu madre o a tu padre?
[0:32:59.20]-[0:33:01.20]  Bueno, ¿cuántas veces?
[0:33:01.20]-[0:33:03.20]  ¿Cuántas veces?
[0:33:03.20]-[0:33:05.20]  Pero no muchas.
[0:33:05.20]-[0:33:07.20]  Sí, sí, algunas veces, sí.
[0:33:09.20]-[0:33:11.20]  ¿Y con qué tal...
[0:33:11.20]-[0:33:13.20]  ¿Tu abuela la conociste?
[0:33:13.20]-[0:33:15.20]  Sí, mi abuela se llamaba...
[0:33:15.20]-[0:33:17.20]  porque era muy buena,
[0:33:17.20]-[0:33:19.20]  trabajadora,
[0:33:19.20]-[0:33:21.20]  y me quería mucho.
[0:33:21.20]-[0:33:23.20]  Sí.
[0:33:23.20]-[0:33:25.20]  ¿Y vivía con vosotros en casa?
[0:33:25.20]-[0:33:27.20]  No, ella vivía en la casa de...
[0:33:27.20]-[0:33:29.20]  ¿Tú te acuerdas de la casa de mi madre,
[0:33:29.20]-[0:33:31.20]  de allí de la carretera?
[0:33:31.20]-[0:33:33.20]  ¿Te acuerdas?
[0:33:33.20]-[0:33:35.20]  Pues nosotros vivíamos en aquella casa,
[0:33:35.20]-[0:33:37.20]  y mi abuela vivía con una tía,
[0:33:37.20]-[0:33:39.20]  porque aquella casa no era mi abuela,
[0:33:39.20]-[0:33:41.20]  y después cuando nosotros vinimos a vivir,
[0:33:41.20]-[0:33:43.20]  para que como vivíamos en Castro,
[0:33:43.20]-[0:33:45.20]  la casa era de mi madre,
[0:33:45.20]-[0:33:47.20]  y ya nos la trajo mi abuela,
[0:33:47.20]-[0:33:49.20]  y mi abuela se fue a vivir con mi tía.
[0:33:49.20]-[0:33:51.20]  Pero con nosotros no vivió.
[0:33:51.20]-[0:33:53.20]  ¿Y de tu abuelo?
[0:33:53.20]-[0:33:55.20]  No, de los abuelos no los conoce.
[0:33:55.20]-[0:33:57.20]  Yo no había ninguno.
[0:33:57.20]-[0:33:59.20]  Bueno, sería pequeñina.
[0:33:59.20]-[0:34:01.20]  Por ejemplo,
[0:34:01.20]-[0:34:03.20]  cuando se murió mi primer abuelo,
[0:34:03.20]-[0:34:05.20]  el padre de mi madre,
[0:34:05.20]-[0:34:07.20]  mi madre era una niña,
[0:34:07.20]-[0:34:09.20]  cuando murió ahí el padre.
[0:34:09.20]-[0:34:11.20]  Y yo ya no reconocí,
[0:34:11.20]-[0:34:13.20]  porque yo no era mi madre.
[0:34:13.20]-[0:34:15.20]  ¿Qué no se ha dejado hacer a los jóvenes?
[0:34:19.20]-[0:34:21.20]  Pues no lo sé.
[0:34:21.20]-[0:34:23.20]  ¿Podían hacerlo todo?
[0:34:23.20]-[0:34:25.20]  Pues sí,
[0:34:25.20]-[0:34:27.20]  sí, pues se hacían de todo.
[0:34:27.20]-[0:34:29.20]  ¿Y se salían mucho antes?
[0:34:29.20]-[0:34:31.20]  Sí se salía, sí,
[0:34:31.20]-[0:34:33.20]  pero de noche,
[0:34:33.20]-[0:34:35.20]  a las diez de la noche estabas en casa,
[0:34:35.20]-[0:34:37.20]  tenías una disciplina,
[0:34:37.20]-[0:34:39.20]  y te mandaban tu madre,
[0:34:39.20]-[0:34:41.20]  a las diez de la noche en casa.
[0:34:41.20]-[0:34:43.20]  Y no nos dejaban salir.
[0:34:43.20]-[0:34:45.20]  Se veía fiesta, era la fiesta del pueblo,
[0:34:45.20]-[0:34:47.20]  pues a lo mejor nos dejaban
[0:34:47.20]-[0:34:49.20]  el baile ese día,
[0:34:49.20]-[0:34:51.20]  porque era la fiesta, pero después los domingos y eso.
[0:34:51.20]-[0:34:53.20]  A las diez de la noche en casa.
[0:34:57.20]-[0:34:59.20]  ¿A qué se les obligaba a los niños?
[0:34:59.20]-[0:35:01.20]  A los jóvenes.
[0:35:01.20]-[0:35:03.20]  Bueno, pues...
[0:35:03.20]-[0:35:05.20]  Como sí, ya valías a trabajar.
[0:35:05.20]-[0:35:07.20]  Si tenías ganado,
[0:35:07.20]-[0:35:09.20]  pues a ir a buscarles para el ganado,
[0:35:09.20]-[0:35:11.20]  y a trabajar lo que se pudiera.
[0:35:11.20]-[0:35:13.20]  No te creas tú que se andaba por ahí de vagos, ¿no?
[0:35:13.20]-[0:35:15.20]  Porque como se trabajaba todo el campo,
[0:35:15.20]-[0:35:17.20]  pues los niños ya se trabajaba lo que se podía,
[0:35:17.20]-[0:35:19.20]  porque yo te digo, yo era una niña,
[0:35:19.20]-[0:35:21.20]  y yo ya trabajaba donde me mataba.
[0:35:21.20]-[0:35:23.20]  Yo ya iba a las viñas,
[0:35:23.20]-[0:35:25.20]  a peñarleñas, y los alientos,
[0:35:25.20]-[0:35:27.20]  que nos vamos,
[0:35:27.20]-[0:35:29.20]  y ya iba con mi madre a mullir,
[0:35:29.20]-[0:35:31.20]  y a todo, siendo una niñina,
[0:35:31.20]-[0:35:33.20]  no te creas. Yo ya trabajaba mucho,
[0:35:33.20]-[0:35:37.20]  como yo toda la juventud.
[0:35:37.20]-[0:35:39.20]  Todos.
[0:35:39.20]-[0:35:41.20]  ¿A qué edad dejaban casarse?
[0:35:41.20]-[0:35:43.20]  Bueno, para eso nunca hubo edad.
[0:35:43.20]-[0:35:45.20]  Porque lo sabía también que se casaban jóvenes,
[0:35:45.20]-[0:35:47.20]  y mayores,
[0:35:47.20]-[0:35:49.20]  para eso nunca...
[0:35:49.20]-[0:35:51.20]  Para casarse nunca hubo edad.
[0:35:51.20]-[0:35:53.20]  ¿Y a qué edad se casaban?
[0:35:57.20]-[0:35:59.20]  Yo, si jóvenes, no me recuerdo
[0:35:59.20]-[0:36:01.20]  que se casaban así, jóvenes.
[0:36:01.20]-[0:36:03.20]  Allí, una chica de mi cuadro,
[0:36:03.20]-[0:36:05.20]  no sé si tenía 16 o 17 años,
[0:36:05.20]-[0:36:07.20]  también se casó joven,
[0:36:07.20]-[0:36:09.20]  y después igual que ahora.
[0:36:09.20]-[0:36:11.20]  Sí, más o menos.
[0:36:11.20]-[0:36:13.20]  Pero sí, antes había mucha disciplina
[0:36:13.20]-[0:36:15.20]  para salir, no?
[0:36:15.20]-[0:36:17.20]  No ibas por la calle como antes ahora.
[0:36:17.20]-[0:36:19.20]  No, de noche no, no que va.
[0:36:19.20]-[0:36:21.20]  Estás buena para venir así por la mañana
[0:36:21.20]-[0:36:23.20]  como venís vosotras ahora.
[0:36:23.20]-[0:36:25.20]  ¿Se hacía trabajar antes a los niños?
[0:36:25.20]-[0:36:27.20]  Sí, sí.
[0:36:27.20]-[0:36:29.20]  Bueno, pues a los padres les importaba poco
[0:36:29.20]-[0:36:31.20]  que no fueran a la escuela.
[0:36:31.20]-[0:36:33.20]  Querían que trabajaran.
[0:36:33.20]-[0:36:35.20]  Sí.
[0:36:35.20]-[0:36:37.20]  ¿Enganazaban los padres con algo
[0:36:37.20]-[0:36:39.20]  si no ibas a trabajar?
[0:36:39.20]-[0:36:41.20]  Bueno, pues te reñían.
[0:36:41.20]-[0:36:43.20]  Te reñían.
[0:36:45.20]-[0:36:47.20]  Bueno, te hacían ir, oye,
[0:36:47.20]-[0:36:49.20]  si no ibas a trabajar,
[0:36:49.20]-[0:36:51.20]  te reñían.
[0:36:51.20]-[0:36:53.20]  Te hacían ir, oye, si podías,
[0:36:53.20]-[0:36:55.20]  oye, ¿valías para trabajar?
[0:36:55.20]-[0:36:57.20]  Ya no sabes qué hacías
[0:36:57.20]-[0:36:59.20]  por allí tirando piedras,
[0:36:59.20]-[0:37:01.20]  no, y aquí era trabajar.
[0:37:01.20]-[0:37:03.20]  Con ganaos,
[0:37:03.20]-[0:37:05.20]  había ovejas,
[0:37:05.20]-[0:37:07.20]  había cabras, yo nunca fui con
[0:37:07.20]-[0:37:09.20]  las ovejas y las cabras, nunca fui.
[0:37:09.20]-[0:37:11.20]  Pero mucha gente que tenía ovejas
[0:37:11.20]-[0:37:13.20]  iba con las ovejas, pero yo de pastora
[0:37:13.20]-[0:37:15.20]  no. Iba con las vacas,
[0:37:15.20]-[0:37:17.20]  que teníamos así,
[0:37:17.20]-[0:37:19.20]  yo iba así con ellas, pero
[0:37:19.20]-[0:37:21.20]  con los otros ganaos por ahí por el monte,
[0:37:21.20]-[0:37:23.20]  no, yo nunca fui.
[0:37:25.20]-[0:37:27.20]  ¿Los padres y las madres qué hacían?
[0:37:27.20]-[0:37:29.20]  ¿Aconsejaban a los hijos
[0:37:29.20]-[0:37:31.20]  o les mandaban?
[0:37:31.20]-[0:37:33.20]  Bueno, pues también daban buenos consejos,
[0:37:33.20]-[0:37:35.20]  sí, sí, yo me recuerdo
[0:37:35.20]-[0:37:37.20]  mi padre se murió joven
[0:37:37.20]-[0:37:39.20]  y quedé con mi madre, y mi madre nos
[0:37:39.20]-[0:37:41.20]  aconsejaba siempre bien. Ahora yo
[0:37:41.20]-[0:37:43.20]  en las otras casas no, por lo que puedo decir,
[0:37:43.20]-[0:37:45.20]  pero yo de mí, nosotros y mi madre
[0:37:45.20]-[0:37:47.20]  nos quedamos, como ya te digo, sin padre.
[0:37:47.20]-[0:37:49.20]  Ella fuera que nos crió,
[0:37:49.20]-[0:37:51.20]  a todas, mis
[0:37:51.20]-[0:37:53.20]  hermanas y mis hermanos,
[0:37:53.20]-[0:37:55.20]  nunca mi madre tuvo ningún problema
[0:37:55.20]-[0:37:57.20]  con mi hijo, nunca le
[0:37:57.20]-[0:37:59.20]  dieron que decir, porque a lo mejor otros andaban
[0:37:59.20]-[0:38:01.20]  robando, o andaban
[0:38:01.20]-[0:38:03.20]  con malas compañías,
[0:38:03.20]-[0:38:05.20]  pegándose así, no sabes, en la
[0:38:05.20]-[0:38:07.20]  calle, o así, y mi madre nunca tuvo
[0:38:07.20]-[0:38:09.20]  ningún disgusto con mi hijo.
[0:38:11.20]-[0:38:13.20]  Siempre nos educó muy bien,
[0:38:13.20]-[0:38:15.20]  como todo la pobre, pero nos educó
[0:38:15.20]-[0:38:17.20]  muy bien.
[0:38:19.20]-[0:38:21.20]  ¿Había abuelas concertadas?
[0:38:21.20]-[0:38:23.20]  Pues sí, ¿no?
[0:38:23.20]-[0:38:25.20]  ¿Y los padres quedaban con los padres de otra persona
[0:38:25.20]-[0:38:27.20]  para casar a los hijos?
[0:38:27.20]-[0:38:29.20]  Sí, sí, sí, sí, sí, sí.
[0:38:31.20]-[0:38:33.20]  Antes había mucho de eso también,
[0:38:33.20]-[0:38:35.20]  porque había mucho egoísmo,
[0:38:35.20]-[0:38:37.20]  sabes, por ejemplo
[0:38:37.20]-[0:38:39.20]  antes tenías así, tú tenías
[0:38:39.20]-[0:38:41.20]  tierras, y a lo mejor
[0:38:41.20]-[0:38:43.20]  yo tenía tierras,
[0:38:43.20]-[0:38:45.20]  y a lo mejor los padres,
[0:38:45.20]-[0:38:47.20]  pues a lo mejor ya era un convenio
[0:38:47.20]-[0:38:49.20]  que tenían ya, porque para juntar las
[0:38:49.20]-[0:38:51.20]  tierras, no sabes, no es como ahora
[0:38:51.20]-[0:38:53.20]  que no se mira, pero antes sí, antes eso
[0:38:53.20]-[0:38:55.20]  se miraba mucho.
[0:38:55.20]-[0:38:57.20]  ¿Y que a los padres llegaban a casarse a sus hijos?
[0:38:57.20]-[0:38:59.20]  Muchas veces algunos, sí,
[0:38:59.20]-[0:39:01.20]  sí, para que tuvieran,
[0:39:01.20]-[0:39:03.20]  pero a lo mejor igual no tenían
[0:39:03.20]-[0:39:05.20]  buen porvenir, porque claro,
[0:39:05.20]-[0:39:07.20]  no era, no debes ser una boda de
[0:39:07.20]-[0:39:09.20]  condena, que estabas enamorada,
[0:39:09.20]-[0:39:11.20]  que era mejor de conveniencia,
[0:39:11.20]-[0:39:13.20]  como se dice, pero
[0:39:13.20]-[0:39:15.20]  bueno, de eso había, pero no mucho.
[0:39:17.20]-[0:39:19.20]  ¿Y qué se hacían las bodas? ¿Cómo eran las bodas?
[0:39:19.20]-[0:39:21.20]  Pues bien, se hacían las bodas en casa.
[0:39:21.20]-[0:39:23.20]  ¿En casa?
[0:39:23.20]-[0:39:25.20]  Sí, se hacían en casa, y una cocinera,
[0:39:25.20]-[0:39:27.20]  y se mataba un ternero,
[0:39:27.20]-[0:39:29.20]  ¿sabes lo que es un ternero?
[0:39:29.20]-[0:39:31.20]  Sí, sí.
[0:39:31.20]-[0:39:33.20]  Se mataba un ternero, y
[0:39:33.20]-[0:39:35.20]  se traía, bueno, se hacían muchos filetes,
[0:39:35.20]-[0:39:37.20]  se compraban pescado, se mataban
[0:39:37.20]-[0:39:39.20]  muchos pollos, si no los tenías,
[0:39:39.20]-[0:39:41.20]  mejor ya, por ejemplo,
[0:39:41.20]-[0:39:43.20]  ya que esperabas la boda, por ejemplo,
[0:39:43.20]-[0:39:45.20]  mi madre ya si sabía que te ibas a casa
[0:39:45.20]-[0:39:47.20]  a la tarde, pues mi madre ya criaba unos
[0:39:47.20]-[0:39:49.20]  cuantos pollos, mataba los pollos,
[0:39:49.20]-[0:39:51.20]  mataba a la ternera,
[0:39:51.20]-[0:39:53.20]  y te comprabas así la merluza,
[0:39:53.20]-[0:39:55.20]  y bueno, te hacían, mejor,
[0:39:55.20]-[0:39:57.20]  muy bien las comidas, muy bien,
[0:39:57.20]-[0:39:59.20]  hacían un banquete. ¿Se invitaba mucha gente?
[0:39:59.20]-[0:40:01.20]  Sí, sí, sí, siempre estaba,
[0:40:01.20]-[0:40:03.20]  no mejor de
[0:40:03.20]-[0:40:05.20]  de doscientos, o
[0:40:05.20]-[0:40:07.20]  mejor de cien, o así, sí,
[0:40:07.20]-[0:40:09.20]  ¿Y cabían todos en casa?
[0:40:09.20]-[0:40:11.20]  Pues sí, porque ya se tenía siempre
[0:40:11.20]-[0:40:13.20]  una bodega,
[0:40:13.20]-[0:40:15.20]  una habitación, ya se desocupaba una habitación grande,
[0:40:15.20]-[0:40:17.20]  y sí,
[0:40:17.20]-[0:40:19.20]  sí, te grababas.
[0:40:19.20]-[0:40:21.20]  Bien.
[0:40:21.20]-[0:40:23.20]  ¿Y qué ibas? En la iglesia del bolo te casabas ahí, ¿no?
[0:40:23.20]-[0:40:25.20]  Sí, sí, sí.
[0:40:25.20]-[0:40:27.20]  ¿Y había alguna tradición?
[0:40:27.20]-[0:40:29.20]  Bueno, sí, yo iba a la orquesta,
[0:40:29.20]-[0:40:31.20]  iba a la orquesta, y tocaba
[0:40:31.20]-[0:40:33.20]  la orquesta, cuando iban los novios
[0:40:33.20]-[0:40:35.20]  a casarse, iba a la orquesta detrás,
[0:40:35.20]-[0:40:37.20]  ¡ay, estaba muy bonito la boda!
[0:40:37.20]-[0:40:39.20]  Y después cuando,
[0:40:39.20]-[0:40:41.20]  cuando la misa, bueno, pues tocaba la orquesta,
[0:40:41.20]-[0:40:43.20]  y después cuando, cuando ibas a
[0:40:43.20]-[0:40:45.20]  comer en los postres, pues te tocaban
[0:40:45.20]-[0:40:47.20]  una pieza allí, la orquesta, ¡ay sí,
[0:40:47.20]-[0:40:49.20]  los bodas antes eran muy bonitos, o sí, los pueblos!
[0:40:49.20]-[0:40:51.20]  Bueno, la gente lo pasaba muy bien,
[0:40:51.20]-[0:40:53.20]  así, y no sé que otra cosa
[0:40:53.20]-[0:40:55.20]  más era típica
[0:40:55.20]-[0:40:57.20]  en las bodas, bueno, eso, que te tocaba
[0:40:57.20]-[0:40:59.20]  la orquesta, y después
[0:40:59.20]-[0:41:01.20]  se hacía baile, ¡ah, bombas!
[0:41:01.20]-[0:41:03.20]  Sí, tiraban muchas bombas. Bueno, estaban diciendo
[0:41:03.20]-[0:41:05.20]  si los novios, ¡uh, tiraban una de bombas!
[0:41:05.20]-[0:41:07.20]  Más que ahora
[0:41:07.20]-[0:41:09.20]  en las fiestas.
[0:41:09.20]-[0:41:11.20]  Sí, sí.
[0:41:11.20]-[0:41:13.20]  ¿Se tiraba arroz antes?
[0:41:13.20]-[0:41:15.20]  No, esto desde ya
[0:41:15.20]-[0:41:17.20]  hace unos años, pero antes no.
[0:41:17.20]-[0:41:19.20]  ¿Y la novia llevaba un ramo de flores?
[0:41:19.20]-[0:41:21.20]  Siempre. Sí. El ramo de flores
[0:41:21.20]-[0:41:23.20]  y el camonazaz, aquí.
[0:41:23.20]-[0:41:25.20]  ¿Y luego qué hacía con el ramo? ¿Se lo daba alguna,
[0:41:25.20]-[0:41:27.20]  se lo ponía alguna dulce, o
[0:41:27.20]-[0:41:29.20]  lo tiraban para que luego fuera... Es que yo
[0:41:29.20]-[0:41:31.20]  casi no me recuerdo.
[0:41:31.20]-[0:41:33.20]  Si llevaba, se lo traía para casa, me parece.
[0:41:33.20]-[0:41:35.20]  ¿A donde lo llevaban?
[0:41:35.20]-[0:41:37.20]  Sí, se llevaba y se traía.
[0:41:37.20]-[0:41:39.20]  Ahora ya no, ya lo tiran, o lo llevan
[0:41:39.20]-[0:41:41.20]  a, por ejemplo,
[0:41:41.20]-[0:41:43.20]  como siempre hay alguno que, a un padre
[0:41:43.20]-[0:41:45.20]  o un abuelo que ya esté muerto,
[0:41:45.20]-[0:41:47.20]  pues se lo llevan al panteón.
[0:41:47.20]-[0:41:49.20]  ¿Sabes?
[0:41:49.20]-[0:41:51.20]  El ramo, ahora ya es distinto.
[0:41:53.20]-[0:41:55.20]  ¿Fueron muy caras las bombas antes? No, ¿no?
[0:41:55.20]-[0:41:57.20]  ¿No había tanto lujo como ahora? No, no,
[0:41:57.20]-[0:41:59.20]  porque pocos iban de blanco.
[0:41:59.20]-[0:42:01.20]  En aquella, bueno, cuando me casé yo, yo no fui de blanco,
[0:42:01.20]-[0:42:03.20]  porque no se taqueían, no,
[0:42:03.20]-[0:42:05.20]  en los capitales se llenan de blanco
[0:42:05.20]-[0:42:07.20]  para los pueblos, no.
[0:42:07.20]-[0:42:09.20]  Y, bueno, muy caras, una ropa,
[0:42:09.20]-[0:42:11.20]  oye, en aquellos tiempos también se podía poco,
[0:42:11.20]-[0:42:13.20]  pero ibas muy bien.
[0:42:13.20]-[0:42:15.20]  Un buen traje y llevabas
[0:42:15.20]-[0:42:17.20]  y lo subían, ¿no?
[0:42:19.20]-[0:42:21.20]  ¿Qué se regañaban de esas a los niños,
[0:42:21.20]-[0:42:23.20]  normalmente?
[0:42:23.20]-[0:42:25.20]  Bueno, pues también, porque no comían,
[0:42:25.20]-[0:42:27.20]  o a lo mejor si te jugaban a la escuela,
[0:42:27.20]-[0:42:29.20]  o jugaban a una trastada,
[0:42:29.20]-[0:42:31.20]  pues se regañaban, igual que ahora.
[0:42:33.20]-[0:42:35.20]  ¿Se aburrían antes los niños?
[0:42:35.20]-[0:42:37.20]  ¿Siempre tenían que jugar?
[0:42:37.20]-[0:42:39.20]  Bueno, siempre tenían juguetes,
[0:42:39.20]-[0:42:41.20]  no como ahora, porque yo me recuerdo
[0:42:41.20]-[0:42:43.20]  de que, bueno,
[0:42:43.20]-[0:42:45.20]  que si una chavala, y me parece que tu padre,
[0:42:45.20]-[0:42:47.20]  con un palo, así, mira,
[0:42:47.20]-[0:42:49.20]  así un palo, se le ponía una rueda de una lata
[0:42:49.20]-[0:42:51.20]  de esas de los caveches,
[0:42:51.20]-[0:42:53.20]  y se clavaba una punta y se iba con la suela.
[0:42:53.20]-[0:42:57.20]  Yo recuerdo que jugaban los niños antes, ¿eh?
[0:42:57.20]-[0:42:59.20]  Ahora ya tienen toda clase de juguetes,
[0:42:59.20]-[0:43:01.20]  pero antes, antiguamente, era así.
[0:43:01.20]-[0:43:03.20]  No, ya como ahora.
[0:43:03.20]-[0:43:05.20]  Sí, llegaba los reyes,
[0:43:05.20]-[0:43:07.20]  siempre había algún juguetín, sí.
[0:43:07.20]-[0:43:09.20]  ¿Y cómo se criaban los niños antes?
[0:43:09.20]-[0:43:11.20]  Bueno, pues se empañaban,
[0:43:11.20]-[0:43:13.20]  bueno, se sepó unas mantillas,
[0:43:13.20]-[0:43:15.20]  se les ponía un pajero,
[0:43:15.20]-[0:43:17.20]  y estaban, bueno, se les daba
[0:43:17.20]-[0:43:19.20]  a las madres y podía darles...
[0:43:19.20]-[0:43:21.20]  Mira,
[0:43:21.20]-[0:43:23.20]  ¿no son vuestros anillos?
[0:43:23.20]-[0:43:25.20]  No, no, pero tú, tú se lo daba.
[0:43:25.20]-[0:43:27.20]  Y se le ponía así, bueno,
[0:43:27.20]-[0:43:29.20]  los pañales y eso,
[0:43:29.20]-[0:43:31.20]  y ya, y allá,
[0:43:31.20]-[0:43:33.20]  y allá, tadines, con una faja,
[0:43:33.20]-[0:43:35.20]  se le envolvían los pies,
[0:43:35.20]-[0:43:37.20]  y allí metidos en la cuna,
[0:43:37.20]-[0:43:39.20]  antes, pues no había cuidado que ya ahora,
[0:43:39.20]-[0:43:41.20]  a lo mejor le dabas la leche, pues...
[0:43:41.20]-[0:43:43.20]  Yo, bueno, tu padre, por ejemplo,
[0:43:43.20]-[0:43:45.20]  lo crié con pelo argón, pero antes,
[0:43:45.20]-[0:43:47.20]  con leche de vaca o de cabras,
[0:43:47.20]-[0:43:49.20]  yo no, yo y mis hijos,
[0:43:49.20]-[0:43:51.20]  yo con pelo argón, pero...
[0:43:51.20]-[0:43:53.20]  pero antes no como ahora.
[0:43:53.20]-[0:43:55.20]  ¿Y grababan mucho los niños?
[0:43:55.20]-[0:43:57.20]  Sí, sí, grababan más que ahora,
[0:43:57.20]-[0:43:59.20]  porque no estaban tan entendidos.
[0:43:59.20]-[0:44:01.20]  Sí.
[0:44:03.20]-[0:44:05.20]  ¿Qué eran las preocupaciones
[0:44:05.20]-[0:44:07.20]  de un chico joven y alto?
[0:44:07.20]-[0:44:09.20]  ¿Qué preocupaciones tenía?
[0:44:09.20]-[0:44:11.20]  Bueno, yo pensé...
[0:44:11.20]-[0:44:13.20]  Yo no sé...
[0:44:13.20]-[0:44:15.20]  ¿Se asustaban por algo?
[0:44:15.20]-[0:44:17.20]  Bueno, pues sí,
[0:44:17.20]-[0:44:19.20]  pero si a lo mejor no habías oído
[0:44:19.20]-[0:44:21.20]  si había alguna cosa,
[0:44:21.20]-[0:44:23.20]  pues a lo mejor se asustaban,
[0:44:23.20]-[0:44:25.20]  a ser un bicho, o así, pero...
[0:44:27.20]-[0:44:29.20]  Pero se asustaban, bueno,
[0:44:29.20]-[0:44:31.20]  pues, no lo sé.
[0:44:31.20]-[0:44:33.20]  ¿Qué les interesaba antes a los chavales?
[0:44:37.20]-[0:44:39.20]  Bueno, pues jugar,
[0:44:39.20]-[0:44:41.20]  ¿no? O sea, eso.
[0:44:43.20]-[0:44:45.20]  ¿Ellos qué quieren hacer?
[0:44:45.20]-[0:44:47.20]  Casarse y tener tierras,
[0:44:47.20]-[0:44:49.20]  o querían ejercer alguna profesión, o algo.
[0:44:49.20]-[0:44:51.20]  Bueno, antes como pocas carreras había,
[0:44:51.20]-[0:44:53.20]  yo qué sé,
[0:44:53.20]-[0:44:55.20]  como no...
[0:44:55.20]-[0:44:57.20]  yo de eso ya no me acuerdo.
[0:44:57.20]-[0:44:59.20]  Casarse, claro, llegaba la edad,
[0:44:59.20]-[0:45:01.20]  y claro, se querían casar,
[0:45:01.20]-[0:45:03.20]  trabajaban, y más,
[0:45:03.20]-[0:45:05.20]  antes había pocos... yo, bueno,
[0:45:05.20]-[0:45:07.20]  cuando me crié yo, había pocos trabajos,
[0:45:07.20]-[0:45:09.20]  y más en el campo.
[0:45:11.20]-[0:45:13.20]  ¿Cómo se conocían los chicos antes?
[0:45:13.20]-[0:45:15.20]  Bueno, pues se conocían porque sí iba al baile.
[0:45:15.20]-[0:45:17.20]  Sí iba al baile.
[0:45:17.20]-[0:45:19.20]  ¿Y dónde era el baile?
[0:45:19.20]-[0:45:21.20]  Pues ahí, por ejemplo,
[0:45:21.20]-[0:45:23.20]  le llamábamos así, en una plazoleta,
[0:45:23.20]-[0:45:25.20]  y allí tocaba la orquesta, o tocaba una pandereta,
[0:45:25.20]-[0:45:27.20]  o un tambor, y ya te juntabas allí,
[0:45:27.20]-[0:45:29.20]  o es de paseo,
[0:45:29.20]-[0:45:31.20]  y entonces, o ibas al rosario,
[0:45:31.20]-[0:45:33.20]  ya se juntaban los chicos y las chicas,
[0:45:33.20]-[0:45:35.20]  y entonces las chicas,
[0:45:35.20]-[0:45:37.20]  bueno, pues, se divertían,
[0:45:37.20]-[0:45:43.20]  así, bailando, y hablando,
[0:45:43.20]-[0:45:45.20]  ¿Ayer?
[0:45:45.20]-[0:45:47.20]  Todos los domingos.
[0:45:47.20]-[0:45:49.20]  Todos los domingos, a la tarde.
[0:45:49.20]-[0:45:51.20]  Y después los chicos iban a las bodegas,
[0:45:51.20]-[0:45:53.20]  iban cantando,
[0:45:53.20]-[0:45:55.20]  juntaban a unos amigos,
[0:45:55.20]-[0:45:57.20]  iban a las bodegas, tomaban vino.
[0:46:01.20]-[0:46:03.20]  ¿Qué se te nube más en el campo?
[0:46:03.20]-[0:46:05.20]  ¿Cómo?
[0:46:05.20]-[0:46:07.20]  ¿Qué se te nube más en el campo?
[0:46:07.20]-[0:46:09.20]  Bueno, pues, trabajando,
[0:46:09.20]-[0:46:11.20]  claro, al calor.
[0:46:11.20]-[0:46:13.20]  Claro, con mucho calor, cuando estás trabajando.
[0:46:13.20]-[0:46:15.20]  ¿Y antiguamente también?
[0:46:15.20]-[0:46:17.20]  Sí.
[0:46:17.20]-[0:46:19.20]  Sí, porque antes estaba hasta tarde,
[0:46:19.20]-[0:46:21.20]  y aún está medio día, y cuando ibas para casa,
[0:46:21.20]-[0:46:23.20]  pues ibas a sala, porque antes calentaba mucho
[0:46:23.20]-[0:46:25.20]  el sol, y había más frío,
[0:46:25.20]-[0:46:27.20]  y en el verano,
[0:46:27.20]-[0:46:29.20]  mucho calor, y yo me recuerdo
