[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[0:37:29.00]-[0:37:31.00]  que nos da pánico tanta gente.
[0:37:31.00]-[0:37:33.00]  Pues a mí me da cosa de...
[0:37:33.00]-[0:37:34.00]  Mi nieta esta va.
[0:37:34.00]-[0:37:35.00]  Sí.
[0:37:35.00]-[0:37:36.00]  Esta va a Rocío.
[0:37:36.00]-[0:37:38.00]  Esta es...
[0:37:38.00]-[0:37:42.00]  Que le estaba diciendo que no quería seguir cuando llegó el noco
[0:37:42.00]-[0:37:44.00]  de lo de la caída del caballo.
[0:37:44.00]-[0:37:48.00]  Que iba ella en un caballo, él iba en otro.
[0:37:48.00]-[0:37:50.00]  El caballo era la primera vez que se montaba
[0:37:50.00]-[0:37:53.00]  porque se lo había traído un hombre de Lepe para que lo tomara.
[0:37:53.00]-[0:37:55.00]  Menos mal que el hombre le había asegurado.
[0:37:55.00]-[0:37:57.00]  Estuvo entre las pavilas parejas.
[0:37:57.00]-[0:38:00.00]  Y había unas bolsas de plástico volando con el aire.
[0:38:00.00]-[0:38:02.00]  El caballo se asustó.
[0:38:02.00]-[0:38:06.00]  Y lo tiró de espalda como llevaba los pies metidos en los estribos
[0:38:06.00]-[0:38:08.00]  y se quedó colgando en el caballo.
[0:38:08.00]-[0:38:10.00]  Y ella como pudo se bajó.
[0:38:10.00]-[0:38:14.00]  Aguantó el caballo y con la otra mano cogió.
[0:38:14.00]-[0:38:16.00]  Con una mano aguantó los dos caballos.
[0:38:16.00]-[0:38:19.00]  El caído y cogió el móvil.
[0:38:19.00]-[0:38:20.00]  Porque es un listo.
[0:38:20.00]-[0:38:24.00]  Cogió el móvil y llamó de seguida al dueño del picaero
[0:38:24.00]-[0:38:27.00]  porque ellos van a arreglar los caballos a otros amigos.
[0:38:27.00]-[0:38:29.00]  Pero van dando el dinero, vamos.
[0:38:29.00]-[0:38:32.00]  Porque los picaeros y las codabalas son caros.
[0:38:32.00]-[0:38:34.00]  Pero son caros también, ¿no?
[0:38:34.00]-[0:38:35.00]  Sí, sí.
[0:38:35.00]-[0:38:38.00]  Y entonces de seguida el muchacho avisó la ambulancia
[0:38:38.00]-[0:38:41.00]  y yo que me había ido a la una huerta a tomar café por la tarde
[0:38:41.00]-[0:38:42.00]  y me venía para acá.
[0:38:42.00]-[0:38:45.00]  Y de momento veo una ambulancia y otra ambulancia
[0:38:45.00]-[0:38:46.00]  y digo ¡qué cosa más rara!
[0:38:46.00]-[0:38:50.00]  Llego aquí con mi hija a la de Sevilla y me dice
[0:38:50.00]-[0:38:55.00]  yo voy ahí a la plaza y les digo a la plaza
[0:38:55.00]-[0:38:59.00]  ¿qué? porque no me quería decir, les digo a la plaza
[0:38:59.00]-[0:39:01.00]  y dice es que me han llamado que ha pasado algo allí
[0:39:01.00]-[0:39:04.00]  que está el médico, que hay mucha gente, que ha pasado algo
[0:39:04.00]-[0:39:05.00]  y yo me voy también.
[0:39:05.00]-[0:39:07.00]  Ella me va en el coche y yo me fui andando
[0:39:07.00]-[0:39:10.00]  porque yo tengo un sentimiento que como piense algo
[0:39:10.00]-[0:39:11.00]  me sale cierto.
[0:39:11.00]-[0:39:13.00]  Y cuando llega allí que me vi a mi nieta llorando
[0:39:13.00]-[0:39:18.00]  y la madre del muchacho y todo, la madre de todavía familia lejana nuestra.
[0:39:18.00]-[0:39:21.00]  Entonces ya lo tenían ahí dentro en la camilla
[0:39:21.00]-[0:39:26.00]  con una herida que le hizo aquí detrás el caballo.
[0:39:26.00]-[0:39:29.00]  Vamos que estuvo, le tuvieron que poner un corsé y todo
[0:39:29.00]-[0:39:31.00]  y estuvo ingresado un montón de días
[0:39:31.00]-[0:39:33.00]  y ya ese caballo, yo no sé desde dónde llegó el dueño
[0:39:33.00]-[0:39:36.00]  o qué es lo que ha pasado, pero creo que el caballo ya no está ahí
[0:39:36.00]-[0:39:41.00]  porque son muy peligrosos los caballos como sean joven
[0:39:41.00]-[0:39:44.00]  y no estén acostumbrados que los monten y eso
[0:39:44.00]-[0:39:45.00]  y escuchen ruido.
[0:39:45.00]-[0:39:48.00]  Mi padre tenía un caballo que escuchaba tambores y eso
[0:39:48.00]-[0:39:51.00]  y zarpaba de mano que era desagrado.
[0:39:51.00]-[0:39:53.00]  Hoy hay furoo.
[0:39:53.00]-[0:39:55.00]  Pero de aquí.
[0:39:55.00]-[0:39:59.00]  Esta nieta mía va a todos los pueblos a jugar furoo.
[0:39:59.00]-[0:40:03.00]  La madre, sí, uy, ahí tiene el bolso preparado.
[0:40:03.00]-[0:40:06.00]  Me dice abuela tú no me quites nunca las cosas del bolso
[0:40:06.00]-[0:40:11.00]  porque el otro día fueron a zarpas un partido
[0:40:11.00]-[0:40:13.00]  a un pueblo de traidracía.
[0:40:13.00]-[0:40:16.00]  Y una supervisora mía que estaba en el coche
[0:40:16.00]-[0:40:19.00]  y una supervisora mía de la zarza y se lo dije
[0:40:19.00]-[0:40:21.00]  hasta mi nieta está ahí jugando un partido.
[0:40:21.00]-[0:40:23.00]  Dice, uy, tu nieta.
[0:40:23.00]-[0:40:25.00]  Es como tú de valiente, ¿no?
[0:40:25.00]-[0:40:27.00]  Digo, pues más o menos.
[0:40:27.00]-[0:40:29.00]  Y juega el fútbol.
[0:40:29.00]-[0:40:30.00]  Sí.
[0:40:30.00]-[0:40:34.00]  Ella todo el deporte le gusta, todas las carreras.
[0:40:34.00]-[0:40:37.00]  Multideporte,
[0:40:37.00]-[0:40:42.00]  a los partidos, yo que sé, ella empieza a decir una cosa y otra
[0:40:42.00]-[0:40:45.00]  y yo digo no me digas nada más porque la cabeza se me va a poner a mí
[0:40:45.00]-[0:40:47.00]  un bombo con ustedes, con todos.
[0:40:47.00]-[0:40:49.00]  Cada uno me dice una historia.
[0:40:49.00]-[0:40:51.00]  La madre le gusta el baile.
[0:40:51.00]-[0:40:54.00]  La esta que es muy mala para comer.
[0:40:54.00]-[0:40:58.00]  Ella está en el baile de la danza del bien, se puede decir.
[0:40:58.00]-[0:40:59.00]  Sí.
[0:40:59.00]-[0:41:03.00]  Y después va a Sevillana también.
[0:41:03.00]-[0:41:05.00]  Y la madre
[0:41:05.00]-[0:41:10.00]  lo de fútbol y la banda de música.
[0:41:10.00]-[0:41:12.00]  Ah, muy bien.
[0:41:12.00]-[0:41:14.00]  Mis hijos también son músicos.
[0:41:14.00]-[0:41:15.00]  También, ¿no?
[0:41:15.00]-[0:41:17.00]  Piano y violín.
[0:41:17.00]-[0:41:21.00]  Pues aquí hay dos niños que son dañamontes pero viven aquí.
[0:41:21.00]-[0:41:23.00]  Son mellizos.
[0:41:23.00]-[0:41:28.00]  Y también están en la banda de música y la madre está trabajando en ayuda a domicilio también.
[0:41:28.00]-[0:41:30.00]  Entonces usted tiene estudios, ¿no?
[0:41:30.00]-[0:41:31.00]  No.
[0:41:31.00]-[0:41:34.00]  Pero tenía mucha práctica, siempre.
[0:41:34.00]-[0:41:41.00]  Y mi hija esta de 22 años tiene el título de trabajadora de ayuda a domicilio.
[0:41:41.00]-[0:41:45.00]  Tiene un título de mantenimiento de campo de bordo.
[0:41:45.00]-[0:41:49.00]  Y tiene un título de repostería de...
[0:41:49.00]-[0:41:51.00]  que fue el último que terminaba ahora.
[0:41:51.00]-[0:41:54.00]  Y la trabajadora social no la llama.
[0:41:54.00]-[0:41:57.00]  Porque yo no tengo ganas de dar un paso malvado.
[0:41:57.00]-[0:41:58.00]  Porque hay una...
[0:41:58.00]-[0:42:02.00]  Como tú tengas el título y durante 10 años no lo ejerzas, te cumple.
[0:42:02.00]-[0:42:04.00]  Esto no lo sabe usted.
[0:42:04.00]-[0:42:06.00]  Y ellos te creen que yo no lo sé.
[0:42:06.00]-[0:42:10.00]  Y yo sé más, sin tener estudios, sé más que muchas que tienen estudios.
[0:42:10.00]-[0:42:12.00]  Y entonces se lo iba a decir.
[0:42:12.00]-[0:42:14.00]  Digo, ¿mi hija qué tiene? ¿Dos niños chicos?
[0:42:14.00]-[0:42:16.00]  Está viviendo en pareja con el novio.
[0:42:16.00]-[0:42:18.00]  Tiene dos niños.
[0:42:18.00]-[0:42:19.00]  Madre soltera.
[0:42:19.00]-[0:42:25.00]  Y no la trae a trabajar porque dicen que para verano, cuando estén entre las vacaciones, va a sustituir.
[0:42:25.00]-[0:42:28.00]  15 días de una, 15 días de otra.
[0:42:28.00]-[0:42:33.00]  Y después la que tiene el título cumplido la tiene que trabajar con un PIA.
[0:42:33.00]-[0:42:34.00]  ¿Usted sabe lo que es un PIA?
[0:42:34.00]-[0:42:35.00]  Tampoco.
[0:42:35.00]-[0:42:41.00]  Un PIA es, a lo mejor, tres horas, cuatro horas que le ven a una persona de la Ley de Independencia.
[0:42:45.00]-[0:42:46.00]  ¿Y cómo se llama?
[0:42:46.00]-[0:42:47.00]  PIA.
[0:42:47.00]-[0:42:49.00]  A ver, ¿qué significa la letra en nosal?
[0:42:51.00]-[0:42:53.00]  Usted... Mi madre...
[0:42:53.00]-[0:42:55.00]  Voy a empezar con mi madre.
[0:42:55.00]-[0:42:58.00]  Mi madre, le arreglamos nosotros lo de la Ley de Independencia.
[0:42:58.00]-[0:43:02.00]  Y nos aprobaron al año por ahí.
[0:43:02.00]-[0:43:05.00]  En esa fecha se cogía muy buen dinero.
[0:43:05.00]-[0:43:09.00]  De que empezaron a arreglar hasta que no lo dieron.
[0:43:09.00]-[0:43:11.00]  Todos los meses nos lo cubrió.
[0:43:11.00]-[0:43:14.00]  Y cogimos una buena cantidad de dinero.
[0:43:14.00]-[0:43:20.00]  Cuando ya yo vi que mi madre se iba poniendo peor, como yo trabajaba, y además aunque no hubiese trabajado, yo lo sé,
[0:43:20.00]-[0:43:26.00]  pues empecé a decirle a la trabajadora social que yo quería valorar a mi madre otra vez de nuevo.
[0:43:26.00]-[0:43:28.00]  La valoramos de nuevo.
[0:43:28.00]-[0:43:31.00]  Me tardó mucho tiempo, no tenía ganas.
[0:43:31.00]-[0:43:34.00]  Porque ella sabía que me iban a dar más dinero.
[0:43:34.00]-[0:43:37.00]  Y me dice, bueno, ¿y tú por qué quieres valorar otra vez?
[0:43:37.00]-[0:43:39.00]  Digo, porque mi madre ya...
[0:43:39.00]-[0:43:43.00]  Los medicamentos se los toma de allá sola, ya hay que dárselos.
[0:43:43.00]-[0:43:51.00]  La comida muchas veces, no siempre, pero también, a lo mejor si es pescado, eso, hay que quitarle la espina y preparárselo.
[0:43:51.00]-[0:43:54.00]  La carne también hay que picarse al trocito.
[0:43:54.00]-[0:43:56.00]  El aceite hay que hacérselo.
[0:43:56.00]-[0:43:59.00]  Y mi madre ya antes esas cosas se las hacía y ahora ya no.
[0:43:59.00]-[0:44:03.00]  Dice, hoy hoy hoy, como diciendo hoy hoy hoy, lo que tú sabes.
[0:44:03.00]-[0:44:09.00]  Empezamos a arreglar papeles, me acuerdo que el 12 de febrero de 2008.
[0:44:09.00]-[0:44:18.00]  Entonces, en junio me llegó una carta que venían a valorar a mi madre.
[0:44:18.00]-[0:44:23.00]  Estaba con mi hermana en el campo y la trajeron, también una no tiene un chalet en el campo, un mujer.
[0:44:23.00]-[0:44:25.00]  El padre de esta niña que estaba aquí.
[0:44:25.00]-[0:44:29.00]  La trajeron por la mañana, a las nueve y media ya estaba aquí la trabajadora social.
[0:44:29.00]-[0:44:32.00]  Me hace llamar.
[0:44:32.00]-[0:44:36.00]  La estuvo viendo, le estuvo haciendo preguntas.
[0:44:36.00]-[0:44:40.00]  Y me dice, bueno, pues ya te mandaremos lo que sea.
[0:44:40.00]-[0:44:45.00]  Me manda una carta para septiembre.
[0:44:45.00]-[0:44:48.00]  Con fecha de septiembre.
[0:44:48.00]-[0:44:52.00]  Que en septiembre ya tenía que estar aprobado todo el dinero que no iba a dar más.
[0:44:52.00]-[0:44:58.00]  ¿Qué pasa? Que esta que está aquí hace lo que le da la gana y le sobra tiempo.
[0:44:58.00]-[0:45:01.00]  Porque está separada y está un poco amargada.
[0:45:01.00]-[0:45:06.00]  Y a la que ella le quiere dar curso, le da y a la que no, a la cubo de la papelera.
[0:45:06.00]-[0:45:13.00]  Mi sobrino este que es maestro, lo llamo por teléfono y le digo, mírame a la Junta de Andalucía.
[0:45:13.00]-[0:45:17.00]  Y llévate, tiene calor hijo, desestupala si quieres.
[0:45:17.00]-[0:45:22.00]  No, no, no, no, simplemente es que me estaba cambiando de postura.
[0:45:22.00]-[0:45:25.00]  Entonces, fue mi sobrino y ¿qué pasa?
[0:45:25.00]-[0:45:30.00]  Que le dijeron que no quería gastar bien ninguno de mi mar.
[0:45:30.00]-[0:45:34.00]  Me mandaban carta a ver si llegaba algo de mi mar de aquí, del pueblo, del ayuntamiento.
[0:45:34.00]-[0:45:41.00]  Entonces mi sobrino, como yo sé ya la manera de trabajar a esta señora,
[0:45:41.00]-[0:45:44.00]  yo sacaba fotocopias y les presentaba.
[0:45:44.00]-[0:45:49.84]  fotocopiar con la fecha y fecha y fecha, entonces qué pasa que la llaman a ella de
[0:45:49.84]-[0:45:56.64]  allí y le dicen poco, me dicen de todo menos guapa y me llama ella a mi y me dice que
[0:45:56.64]-[0:46:03.20]  qué pasaba y digo pues tú sabrás lo que pasa porque yo le hablo de tú, y dice y cómo has tenido
[0:46:03.20]-[0:46:07.12]  valor, y digo y cómo he tenido valor, usted cree que se puede tener una persona enrolleada
[0:46:07.12]-[0:46:17.32]  de esta manera desde el mes de febrero hasta esta fecha y que trae un 15 días de plazo y en los 15 días si tú no le
[0:46:17.32]-[0:46:22.80]  no viene a valorar mi madre que tiene que venir otra vez como ya vino tu compañera, qué pasa?
[0:46:22.80]-[0:46:33.32]  que los papeles lo cumplirán, no? y dice ay ay vaya por que vaya por que, no tardó ni tres días, ni tres días en decir
[0:46:33.32]-[0:46:40.56]  lo que ya estaba primero en grisá y empezaron a cobrar 500 euros y yo se lo digo por ella mucha
[0:46:40.56]-[0:46:46.84]  muchacha porque me da cosas, una que vive en la otra calle y me compra muchos productos de estango y
[0:46:46.84]-[0:46:53.20]  eso y le digo cómo no valoras tú a tu madre, la madre tiene hace 6 meses, da penita de verla, dice
[0:46:53.20]-[0:47:01.52]  vos me dijo que la valorara yo por mi cuenta, le digo tiene la trabajadora asociada tú o ella? dice ella pero es que yo no sé por qué me
[0:47:01.52]-[0:47:07.12]  dice eso, le digo poco se le acuerda mujer, así que yo no sé lo que habrá hecho la muchacha, la madre le tiene que hacer todo
[0:47:07.12]-[0:47:13.36]  todo todo todo porque está con su cabeza perdida de todo, con la fe me imagino
[0:47:15.48]-[0:47:25.12]  muy dura para ella, para la gente que lo tiene y quien la cuida y después ella viene por la mañana a prepararla
[0:47:25.12]-[0:47:34.90]  tiene calor, pero es porque ella soy vieja, como dije, viene por la mañana, la prepara, la ducha, le da
[0:47:34.90]-[0:47:43.88]  desayuno, los medicamentos y prepara la comida y después tiene que ir a su casa, ya viene a la una, le da
[0:47:43.88]-[0:47:51.48]  dar almorzar y a las dos entra en que le han dado seis meses de trabajo en el ayuntamiento también
[0:47:51.48]-[0:47:56.80]  porque ella tiene lo de la madre y nada más que el puede echarme diez o nada
[0:48:00.00]-[0:48:08.24]  porque esto yo estoy pagando mi seguridad social por el régimen radio
[0:48:09.88]-[0:48:14.12]  qué mejor más conveniente, por eso perdí la cantidad del dinero del paro
[0:48:14.12]-[0:48:22.12]  porque a mí me dieron los papeles para echar mi paro del régimen general y cuando me fui al INE
[0:48:22.12]-[0:48:27.52]  que me enterraron a mi edad, me dice pues no tiene ni para comprar dos bombonas de butano
[0:48:28.48]-[0:48:34.20]  le digo que no tengo ni para dos bombonas de butano, dice pues tú puedes seguir con el otro paro que tú
[0:48:34.20]-[0:48:41.72]  tenías parado, el del campo, pero qué me pasó que como llevaba tres años sin echar paro del régimen
[0:48:41.72]-[0:48:50.44]  agravio tuve que buscar peonales, pues día trabajaba en el campo
[0:48:52.88]-[0:49:00.80]  era una fecha en el mes de julio que no había prácticamente trabajo y tuve que pasar pero le
[0:49:00.80]-[0:49:07.12]  puse dos velas a la Virgen de la Blanca y encontré un pariente mío que ella, pariente lejano y me dio
[0:49:07.12]-[0:49:15.52]  le tuve que pagar, le tuve que pagar a las peonales
[0:49:17.76]-[0:49:21.20]  y en el régimen agrario, lo que ha trabajado usted mucho en el campo?
[0:49:21.20]-[0:49:24.68]  22, 23 años. Y qué ha hecho?
[0:49:24.68]-[0:49:29.84]  coge naranja y fresa. Aquí en Madriaga es casi que la dinamía.
[0:49:29.84]-[0:49:44.08]  Y entonces qué pasa que el otro paro, cobré, ese día chefe, digo yo voy a arriesgarme hasta este
[0:49:44.08]-[0:49:50.44]  entonces el abogado del INE es mucho conmigo y me dice mira, me pones esto, echa este paro,
[0:49:50.44]-[0:49:58.96]  tú localiza algún campo que te pueda llevar a trabajar, además sabía cómo iba yo a ir a trabajar
[0:49:58.96]-[0:50:07.92]  y cuando tú tengas las peonales, ¿por qué pasa? cuando te dé de harta no lo comunicas, paramos el
[0:50:07.92]-[0:50:15.88]  paro este. Entonces estaba de harta los 35 días 40 lo que pueda trabajar, después echa el paro
[0:50:15.88]-[0:50:24.16]  del régimen agrario. Entonces yo cogí y el día 25 de agosto fui echa ya mi paro del régimen agrario
[0:50:24.16]-[0:50:31.68]  y me vino los che 25 de agosto y lo cobré en octubre, cobré un mes y pico y ahora ya que hace
[0:50:31.68]-[0:50:37.28]  como hay tanta deuda en la seguridad social pues antes de que te ingrese en el dinero del paro del
[0:50:37.28]-[0:50:43.84]  régimen agrario te descuenta en el sello la seguridad social. O sea que el sello es como
[0:50:43.84]-[0:50:51.20]  los impuestos que pagamos de la seguridad social. No. El IRPF. No, eso es otra cosa, eso da tienda. El sello es la
[0:50:51.20]-[0:50:56.80]  seguridad social porque si tú no agotizas, si yo no estuviese agotizando no me llamaban del INE
[0:50:56.80]-[0:51:06.12]  para poder echar los 15 días trabajando. Y aquí en los pueblos como hay tan mala leche y la mojarra tan larga
[0:51:06.12]-[0:51:13.76]  me dicen cuando... ¿Qué ha dicho? La mojarra larga. ¿La mojarra qué es? La mojarra es la boca. Como el morro, no?
[0:51:13.76]-[0:51:18.80]  Me dicen cuando me han visto a mí, claro porque yo llevo un montón de años, cinco años sin trabajar en el PES,
[0:51:18.80]-[0:51:26.72]  me dicen ¿Qué pasa? ¿Qué te han trago a trabajar en el PT? Otro. ¿Qué pasa? Que te...
[0:51:26.72]-[0:51:35.40]  Que se ha acabado la cinta. Se ha acabado la cinta. ¿Qué pasa? Que no... Que tú estabas cobrando una paga de antes
[0:51:35.40]-[0:51:40.76]  porque yo me llevé de baja mucho tiempo también. Me llevé de baja y entonces ¿qué ha pensado la gente?
[0:51:40.76]-[0:51:46.20]  Que yo estaba cobrando una paga y estaba trabajando en el ayuntamiento. Pues te vas a denunciar.
[0:51:46.20]-[0:51:51.12]  Digo, pues ve a denunciarme tranquilamente, me da igual porque como yo tengo todo mi papel en regla,
[0:51:51.12]-[0:51:59.08]  estoy de alta en el ayuntamiento, estoy de alta en la Seguridad Social, en el INE, tengo todo mi papel en regla, me da igual.
[0:51:59.08]-[0:52:05.16]  Entonces a otro le dije, digo, ¿tú sabes quién me ha dado mi trabajo? Los sellos que ellos quitan alto
[0:52:05.16]-[0:52:11.44]  porque si yo no cotizara no me llamaba y ya se cae yo. Se creía que la... Porque si...
[0:52:11.44]-[0:52:16.60]  Y que me lo hubiese dado el alcalde que ha entrado nuevo aquí, que es el PP. ¿Es alcalde de...?
[0:52:16.60]-[0:52:22.32]  Es el PP. ¿Usted votaba el alcalde de...? No, que quiere decir que... No, perdón, que no os quería hacer esa pregunta.
[0:52:22.32]-[0:52:27.88]  Ay, que se me escapa lo que... No, lo que quería decirme que si yo había votado al PP...
[0:52:27.88]-[0:52:33.28]  No, no, no. Que... Ay, ya no sé, algo del alcalde, pero no sé lo que era. Que si era...
[0:52:33.28]-[0:52:43.64]  Y el alcalde es el que nos da el trabajo. Sí. El alcalde. Y hay un concejal de obras y el alcalde también, claro, también interviene en eso.
[0:52:43.64]-[0:52:52.36]  El concejal de obras es el que nos llama a nosotros para hacernos las entrevistas y demás, porque a mí me han llamado diez veces del INE hasta que me han dado el trabajo.
[0:52:52.36]-[0:52:57.88]  Pero no porque no me lo dieran antes porque yo no quisiera, sino porque yo tenía problemas de mi madre.
[0:52:57.88]-[0:53:08.36]  Y yo soy mucho con el muchacho que ha entrado de concejal de obra y se lo decía. Digo, mira, hasta partir de esta fecha, del 3 de abril, no estoy yo disponible.
[0:53:08.36]-[0:53:11.88]  Y de seguida me llamó. Desde noviembre que me estaban llamando.
[0:53:11.88]-[0:53:14.84]  ¿Eso de que es con el muchacho y eso qué es?
[0:53:14.84]-[0:53:19.40]  El muchachito que está de concejal de obra, ¿no?
[0:53:19.40]-[0:53:21.56]  Como un encargado. Ah, que soy un encargado.
[0:53:21.56]-[0:53:39.00]  Encargado. Este es para lo de las obras, porque hay uno de concejal de obra, otro que es el otro partido andalucista que es de camino y los campos, de los árboles, olivo, naranja y demás, de esas cosas.
[0:53:39.00]-[0:53:39.72]  ¿Fuerza de estado?
[0:53:39.72]-[0:53:45.64]  Fuera de estado. Que también está en el ayuntamiento, que es el que estaba delante del alcalde.
[0:53:45.64]-[0:53:48.52]  Con eso estaba yo trabajando siempre.
[0:53:48.52]-[0:53:53.64]  Me llevé cuatro años, yo estaba de encargar de la limpieza toda.
[0:53:53.64]-[0:53:54.76]  ¿De la limpieza de qué?
[0:53:54.76]-[0:54:04.28]  De la limpieza de los colegios durante tres o cuatro meses en el verano. Y después me llaman también mucho del Inés.
[0:54:04.28]-[0:54:13.24]  Y mi hija está, la fruta de esta chica, le he dicho, yo cuando usted vende baja, porque una vez que está de alta no te llaman del Inés.
[0:54:13.24]-[0:54:19.48]  Cuando te queda la parada, que vas al Inés y recojas otra vez la tarjeta de nuevo, ya de seguida te vuelven a llamar.
[0:54:19.48]-[0:54:23.24]  Digo, verá cómo te van a llamar por quince días también al ayuntamiento.
[0:54:23.24]-[0:54:34.76]  O si no, yo tengo aquí a otro vecino de frente, que ese tiene la carrera de abogado y de maestro.
[0:54:34.76]-[0:54:45.16]  Y es mucho conmigo. Yo cualquier cosa que le digo, mira a ver si puede echar una mano a mi hija para que entre a trabajar en un curso que hay, que le dicen el Plan Menta.
[0:54:45.16]-[0:54:46.92]  No lo veis usted escuchado, ¿no?
[0:54:46.92]-[0:54:47.48]  No, no, no.
[0:54:47.48]-[0:54:56.84]  Pues yo lo escucho en la tele en muchos pueblos en capital y eso que el Plan Menta es de cuatro meses por la Junta de Andalucía.
[0:54:56.84]-[0:54:59.72]  Y se gana mil y pico de euros todos los meses.
[0:54:59.72]-[0:55:00.84]  ¿Y qué...?
[0:55:00.84]-[0:55:05.16]  Es como un curso de jardinería y demás.
[0:55:05.16]-[0:55:06.52]  No, pues yo no había ido.
[0:55:06.52]-[0:55:09.16]  Ahí en Madrid no hay estas cosas.
[0:55:09.16]-[0:55:10.60]  No, yo creo que no.
[0:55:10.60]-[0:55:14.76]  En Madrid pero eso anda que no mata gente.
[0:55:14.76]-[0:55:21.40]  Esto de los hombres matando a las mujeres y...
[0:55:21.40]-[0:55:23.24]  Ya, eso es horrible.
[0:55:23.24]-[0:55:24.44]  Sí.
[0:55:24.44]-[0:55:30.92]  Y en Castillera de la Fuesta no era, en este pueblo de los mantecados, en Estepa.
[0:55:30.92]-[0:55:44.52]  El otro día, un día pa otro, mataron a dos muchachas y me dijo mi hija, la que vive en Sevilla, vive en un pueblo de Sevilla en vez de la tosa, que la mató, que era novio.
[0:55:44.52]-[0:55:46.04]  O amigo, no sé.
[0:55:46.04]-[0:55:49.24]  Que se tiró con un coche y está ingresado en la UCI en un mar.
[0:55:49.24]-[0:55:51.48]  Digo, tenía que haber matado a esa hijita, ¿no?
[0:55:51.48]-[0:55:53.88]  Antes de hablar que quiero.
[0:55:53.88]-[0:55:55.88]  Vamos que sí.
[0:55:55.88]-[0:55:57.88]  Y aquí no pasan estas cosas, ¿no?
[0:55:57.88]-[0:55:59.40]  Aquí no hay así...
[0:55:59.40]-[0:56:00.68]  No hay problemas de ese estilo.
[0:56:00.68]-[0:56:08.28]  Bueno, había una allí en la barrera, de la barrera, que le pegó también y eso, pero se han ido de aquí.
[0:56:08.28]-[0:56:12.76]  Yo no sé, ella era morita.
[0:56:12.76]-[0:56:15.24]  Y él era portugués.
[0:56:15.24]-[0:56:21.24]  Y tenía la casa la fíjense teniendo ahí, en la vacación eso te viene para acá con el niño, pero el marido no.
[0:56:21.24]-[0:56:24.04]  Hay mucha inmigración aquí.
[0:56:24.04]-[0:56:26.04]  Uy, uy, uy, uy, esto...
[0:56:26.04]-[0:56:35.64]  Por las tardes, a partir del lunes, las poras, las rumanas las tengo aquí, vienen entre 4 y 5, 4 y 5, pero a lo mejor hay un grupo de 15 o 20, ¿no?
[0:56:35.64]-[0:56:45.64]  Pero ellas se reúnen 4 o 5 de la misma compañía, pero vienen por tanga a buscarme las cosas que me compran.
[0:56:45.64]-[0:56:49.24]  Ah, son muy presumidas, les gusta mucho pintar.
[0:56:49.24]-[0:56:52.44]  Davón y la iglesia al lado y esto.
[0:56:52.44]-[0:56:53.64]  Pero viven aquí.
[0:56:53.64]-[0:56:55.24]  Sí, viven aquí.
[0:56:55.24]-[0:56:58.04]  Viven por ahí, por el camino este de ahí.
[0:56:58.04]-[0:57:03.24]  En el campo viven porque... ¿Quién es fresa?
[0:57:03.24]-[0:57:06.04]  El matrimonio y un hijo.
[0:57:06.04]-[0:57:13.24]  Y entonces cada grupo está con una... porque ellas vienen y me traen fresa y me dicen, pues yo estoy ahora con...
[0:57:13.24]-[0:57:22.44]  mis compañeras están con... y las otras están con el hijo, que se llama... y entonces están repartidas.
[0:57:22.44]-[0:57:24.04]  Y trabajan en la recogida...
[0:57:24.04]-[0:57:26.04]  En la recogida de las fresas, sí.
[0:57:26.04]-[0:57:29.24]  Son muy trabajadoras estas.
[0:57:29.24]-[0:57:33.04]  Aquí hay mucha de acá con gente de aquí del pueblo.
[0:57:33.04]-[0:57:40.84]  Muchas polacas y muchas polacas que han destrozado mucho matrimonio aquí también.
[0:57:40.84]-[0:57:42.44]  También, también.
[0:57:42.44]-[0:57:44.24]  Pero polacas o rumanas, cómo son?
[0:57:44.24]-[0:57:45.84]  Polacas y rumanas.
[0:57:45.84]-[0:57:48.84]  Ah, ¿sabe que son polacas de verdad o...?
[0:57:48.84]-[0:57:52.04]  Claro, no voy a saber yo, no voy a saber yo lo que son polacas y rumanas.
[0:57:52.04]-[0:57:56.64]  Si hay una que va a venir el lunes a apagarme, mando al hijo a buscar las cosas.
[0:57:56.64]-[0:58:01.44]  Pero llevan de aquí ocho, diez años que yo las conozco y ellas vienen y son mucho, me dan...
[0:58:01.44]-[0:58:03.64]  cuando llegan me dan un besito y todo.
[0:58:03.64]-[0:58:11.84]  Y esa ha tenido de que está aquí, estuvo con mi cuñón.
[0:58:11.84]-[0:58:14.24]  Y estuvo con el...
[0:58:14.24]-[0:58:16.84]  Y ahora está con otra, están hijos de otro, es marido de que está aquí.
[0:58:16.84]-[0:58:18.04]  ¿Maridos?
[0:58:18.04]-[0:58:19.24]  Bueno, marido.
[0:58:19.24]-[0:58:20.44]  Viviendo con ellos.
[0:58:20.44]-[0:58:21.64]  Y tanto le tomo con él.
[0:58:21.64]-[0:58:22.84]  Yo te diría que está allá en casa.
[0:58:22.84]-[0:58:24.84]  No, no, de casa, pero...
[0:58:24.84]-[0:58:27.04]  No, porque si es de casa...
[0:58:27.04]-[0:58:31.64]  Yo no sé, ella va allá, ella va allá han traído hijos en cantidad.
[0:58:31.64]-[0:58:36.24]  Aquí no han tenido hijos con ninguno.
