[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:29:22.00]-[0:29:24.00]  Y había un banquillo
[0:29:24.00]-[0:29:26.00]  Y se subía una para mover la hoja, yo que sé
[0:29:26.00]-[0:29:28.00]  Porque sería una hoja muy grande
[0:29:28.00]-[0:29:30.00]  Y yo chica ya, hasta que ya vi
[0:29:30.00]-[0:29:32.00]  Que ella no me veía, me escapé
[0:29:32.00]-[0:29:34.00]  Entonces, era la maestra
[0:29:34.00]-[0:29:36.00]  Mía, dice, ¿dónde está?
[0:29:36.00]-[0:29:38.00]  Digo, está en la cocina
[0:29:38.00]-[0:29:40.00]  Había dos con los velos blancos
[0:29:40.00]-[0:29:42.00]  Que eran novices, yo estaba
[0:29:42.00]-[0:29:44.00]  Dice, tú acierta, aquí hay clausura
[0:29:44.00]-[0:29:46.00]  Como entro, digo, ¿qué voy a hacer?
[0:29:46.00]-[0:29:48.00]  Me quería pegar
[0:29:48.00]-[0:29:50.00]  Y yo, me metí
[0:29:50.00]-[0:29:54.00]  En la clausura, que yo era malísima
[0:29:54.00]-[0:29:56.00]  Nosotros, la clausura que yo era
[0:29:56.00]-[0:29:58.00]  Que no se podía ver nada de las novices
[0:29:58.00]-[0:30:00.00]  Ni podían hablar con nosotros
[0:30:00.00]-[0:30:02.00]  Ni nada, hubo una amiga mía
[0:30:02.00]-[0:30:04.00]  Que después fue monja, era un poquito mayor
[0:30:04.00]-[0:30:06.00]  Se llamaba
[0:30:06.00]-[0:30:08.00]  Y hoy un día
[0:30:08.00]-[0:30:10.00]  Un rato
[0:30:10.00]-[0:30:12.00]  Lo lió y se lo echó al barcón
[0:30:12.00]-[0:30:14.00]  De las novices, al rato
[0:30:14.00]-[0:30:16.00]  Las novices, como eran muertas
[0:30:16.00]-[0:30:18.00]  Muchachas mojadas
[0:30:18.00]-[0:30:20.00]  Pues formaron chillería horrorosa
[0:30:20.00]-[0:30:22.00]  Pero luego ella se metió monja
[0:30:22.00]-[0:30:24.00]  Y llegó a ser superiora
[0:30:24.00]-[0:30:26.00]  Y en el alto mando también se metió
[0:30:26.00]-[0:30:30.00]  Pero le pusieron un nombre tan largo
[0:30:34.00]-[0:30:36.00]  Estuvo muchos años en América
[0:30:36.00]-[0:30:38.00]  ¿De misionera?
[0:30:38.00]-[0:30:40.00]  Ella estuvo
[0:30:40.00]-[0:30:42.00]  Esperate, hubo un terremoto muy malo
[0:30:42.00]-[0:30:44.00]  Que dice la cocina se nos quedaba
[0:30:44.00]-[0:30:46.00]  Nicaragua
[0:30:46.00]-[0:30:48.00]  ¿Cómo hay otra cosa?
[0:30:48.00]-[0:30:50.00]  ¿En Honduras?
[0:30:50.00]-[0:30:52.00]  No, en Honduras no
[0:30:52.00]-[0:30:54.00]  Nicaragua
[0:30:54.00]-[0:30:56.00]  Nicaragua sería
[0:30:56.00]-[0:30:58.00]  Allí tendrán convento las monjas
[0:30:58.00]-[0:31:00.00]  El que tiene más panillas ricas
[0:31:00.00]-[0:31:02.00]  Es en Santo Domingo
[0:31:02.00]-[0:31:04.00]  Que salen de abogados
[0:31:04.00]-[0:31:06.00]  Tienen ya
[0:31:06.00]-[0:31:08.00]  De estudios
[0:31:08.00]-[0:31:10.00]  Como aquí la Inmaculada
[0:31:10.00]-[0:31:12.00]  Salen más heterios
[0:31:12.00]-[0:31:14.00]  Pues allí tenían de niña abogada
[0:31:14.00]-[0:31:16.00]  Eso en Santo Domingo
[0:31:16.00]-[0:31:18.00]  Que también decía
[0:31:18.00]-[0:31:20.00]  Yo no voy a estar, pero algunas monjas
[0:31:20.00]-[0:31:22.00]  Que eran amigas mías
[0:31:22.00]-[0:31:24.00]  Decían, este día allí también hay muchas clases
[0:31:24.00]-[0:31:26.00]  Muchas pobres
[0:31:26.00]-[0:31:28.00]  Nosotros estamos con los ricos
[0:31:28.00]-[0:31:30.00]  Pero allí hay mucha gente pobre
[0:31:30.00]-[0:31:32.00]  En Santo Domingo
[0:31:32.00]-[0:31:34.00]  Hablaban allá
[0:31:34.00]-[0:31:36.00]  Que te digo yo
[0:31:36.00]-[0:31:38.00]  Pues en los años 50 y eso sí
[0:31:38.00]-[0:31:40.00]  Ya en los 50 me casé yo
[0:31:40.00]-[0:31:42.00]  En los 57
[0:31:42.00]-[0:31:44.00]  Me parece a mí que me casé
[0:31:44.00]-[0:31:46.00]  ¿Y cómo se conocían
[0:31:46.00]-[0:31:48.00]  Con los chicos?
[0:31:48.00]-[0:31:50.00]  ¿Cuántos se ennojaban y todo eso?
[0:31:50.00]-[0:31:52.00]  Ah, aquello ha cambiado muchísimo
[0:31:52.00]-[0:31:54.00]  Sí, verdad
[0:31:54.00]-[0:31:56.00]  Mi hermano
[0:31:56.00]-[0:31:58.00]  Ya cuando yo tenía los 14
[0:31:58.00]-[0:32:00.00]  Ya me había dado cuenta que yo ya era
[0:32:00.00]-[0:32:02.00]  Mi niña y mi amiga aparte
[0:32:02.00]-[0:32:04.00]  Toda aparte
[0:32:04.00]-[0:32:06.00]  Pues llegaban los amigos de mi hermano
[0:32:06.00]-[0:32:08.00]  ¿Cómo se llamaba?
[0:32:08.00]-[0:32:10.00]  ¿El antiguo?
[0:32:10.00]-[0:32:12.00]  Ese sí está vivo
[0:32:12.00]-[0:32:14.00]  Bueno
[0:32:14.00]-[0:32:16.00]  Tres, casi siempre había tres
[0:32:16.00]-[0:32:18.00]  Por mi hermano
[0:32:18.00]-[0:32:20.00]  Porque luego se iba a San Pedro a misa
[0:32:20.00]-[0:32:22.00]  Y era de la Ación Católica
[0:32:22.00]-[0:32:24.00]  Y yo estaba en mi parroquia
[0:32:24.00]-[0:32:26.00]  En San Sebastián
[0:32:26.00]-[0:32:28.00]  Y la misa era a las 11 de la tarde en un lado y al otro
[0:32:28.00]-[0:32:30.00]  Bueno, pues yo
[0:32:30.00]-[0:32:32.00]  Cuarto baño todavía no teníamos
[0:32:32.00]-[0:32:34.00]  Teníamos un cuarto donde nos lavábamos
[0:32:34.00]-[0:32:36.00]  Y había una cosa como lata
[0:32:36.00]-[0:32:38.00]  Un latón o un cuchillo lo conocía
[0:32:38.00]-[0:32:40.00]  Para sentarse y por aquí era
[0:32:40.00]-[0:32:42.00]  Alto y se sentaba y se lavaba
[0:32:42.00]-[0:32:44.00]  Y aquello se calentaba en mi casa
[0:32:44.00]-[0:32:46.00]  Cuando a mis padres les dolía el riñón
[0:32:46.00]-[0:32:48.00]  Que se los sentaba y les ponían agua caliente
[0:32:48.00]-[0:32:50.00]  Y yo me tenía que ponerlo
[0:32:50.00]-[0:32:52.00]  Por el oído para mirar pero claro como estaba
[0:32:52.00]-[0:32:54.00]  Que yo hacía un alto no lo veía yo
[0:32:54.00]-[0:32:56.00]  Nada más que de qué hacía, ay, ay
[0:32:56.00]-[0:32:58.00]  Que le daba dolor de riñón
[0:32:58.00]-[0:33:00.00]  Y entonces aquello lo calentaba para mi padre
[0:33:00.00]-[0:33:02.00]  A nosotros nos lavaban en una palancana
[0:33:02.00]-[0:33:04.00]  Grande y un baño después a mi hermano
[0:33:04.00]-[0:33:06.00]  Y cuando era verano
[0:33:06.00]-[0:33:08.00]  A casa de mis tíos
[0:33:08.00]-[0:33:10.00]  A lo de la agua con el sol
[0:33:10.00]-[0:33:12.00]  No teníamos cuarto baño
[0:33:12.00]-[0:33:14.00]  Y un retrete teníamos en el patio
[0:33:14.00]-[0:33:16.00]  Cuando yo era chica
[0:33:16.00]-[0:33:18.00]  Un retrete en el patio
[0:33:18.00]-[0:33:20.00]  Teníamos que cruzar si llovía
[0:33:20.00]-[0:33:22.00]  No teníamos luz
[0:33:22.00]-[0:33:24.00]  Y después cuando yo ya me casé un poco antes
[0:33:24.00]-[0:33:26.00]  Había hecho un cuarto baño
[0:33:26.00]-[0:33:28.00]  Bueno, ya digo, ahora voy a hacer cuarto baño
[0:33:28.00]-[0:33:30.00]  Ahora que me voy a ir yo de aquí
[0:33:30.00]-[0:33:34.00]  Se hizo un retrete arriba
[0:33:34.00]-[0:33:36.00]  Porque mi padre le daba dolor de riñón
[0:33:36.00]-[0:33:38.00]  Para que no saliera en el invierno
[0:33:38.00]-[0:33:40.00]  Y ahí hicieron un retrete arriba
[0:33:40.00]-[0:33:44.00]  Y una pilita de agua
[0:33:44.00]-[0:33:46.00]  Pero para quebara el agua no teníamos
[0:33:46.00]-[0:33:48.00]  Se puso mucho después
[0:33:48.00]-[0:33:50.00]  También
[0:33:50.00]-[0:33:52.00]  Y los juegos, ya te digo que
[0:33:52.00]-[0:33:54.00]  Nosotros las niñas aparte
[0:33:54.00]-[0:33:56.00]  Jugábamos mucho al diablo
[0:33:56.00]-[0:33:58.00]  A tirar al diablo para arriba
[0:33:58.00]-[0:34:00.00]  Y jugaba a la pelota
[0:34:00.00]-[0:34:02.00]  Unas, dos, tres, dentro de la pared
[0:34:02.00]-[0:34:04.00]  Eso yo sola también jugaba
[0:34:04.00]-[0:34:06.00]  Pero
[0:34:06.00]-[0:34:08.00]  Distinto a los niños
[0:34:08.00]-[0:34:12.00]  En los días de la guerra
[0:34:12.00]-[0:34:14.00]  Nosotros nos tomaron los primeros
[0:34:14.00]-[0:34:16.00]  Y para la guerra tardaba dos o seis meses
[0:34:16.00]-[0:34:18.00]  Y entonces había
[0:34:18.00]-[0:34:20.00]  Había un capitán
[0:34:20.00]-[0:34:22.00]  O teniente
[0:34:22.00]-[0:34:24.00]  Ya tenía una casa y un asistente
[0:34:24.00]-[0:34:26.00]  Y había un asistente
[0:34:26.00]-[0:34:28.00]  Era casi como mi hermano
[0:34:28.00]-[0:34:30.00]  17 años
[0:34:30.00]-[0:34:32.00]  Tenía hasta 14
[0:34:32.00]-[0:34:34.00]  Tenía unos 16 años
[0:34:34.00]-[0:34:36.00]  Se venían con los capitán
[0:34:36.00]-[0:34:38.00]  Pero era un niño
[0:34:38.00]-[0:34:40.00]  Y jugaba con nosotros
[0:34:40.00]-[0:34:42.00]  A correr, a pillar
[0:34:42.00]-[0:34:44.00]  O a escondernos detrás de las puertas
[0:34:44.00]-[0:34:46.00]  Eso era lo que teníamos
[0:34:46.00]-[0:34:48.00]  Y ese morú jugaba también con nosotros
[0:34:48.00]-[0:34:50.00]  ¿Y no les daban miedo los soldados?
[0:34:50.00]-[0:34:52.00]  No, no, mi hermano no
[0:34:52.00]-[0:34:54.00]  Como era media de los soldados
[0:34:54.00]-[0:34:56.00]  Pero me trajo un...
[0:34:56.00]-[0:34:58.00]  Ah, porque los moros
[0:34:58.00]-[0:35:00.00]  Cuando entraban a las casas
[0:35:00.00]-[0:35:02.00]  Pues tenían permiso para robar
[0:35:02.00]-[0:35:04.00]  Los que se iban
[0:35:04.00]-[0:35:06.00]  Por ejemplo en Antequera
[0:35:06.00]-[0:35:08.00]  Cuando les iban a tomar las
[0:35:08.00]-[0:35:10.00]  Pues empezaron a asustar mucho
[0:35:10.00]-[0:35:12.00]  Que se vienen cortando los pechos
[0:35:12.00]-[0:35:14.00]  Que ellos no sé qué
[0:35:14.00]-[0:35:16.00]  Que vienen entrando moros
[0:35:16.00]-[0:35:18.00]  Y mucha gente se asustaron
[0:35:18.00]-[0:35:20.00]  Uno era... porque eran republicanos
[0:35:20.00]-[0:35:22.00]  O fueran socialistas
[0:35:22.00]-[0:35:24.00]  O lo que sea, pues se iban
[0:35:24.00]-[0:35:26.00]  Pero otros no
[0:35:26.00]-[0:35:28.00]  Otros se iban porque estaban asustados
[0:35:28.00]-[0:35:30.00]  De ver cómo iban a entrar las tropas
[0:35:30.00]-[0:35:32.00]  Como nosotros éramos de los primeros
[0:35:32.00]-[0:35:34.00]  Cuando que Hipotellano se...
[0:35:34.00]-[0:35:36.00]  Se sublegó en Sevilla
[0:35:36.00]-[0:35:38.00]  Pues fue de los primeros
[0:35:38.00]-[0:35:40.00]  Y se fueron muchos para Málaga
[0:35:40.00]-[0:35:42.00]  Para donde podían parcar
[0:35:42.00]-[0:35:44.00]  Y todo eso
[0:35:44.00]-[0:35:46.00]  Y entonces había una casa cerrada
[0:35:46.00]-[0:35:48.00]  Y la rompían
[0:35:48.00]-[0:35:50.00]  Y allí en mi calle unas 4 casas más
[0:35:50.00]-[0:35:52.00]  Que todavía no han hecho la obra
[0:35:52.00]-[0:35:54.00]  Hay un curral ahora
[0:35:54.00]-[0:35:56.00]  Eso era un...
[0:35:56.00]-[0:35:58.00]  Era como una media clase alta
[0:35:58.00]-[0:36:00.00]  La madre
[0:36:00.00]-[0:36:02.00]  Sacaba muelas
[0:36:02.00]-[0:36:04.00]  Y el padre era relojero
[0:36:04.00]-[0:36:06.00]  Entonces aquella casa me envían movil
[0:36:06.00]-[0:36:08.00]  Y tenían una casa en Málaga
[0:36:08.00]-[0:36:10.00]  En la calle Álamo
[0:36:10.00]-[0:36:12.00]  Y se iban los veranos allí
[0:36:12.00]-[0:36:14.00]  Yo no sé si se bañaban ellas
[0:36:14.00]-[0:36:16.00]  Porque entonces bañarse las muelas
[0:36:16.00]-[0:36:18.00]  Y ponerse el cuero
[0:36:18.00]-[0:36:20.00]  Ellos eran tres hermanas y un hermano
[0:36:20.00]-[0:36:22.00]  Y eso se iban a Málaga
[0:36:22.00]-[0:36:24.00]  Y entonces los moros como estaba cerrada
[0:36:24.00]-[0:36:26.00]  La rompieron
[0:36:26.00]-[0:36:28.00]  Y cogieron las cosas
[0:36:28.00]-[0:36:30.00]  Y entonces de allí
[0:36:30.00]-[0:36:32.00]  Mi madre decía eso es de allí
[0:36:32.00]-[0:36:34.00]  Me regaló un anillo
[0:36:34.00]-[0:36:36.00]  Me acuerdo que era con una emeralda
[0:36:36.00]-[0:36:38.00]  Entonces yo no sabía emeralda
[0:36:38.00]-[0:36:40.00]  Yo sabía verde, una piedra verde
[0:36:40.00]-[0:36:42.00]  Y...
[0:36:42.00]-[0:36:44.00]  Y dice, oye papá que me ha dado...
[0:36:44.00]-[0:36:46.00]  Maumé, yo no sé qué, cómo se llamaba
[0:36:46.00]-[0:36:48.00]  Pues ahí se lo da
[0:36:48.00]-[0:36:50.00]  Sabes de donde es, quién es
[0:36:50.00]-[0:36:52.00]  Venga, te voy a dar el anillo
[0:36:52.00]-[0:36:54.00]  Si crees que nosotros vamos a coger las cosas
[0:36:54.00]-[0:36:56.00]  Porque algunos vecinos se aprovechaban
[0:36:56.00]-[0:36:58.00]  Y entraban y robaban también
[0:36:58.00]-[0:37:00.00]  Los paisanos también hacían cosas
[0:37:00.00]-[0:37:02.00]  Entonces tuve que dar el anillo
[0:37:02.00]-[0:37:04.00]  No me pude quedar con el anillo
[0:37:04.00]-[0:37:06.00]  Mi madre no quería nada
[0:37:06.00]-[0:37:08.00]  No sabía que se me tiraba algo
[0:37:08.00]-[0:37:10.00]  No quería líos
[0:37:10.00]-[0:37:12.00]  Tuve que devolver
[0:37:12.00]-[0:37:14.00]  Y ese morunga va con nosotros
[0:37:14.00]-[0:37:16.00]  Y yo puedo decir que murió
[0:37:18.00]-[0:37:20.00]  En la guerra aquí murieron muchos moros
[0:37:22.00]-[0:37:24.00]  Un cementerio de moros
[0:37:24.00]-[0:37:26.00]  Los que también mataron para ir a tomar Málaga
[0:37:26.00]-[0:37:28.00]  Murieron muchos moros también
[0:37:28.00]-[0:37:30.00]  Me parece a mí que eran nueve
[0:37:30.00]-[0:37:32.00]  Quizás los que el cementerio que hicieron aquí
[0:37:32.00]-[0:37:34.00]  Aparte
[0:37:34.00]-[0:37:36.00]  Pero ya eso se lo han llevado a Marruecos y lo han quitado
[0:37:36.00]-[0:37:38.00]  Eso allí
[0:37:38.00]-[0:37:40.00]  Italianos también siete
[0:37:40.00]-[0:37:42.00]  Pero ya estaban en el cementerio nuestro
[0:37:42.00]-[0:37:44.00]  Los italianos
[0:37:44.00]-[0:37:46.00]  Los moros tenían uno diferente
[0:37:46.00]-[0:37:48.00]  Sí, de cristiano
[0:37:48.00]-[0:37:50.00]  Los protestantes tampoco podían ir
[0:37:50.00]-[0:37:52.00]  Que habían pocos pero había algo
[0:37:52.00]-[0:37:54.00]  No podían entrar
[0:37:54.00]-[0:37:56.00]  Si no estaban bautizados tampoco podían entrar
[0:37:56.00]-[0:37:58.00]  En el campo santo que se llamaba
[0:37:58.00]-[0:38:00.00]  Los cementerios
[0:38:00.00]-[0:38:02.00]  Y ahora me parece a mí que entra todo
[0:38:02.00]-[0:38:04.00]  Pagando el taxis y todo
[0:38:04.00]-[0:38:06.00]  Han cambiado las cosas
[0:38:06.00]-[0:38:08.00]  El que se ahorcaba no podía entrar
[0:38:08.00]-[0:38:10.00]  Ah, claro
[0:38:10.00]-[0:38:12.00]  Tampoco
[0:38:12.00]-[0:38:14.00]  Mucha diferencia de cosas
[0:38:14.00]-[0:38:16.00]  Y antes de la guerra
[0:38:16.00]-[0:38:18.00]  Las mujeres a los bares no iban
[0:38:18.00]-[0:38:20.00]  Mi madre no había ido a entrar a un bar
[0:38:20.00]-[0:38:22.00]  Y yo ya con 14 años
[0:38:22.00]-[0:38:24.00]  Los 15 me dijeron a mi amiga
[0:38:24.00]-[0:38:26.00]  Vamos a entrar aquí a la cervecería que ahí en la calle
[0:38:26.00]-[0:38:28.00]  Todavía existe
[0:38:28.00]-[0:38:30.00]  A tomar un refresco
[0:38:30.00]-[0:38:32.00]  Nosotros no sabíamos ni lo que era el refresco
[0:38:32.00]-[0:38:34.00]  Fafarrilla
[0:38:34.00]-[0:38:36.00]  Yo no sabía lo que era fafarrilla
[0:38:36.00]-[0:38:38.00]  Entonces yo no me había ido a tomar un refresco
[0:38:38.00]-[0:38:40.00]  Yo no sabía lo que era fafarrilla
[0:38:40.00]-[0:38:42.00]  La otra la había pedido de fresa
[0:38:42.00]-[0:38:44.00]  De menta
[0:38:44.00]-[0:38:46.00]  Cada una pedía un desfile
[0:38:46.00]-[0:38:48.00]  Éramos cuatro, cuatro demonios
[0:38:48.00]-[0:38:50.00]  Yo la más chica pero la más mala
[0:38:50.00]-[0:38:52.00]  Y entrábamos ahí
[0:38:52.00]-[0:38:54.00]  Y luego fui yo, mamá, estamos en el bar
[0:38:54.00]-[0:38:56.00]  Está eso
[0:38:56.00]-[0:38:58.00]  Ay, por dios, ay, que nos haya visto
[0:38:58.00]-[0:39:00.00]  Pero había mucha hombre allí
[0:39:00.00]-[0:39:02.00]  No mamá, allí no había nadie, está fuera
[0:39:02.00]-[0:39:04.00]  Había vida a las 4
[0:39:04.00]-[0:39:06.00]  Ay, digo, si tu padre este entero
[0:39:06.00]-[0:39:08.00]  Verás cómo se va a poner tu padre
[0:39:08.00]-[0:39:10.00]  Así que no se podía ir a los padres
[0:39:10.00]-[0:39:12.00]  Ya empezó más
[0:39:12.00]-[0:39:14.00]  Ya empezaron las ferias ahí
[0:39:14.00]-[0:39:16.00]  Después como también había tantos lutos
[0:39:16.00]-[0:39:18.00]  Uno porque la guerra y otro porque lo mataban
[0:39:18.00]-[0:39:20.00]  Había mucha tristeza
[0:39:20.00]-[0:39:22.00]  Las mujeres estaban vueltas de negro
[0:39:22.00]-[0:39:24.00]  Eso sí me acuerdo yo
[0:39:24.00]-[0:39:26.00]  Pero los chicos sí, entraban
[0:39:26.00]-[0:39:28.00]  Los niños sí
[0:39:28.00]-[0:39:30.00]  Mi mano mía
[0:39:30.00]-[0:39:32.00]  Había puesto en el café
[0:39:32.00]-[0:39:34.00]  Un café de café
[0:39:34.00]-[0:39:36.00]  Había puesto en el café
[0:39:36.00]-[0:39:38.00]  Unos servicios
[0:39:38.00]-[0:39:40.00]  No sé cómo era
[0:39:40.00]-[0:39:42.00]  Sí, serían de esas cosas
[0:39:42.00]-[0:39:44.00]  Ya colgarlas pa' arriba
[0:39:44.00]-[0:39:46.00]  Y siempre que pasaba
[0:39:46.00]-[0:39:48.00]  Que me hago pepi
[0:39:48.00]-[0:39:50.00]  Y les dice, ay, madre, bueno
[0:39:50.00]-[0:39:52.00]  Pero era para entrar
[0:39:52.00]-[0:39:54.00]  Y yo, ¿qué has visto?
[0:39:54.00]-[0:39:56.00]  Dice, mira, el retrato es más bonito esto
[0:39:56.00]-[0:39:58.00]  Y me explicaba lo que allí había
[0:39:58.00]-[0:40:00.00]  Yo no podía entrar
[0:40:00.00]-[0:40:02.00]  Bueno, ahí se entraban los hombres
[0:40:02.00]-[0:40:06.00]  Y la feria es más distinta también
[0:40:06.00]-[0:40:10.00]  Había muchos niños que querían subirse a la Serena
[0:40:10.00]-[0:40:12.00]  Y les daban guarda ellos
[0:40:12.00]-[0:40:14.00]  Para que empezara guarda
[0:40:14.00]-[0:40:16.00]  Y luego ya a fin se subían
[0:40:16.00]-[0:40:18.00]  Y por eso se ponían allí
[0:40:18.00]-[0:40:20.00]  Lo que les dieron
[0:40:20.00]-[0:40:22.00]  Entonces no venían más que
[0:40:22.00]-[0:40:24.00]  Una Serena
[0:40:24.00]-[0:40:26.00]  De caballito
[0:40:26.00]-[0:40:28.00]  Y para sentarse
[0:40:28.00]-[0:40:30.00]  La Nuria
[0:40:30.00]-[0:40:32.00]  Y siempre han venido
[0:40:32.00]-[0:40:34.00]  Yo desde chiquitín he visto la Nuria
[0:40:34.00]-[0:40:36.00]  Y luego ya cuando vinieron las cadenas
[0:40:36.00]-[0:40:38.00]  Que ya tendía yo los quince años
[0:40:38.00]-[0:40:40.00]  Las cadenas, eso era
[0:40:40.00]-[0:40:42.00]  Y me dije, no te vayas a subir
[0:40:42.00]-[0:40:44.00]  Claro que me subía
[0:40:44.00]-[0:40:46.00]  Digo, ¿tú no te ves?
[0:40:46.00]-[0:40:48.00]  Las piernas las muerde
[0:40:48.00]-[0:40:50.00]  Mamá, yo cruzo las piernas
[0:40:50.00]-[0:40:52.00]  Así, y me digo, a mí no me se ha visto nada
[0:40:52.00]-[0:40:54.00]  Y me dio el vestido
[0:40:54.00]-[0:40:56.00]  Me dio
[0:40:56.00]-[0:40:58.00]  Pero si se suelta la cadena
[0:40:58.00]-[0:41:00.00]  Se te va a
[0:41:02.00]-[0:41:04.00]  A la Vega
[0:41:04.00]-[0:41:06.00]  Ahora han sacado un chiste a la Vega
[0:41:08.00]-[0:41:10.00]  La Vega de aquí donde quedan es muy bonita
[0:41:10.00]-[0:41:12.00]  Es muy grande
[0:41:12.00]-[0:41:14.00]  Ya se han quedado más chicas
[0:41:14.00]-[0:41:16.00]  Pero se ha cogido mucho terreno
[0:41:18.00]-[0:41:20.00]  Y ahora la Vega
[0:41:20.00]-[0:41:22.00]  Pues quieren poner un anillo
[0:41:22.00]-[0:41:24.00]  Que creo que es una cosa de ese evento
[0:41:24.00]-[0:41:26.00]  Para que pasen
[0:41:26.00]-[0:41:28.00]  Para estrenar los trenes
[0:41:28.00]-[0:41:30.00]  Para ver si corren mucho
[0:41:30.00]-[0:41:32.00]  O corren poco, una cosa así
[0:41:32.00]-[0:41:34.00]  Y ahora ya
[0:41:34.00]-[0:41:36.00]  Aquí en Andalucía, a todos les sacan versos
[0:41:38.00]-[0:41:40.00]  Los andaluces nos destacamos mucho
[0:41:40.00]-[0:41:42.00]  De los demás españoles
[0:41:42.00]-[0:41:44.00]  Y ahora lo han sacado
[0:41:44.00]-[0:41:46.00]  A la Vega le ha salido un novio
[0:41:46.00]-[0:41:48.00]  Le ha regalado un anillo
[0:41:48.00]-[0:41:50.00]  O le va a regalar un anillo
[0:41:50.00]-[0:41:52.00]  Porque quieren hacer el anillo
[0:41:52.00]-[0:41:54.00]  Para los trenes
[0:41:54.00]-[0:41:56.00]  Y eso le propia a mucha gente
[0:41:56.00]-[0:41:58.00]  Y muchos viven de ese campo
[0:41:58.00]-[0:42:00.00]  Otros son muy ricos
[0:42:00.00]-[0:42:02.00]  También les pilla mucho rico
[0:42:02.00]-[0:42:04.00]  Pero es que les pilla mucho pobre
[0:42:04.00]-[0:42:06.00]  De la Vega de aquí
[0:42:06.00]-[0:42:08.00]  Y es una lástima que hay un sitio
[0:42:08.00]-[0:42:10.00]  Para estrenar los trenes
[0:42:10.00]-[0:42:12.00]  Que hay muchas estaciones vacías
[0:42:12.00]-[0:42:14.00]  Los trenes en otro lado
[0:42:14.00]-[0:42:16.00]  No sé lo que pasará
[0:42:16.00]-[0:42:18.00]  Eso es lo que hay ahora mismo
[0:42:18.00]-[0:42:20.00]  Con la Vega
[0:42:20.00]-[0:42:22.00]  Que queréis más que os cuente
[0:42:22.00]-[0:42:26.00]  O sea, ¿ustedes queréis tomar un cafelito o algo?
[0:42:26.00]-[0:42:28.00]  No, muchas gracias
[0:42:28.00]-[0:42:30.00]  Yo estoy con mi niño y lo hace lo que sea
[0:42:30.00]-[0:42:32.00]  ¿Queréis leche?
[0:42:32.00]-[0:42:34.00]  ¿Nana?
[0:42:34.00]-[0:42:36.00]  Hemos comido antes de venir aquí
[0:42:36.00]-[0:42:38.00]  Acabamos de desayunar
[0:42:38.00]-[0:42:40.00]  Bueno, pues si más tarde queréis
[0:42:40.00]-[0:42:42.00]  Un Coca-Cola o una cerveza
[0:42:42.00]-[0:42:44.00]  Con alcohol sin alcohol
[0:42:44.00]-[0:42:46.00]  Tengo
[0:42:46.00]-[0:42:48.00]  ¿Todo está saliendo?
[0:42:48.00]-[0:42:52.00]  Está todo bien
[0:42:52.00]-[0:42:54.00]  Ahora vamos a ver los juegos, ¿no?
[0:42:54.00]-[0:42:56.00]  La pelota, las cosas de esas
[0:42:56.00]-[0:42:58.00]  ¿Qué más queréis que hable?
[0:42:58.00]-[0:43:00.00]  Pues de cómo...
[0:43:00.00]-[0:43:02.00]  Cuando ya éramos mayores y cómo
[0:43:02.00]-[0:43:04.00]  Que nos iba a contar cómo nos vivíamos
[0:43:04.00]-[0:43:06.00]  A los niños
[0:43:06.00]-[0:43:08.00]  Yo, mi marido
[0:43:08.00]-[0:43:10.00]  Vivía
[0:43:10.00]-[0:43:12.00]  Muy cerca de la casa
[0:43:12.00]-[0:43:14.00]  Entonces era hermano
[0:43:14.00]-[0:43:16.00]  Era amigo de mi hermano
[0:43:16.00]-[0:43:18.00]  Entraba mucho a mi casa
[0:43:18.00]-[0:43:20.00]  Y yo, amiga de su hermana
[0:43:20.00]-[0:43:24.00]  No estaba ya en el colegio conmigo
[0:43:24.00]-[0:43:26.00]  O sea, cuando yo entré al colegio la otra salía
[0:43:26.00]-[0:43:30.00]  Pero casi, era un año mayor que yo
[0:43:30.00]-[0:43:32.00]  Era un año mayor
[0:43:32.00]-[0:43:34.00]  Más chico que yo
[0:43:34.00]-[0:43:36.00]  Entonces estaba en la victoria
[0:43:36.00]-[0:43:38.00]  Los niños iban a la victoria hasta que hacían la comunión
[0:43:38.00]-[0:43:40.00]  Cuando hacían la comunión ya no podían estar los niños con las niñas
[0:43:40.00]-[0:43:44.00]  Aunque ellos en la clase que estaban tenían una barca para ellos
[0:43:44.00]-[0:43:48.00]  Entonces lo conocía del colegio
[0:43:48.00]-[0:43:50.00]  Estaba en Monicoto
[0:43:50.00]-[0:43:52.00]  Ayudaba a la misa
[0:43:52.00]-[0:43:54.00]  Y le daban de veredad
[0:43:54.00]-[0:43:56.00]  Y yo como tal las niñas
[0:43:56.00]-[0:43:58.00]  Iba a buscarles para que me dieran un poquillo de chocolate
[0:43:58.00]-[0:44:00.00]  O lo que estaba
[0:44:00.00]-[0:44:02.00]  O nueces con pan le daban
[0:44:02.00]-[0:44:04.00]  Y las cosas que no le daban a nadie
[0:44:04.00]-[0:44:08.00]  Ya les decía, ya sabía yo que te tenía que dar antes de comer
[0:44:08.00]-[0:44:10.00]  Porque o me daban la mitad de la nuez
[0:44:10.00]-[0:44:12.00]  O me daban una milla de chocolate
[0:44:12.00]-[0:44:14.00]  Pero yo no estaba enamorada de ellos
[0:44:14.00]-[0:44:16.00]  Yo estaba enamorada de otro monicote
