[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[0:31:30.00]-[0:31:33.00]  Y nos tuvieron que quitar del colegio antes de tiempo
[0:31:33.00]-[0:31:35.00]  porque teníamos que trabajar en casa.
[0:31:35.00]-[0:31:39.00]  Éramos una familia numerosa, cinco hijos, el matrimonio,
[0:31:39.00]-[0:31:42.00]  un abuelo mayor que teníamos, en fin, que éramos muchas personas y...
[0:31:42.00]-[0:31:44.00]  Y había que comer.
[0:31:44.00]-[0:31:46.00]  Y desde muy chiquititas empezamos a trabajar,
[0:31:46.00]-[0:31:49.00]  pero trabajamos en casa siempre, siempre en casa.
[0:31:49.00]-[0:31:51.00]  Porque aquí había muchos aleos de todas las cosas, ¿sabes?
[0:31:51.00]-[0:31:54.00]  A ver, además que teníamos eso, teníamos carnicerías,
[0:31:54.00]-[0:31:58.00]  matanzas de cerdo, entonces hacíamos dos o tres a la semana,
[0:31:58.00]-[0:32:01.00]  no como ahora que se hace una al año.
[0:32:01.00]-[0:32:05.00]  Y claro, pues chiquititas, chiquititas, nos pusieron a trabajar.
[0:32:05.00]-[0:32:09.00]  Y es lo que nos enseñaron a eso, a trabajar mucho y eso está.
[0:32:09.00]-[0:32:11.00]  Así es que ahí tenéis, mi hijo.
[0:32:11.00]-[0:32:13.00]  ¿Y recuerda usted el colegio cómo era?
[0:32:13.00]-[0:32:14.00]  El colegio, muy bonito.
[0:32:14.00]-[0:32:16.00]  Yo primero fui al de las monjas.
[0:32:16.00]-[0:32:18.00]  Del colegio de Castillo, ¿habéis visto el Castillo?
[0:32:18.00]-[0:32:19.00]  Sí.
[0:32:19.00]-[0:32:20.00]  ¿A ver?
[0:32:20.00]-[0:32:22.00]  Bueno, pues ahí, pero ahora cuando llevo ya la niña,
[0:32:22.00]-[0:32:25.00]  la niña mayor por la calle, digo mira, en esa clase estaba yo,
[0:32:25.00]-[0:32:28.00]  y en la otra estaba Tita, otra hermana mía.
[0:32:28.00]-[0:32:30.00]  Y de chiquititas estuvimos allí.
[0:32:30.00]-[0:32:34.00]  Luego ya un poquito más mayor, nos fuimos a las escuelas que había ya,
[0:32:34.00]-[0:32:36.00]  digamos, nacionales, ¿no?
[0:32:36.00]-[0:32:38.00]  O sea que eran maestras y maestros,
[0:32:38.00]-[0:32:41.00]  y las niñas con las maestras, y los niños con los maestros,
[0:32:41.00]-[0:32:43.00]  no como ahora que son mixtas, ¿no?
[0:32:43.00]-[0:32:44.00]  Las clases.
[0:32:44.00]-[0:32:46.00]  Y bueno, hasta los 13 años me dejaron,
[0:32:46.00]-[0:32:48.00]  hasta los 13 años me dejaron.
[0:32:48.00]-[0:32:50.00]  A los 13 años ya dijeron que ya no podía ser más,
[0:32:50.00]-[0:32:53.00]  y ya me tenía que venir, y me pusieron a despachar,
[0:32:53.00]-[0:32:55.00]  me había de despachar, lo que había que despachar,
[0:32:55.00]-[0:32:57.00]  y de atrás me mostraron con tres tañitos, con tres tañitos.
[0:32:57.00]-[0:33:02.00]  Y no me dejaron estudiar, porque yo no sabía si tendría que estudiar o no,
[0:33:02.00]-[0:33:06.00]  pero la maestra, pues vino unas pocas veces en busca de mi padre,
[0:33:06.00]-[0:33:09.00]  para que estudiara y estudiara y estudiara,
[0:33:09.00]-[0:33:12.00]  que la niña la bajara, la bajara aquí, nada más que para trabajar y trabajar,
[0:33:12.00]-[0:33:14.00]  cuando esta niña puede hacer una carrera que...
[0:33:14.00]-[0:33:16.00]  Pero mi padre no te hizo porque una tía mía,
[0:33:16.00]-[0:33:21.00]  una hermana de mi padre, estudió magisterio entonces, fíjate,
[0:33:21.00]-[0:33:23.00]  cuidado los años que hará, ¿eh?
[0:33:23.00]-[0:33:25.00]  Y se murió con 19 años, la pobre.
[0:33:25.00]-[0:33:29.00]  Cuando iba en pleno estudio, se murió de aquella enfermedad que había antes,
[0:33:29.00]-[0:33:31.00]  no sé si habéis oído nombrarla tuberculosis,
[0:33:31.00]-[0:33:33.00]  que ahora también la hay, hay otra vez, pero ahora hay otras cosas,
[0:33:33.00]-[0:33:35.00]  y entonces no había antibióticos, no había nada,
[0:33:35.00]-[0:33:39.00]  y al que le caía le pasaba como alfibia, o otras cosas peores, ¿no?
[0:33:39.00]-[0:33:43.00]  No tenía arreglo, la pobre de 19 años murió.
[0:33:43.00]-[0:33:46.00]  Entonces mi padre, eso solo quedó muy grabado, y dijo que no,
[0:33:46.00]-[0:33:48.00]  que no, que no, que no le fuera a pasar como a mi tía,
[0:33:48.00]-[0:33:51.00]  yo me llamé huarquero y todo, me llamaba mi tía,
[0:33:51.00]-[0:33:54.00]  que no le fuera a pasar como a su hermana, que no, que no, que no, fíjate,
[0:33:54.00]-[0:33:57.00]  no me dejaron y me podían haber visto por ahí el mundo entero y ahora nada,
[0:33:57.00]-[0:34:00.00]  ahora aquí, pero yo sigo feliz a mi manera,
[0:34:00.00]-[0:34:04.00]  el chivo lo sigo siendo, lo sigo siendo, sí.
[0:34:04.00]-[0:34:06.00]  ¿Y recuerdas que aprendían en la escuela?
[0:34:06.00]-[0:34:08.00]  Aprendíamos, bueno, allí como íbamos de todas,
[0:34:08.00]-[0:34:10.00]  porque allí en la escuela lo que pasaba era que,
[0:34:10.00]-[0:34:13.00]  en el colegio, en el castillo digamos, donde las monjas,
[0:34:13.00]-[0:34:15.00]  pues las mayorcitas íbamos a una clase,
[0:34:15.00]-[0:34:17.00]  y las más chiquititas iban a otra,
[0:34:17.00]-[0:34:20.00]  pero ahí en la escuela íbamos todas, las de chicas y mayores y todas,
[0:34:20.00]-[0:34:23.00]  y entonces las que éramos un poquinino más listas,
[0:34:23.00]-[0:34:26.00]  que hacíamos mejor las cuentas, nos poníamos cuentas,
[0:34:26.00]-[0:34:29.00]  era abarullo, eso de las cuentas, madre mía de mi vida,
[0:34:29.00]-[0:34:31.00]  pues entonces nos ponían cuentas grandísimas,
[0:34:31.00]-[0:34:35.00]  me ponían de DVD, madre mía, no sé por cuántas cifras,
[0:34:35.00]-[0:34:39.00]  que ahora no sería capaz, que la cabeza ya no sería capaz de hacer eso,
[0:34:39.00]-[0:34:43.00]  para que me entretuviera, porque acababa corriente y las otras no acababan,
[0:34:43.00]-[0:34:48.00]  yo y otras cuantas, porque sabéis que en las clases siempre hay personas
[0:34:48.00]-[0:34:51.00]  que a lo mejor se enteran antes y otras necesitan más,
[0:34:51.00]-[0:34:55.00]  entonces si atendían a las pequeñas, por las mayores, fue aburrida,
[0:34:55.00]-[0:34:59.00]  pero ellos nos enseñaban a todo, nos enseñaban a leer, a escribir,
[0:34:59.00]-[0:35:03.00]  a coser por las tardes, nos enseñaban labores también,
[0:35:03.00]-[0:35:05.00]  las monjas también en el castillo,
[0:35:05.00]-[0:35:08.00]  yo fui yo luego ya de mocita, fui yo por las tardes,
[0:35:08.00]-[0:35:11.00]  pero luego después, mientras fuimos niñas, así más chiquititas,
[0:35:11.00]-[0:35:15.00]  pues nos enseñaban a hacer de todo, los calallitos, las cosas, las labores,
[0:35:15.00]-[0:35:19.00]  que es lo que antes se hacía, ahora son los ordenadores, son las cosas esas,
[0:35:19.00]-[0:35:23.00]  antes eran las labores, nos enseñaban a hacer ganchillos,
[0:35:23.00]-[0:35:27.00]  a hacer bolillos, a hacer las cosas esas, nos enseñaban a todo,
[0:35:27.00]-[0:35:30.00]  yo tengo muy buenos recuerdos de la escuela, a mí me fuimos bien,
[0:35:30.00]-[0:35:34.00]  como me gustaba, me encantaba, veía, lo que pasa es que me quitaron bastante tiempo,
[0:35:34.00]-[0:35:38.00]  porque no, que no, que no, que no tenía que trabajar y ya está,
[0:35:38.00]-[0:35:42.00]  tuvimos la mala suerte también que mi madre estaba malina, la pobre,
[0:35:42.00]-[0:35:46.00]  y se murió con 61 años y tuvo muchos años malas,
[0:35:46.00]-[0:35:49.00]  y claro necesitaban ayuda, mis padres necesitaban que la ayudaran,
[0:35:49.00]-[0:35:54.00]  y ya está, entonces los tiempos de entonces eran los de ahora, así es.
[0:35:54.00]-[0:35:56.00]  ¿Y a los chicos les enseñaban cosas distintas?
[0:35:56.00]-[0:36:00.00]  Los chicos, el campo, el trabajo del campo y bueno, y la carnicería, como te digo,
[0:36:00.00]-[0:36:03.00]  si ya tenían que ir a matar, que iban a ver, había aquí un matadero,
[0:36:03.00]-[0:36:06.00]  hombre un matadero de cualquier, es que te digo yo lo que es un matadero,
[0:36:06.00]-[0:36:10.00]  lo que es ahora el hogar del pensionista era antes el matadero, y aquí se mataba,
[0:36:10.00]-[0:36:15.00]  no hombre, no, pero esto está modificado, cuidado, está modificado ahora,
[0:36:17.00]-[0:36:20.00]  que viva lo vaya a pasar conmigo, anda ya, anda ya, anda que no fue el rey
[0:36:20.00]-[0:36:23.00]  que te dejé poner ahí la grabadora.
[0:36:27.00]-[0:36:29.00]  Era lo que es el hogar del pensionista, como te digo,
[0:36:29.00]-[0:36:33.00]  era antes, o digamos, esto que es como un salón, aquello lo que era,
[0:36:33.00]-[0:36:36.00]  y aquí mataban los bichos y el veterinario los reconocía,
[0:36:36.00]-[0:36:39.00]  y acá nosotros en su casa y lo vendíamos, y fuera del Zahuan,
[0:36:39.00]-[0:36:42.00]  esa era la entradita, la entradita de la casa, ahí era el mostrador
[0:36:42.00]-[0:36:46.00]  y ahí se despachaba la carne, nosotros y otros, más que había,
[0:36:46.00]-[0:36:50.00]  había más carniceros en el pueblo, y entonces pues eso que te digo,
[0:36:50.00]-[0:36:55.00]  que mis hermanos pues eso, a matar bichos y a hacer las labores del campo,
[0:36:55.00]-[0:36:59.00]  que teníamos campo y ya está, y los niños no, los niños entonces ya sabéis
[0:36:59.00]-[0:37:03.00]  que ahora sí, ahora los niños tenéis que colaborar en casa, pero antes no,
[0:37:03.00]-[0:37:07.00]  antes fíjate, teníamos cinco hombres aquí en casa, cinco,
[0:37:07.00]-[0:37:12.00]  porque eran mis tres hermanos, mi padre y mi abuelo, eran cinco hombres,
[0:37:12.00]-[0:37:15.00]  con lo que se ensuciaba entonces, bueno entonces y ahora también,
[0:37:15.00]-[0:37:18.00]  pero lo que es el campo ensucía muchísimo, y sobre todo las matanzas,
[0:37:18.00]-[0:37:23.00]  mucha grasa, mucha pringue también, bueno, pues yo iba, ellos eso,
[0:37:23.00]-[0:37:27.00]  el campo y las matanzas, lo que fuera, pero nosotras, cuando era el domingo,
[0:37:27.00]-[0:37:30.00]  el día de fiesta, porque entonces no, no nos vestíamos todos los días
[0:37:30.00]-[0:37:33.00]  como ahora que vamos lo mismo un día que un domingo, pero entonces aquí,
[0:37:33.00]-[0:37:37.00]  los domingos nos poníamos bien y cualquier día vamos como quiera, bueno,
[0:37:37.00]-[0:37:40.00]  pues me acuerdo yo que le sacábamos la ropa a mis hermanos,
[0:37:40.00]-[0:37:42.00]  pues cuando llegaron ellos que se iban ahí para arriba,
[0:37:42.00]-[0:37:44.00]  pues teníamos que sacar la ropa nosotros, no, mi hermana y yo,
[0:37:44.00]-[0:37:47.00]  la ropita, lo otro, que estaba a punto de que nos enseñaban a tenerles
[0:37:47.00]-[0:37:50.00]  todas las cosas, pues cuando llegaban, ellos llegaban ya,
[0:37:50.00]-[0:37:54.00]  se lavaban, se preparaban, sin agua corriente, sin cuarto de baño,
[0:37:54.00]-[0:37:59.00]  con una ducha de esa por Katy, y el agua caliente en la candela,
[0:37:59.00]-[0:38:02.00]  así que imaginé, qué penita, pero tampoco nos comían,
[0:38:02.00]-[0:38:06.00]  nos comían la mierda, vaya, con perdón de la palabra,
[0:38:06.00]-[0:38:10.00]  pero vamos, aquí estamos como entre amigos, digamos,
[0:38:10.00]-[0:38:14.00]  y entonces bueno, pues sí, así eran las cosas antes,
[0:38:14.00]-[0:38:17.00]  y ahora pues claro, un cambio enorme.
[0:38:17.00]-[0:38:20.00]  ¿Y en los tiempos del colegio además a qué jugabas?
[0:38:20.00]-[0:38:25.00]  Pues allí, en el colegio que sí siempre, pues el recito del recreo,
[0:38:25.00]-[0:38:29.00]  pues a la rayuela como le decíamos, saltando,
[0:38:29.00]-[0:38:32.00]  hacíamos las rayas en el suelo, a la comba,
[0:38:32.00]-[0:38:35.00]  hacíamos a lo mejor también esto, las gimnasias también las hacíamos
[0:38:35.00]-[0:38:39.00]  en la hora del recreo, y porque luego el otro recito
[0:38:39.00]-[0:38:41.00]  que nos quedaba de por la tarde, teníamos que aprovechar la costura,
[0:38:41.00]-[0:38:45.00]  que por la tarde era coser, teníamos por la mañana y por la tarde,
[0:38:45.00]-[0:38:49.00]  clase, así que bueno, ¿y qué otra cosa más te diría?
[0:38:49.00]-[0:38:52.00]  No sé, no me acuerdo, pero eso nada más, cosas de esas así,
[0:38:52.00]-[0:38:57.00]  al esconder jugábamos, al escondite, y cositas de esas así,
[0:38:57.00]-[0:38:59.00]  pero bueno, a lo mejor sí era un patio, por ejemplo,
[0:38:59.00]-[0:39:02.00]  en la escuela donde yo fui, que tenían un patio muy grande,
[0:39:02.00]-[0:39:04.00]  pues en el patio podíamos jugar, pero había otras que no tenían
[0:39:04.00]-[0:39:06.00]  el patio tan grande y tampoco podían jugar tanto,
[0:39:06.00]-[0:39:10.00]  depende de las escuelas, pero vamos, yo la mía sí,
[0:39:10.00]-[0:39:13.00]  la mía tenía un patio muy grande, y era que en el patio jugábamos
[0:39:13.00]-[0:39:16.00]  el ratito que teníamos de recreo, y en el colegio en el castillo,
[0:39:16.00]-[0:39:18.00]  bueno, madre mía, había un terreno tremendo,
[0:39:18.00]-[0:39:22.00]  iba a jugar ahí, y desde ahí como jugábamos, y eso te digo,
[0:39:22.00]-[0:39:25.00]  a saltar a la comba, a la rayuela, como le decíamos,
[0:39:25.00]-[0:39:27.00]  y a cositas de esas así, ¿sabes?
[0:39:27.00]-[0:39:29.00]  Cuando yo le canto a mis niñas las cosas antiguas,
[0:39:29.00]-[0:39:33.00]  pues ya, y juego con ellas, al escondite, para aquí,
[0:39:33.00]-[0:39:36.00]  para la casa, las tiquinines, sobre todo las chicas,
[0:39:36.00]-[0:39:39.00]  ¡ah! se me decía abuela, nada más que ¡ah, ah, ah!
[0:39:39.00]-[0:39:43.00]  y cuando me busca, ¿sabes que eso es el toco donde está escondida,
[0:39:43.00]-[0:39:47.00]  ¡ah, ah! para que le conteste, ¿sabes que le contesto?
[0:39:47.00]-[0:39:53.00]  ¡ah! y así, así que bueno, cuando tengo ganas,
[0:39:53.00]-[0:39:56.00]  cuando tengo ganas, pero me duele mucho la espalda,
[0:39:56.00]-[0:39:58.00]  o me duelen las piernas, no tengo ganas,
[0:39:58.00]-[0:40:00.00]  vamos a jugar al escondite, abuela, al escondite,
[0:40:00.00]-[0:40:02.00]  pero nosotros decimos aquí al escondite, vamos al escondite,
[0:40:02.00]-[0:40:06.00]  y ellas pues disfrutan, y supone que ya han ido a estar, ¿ves?
[0:40:06.00]-[0:40:09.00]  ¿sabes qué más? ¿qué te digo?
[0:40:09.00]-[0:40:10.00]  ¿Los maestros cómo?
[0:40:10.00]-[0:40:13.00]  Los maestros muy bien, muy bien, a mí no me dijeron que pegar nunca,
[0:40:13.00]-[0:40:18.00]  a algunos les ponía la mano y la parmeta, les daban, ¿no?
[0:40:18.00]-[0:40:21.00]  con la regla, los castigaban,
[0:40:21.00]-[0:40:24.00]  a mí lo que más me castigaron en el colegio, en el castillo siempre,
[0:40:24.00]-[0:40:27.00]  a copiar lo que no me sabía, lo que no me sabía, copiarlo,
[0:40:27.00]-[0:40:31.00]  venga, ahí, no de rodilla, ni nada de esas cosas,
[0:40:31.00]-[0:40:33.00]  como le ponían a alguno, le ponían de rodilla en el rincón,
[0:40:33.00]-[0:40:36.00]  o sea, a mí, ¿esto no te ha salido bien? Venga, copiarlo tantas veces,
[0:40:36.00]-[0:40:40.00]  y cuántas veces, pero luego ya a mí pegarme, desde luego, no,
[0:40:40.00]-[0:40:42.00]  a mí no me han dado malos tratos en la escuela,
[0:40:42.00]-[0:40:45.00]  y bueno, yo tampoco que me acuerde malos malos tratos,
[0:40:45.00]-[0:40:48.00]  pero sí una parmarita en la mano y un castigo así,
[0:40:48.00]-[0:40:51.00]  de ponerle de rodilla, eso sí,
[0:40:51.00]-[0:40:53.00]  las que eran un poquito más traviesas, así que,
[0:40:53.00]-[0:40:57.00]  se estaban quietas, pero de otras cosas más,
[0:40:57.00]-[0:40:59.00]  eso no me acuerdo, yo no sé si mis hermanos,
[0:40:59.00]-[0:41:02.00]  que eran mayores que yo, y además los varones siempre
[0:41:02.00]-[0:41:05.00]  parecen que eran más traviesos, no, no sé, no sé,
[0:41:05.00]-[0:41:07.00]  no sé si ellos le hicieron otros castigos, pero de luego,
[0:41:07.00]-[0:41:10.00]  no me acuerdo, por lo menos no, así que.
[0:41:10.00]-[0:41:12.00]  ¿Y los padres también castigaban a los...
[0:41:12.00]-[0:41:14.00]  Ay, los padres, los padres, que vienen a tu dicción
[0:41:14.00]-[0:41:15.00]  y le digan que la maestra te había castigado,
[0:41:15.00]-[0:41:17.00]  que encima te castigaba luego cuando llegabas aquí,
[0:41:17.00]-[0:41:20.00]  pues no, madre mía,
[0:41:20.00]-[0:41:22.00]  pues si te has castigado porque no te has portado bien,
[0:41:22.00]-[0:41:23.00]  ¿qué es lo que has hecho?
[0:41:23.00]-[0:41:25.00]  A ver, porque me dijo que hiciera esto, hiciera lo otro,
[0:41:25.00]-[0:41:27.00]  a mi hermana, la chica, bueno, mi hermana la chica,
[0:41:27.00]-[0:41:30.00]  la que tengo de hembra, pero es la más chica de todos,
[0:41:30.00]-[0:41:33.00]  pues esa, en el colegio, la moja,
[0:41:33.00]-[0:41:35.00]  todos los días daba carbón, porque ella no quería,
[0:41:35.00]-[0:41:38.00]  ella no quería irse conmigo a la clase de arriba,
[0:41:38.00]-[0:41:41.00]  pues era mayor, y cuando la hermana se descuidaba,
[0:41:41.00]-[0:41:43.00]  pues escapaba y se iba a las escaleras arriba en busca de...
[0:41:43.00]-[0:41:45.00]  cuando achaba de menos iba por ella,
[0:41:45.00]-[0:41:48.00]  y venía todo el tiempo dándole carbón,
[0:41:48.00]-[0:41:50.00]  pero eso es lo que hay de escorarnos,
[0:41:50.00]-[0:41:51.00]  también desde luego no me llegaron a pegar.
[0:41:51.00]-[0:41:53.00]  Pero vosotros los padres te cagaban aquí.
[0:41:53.00]-[0:41:55.00]  Pero luego cuando venía, te digo, mamá,
[0:41:55.00]-[0:41:57.00]  me has pegado porque la hermana...
[0:41:57.00]-[0:41:59.00]  la hermana me ha pegado a mí hoy,
[0:41:59.00]-[0:42:01.00]  y por qué te has pegado, porque me fui con la tata,
[0:42:01.00]-[0:42:05.00]  y por qué te fui, que tú no sabes que tú tienes que estar en esa clase,
[0:42:05.00]-[0:42:09.00]  pues a ver si me entero yo que mañana te tienes que pegar a la hermana otra vez,
[0:42:09.00]-[0:42:12.00]  pero como que otra vez, que se descuidaba la hermana arriba,
[0:42:12.00]-[0:42:15.00]  y cositas de esas, así va todo,
[0:42:15.00]-[0:42:17.00]  así que, pero ahora no,
[0:42:17.00]-[0:42:20.00]  ahora que venga diciendo al niño que la reña el maestro ha castigado,
[0:42:20.00]-[0:42:22.00]  que encima vayan a decirle a el maestro las cosas,
[0:42:22.00]-[0:42:24.00]  como lo veo todo en la tele, vamos, por Dios, por Dios,
[0:42:24.00]-[0:42:27.00]  eso no, eso no, hombre, tampoco hay que abusar,
[0:42:27.00]-[0:42:30.00]  ni a lo mejor maltratar a un niño porque no se porte bien,
[0:42:30.00]-[0:42:32.00]  pero se llama a los padres y se les dice,
[0:42:32.00]-[0:42:35.00]  pues este niño no se porta bien,
[0:42:35.00]-[0:42:37.00]  mire, hace estas cosas, hace lo otro,
[0:42:37.00]-[0:42:40.00]  y quiero que lo sepáis que yo así no lo puedo tener aquí en clase,
[0:42:40.00]-[0:42:43.00]  o no, en fin, un algo, y no tampoco pegarle, no, por supuesto,
[0:42:43.00]-[0:42:46.00]  pero que hoy, ahora mejor un niño viene diciendole a los padres,
[0:42:46.00]-[0:42:48.00]  me han castigado en el colegio,
[0:42:48.00]-[0:42:51.00]  y encima a lo mejor van a ir poniendo un verde al profesor, no,
[0:42:51.00]-[0:42:54.00]  y eso no es, eso no es educación para ese niño, vamos,
[0:42:54.00]-[0:42:57.00]  por lo menos yo no nos hemos educado nosotros en eso, sí,
[0:42:57.00]-[0:43:00.00]  aquí en mi casa ha habido mucho respeto siempre, mucho, mucho.
[0:43:00.00]-[0:43:02.00]  Sí, eso es distinto también, ¿no?
[0:43:02.00]-[0:43:06.00]  Sí, sí, un respeto enorme, sí, sí, sí, en mi casa sí.
[0:43:06.00]-[0:43:09.00]  Y que uno se le prohibía hacer muchas cosas, o...
[0:43:09.00]-[0:43:12.00]  Sí, sí, sí, sí, sí, yo no me pude pintar los labios nunca,
[0:43:12.00]-[0:43:14.00]  nunca, nunca, nunca hasta que no me casé.
[0:43:14.00]-[0:43:16.00]  Mi padre, mi padre mismo los había pintado,
[0:43:16.00]-[0:43:18.00]  a mí desde luego no me gustaron mucho las pinturas,
[0:43:18.00]-[0:43:20.00]  pero bueno, me gustaban a lo mejor, como una cría, claro,
[0:43:20.00]-[0:43:22.00]  cuando te darás más mocita, ¿no?
[0:43:22.00]-[0:43:25.00]  Yo veía a mis amigas que se pintaban las uñas y las dejaban,
[0:43:25.00]-[0:43:30.00]  pero a mi padre no, a mí no, uy ni a mi madre jamás, no.
[0:43:30.00]-[0:43:33.00]  Pero bueno, porque nosotros, como yo digo, si hoy mismo le riñes,
[0:43:33.00]-[0:43:35.00]  ¿y qué? Se dan media vuelta y hacen lo que quieren, ¿no?
[0:43:35.00]-[0:43:38.00]  Pero es que no sé si era la época o era, no sé, no sé,
[0:43:38.00]-[0:43:41.00]  porque a mi padre a nosotros nunca jamás nos pegó,
[0:43:41.00]-[0:43:43.00]  a nosotras las niñas y a nosotros ya a mi hermano le pegaría,
[0:43:43.00]-[0:43:46.00]  yo me acuerdo, porque yo soy mayor que yo bastante,
[0:43:46.00]-[0:43:48.00]  pero a nosotras nunca, nunca nos pegó,
[0:43:48.00]-[0:43:52.00]  a mi madre sí, mi madre era más pegona, a mi madre,
[0:43:52.00]-[0:43:55.00]  que no nos diéramos caso, nos daba el boquetón,
[0:43:55.00]-[0:43:59.00]  pero a mi padre no, nunca, pero luego teníamos ese respeto,
[0:43:59.00]-[0:44:02.00]  ese respeto, bueno.
[0:44:02.00]-[0:44:05.00]  Estábamos acostumbrados en el oficio siempre que ni vamos a ir a la cama,
[0:44:05.00]-[0:44:07.00]  pero necesitábamos a la mamá y al papá,
[0:44:07.00]-[0:44:09.00]  y cuando ya éramos más mocitas, que empezaron las niñas,
[0:44:09.00]-[0:44:11.00]  a lo mejor mis amigas, fumabas un cigarrito,
[0:44:11.00]-[0:44:13.00]  porque estábamos aquí en el pueblo, no te creas que,
[0:44:13.00]-[0:44:17.00]  porque estábamos en el pueblo, en el pueblo también había una amiguita de algo,
[0:44:17.00]-[0:44:20.00]  yo digo madre mía, si yo le doy un beso a mi padre y yo huelo,
[0:44:20.00]-[0:44:22.00]  ah, estaba como ¡uh! ¡uh!
[0:44:22.00]-[0:44:25.00]  Jamás, no lo he probado nunca, mire, jamás,
[0:44:25.00]-[0:44:27.00]  os puedo enseñar toda la cantidad de pitillos que tengo,
[0:44:27.00]-[0:44:29.00]  de cuando hemos ido a las botes, cuando jamás,
[0:44:29.00]-[0:44:31.00]  me lo han oído nunca por probarlo, el miedo de mi padre,
[0:44:31.00]-[0:44:33.00]  yo ¡uh, por Dios! le doy un beso a mi padre,
[0:44:33.00]-[0:44:36.00]  cuando lo hago, ya la cambio y huelo, ¡uh, por Dios!
[0:44:36.00]-[0:44:39.00]  Así, así, así, a mí.
[0:44:39.00]-[0:44:42.00]  ¿Y ya cuando eran más, así, más jovencitas, ya no tan niñas,
[0:44:42.00]-[0:44:45.00]  qué hacían? ¿Iban a, no sé, había fiestas aquí en el pueblo?
[0:44:45.00]-[0:44:48.00]  Aquí en el pueblo y la siga habiendo, la, el día de la patrona,
[0:44:48.00]-[0:44:51.00]  de la Virgen del Valle, que es el día,
[0:44:51.00]-[0:44:55.00]  12 de septiembre, y luego el día de San Isidro, que es el 15 de mayo,
[0:44:55.00]-[0:44:59.00]  se hace abajo en la ermita de la Virgen, se hace una romería allí,
[0:44:59.00]-[0:45:02.00]  antes era como romería, debajo de las encinas y eso,
[0:45:02.00]-[0:45:05.00]  llevábamos tortillas, llevábamos cosas así, ¿no?
[0:45:05.00]-[0:45:07.00]  y comíamos allí, echábamos el día,
[0:45:07.00]-[0:45:10.00]  pero ahora no, ahora ponen casetas y todo, como si fuera una feria,
[0:45:10.00]-[0:45:13.00]  ponen casetas, están muy bonitos y traen orquesta,
[0:45:13.00]-[0:45:19.00]  traen de todo y están los cacharritos estos de los niños,
[0:45:19.00]-[0:45:22.00]  de, ¿dónde se montan? ¿Cómo se llama eso?
[0:45:22.00]-[0:45:23.00]  Las atracciones.
[0:45:23.00]-[0:45:27.00]  Las atracciones, eso, ponen ahí atracciones, ponen cosas y todo así,
[0:45:27.00]-[0:45:31.00]  y luego, pues son casetas, digamos, y cada caseta se reúne,
[0:45:31.00]-[0:45:35.00]  no sé, amigos, familias, ¿no?, de cada caseta, ¿no?
[0:45:35.00]-[0:45:38.00]  y el sorteo lo hacen el día 30, a la hora del día 30 de abril,
[0:45:38.00]-[0:45:41.00]  hacen el sorteo de las casetas, porque eso está numerado,
[0:45:41.00]-[0:45:43.00]  donde tienen que ir cada una, ¿no?
[0:45:43.00]-[0:45:48.00]  Y ya sabe luego, cada familia sabe que donde le corresponde su caseta,
[0:45:48.00]-[0:45:51.00]  las ponen antes de San Isidro y ya luego tienen la fiesta
[0:45:51.00]-[0:45:53.00]  y duran unos cuantos de día,
[0:45:53.00]-[0:45:58.00]  pues casi siempre cinco días, les ponen, casi siempre, en San Isidro,
[0:45:58.00]-[0:45:59.00]  muy bonito y viene mucha gente,
[0:45:59.00]-[0:46:01.00]  si lo que pasa es que ya por la edad,
[0:46:01.00]-[0:46:03.00]  eso se empezó hace ya unos pocos años,
[0:46:03.00]-[0:46:05.00]  bueno unos pocos, menos de 16 años ahora ya,
[0:46:05.00]-[0:46:07.00]  se empezó eso así,
[0:46:07.00]-[0:46:10.00]  y claro, entonces todos los pueblos de por aquí no eran así,
[0:46:10.00]-[0:46:13.00]  o venía muchísima gente, pero es que la verdad la mayoría de los pueblos
[0:46:13.00]-[0:46:15.00]  lo están haciendo así también,
[0:46:15.00]-[0:46:17.00]  y ya claro, la gente se reparte más, ¿no?
[0:46:17.00]-[0:46:19.00]  pero vamos que con todo, bueno,
[0:46:19.00]-[0:46:23.00]  pusieron la luz allá abajo en la ermita que no había luz eléctrica,
[0:46:23.00]-[0:46:26.00]  y la pusieron para que las casetas tengan su frigorífico,
[0:46:26.00]-[0:46:30.00]  sus cosas allí que tienen para las comidas, para todo, muy bien.
[0:46:30.00]-[0:46:32.00]  ¿Y la otra fiesta, la de la patrona, qué es?
[0:46:32.00]-[0:46:34.00]  La de la patrona la hacemos aquí en el pueblo,
[0:46:34.00]-[0:46:37.00]  la traen a la Virgen, la traemos de allí de la ermita,
[0:46:37.00]-[0:46:40.00]  le hacemos las novenas, las traemos el 15 de agosto,
[0:46:40.00]-[0:46:44.00]  y luego hasta el 12 de septiembre que es su día, ¿no?,
[0:46:44.00]-[0:46:47.00]  el día de la Virgen, la función digamos,
[0:46:47.00]-[0:46:51.00]  la procesión, la misa, todo,
[0:46:51.00]-[0:46:54.00]  y una caseta que ponen ahí en la Plaza de España,
[0:46:54.00]-[0:46:56.00]  tenemos una caseta grande para el baile,
[0:46:56.00]-[0:47:00.00]  y eso es el día de la velada, 11, 12, 13 y 14,
