[0:00:00.00]-[0:00:03.00]  ¿Nos quiere hablar un poco de la matanza? ¿Usted ha hecho matanza?
[0:46:38.80]-[0:46:47.80]  Claro, porque mientras estaban con los padres, pues guardarían algún dinerillo para ir.
[0:46:47.80]-[0:46:59.80]  ¿Y qué diferencias de educación había entonces respecto a ahora? ¿Qué nota usted? Por ejemplo, había que respetar más prohibiciones que respetan ahora los chicos.
[0:46:59.80]-[0:47:05.80]  ¿Tenía uno más obligaciones antes con los padres que ahora tienen los chicos jóvenes?
[0:47:05.80]-[0:47:15.80]  Pues no lo sé. Yo me parece ahora que los jóvenes tienen mucha libertad, demasiado. Me parece a mí, vamos, que tienen eso.
[0:47:15.80]-[0:47:25.80]  Y resulta es que si un padre no puede educar a un hijo, tiene que ser el profesor el que tiene que educarle, para eso le pagan. Es natural.
[0:47:25.80]-[0:47:33.80]  Pero también hay que respetar a ese profesor. Que también hay veces que los jóvenes también se pasan un poco, ¿eh?
[0:47:33.80]-[0:47:34.80]  Sí.
[0:47:34.80]-[0:47:48.80]  Porque son jóvenes ustedes, ¿eh? Y hay muchas veces. Porque una cosa es que si se hable de un profesor, así, ¡ay, este me hace esto y no me gusta! No es un tal, es un cual.
[0:47:48.80]-[0:47:54.80]  Otra cosa es que a lo mejor hay muchos frescos que hasta la cara se los dicen. Eso hay que tener un poco de respeto.
[0:47:54.80]-[0:47:57.80]  ¿Qué pasa? ¿Que tiene que conocer algún profesor que le manzara el gusto a los niños?
[0:47:57.80]-[0:48:06.80]  No, no, no, no, no, no, no, no, no, yo no conozco ninguno porque aquí no… cuando yo… cuando yo iba, esa sí puede decirla, pero de sus clases.
[0:48:06.80]-[0:48:21.80]  Pero aquí entonces era un maestro, que ahí se iba la cosa general. Y el que podía, yo fui a la escuela y gracias que caí con un maestro un poco que tal y sé poner el nombre mío.
[0:48:21.80]-[0:48:31.80]  Pero entonces muchas personas no íbamos a la clase porque íbamos a ganar para comer. No nos mandaban a la escuela porque yo tengo una hermana que no sabe escribir.
[0:48:31.80]-[0:48:37.80]  A su edad se me achó a servir, pues ya no pudo porque entonces había muchas necesidades las casas.
[0:48:37.80]-[0:48:50.80]  Otro hermano que no se… yo ya digo que sé porque bajó un poco la mano, pero de ocho años que empecé a cuidar patos, que caí muchas lágrimas porque se me perdían los patos y me metí a buscarles.
[0:48:50.80]-[0:49:00.80]  Después iba a la escuela y gracias que bajó un poco la mano, ya digo, y sé poner mi nombre y escribo una carta, pero no sé si es con B o es con U.
[0:49:00.80]-[0:49:10.80]  Al menos con B, con B, con B, con B. ¿Qué le parece? Me risa, ¿verdad?
[0:49:10.80]-[0:49:17.80]  ¿Alguna vez el maestro la pilló diciendo… y le hizo pasar alguna cosa?
[0:49:17.80]-[0:49:30.80]  No, yo no, pero aquí cuando voy con el paseo con esas pues les hicieron muchas cosas, le leban motes, como decíamos antes, le leban cosas. Yo no lo sé.
[0:49:30.80]-[0:49:38.80]  ¿Y entonces qué recuerda que le mandaran sus padres que hicieran, por ejemplo, qué obligación este niño tiene?
[0:49:38.80]-[0:49:48.80]  ¿Por qué quiere que la diapisiesca? Entonces, cuando era la época de los mis hijos, que tenía una hija y un hijo, a los 12 años ya no se iba a la escuela.
[0:49:48.80]-[0:50:01.80]  Estuvo viviendo a la escuela hasta los 12 y después fue pagando, no sé si fue dos años, que entonces eran 30 pesetas lo que se pagaba,
[0:50:01.80]-[0:50:11.80]  y después mi chico ya, yo creo que ya ese era más a los 14, me parece, también tuvo que ir pagando de otros dos años.
[0:50:11.80]-[0:50:16.80]  Y ya dije, yo digo que no iba porque no lo teníamos para pagarlo, porque era así.
[0:50:16.80]-[0:50:27.80]  Y fue cuando la misma maestra vino y dice mándele, por favor, porque lo que pagan tanto no es y para que saque eso de los estudios primarios o eso.
[0:50:27.80]-[0:50:32.80]  Y que pues ahí digo que entonces la vida estaba muy diferente que está ahora.
[0:50:32.80]-[0:50:45.80]  ¿Y ahora todo el mundo…? No es que costaba, es que no había tampoco esa cosa de los estudios, porque aquel que estudiaba era, qué sé yo, los ricos ricos.
[0:50:45.80]-[0:50:54.80]  Como por ejemplo aquel que no iba a la mil y que compraban uno de cota para que fuera a la mil y por aquel, pues eso era aquel que podía.
[0:50:54.80]-[0:51:03.80]  Y tenía mucho entonces, entonces se le tenía mucho y a lo mejor pues hoy no es nada aquello, no sabe lo que le quiero decir,
[0:51:03.80]-[0:51:11.80]  pues hoy digo que todo eso. Entonces trabajaba mucho y había poco que comer, no más que eso.
[0:51:11.80]-[0:51:13.80]  Y ya con comer era bastante.
[0:51:13.80]-[0:51:26.80]  Yo tengo una pensión, no es que sea muchazo, pero bueno, como la casa no me cuesta nada el dinero, pues puedo, pero sin una persona,
[0:51:26.80]-[0:51:31.80]  porque yo tengo una hermana que está en Valladolid y cobra lo mismo que yo.
[0:51:31.80]-[0:51:33.80]  ¿Y no le llega el dinero?
[0:51:33.80]-[0:51:45.80]  Sí la llega porque son casas de esas que no tenía que pagar tanto y paga 15.000 o 16.000, paga la luz, paga el agua, paga eso,
[0:51:45.80]-[0:51:50.80]  a ver si con 10.000 pesetas o 15.000 que la queda después de comer.
[0:51:50.80]-[0:51:59.80]  Lo que es que como ha estado sirviendo, pues la maa la quiere y siempre la está dando y le dan algo para comer, pero si no, no podía ser.
[0:51:59.80]-[0:52:03.80]  Aquí no todo, pues muy bien, no sabe lo que le quiero decir.
[0:52:03.80]-[0:52:05.80]  Sí, que aquí no cuesta tanto la vida.
[0:52:05.80]-[0:52:12.80]  Claro, y yo digo que la casa no la tengo que pagar y si aquí se paga casa, pues tampoco se pagan esos disparates.
[0:52:12.80]-[0:52:24.80]  ¿Y antes los curas les decían que hicieran algo, es decir, había una presión por la iglesia o de los padres, prohibían más cosas que ahora?
[0:52:24.80]-[0:52:33.80]  Bueno, yo me parece a mí que antes con los curas había un poco más respeto también que lo hay ahora, y si no que se lo diga a la moza esa ahora.
[0:52:33.80]-[0:52:45.80]  A ver si tienen, yo antes veía un sacerdote y era respetado y hoy pues no sé si es que no se lo harán a respetar o es que lo tomamos por peteneras.
[0:52:45.80]-[0:52:47.80]  ¿Y qué toman por peteneras?
[0:52:47.80]-[0:52:51.80]  Vamos, no sé, como que no es un sacerdote.
[0:52:51.80]-[0:52:56.80]  ¿Y antes qué pasa ahí? ¿Les decían tienen que hacer esto, tienen que hacer lo otro?
[0:52:56.80]-[0:53:11.80]  Bueno, antes pues veníamos, me acuerdo yo que veníamos de la escuela y venía, entraba el señor cura en la iglesia, en la escuela y era como un dios y le veía por la calle y todos íbamos escapados a eso y vamos yo, no sé.
[0:53:11.80]-[0:53:12.80]  ¿Iban escapados a qué?
[0:53:12.80]-[0:53:17.80]  A besarle la mano, entonces en los pueblos se iba a besar la mano al sacerdote.
[0:53:17.80]-[0:53:19.80]  ¿Y se le hacían regalos?
[0:53:19.80]-[0:53:26.80]  No, eso es como todas las cosas, aquella persona que hoy quiere regalar, pues regala y aquella que no, pues no.
[0:53:26.80]-[0:53:31.80]  Porque usted mismo tiene que hoy va a los médicos y hay quien regala, ¿no?
[0:53:31.80]-[0:53:36.80]  Y hay quien no puede regalar, no lo regala o no quiere.
[0:53:36.80]-[0:53:37.80]  Sí, sí.
[0:53:37.80]-[0:53:42.80]  Porque dice bueno, pues sí es un derecho el que tiene de servirme, ¿no?
[0:53:42.80]-[0:53:48.80]  ¿Y para ser pastor antes que aquí qué había que hacer? ¿A quién se metía pastor? ¿Por qué se metían a pastor? ¿Por qué?
[0:53:48.80]-[0:53:53.80]  Bueno, pues a pastor se mete por ejemplo una persona, mire aquí vienen ahora estas que la tienen,
[0:53:53.80]-[0:54:02.80]  pastor pues uno se mete a pastor como por ejemplo un obrero que va a otra cosa, a la labranza o un oficio que necesita dinero y se metió pastor.
[0:54:02.80]-[0:54:07.80]  ¿Y eso es lo único que había que meterse porque no tenés más remedio?
[0:54:07.80]-[0:54:11.80]  Porque no había otra cosa y a lo mejor eso, todo así.
[0:54:11.80]-[0:54:13.80]  ¿Y se conservaba el pan?
[0:54:13.80]-[0:54:18.80]  No, no se conservaba el pan, no, pues sí, estaba rico, pero como no comíamos otra cosa, ya estábamos acostumbrados a ello.
[0:54:18.80]-[0:54:21.80]  Por ejemplo, ¿antes los niños se tenían en casa?
[0:54:21.80]-[0:54:22.80]  Sí.
[0:54:22.80]-[0:54:27.80]  ¿Usted tuvo a sus hijos en casa y no vino nadie a ayudar?
[0:54:27.80]-[0:54:33.80]  Entonces había médico aquí y practicante que venía a atenderla.
[0:54:33.80]-[0:54:37.80]  ¿Y no había una señora o una vecina o algo?
[0:54:37.80]-[0:54:43.80]  Sí, la vecina, yo asistía a dos o tres, en sí médico.
[0:54:43.80]-[0:54:45.80]  Claro.
[0:54:45.80]-[0:54:47.80]  ¿Esta era partera?
[0:54:47.80]-[0:54:54.80]  No, no, no, eso me llamaba, no quería el médico y yo pues hacía lo que podía.
[0:54:54.80]-[0:55:03.80]  ¿Y qué le iba a decir? ¿Se le pagaba algo en concreto? ¿Había una cantidad para cada... o era por amistad?
[0:55:03.80]-[0:55:07.80]  No, no, no, era por amistad, eran vecinas, amigas o lo que fuera, nada más.
[0:55:07.80]-[0:55:11.80]  Nada más, no había una cantidad estipulada para pagar.
[0:55:11.80]-[0:55:15.80]  No, no, no, eso si en pueblos que tienen partera o eso, pues a lo mejor sí.
[0:55:15.80]-[0:55:21.80]  En vez de ser practicante, eso es partera, pues cobrarán, yo no lo sé, pero aquí no.
[0:55:21.80]-[0:55:26.80]  Aquí no era... ¿Y luego los niños cómo se criaban?
[0:55:26.80]-[0:55:34.80]  Bueno, pues a la teta, a la teta o a lo que se les diera de casa, las papillas de pan y todas esas cosas,
[0:55:34.80]-[0:55:39.80]  les echaban una yema para que se hicieran más pronto, ya uno les perjudicaba.
[0:55:39.80]-[0:55:45.80]  ¿Y diles cómo se les daba para que se... Dile cómo se daba, cómo daban las sopicas a los niños.
[0:55:45.80]-[0:55:47.80]  ¿Ah, cómo se daban?
[0:55:47.80]-[0:55:50.80]  Estaban quemando, la cuchara.
[0:55:50.80]-[0:55:57.80]  Claro, con cuchara, pues había una papilla que se hacía de sopa de pan, claro.
[0:55:57.80]-[0:56:05.80]  Y la costumbre que se tenía, que se metía la madre primero las cosas en la boca y después le sacaban y le daban al crío.
[0:56:05.80]-[0:56:06.80]  Sí, antes a la madre.
[0:56:06.80]-[0:56:08.80]  Así que toda la sustancia iba para la madre.
[0:56:08.80]-[0:56:11.80]  Toda la sustencia a la madre, la saliva a la madre para el crío.
[0:56:11.80]-[0:56:15.80]  Oye, es verdad. Oye, cuando me acuerdo...
[0:56:15.80]-[0:56:21.80]  Escucha, cuando está... ¿Cómo se llama? Cuando...
[0:56:21.80]-[0:56:26.80] ...ese inválido, pues oye, ya la dolían a ella...
[0:56:26.80]-[0:56:33.80]  Bueno, pero de todas maneras se hacía eso, se hacía eso, lo acusarás.
[0:56:33.80]-[0:56:36.80] ...lo veía ahora ahí, estructurado, ahora sí todo eso, no había nada de eso.
[0:56:36.80]-[0:56:40.80]  Y ese niño era mayor, estaba inválido y entonces...
[0:56:40.80]-[0:56:48.80]  Ya, ya, pero es un caso especial. Y de recuperar a usted ahora la juventud, ¿qué haría?
[0:56:48.80]-[0:56:56.80]  No sé si querría, aunque es muy bueno volver a la juventud, a la niñez.
[0:56:56.80]-[0:56:58.80]  Sí, pero ¿qué desearía?
[0:56:58.80]-[0:57:04.80]  Pero se pasó muy mal, no es como ahora, que ahora vienen los críos y las chicas y ya vienen de otra manera.
[0:57:04.80]-[0:57:10.80]  Ya vienen mejor alimentadas desde un principio y todo.
[0:57:10.80]-[0:57:13.80]  Y entonces, pues si la madre no lo tenía, ¿cómo va a tener el hijo?
[0:57:13.80]-[0:57:22.80]  Claro, entonces usted no querría volver a ser joven, pero si pudiera, ¿cómo le gustaría que hubiera pasado todo?
[0:57:22.80]-[0:57:27.80]  ¿Cómo no voy a poder? De esas cosas ya no recuerdo, ni quiero recordar.
[0:57:27.80]-[0:57:31.80]  ¿Por qué no voy a volver? ¿No?
[0:57:31.80]-[0:57:35.80]  ¿Y si tuviera dinero ahora, cambiaría en algo su vida?
[0:57:35.80]-[0:57:40.80]  Pues si tuviera dinero a mi edad, no creo yo que ya le cambiara.
[0:57:40.80]-[0:57:42.80]  No creo.
[0:57:42.80]-[0:57:46.80]  ¿El qué no cambiaría? ¿Qué no cree que ya le cambiara el qué?
[0:57:46.80]-[0:57:53.80]  Que no creo que ya en mi vida cambiara. Aunque tuviera dinero, no creo yo que en mi vida cambiara ya.
[0:57:53.80]-[0:57:57.80]  Con las partidas que echamos a la brisca, mejor no vas a querer tú cambiar.
[0:57:57.80]-[0:57:59.80]  ¿Que no se puede decir?
[0:57:59.80]-[0:58:06.80]  No, te digo que con las partidas que echamos a la brisca, cuando lo pasamos, ¿cómo vamos a tener el campo?
[0:58:06.80]-[0:58:14.80]  ¿Y qué es lo que le produjo más felicidad en su... qué le hubiera producido felicidad de joven?
[0:58:14.80]-[0:58:17.80]  ¿Y qué es lo que se le produjo más felicidad en su...
[0:58:17.80]-[0:58:23.80]  ¿Por qué me tiren?
[0:58:23.80]-[0:58:31.80]  O sea, que lo que le... pero eso se lo produjo, pero ¿qué es lo que hubiera deseado que...
[0:58:31.80]-[0:58:37.80]  cuando era joven, que es lo que le hubiera producido felicidad que no se lo produjo?
[0:58:37.80]-[0:58:41.80]  Sí, sí, cómo no. Tuve dos hijos, pues fue una felicidad grande.
[0:58:41.80]-[0:58:51.80]  Pero después tuve que me murió un marido luego, a mis 42 años. Así que ya la felicidad ya se pasó.
[0:58:51.80]-[0:58:55.80]  ¿Y qué quiere que le diga más?
[0:58:55.80]-[0:58:59.80]  ¿Y qué temían? En aquella época había más temores que ahora.
[0:58:59.80]-[0:59:01.80]  Yo creo que sí.
[0:59:01.80]-[0:59:07.80]  ¿Y a qué se tenía temor? ¿A qué se... qué es lo que...
[0:59:07.80]-[0:59:13.80]  Temor es como decir, como respeto, ¿no? A las cosas, ¿no?
[0:59:13.80]-[0:59:22.80]  No, miedos. Miedos. Sí, no, respeto no solo, sino miedos a algunas cosas.
[0:59:22.80]-[0:59:26.80]  ¿Qué quiere que haya cambiado? Que entonces se tenía miedo y ahora ya no.
[0:59:26.80]-[0:59:34.80]  Yo no tengo, no he tenido miedo. Como no he tenido miedo a nada, pues estoy sola y no tengo miedo.
[0:59:34.80]-[0:59:38.80]  Sí, que no tiene problema.
[0:59:38.80]-[0:59:45.80]  Sí, sí, pues no sé qué más. ¿Cuántos sentidos tiene que dice que no tiene?
[0:59:45.80]-[0:59:47.80]  La sordera.
[0:59:47.80]-[0:59:49.80]  Ese no lo tiene.
[0:59:49.80]-[0:59:52.80]  Los ojos. Que veo poco.
[0:59:52.80]-[0:59:54.80]  A ver, otra.
[0:59:54.80]-[0:59:55.80]  Y yo sé ya.
[0:59:55.80]-[0:59:57.80]  El olfato.
[0:59:57.80]-[1:00:00.80]  El olfato, también me falta.
[1:00:00.80]-[1:00:02.80]  ¿Tan muchos niños en el pueblo?
[1:00:02.80]-[1:00:04.80]  Pocos, no, pocos.
[1:00:04.80]-[1:00:07.80]  Niños ahora, como aquí no hay jóvenes, nacen o nacen.
[1:00:07.80]-[1:00:08.80]  No hay orgas.
[1:00:08.80]-[1:00:09.80]  ¿Y cómo vais?
[1:00:09.80]-[1:00:17.80]  En la autocarmen transporta por nosotros, nos lleva, comemos allí, que nos sale gratuito porque somos de otro pueblo.
[1:00:17.80]-[1:00:22.80]  Y después nos vuelven a traer otra vez a las cinco, nos vamos a las nueve y media y a las cinco venimos.
[1:00:22.80]-[1:00:29.80]  Y ahí hay unos profesores, de ahí mismo, de otros, de Valencia, de Valladolid, y entonces nos van a traer.
[1:00:29.80]-[1:00:32.80]  ¿Y ahí?
