[0:00:00.00]-[0:00:01.00]  Mira.
[0:41:37.00]-[0:41:40.00]  Me han preguntado cuánto está el precio de jamón y yo he dicho que no lo sé.
[0:41:41.00]-[0:41:42.00]  Como tú me dijiste que voy a comprar uno.
[0:41:43.00]-[0:41:44.00]  Yo sí.
[0:41:45.00]-[0:41:46.00]  Pues me puedes decir para que yo sepa.
[0:41:47.00]-[0:41:48.00]  A 11 euros, ¿qué pico?
[0:41:49.00]-[0:41:50.00]  El kilo.
[0:41:51.00]-[0:41:52.00]  ¿De los debo?
[0:41:53.00]-[0:41:54.00]  No, de pantalegra.
[0:41:54.00]-[0:41:55.00]  ¿De pantalegra?
[0:41:56.00]-[0:41:57.00]  De recebo.
[0:41:58.00]-[0:42:02.00]  Aquí lo compran los guarros blancos, que son los de recebo.
[0:42:03.00]-[0:42:05.00]  Y los que son de vedota, pues son aparte.
[0:42:06.00]-[0:42:07.00]  Pero ya la verdeta no sé.
[0:42:08.00]-[0:42:09.00]  Luego la mucasa está igual.
[0:42:10.00]-[0:42:11.00]  Ya, entonces me dices a los que manda.
[0:42:12.00]-[0:42:13.00]  Yo he comido el de...
[0:42:14.00]-[0:42:15.00]  ¿Este para comunidades de viento?
[0:42:16.00]-[0:42:19.00]  Yo he comido el de pantalegra y el otro...
[0:42:20.00]-[0:42:21.00]  Eso no, no toda la verdeta.
[0:42:21.00]-[0:42:23.00]  Ya, pues que...
[0:42:24.00]-[0:42:27.00]  Sí, de pantalegra, pero que no varía nada.
[0:42:28.00]-[0:42:30.00]  Me dieron la copla, de pantalegra, de pantalegra.
[0:42:31.00]-[0:42:32.00]  Ay, querida.
[0:42:33.00]-[0:42:34.00]  Yo no sé de cómo está.
[0:42:35.00]-[0:42:36.00]  Pero a 11 y pico me ha costado.
[0:42:39.00]-[0:42:40.00]  Oye, oye.
[0:42:41.00]-[0:42:42.00]  ¿Qué está de a...
[0:42:43.00]-[0:42:44.00]  No.
[0:42:45.00]-[0:42:46.00]  ¿Por qué?
[0:42:47.00]-[0:42:48.00]  Ya me he dado a comprar uno.
[0:42:48.00]-[0:42:50.00]  Para el camino que trae en el segundo, para el camino, para...
[0:42:51.00]-[0:42:52.00]  Para ver en la...
[0:42:53.00]-[0:42:54.00]  Por saber, sí.
[0:42:55.00]-[0:42:56.00]  Por saber.
[0:42:57.00]-[0:42:58.00]  Curiosidad.
[0:42:59.00]-[0:43:00.00]  Ay, ay, ay.
[0:43:01.00]-[0:43:02.00]  Preguntándome cosas, yo no sé.
[0:43:03.00]-[0:43:04.00]  Lo más le voy a decir.
[0:43:05.00]-[0:43:07.00]  Dice que la vida de antes, pues la vida de antes era coger un burro y desde el campo llegaba.
[0:43:08.00]-[0:43:09.00]  Arrancamos un taqueto cerro.
[0:43:10.00]-[0:43:11.00]  La vida de antes casi ha sido mejor que hoy.
[0:43:12.00]-[0:43:13.00]  Era mejor.
[0:43:14.00]-[0:43:15.00]  Era mejor.
[0:43:15.00]-[0:43:17.00]  Y ahora, que hay que ir a la cocina, que hay que ir a la cocina, que hay que ir a la cocina.
[0:43:18.00]-[0:43:21.00]  Y la vida de antes, que ya no he querido, que ya he pasado hambre, que no he pasado hambre, está mucho mejor que ahora.
[0:43:22.00]-[0:43:23.00]  Y no hemos querido nada.
[0:43:24.00]-[0:43:25.00]  Ahora más sufrimiento.
[0:43:26.00]-[0:43:27.00]  Lo que va a ir a la cocina, los niños y los padres.
[0:43:28.00]-[0:43:29.00]  Y los chicos y los grandes.
[0:43:30.00]-[0:43:32.00]  Hay más maledades, hay más cosas hoy que antes.
[0:43:33.00]-[0:43:36.00]  Porque antes nos hemos criado, nos hemos creado esa maldades con los padres y no nos lo hemos contestado nada.
[0:43:37.00]-[0:43:40.00]  Y ahora tenemos esto lo que nos ha dicho los padres, no lo que los niños dicen.
[0:43:42.00]-[0:43:43.00]  Pídate tú cómo sería la cosa que ya ponen.
[0:43:43.00]-[0:43:45.00]  Hablando de mi cuñame, como me recordas.
[0:43:45.00]-[0:43:51.00]  Hoy con los reyes ponen los niños, mamá, que yo quiero una bici, que yo quiero esto.
[0:43:51.00]-[0:43:57.00]  Las chiquitas ahora, que tienen un vesto de... de escriticólicas, un ordenador, un... coño, un móvil.
[0:43:57.00]-[0:43:58.00]  ¿Qué?
[0:43:58.00]-[0:44:00.00]  ¿Qué?
[0:44:00.00]-[0:44:03.00]  Ah, ¿qué no me vas a decir nada?
[0:44:03.00]-[0:44:05.00]  ¿Tú no vas a dejar que vayas a puerto de nadie, eh?
[0:44:05.00]-[0:44:06.00]  Sí.
[0:44:06.00]-[0:44:08.00]  Porque a mí no me gusta que me arropen mis puertas.
[0:44:08.00]-[0:44:10.00]  Así que, ¿o sea que tu padre es como el de Catálica?
[0:44:10.00]-[0:44:15.00]  No sé, como te dije que por agua ya voy a ir por ti, fíjate.
[0:44:15.00]-[0:44:17.00]  Uy, madre.
[0:44:17.00]-[0:44:19.00]  Y tú sabes que estamos en el campo.
[0:44:19.00]-[0:44:25.00]  Y mi madre venía al pueblo y le dijimos, anda, que voy a traer unas cositas para los reyes.
[0:44:25.00]-[0:44:27.00]  Unas cositas para los reyes.
[0:44:27.00]-[0:44:28.00]  Por todo más contento.
[0:44:28.00]-[0:44:36.00]  Pero ahora, que cuando se recogía el ganado, y ponía a mi madre de cenar el despacho, lo que yo fuera,
[0:44:36.00]-[0:44:38.00]  y todos se ando poniendo para costarse.
[0:44:38.00]-[0:44:40.00]  Y una noche...
[0:44:40.00]-[0:44:42.00]  ¿Y a este hora lo que me haces?
[0:44:42.00]-[0:44:44.00]  Fíjate, corre y ve lo que me tienes.
[0:44:44.00]-[0:44:48.00]  Mi sio me va a contestar a la camioneta, pero yo no quiero porque está ahí mi madre y no quiero que me camine.
[0:44:48.00]-[0:44:54.00]  Y tú sabes que tenía un tablero así, y por aquí tenía las camas y se asomaba uno y veía la candela.
[0:44:54.00]-[0:44:57.00]  Y iba mi madre así.
[0:44:57.00]-[0:44:59.00]  Así también hay que estar.
[0:44:59.00]-[0:45:01.00]  Su madre está en una cosa muy...
[0:45:01.00]-[0:45:06.00]  Un caramelo, otro caramelo, un carbón más grande, otro carbón, y así.
[0:45:06.00]-[0:45:11.00]  Y cuando me puso a mí en mis zapatos, dice, ¿antes costaste dejar zapatos?
[0:45:11.00]-[0:45:14.00]  Bueno, y me puso un caramelo.
[0:45:14.00]-[0:45:17.00]  Y al otro y al otro, y digo, ¡oy mamá!
[0:45:17.00]-[0:45:19.00]  Ponme a mí otro.
[0:45:19.00]-[0:45:22.00]  Y me asomé por arriba de mi madre, se quería que eran los reyes de verdad.
[0:45:22.00]-[0:45:24.00]  ¡Qué bien ha bajado!
[0:45:24.00]-[0:45:26.00]  ¿Cómo querías que fuese?
[0:45:26.00]-[0:45:29.00]  Yo fue mirar, que no fue un besorio.
[0:45:29.00]-[0:45:31.00]  Por lo menos me escondí, y a mi padre no.
[0:45:31.00]-[0:45:33.00]  ¿Y eso eran los reyes?
[0:45:33.00]-[0:45:38.00]  Y ahora, pues no, ahora los niños buenos, y los padres conocidos.
[0:45:38.00]-[0:45:41.00]  Se le va su cosa.
[0:45:41.00]-[0:45:44.00]  Y eso, pero yo no tenía un ordenador en mi maquinita.
[0:45:44.00]-[0:45:47.00]  Sí, vas a tener un caballo de corsa.
[0:45:47.00]-[0:45:50.00]  Y por qué no sacaba el caballo de corsa, no, pero vamos.
[0:45:50.00]-[0:45:52.00]  Pues no, pues mirá, yo.
[0:45:52.00]-[0:45:56.00]  A mi hijo, a mi hijo solía, y a mi hijo estaba la corsa.
[0:45:56.00]-[0:46:01.00]  O sea, le un caballo a este zagá, porque este zagá, además quedaba por saco con un caballo.
[0:46:01.00]-[0:46:07.00]  Y cuando yo no sé, la mihena, la corta, la cabeza, las patas, y ya está, y el rabo, y andando.
[0:46:07.00]-[0:46:12.00]  Yo le hacía una pareja y ya tenía el zagá, el caballo para correr ahí, todo lo que quería.
[0:46:12.00]-[0:46:14.00]  Pero hoy no.
[0:46:14.00]-[0:46:19.00]  Hoy tienes que, ay no tengo, pero, mira tú me los traes, que después yo los voy pagando.
[0:46:19.00]-[0:46:21.00]  Antes no decía eso.
[0:46:21.00]-[0:46:23.00]  Pero no podía decírselo.
[0:46:23.00]-[0:46:25.00]  ¿O no tenías para pagarlo?
[0:46:25.00]-[0:46:27.00]  ¿Qué coño vas a tener para pagar?
[0:46:27.00]-[0:46:30.00]  Si yo tenía para, si tenías que comerte el pan y engañarlo para allá.
[0:46:30.00]-[0:46:36.00]  Darme un pan hasta la noche y no te lo daba una semana para pagárselo.
[0:46:36.00]-[0:46:38.00]  No tiene la vida.
[0:46:38.00]-[0:46:40.00]  No te vas a creer que no.
[0:46:40.00]-[0:46:43.00]  Ay, qué pena de vida.
[0:46:43.00]-[0:46:45.00]  ¿Y las navidades?
[0:46:45.00]-[0:46:48.00]  Las navidades, guá.
[0:46:48.00]-[0:46:52.00]  Un poco de café y unos viñuelos que se hacían, y ya está.
[0:46:52.00]-[0:46:55.00]  Yo lo había, mi madre.
[0:46:55.00]-[0:47:00.00]  Y me daba luego uno para cada uno y el cafeíto y ya está.
[0:47:00.00]-[0:47:03.00]  Esas las navidades que yo tenía.
[0:47:03.00]-[0:47:08.00]  Y yo venía hasta de trabajar y se plantaba y se comía algo fuera.
[0:47:08.00]-[0:47:12.00]  Si era un pozo, quizá, o un piso de arroz solo.
[0:47:12.00]-[0:47:14.00]  No hubiera.
[0:47:14.00]-[0:47:18.00]  Porque no había para muchas cosas.
[0:47:18.00]-[0:47:23.00]  ¿Y aparte de los cerdos, qué otro tipo de animales se criaba?
[0:47:23.00]-[0:47:26.00]  Ah, las cabras.
[0:47:26.00]-[0:47:28.00]  El queso.
[0:47:28.00]-[0:47:30.00]  Hoy también hay.
[0:47:30.00]-[0:47:33.00]  La cabra, entonces se hacía el queso.
[0:47:33.00]-[0:47:35.00]  Y hoy no.
[0:47:35.00]-[0:47:40.00]  Hoy le están de comer a la cabra, le quitan el chivo.
[0:47:40.00]-[0:47:44.00]  Cuando están grandecitos, lo pesan y se los llevan, el cabrito.
[0:47:44.00]-[0:47:50.00]  Y la cabra, pues ponen la leche y la venden en la lechería.
[0:47:50.00]-[0:47:53.00]  ¿Sabe usted hacer queso?
[0:47:53.00]-[0:47:54.00]  Sí.
[0:47:54.00]-[0:47:55.00]  ¿Cómo se hace?
[0:47:55.00]-[0:47:57.00]  Coña, que no tiene café.
[0:47:57.00]-[0:48:02.00]  Tú pones la leche en la tina, en el ritmo, lo que sea, y ahora coge un cuajo,
[0:48:02.00]-[0:48:08.00]  lo venden en la tienda y le echas unas hojitas de bolito, como tú calcules.
[0:48:08.00]-[0:48:11.00]  Si hay un jugo, pues le echas media cucharadita.
[0:48:11.00]-[0:48:14.00]  Si hay más, pues le echas una cuchara más.
[0:48:14.00]-[0:48:15.00]  Un poquito más.
[0:48:15.00]-[0:48:22.00]  Lo mueve, lo mueve, pues ya se está cuajado, se le mete un palo así y se queda rieso.
[0:48:22.00]-[0:48:23.00]  Pues ya está.
[0:48:23.00]-[0:48:28.00]  Lo mueve y ahora te lo das ahí y lo haces en un fincho.
[0:48:28.00]-[0:48:30.00]  ¿Y qué polvito se le echa?
[0:48:30.00]-[0:48:32.00]  Eso es un cuajo que venden en la tienda.
[0:48:32.00]-[0:48:36.00]  En la tienda, en la farmacia.
[0:48:36.00]-[0:48:41.00]  Antes no, antes se hacía del chivo, que se mataba cuando no hacía de parío la cabra.
[0:48:41.00]-[0:48:50.00]  Se le ponía un poco de anuno y se le llenaba, de caloxto de la madre, el buche con la queso.
[0:48:50.00]-[0:48:55.00]  Se hacía un buche así en el estómago del chivo y lo hacía así.
[0:48:55.00]-[0:49:01.00]  Ahora lo llenaba, lo harinaba en la ceniza de la candela y lo colgaba allí para que le diera el humo.
[0:49:01.00]-[0:49:05.00]  Y cuando estaba duro duro, ahora para este tiempo que cuando hacías el queso,
[0:49:05.00]-[0:49:13.00]  lo usabas en una botella y estaba suero y así lo movía y lo pones a una cucharada o dos al cacharro de la leche.
[0:49:13.00]-[0:49:15.00]  Y así no hacías queso.
[0:49:15.00]-[0:49:20.00]  Eso era cuando los años de María Castaña.
[0:49:20.00]-[0:49:23.00]  Ahora ya hacen los cuajos con eso.
[0:49:23.00]-[0:49:26.00]  Compran en la farmacia los polvos.
[0:49:26.00]-[0:49:29.00]  Y eso se echa, la puntita así de...
[0:49:29.00]-[0:49:32.00]  Y amenea y lo va a hacer apretarlo.
[0:49:32.00]-[0:49:38.00]  Aquí el fincho aquí y eso lo va a hacer ahí por otro lado.
[0:49:38.00]-[0:49:42.00]  ¿Y cómo era antes la medicina? ¿Había farmacia así también?
[0:49:42.00]-[0:49:43.00]  Pues igual que hoy.
[0:49:43.00]-[0:49:44.00]  ¿No tomaban... no tomaban...
[0:49:44.00]-[0:49:47.00]  No, menos, menos, porque entonces eran otras cosas.
[0:49:47.00]-[0:49:52.00]  Si tenías un resfriado te mandaban una cuchara.
[0:49:52.00]-[0:49:57.00]  O tenías la calentura te mandaban unas pastillas que tenías que estar tomando tanto que sea.
[0:49:57.00]-[0:50:01.00]  Pero había una herma en el campo que decían garuda
[0:50:01.00]-[0:50:04.00]  y te la cocías y te la daba en la tuna
[0:50:04.00]-[0:50:09.00]  y a los dos vasos de aquello estaba la calentura a la pasar.
[0:50:09.00]-[0:50:11.00]  Yo así me curaba.
[0:50:11.00]-[0:50:14.00]  Le resfriaba un resfriado muy malo.
[0:50:14.00]-[0:50:18.00]  O calito blanco lo había ahí en el forastero y lo pasaba.
[0:50:18.00]-[0:50:22.00]  Cocío, lo tomaba y trataba con una poquita de azúcar requeada.
[0:50:22.00]-[0:50:25.00]  Y ese era lo que teníamos.
[0:50:25.00]-[0:50:29.00]  Hoy está mala, hoy tiene la garganta mala porque se te acostaba.
[0:50:29.00]-[0:50:31.00]  Y le ponen la ocalito.
[0:50:31.00]-[0:50:32.00]  ¿La ponen de qué?
[0:50:32.00]-[0:50:34.00]  De ocalito.
[0:50:34.00]-[0:50:37.00]  De ocalito, de eso de resfratas.
[0:50:37.00]-[0:50:41.00]  ¿Y por eso hacían muchas medicinas de plantas medicinales?
[0:50:41.00]-[0:50:44.00]  Yo me enseñaba así.
[0:50:44.00]-[0:50:48.00]  El ocalito a mi hija, que ya lo conocía también eso,
[0:50:48.00]-[0:50:55.00]  le tenía un acto y ahora te voy a decir, le entró la toma a la zoo.
[0:50:55.00]-[0:50:57.00]  Y estaba desesperadita, que esto es mala.
[0:50:57.00]-[0:51:00.00]  Porque le mandaba al médico esto y le mandaba al otro.
[0:51:00.00]-[0:51:04.00]  Una cosa que no te mandaba y otra cosa que no podía comprarla.
[0:51:04.00]-[0:51:08.00]  Y estaban las pobres que estaban ahogainas.
[0:51:08.00]-[0:51:11.00]  Pero vino mi padre del campo y dice,
[0:51:11.00]-[0:51:13.00]  ¿Cómo están estas niñas?
[0:51:13.00]-[0:51:16.00]  Y yo, mira, papá, la toque tiene.
[0:51:16.00]-[0:51:19.00]  Y dice, porque traté que toda la tarde te voy a traer para acá.
[0:51:19.00]-[0:51:24.00]  Y se fue ahí abajo, que había un huerto ahí, el camino de Río.
[0:51:24.00]-[0:51:28.00]  Y me acogió una hoja de unas tumberas, que es la que hay acá de los tumbos,
[0:51:28.00]-[0:51:30.00]  que tiene muchos pinchos.
[0:51:30.00]-[0:51:34.00]  Y esa hoja la cortó y hizo una candelada y la chamocó.
[0:51:34.00]-[0:51:38.00]  En el momento que la gastó la candela, se quemó los pinchos que tenía ahí todas por dentro,
[0:51:38.00]-[0:51:40.00]  toda una corteza así.
[0:51:40.00]-[0:51:42.00]  Ahora acogió y se la trajo.
[0:51:42.00]-[0:51:44.00]  La metió en un canasto y se la trajo.
[0:51:44.00]-[0:51:47.00]  Y aquí, dice, toma, pélala.
[0:51:47.00]-[0:51:51.00]  Yo le quité todas las cortezas que tenía, un lado y otro.
[0:51:51.00]-[0:51:58.00]  Y dice así, con una tostada a la candela, unos cuazos.
[0:51:58.00]-[0:52:01.00]  Y se la pone en una batea, en un plato, donde sea.
[0:52:01.00]-[0:52:04.00]  Yo la puse en una batea, así blanca.
[0:52:04.00]-[0:52:09.00]  Aquí está, aquí detrás, y aquí una batea.
[0:52:09.00]-[0:52:11.00]  Y este caldo, mucha azúcar ha echado.
[0:52:11.00]-[0:52:14.00]  Esto goteaba aquí, iba goteando, goteando.
[0:52:14.00]-[0:52:18.00]  Y de eso que goteaba, el caldo de las tumberas, con la azúcar,
[0:52:18.00]-[0:52:21.00]  le daba la cuchara a la niña.
[0:52:21.00]-[0:52:23.00]  Por dos días o tres estuve dando la cuchara.
[0:52:23.00]-[0:52:25.00]  Se acabó.
[0:52:25.00]-[0:52:26.00]  La tostada es mala.
[0:52:26.00]-[0:52:31.00]  Así que después, cuando tenían todo, digo, tiquito, venga, las tumberas.
[0:52:31.00]-[0:52:34.00]  Ahí mismo que las había, iba todo por la hoja,
[0:52:34.00]-[0:52:38.00]  y las chamozcaba en la candela y yo me las preparaba para mis hijas.
[0:52:38.00]-[0:52:41.00]  Y eso era así.
[0:52:41.00]-[0:52:44.00]  Ay, qué vida más mala.
[0:52:44.00]-[0:52:46.00]  Entonces, por lo menos, bueno día.
[0:52:46.00]-[0:52:50.00]  ¿Eso es un bosque que era lo que más se cultivaba, aquí en los campos?
[0:52:50.00]-[0:52:53.00]  En los campos, por de todo.
[0:52:53.00]-[0:52:59.00]  Como hoy, los bichos, el ganado que se tenía, el cochino, la cabra, la vaca, cada uno lo que...
[0:52:59.00]-[0:53:05.00]  El campo, lo mismo, yo tenía un mulo y un burro, a por cisco,
[0:53:05.00]-[0:53:10.00]  a quemar la voz monte y eso, y a hacer cisco por la candela, para ahora.
[0:53:10.00]-[0:53:14.00]  En el verano, la corcha, a recoger corcha por ahí
[0:53:14.00]-[0:53:19.00]  y a través era para vender a los puestos que ponían de comprar bonizo.
[0:53:19.00]-[0:53:21.00]  ¿Y qué hacían con eso?
[0:53:21.00]-[0:53:25.00]  Eso solo llevaban, para hacer cortos, hacer tapones, hacer esas cosas todas que hacen.
[0:53:25.00]-[0:53:29.00]  Y esas plantas que hacen de corta, esas cosas, eso era todo de las cortas.
[0:53:29.00]-[0:53:37.00]  Y si era de corta, pues igual, era de corta hoja, de corta rajaban el árbol y sacaban las cosas, las cortas.
[0:53:37.00]-[0:53:41.00]  En la tierra, ¿se ha visto muchas veces de corta los hombres sacan las cortas?
[0:53:41.00]-[0:53:43.00]  ¿La habréis visto ustedes?
[0:53:43.00]-[0:53:48.00]  La he visto corriendo, que no he visto, y digo, uy mira, descostando un arco noque.
[0:53:52.00]-[0:53:54.00]  ¿Y hacían jabón aquí?
[0:53:54.00]-[0:53:56.00]  Jabón, todo esto, justo.
[0:53:56.00]-[0:53:57.00]  ¿Cómo se hace?
[0:53:57.00]-[0:54:03.00]  Ya casi no me acuerdo, pero vamos, del aceite, de las borras del aceite, como aquí había molino,
[0:54:03.00]-[0:54:08.00]  pues traían aceite y hacían, así que el aceite se veía,
[0:54:08.00]-[0:54:15.00]  y iba arriba y abajo iba toda la zulpia que venía, y eso lo que tenían,
[0:54:15.00]-[0:54:21.00]  pues sacaban el aceite para desagupar el bidón, lo cogían y lo echaban en otro cacharro grande,
[0:54:21.00]-[0:54:24.00]  y lo tenían ahí para echar el aceite nuevo.
[0:54:24.00]-[0:54:28.00]  Y yo pues iba a hacer eso, porque me llamaban, mira que tengo un poquito aquí en la casa,
[0:54:28.00]-[0:54:32.00]  en el verano hacía todo el jabón, ahora está pronto,
[0:54:32.00]-[0:54:36.00]  y juntaba todo el jabón para lavato en todo el año otra vez.
[0:54:36.00]-[0:54:40.00]  Porque me llamaban y se veía, ¿me puede hacer un poquito jabón?
[0:54:40.00]-[0:54:44.00]  Porque no me decían antes, por eso me hice bien el jabón.
[0:54:44.00]-[0:54:49.00]  Digo, sí, cuando dice, pues mira, a la tarde voy a ir por las cosas, y me lo hace,
[0:54:49.00]-[0:54:54.00]  digo, bueno, yo te lo haré, mañana cuando se van a ir los niños a la escuela, yo poquito lo hago.
[0:54:54.00]-[0:54:57.00]  Se iban los niños a la escuela y iba, y lo hacía.
[0:54:57.00]-[0:55:04.00]  Se lo dejaba atrás hecho, y estaba en eso para cortarlo en la caja, en una caja.
[0:55:04.00]-[0:55:10.00]  Y cuando ya almorzaba y ya estaba todo tranquilo, los chiquitos y todo, cogía y me iba.
[0:55:10.00]-[0:55:14.00]  Y con el cuchillo se lo cortaba así, ¿ven?
[0:55:14.00]-[0:55:21.00]  Y ahí para allá era una tira, esas tiras así grandes, y ahora las cortaba aquí los cachos.
[0:55:21.00]-[0:55:25.00]  Me daban un, según el que se hacía, si hacía un buen poco,
[0:55:25.00]-[0:55:31.00]  ¿cuántos te tengo en edad? Digo, mira, ay, por qué digo que no quiero nada.
[0:55:31.00]-[0:55:36.00]  Pescaba y me daba hasta de cachos, una caja, venga pa'ca,
[0:55:36.00]-[0:55:40.00]  digo, pues eso sí quiero, pues tú tienes para la hora, y a mí me hace falta.
[0:55:40.00]-[0:55:44.00]  Y me lo traía, la otra, la otra, total, que nada más aquí en la vecina,
[0:55:44.00]-[0:55:47.00]  hasta estaba, y para arriba, para esos paseos.
[0:55:47.00]-[0:55:52.00]  Yo juntaba, es la que tenía perra, y esa me daba una,
[0:55:52.00]-[0:55:55.00]  pero decía, bueno, pues mañana voy y lo hago.
[0:55:55.00]-[0:55:58.00]  Y me estaba, por la mañana y por la tarde iba a cortárselo,
[0:55:58.00]-[0:56:01.00]  págame el día que tú tienes dinero.
[0:56:01.00]-[0:56:06.00]  Y así los días, pero nunca va abon pa' mis hijos, pa' limpiéndolos,
[0:56:06.00]-[0:56:11.00]  tenía, ¿en cuántos días había que no tenía pa' poder ir por un cacho de abon a comprarlo?
[0:56:11.00]-[0:56:15.00]  Porque no había, porque no tuviera dinero, porque el hombre lo hubiera cobrado,
[0:56:15.00]-[0:56:18.00]  o porque estaba parado en otro, entonces también se quedaban los hombres parados,
[0:56:18.00]-[0:56:23.00]  no ahora, entonces también, y así era la vida.
[0:56:23.00]-[0:56:26.00]  ¿Y dónde se iban a lavar? ¿Cómo era eso de irse a lavar?
[0:56:26.00]-[0:56:32.00]  A lavar, si traía el agua ahí de pila, pues plantaba todo ahí la panera y ahí lavar,
[0:56:32.00]-[0:56:36.00]  pero yo me iba más ahí abajo, a lavar,
[0:56:36.00]-[0:56:40.00]  y si no, a robo, esto es mi padre que estaba pa' trabajar, y estaba allí siempre.
[0:56:40.00]-[0:56:43.00]  Pero cuando no tenía ganas ni más, sí me iba ahí,
[0:56:43.00]-[0:56:48.00]  plantaba mi panera y ahí lavar, a hornear lave mucha ropa, mucha, mucha gente,
[0:56:48.00]-[0:56:52.00]  y untaba la ropa de dos, hoy me llama una pa' hornear y la otra de mí,
[0:56:52.00]-[0:56:56.00]  porque como yo me iba a lavar ahí, me llamaba los dos sextos,
[0:56:56.00]-[0:57:01.00]  y cuando venía los dos sextos, venía y traía a ti el turo y a la otra el suro,
[0:57:01.00]-[0:57:06.00]  tú me daba siete duro, por siete, y la otra me daba otro siete, por otro siete,
[0:57:06.00]-[0:57:10.00]  que es lo que ganaba, es lo que ganaba, no ganaba más,
[0:57:10.00]-[0:57:17.00]  y si estaba día y medio, no, ya me daba un pulito o dos más, pero poco.
[0:57:17.00]-[0:57:24.00]  ¿Y esa ropa la lavaba en el huerto, pero cómo se secaba?
[0:57:24.00]-[0:57:32.00]  Hombre, un alambre, que ponía todo el alambre, ahí abajo en los campos aqué,
[0:57:32.00]-[0:57:38.00]  esto es murtera, están alrededor de las riberas y esas cosas,
[0:57:38.00]-[0:57:45.00]  por esos pintos, que hacen pintos las murteras esas, se tiende la ropa muy bien.
[0:57:45.00]-[0:57:48.00]  ¿No la ponían en el verde?
[0:57:48.00]-[0:57:53.00]  Ah, eso era para que tomaran el sol, para solear lo que se llamaba las manchas,
[0:57:53.00]-[0:57:58.00]  en un hierba y eso se le tendían ahí, se soleaba y luego iba tú,
[0:57:58.00]-[0:58:03.00]  y la regaba con el tubo, porque se secaba, la regaba, con agua abonada o con polvo,
[0:58:03.00]-[0:58:06.00]  polvo de eso sí.
[0:58:06.00]-[0:58:08.00]  ¿Polvo de qué?
[0:58:08.00]-[0:58:11.00]  Polvo de día de sí, como ahí hay polvo hoy para lavar,
[0:58:11.00]-[0:58:17.00]  entonces lo había que comprar un papel con un cuarto, para manchas y eso,
[0:58:17.00]-[0:58:23.00]  y hacía así, en el agua lo echaba, y tendía la ropa y con eso lo regaba.
[0:58:23.00]-[0:58:29.00]  Así ososa, en polvo, y así era la jodida.
[0:58:29.00]-[0:58:32.00]  ¿Y no iban varias mujeres juntas?
[0:58:32.00]-[0:58:36.00]  Sí, juntábamos, tres o cuatro, y de aquí salía un ponen una o dos,
[0:58:36.00]-[0:58:41.00]  o una, pues los pescaba mi panera y luego nadie me tenía que ir.
[0:58:41.00]-[0:58:44.00]  Si luego en el camino nos juntábamos otras, o allí, pues allí sí,
[0:58:44.00]-[0:58:47.00]  allí nos juntábamos hasta siete o ocho o más,
[0:58:47.00]-[0:58:51.00]  eran pilas y cada una cogía su pila.
[0:58:51.00]-[0:58:54.00]  Pero hoy, hoy.
[0:58:54.00]-[0:59:02.00]  ¿Y cuando usted vio a gusta a sus hijos, los tuvo aquí en casa o fue al médico?
[0:59:02.00]-[0:59:04.00]  ¿Había una matrona?
[0:59:04.00]-[0:59:08.00]  Sí, aquí en este cuarto, ahí lo tuve.
[0:59:08.00]-[0:59:09.00]  ¿Y había una matrona?
[0:59:09.00]-[0:59:12.00]  Sí, había una mujer, para recoger los niños.
[0:59:12.00]-[0:59:14.00]  ¿Y cómo era el trabajo de esa mujer?
[0:59:14.00]-[0:59:17.00]  El trabajo de esa mujer es de mirarte, de saber si venían haciendo,
[0:59:17.00]-[0:59:20.00]  si no venían haciendo, y cuando estaban habiendo,
[0:59:20.00]-[0:59:25.00]  ayudarte si te tenía que ayudar un poquito, y así ahí afuera.
[0:59:25.00]-[0:59:27.00]  ¿Te lo recuerda cómo fue?
[0:59:27.00]-[0:59:31.00]  No me acuerdo de eso, por tantos años, pero vamos a ver, así.
[0:59:31.00]-[0:59:33.00]  ¿Y usted ayudaba a alguna madre a tener...?
[0:59:33.00]-[0:59:36.00]  Yo no, eso no lo he visto.
[0:59:36.00]-[0:59:39.00]  Por favor, no lo he visto, ni ninguna ha estado dándolo.
[0:59:39.00]-[0:59:41.00]  Porque han dicho, hay que estar afuera,
[0:59:41.00]-[0:59:43.00]  ¡uy, yo no entro ahora! ¡Uy, qué miedo me da!
[0:59:43.00]-[0:59:47.00]  Yo no, si me han llamado a alguien y digo, no, no, yo no voy.
[0:59:47.00]-[0:59:49.00]  Yo voy, pero me estoy en la puerta para llamar a quien sea,
[0:59:49.00]-[0:59:53.00]  porque yo no entro, me ha dado miedo, no quiero entrar.
[0:59:53.00]-[0:59:55.00]  Así que eso no lo sé yo.
[0:59:55.00]-[0:59:57.00]  ¿Y en el pueblo todos se conocen?
[0:59:57.00]-[1:00:01.00]  Hombre, todos nos conocemos, porque nada más que de ir para acá,
[1:00:01.00]-[1:00:03.00]  y de ir para allá, y encontrarte.
[1:00:03.00]-[1:00:07.00]  Yo con... el pueblo casi, vamos, toda la gente, ahora no conozco a nadie.
[1:00:07.00]-[1:00:09.00]  Porque ya hace tantos años que no salgo a ningún lado,
[1:00:09.00]-[1:00:14.00]  porque si voy en Cadimío y en Mía, aquí en la vecina no voy a ninguna.
[1:00:14.00]-[1:00:17.00]  Porque no puedo, voy a invertir una tienda también,
[1:00:17.00]-[1:00:20.00]  por aquí por la cadera, y no puedo andar.
