[0:00:00.00]-[0:00:02.00]  ¿Podemos estar con ustedes?
[0:42:34.00]-[0:42:38.00]  Y labrar un cuando querían, cuando no, no.
[0:42:38.00]-[0:42:41.00]  ¿Y usted le tenía miedo o respeto a sus padres?
[0:42:41.00]-[0:42:43.00]  Sí, miedo.
[0:42:43.00]-[0:42:44.00]  ¿Miedo?
[0:42:44.00]-[0:42:47.00]  Sí, miedo.
[0:42:47.00]-[0:42:49.00]  Ahora nos tiene miedo o respeto.
[0:42:49.00]-[0:42:50.00]  Eso sí.
[0:42:50.00]-[0:42:52.00]  Mira, íbamos por...
[0:42:52.00]-[0:42:53.00]  Nada, nada, no.
[0:42:53.00]-[0:42:56.00]  ¿Vos vais cuando queréis, cuando os da la gana?
[0:42:56.00]-[0:42:57.00]  Teníamos unos corderos que...
[0:42:57.00]-[0:42:58.00]  ¿Cuánto mentiricas?
[0:42:58.00]-[0:42:59.00]  Y ya va.
[0:42:59.00]-[0:43:03.00]  Y ya va, que llevaba mi padre unos corderos, a lo mejor 20 o 30 o 40.
[0:43:03.00]-[0:43:06.00]  Ay, me gustaría que estuviera el barco por ahí.
[0:43:06.00]-[0:43:17.00]  Y luego, en este tiempo, bueno, un poco antes, en lo que se sembraba por ahí, antes se sembraba trigo,
[0:43:17.00]-[0:43:25.00]  pues como se llevaban los corderos a comer allí al trigo, cierto, un poco tiempo,
[0:43:25.00]-[0:43:34.00]  pues en cuanto se llegaba febrero, se podía ya, en febrero y marzo, a llevar los al trigo.
[0:43:34.00]-[0:43:41.00]  Y según de qué me había dicho que fuera a otro lado y no fui, y fui al otro lado, vino, ¿y qué?
[0:43:41.00]-[0:43:44.00]  Vino, tenía ahí una hoguera.
[0:43:44.00]-[0:43:46.00]  Una hoguera tampoco sabe lo que es.
[0:43:46.00]-[0:43:49.00]  Hogueras sí, hemos sido, la verdad.
[0:43:49.00]-[0:43:52.00]  Eso sí, eso sí, llegamos.
[0:43:52.00]-[0:44:04.00]  Y qué hacía, me llevaba papeles de periódico de casa y con escormos de por allí del monte, me hacía cigarros y a fumar.
[0:44:04.00]-[0:44:06.00]  ¿Con escormos?
[0:44:06.00]-[0:44:07.00]  ¿Con escormos, sabéis lo qué es?
[0:44:07.00]-[0:44:09.00]  No.
[0:44:09.00]-[0:44:18.00]  Pues de lo eso que desnudaba, la hoguera, la piel de la mata, pues eso se llama escormos, por ejemplo.
[0:44:18.00]-[0:44:35.00]  Y una vez me cogió, que estaba teniendo un cigarrón, un cigarrón que sí, que un puro, me pegó un palizón, un palizón pero macho, pero macho, macho, ¿sabéis?
[0:44:35.00]-[0:44:36.00]  Madre mía.
[0:44:36.00]-[0:44:37.00]  No bastaría eso.
[0:44:37.00]-[0:44:39.00]  ¿Y siguió fumando?
[0:44:39.00]-[0:44:48.00]  Ya no. ¿Sabes cuando fumé? Luego, en la guerra, que estaba mi quinta, cuando estalló la guerra, estaba mi quinta.
[0:44:48.00]-[0:44:53.00]  Soy del 35, del año 36, que es cuando estalló la guerra.
[0:44:53.00]-[0:45:12.00]  Y allí empezamos, que había allí algún otro de aquí, que éramos quientos y estuvimos. Yo era de esto, ¿cómo se dice?
[0:45:12.00]-[0:45:14.00]  ¿Corneta?
[0:45:14.00]-[0:45:20.00]  No, es verdad que no sabía que no era útil yo para ser vigilmintar.
[0:45:20.00]-[0:45:23.00]  Ya, era no, no.
[0:45:23.00]-[0:45:26.00]  ¿Vale? ¿Vale, pues?
[0:45:26.00]-[0:45:32.00]  Sí, yo lo hago así.
[0:45:32.00]-[0:45:38.00]  Que se lo cortó, que se lo cortó el tentón y ahora eso no hubiera sido nada, lo hubieran atallado enseguida.
[0:45:38.00]-[0:45:41.00]  Sí, ahora sí lo hubieran atallado.
[0:45:41.00]-[0:45:44.00]  No tiene ni semillón ni nada.
[0:45:44.00]-[0:45:56.00]  Mi padre tenía alguno gordo y le escribió una carta a dos, les escribió.
[0:45:56.00]-[0:46:07.00]  Y cuando fui a la revisión, ya sabían allí, ya sabían que me dieron, me dejaron para servicios auxiliares.
[0:46:07.00]-[0:46:11.00]  Servicios auxiliares es en cartas de guerra, si no, no.
[0:46:11.00]-[0:46:17.00]  Y como era para servicios auxiliares, pues yo no llegué a estar en la guerra.
[0:46:17.00]-[0:46:20.00]  No llegué a estar en los parientes.
[0:46:20.00]-[0:46:31.00]  Pero sí estuve en recuperación material de guerra a recorrer bombas, de las que habían tirado.
[0:46:31.00]-[0:46:41.00]  El capitán que llevábamos lo mató el capitán al artificiero que iba yo con él.
[0:46:41.00]-[0:46:55.00]  Porque me había ido a hacer otro servicio, como si fuera a un lado del pueblo unos y al otro lado del pueblo otros.
[0:46:55.00]-[0:47:10.00]  Y que hubo una caja de bombas defensivas que hacían que hubiera una pared y cogían la bomba y la tiraban al otro lado.
[0:47:10.00]-[0:47:14.00]  Le abrían la, le quitaban la cosa esa y la tiraban al otro lado.
[0:47:14.00]-[0:47:18.00]  Pero al capitán le estalló en la mano y mató al artificiero.
[0:47:18.00]-[0:47:27.00]  Luego después estaba aquí el capitán, que era inútil, yo no lo vi.
[0:47:27.00]-[0:47:34.00]  Y después me escribió como yo era el que iba con él al artillería,
[0:47:34.00]-[0:47:40.00]  pero yo como había ido a hacer otro servicio al contrario del pueblo que ellos fueron,
[0:47:40.00]-[0:47:45.00]  no pude decir nada porque no lo había visto.
[0:47:45.00]-[0:47:54.00]  Yo sí que le dije que los que habían ido con él que les escribiera y que se lo preguntaran a ellos porque yo no estaba con ellos.
[0:47:54.00]-[0:48:02.00]  El capitán era, digo el artificiero era catalán, que me hizo un verbo que maqué.
[0:48:02.00]-[0:48:10.00]  Y estaba muy contento a aquellos días porque, mi coño,
[0:48:10.00]-[0:48:17.00]  estoy muy contento porque ahí te vio, no sé cómo se comunicaban con Cataluña,
[0:48:17.00]-[0:48:26.00]  y te vio razón de la mujer, digo de la novia y de la familia y estaba muy contento.
[0:48:26.00]-[0:48:31.00]  Y al otro día lo mataron, muere.
[0:48:31.00]-[0:48:36.00]  Pero claro fue de esta manera que te vio, no fue ni queriendo ni mucho menos.
[0:48:36.00]-[0:48:42.00]  Y el capitán era un gismo bueno, un gismo bueno.
[0:48:42.00]-[0:48:44.00]  Aunque todo eso.
[0:48:44.00]-[0:48:47.00]  ¿Y entonces usted tuvo sus quintos?
[0:48:47.00]-[0:48:50.00]  Usted tuvo sus quintos.
[0:48:50.00]-[0:48:52.00]  ¿Que si tuve quintos?
[0:48:52.00]-[0:48:53.00]  ¿Tuve sus quintos?
[0:48:53.00]-[0:48:59.00]  ¿Y qué hicieron ahí? ¿Se celebraron?
[0:48:59.00]-[0:49:01.00]  No sé lo que quiero decir.
[0:49:01.00]-[0:49:07.00]  A ver, los quintos por ejemplo, cuando se van de quintos se juntan todos los chavales,
[0:49:07.00]-[0:49:15.00]  cuando les tallan y todo eso, se juntan, hacen una fiesta y piden dinero para emporracharse,
[0:49:15.00]-[0:49:17.00]  como quien dinde, ¿no?
[0:49:17.00]-[0:49:20.00]  Y usted lo celebró así o algo.
[0:49:20.00]-[0:49:22.00]  Sí hombre, ¿por qué no?
[0:49:22.00]-[0:49:24.00]  Con sus quintos, claro.
[0:49:24.00]-[0:49:26.00]  Y hasta también hicimos una compasa.
[0:49:26.00]-[0:49:37.00]  Sí, había uno quinto que era nuestro y era muy poeta, y hizo una compasa muy buena.
[0:49:37.00]-[0:49:38.00]  ¿Sí?
[0:49:38.00]-[0:49:39.00]  Sí, sí.
[0:49:39.00]-[0:49:40.00]  Hoy sí.
[0:49:40.00]-[0:49:43.00]  Oye, esa que se preguntó nadie.
[0:49:43.00]-[0:49:45.00]  Esa, será que es la jefa.
[0:49:45.00]-[0:49:46.00]  Claro.
[0:49:46.00]-[0:49:47.00]  Sí.
[0:49:47.00]-[0:49:52.00]  Es muy preguntada.
[0:49:52.00]-[0:49:58.00]  Pero si no pregunto, no sé, y no aprendo esto.
[0:49:58.00]-[0:50:00.00]  ¿Ves que la aprenden estas otras también?
[0:50:00.00]-[0:50:01.00]  Sí.
[0:50:01.00]-[0:50:07.00]  Con esto vamos a hacer un trabajo sobre las costumbres que había en el pueblo.
[0:50:07.00]-[0:50:13.00]  Y aquí lo mismo que aquí ha hecho otro.
[0:50:13.00]-[0:50:15.00]  ¿Sí? ¿Lo mismo?
[0:50:15.00]-[0:50:20.00]  Sí, aquí a ver lo que es, de lo que se vivía el pueblo.
[0:50:20.00]-[0:50:22.00]  ¿Viste tú con ellos por el campo, no?
[0:50:22.00]-[0:50:26.00]  Sí, hasta que fuimos por el campo ahí.
[0:50:26.00]-[0:50:29.00]  A ver de qué se vivía aquí en el pueblo.
[0:50:29.00]-[0:50:31.00]  A ver de la gente que vivía aquí.
[0:50:31.00]-[0:50:35.00]  No, a ver de qué se vivía.
[0:50:35.00]-[0:50:37.00]  Lo mismo que habéis preguntado a nosotros.
[0:50:37.00]-[0:50:42.00]  Sí, pero ¿de qué se vivía ahora? ¿De qué se vive ahora? ¿Vino ella?
[0:50:42.00]-[0:50:44.00]  No, y de antes también.
[0:50:44.00]-[0:50:47.00]  Y antes. Es que a nosotros nos interesa más antes que ahora.
[0:50:47.00]-[0:50:48.00]  Lo de antes, ¿verdad?
[0:50:48.00]-[0:50:51.00]  Sí, pero ahora bueno.
[0:50:51.00]-[0:50:54.00]  Pues muy, muy. De antes hay muchísimas cosas que decir.
[0:50:54.00]-[0:50:57.00]  ¿Antes había médico aquí?
[0:50:57.00]-[0:50:58.00]  Sí, sí.
[0:50:58.00]-[0:50:59.00]  ¿Vivía aquí?
[0:50:59.00]-[0:51:00.00]  Sí, vivía aquí.
[0:51:00.00]-[0:51:05.00]  Mejor ser ni los que abramos, que ahora están las ocho horas y se va.
[0:51:05.00]-[0:51:08.00]  ¿Y cómo se avisaba el médico?
[0:51:08.00]-[0:51:13.00]  Ah, pues si se ponía aquí malo uno, pues yo, el que hubiera, pues yo ahí estaba.
[0:51:13.00]-[0:51:15.00]  Y el médico ya venía.
[0:51:15.00]-[0:51:16.00]  Sí.
[0:51:16.00]-[0:51:20.00]  Vamos, que la casa la tenían al lado. ¿El médico tenía casa propia?
[0:51:20.00]-[0:51:23.00]  Sí, sí. Bueno, tenía casa así, se la hizo él.
[0:51:23.00]-[0:51:24.00]  ¿Esa se la hizo él, sí?
[0:51:24.00]-[0:51:25.00]  Sí, se la hizo él.
[0:51:25.00]-[0:51:28.00]  Y ¿tenía alguna enfermera o ayudante?
[0:51:28.00]-[0:51:30.00]  No, no, no. No, no había eso.
[0:51:30.00]-[0:51:31.00]  No.
[0:51:31.00]-[0:51:37.00]  Era un médico muy bueno. Fíjate si fuera bueno que mató a un hijo que tenía.
[0:51:37.00]-[0:51:38.00]  ¿Que mató?
[0:51:38.00]-[0:51:40.00]  A un hijo que tenía.
[0:51:40.00]-[0:51:44.00]  Tenía dos. El uno lo mataron en la guerra y el otro lo mató él.
[0:51:44.00]-[0:51:46.00]  ¿Entonces?
[0:51:46.00]-[0:51:51.00]  Que lo operó y falló.
[0:51:51.00]-[0:51:53.00]  Ay, qué pena.
[0:51:53.00]-[0:51:55.00]  Ya.
[0:51:55.00]-[0:51:58.00]  Y después siguió ejerciendo como médico.
[0:51:58.00]-[0:51:59.00]  Sí, sí.
[0:51:59.00]-[0:52:01.00]  Sí.
[0:52:01.00]-[0:52:03.00]  Pero ¿era buen médico o malo?
[0:52:03.00]-[0:52:04.00]  Bueno, bueno.
[0:52:04.00]-[0:52:07.00]  Era bueno. ¿Y se portaba con todos bien?
[0:52:07.00]-[0:52:11.00]  Aquí, aquí en ese vuelo querían mucho el efecto de una familia.
[0:52:11.00]-[0:52:13.00]  Sí.
[0:52:13.00]-[0:52:18.00]  Porque también se murió, alguna mujer se murió.
[0:52:18.00]-[0:52:19.00]  Sí.
[0:52:19.00]-[0:52:24.00]  Y a raíz de que se murió la mujer, pues echaba la culpa al médico.
[0:52:24.00]-[0:52:33.00]  ¿Y el médico en algún momento no atendió a alguien por cualquier razón o por algo?
[0:52:33.00]-[0:52:35.00]  Pues ese payo no.
[0:52:35.00]-[0:52:36.00]  ¿No?
[0:52:36.00]-[0:52:37.00]  Ese payo no.
[0:52:37.00]-[0:52:51.00]  Y aquí en los partos, usted, a esto le pregunta usted, ¿en los partos antes se juntaban todas las mujeres y ayudaban en el parto?
[0:52:51.00]-[0:52:54.00]  Mira, la madre de él parió en el campo.
[0:52:54.00]-[0:52:56.00]  ¿Sí? ¿Y ella sola?
[0:52:56.00]-[0:53:01.00]  Ella sola. Parió en una mata, en una chaparra, en un monte.
[0:53:01.00]-[0:53:02.00]  ¿No sería usted?
[0:53:02.00]-[0:53:06.00]  No, no. La que seguía detrás de mí.
[0:53:06.00]-[0:53:07.00]  ¿Una hermana?
[0:53:07.00]-[0:53:09.00]  Sí, se llamaba...
[0:53:09.00]-[0:53:10.00]  ¿Se llamaba?
[0:53:10.00]-[0:53:11.00]  Sí, se llamaba chaparra.
[0:53:11.00]-[0:53:12.00]  ¿Sí?
[0:53:12.00]-[0:53:13.00]  Ya no vivía.
[0:53:13.00]-[0:53:23.00]  Pues sí, estaba ensangrando a mano y fue a llevar la comida o el almuerzo, lo que fuera, no lo sé.
[0:53:23.00]-[0:53:28.00]  Y ya que volvió, mira, esto es lo que yo tengo.
[0:53:28.00]-[0:53:30.00]  Mírate lo que tengo aquí, oye.
[0:53:30.00]-[0:53:32.00]  Que dio a luz.
[0:53:32.00]-[0:53:33.00]  Sí.
[0:53:33.00]-[0:53:34.00]  ¿Ella sola?
[0:53:34.00]-[0:53:45.00]  Ella sola. Pues, iba... Mi padre estaba con los peones, que iba a atar lo que sacaban ellos, ¿sabes lo que es atar?
[0:53:45.00]-[0:53:47.00]  ¿Atar las gavillas?
[0:53:47.00]-[0:53:51.00]  ¿Hacer? ¿Atar? Bueno, sí, hacer un...
[0:53:51.00]-[0:53:53.00]  ¿Hacer? ¿Igual que te atas los cordones?
[0:53:53.00]-[0:53:54.00]  Hacer un haz.
[0:53:54.00]-[0:53:55.00]  ¿Un haz?
[0:53:55.00]-[0:53:56.00]  Sí.
[0:53:56.00]-[0:53:59.00]  ¿Sabe lo que es un haz?
[0:53:59.00]-[0:54:00.00]  Sí.
[0:54:00.00]-[0:54:02.00]  No lo sé.
[0:54:02.00]-[0:54:06.00]  Bueno, pues explíquemelo. Explíquemelo, ¿qué es eso?
[0:54:06.00]-[0:54:17.00]  Pues mira, se echa una gavilla y otra gavilla y otra gavilla, tres gavillas, y tiene así un vencejo por aquí abajo.
[0:54:17.00]-[0:54:18.00]  ¿Qué tiene?
[0:54:18.00]-[0:54:19.00]  Un vencejo.
[0:54:19.00]-[0:54:20.00]  ¿Qué es eso?
[0:54:20.00]-[0:54:22.00]  Un vencejo.
[0:54:22.00]-[0:54:24.00]  ¿Qué es eso? Ay, madre.
[0:54:24.00]-[0:54:27.00]  Tiene el mismo nombre que esos bichos negros.
[0:54:27.00]-[0:54:30.00]  El pájaro, sí, el vencejo, sí, el pájaro, sí.
[0:54:30.00]-[0:54:32.00]  Por eso también se llama vencejo.
[0:54:32.00]-[0:54:33.00]  ¿Y por qué?
[0:54:33.00]-[0:54:36.00]  Porque aquí le dan el nombre de vencejo.
[0:54:36.00]-[0:54:39.00]  Ay, Dios mío.
[0:54:41.00]-[0:54:47.00]  Y ponen el vencejo y echan allí tres o cuatro gavillas y luego van con...
[0:54:47.00]-[0:54:52.00]  Lo cogen... porque es de la misma miez, lo mejor es de la misma miez.
[0:54:52.00]-[0:55:03.00]  Y llegan, porque allí se hace el vencejo y se atrae la... se coge así y luego se le da así dos vueltas y ya está.
[0:55:03.00]-[0:55:04.00]  ¿Y eso es un haz?
[0:55:04.00]-[0:55:05.00]  Eso es un haz.
[0:55:05.00]-[0:55:08.00]  Ah, pues ya sé lo que es un haz.
[0:55:08.00]-[0:55:15.00]  También se atar, también se atar la mano con eso, que no creas que saben todo.
[0:55:15.00]-[0:55:18.00]  Pues seguro que usted sabe más que yo.
[0:55:18.00]-[0:55:20.00]  Sí, sí.
[0:55:20.00]-[0:55:31.00]  Y de lo que es de agricultura, de lo que es de hacer de agricultura de la vieja, de lo de antes, a mí aquí no me ha ganado nadie del pueblo, nadie.
[0:55:31.00]-[0:55:32.00]  ¿El campeón?
[0:55:32.00]-[0:55:33.00]  No, eso tampoco.
[0:55:33.00]-[0:55:34.00]  ¿Es?
[0:55:34.00]-[0:55:35.00]  No, eso tampoco.
[0:55:35.00]-[0:55:37.00]  No sé qué ha dicho.
[0:55:37.00]-[0:55:39.00]  Ah, que es muy chulito.
[0:55:39.00]-[0:55:44.00]  A mí no me ha ganado nadie, nada más me ha ganado aquí, aquí ha venido uno de afuera.
[0:55:44.00]-[0:55:45.00]  ¿Quién es? ¿Quién es el aliche?
[0:55:45.00]-[0:55:46.00]  Yo.
[0:55:46.00]-[0:55:47.00]  Sí.
[0:55:47.00]-[0:55:56.00]  Sí, pero bueno, hoy su madre que dio al... y aquí en los partos ¿había matronas o alguien que ayudara en los partos?
[0:55:56.00]-[0:55:58.00]  Nadie, nadie, aquí se paría como Dios quería.
[0:55:58.00]-[0:55:59.00]  Sí.
[0:55:59.00]-[0:56:01.00]  Todos en casa.
[0:56:01.00]-[0:56:10.00]  Luego mi hermana cantaba, me llamo... del campo y nací en una chaparra.
[0:56:10.00]-[0:56:14.00]  Mi madre me recogió, mi abuelo me llevó a casa.
[0:56:14.00]-[0:56:16.00]  ¿Qué es una chaparra?
[0:56:16.00]-[0:56:18.00]  Sabina terrea.
[0:56:18.00]-[0:56:19.00]  ¿Eh?
[0:56:19.00]-[0:56:20.00]  ¿Una sabina terrea?
[0:56:20.00]-[0:56:21.00]  Pues tampoco.
[0:56:21.00]-[0:56:23.00]  Sabina ¿sabes lo que es?
[0:56:23.00]-[0:56:24.00]  No.
[0:56:24.00]-[0:56:25.00]  Una mata.
[0:56:25.00]-[0:56:28.00]  Oye, pero estudiantas y no saben nada.
[0:56:28.00]-[0:56:31.00]  Pues claro que no, pero si no le digo yo que le estoy preguntando.
[0:56:31.00]-[0:56:33.00]  Hablo en malo.
[0:56:34.00]-[0:56:38.00]  Nada más que se baja de aquí para abajo, que se vea de aquí para abajo.
[0:56:38.00]-[0:56:40.00]  ¿A dónde sube el sello ahora?
[0:56:40.00]-[0:56:41.00]  Ahí.
[0:56:41.00]-[0:56:42.00]  ¿Dónde nos vamos ahí?
[0:56:42.00]-[0:56:44.00]  Pues ahora iremos a Orihuela del Tenendal.
[0:56:44.00]-[0:56:46.00]  Y aquí a Orihuela no hay.
[0:56:46.00]-[0:56:48.00]  No hay debo.
[0:56:48.00]-[0:56:50.00]  Entonces la chaparra es una planta.
[0:56:50.00]-[0:56:54.00]  Sí, hay sabinas que son altas.
[0:56:54.00]-[0:57:01.00]  Y hay otras sabinas que son terregas, que se extienden, no suben para arriba, se extienden.
[0:57:01.00]-[0:57:02.00]  Solo por la tierra.
[0:57:02.00]-[0:57:04.00]  Eso es una chaparra.
[0:57:07.00]-[0:57:09.00]  Así que todo eso.
[0:57:09.00]-[0:57:11.00]  ¿Y qué más?
[0:57:11.00]-[0:57:12.00]  Pues...
[0:57:12.00]-[0:57:13.00]  Ya vale.
[0:57:13.00]-[0:57:14.00]  Ya vale.
[0:57:14.00]-[0:57:17.00]  No, espérenme, déjenos un poquito más.
[0:57:18.00]-[0:57:19.00]  ¿No le importa?
[0:57:19.00]-[0:57:22.00]  ¿No habéis tenido suerte vosotros a ver ponernos aquí?
[0:57:22.00]-[0:57:29.00]  Ha habido malas épocas en el campo, de cosecha.
[0:57:29.00]-[0:57:31.00]  Pues sí, como les había posibilidad a comprar.
[0:57:31.00]-[0:57:32.00]  ¿A aguantar?
[0:57:32.00]-[0:57:33.00]  Sí.
[0:57:33.00]-[0:57:34.00]  ¿Qué vas a hacer?
[0:57:34.00]-[0:57:38.00]  Y les daban miedo quedarse sin cosecha.
[0:57:38.00]-[0:57:40.00]  Pues tú verás.
[0:57:40.00]-[0:57:41.00]  Sí.
[0:57:41.00]-[0:57:43.00]  Y se dependía de eso.
[0:57:43.00]-[0:57:50.00]  Ahora, entonces no era como ahora, que luego de aquí, nada más que terminase la guerra,
[0:57:50.00]-[0:57:58.00]  pues había que...venían y te hacían llevar, aunque no tuvieras grano de los labradores,
[0:57:58.00]-[0:58:01.00]  te hacían entregar ciertos kilos.
[0:58:01.00]-[0:58:04.00]  Ciertos kilos según por lo que sembrabas.
[0:58:04.00]-[0:58:05.00]  Sí.
[0:58:05.00]-[0:58:07.00]  Pero antes de la guerra no.
[0:58:07.00]-[0:58:12.00]  Lo sembrabas y lo sembrabas, cogías, lo cogías, iba por tu cuenta.
[0:58:12.00]-[0:58:14.00]  Pero se vendían.
[0:58:16.00]-[0:58:23.00]  Llevarlo de aquí a allá abajo, había quemado una carretada de trigo a quince céntimos,
[0:58:23.00]-[0:58:25.00]  en kilo, a quince céntimos.
[0:58:27.00]-[0:58:28.00]  Es poco ahí.
[0:58:28.00]-[0:58:30.00]  ¿Tú sabes lo que son quince céntimos?
[0:58:30.00]-[0:58:32.00]  Pues no, no suelo creer la equidad en cien pesetas.
[0:58:32.00]-[0:58:34.00]  Yo solo conozco las pesetas.
[0:58:34.00]-[0:58:36.00]  ¿Las pesetas?
[0:58:36.00]-[0:58:38.00]  Tienen cien céntimos.
[0:58:38.00]-[0:58:39.00]  Sí.
[0:58:39.00]-[0:58:41.00]  Menos de un cuarto de peseta.
[0:58:41.00]-[0:58:43.00]  ¿Qué piensas?
[0:58:43.00]-[0:58:46.00]  Cien céntimos, que...
[0:58:50.00]-[0:58:57.00]  Allí en la masada de Inglaterra, no sé si tenía otro nieto que tengo, si me serás
[0:58:57.00]-[0:59:10.00]  cierto, tenía unas perras en la sala, dos céntimos, o sea un céntimo y dos céntimos.
[0:59:10.00]-[0:59:18.00]  Y luego estaba ya la perra, la perra, la cinco céntimos, y luego diez.
[0:59:18.00]-[0:59:20.00]  Mira, eso era cinco céntimos.
[0:59:20.00]-[0:59:22.00]  Eso, eso, esa es.
[0:59:22.00]-[0:59:24.00]  Eso era una...
[0:59:24.00]-[0:59:27.00]  Como ahora que nos darán también cosas así.
[0:59:27.00]-[0:59:29.00]  Mira a ver si...
[0:59:29.00]-[0:59:30.00]  ¡Uy ahora!
[0:59:30.00]-[0:59:31.00]  ¡Qué pena!
[0:59:31.00]-[0:59:32.00]  ¡Dios!
[0:59:32.00]-[0:59:34.00]  Mira a ver si... cinco o diez.
[0:59:34.00]-[0:59:35.00]  ¿Cinco?
[0:59:35.00]-[0:59:37.00]  Eso son cinco céntimos.
[0:59:37.00]-[0:59:38.00]  Cinco céntimos.
[0:59:38.00]-[0:59:44.00]  Pues, y también había, como te digo, un céntimo y dos céntimos.
[0:59:44.00]-[0:59:46.00]  ¿Y esto era cuánto éramos nosotros?
[0:59:46.00]-[0:59:48.00]  Cinco, y luego diez.
[0:59:48.00]-[0:59:50.00]  Y luego ya venía la peseta.
[0:59:50.00]-[0:59:58.00]  Cada, y de estos, un real, la peseta tenía cuatro reales.
[0:59:58.00]-[1:00:04.00]  Y cien céntimos, porque veinte y cinco céntimos era un real.
[1:00:04.00]-[1:00:09.00]  Pues cuatro por veinticinco, ¿quién tomó?
[1:00:09.00]-[1:00:11.00]  Pues eso.
[1:00:11.00]-[1:00:13.00]  Es que está muy desgastada.
[1:00:13.00]-[1:00:15.00]  Sí, sí, sí, se nota que...
[1:00:15.00]-[1:00:17.00]  Eso es que está muy desgastada, eso era cobre.
[1:00:17.00]-[1:00:20.00]  Sí, eso es cobre, no es que la res que es.
[1:00:20.00]-[1:00:21.00]  Es cobre.
[1:00:21.00]-[1:00:22.00]  Sí.
[1:00:22.00]-[1:00:29.00]  Y en las cosechas, ¿ha habido alguna cosecha porque haya llovido mucho, por una nevada?
[1:00:29.00]-[1:00:32.00]  Porque, por ejemplo, ahora de que veníamos había nieve.
[1:00:32.00]-[1:00:33.00]  Y se llovía.
[1:00:33.00]-[1:00:40.00]  Y se han estropeado por las nevadas, o una riada o algo, o un incendio.
[1:00:40.00]-[1:00:41.00]  O un apedreo.
[1:00:41.00]-[1:00:42.00]  Sí.
[1:00:42.00]-[1:00:48.00]  Eso es matemático, que se apedrea ahí, que se hiela y todo.
[1:00:48.00]-[1:00:50.00]  Y acá tiene más hielo.
[1:00:50.00]-[1:00:54.00]  Es más peor una helada que un apedreo, para mí.
[1:00:54.00]-[1:01:00.00]  Porque si era apedreo, a lo mejor pilla en esta zona y en la otra no.
[1:01:00.00]-[1:01:02.00]  Pero el hielo llega todo.
[1:01:02.00]-[1:01:05.00]  Y llega aquí, y llega allá, y llega yo.
[1:01:05.00]-[1:01:10.00]  Y para mí es peor una helada que un apedreo.
[1:01:10.00]-[1:01:11.00]  Sí.
[1:01:11.00]-[1:01:14.00]  Y aquí, antes, a ver, la iglesia.
[1:01:14.00]-[1:01:18.00]  Era muy importante, había cura todos los días.
[1:01:18.00]-[1:01:20.00]  Sí, sí, ya lo creo.
[1:01:20.00]-[1:01:23.00]  ¿Y era una figura importante del pueblo?
[1:01:23.00]-[1:01:26.00]  Hombre, claro, pues sí eran los dioses de la tierra.
[1:01:26.00]-[1:01:30.00]  Entonces, ¿se creía mejor que ustedes?
[1:01:30.00]-[1:01:32.00]  Si no, se hablaban con la...
[1:01:32.00]-[1:01:34.00]  ¿Y el cura de aquí?
[1:01:34.00]-[1:01:37.00]  ¿El cura de aquí era más gente?
[1:01:37.00]-[1:01:40.00]  ¿Se relacionaba con la gente?
[1:01:40.00]-[1:01:42.00]  Ahora son más.
[1:01:42.00]-[1:01:43.00]  Ahora, sí.
[1:01:43.00]-[1:01:45.00]  ¿Más que antes?
[1:01:45.00]-[1:01:46.00]  Sí, sí.
[1:01:46.00]-[1:01:47.00]  ¿Y ahora?
[1:01:47.00]-[1:01:48.00]  ¿Ahora?
[1:01:48.00]-[1:01:49.00]  ¿Ahora?
[1:01:49.00]-[1:01:50.00]  ¿Ahora?
[1:01:50.00]-[1:01:51.00]  ¿Ahora?
[1:01:51.00]-[1:01:52.00]  ¿Ahora?
[1:01:52.00]-[1:01:53.00]  ¿Ahora?
[1:01:53.00]-[1:01:54.00]  ¿Ahora?
[1:01:54.00]-[1:01:55.00]  ¿Ahora?
[1:01:55.00]-[1:01:56.00]  ¿Ahora?
[1:01:56.00]-[1:01:57.00]  ¿Ahora?
[1:01:57.00]-[1:01:58.00]  ¿Ahora?
[1:01:58.00]-[1:01:59.00]  ¿Ahora?
[1:01:59.00]-[1:02:00.00]  ¿Ahora?
[1:02:00.00]-[1:02:02.00]  ¿Más que antes?
[1:02:02.00]-[1:02:03.00]  Sí, sí.
[1:02:03.00]-[1:02:04.00]  Yo he conocido aquí a muchos curas.
[1:02:04.00]-[1:02:05.00]  Sí.
[1:02:05.00]-[1:02:07.00]  Bastante curas.
[1:02:07.00]-[1:02:10.00]  El primero, era el...
[1:02:10.00]-[1:02:12.00]  El que estuvo en las huelas...
[1:02:12.00]-[1:02:13.00]  Marqués.
[1:02:13.00]-[1:02:14.00]  El primero, Marqués.
[1:02:14.00]-[1:02:16.00]  Pues ya estamos mismos, como yo.
[1:02:16.00]-[1:02:18.00]  Estuvo un padrón.
[1:02:19.00]-[1:02:20.00]  Y ¿les casó?
[1:02:20.00]-[1:02:21.00]  ¿Fue el que les casó?
[1:02:21.00]-[1:02:22.00]  ¿Se casaron aquí ustedes?
[1:02:22.00]-[1:02:24.00]  Sí, Marqués no.
[1:02:24.00]-[1:02:27.00]  No, aquí fue el de Galepanta.
[1:02:27.00]-[1:02:33.88]  de la laguna gallo canta
[1:02:33.88]-[1:03:02.32]  entre los curas y la guardia civil
[1:03:02.32]-[1:03:10.40]  y hoy no tienen tanto
