[0:00:00.00]-[0:00:03.00]  No importa, ¿te apetece?
[0:34:42.00]-[0:34:44.00]  muy buen cura,
[0:34:44.00]-[0:34:46.00]  verdad que muy buen cura.
[0:34:46.00]-[0:34:48.00]  Que antes que tuviera
[0:34:48.00]-[0:34:50.00]  la amistad con un cura para
[0:34:50.00]-[0:34:52.00]  para trabajos o para
[0:34:52.00]-[0:34:54.00]  para un hospital,
[0:34:54.00]-[0:34:56.00]  para ir para el hospital
[0:34:56.00]-[0:34:58.00]  ingresar o algo.
[0:34:58.00]-[0:35:00.00]  Genial.
[0:35:00.00]-[0:35:02.00]  Sí.
[0:35:02.00]-[0:35:04.00]  Y...
[0:35:04.00]-[0:35:06.00]  ¿Y cómo era ir a misa?
[0:35:06.00]-[0:35:08.00]  ¿Era igual que ahora?
[0:35:08.00]-[0:35:10.00]  Igual.
[0:35:10.00]-[0:35:12.00]  Había
[0:35:12.00]-[0:35:14.00]  en el porno de O,
[0:35:14.00]-[0:35:16.00]  cerca de donde
[0:35:16.00]-[0:35:18.00]  donde nací yo, en un pueblo
[0:35:18.00]-[0:35:20.00]  que llaman Pillarro,
[0:35:20.00]-[0:35:22.00]  allí había misa
[0:35:22.00]-[0:35:24.00]  como si
[0:35:24.00]-[0:35:26.00]  por la mañana la de la
[0:35:26.00]-[0:35:28.00]  aurora o ya la de
[0:35:28.00]-[0:35:30.00]  tarde.
[0:35:30.00]-[0:35:32.00]  No sé.
[0:35:32.00]-[0:35:34.00]  Había misa por la mañana.
[0:35:34.00]-[0:35:36.00]  No sé si...
[0:35:36.00]-[0:35:38.00]  No me acuerdo si esa por la mañana sería la de la
[0:35:38.00]-[0:35:40.00]  aurora y la de
[0:35:40.00]-[0:35:42.00]  tarde de Espertina o alguna cosa.
[0:35:42.00]-[0:35:44.00]  Había, no en todas
[0:35:44.00]-[0:35:46.00]  las iglesias,
[0:35:46.00]-[0:35:48.00]  en todas las barrocas, en muchas
[0:35:48.00]-[0:35:50.00]  barrocas que había misa por la mañana,
[0:35:50.00]-[0:35:52.00]  a las 7 de la mañana a las 8
[0:35:52.00]-[0:35:54.00]  y a las 17.
[0:35:56.00]-[0:35:58.00]  Y luego
[0:35:58.00]-[0:36:00.00]  la de domingo
[0:36:00.00]-[0:36:02.00]  y en aquella
[0:36:02.00]-[0:36:04.00]  barroca que llamábamos, que no salían
[0:36:04.00]-[0:36:06.00]  de la iglesia.
[0:36:06.00]-[0:36:08.00]  ¿No salían de la iglesia?
[0:36:08.00]-[0:36:10.00]  No salían de la iglesia. Nunca había una misa ni nada.
[0:36:10.00]-[0:36:12.00]  Porque va...
[0:36:12.00]-[0:36:14.00]  Y todas tapadas,
[0:36:14.00]-[0:36:16.00]  con mantilla y todas tapadas.
[0:36:16.00]-[0:36:18.00]  Ahi van tapadas.
[0:36:20.00]-[0:36:22.00]  Madre mía.
[0:36:22.00]-[0:36:24.00]  O sea que ha cambiado muchísimo.
[0:36:24.00]-[0:36:26.00]  Mucho. Mucho.
[0:36:26.00]-[0:36:28.00]  Y la Guardia Civil también.
[0:36:28.00]-[0:36:30.00]  ¿Y el alcalde?
[0:36:30.00]-[0:36:32.00]  Bueno, pasa bien.
[0:36:32.00]-[0:36:34.00]  Con el alcalde quién hablaba.
[0:36:34.00]-[0:36:36.00]  A mí que me había oído.
[0:36:36.00]-[0:36:38.00]  No, ahora hablas.
[0:36:38.00]-[0:36:40.00]  Bueno, se canta muchísimo.
[0:36:40.00]-[0:36:42.00]  El alcalde y otro como tú.
[0:36:42.00]-[0:36:44.00]  Y la Guardia Civil, yo como un
[0:36:44.00]-[0:36:46.00]  chavalón, ver la Guardia Civil y
[0:36:48.00]-[0:36:50.00]  ponerte tieso.
[0:36:50.00]-[0:36:52.00]  Porque había respeto también.
[0:36:52.00]-[0:36:54.00]  Era demasiado respeto.
[0:36:54.00]-[0:36:56.00]  Y hoy no lo hay.
[0:36:56.00]-[0:36:58.00]  Hoy no hay respeto ni nada.
[0:36:58.00]-[0:37:00.00]  Mucho mejor.
[0:37:00.00]-[0:37:02.00]  Sí, mucho mejor.
[0:37:02.00]-[0:37:04.00]  Y que le va a preguntar,
[0:37:04.00]-[0:37:06.00]  ¿y había médico en el pueblo?
[0:37:06.00]-[0:37:08.00]  ¿Médico?
[0:37:08.00]-[0:37:10.00]  ¿En todos los pueblos?
[0:37:10.00]-[0:37:12.00]  ¿Que se había médico en este pueblo?
[0:37:12.00]-[0:37:14.00]  En el Concejo. Bueno, ahora sí.
[0:37:14.00]-[0:37:16.00]  Ahora bien uno.
[0:37:16.00]-[0:37:18.00]  Porque el médico siempre tuvo esa mano.
[0:37:18.00]-[0:37:20.00]  Y ahora
[0:37:20.00]-[0:37:22.00]  yo allí y él aquí.
[0:37:22.00]-[0:37:24.00]  ¿Ah, sí?
[0:37:24.00]-[0:37:26.00]  Bien el médico de la Graña que llamamos,
[0:37:26.00]-[0:37:28.00]  y Edro, el campo,
[0:37:28.00]-[0:37:30.00]  y el de la Rama General.
[0:37:30.00]-[0:37:32.00]  Bien un día aquí
[0:37:32.00]-[0:37:34.00]  al consultorio, aquí a Ruyo,
[0:37:34.00]-[0:37:36.00]  y un día cada uno.
[0:37:36.00]-[0:37:38.00]  Los lunes bien el de la
[0:37:38.00]-[0:37:40.00]  Rama General, el martes
[0:37:40.00]-[0:37:42.00]  el de la Graña,
[0:37:42.00]-[0:37:44.00]  y el miércoles
[0:37:44.00]-[0:37:46.00]  el de la Rama General.
[0:37:46.00]-[0:37:48.00]  Y...
[0:37:48.00]-[0:37:50.00]  ¿y antes?
[0:37:50.00]-[0:37:52.00]  ¿Te ponían enfermos? ¿Qué hacían?
[0:37:52.00]-[0:37:54.00]  Venían aquí a San Román.
[0:37:54.00]-[0:37:56.00]  Y los partos
[0:37:56.00]-[0:37:58.00]  ¿cómo eran?
[0:37:58.00]-[0:38:00.00]  ¿Los partos? ¿Cuándo?
[0:38:00.00]-[0:38:02.00]  Sí.
[0:38:02.00]-[0:38:04.00]  Antes, pero no me acuerdo, pero...
[0:38:04.00]-[0:38:06.00]  pero los de aquí
[0:38:06.00]-[0:38:08.00]  ya nacieron todos
[0:38:08.00]-[0:38:10.00]  en Oviedo, pero era...
[0:38:10.00]-[0:38:12.00]  antes me acuerdo que había
[0:38:12.00]-[0:38:14.00]  una comadrona que llamaba,
[0:38:14.00]-[0:38:16.00]  que parecía que era médico.
[0:38:16.00]-[0:38:18.00]  Sí, ¿y cómo? ¿Hacía?
[0:38:18.00]-[0:38:20.00]  ¿Cómo pagaba?
[0:38:20.00]-[0:38:22.00]  ¿Y se la pagaba?
[0:38:22.00]-[0:38:24.00]  No, no, no, no, no, no.
[0:38:24.00]-[0:38:26.00]  No, no, era vecina.
[0:38:26.00]-[0:38:28.00]  Bueno, pagaba
[0:38:28.00]-[0:38:30.00]  sí, ni pagaba nada, sí...
[0:38:32.00]-[0:38:34.00]  Lo que quería.
[0:38:34.00]-[0:38:36.00]  No era dinero, a lo mejor
[0:38:36.00]-[0:38:38.00]  de huevos, o manteca,
[0:38:38.00]-[0:38:40.00]  o cocinas así.
[0:38:40.00]-[0:38:42.00]  Ah, bien, bien.
[0:38:42.00]-[0:38:46.00]  Y qué le iba a decir...
[0:38:46.00]-[0:38:48.00]  ¿Los niños antes trataban
[0:38:48.00]-[0:38:50.00]  de manera distinta a los padres?
[0:38:50.00]-[0:38:52.00]  Y al revés, ¿los padres trataban
[0:38:52.00]-[0:38:54.00]  distinto a los niños de como se les
[0:38:54.00]-[0:38:56.00]  trata ahora?
[0:38:56.00]-[0:38:58.00]  No, no, no, bueno, ahora
[0:38:58.00]-[0:39:00.00]  ahora yo no puedes...
[0:39:00.00]-[0:39:02.00]  yo no puedo hacer una bofetada
[0:39:02.00]-[0:39:04.00]  a un niño, ni...
[0:39:04.00]-[0:39:06.00]  una bofetada en la cara,
[0:39:06.00]-[0:39:08.00]  una añalgada en culo,
[0:39:08.00]-[0:39:10.00]  una pataduca,
[0:39:10.00]-[0:39:12.00]  porque yo ya tengo un día de
[0:39:12.00]-[0:39:14.00]  de denunciar a los padres
[0:39:14.00]-[0:39:16.00]  de los chiquillos de ocho, diez años,
[0:39:16.00]-[0:39:18.00]  denunciar al padre o la madre
[0:39:18.00]-[0:39:20.00]  porque hay...
[0:39:20.00]-[0:39:22.00]  ¿Y antes de qué se hacía?
[0:39:22.00]-[0:39:24.00]  Y antes, pues no, a mí es respeto.
[0:39:24.00]-[0:39:26.00]  No era que te maltrataran,
[0:39:26.00]-[0:39:28.00]  porque yo se doy una bofetada
[0:39:28.00]-[0:39:30.00]  o una patada en culo
[0:39:30.00]-[0:39:32.00]  a un hijo, a una hija,
[0:39:32.00]-[0:39:34.00]  yo creo que eso es un maltrato.
[0:39:34.00]-[0:39:36.00]  O tú crees
[0:39:36.00]-[0:39:38.00]  que es un maltrato.
[0:39:38.00]-[0:39:40.00]  No, no.
[0:39:40.00]-[0:39:42.00]  Se hará poner un respeto,
[0:39:42.00]-[0:39:44.00]  y a poner un respeto,
[0:39:44.00]-[0:39:46.00]  porque se empieza a hacer tres guarrinas,
[0:39:46.00]-[0:39:48.00]  a hacer lo que quieras,
[0:39:48.00]-[0:39:50.00]  pues llegarás a chavala,
[0:39:50.00]-[0:39:52.00]  a ir por mundos,
[0:39:52.00]-[0:39:54.00]  no es que yo me voy porque me están
[0:39:54.00]-[0:39:56.00]  de tío y punto,
[0:39:56.00]-[0:39:58.00]  y yo creo que no sea así,
[0:39:58.00]-[0:40:00.00]  creo que debe haber un respeto.
[0:40:00.00]-[0:40:02.00]  No decir, oye,
[0:40:02.00]-[0:40:04.00]  que hay que ser así, así, así, así, así, así,
[0:40:04.00]-[0:40:06.00]  no,
[0:40:06.00]-[0:40:08.00]  pero tampoco decir, oye, no,
[0:40:08.00]-[0:40:10.00]  es que yo me voy porque me da la gana,
[0:40:10.00]-[0:40:12.00]  y ahora te voy a denunciar porque quiero,
[0:40:12.00]-[0:40:14.00]  porque me pegaste.
[0:40:14.00]-[0:40:16.00]  Y,
[0:40:16.00]-[0:40:18.00]  sin embargo, si haces alguna
[0:40:18.00]-[0:40:20.00]  travesura, como digo yo, mala,
[0:40:20.00]-[0:40:22.00]  que interviene la Guardia Civil
[0:40:22.00]-[0:40:24.00]  o la Justicia, entonces son los
[0:40:24.00]-[0:40:26.00]  padres, tú no.
[0:40:26.00]-[0:40:28.00]  Ya no eres mayor de edad, eres menor.
[0:40:28.00]-[0:40:30.00]  Para denunciarme a mí,
[0:40:30.00]-[0:40:32.00]  eres mayor de edad,
[0:40:32.00]-[0:40:34.00]  y puedes hacerlo.
[0:40:34.00]-[0:40:36.00]  Pero si haces
[0:40:36.00]-[0:40:38.00]  una travesura por ahí,
[0:40:38.00]-[0:40:40.00]  que intervenga la Guardia Civil,
[0:40:40.00]-[0:40:42.00]  o quien sea,
[0:40:42.00]-[0:40:44.00]  entonces ya son los padres,
[0:40:44.00]-[0:40:46.00]  ya se tienen que hacer los padres
[0:40:46.00]-[0:40:48.00]  de lo que hiciste tú.
[0:40:48.00]-[0:40:50.00]  O sea que prefieres usted como era antes.
[0:40:50.00]-[0:40:52.00]  Hombre,
[0:40:52.00]-[0:40:54.00]  en muchos casos yo creo
[0:40:54.00]-[0:40:56.00]  que sí, porque vuelvo a decir,
[0:40:56.00]-[0:40:58.00]  porque te dé un cachetazo,
[0:40:58.00]-[0:41:00.00]  o un apacado en el culo,
[0:41:00.00]-[0:41:02.00]  o una señalada en el culo, y yo creo
[0:41:02.00]-[0:41:04.00]  que ni maltratar a la hija
[0:41:04.00]-[0:41:06.00]  ni al hijo.
[0:41:08.00]-[0:41:10.00]  Yo lo veo ahora peor
[0:41:10.00]-[0:41:12.00]  así, que yo te pegue
[0:41:12.00]-[0:41:14.00]  por ejemplo, como la edad
[0:41:14.00]-[0:41:16.00]  que tienes, que no me interesa
[0:41:16.00]-[0:41:18.00]  saberlo, y te
[0:41:18.00]-[0:41:20.00]  dé un castañazo,
[0:41:20.00]-[0:41:22.00]  y me denuncias.
[0:41:22.00]-[0:41:24.00]  ¿Por qué?
[0:41:24.00]-[0:41:26.00]  ¿Por qué te pegue?
[0:41:26.00]-[0:41:28.00]  Por amor de la vida.
[0:41:28.00]-[0:41:30.00]  O sea, ¿por qué quisiera? Porque soy un maltratador.
[0:41:30.00]-[0:41:32.00]  Ya veo.
[0:41:34.00]-[0:41:36.00]  Ahí digo yo.
[0:41:38.00]-[0:41:40.00]  Te adelantamos muchísimo,
[0:41:40.00]-[0:41:42.00]  muchísimas cosas adelantamos
[0:41:42.00]-[0:41:44.00]  demasiado, y en otras
[0:41:44.00]-[0:41:46.00]  nada.
[0:41:46.00]-[0:41:48.00]  Porque yo creo que
[0:41:48.00]-[0:41:50.00]  la vergüenza y el suspeto,
[0:41:50.00]-[0:41:52.00]  yo creo que está bien en
[0:41:52.00]-[0:41:54.00]  todo, en todo
[0:41:54.00]-[0:41:56.00]  bicho viviente.
[0:41:56.00]-[0:41:58.00]  Porque un acuedo de...
[0:41:58.00]-[0:42:00.00]  de la escuela de día, 15 días,
[0:42:00.00]-[0:42:02.00]  porque éramos un montón de hermanos,
[0:42:02.00]-[0:42:04.00]  y éramos probes, y había que
[0:42:04.00]-[0:42:06.00]  había que trabajar.
[0:42:06.00]-[0:42:08.00]  ¿15 días nada más?
[0:42:08.00]-[0:42:10.00]  Más o menos, por decirlo.
[0:42:10.00]-[0:42:12.00]  Tres, cuatro meses, nada.
[0:42:12.00]-[0:42:14.00]  Y ibas a la escuela,
[0:42:14.00]-[0:42:16.00]  y cualquier persona que encontraras,
[0:42:16.00]-[0:42:18.00]  y la horneada,
[0:42:18.00]-[0:42:20.00]  como digo yo, que fuéramos,
[0:42:20.00]-[0:42:22.00]  a la escuela, buenas tardes
[0:42:22.00]-[0:42:24.00]  o buenos días, o buenos días o buenas tardes.
[0:42:24.00]-[0:42:26.00]  Y ahora,
[0:42:26.00]-[0:42:28.00]  ni hay buenos días,
[0:42:28.00]-[0:42:30.00]  ni buenas tardes, ni hay nada,
[0:42:30.00]-[0:42:32.00]  como si pasara un peazo.
[0:42:32.00]-[0:42:34.00]  Una vez, estaba yo trabajando ahí,
[0:42:34.00]-[0:42:36.00]  junto a la carretera que vendía
[0:42:36.00]-[0:42:38.00]  los padrón de aparcamiento,
[0:42:38.00]-[0:42:40.00]  y bajábamos,
[0:42:40.00]-[0:42:42.00]  un montón de chiquillos
[0:42:42.00]-[0:42:44.00]  a la escuela, y salgó el rey.
[0:42:44.00]-[0:42:46.00]  Y yo, que no se sabe,
[0:42:46.00]-[0:42:48.00]  que dicen buenas tardes.
[0:42:48.00]-[0:42:50.00]  Ah, la vez que fue ahí.
[0:42:50.00]-[0:42:52.00]  Y yo por ahí.
[0:42:54.00]-[0:42:56.00]  Sí, sí.
[0:42:56.00]-[0:42:58.00]  Si es igual que digan buenas tardes,
[0:42:58.00]-[0:43:00.00]  que no.
[0:43:00.00]-[0:43:02.00]  Pero es el respecto.
[0:43:04.00]-[0:43:06.00]  Que hoy para mí, hoy no hay.
[0:43:06.00]-[0:43:08.00]  No hay porque no lo tiene
[0:43:08.00]-[0:43:10.00]  el gobierno.
[0:43:12.00]-[0:43:14.00]  No lo tiene el gobierno.
[0:43:16.00]-[0:43:18.00]  ¿Y entonces había escuela aquí,
[0:43:18.00]-[0:43:20.00]  en el pueblo?
[0:43:20.00]-[0:43:22.00]  No.
[0:43:22.00]-[0:43:24.00]  Bueno, había un pueblo que tenía escuela
[0:43:24.00]-[0:43:26.00]  para un círculo.
[0:43:28.00]-[0:43:30.00]  Sí, aquí había escuela,
[0:43:30.00]-[0:43:32.00]  que ahora es que era un...
[0:43:32.00]-[0:43:34.00]  ¿Cuánto tiempo de venir hasta aquí?
[0:43:34.00]-[0:43:36.00]  A ver, 42,
[0:43:36.00]-[0:43:38.00]  43 años.
[0:43:38.00]-[0:43:40.00]  Y que no con eso fue cuando
[0:43:40.00]-[0:43:42.00]  concentraron, como se diga,
[0:43:42.00]-[0:43:44.00]  agruparon todos los...
[0:43:44.00]-[0:43:46.00]  todos concentraron
[0:43:46.00]-[0:43:48.00]  a un colegio.
[0:43:50.00]-[0:43:52.00]  Y aquí en este colegio
[0:43:52.00]-[0:43:54.00]  llegaron a ser
[0:43:54.00]-[0:43:56.00]  500 alumnos.
[0:43:56.00]-[0:43:58.00]  Entre...
[0:43:58.00]-[0:44:00.00]  entre...
[0:44:00.00]-[0:44:02.00]  de los tres años,
[0:44:02.00]-[0:44:04.00]  a los seis me parece,
[0:44:04.00]-[0:44:06.00]  500 y pico.
[0:44:06.00]-[0:44:08.00]  Y ahora debe de ir un
[0:44:08.00]-[0:44:10.00]  debo que va...
[0:44:10.00]-[0:44:12.00]  no llega nadie.
[0:44:12.00]-[0:44:14.00]  No llega nadie.
[0:44:14.00]-[0:44:16.00]  ¿Va a cerrar?
[0:44:16.00]-[0:44:18.00]  No, no, pero que digo yo que no me extraña.
[0:44:20.00]-[0:44:22.00]  Porque una molestia a un colegio
[0:44:22.00]-[0:44:24.00]  es que, digo, tengo miedo
[0:44:24.00]-[0:44:26.00]  que ahora cambie de miedo.
[0:44:26.00]-[0:44:28.00]  Gracias.
[0:44:30.00]-[0:44:32.00]  Sí, y...
[0:44:34.00]-[0:44:36.00]  ¿Y había mucha gente que iba a la escuela?
[0:44:36.00]-[0:44:38.00]  Sí, había, había.
[0:44:40.00]-[0:44:42.00]  Había, sí,
[0:44:42.00]-[0:44:44.00]  había mucha gente que iba.
[0:44:44.00]-[0:44:46.00]  Bueno, había...
[0:44:46.00]-[0:44:48.00]  Si ibas por la mañana,
[0:44:48.00]-[0:44:50.00]  de tarde no ibas porque tenías que limpiar las vacas.
[0:44:52.00]-[0:44:54.00]  O si ibas
[0:44:54.00]-[0:44:56.00]  por la mañana a la escuela,
[0:44:56.00]-[0:44:58.00]  te ibas a limpiar las vacas.
[0:44:58.00]-[0:45:00.00]  Si te ibas por la mañana
[0:45:00.00]-[0:45:02.00]  a limpiar las vacas,
[0:45:02.00]-[0:45:04.00]  te atardas a la escuela y...
[0:45:04.00]-[0:45:06.00]  ¿Cuándo podía?
[0:45:06.00]-[0:45:08.00]  ¿Cuándo podía?
[0:45:10.00]-[0:45:12.00]  Y otra pregunta, ¿hizo usted la mili?
[0:45:12.00]-[0:45:14.00]  ¿Hizo usted la mili?
[0:45:14.00]-[0:45:16.00]  Sí.
[0:45:16.00]-[0:45:18.00]  ¿Y dónde?
[0:45:18.00]-[0:45:20.00]  En Oviedo.
[0:45:20.00]-[0:45:22.00]  ¿Y cómo fue?
[0:45:22.00]-[0:45:24.00]  Porque servieron cuatro hermanos.
[0:45:24.00]-[0:45:26.00]  Y presentando la tarpilla de tres
[0:45:26.00]-[0:45:28.00]  hermanos yo podía elegir
[0:45:28.00]-[0:45:30.00]  sitio.
[0:45:30.00]-[0:45:32.00]  Sí.
[0:45:32.00]-[0:45:34.00]  Entonces yo se elegí para
[0:45:34.00]-[0:45:36.00]  que los pocos acerquen, me quedara de casa.
[0:45:36.00]-[0:45:38.00]  Y no, no, bien.
[0:45:38.00]-[0:45:40.00]  O sea,
[0:45:40.00]-[0:45:42.00]  quizá no la mili,
[0:45:42.00]-[0:45:44.00]  porque la mili, claro,
[0:45:44.00]-[0:45:46.00]  no era que aprendieras mucho, pero algo aprendías.
[0:45:46.00]-[0:45:48.00]  Por lo menos aprendías a comer.
[0:45:50.00]-[0:45:52.00]  Por lo menos aprendías a comer.
[0:45:52.00]-[0:45:54.00]  Porque ahora no se sabe
[0:45:54.00]-[0:45:56.00]  comer y la culpa la tenemos
[0:45:56.00]-[0:45:58.00]  los padres y los hijos.
[0:45:58.00]-[0:46:00.00]  Sí.
[0:46:00.00]-[0:46:02.00]  El niño no quiere eso,
[0:46:02.00]-[0:46:04.00]  el padre se quiere el otro, que es...
[0:46:04.00]-[0:46:06.00]  Bueno, y la abundancia que se maneja
[0:46:06.00]-[0:46:08.00]  en Oviedo.
[0:46:08.00]-[0:46:10.00]  Y primero se da un garito de pan
[0:46:10.00]-[0:46:12.00]  por decir algo, pues lo comes
[0:46:12.00]-[0:46:14.00]  y si no, bien, lo dejas.
[0:46:14.00]-[0:46:16.00]  Y ahora no.
[0:46:16.00]-[0:46:18.00]  Que se notilla, que se...
[0:46:18.00]-[0:46:20.00]  Encuentrame mi alo,
[0:46:20.00]-[0:46:22.00]  ¿ves? Y en la mili
[0:46:22.00]-[0:46:24.00]  sí se aprendía. Bueno, había los que
[0:46:24.00]-[0:46:26.00]  viníamos más torpes todavía
[0:46:26.00]-[0:46:28.00]  de los que veíamos, pero por lo menos
[0:46:28.00]-[0:46:30.00]  aprendías a comer
[0:46:30.00]-[0:46:32.00]  y a respetar algo.
[0:46:34.00]-[0:46:36.00]  Aquí de dos hijos, fue uno.
[0:46:36.00]-[0:46:38.00]  Bueno, el primero no fue porque
[0:46:38.00]-[0:46:40.00]  quiebró, porque tenía los pies planos.
[0:46:42.00]-[0:46:44.00]  Y el último,
[0:46:44.00]-[0:46:46.00]  sí, ese fue también, sí,
[0:46:46.00]-[0:46:48.00]  hizo la multa un poco normal.
[0:46:48.00]-[0:46:50.00]  ¿Ah, sí?
[0:46:50.00]-[0:46:52.00]  ¿Y qué hacían ustedes en la mili?
[0:46:52.00]-[0:46:54.00]  ¿Qué se hacía?
[0:46:54.00]-[0:46:56.00]  Pues esto, sí, hago.
[0:46:56.00]-[0:46:58.00]  ¿Y cómo era eso?
[0:46:58.00]-[0:47:00.00]  Algo con uno
[0:47:00.00]-[0:47:02.00]  que te estaba mandando
[0:47:02.00]-[0:47:04.00]  mejor al paso ligero
[0:47:04.00]-[0:47:06.00]  y marcar el paso.
[0:47:08.00]-[0:47:10.00]  Y es teórica escuchar
[0:47:10.00]-[0:47:12.00]  y después preguntarte, hacer
[0:47:12.00]-[0:47:14.00]  tus preguntas. Y a lo mejor la mitad
[0:47:14.00]-[0:47:16.00]  estábamos durmiendo y pasabas
[0:47:16.00]-[0:47:18.00]  de lo que te preguntaban,
[0:47:18.00]-[0:47:20.00]  pero después se castigaban.
[0:47:22.00]-[0:47:24.00]  Igual te ponían...
[0:47:24.00]-[0:47:26.00]  Igual estabas media hora derecho, de pie.
[0:47:26.00]-[0:47:28.00]  Estaba durmiendo, cuando te ponían.
[0:47:32.00]-[0:47:34.00]  ¿Y cuánto tiempo
[0:47:34.00]-[0:47:36.00]  estuvo usted en la mili?
[0:47:36.00]-[0:47:38.00]  Dieciséis meses.
[0:47:38.00]-[0:47:40.00]  Un poquito.
[0:47:40.00]-[0:47:42.00]  Y ni me diría de permiso.
[0:47:42.00]-[0:47:44.00]  ¿Solo?
[0:47:44.00]-[0:47:46.00]  Solo.
[0:47:46.00]-[0:47:48.00]  Porque la quinta
[0:47:48.00]-[0:47:50.00]  era de cuando la guerra...
[0:47:50.00]-[0:47:52.00]  Éramos muy pocos.
[0:47:52.00]-[0:47:54.00]  Éramos en...
[0:47:54.00]-[0:47:56.00]  No sé si éramos
[0:47:56.00]-[0:47:58.00]  cuatrocientos soldados.
[0:48:00.00]-[0:48:02.00]  Y no sé si era aquello...
[0:48:02.00]-[0:48:04.00]  Yo aquí sé lo que cogí.
[0:48:04.00]-[0:48:06.00]  Pero...
[0:48:06.00]-[0:48:08.00]  ¿Usted vivió la guerra?
[0:48:08.00]-[0:48:10.00]  No. Nací al treinta y nueve.
[0:48:10.00]-[0:48:12.00]  Pero nací
[0:48:12.00]-[0:48:14.00]  a raíz de la guerra.
[0:48:14.00]-[0:48:16.00]  De acabas de la guerra.
[0:48:16.00]-[0:48:18.00]  O sea que sí vivió la posguerra.
[0:48:18.00]-[0:48:20.00]  Sí.
[0:48:20.00]-[0:48:22.00]  ¿Y cómo era?
[0:48:22.00]-[0:48:24.00]  Bastante jodida.
[0:48:24.00]-[0:48:26.00]  Desde lo primero, bastante jodida.
[0:48:26.00]-[0:48:28.00]  Pero después...
[0:48:28.00]-[0:48:30.00]  Claro, y saliendo de una posguerra...
[0:48:30.00]-[0:48:32.00]  Pues tendrá que pasar tiempo
[0:48:32.00]-[0:48:34.00]  para ir mejorando.
[0:48:36.00]-[0:48:38.00]  La guerra que acabamos
[0:48:38.00]-[0:48:40.00]  en el treinta y ocho,
[0:48:40.00]-[0:48:42.00]  me aprecio, treinta y nueve.
[0:48:42.00]-[0:48:44.00]  En el cincuenta...
[0:48:44.00]-[0:48:46.00]  En el cincuenta y poco
[0:48:46.00]-[0:48:48.00]  ya fundaron en Cidés
[0:48:48.00]-[0:48:52.00]  a trabajar.
[0:48:52.00]-[0:48:54.00]  Y...
[0:48:56.00]-[0:48:58.00]  Y en el sesenta y...
[0:48:58.00]-[0:49:00.00]  En el sesenta y dos,
[0:49:00.00]-[0:49:02.00]  estando yo en la mili,
[0:49:02.00]-[0:49:04.00]  y los gente vio que vine de la mili,
[0:49:04.00]-[0:49:06.00]  fue cuando se hizo el campo
[0:49:06.00]-[0:49:08.00]  de mi abeición de ranón.
[0:49:10.00]-[0:49:12.00]  Entonces, pues iba...
[0:49:12.00]-[0:49:14.00]  La acción de la guerra no puede eso.
[0:49:14.00]-[0:49:16.00]  No puede haber mucha abundancia de nada,
[0:49:16.00]-[0:49:20.00]  pero después a medida que va el tiempo andando,
[0:49:20.00]-[0:49:24.00]  subiendo, pues va mejorando esto.
[0:49:26.00]-[0:49:30.00]  Y en Cidés ya está la mitad cerrada ya,
[0:49:30.00]-[0:49:32.00]  ya hay doce o quatorce años.
[0:49:36.00]-[0:49:38.00]  Y están cerrando un montón,
[0:49:38.00]-[0:49:40.00]  cerraron la fábrica de truvias,
[0:49:40.00]-[0:49:42.00]  la fábrica de cañones.
[0:49:42.00]-[0:49:44.00]  ¿La fábrica de cañones?
[0:49:44.00]-[0:49:48.00]  Y la de la beca que era igual,
[0:49:48.00]-[0:49:50.00]  están cerrando sin parar.
[0:49:52.00]-[0:49:54.00]  Y la juventud, ¿trabajar a dónde vais?
[0:49:54.00]-[0:49:56.00]  ¿Dónde vais?
[0:49:56.00]-[0:49:58.00]  Si los padres son capitalistas,
[0:49:58.00]-[0:50:00.00]  tú que tenéis cuartos.
[0:50:06.00]-[0:50:08.00]  Pero trabajo ahí por la mierda.
[0:50:08.00]-[0:50:10.00]  Pero trabajo ahí por la mierda.
[0:50:10.00]-[0:50:12.00]  Trabajo ahí por la mierda.
[0:50:14.00]-[0:50:16.00]  ¿Y usted se acuerda de cuando llegó el agua al pueblo?
[0:50:16.00]-[0:50:18.00]  ¿Cuándo llegó?
[0:50:18.00]-[0:50:20.00]  No, cuando vino para aquí a la vía,
[0:50:20.00]-[0:50:22.00]  que vendría por 40.
[0:50:22.00]-[0:50:24.00]  Vine el...
[0:50:24.00]-[0:50:26.00]  ¿Qué es el 40?
[0:50:26.00]-[0:50:28.00]  Vine el...
[0:50:34.00]-[0:50:36.00]  Acuerdos que vine el 50 y el 69.
[0:50:36.00]-[0:50:38.00]  Y el otro día,
[0:50:38.00]-[0:50:40.00]  el 50 y el 69.
[0:50:42.00]-[0:50:44.00]  El 69 es el 70.
[0:50:44.00]-[0:50:46.00]  El 69 para que vire.
[0:50:46.00]-[0:50:48.00]  Aquí ya tenía el agua.
[0:50:50.00]-[0:50:52.00]  Y luego,
[0:50:52.00]-[0:50:54.00]  donde nací,
[0:50:54.00]-[0:50:56.00]  éramos siete vecinos,
[0:50:56.00]-[0:50:58.00]  llegó a cerrarse el pueblo.
[0:50:58.00]-[0:51:00.00]  Los últimos que marcharon fueron mis hermanos.
[0:51:00.00]-[0:51:02.00]  Mis hermanos se murieron.
[0:51:02.00]-[0:51:06.00]  Y yo, de nuevo, era el más feo del suelo.
