[0:00:00.00]-[0:00:02.00]  ¿Ya está?
[0:45:00.00]-[0:45:08.00]  Sí, había, pero no, había más la parte mediana y que no pagas de mucho dinero, no te creas.
[0:45:08.00]-[0:45:12.00]  Había esos diez o doce casas que eran...
[0:45:12.00]-[0:45:21.00]  O ricos, que debían...
[0:45:21.00]-[0:45:23.00]  Ah, sí, sí, esto sí.
[0:45:23.00]-[0:45:26.00]  No había diferencia.
[0:45:26.00]-[0:45:35.00]  Lo que pasa es que los dos padres, que si veían que se juntaba una chica que no tenía dinero con un chico que tenía dinero,
[0:45:35.00]-[0:45:43.00]  pues sus padres ya... a veces no, pero normalmente era así.
[0:45:43.00]-[0:45:47.00]  Pero ahora esto ya está, ya, ya ha pasado todo esto.
[0:45:47.00]-[0:45:50.00]  A ver, ya se ve todo con más buenos ojos.
[0:45:50.00]-[0:45:53.00]  Hombre, es así.
[0:45:53.00]-[0:45:59.00]  Y el tema de las tareas de casa, supongo que este no es un trabajo exclusivo de mi madre.
[0:45:59.00]-[0:46:05.00]  De la mujer, chica, de la mujer.
[0:46:05.00]-[0:46:09.00]  Y además no como ahora, con tanta tecnología y tantos avances.
[0:46:09.00]-[0:46:11.00]  Pues sí, pues sí.
[0:46:11.00]-[0:46:14.00]  ¿Cómo era el día a día en una casa?
[0:46:14.00]-[0:46:19.00]  Ah, pues mira, el día a día ya sabías lo que tenías que hacer.
[0:46:19.00]-[0:46:22.00]  Y llegábamos a todos los sitios, ¿eh?
[0:46:22.00]-[0:46:27.00]  No te creas, que lo hacíamos todo.
[0:46:27.00]-[0:46:33.00]  Ahora no había teléfonos para pasar el rato, no había televisiones para pasar el rato.
[0:46:33.00]-[0:46:36.00]  Y si las había, mira, ya está.
[0:46:36.00]-[0:46:40.00]  Primero eran las cosas que se tenía que hacer, que era la televisión.
[0:46:40.00]-[0:46:44.00]  Y ahora no, ahora queremos ver la serie, queremos ver esto, queremos ver lo otro.
[0:46:44.00]-[0:46:46.00]  Y lo queremos todo.
[0:46:46.00]-[0:46:48.00]  Y sí tenemos que salir también.
[0:46:48.00]-[0:46:51.00]  Por esto nos dicen, ¿eh?
[0:46:51.00]-[0:46:54.00]  Aquí a medias.
[0:46:54.00]-[0:46:57.00]  ¿Usted trabajaba fuera?
[0:46:57.00]-[0:47:00.00]  ¿Y además trabajaba a ocho horas al día ahora?
[0:47:00.00]-[0:47:03.00]  Hombre, depende.
[0:47:03.00]-[0:47:08.00]  Cuando tenía la tienda, entonces solo por la mañana.
[0:47:08.00]-[0:47:13.00]  También entonces nosotros nos fuimos a vivir solos.
[0:47:13.00]-[0:47:16.00]  Pero entonces mi madre enfermó.
[0:47:16.00]-[0:47:19.00]  Nos tuvimos que quedar.
[0:47:19.00]-[0:47:26.00]  Nos casamos y nos fuimos a vivir allá en casa, en nuestra casa.
[0:47:26.00]-[0:47:32.00]  Pero nos quedábamos, como tenía la tienda, nos quedábamos a comer
[0:47:32.00]-[0:47:35.00]  a mi casa de mi madre y mi padre.
[0:47:35.00]-[0:47:41.00]  Entonces por la noche nos íbamos a casa y cenábamos a casa y ya está.
[0:47:41.00]-[0:47:46.00]  Pero bueno, entre este tiempo nació el chico.
[0:47:46.00]-[0:47:51.00]  Entonces, pues claro, quedabos aquí, quedabos aquí, quedabos aquí.
[0:47:51.00]-[0:47:53.00]  Nos quedamos allí.
[0:47:53.00]-[0:47:58.00]  Mi madre ya estaba enferma del corazón, pero se enfermó más.
[0:47:58.00]-[0:48:02.00]  Y bueno, nos tuvimos que quedar.
[0:48:02.00]-[0:48:10.00]  Entonces, pasado el tiempo, mi hijo debía tener unos ocho añitos o así.
[0:48:10.00]-[0:48:12.00]  O diez, no me acuerdo bien.
[0:48:12.00]-[0:48:19.00]  Cuando se murió mi hermano, era paleta y le cogió un...
[0:48:19.00]-[0:48:24.00]  no sé decir cómo, murió trabajando.
[0:48:24.00]-[0:48:28.00]  Mi madre pues aún más mal, la pobre.
[0:48:28.00]-[0:48:34.00]  Entonces nos tenemos que quedar a la fuerza y nos quedamos allí.
[0:48:34.00]-[0:48:43.00]  Pues y mirad, pues me llevaba el chico al colegio, lo iban a buscar.
[0:48:43.00]-[0:48:47.00]  Si convenía de darle pues el almuerzo le daban, si...
[0:48:47.00]-[0:48:51.00]  lo que convenía, porque esto pues ella lo podía hacer.
[0:48:51.00]-[0:48:55.00]  Pero yo se le dejaba todo hecho, la comida, todo.
[0:48:55.00]-[0:48:59.00]  Hasta cuando había mi hermano vivo, dejaba por día antes,
[0:48:59.00]-[0:49:06.00]  sacía la comida y mi madre no me recabía ponerla a calentar y ya está.
[0:49:06.00]-[0:49:11.00]  Porque yo llegaba más tarde que mi hermano y mi padre y mi marido.
[0:49:11.00]-[0:49:13.00]  Llegaba mucho más tarde.
[0:49:13.00]-[0:49:16.00]  Entonces pues ella se cuidaba de calentarlo.
[0:49:16.00]-[0:49:20.00]  Si no hubiera habido mi madre, igual se lo hubieran calentado ellos, supongo.
[0:49:20.00]-[0:49:21.00]  Sí, bueno, bueno.
[0:49:21.00]-[0:49:25.00]  Pero yo dejaba todo hecho.
[0:49:25.00]-[0:49:26.00]  Sí, sí, sí.
[0:49:26.00]-[0:49:30.00]  Y ella pues, pobre que no podía, no estaba bien.
[0:49:30.00]-[0:49:32.00]  Y mire.
[0:49:32.00]-[0:49:36.00]  Y por la tarde pues aprovechaba para hacer todo lo demás.
[0:49:36.00]-[0:49:39.00]  Porque la tarde no trabajaba.
[0:49:39.00]-[0:49:45.00]  Y los primeros años que tenía la tienda, por la mañana hacía la tienda
[0:49:45.00]-[0:49:51.00]  y por la tarde bajaba a las almendras.
[0:49:51.00]-[0:49:54.00]  Madre mía.
[0:49:54.00]-[0:49:57.00]  Oh, madre mía, sí, sí.
[0:49:57.00]-[0:50:04.00]  Entonces cuando llegaba a casa pues la tía, en la cena, cenábamos y me iba a dormir.
[0:50:04.00]-[0:50:09.00]  No es como ahora que nos quedamos hasta que nos queremos ir a dormir.
[0:50:09.00]-[0:50:11.00]  No, en la cena y a dormir.
[0:50:11.00]-[0:50:13.00]  Quería ir ese día.
[0:50:13.00]-[0:50:14.00]  Sí, sí, sí.
[0:50:14.00]-[0:50:17.00]  Porque mañana te tenías que levantar pronto.
[0:50:17.00]-[0:50:22.00]  Había unos conejos para llegar, unas gallinas, unas cosas antes de marcharme
[0:50:22.00]-[0:50:29.00]  y dejar las cosas, arreglar el chico para que lo llevas a niños al colegio y...
[0:50:29.00]-[0:50:32.00]  Bueno, a fin y a década de día.
[0:50:32.00]-[0:50:40.00]  ¿Y la ropa usted tuvo que vivir lo de lavar a mano, plantar con las plantas de carbón?
[0:50:40.00]-[0:50:42.00]  Sí, sí, sí. De carbón no, pero...
[0:50:42.00]-[0:50:44.00]  No llegó a la casa.
[0:50:44.00]-[0:50:49.00]  Sí, aquí está se calentaba el fuego ya. De carbón no, no tuvimos de carbón.
[0:50:49.00]-[0:50:52.00]  Ya que se calentaba el fuego, mira.
[0:50:52.00]-[0:50:54.00]  O cambia la cosa ahí.
[0:50:54.00]-[0:50:55.00]  ¿Cómo que si cambia?
[0:50:55.00]-[0:50:57.00]  Cambia, cambia.
[0:50:57.00]-[0:51:00.00]  Y ahora puedes planchar y mira.
[0:51:00.00]-[0:51:04.00]  Por entonces a veces ponías la plancha y ya está.
[0:51:04.00]-[0:51:06.00]  Y ahora podías tirar la prenda.
[0:51:06.00]-[0:51:07.00]  O sea sí.
[0:51:07.00]-[0:51:11.00]  Porque no sabías poco más o menos cuando estaba bien para planchar.
[0:51:11.00]-[0:51:13.00]  Y ahora no.
[0:51:13.00]-[0:51:17.00]  Te pones a planchar y está, buena tarde.
[0:51:17.00]-[0:51:19.00]  La vida era así.
[0:51:19.00]-[0:51:20.00]  Claro.
[0:51:20.00]-[0:51:22.00]  Y así fue.
[0:51:22.00]-[0:51:24.00]  A lo bueno se acostumbra a todo el mundo.
[0:51:24.00]-[0:51:26.00]  Hombre.
[0:51:26.00]-[0:51:30.00]  A lo bueno siempre se acostumbra la gente, a lo malo cuesta más.
[0:51:30.00]-[0:51:35.00]  Pero está bien que se sepan estas cosas porque si no, no apreciamos lo que tenemos ahora.
[0:51:35.00]-[0:51:37.00]  Es que no lo aprecia.
[0:51:37.00]-[0:51:39.00]  Hay personas que no lo aprecia.
[0:51:39.00]-[0:51:44.00]  Malgasta el dinero. Cuando veo que malgastan el dinero como lo malgastan.
[0:51:44.00]-[0:51:48.00]  Nosotros teníamos el bar de juventud.
[0:51:48.00]-[0:51:52.00]  Y no veía en aquellos tiempos, no era lo de ahora.
[0:51:52.00]-[0:52:00.00]  Me parece que lo pusimos al 84 o 83 o una cosa así.
[0:52:00.00]-[0:52:04.00]  Entonces era muy diferente de ahora, pero muy diferente.
[0:52:04.00]-[0:52:06.00]  Pero ya había la diferencia.
[0:52:06.00]-[0:52:08.00]  Había la diferencia.
[0:52:08.00]-[0:52:10.00]  Y no veía que malgastaban.
[0:52:10.00]-[0:52:13.00]  ¿Cómo malgastaban el dinero los niños?
[0:52:13.00]-[0:52:15.00]  Por Dios.
[0:52:15.00]-[0:52:17.00]  ¿Cómo puede ser esto?
[0:52:17.00]-[0:52:19.00]  ¿Cómo puede ser?
[0:52:19.00]-[0:52:24.00]  Y ahora aún se ha empeorado, pero la tira de veces más.
[0:52:24.00]-[0:52:30.00]  O sea, ahora ha empeorado en una cosa desexagerada ya.
[0:52:30.00]-[0:52:33.00]  No es que veas un niño pequeño así.
[0:52:33.00]-[0:52:37.00]  No ve ni lo que tiene al delante cuando camina.
[0:52:37.00]-[0:52:40.00]  Todos van así, así, así, y todo el rato así.
[0:52:40.00]-[0:52:42.00]  Ya digo, está bien. Está bien.
[0:52:42.00]-[0:52:46.00]  Y ahora se acostumbran los mayores, eh.
[0:52:46.00]-[0:52:49.00]  Ojo.
[0:52:49.00]-[0:52:55.00]  Hace muchos días que fui a ver una amiga mía enferma.
[0:52:55.00]-[0:52:58.00]  Bueno, habían operado.
[0:52:58.00]-[0:52:59.00]  Llego allí.
[0:52:59.00]-[0:53:00.00]  ¿Qué? ¿Cómo estás?
[0:53:00.00]-[0:53:01.00]  Bien, bien.
[0:53:01.00]-[0:53:02.00]  Estoy bien.
[0:53:02.00]-[0:53:03.00]  Vale.
[0:53:03.00]-[0:53:04.00]  Su marido.
[0:53:04.00]-[0:53:05.00]  Allí.
[0:53:05.00]-[0:53:07.00]  ¡Qué, qué, qué, qué, qué!
[0:53:07.00]-[0:53:08.00]  ¡Hola!
[0:53:08.00]-[0:53:09.00]  ¡Hola!
[0:53:09.00]-[0:53:12.00]  ¡Qué, qué, qué, qué!
[0:53:12.00]-[0:53:13.00]  El cuño.
[0:53:13.00]-[0:53:17.00]  El cabo del rato sale la hija.
[0:53:17.00]-[0:53:19.00]  Se pone allí con su padre también.
[0:53:19.00]-[0:53:21.00]  ¡Qué, qué, qué, qué, qué!
[0:53:21.00]-[0:53:23.00]  Sí, sí, sí, sí.
[0:53:23.00]-[0:53:30.00]  Bueno, el cabo del rato llega su cuñada.
[0:53:30.00]-[0:53:31.00]  ¡Hola!
[0:53:31.00]-[0:53:32.00]  ¡Bones, bones, bones!
[0:53:32.00]-[0:53:33.00]  ¿Cómo estás?
[0:53:33.00]-[0:53:34.00]  ¿Qué haces?
[0:53:34.00]-[0:53:35.00]  Bien.
[0:53:35.00]-[0:53:36.00]  Bueno, se sienta al lado.
[0:53:36.00]-[0:53:39.00]  Y también llevaba móviles.
[0:53:39.00]-[0:53:45.00]  Sí, porque ves, ves, ahora te mando esto, te mando lo otro, ¿qué tal?
[0:53:45.00]-[0:53:48.00]  Total.
[0:53:48.00]-[0:53:50.00]  Llega el vierno.
[0:53:50.00]-[0:53:51.00]  También.
[0:53:51.00]-[0:53:54.00]  Se sienta y hable.
[0:53:54.00]-[0:53:56.00]  Está bien.
[0:53:56.00]-[0:54:00.00]  Estaba yo allí que había ido de visita.
[0:54:00.00]-[0:54:02.00]  Está bien.
[0:54:02.00]-[0:54:05.00]  Y ella decía, ¿qué caso te hacen, eh?
[0:54:05.00]-[0:54:06.00]  Sí, sí, sí.
[0:54:06.00]-[0:54:07.00]  Me hacen un caso.
[0:54:07.00]-[0:54:11.00]  Pero bueno, eh, pues dicen esto, esto es horrible esto.
[0:54:11.00]-[0:54:12.00]  Pues bien, ahí te toco.
[0:54:12.00]-[0:54:13.00]  Sí.
[0:54:13.00]-[0:54:23.00]  Y te digo que son, a mi hija tienen unos 70 años, no, pero los unos sí, por los otros
[0:54:23.00]-[0:54:26.00]  que tengan 60, 2 o por ahí.
[0:54:26.00]-[0:54:28.00]  Después la hija queda más joven.
[0:54:28.00]-[0:54:31.00]  Ella ya no, digo, y el marido.
[0:54:31.00]-[0:54:34.00]  Pero esto es horrible en una familia.
[0:54:34.00]-[0:54:40.00]  Yo me acuerdo que nos sentábamos a la mesa a comer, hablábamos.
[0:54:40.00]-[0:54:42.00]  Ahora no habla nadie.
[0:54:42.00]-[0:54:46.00]  Entro acá abajo, la tele.
[0:54:46.00]-[0:54:50.00]  Lo que dicen, Allen, Volker, Allen.
[0:54:50.00]-[0:54:52.00]  Siempre igual.
[0:54:52.00]-[0:54:54.00]  Después tienen un rato.
[0:54:54.00]-[0:54:56.00]  Clic, clic, clic, clic, clic, clic.
[0:54:56.00]-[0:55:00.00]  Yo esto, esto lo encuentro horrible.
[0:55:00.00]-[0:55:02.00]  Lo encuentro horrible esto ya.
[0:55:02.00]-[0:55:08.00]  Hoy no hay familia porque no hablas, no hablas.
[0:55:08.00]-[0:55:16.00]  Hay una amiga mía que han hecho una casa nueva y el marido comen, tiene una cocina
[0:55:16.00]-[0:55:18.00]  muy grande y comen a la cocina.
[0:55:18.00]-[0:55:24.00]  Y le dijo, aquí prohibido poner ninguna tele.
[0:55:24.00]-[0:55:27.00]  Y no han puesto la tele.
[0:55:27.00]-[0:55:31.00]  La tele, el que quiera ver la tele que se vaya al comedor.
[0:55:31.00]-[0:55:33.00]  Y si no que se vaya a la habitación.
[0:55:33.00]-[0:55:35.00]  Pero aquí no quiero tele.
[0:55:35.00]-[0:55:37.00]  Y no la tienen, eh.
[0:55:37.00]-[0:55:41.00]  Y siempre lo dice, oye qué razón tenía, que al menos hablamos.
[0:55:41.00]-[0:55:43.00]  Al menos hablamos.
[0:55:43.00]-[0:55:49.00]  Aún hay alguno que saca el móvil, pero dice al menos hablamos.
[0:55:49.00]-[0:55:51.00]  Y esto es verdad, es verdad.
[0:55:51.00]-[0:55:54.00]  La familia no se comunica así.
[0:55:54.00]-[0:55:56.00]  Es verdad.
[0:55:56.00]-[0:55:59.00]  Y lo bonito es que comuniques las cosas, que expliques.
[0:55:59.00]-[0:56:04.00]  Porque tú dices, a ver si me acordaré que les explicaré esto.
[0:56:04.00]-[0:56:06.00]  Que salgo a comprar o algo.
[0:56:06.00]-[0:56:09.00]  Si llegas a casa te pones a comer.
[0:56:09.00]-[0:56:13.00]  Y mira qué dicen, mira.
[0:56:13.00]-[0:56:15.00]  Dale, dale, dale, dale.
[0:56:15.00]-[0:56:17.00]  ¿Qué haces?
[0:56:17.00]-[0:56:18.00]  Ya se te va.
[0:56:18.00]-[0:56:20.00]  Ya no explicas nada.
[0:56:20.00]-[0:56:24.00]  O veo una cosa que dices, bueno, tengo que preguntar esto o hacer esto.
[0:56:24.00]-[0:56:26.00]  No lo haces.
[0:56:26.00]-[0:56:32.00]  No lo haces porque ya te quita la cosa de la cabeza.
[0:56:32.00]-[0:56:35.00]  Es muy diferente todo.
[0:56:35.00]-[0:56:45.00]  Yo soy vieja y no puedo decir esto que lo encuentro porque es normal que lo encuentre raro,
[0:56:45.00]-[0:56:47.00]  tanta diferencia.
[0:56:47.00]-[0:56:48.00]  ¿Y esto qué?
[0:56:48.00]-[0:56:50.00]  He subido con la juventud, ya te digo.
[0:56:50.00]-[0:56:53.00]  He subido con la juventud y me encanta la juventud.
[0:56:53.00]-[0:56:55.00]  Me encanta.
[0:56:55.00]-[0:56:58.00]  Me encanta yo la juventud.
[0:56:58.00]-[0:57:08.00]  Porque si tuvieras, cuando voy para la calle, todos me dicen, Dios, Dios, porque os quiero mucho.
[0:57:08.00]-[0:57:15.00]  Porque los subimos de pequeñitos, muchos, ya se han hecho mayores y a mí me gusta mucho la juventud.
[0:57:15.00]-[0:57:18.00]  Mucho.
[0:57:18.00]-[0:57:32.00]  Estoy acostumbrada porque he vivido varias cosas con ellos, pero encuentro que no hay...
[0:57:32.00]-[0:57:45.00]  Sí que son, mira, las hijas de mis amigos, los hijos, todos, hijos, hijas, los míos, los amigos míos.
[0:57:45.00]-[0:57:55.00]  A lo mejor es que yo me he quedado viuda hace 13 años y por decir algo me han mimado más.
[0:57:55.00]-[0:58:02.00]  Pero cuando me ven, lo que hacen ellos, nunca me lo había hecho vi.
[0:58:02.00]-[0:58:03.00]  Ya.
[0:58:03.00]-[0:58:07.00]  Son los abranos, son los besos.
[0:58:07.00]-[0:58:16.00]  Y esto yo, esto, pero sí, los chicos muy bien, el conocimiento y tal.
[0:58:16.00]-[0:58:24.00]  Pero yo reconozco que esos hijos que ahora suben de ellos, ya no son tampoco iguales.
[0:58:24.00]-[0:58:31.00]  Porque con ellos, cuando eran pequeños, íbamos a comer la mona, el panto rascuán,
[0:58:31.00]-[0:58:37.00]  íbamos a hacer alguna comida al campo y no hacían lo que hacen ahora.
[0:58:37.00]-[0:58:39.00]  No lo hacían.
[0:58:39.00]-[0:58:41.00]  No.
[0:58:41.00]-[0:58:50.00]  Y estos chicos, los críos estos que ahora tienen 30 y pico de años ya, pues son fabulosos.
[0:58:50.00]-[0:58:57.00]  Ahora, pasan también de los padres, lo que hacen ellos yo no lo he hecho nunca.
[0:58:57.00]-[0:59:01.00]  Ellos también, mira mamá, toma crío, toma.
[0:59:01.00]-[0:59:02.00]  ¿Qué?
[0:59:02.00]-[0:59:08.00]  Mira nos quedamos a comer hoy, mira, mira, vamos, vamos, nos vamos por ahí.
[0:59:08.00]-[0:59:12.00]  Esto tampoco, tampoco.
[0:59:12.00]-[0:59:22.00]  Yo ya sé que si se los dejan, ellos están jodiendo, sí, pero tampoco a veces abusan, abusan.
[0:59:22.00]-[0:59:25.00]  Hipotecan, hipotecan.
[0:59:25.00]-[0:59:34.00]  Y caro Luis, suerte, y suerte, que estos hijos han nacido a los 24, 25 años.
[0:59:34.00]-[0:59:46.00]  Como han nacido los 24, 25 años, han podido criarlos hasta ahora que tienen unos 60, bien,
[0:59:46.00]-[0:59:51.00]  lo han sobrevivido bien los de estos críos que han tenido y tal.
[0:59:51.00]-[1:00:00.00]  Y ahora los que se casan y tienen los hijos que se van a 35 y 38 años estos, los abuelos
[1:00:00.00]-[1:00:05.00]  los hipotecan la vida, los hipotecan la vida total, total.
[1:00:05.00]-[1:00:13.00]  Y en la calle hay tres matrimonios, un paquete, un paquete, un paquete, un paquete, un paquete,
[1:00:13.00]-[1:00:21.00]  un paquete, un paquete, un paquete, un paquete, un paquete, un paquete, un paquete.
[1:00:21.00]-[1:00:23.00]  Y los de aquí...
[1:00:23.00]-[1:00:31.00]  Siempre los críos van para aquí y para allá, los críos viven afuera, las casas viven afuera,
[1:00:31.00]-[1:00:37.00]  en Barcelona, uno en Barcelona y otro a...
[1:00:37.00]-[1:00:44.00]  La niña, hoy la niña, vacaciones, va, 15 días para casa de la mama, va, 15 días,
[1:00:44.00]-[1:00:57.00]  se aburren. La casa de más amigas, dos críos, un año se llevan, la una pequeñita así,
[1:00:57.00]-[1:01:06.00]  la otra, venga, ah, y aquí, la primera porque había una sola y mire, entonces llegó la
[1:01:06.00]-[1:01:15.00]  pequeña, entonces, pequeña y grande, está bien, se nabucen, se nabucan mucho, hipotecas,
[1:01:15.00]-[1:01:24.00]  no tienes de decir pues disfruto ya que ahora ya estoy jubilado, pues disfruto y voy a los
[1:01:24.00]-[1:01:32.00]  sitios, no, ya, no hace mucho, la otra vez, vamos a hacer la chapa, van a hablar, hablamos
[1:01:32.00]-[1:01:42.00]  de todo esto, hablamos de todo esto, es verdad, pasa esto, pasa esto, preguntaba también
[1:01:42.00]-[1:01:53.00]  qué os parece, parece esto, que no es así, los padres también, son malos, son malos,
[1:01:53.00]-[1:02:02.00]  son malos y nosotros cuando teníamos el niño a casa nos salíamos, pudíamos salir un rato
[1:02:02.00]-[1:02:14.00]  dar una vuelta, y ahora sale para todas partes, nosotros nos quedábamos a casa, y no te
[1:02:14.00]-[1:02:20.36]  y no te sabía mal, ¿no? de quedarte en casa, pasaba nada. Ahora no, ahora si quieren matarte
[1:02:20.36]-[1:02:29.36]  se matan. Toma, a la abuela, venga va. Algo llevarán allí un paquete. Sí, es que es así.
[1:02:29.36]-[1:02:38.36]  Que vayan, que se vuelvan, que se vuelvan a buscar el diente y laborenes, a hora de
[1:02:38.36]-[1:02:44.36]  que tampoco más o menos. ¿A qué hora va a irse? Son tres cuartos de muy tarde. Sí, sí.
[1:02:44.36]-[1:02:48.36]  Pues bueno, ya te digo la cosa, cómo está.
[1:02:52.36]-[1:03:00.36]  ¿Me has contado? ¿Las realidades del vida? Sí, es que es así. ¿Lo que es? ¿Han dicho
[1:03:00.36]-[1:03:08.36]  lo que es? Lo que ha pasado, a menos desde que yo te he conocido bien. Lo que ha pasado
[1:03:08.36]-[1:03:18.36]  y lo que está pasando y que no vaya más aún, eh. Espera tú. Ahora también encuentro
[1:03:18.36]-[1:03:25.36]  yo que la juventud no lo encuentro bien lo que hacen ahora, pero por otra parte lo encuentro
[1:03:25.36]-[1:03:35.36]  muy bien. Muy bien. Que antes allí estaban los resguardaritos. Ojo, ojo que si había
[1:03:35.36]-[1:03:45.36]  las... Ay, la casada tenía el niño grande, eh, y mi marido era muy de la broma. Sí,
[1:03:45.36]-[1:03:56.36]  me sentaba. Yo, porque delante de los padres no. Tenía el niño grande, mayor ya. Me sentaba
[1:03:56.36]-[1:04:06.36]  en una butanga. Sí, mi madre. Se habrá sentado al otro lado. Ya me decía... Me ha faltado
[1:04:06.36]-[1:04:09.36]  un poquito para arriba, la pata.
[1:04:09.36]-[1:04:24.36]  A veces no le hacía caso. No me daba cuenta, me daba de verlo. ¿Qué haces?
[1:04:26.36]-[1:04:33.36]  Supricio, eh. Pues ahora yo lo que están haciendo nosotros no sé lo que hacen y ni
[1:04:33.36]-[1:04:44.36]  me importa. Pues de una parte me hace mucha gracia porque yo pienso, todo esto que se
[1:04:44.36]-[1:04:54.36]  llevan por delante, que nosotros allí resguardaritos hasta el día, allí quietitos, que no había
[1:04:54.36]-[1:05:01.36]  nada que hacer, ahora disfrutáis de la vida y que pase lo que pase, todo esto que lleváis
[1:05:01.36]-[1:05:11.36]  por delante. Digo, sí. ¿Y cómo lo veo? Que son demasiado jóvenes a veces, que se
[1:05:11.36]-[1:05:20.36]  pasan un montón, pero cuando uno es más mayor, ya, pienso, pues bueno, todo esto que
[1:05:20.36]-[1:05:30.36]  se llevan. Eso sí. A nosotros, ves, ahora que nosotros podíamos estar muy bien, que
[1:05:30.36]-[1:05:38.36]  la vida me da la real gana de decir que nunca nos discutimos por nada, nada, nada.
[1:05:38.36]-[1:05:41.36]  Si se lo creéis bien, y si no también.
[1:05:41.36]-[1:05:52.36]  Ahora que volvíamos a estar libres, que decía, bueno, el año que viene me jubilaré en
[1:05:52.36]-[1:06:04.36]  julio. En septiembre ya teníamos la intención de dejar el día. Y qué bien después. Ay,
[1:06:04.36]-[1:06:13.36]  qué bien. O sea, la cosa suelta. Sí, sí, sí. Y solo los años en julio, en primeros
[1:06:13.36]-[1:06:24.36]  de julio. En agosto no se encontraba muy bien. A finales de agosto no terminaba de ponerse
[1:06:24.36]-[1:06:33.36]  bien. Fuimos a Lérida el día 3 por unas pruebas en septiembre. Entramos por la mañana
[1:06:33.36]-[1:06:41.36]  a las pruebas y a la tarde estábamos ingresados. Y el día 9 de octubre ya estábamos todos.
[1:06:41.36]-[1:06:48.36]  Y piensas, ¿para qué todo esto? ¿Para qué? Ahora que podíamos estar bien. Ir a los sitios
[1:06:48.36]-[1:06:55.36]  los dos. Pero la vida es lo que tiene. Por esto te digo que aprovechar. Sí. Aprovechar
[1:06:55.36]-[1:07:05.36]  que las cosas vienen solas. Y a mí ya te digo, la ruedad me encanta. Y todo una vez.
[1:07:05.36]-[1:07:14.36]  Y pasa una de esas. Sí. ¿Y ahora su día a día aquí en el pueblo cómo...? Mi día
[1:07:14.36]-[1:07:23.36]  a día. Estoy feliz. Bueno, feliz. Entre comillas. La feliz es que mi hermana te quiera. Mi marido.
[1:07:23.36]-[1:07:30.36]  Pero esto no puede ser. Pues bueno. El día a día, pues mira, me levanto por la mañana.
[1:07:30.36]-[1:07:39.36]  Más bien temprano, porque me gusta estar en la cama. Hago lo que tengo que hacer. Regar
[1:07:39.36]-[1:07:47.36]  las plantas, barrer la calle, tengo que pasar valleta a paso valleta, lo que sea. Cuando
[1:07:47.36]-[1:08:00.36]  yo me parece hago almuerzo. No, almuerzo. Desayuno. Entonces me voy y me hago unos masajes. Media
[1:08:00.36]-[1:08:08.36]  hora. Buenas tardes. Buenas tardes. Después cojo, me voy a andar tres cuartos, una horita,
[1:08:08.36]-[1:08:17.36]  andar. Y después vuelvo a casa. Si tengo que ir a comprar alguna cosa y vuelvo a casa.
[1:08:17.36]-[1:08:23.36]  No voy de prisa. Cuando llego, llego. Porque cuando no me espera nadie, pues cuando llego,
[1:08:23.36]-[1:08:37.36]  llego. Me hago un poquito de comida. ¿Cómo? Cuando termino, pues si quiero.
[1:08:37.36]-[1:08:41.36]  Si quieres arreglar los platos, arreglas, lo que tienes que arreglar. Ya está. Pongo
[1:08:41.36]-[1:08:55.36]  un ratito para llevar la tele. Entonces cuando me parece, me cambio y mira, aquí. Un par
[1:08:55.36]-[1:09:08.36]  de horas. Estuve ya y ya salí. ¿Ojuntamos? Muchos me sonan por todos los cuartos y dos.
[1:09:08.36]-[1:09:16.36]  Entonces, voy a una casa, bueno, a Aurea dejo algún día. El año pasado una vecina
[1:09:16.36]-[1:09:28.36]  de mi calle. Y su hermano solos. Y resulta que tuvieron un accidente. Y mira, día 19
[1:09:28.36]-[1:09:36.36]  de noviembre. Y desde que tuvieron un accidente hasta este verano, yo cada día cuando salía
[1:09:36.36]-[1:09:43.36]  de aquí, me iba ya. Me estaba una hora, una hora y media, a hacerle compañía. Porque
[1:09:43.36]-[1:09:50.36]  del accidente, no se murió del accidente, pero se murió. En enero ya se murió su
[1:09:50.36]-[1:09:58.36]  hermano. Se ha quedado sola. Y ahora pues no voy tanto. Voy un día de tanto en tanto,
[1:09:58.36]-[1:10:05.36]  ya no voy tanto. Ahora ya se ha puesto irá un poco más bien. Y mira, ahora hay días
[1:10:05.36]-[1:10:11.36]  que también vuelvo a caminar ahora, cuando terminamos, que ahora es hora de terminar.
[1:10:11.36]-[1:10:16.36]  Vamos con una amiga aquí que puede... Vamos a dar la vuelta, otra vez a caminar y a
[1:10:16.36]-[1:10:22.36]  ir a casa. Entonces también ceno, me pongo allí a ver la televisión un rato y cuando
[1:10:22.36]-[1:10:32.36]  me canso, resumir. Mi vida, nada más. Mañana me levantaré, me iré a misa. Después me
[1:10:32.36]-[1:10:39.36]  pasaré al bar con las amigas, a hacer un portado. Después a casa, a comer. Mañana
[1:10:39.36]-[1:10:47.36]  tengo las amigas a comer. Bueno, los amigos. Mañana comemos en casa. Y eso, por la tarde,
[1:10:47.36]-[1:10:51.36]  pues pasaremos la tarde y bien estaremos con los amigos.
[1:10:51.36]-[1:10:55.36]  ¿Y tiene usted costumbre entonces de ir a misa todos los domingos?
[1:10:55.36]-[1:10:56.36]  Sí, sí.
[1:10:56.36]-[1:10:58.36]  Desde pequeñita, claro.
