[0:00:00.00]-[0:00:04.00]  ¿Aquí hacían matanza?
[0:46:07.00]-[0:46:09.00]  Y pues a beber.
[0:46:11.00]-[0:46:13.00]  ¿Y de qué color sale la cidra?
[0:46:13.00]-[0:46:14.00]  Depende, ¿no?
[0:46:14.00]-[0:46:18.00]  No, la cidra suele salir siempre del mismo color, tiene un tono así...
[0:46:18.00]-[0:46:20.00]  ¿No depende de la manzana?
[0:46:20.00]-[0:46:25.00]  Bueno, normalmente la cidra para que salga buena tiene que tener varias manzanas.
[0:46:25.00]-[0:46:30.00]  No precisamente con una manzana sola de una clase sale bien.
[0:46:30.00]-[0:46:35.00]  Porque yo tengo ahí un manzanal que daba manzanes agres, no hay más agres.
[0:46:35.00]-[0:46:38.00]  Hicimos para hacerlo dulce.
[0:46:38.00]-[0:46:45.00]  Contando que nos iba a salir dulce y salieron como las manzanas, agres, que no pudimos tomar.
[0:46:45.00]-[0:46:50.00]  Y normalmente mezclan, eh. Mezclan las manzanas con...
[0:46:50.00]-[0:46:56.00]  ¿Pero son las manzanas que no se pueden comer habitualmente o son manzanas de peor calidad?
[0:46:56.00]-[0:46:58.00]  Aquí se echan todas.
[0:46:58.00]-[0:47:05.00]  Oye, si unes pocas siempre dejas, yo por ejemplo aquí siempre tenemos manzanas.
[0:47:05.00]-[0:47:10.00]  Y las que no, pues yo cojo unos pocos para tenerles aquí en casa.
[0:47:10.00]-[0:47:15.00]  Y las otras pues se cogen y se me hacen cidra.
[0:47:15.00]-[0:47:20.00]  Que tenemos pocos ahora ya porque van acabando las manzanas.
[0:47:20.00]-[0:47:23.00]  ¿Y el zumo de la manzana no?
[0:47:23.00]-[0:47:29.00]  No. El zumo de la manzana es lo primero que sale de la manzana cuando se hace.
[0:47:29.00]-[0:47:35.00]  Y eso es el mostum. Pero claro, esto de las cidras al natural completamente.
[0:47:35.00]-[0:47:38.00]  ¿Y por qué cidra y no mostum?
[0:47:38.00]-[0:47:41.00]  Siempre lo que hay aquí ha sido la cidra, ¿no?
[0:47:41.00]-[0:47:48.00]  Sí, sí. Aquí el mostum... Bueno, el mostum lo hacen en las fábricas, en el Gaiterú y en esos sitios...
[0:47:48.00]-[0:47:52.00]  La mesa del Gaiterú, uno la conoce ahí, la fábrica del Gaiterú.
[0:47:52.00]-[0:47:53.00]  Sí, está mal.
[0:47:53.00]-[0:47:55.00]  Pero esa está malísima, eh.
[0:47:55.00]-[0:47:59.00]  Que no está buena. Que yo creo que está más rica la de casa, ¿no?
[0:47:59.00]-[0:48:02.00]  Bueno, la de casa siempre es de casa.
[0:48:02.00]-[0:48:05.00]  Lo de casa no tiene nada.
[0:48:05.00]-[0:48:10.00]  Y lo comprado siempre tiene alguna cosa de...
[0:48:10.00]-[0:48:16.00]  que parezca... que no sienta como lo de casa.
[0:48:16.00]-[0:48:21.00]  Porque eso al Gaiterú parece que le ponen gas, ¿no? No es natural.
[0:48:21.00]-[0:48:31.00]  Bueno, lo que pasa es que en el Gaiterú tienen cidra natural, cidra, cidra, y tienen después la cidra champanada también,
[0:48:31.00]-[0:48:37.00]  y tienen la cidra del Gaiterú que llamamos que lleve con burbujas, que no lleve cidra de descansear,
[0:48:37.00]-[0:48:42.00]  como por ejemplo lo que tenemos aquí, o...
[0:48:45.00]-[0:48:48.00]  ¿Y aquí había leña o...?
[0:48:48.00]-[0:48:49.00]  Sí, sí, leña.
[0:48:49.00]-[0:48:52.00]  ¿Y quién? ¿Cómo...? ¿Se iba por leña al monte?
[0:48:52.00]-[0:48:57.00]  Se iba al monte por leña. Papá tenía un carro con las vacas y lo traían en un carro.
[0:48:57.00]-[0:48:59.00]  Y como papá, pues todos...
[0:48:59.00]-[0:49:01.00]  ¿Y cortaba él o...?
[0:49:01.00]-[0:49:06.00]  Sí, sí. Lo cortaban y lo... quizá a la cocida.
[0:49:06.00]-[0:49:09.00]  ¿Pero cualquier árbol o había algún árbol...?
[0:49:09.00]-[0:49:12.00]  Bueno, pues siempre había algún árbol que cortaba.
[0:49:12.00]-[0:49:14.00]  Papá hacía madrenas también.
[0:49:14.00]-[0:49:15.00]  ¿Ah, sí?
[0:49:15.00]-[0:49:16.00]  Sí.
[0:49:16.00]-[0:49:18.00]  ¿Y qué madera era mejor para las madrenas?
[0:49:18.00]-[0:49:19.00]  Madreña.
[0:49:19.00]-[0:49:24.00]  Pues para las madrenas él cortaba el aliso y el abedul, mucho.
[0:49:24.00]-[0:49:28.00]  Algo de nogal, pero nogal había poco también,
[0:49:28.00]-[0:49:35.00]  pero el aliso y el abedul era lo que más usaba él para hacer las madrenas.
[0:49:35.00]-[0:49:39.00]  ¿Qué árbol es el que aquí llaman el humeru? ¿Sabe usted?
[0:49:39.00]-[0:49:40.00]  El humeru.
[0:49:40.00]-[0:49:42.00]  Sí. No, aquí no hay. Aquí no.
[0:49:42.00]-[0:49:45.00]  El que va de sella, el aliso y el abedul.
[0:49:45.00]-[0:49:47.00]  El humeru no me suena.
[0:49:47.00]-[0:49:49.00]  ¿Y el plágano?
[0:49:49.00]-[0:49:50.00]  El plágano.
[0:49:50.00]-[0:49:51.00]  ¿El plágano?
[0:49:51.00]-[0:49:52.00]  Sí, el plágano sí.
[0:49:52.00]-[0:49:53.00]  ¿Ese cuál es?
[0:49:53.00]-[0:49:58.00]  Pues es un árbol bastante blanco, pero no te sé decir. Hay pocos ahora.
[0:49:58.00]-[0:49:59.00]  ¿Aquí tampoco hay?
[0:49:59.00]-[0:50:05.00]  Sí, a ver si hay. Además ahora no dejan cortarlos.
[0:50:05.00]-[0:50:06.00]  ¿No?
[0:50:06.00]-[0:50:11.00]  Mi hermano plantó ahora mismo, bueno ahora mismo, ahora tres meses,
[0:50:11.00]-[0:50:16.00]  un monte que teníamos ahí y él quería limpiarlo de los árboles esos,
[0:50:16.00]-[0:50:22.00]  los abedules y los alisos y algún plágono y algún roble. También hay robles.
[0:50:22.00]-[0:50:24.00]  Y no lo dejaron.
[0:50:24.00]-[0:50:25.00]  ¿Por qué?
[0:50:25.00]-[0:50:32.00]  Porque son árboles atóctonos y no los dejan cortar.
[0:50:32.00]-[0:50:37.00]  Lo dejaron plantarlo, pero plantarlo sin quitarlo sueltos.
[0:50:37.00]-[0:50:40.00]  Pero es peligroso porque puede haber fuego.
[0:50:40.00]-[0:50:47.00]  Ya, pero no lo dejaron quitarlo. Tuvo que plantarlo por donde no había nadie,
[0:50:47.00]-[0:50:53.00]  es que hubieron muchos porque nosotros ahí teníamos, porque aquí en este pueblo había muchísimos castañeres,
[0:50:53.00]-[0:50:56.00]  pero se secaron todos desde hace muchos años.
[0:50:56.00]-[0:51:02.00]  Viene una peste que acabó con... y después lo plantaron todo los calitos.
[0:51:02.00]-[0:51:04.00]  Aquí estamos rodados los calitos.
[0:51:04.00]-[0:51:06.00]  Pero los calitos no son buenos, ¿no?
[0:51:06.00]-[0:51:11.00]  Y los abuelos no son buenos. Es una cosa que no me gusta.
[0:51:11.00]-[0:51:15.00]  ¿Y de qué madera entonces dice que su padre hacía el alice y el abedule?
[0:51:15.00]-[0:51:16.00]  Sí, el alice y el abedule.
[0:51:16.00]-[0:51:21.00]  ¿Y por qué esa madera y no otra? ¿Era de alguna forma especial?
[0:51:21.00]-[0:51:27.00]  No sé si sería lo que abundaba o sería que era muy apropiada.
[0:51:27.00]-[0:51:30.00]  Igual te comen la avispa esa.
[0:51:30.00]-[0:51:32.00]  No creo.
[0:51:32.00]-[0:51:36.00]  No, no, si no le haces nada no pasa nada.
[0:51:36.00]-[0:51:43.00]  Ahora si te posan... si tropiezas de ella, sí puede que te...
[0:51:43.00]-[0:51:49.00]  Por ejemplo, ¿reconocería, era una madera dice más apropiada la de erizo porque era más fuerte?
[0:51:49.00]-[0:51:52.00]  Sí, sería porque no sé, eso ya no te lo sé explicar.
[0:51:52.00]-[0:51:58.00]  Yo sé que él trabajaba mucho en esa madera, con el alice y con el abedule.
[0:51:58.00]-[0:52:01.00]  ¿Y usted sabría reconocer una y otra o no?
[0:52:01.00]-[0:52:03.00]  Sí, en la madera sí.
[0:52:03.00]-[0:52:05.00]  ¿Por qué la reconocería?
[0:52:05.00]-[0:52:09.00]  Bueno, por la corteza, por todo.
[0:52:09.00]-[0:52:12.00]  ¿Y el color también a lo mejor?
[0:52:12.00]-[0:52:19.00]  Bueno, el color también, no sé, no sé, que ya tiene ahí leña y se ve.
[0:52:19.00]-[0:52:24.00]  ¿Y la leña, según cortaban la leña, podía usarse para tizar o había que...?
[0:52:24.00]-[0:52:33.00]  Bueno, era mejor seco que secara porque tiraba mejor la cocina, calentaba más.
[0:52:33.00]-[0:52:40.00]  Siempre se solía tener, nosotros tenemos, yo pongo ese oro ahí, y debajo del oro pues siempre teníamos la leña.
[0:52:40.00]-[0:52:42.00]  Se ponía debajo del oro.
[0:52:42.00]-[0:52:48.00]  Para que tuviese seco, para que no estuviese al agua, tuviera... la leña seca.
[0:52:48.00]-[0:52:53.00]  ¿Porque si se intenta usar nada más cortarlo...?
[0:52:53.00]-[0:53:03.00]  Bueno, si tienes otra leña curada y metes un trozo, este verde, pues si el otro está vía eso, bien, sí, que lo quema.
[0:53:03.00]-[0:53:14.00]  Pero si intentas prender con lo... a ver si me entiendes, con lo verde, no, no te prende la cocina.
[0:53:14.00]-[0:53:21.00]  Tienes que tener leña curada para encender, aunque después, o a lo mejor quieras, por invierno,
[0:53:21.00]-[0:53:28.00]  que por ejemplo aquí la cocina no se ha apagado en todo el día, de tarde, decir, bueno, pues para sujetarla ahí que no se me apague,
[0:53:28.00]-[0:53:33.00]  pues voy a meter este trozo que ya está más verde y aguanta más.
[0:53:33.00]-[0:53:38.00]  Pero normalmente se tizaba más bien con leña curada.
[0:53:38.00]-[0:53:40.00]  Sí.
[0:53:40.00]-[0:53:42.00]  Era lo que...
[0:53:42.00]-[0:53:44.00]  Lo que más se usaba.
[0:53:44.00]-[0:53:49.00]  Y le ha faltado contarnos un poco lo de la hierba. ¿Usted iba a la hierba o...?
[0:53:49.00]-[0:53:50.00]  Sí, sí, que iba, sí.
[0:53:50.00]-[0:53:51.00]  ¿Y aquí iban hombres y mujeres?
[0:53:51.00]-[0:53:54.00]  Sí, sí, a la hierba sí, todos, íbamos todos.
[0:53:54.00]-[0:53:55.00]  ¿Y cómo era?
[0:53:55.00]-[0:53:58.00]  Era por verano y no había escuela, y a la hierba.
[0:53:58.00]-[0:53:59.00]  Eso es.
[0:53:59.00]-[0:54:00.00]  Sí, sí.
[0:54:00.00]-[0:54:03.00]  No, pero nosotros lo pasábamos bien.
[0:54:03.00]-[0:54:06.00]  ¿Cómo era lo de la hierba?
[0:54:06.00]-[0:54:15.00]  Bueno, pues la hierba, pues mira, pues a lo mejor el papá marchaba temprano, porque no como ahora, que igual van, como le decía yo, todavía en Primo Mirlo,
[0:54:15.00]-[0:54:22.00]  que el otro día se puso mal por estar segando ahí un poco con un calor, dije, oye, yo no sé cómo sois tan brutos,
[0:54:22.00]-[0:54:32.00]  porque yo me acuerdo de papá que se levantaba temprano y igual a las 6 de la mañana iba a segar y se lavaba hasta las 10 y no hacía calor.
[0:54:32.00]-[0:54:33.00]  Claro.
[0:54:33.00]-[0:54:37.00]  Pero ahora no, igual van a las 11 cuando más calor hace.
[0:54:37.00]-[0:54:43.00]  Y nosotros pues eso, él iba a segar y a lo mejor íbamos a llevar el desayuno.
[0:54:43.00]-[0:54:53.00]  Y a lo mejor marchaba con un café puro, porque papá era mucho de café puro, pero después había que ir a llevar el desayuno y se llevaba una tortilla o unos chorizos,
[0:54:53.00]-[0:54:56.00]  y lo que hubiese para desayunar.
[0:54:56.00]-[0:55:02.00]  Yo me acuerdo muchísimo de ir a llevar el desayuno al prato donde estaba salando la hierba, mucho,
[0:55:02.00]-[0:55:06.00]  y me encantaba porque después iba y desayunaba con él allí.
[0:55:06.00]-[0:55:09.00]  Y a mí siempre me gustó mucho comer fuera a casa.
[0:55:09.00]-[0:55:14.00]  Ahora mismo estoy sola y igual me pongo ahí en la terraza a comer.
[0:55:14.00]-[0:55:19.00]  Lavar la sombrilla, estoy sola y me pongo ahí a comer.
[0:55:19.00]-[0:55:24.00]  ¿Y la hierba cómo la quitamos?
[0:55:24.00]-[0:55:31.00]  La hierba cuando lo ciegan pues después hay que esparcerlo para que se seque,
[0:55:31.00]-[0:55:38.00]  y después que está seco hay que juntarlo otra vez y después guardarlo.
[0:55:38.00]-[0:55:41.00]  ¿No se puede guardar recién cortada?
[0:55:41.00]-[0:55:44.00]  Ahora sí, ahora ya la guardan, la embolan, que llame.
[0:55:44.00]-[0:55:47.00]  ¿Y si está verde no se estropea?
[0:55:47.00]-[0:55:49.00]  Al parecer con eso no.
[0:55:49.00]-[0:55:50.00]  ¿No?
[0:55:50.00]-[0:55:52.00]  Ahora no, ahora no.
[0:55:52.00]-[0:55:54.00]  Ahora no se espera secar.
[0:55:54.00]-[0:55:59.00]  Hay mucha gente que sí, que lo seca todavía, pero hay mucha gente que lo cierra y lo embola.
[0:55:59.00]-[0:56:01.00]  ¿No veis por ahí?
[0:56:01.00]-[0:56:02.00]  Sí, de plástico.
[0:56:02.00]-[0:56:06.00]  Eso es de plástico negro, pues eso es la hierba.
[0:56:06.00]-[0:56:08.00]  ¿Y dónde lo guardan?
[0:56:08.00]-[0:56:14.00]  Nosotros lo guardábamos en una tenada que teníamos, que era parte de la casa.
[0:56:14.00]-[0:56:20.00]  Esto por ejemplo donde estamos ahora y un trozo de la cocina, era la tenada.
[0:56:20.00]-[0:56:22.00]  Pero no se empacaba entonces, ¿no?
[0:56:22.00]-[0:56:24.00]  No, no se metía yo.
[0:56:24.00]-[0:56:32.00]  Papá lo traía en un carro con los vaques y lo echábamos ahí como con una ventana que había,
[0:56:32.00]-[0:56:37.00]  en la tenada y así.
[0:56:37.00]-[0:56:40.00]  Así era la vida de la hierba.
[0:56:40.00]-[0:56:43.00]  ¿Y duraba todo el verano lo de cortar?
[0:56:43.00]-[0:56:53.00]  Bueno, en el mes de junio y julio, un poco a mediados de julio, si el tiempo venía bueno, claro que sí.
[0:56:53.00]-[0:57:01.00]  Pero bueno, nosotros, yo que lo decía el otro día, yo acuérdame de papá que para mediados de julio
[0:57:01.00]-[0:57:07.00]  ya había acabado. Pero claro, si venía junio bueno, pues enseguida empezaba él a aserrar.
[0:57:07.00]-[0:57:19.00]  Porque siempre decía él que en agosto que ya rosaba mucho, ya se mojaba la hierba y ya no estaba la hierba tan buena como en julio.
[0:57:22.00]-[0:57:24.00]  ¿Aquí en invierno nieva mucho?
[0:57:24.00]-[0:57:26.00]  No, no, aquí no nieva.
[0:57:26.00]-[0:57:27.00]  ¿No? ¿Nada?
[0:57:27.00]-[0:57:32.00]  No, muy poco. Puede nevar un poco. Este año dice nevó dos veces, yo no estaba aquí.
[0:57:32.00]-[0:57:36.00]  Nevó dos veces, pero bueno, eso que...
[0:57:36.00]-[0:57:40.00]  Es una sobrina mía que vive ahí, un sobrín que vive ahí pegado.
[0:57:40.00]-[0:57:48.00]  Y cuando se levantó a las 7 de la mañana que estaba todo nevado y sacó la cámara y anduvo firmándolo y nunca lo había visto.
[0:57:48.00]-[0:57:52.00]  Porque ella es de Colunga, nacida en Colunga pues tampoco nieva.
[0:57:52.00]-[0:57:59.00]  Pero bueno, nieva, a veces la nieve aquí arriba en el Cito, que no sé si lo conocéis, donde hay mirador del Cito y eso.
[0:57:59.00]-[0:58:01.00]  Sí, vamos a ir.
[0:58:01.00]-[0:58:03.00]  Yo tengo otra pregunta que hacerle.
[0:58:03.00]-[0:58:04.00]  Sí.
[0:58:04.00]-[0:58:07.00]  También, por ejemplo, la miel.
[0:58:07.00]-[0:58:10.00]  Bueno, la miel aquí también hay algo, sí.
[0:58:10.00]-[0:58:11.00]  ¿Sí?
[0:58:11.00]-[0:58:12.00]  Sí.
[0:58:12.00]-[0:58:14.00]  ¿Y cómo sale la miel aquí?
[0:58:14.00]-[0:58:17.00]  ¿Tenían ustedes colmenos?
[0:58:17.00]-[0:58:24.00]  No, nosotros no, y aquí en mi casa nunca los tuvo. Un hermano de mi padre sí que los tenía.
[0:58:24.00]-[0:58:28.00]  ¿Y cómo era el cuidado de las abejas y...?
[0:58:28.00]-[0:58:31.00]  Bueno, ahora tienen mucho cuidado con ellos.
[0:58:31.00]-[0:58:35.00]  Antes, antiguamente, pues no se tenía tampoco así.
[0:58:35.00]-[0:58:41.00]  Los tenían por deporte, ¿no? Por...
[0:58:41.00]-[0:58:43.00]  Eso yo...
[0:58:43.00]-[0:58:45.00]  El ruido es el...
[0:58:45.00]-[0:58:46.00]  Miedo, ¿eh?
[0:58:46.00]-[0:58:49.00]  El motor del agua caliente, la calización.
[0:58:49.00]-[0:58:53.00]  Lo tengo de gas hoy y cuando arranca, mira qué ruido mete.
[0:58:53.00]-[0:58:54.00]  Parece que era un trueno.
[0:58:54.00]-[0:58:56.00]  Parece que está cayendo la casa.
[0:58:56.00]-[0:58:58.00]  Sí, se ve una miel.
[0:58:58.00]-[0:59:02.00]  Pues, eso es eso.
[0:59:02.00]-[0:59:04.00]  Entonces, una buena miel, ¿no?
[0:59:04.00]-[0:59:05.00]  ¿Eh?
[0:59:05.00]-[0:59:06.00]  Una buena miel sale.
[0:59:06.00]-[0:59:08.00]  Hombre, sí, la miel buenísima, ¿eh?
[0:59:08.00]-[0:59:09.00]  ¿De qué color tiene la miel?
[0:59:09.00]-[0:59:10.00]  Sí, sí, sí, sí.
[0:59:10.00]-[0:59:16.00]  Depende, el color también depende mucho de la floración que hay en el entorno, ¿eh?
[0:59:16.00]-[0:59:20.00]  Porque lo hay más claro, lo hay más oscuro. Yo tengo uno aquí.
[0:59:20.00]-[0:59:22.00]  Es muy oscuro.
[0:59:22.00]-[0:59:24.00]  Esta no se ve muy oscura.
[0:59:24.00]-[0:59:27.00]  Escura, pero esta no sé dónde es, ¿eh?
[0:59:27.00]-[0:59:29.00]  Esta es forastera, no es de aquí del pueblo.
[0:59:29.00]-[0:59:33.00]  Ah, pero es realmente una miel de un color mucho más...
[0:59:33.00]-[0:59:36.00]  Pero las hay muy oscuras, ¿eh? Depende de...
[0:59:36.00]-[0:59:37.00]  ¿De negro?
[0:59:37.00]-[0:59:38.00]  Sí, sí.
[0:59:38.00]-[0:59:44.00]  Lo que pasa es que ahora al estar duro, esto ahora por ejemplo que lo pone al baño María.
[0:59:44.00]-[0:59:46.00]  La de aquí no es así.
[0:59:46.00]-[0:59:50.00]  No, la de aquí es mucho más blanca.
[0:59:50.00]-[0:59:55.00]  ¿Y ustedes consumían de... cuando eran más jóvenes?
[0:59:55.00]-[0:59:57.00]  Bueno, en casa siempre hubo miel.
[0:59:57.00]-[1:00:01.00]  Siempre se... Aquí hay mucha costumbre de tomarla para...
[1:00:01.00]-[1:00:04.00]  cuando tienes que el marido a mí me encantaba.
[1:00:04.00]-[1:00:10.00]  Un par de cucharas de miel por la mañana, por el mes de marzo, decía que era muy bueno.
[1:00:10.00]-[1:00:20.00]  Pero esto, esto no... Yo en Moreda tengo unos vecinos que los tienen, tienen muchas alejas, muchas.
[1:00:20.00]-[1:00:27.00]  Y así se dedica a ello. Y yo siempre compro un tarro o dos para tenerlo en casa.
[1:00:27.00]-[1:00:31.00]  Pero esto trajo Melondía la sobrina porque no sé para qué.
[1:00:31.00]-[1:00:35.00]  No sabía que lo tenía. Pero esto es comprado. Esto no es de...
[1:00:35.00]-[1:00:40.00]  Esto es comprado en tienda, no es comprado en... en la casa, a viver.
[1:00:40.00]-[1:00:41.00]  Sí.
[1:00:45.00]-[1:00:50.00]  ¿Y sacaban cera también de la... de los forales?
[1:00:50.00]-[1:00:52.00]  Pues sí, antiguamente sí que había cera.
[1:00:52.00]-[1:00:53.00]  ¿Sí?
[1:00:53.00]-[1:00:54.00]  Sí, sí.
[1:00:54.00]-[1:00:56.00]  ¿Te recuerdas cera natural o...?
[1:00:56.00]-[1:00:58.00]  Recuerdo cera natural, sí.
[1:00:58.00]-[1:01:00.00]  ¿Y cómo era eso? ¿Cómo...?
[1:01:00.00]-[1:01:05.00]  Pues traíanlo como si fuera lo que es el panel de las abejas donde tienen la miel.
[1:01:05.00]-[1:01:09.00]  Y después que extraen la miel queda la cera.
[1:01:09.00]-[1:01:14.00]  Y esa cera, pues yo no sé qué le hacían. Yo me acuerdo de traerlo aquí para mamá.
[1:01:14.00]-[1:01:19.00]  Ver a mamá darlo a los muebles y darlo por ahí, cera natural.
[1:01:19.00]-[1:01:20.00]  Sí.
[1:01:20.00]-[1:01:25.00]  Pero tampoco te sé decir qué proceso tenía de...
[1:01:25.00]-[1:01:30.00]  desde que sacaban la miel hasta que traía la cera. Eso no lo sé.
[1:01:30.00]-[1:01:32.00]  ¿Y de qué como salía la cera?
[1:01:32.00]-[1:01:42.00]  La cera, pues una cera normal y corriente, como cualquier cera que puedas comprar de cera, lo que es cera.
[1:01:42.00]-[1:01:48.00]  Un rengón más oscuro, otro más, era también parecido a eso.
[1:01:48.00]-[1:01:52.00]  Eso no lo puedo decir porque la verdad que no...
[1:01:52.00]-[1:01:56.00]  ¿Aquí no se usaba la cera para velas?
[1:01:56.00]-[1:01:59.00]  No, hechas de casa no. Yo no me acuerdo.
[1:01:59.00]-[1:02:00.00]  ¿Te compraban?
[1:02:00.00]-[1:02:01.00]  Sí.
[1:02:03.00]-[1:02:06.00]  Las velas de cera no.
[1:02:07.00]-[1:02:10.00]  ¿Y la cuerda? ¿La cuerda...?
[1:02:10.00]-[1:02:11.00]  No, tampoco.
[1:02:11.00]-[1:02:12.00]  ¿Tampoco?
[1:02:12.00]-[1:02:15.00]  No, aquí tampoco. Cuerdas tampoco se hacían.
[1:02:15.00]-[1:02:21.00]  ¿Tampoco? ¿No había tradición de esparto ni de alpargatas tampoco?
[1:02:21.00]-[1:02:22.00]  No.
[1:02:22.00]-[1:02:28.00]  ¿Y la casa? ¿La casa en este sitio hay jabalíes?
[1:02:28.00]-[1:02:37.00]  Sí, muchos jabalíes, muchos. Muchos jabalíes, muchos bichos por ahí.
[1:02:37.00]-[1:02:38.00]  ¿Lobos también, no?
[1:02:38.00]-[1:02:48.00]  No, lobo no creo. Aquí precisamente, en estos montes de aquí, quizás el fito payano hasta el suave,
[1:02:48.00]-[1:02:52.00]  el otro monte que hay más alto.
[1:02:52.00]-[1:02:57.00]  ¿Has visto cuando veníamos que ponía caza, reserva de caza?
[1:02:57.00]-[1:03:00.00]  Reserva de caza, sí, por esto, por aquí, pero es el jabalí.
[1:03:00.00]-[1:03:01.00]  Es el jabalí.
[1:03:01.00]-[1:03:08.00]  Es el jabalí, sí. Sí, jabalíes, muchos. Me tensé por los lugares aquí, por todo.
[1:03:08.00]-[1:03:13.00]  Yo tengo una cuerda ahí para allá que me la vi nada entera, pozando.
[1:03:13.00]-[1:03:14.00]  ¿Sí?
[1:03:14.00]-[1:03:21.00]  Sí, porque hay unas lenguas de huerquillana que tienen como una patata y eso la comen,
[1:03:21.00]-[1:03:24.00]  y entonces donde ven eso van y te lo fozan todo.
[1:03:24.00]-[1:03:25.00]  ¿Y destrozaron?
[1:03:25.00]-[1:03:32.00]  Levantan el tapín. Bueno, no estaba nada más que de prao, de pastear las ovejas, eso es de mi hermano.
[1:03:32.00]-[1:03:34.00]  ¿No tenía plantado nada?
[1:03:34.00]-[1:03:36.00]  No, yo no planto nada.
[1:03:36.00]-[1:03:40.00]  Pero aquí hay gente que le han destrozado la huerta.
[1:03:40.00]-[1:03:48.00]  Pues sí, hay gente que les destrozan el mariz y les faves y muchas cosas, sí.
[1:03:54.00]-[1:03:57.00]  ¿Y se pueden cazar o solamente en...
[1:03:57.00]-[1:04:04.00]  Bueno, sí, se cazan cuando están a cazar, la veda abierta, como dicen.
[1:04:04.00]-[1:04:10.00]  Ahora me parecía no, me parecía no, porque yo tengo un hermano que es cazador,
[1:04:10.00]-[1:04:15.00]  estuvo aquí en Vía Leste la semana pasada, y dijo que habían cazado no sé cuántos,
[1:04:15.00]-[1:04:20.00]  me dijo muchísimos, hostia, y yo digo, madre, pero entonces, decía, sí, cazamos mucho.
[1:04:20.00]-[1:04:29.00]  Y salí tantos, pero ahora yo creo que ya no, que ya no caza.
[1:04:29.00]-[1:04:35.00]  Bueno, pues nos ha dedicado un rato larísimo.
[1:04:35.00]-[1:04:37.00]  No, igual, no tengo prisa.
[1:04:37.00]-[1:04:39.00]  Le he pedido que vea.
[1:04:39.00]-[1:04:43.00]  ¿Y le importaría decirnos cómo se llama?
[1:04:43.00]-[1:04:45.00]  Sí.
[1:04:45.00]-[1:04:49.00]  Que nos ha dicho que tiene 74 años, ¿no?
[1:04:49.00]-[1:04:58.00]  74 años, y dos hijos y dos nietas, y dos viernos, o una nuera y un vierno.
[1:04:58.00]-[1:05:00.00]  ¿Y cómo se llama?
[1:05:00.00]-[1:05:03.00]  Yo me llamo Fina.
[1:05:03.00]-[1:05:08.00]  Sí, pero no me lo vas a…
[1:05:08.00]-[1:05:11.00]  Entonces ponemos Fina.
[1:05:11.00]-[1:05:13.00]  ¿Con B?
[1:05:13.00]-[1:05:14.00]  Con B.
[1:05:14.00]-[1:05:17.00]  ¿Y es un topónimo de aquí este nombre?
[1:05:17.00]-[1:05:20.00]  Pues sí, aquí, para este concierto hay muchos.
[1:05:20.00]-[1:05:24.00]  Hay muchos, es un nombre común aquí, no lo había oído jamás.
[1:05:24.00]-[1:05:25.00]  Pues sí, sí.
[1:05:25.00]-[1:05:27.00]  ¿Y de qué viene?
[1:05:27.00]-[1:05:34.00]  Pues dicen que viene de, no sé, italiano o algo de eso, porque yo tengo un hermano,
[1:05:34.00]-[1:05:39.00]  un hermano, bueno, yo soy, el que va atrás de mí, que vive en Quintes,
[1:05:39.00]-[1:05:47.00]  y un hijo estuvo indagando, indagando, hasta que sacó el escudo de los…
[1:05:47.00]-[1:05:57.00]  y yo no sé si me dijo que era de origen italiano, me parece, no sé, no tengo ni sobra.
[1:05:57.00]-[1:06:03.00]  Pero sé que tiene el escudo en casa, en el bar.
[1:06:03.00]-[1:06:17.00]  Bueno, pues muchísimas gracias por la conversación.
