[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[0:29:27.00]-[0:29:29.00]  quiero decir que en la librería
[0:29:29.00]-[0:29:31.00]  en la INSA
[0:29:31.00]-[0:29:33.00]  y luego lo reparten por aquí también
[0:29:33.00]-[0:29:35.00]  lo reparten
[0:29:35.00]-[0:29:37.00]  los que quieren suscribirte, te suscribes y te lo traen
[0:29:37.00]-[0:29:39.00]  acá está
[0:29:39.00]-[0:29:41.00]  al altaragón
[0:29:41.00]-[0:29:43.00]  yo el altaragón, yo la guardé a Aragón
[0:29:43.00]-[0:29:45.00]  y el Heraldo también
[0:29:45.00]-[0:29:47.00]  varias veces, los fines de semana
[0:29:47.00]-[0:29:49.00]  a mi hijo también se compra mucho el país
[0:29:49.00]-[0:29:51.00]  el país y el Heraldo
[0:29:51.00]-[0:29:53.00]  se lo compran muchas veces los fines de semana
[0:29:53.00]-[0:29:55.00]  ellos
[0:29:55.00]-[0:29:57.00]  entre semana yo pago
[0:29:57.00]-[0:29:59.00]  el altaragón y lo leemos todos
[0:29:59.00]-[0:30:01.00]  porque es de la provincia
[0:30:01.00]-[0:30:03.00]  y no sé, te enteras de las cosas
[0:30:03.00]-[0:30:05.00]  claro
[0:30:05.00]-[0:30:07.00]  pero ahora ya digo, con la televisión
[0:30:07.00]-[0:30:09.00]  y todo, pues enseguida
[0:30:09.00]-[0:30:11.00]  y la radio pues igual
[0:30:11.00]-[0:30:13.00]  porque aquí hay una
[0:30:13.00]-[0:30:15.00]  emisora de radio en La Borda
[0:30:15.00]-[0:30:17.00]  un pueblo que hay ahí que
[0:30:17.00]-[0:30:19.00]  se viva, no sé si lo hablan
[0:30:19.00]-[0:30:21.00]  yo, luego abriste la mano
[0:30:21.00]-[0:30:23.00]  y allí por la mañana ya
[0:30:23.00]-[0:30:25.00]  te dan todo en la radio
[0:30:25.00]-[0:30:27.00]  todas las cosas de
[0:30:27.00]-[0:30:29.00]  por aquí de la zona
[0:30:29.00]-[0:30:31.00]  ya te enteras
[0:30:31.00]-[0:30:33.00]  de todo, y el que se quiera anunciar
[0:30:33.00]-[0:30:35.00]  por la radio pues va allí
[0:30:35.00]-[0:30:37.00]  y ya está
[0:30:37.00]-[0:30:39.00]  claro
[0:30:39.00]-[0:30:41.00]  hombre, sí hay muchos
[0:30:41.00]-[0:30:43.00]  adelantos desde cuando
[0:30:43.00]-[0:30:45.00]  nosotras nos criamos
[0:30:45.00]-[0:30:47.00]  pero bueno, también hay otras
[0:30:47.00]-[0:30:49.00]  cosas, entonces la droga no existía
[0:30:49.00]-[0:30:51.00]  claro
[0:30:51.00]-[0:30:53.00]  por ahí
[0:30:53.00]-[0:30:55.00]  hay cosas
[0:30:55.00]-[0:30:57.00]  nuevas que
[0:30:57.00]-[0:30:59.00]  han ido a peor
[0:30:59.00]-[0:31:01.00]  en general
[0:31:01.00]-[0:31:03.00]  las cosas nuevas son para la mejora
[0:31:03.00]-[0:31:05.00]  claro, claro, eso
[0:31:05.00]-[0:31:07.00]  si es verdad
[0:31:07.00]-[0:31:09.00]  nos ha dicho antes que
[0:31:09.00]-[0:31:11.00]  que a veces
[0:31:11.00]-[0:31:13.00]  tiene que cuidar a sus nietos
[0:31:13.00]-[0:31:15.00]  sí
[0:31:15.00]-[0:31:17.00]  piensa que es la misma
[0:31:17.00]-[0:31:19.00]  o sea, educa
[0:31:19.00]-[0:31:21.00]  igual a sus nietos como
[0:31:21.00]-[0:31:23.00]  a sus hijos, o ya cuando...
[0:31:23.00]-[0:31:25.00]  yo sí, yo sí
[0:31:25.00]-[0:31:27.00]  ¿a los mismos principios o ya se va cambiando?
[0:31:27.00]-[0:31:29.00]  hombre, pues ya se cambia un poco
[0:31:29.00]-[0:31:31.00]  sobre todo
[0:31:31.00]-[0:31:33.00]  pues en la higiene
[0:31:33.00]-[0:31:35.00]  hay mucho más cuidado ahora
[0:31:35.00]-[0:31:37.00]  antes no tenías aseos
[0:31:37.00]-[0:31:39.00]  tenías que hablarte como se podía
[0:31:39.00]-[0:31:41.00]  ¿y tenían
[0:31:41.00]-[0:31:43.00]  ustedes antes el baño dentro
[0:31:43.00]-[0:31:45.00]  de casa?
[0:31:45.00]-[0:31:47.00]  no, no, no, traíamos el agua a cubos
[0:31:47.00]-[0:31:49.00]  a casa y los echamos en
[0:31:49.00]-[0:31:51.00]  una tinaja, una tinaja
[0:31:51.00]-[0:31:53.00]  y después aquello lo llevabas
[0:31:53.00]-[0:31:55.00]  a los lavabos
[0:31:55.00]-[0:31:57.00]  pero con unas jarras, con unas jarras
[0:31:57.00]-[0:31:59.00]  llevabas el agua al lavabo
[0:31:59.00]-[0:32:01.00]  ¿y cómo se lavaban?
[0:32:01.00]-[0:32:03.00]  pues hombre, en el lavabo se había
[0:32:03.00]-[0:32:05.00]  unas palanganas, unas palanganas y te lavabas
[0:32:05.00]-[0:32:07.00]  allí, te lavabas
[0:32:07.00]-[0:32:09.00]  por todo lo que podías y ya está
[0:32:09.00]-[0:32:11.00]  pero se debía ducharse, bueno
[0:32:11.00]-[0:32:13.00]  ¿y el agua fría o no?
[0:32:13.00]-[0:32:15.00]  pues si te la calentabas en el fuego caliente pues no fría
[0:32:15.00]-[0:32:17.00]  ¿y eso ya?
[0:32:17.00]-[0:32:19.00]  y el bater pues muy da
[0:32:19.00]-[0:32:21.00]  al
[0:32:21.00]-[0:32:23.00]  al cuadra
[0:32:23.00]-[0:32:25.00]  al córral
[0:32:25.00]-[0:32:27.00]  al cuadra
[0:32:27.00]-[0:32:29.00]  es que había en la casa
[0:32:29.00]-[0:32:31.00]  de ganado, de cordero
[0:32:31.00]-[0:32:33.00]  de valleguilla
[0:32:33.00]-[0:32:35.00]  la planta
[0:32:35.00]-[0:32:37.00]  abajo de la casa todo era en cuadras
[0:32:37.00]-[0:32:39.00]  y todo
[0:32:39.00]-[0:32:41.00]  ¿y los padres por ejemplo
[0:32:41.00]-[0:32:43.00]  solían llamarle a usted
[0:32:43.00]-[0:32:45.00]  si, si
[0:32:45.00]-[0:32:47.00]  ya no, ya no
[0:32:47.00]-[0:32:49.00]  ¿y a sus nietos?
[0:32:49.00]-[0:32:51.00]  hombre
[0:32:51.00]-[0:32:53.00]  a mí a veces a mí me lo dicen
[0:32:53.00]-[0:32:55.00]  si, ya, ya, usted esto
[0:32:55.00]-[0:32:57.00]  usted lo otro, otras veces
[0:32:57.00]-[0:32:59.00]  no, otras veces me hacen tú y así
[0:32:59.00]-[0:33:01.00]  pero ¿pero no son nietos esos padres?
[0:33:01.00]-[0:33:03.00]  pues hombre
[0:33:03.00]-[0:33:05.00]  también, también, sí
[0:33:05.00]-[0:33:07.00]  un poco sí, sí también
[0:33:07.00]-[0:33:09.00]  también los noto que tienen
[0:33:09.00]-[0:33:11.00]  respeto, que les dicen a veces
[0:33:11.00]-[0:33:13.00]  a usted o eso
[0:33:13.00]-[0:33:15.00]  sí
[0:33:15.00]-[0:33:17.00]  a su padre
[0:33:17.00]-[0:33:19.00]  al padre más que la madre
[0:33:19.00]-[0:33:21.00]  el padre siempre era más respeto
[0:33:21.00]-[0:33:23.00]  claro, claro, eso
[0:33:23.00]-[0:33:25.00]  eso, sí
[0:33:25.00]-[0:33:27.00]  eso
[0:33:27.00]-[0:33:29.00]  según cada
[0:33:29.00]-[0:33:31.00]  según cada uno el carácter de las personas
[0:33:31.00]-[0:33:33.00]  y eso, que tiene eso de
[0:33:33.00]-[0:33:35.00]  la educación ¿verdad?
[0:33:35.00]-[0:33:37.00]  claro
[0:33:37.00]-[0:33:39.00]  cada uno, mira
[0:33:39.00]-[0:33:41.00]  también, según cómo te enseñen
[0:33:41.00]-[0:33:43.00]  eso, sí, enseñas tú
[0:33:43.00]-[0:33:45.00]  después, claro, eso
[0:33:49.00]-[0:33:51.00]  bueno, pues nada
[0:33:51.00]-[0:33:53.00]  ya hemos terminado, muchas gracias
[0:33:53.00]-[0:33:55.00]  ¿seguís
[0:33:55.00]-[0:33:57.00]  preguntando?
[0:33:57.00]-[0:33:59.00]  lo que queráis, que es muy agradable
[0:33:59.00]-[0:34:01.00]  la compañía
[0:34:01.00]-[0:34:03.00]  ¿quieres decirles algo?
[0:34:03.00]-[0:34:05.00]  ¿quiere decir usted algo?
[0:34:05.00]-[0:34:07.00]  ¿los quiere contar algo?
[0:34:07.00]-[0:34:09.00]  ella tiene cuatro hijos, dos casados
[0:34:09.00]-[0:34:11.00]  y dos solteros
[0:34:11.00]-[0:34:13.00]  ¿y los solteros y los casados?
[0:34:13.00]-[0:34:15.00]  ya tienen bastante tiempo
[0:34:15.00]-[0:34:17.00]  ¿si?
[0:34:17.00]-[0:34:19.00]  para vosotros ya nada
[0:34:19.00]-[0:34:21.00]  ¿qué es eso?
[0:34:21.00]-[0:34:23.00]  no lo sé, porque los carraos
[0:34:23.00]-[0:34:25.00]  más grandes
[0:34:25.00]-[0:34:27.00]  el mayor lo tiene casado en Boltaña
[0:34:27.00]-[0:34:29.00]  y el último aquí no
[0:34:29.00]-[0:34:31.00]  los dos que son del medio están solteros
[0:34:31.00]-[0:34:33.00]  que son arbañiles
[0:34:33.00]-[0:34:35.00]  pero esa no es que ya muy mayores
[0:34:35.00]-[0:34:39.00]  o por el 50 años y 40 y tanto
[0:34:39.00]-[0:34:41.00]  sí, era
[0:34:41.00]-[0:34:43.00]  creía que me iba a decir
[0:34:43.00]-[0:34:45.00]  a lo mejor 30 y algo
[0:34:45.00]-[0:34:47.00]  no, no, no
[0:34:47.00]-[0:34:49.00]  los 30 y hace 10 grados
[0:34:49.00]-[0:34:51.00]  quiero
[0:34:51.00]-[0:34:53.00]  ¿y qué tal
[0:34:53.00]-[0:34:55.00]  usted con sus hijos?
[0:34:55.00]-[0:34:57.00]  bien, bien
[0:34:57.00]-[0:34:59.00]  no puede ser mejor
[0:34:59.00]-[0:35:01.00]  ¿y las nueve también?
[0:35:01.00]-[0:35:03.00]  sí, hoy
[0:35:03.00]-[0:35:05.00]  sí, sí, sí
[0:35:05.00]-[0:35:07.00]  muy bien
[0:35:07.00]-[0:35:09.00]  ¿ayudan también en la casa?
[0:35:09.00]-[0:35:11.00]  ¿ayudan en la casa cuando van?
[0:35:11.00]-[0:35:13.00]  también las nenas
[0:35:13.00]-[0:35:15.00]  sí, voy, todo lo que pueden
[0:35:15.00]-[0:35:17.00]  siempre en alguna cosa
[0:35:17.00]-[0:35:19.00]  eso es importante
[0:35:19.00]-[0:35:21.00]  que elija
[0:35:21.00]-[0:35:23.00]  el hijo una buena novia
[0:35:23.00]-[0:35:25.00]  una mujer
[0:35:25.00]-[0:35:27.00]  sí, sí, bien
[0:35:27.00]-[0:35:29.00]  ¿la del mayor es de dónde?
[0:35:29.00]-[0:35:31.00]  de Argentina
[0:35:31.00]-[0:35:33.00]  de Argentina, sí
[0:35:33.00]-[0:35:35.00]  fue la de trabajar
[0:35:35.00]-[0:35:37.00]  y se hicieron novios y luego
[0:35:37.00]-[0:35:39.00]  se casaron y vinieron aquí
[0:35:39.00]-[0:35:41.00]  viven en Boltaña y tienen
[0:35:41.00]-[0:35:43.00]  un chico y una chica
[0:35:43.00]-[0:35:45.00]  la parejita
[0:35:45.00]-[0:35:47.00]  sí, pero ya también son mayores como vosotras
[0:35:47.00]-[0:35:49.00]  o sea, de la edad vuestra va así, ¿verdad?
[0:35:49.00]-[0:35:51.00]  24 y 26
[0:35:51.00]-[0:35:53.00]  eso, sí
[0:35:55.00]-[0:35:57.00]  ¿y dónde están los nietos?
[0:35:57.00]-[0:35:59.00]  ¿dónde están ellos?
[0:35:59.00]-[0:36:01.00]  estudiando y trabajando
[0:36:01.00]-[0:36:03.00]  ah, ya mira, sí, sí
[0:36:03.00]-[0:36:05.00]  que bien, en los fines de semana
[0:36:05.00]-[0:36:07.00]  a verla
[0:36:07.00]-[0:36:09.00]  sí, esta semana los mayores estuvieron los dos
[0:36:11.00]-[0:36:13.00]  ya vienen ya
[0:36:13.00]-[0:36:15.00]  se agradece, ¿no? la compañía
[0:36:15.00]-[0:36:17.00]  sí, sí, sí
[0:36:17.00]-[0:36:19.00]  aunque aquí se conocen todos
[0:36:19.00]-[0:36:21.00]  sí, claro, claro
[0:36:21.00]-[0:36:23.00]  eso
[0:36:23.00]-[0:36:25.00]  pues eso
[0:36:25.00]-[0:36:27.00]  nunca de
[0:36:27.00]-[0:36:29.00]  pues no, a Barcelona
[0:36:29.00]-[0:36:31.00]  a ver la familia
[0:36:31.00]-[0:36:33.00]  en Francia he estado
[0:36:33.00]-[0:36:35.00]  pero por cercanía
[0:36:35.00]-[0:36:37.00]  pero el avión no
[0:36:37.00]-[0:36:39.00]  sí, bueno, el avión a Sevilla
[0:36:39.00]-[0:36:41.00]  a...
[0:36:41.00]-[0:36:43.00]  a Galicia
[0:36:43.00]-[0:36:45.00]  a Huelva
[0:36:45.00]-[0:36:47.00]  he ido también
[0:36:47.00]-[0:36:49.00]  he viajado entonces
[0:36:49.00]-[0:36:51.00]  ¿y qué le pareció el subir?
[0:36:51.00]-[0:36:53.00]  bien, bien, sí, sí, sí, bastante
[0:36:53.00]-[0:36:55.00]  pero bueno, convivíamos en marzo
[0:36:55.00]-[0:36:57.00]  abril
[0:36:57.00]-[0:36:59.00]  que era época que no había así por viajes
[0:36:59.00]-[0:37:01.00]  del inserso
[0:37:01.00]-[0:37:03.00]  que son épocas que aún hace mucho calor
[0:37:03.00]-[0:37:05.00]  y que hace...
[0:37:05.00]-[0:37:07.00]  está gusta la punta de Anel insercer
[0:37:07.00]-[0:37:09.00]  y se hace sus viajecillos
[0:37:09.00]-[0:37:11.00]  claro, claro, con más amigas del pueblo
[0:37:11.00]-[0:37:13.00]  claro, con otras compañeras
[0:37:13.00]-[0:37:15.00]  y cuando vivía mi marido, con mi marido
[0:37:15.00]-[0:37:17.00]  pero ahora soy bíblia, pues ahora solo
[0:37:17.00]-[0:37:19.00]  claro
[0:37:19.00]-[0:37:21.00]  sí, íbamos a balnearios también
[0:37:21.00]-[0:37:23.00]  sí
[0:37:23.00]-[0:37:25.00]  y luego ahora
[0:37:25.00]-[0:37:27.00]  el día 6 de...
[0:37:27.00]-[0:37:29.00]  ¿Julio?
[0:37:29.00]-[0:37:31.00]  el día 6 de mayo nos hacen una comida
[0:37:31.00]-[0:37:33.00]  para toda la comunidad
[0:37:33.00]-[0:37:35.00]  todo este contorno
[0:37:35.00]-[0:37:37.00]  en la huerta
[0:37:37.00]-[0:37:39.00]  hacen una comida para todos los
[0:37:39.00]-[0:37:41.00]  del inserso
[0:37:41.00]-[0:37:43.00]  para todos los de...
[0:37:43.00]-[0:37:45.00]  la tercera edad
[0:37:45.00]-[0:37:47.00]  ¿Cómo se habla de los viajes? ¿Les mandan...?
[0:37:47.00]-[0:37:49.00]  claro, claro, sí, sí
[0:37:49.00]-[0:37:51.00]  ¿Tienen el viaje que quieren o se pueden apuntar a todos?
[0:37:51.00]-[0:37:53.00]  no, no, no, vamos a la seguridad social
[0:37:53.00]-[0:37:55.00]  a la de seguridad social
[0:37:55.00]-[0:37:57.00]  bueno, a la...
[0:37:57.00]-[0:37:59.00]  de social base, una chica que hay
[0:37:59.00]-[0:38:01.00]  a la oficina
[0:38:01.00]-[0:38:03.00]  y allí ya te apuntas y haces la petición
[0:38:03.00]-[0:38:05.00]  y todo
[0:38:05.00]-[0:38:07.00]  ¿Y eso se rifa o el que está apuntado...?
[0:38:07.00]-[0:38:09.00]  no, no, pues se lo mandan a Madrid
[0:38:09.00]-[0:38:11.00]  y luego ya te contestan
[0:38:11.00]-[0:38:13.00]  si te han contagiado el viaje, no
[0:38:13.00]-[0:38:15.00]  según
[0:38:15.00]-[0:38:17.00]  y sale mucho más barato, ¿no?
[0:38:17.00]-[0:38:19.00]  sí, pero ahora mismo ya tienes que hacer la solicitud
[0:38:19.00]-[0:38:21.00]  para ir en octubre
[0:38:21.00]-[0:38:23.00]  y noviembre y para ir
[0:38:23.00]-[0:38:25.00]  el año que viene en febrero
[0:38:25.00]-[0:38:27.00]  marzo y abril, todo eso
[0:38:27.00]-[0:38:29.00]  ¿A dónde van a ir? Sí
[0:38:29.00]-[0:38:31.00]  Ahora ya lo tienes que solicitar
[0:38:31.00]-[0:38:33.00]  ¿Pero saben ya dónde van a ir o no?
[0:38:33.00]-[0:38:35.00]  Ah, yo no, hasta de ahora no
[0:38:35.00]-[0:38:37.00]  Se apunta y ya...
[0:38:37.00]-[0:38:39.00]  Claro, eso
[0:38:39.00]-[0:38:41.00]  Pides dos o tres sitios, ¿no? Sí
[0:38:41.00]-[0:38:43.00]  Te apuntas y pides dos o tres sitios y ya
[0:38:43.00]-[0:38:45.00]  hasta que te contestan, no sabes a dónde vas
[0:38:45.00]-[0:38:47.00]  y luego que fechas
[0:38:47.00]-[0:38:49.00]  porque más o menos quieres ir
[0:38:49.00]-[0:38:51.00]  y luego ya te contestan
[0:38:51.00]-[0:38:53.00]  ¿Y todas las que ha pedido se las
[0:38:53.00]-[0:38:55.00]  han dado? Hasta de ahora sí
[0:38:55.00]-[0:38:57.00]  A mí no me han negado nunca ni una
[0:38:57.00]-[0:38:59.00]  pero ya
[0:38:59.00]-[0:39:01.00]  más bien voy al balneario
[0:39:03.00]-[0:39:05.00]  ¿Que está muy bien, no? Sí
[0:39:05.00]-[0:39:07.00]  ya no creo, allí te relajas y te
[0:39:07.00]-[0:39:09.00]  está muy bien ¿Has ido alguna vez a eso de los barros?
[0:39:09.00]-[0:39:11.00]  Sí, sí
[0:39:11.00]-[0:39:13.00]  Claro, claro, si vas allí
[0:39:13.00]-[0:39:15.00]  ¿Y si nota la mejoría o no?
[0:39:15.00]-[0:39:17.00]  Pues no, más es que te
[0:39:17.00]-[0:39:19.00]  relajas y...
[0:39:19.00]-[0:39:21.00]  No sé, estás allí
[0:39:21.00]-[0:39:23.00]  las aguas, no sé
[0:39:23.00]-[0:39:25.00]  parece que te...
[0:39:25.00]-[0:39:27.00]  Mejoran, mejoran, ¿no?
[0:39:27.00]-[0:39:29.00]  Pues no, notas
[0:39:29.00]-[0:39:31.00]  mejoran notas, ¿no?
[0:39:31.00]-[0:39:33.00]  Pero notas es algo que está relajada
[0:39:33.00]-[0:39:35.00]  que te ha relajado y no sé
[0:39:35.00]-[0:39:37.00]  parece que el cuerpo está
[0:39:37.00]-[0:39:39.00]  más activo y todo
[0:39:39.00]-[0:39:41.00]  ¿Y cuando fue la primera vez que
[0:39:41.00]-[0:39:43.00]  usted salió de viaje
[0:39:43.00]-[0:39:45.00]  pero no por ver un familiar?
[0:39:45.00]-[0:39:47.00]  Ah, o viaje de...
[0:39:47.00]-[0:39:49.00]  16 años tenía cuando bajé a Barbaxto, la primera vez
[0:39:49.00]-[0:39:51.00]  Y en los 16 no había salido del pueblo
[0:39:51.00]-[0:39:53.00]  A Insa va por aquí
[0:39:53.00]-[0:39:55.00]  yo tenía 21 años
[0:39:55.00]-[0:39:57.00]  cuando fui para Madrid
[0:39:57.00]-[0:39:59.00]  y no había visto ni el tren
[0:39:59.00]-[0:40:01.00]  no había pasado de Torla
[0:40:01.00]-[0:40:03.00]  para arriba ni de Insa para abajo
[0:40:03.00]-[0:40:05.00]  Sólo este río
[0:40:05.00]-[0:40:07.00]  ¿Y qué le pareció?
[0:40:07.00]-[0:40:09.00]  Los raros trenes
[0:40:09.00]-[0:40:11.00]  Bien me pareció
[0:40:13.00]-[0:40:15.00]  El taragoza cogiendo el tren
[0:40:15.00]-[0:40:17.00]  le dijo a una mujer, uy va a Madrid
[0:40:17.00]-[0:40:19.00]  pues si va a Madrid
[0:40:19.00]-[0:40:21.00]  ya se va al cielo y dijo
[0:40:21.00]-[0:40:23.00]  ¿Dónde debo de ir?
[0:40:23.00]-[0:40:25.00]  Y yo, pobre de mí
[0:40:25.00]-[0:40:27.00]  Pero entonces en Madrid
[0:40:27.00]-[0:40:29.00]  era Madrid
[0:40:29.00]-[0:40:31.00]  y un señor y en Madrid
[0:40:31.00]-[0:40:33.00]  que ahora ya está todo mezclado
[0:40:33.00]-[0:40:35.00]  entonces la gente
[0:40:35.00]-[0:40:37.00]  toda con sombrero
[0:40:37.00]-[0:40:39.00]  y hablar
[0:40:39.00]-[0:40:41.00]  de Madrid
[0:40:41.00]-[0:40:43.00]  Fue una señora mayor
[0:40:43.00]-[0:40:45.00]  de Barcelona
[0:40:45.00]-[0:40:47.00]  y estaba allí en la meridiana
[0:40:47.00]-[0:40:49.00]  ¿Habéis estado? Sí
[0:40:49.00]-[0:40:51.00]  Bueno pues
[0:40:51.00]-[0:40:53.00]  Y decía, no puede ser que haya tantos coches
[0:40:53.00]-[0:40:55.00]  aquí en Barcelona
[0:40:55.00]-[0:40:57.00]  Llegan arriba y dan vueltas por el otro lado
[0:40:57.00]-[0:40:59.00]  y además hay que rodar rodar
[0:40:59.00]-[0:41:01.00]  porque tantos coches
[0:41:01.00]-[0:41:03.00]  Y parecían muchos
[0:41:03.00]-[0:41:05.00]  Claro
[0:41:05.00]-[0:41:07.00]  Y yo, pues ahora
[0:41:07.00]-[0:41:09.00]  una y más porque cuando fue
[0:41:09.00]-[0:41:11.00]  ya hace unos años
[0:41:11.00]-[0:41:13.00]  Pues yo 21 años que el año que fui para Madrid
[0:41:13.00]-[0:41:15.00]  21 años cumplí el
[0:41:15.00]-[0:41:17.00]  sí, sí, sí, sí, sí
[0:41:17.00]-[0:41:19.00]  Sí, sí, sí, sí
[0:41:19.00]-[0:41:21.00]  Siempre me decía que fuera
[0:41:21.00]-[0:41:23.00]  que no había visto nada
[0:41:23.00]-[0:41:25.00]  que fuera, ya un vierno
[0:41:25.00]-[0:41:27.00]  cuando vino mi hermano de la mila y yo
[0:41:27.00]-[0:41:29.00]  pues ahora estoy y yo no voy a ir
[0:41:29.00]-[0:41:31.00]  Claro, claro
[0:41:31.00]-[0:41:33.00]  Yo a Barcelona tenía 16 años o así
[0:41:33.00]-[0:41:35.00]  o 18
[0:41:35.00]-[0:41:37.00]  Entonces ya estaba la gente más desarrollada
[0:41:37.00]-[0:41:39.00]  Ya
[0:41:39.00]-[0:41:41.00]  Estábamos
[0:41:41.00]-[0:41:43.00]  Estábamos siempre en un rincón
[0:41:43.00]-[0:41:45.00]  que nunca sabíamos más que una canción
[0:41:45.00]-[0:41:47.00]  El que no sale de un rincón
[0:41:47.00]-[0:41:49.00]  nada más sabe una canción
[0:41:49.00]-[0:41:51.00]  ¿Verdad?
[0:41:51.00]-[0:41:53.00]  Pues el que no sale nada más
[0:41:53.00]-[0:41:55.00]  no sale de aquí del pueblo no sabe más que una cosa
[0:41:55.00]-[0:41:57.00]  Ah, vale
[0:41:57.00]-[0:41:59.00]  Pero no me iba a cantar la canción
[0:41:59.00]-[0:42:01.00]  No
[0:42:01.00]-[0:42:03.00]  Ahora voy a decir una divineta a ver si la sabes
[0:42:03.00]-[0:42:05.00]  adivinar, pero tú no la digas
[0:42:05.00]-[0:42:07.00]  pero la no debes de saber
[0:42:07.00]-[0:42:09.00]  A ver
[0:42:09.00]-[0:42:11.00]  Soy la más redonda del mundo
[0:42:11.00]-[0:42:13.00]  sin Dios no puede haber Dios
[0:42:13.00]-[0:42:15.00]  Papás y cardinales y pontifices no
[0:42:15.00]-[0:42:17.00]  Me la enseñó mamá cuando era niña
[0:42:17.00]-[0:42:19.00]  y me la adivinan muy pocos
[0:42:19.00]-[0:42:21.00]  Desde entonces
[0:42:21.00]-[0:42:23.00]  ¿El mundo?
[0:42:23.00]-[0:42:25.00]  No
[0:42:25.00]-[0:42:29.00]  Es una divineta
[0:42:31.00]-[0:42:33.00]  Tú no la digas que tú ya lo sabes
[0:42:33.00]-[0:42:35.00]  No la adivinas
[0:42:35.00]-[0:42:37.00]  No, pero...
[0:42:37.00]-[0:42:39.00]  No se aguanta a veces
[0:42:39.00]-[0:42:41.00]  A lo mejor no la adivinarías
[0:42:41.00]-[0:42:43.00]  Me parece una cosa, o sea, tengo la idea de que
[0:42:43.00]-[0:42:45.00]  Soy la más redonda del mundo
[0:42:45.00]-[0:42:47.00]  sin Dios no puede haber Dios
[0:42:47.00]-[0:42:49.00]  Papás y cardinales y pontifices no
[0:42:51.00]-[0:42:53.00]  La hostia
[0:42:53.00]-[0:42:55.00]  La luna
[0:42:55.00]-[0:42:57.00]  El sol
[0:42:57.00]-[0:42:59.00]  No, además me la han adivinado
[0:42:59.00]-[0:43:01.00]  El abuelo la adivinó hace pocos años
[0:43:01.00]-[0:43:03.00]  y la rubia que estaba en Catecampo
[0:43:05.00]-[0:43:07.00]  El año pasado una
[0:43:07.00]-[0:43:09.00]  cuando comíamos allá
[0:43:09.00]-[0:43:11.00]  ¿Estás segura?
[0:43:11.00]-[0:43:13.00]  Bueno, y entonces
[0:43:13.00]-[0:43:15.00]  ¿Cuál es la de... para irlo con el secreto a Madrid?
[0:43:15.00]-[0:43:17.00]  Claro
[0:43:17.00]-[0:43:19.00]  Con la adivinanza
[0:43:19.00]-[0:43:21.00]  ¿La respuesta cuál es?
[0:43:21.00]-[0:43:23.00]  No lo sabemos
[0:43:23.00]-[0:43:25.00]  ¿La O?
[0:43:25.00]-[0:43:27.00]  Sí, la O tú porque la sabías
[0:43:27.00]-[0:43:29.00]  Ah, pero eso va a ser...
[0:43:31.00]-[0:43:33.00]  No tenía idea de qué hacer
[0:43:33.00]-[0:43:35.00]  No sabía bien seguro
[0:43:35.00]-[0:43:37.00]  No lo sabía, pero...
[0:43:37.00]-[0:43:39.00]  Pes, pontifices no
[0:43:39.00]-[0:43:41.00]  ¿En pontifices no está la O?
[0:43:41.00]-[0:43:43.00]  Pues me la enseñó mi mamá cuando era
[0:43:43.00]-[0:43:45.00]  tu mamá, cuando era niña, ¿eh?
[0:43:45.00]-[0:43:47.00]  Ah, sí
[0:43:47.00]-[0:43:49.00]  Pues ¿qué has dicho tú? ¿Cómo has dicho?
[0:43:49.00]-[0:43:51.00]  Soy la más redonda del mundo
[0:43:51.00]-[0:43:53.00]  Si yo no puedo haber ellos
[0:43:53.00]-[0:43:55.00]  Papas y cardenales, sí
[0:43:55.00]-[0:43:57.00]  Pontifices, no
[0:43:57.00]-[0:43:59.00]  Ah, sí, papas y cardenales, sí
[0:43:59.00]-[0:44:01.00]  ¿Pontifices?
[0:44:01.00]-[0:44:03.00]  ¿Pontifices?
[0:44:03.00]-[0:44:05.00]  Pues eso
[0:44:05.00]-[0:44:07.00]  Con papas y cardenales
[0:44:07.00]-[0:44:09.00]  Sí pueden existir, aunque no exista la O
[0:44:09.00]-[0:44:11.00]  Con pontifices
[0:44:11.00]-[0:44:13.00]  Claro
[0:44:13.00]-[0:44:15.00]  En papas y hasta la A
[0:44:15.00]-[0:44:17.00]  Ya tiene una...
[0:44:17.00]-[0:44:19.00]  Claro
[0:44:19.00]-[0:44:21.00]  ¿En serio?
[0:44:21.00]-[0:44:23.00]  Pues sí
[0:44:23.00]-[0:44:25.00]  En toda la vida
[0:44:25.00]-[0:44:27.00]  muy pocos
[0:44:27.00]-[0:44:29.00]  Gente de la vieja o no como yo
[0:44:29.00]-[0:44:31.00]  Claro, es muy difícil
[0:44:31.00]-[0:44:33.00]  ¿Hay alguna canción que nos podrían cantar?
[0:44:33.00]-[0:44:35.00]  Ay, no sé
[0:44:35.00]-[0:44:37.00]  ¿Alguna cancioncilla que se sepan?
[0:44:37.00]-[0:44:39.00]  Quizás el pueblo de toda la vida
[0:44:39.00]-[0:44:41.00]  Canciones, nada
[0:44:41.00]-[0:44:43.00]  ¿Que cantas en de pequeñas?
[0:44:43.00]-[0:44:45.00]  ¿Algún juego así con canción?
[0:44:45.00]-[0:44:47.00]  No, no
[0:44:47.00]-[0:44:49.00]  ¿No se acuerdan?
[0:44:49.00]-[0:44:51.00]  Es que son muy largos
