[0:00:00.00]-[0:00:10.00]  ¿Cuál es su nombre?
[0:39:17.00]-[0:39:25.00]  Y yo me acuerdo de, no sé si sería tú, si uno de tus hermanos, de que tu padre lo subía, yo también muchacha, lo subía en el mostrador y cantaba que daba gusto.
[0:39:25.00]-[0:39:26.00]  Yo creo que fue el que se murió.
[0:39:26.00]-[0:39:28.00]  Sí, sí, sería.
[0:39:28.00]-[0:39:35.00]  Un chiquitito con siete años cantaba la isa y la folia del muchachito que parecía un pájaro canario.
[0:39:35.00]-[0:39:37.00]  Lo chiquitito lo subía tu padre y le contaba.
[0:39:37.00]-[0:39:43.00]  Entonces, no tuve que había parrandas, iban las parrandas a tocar a los ventorrillos y tu padre, agarrá que tu padre también cantaba bien, en paz de casa.
[0:39:43.00]-[0:39:45.00]  Tenía yo mucha, yo…
[0:39:45.00]-[0:39:51.00]  Y después lo subía sobre el mostrador pequeñito, mía tú, y el muchachito cantaba que parecía un fonógrafo.
[0:39:51.00]-[0:39:53.00]  Yo creo que íbamos allá a la calle de…
[0:39:53.00]-[0:39:57.00]  Allí al lado de Bruno, por reme…
[0:39:57.00]-[0:40:00.00]  Ah, sí, sí, sí, sí, sí, sí, al ligue.
[0:40:00.00]-[0:40:02.00]  Que tenía una cantina.
[0:40:02.00]-[0:40:03.00]  Sí, él tenía allí una cantinita.
[0:40:03.00]-[0:40:07.00]  Al ligue íbamos a tocar y a cantar.
[0:40:07.00]-[0:40:10.00]  Tu padre era una persona buena.
[0:40:10.00]-[0:40:17.00]  Y los bailes, por ejemplo, cuando un chico le gustaba una chica, ¿cómo era el cortejo antes?
[0:40:17.00]-[0:40:27.00]  Pues la invitaba a bailar y después se le iba declarando si la chica le gustaba, pues seguían perencinas.
[0:40:27.00]-[0:40:28.00]  Si le gustaba, seguían.
[0:40:28.00]-[0:40:33.00]  Cuando mi marido me enamoró, había tenido una novia y lo dejó o la dejó él, yo qué sé.
[0:40:33.00]-[0:40:38.00]  Yo he tenido dos y él había venido de Venezuela y después me fue, me sacó a bailar y bailó.
[0:40:38.00]-[0:40:44.00]  Fue un primo mío y estaba bailando yo con una chica, que se usaban bailar las chicas y después ir a partir pareja.
[0:40:44.00]-[0:40:50.00]  Y después vino a venir a partir a pareja, el chico y el otro chico bailó con él y mi marido bailó conmigo.
[0:40:50.00]-[0:40:52.00]  Y después volvió a sacarme a bailar.
[0:40:52.00]-[0:40:58.00]  Volvió a bailar y después empezó a decir, a declarárseme, dígole, pa' sobras nací tarde.
[0:40:58.00]-[0:41:01.00]  Dígole, oye, es que te crees tú, pa' sobras nací yo tarde.
[0:41:01.00]-[0:41:05.00]  Y después siempre acabé casándome con él.
[0:41:08.00]-[0:41:12.00]  Pero entonces sí se bailaban y se enamoraban y se declaraban.
[0:41:12.00]-[0:41:17.00]  Y yo otro pues, por papelito, los que no iban a los bailes, por papelito.
[0:41:17.00]-[0:41:20.00]  ¿Cómo se decía? ¿Dónde se dejaba el papelito?
[0:41:20.00]-[0:41:25.00]  Se lo mandaban con una hermana o con una amiga o algo así pa' declararse.
[0:41:25.00]-[0:41:27.00]  Le hacían una carta ahí.
[0:41:29.00]-[0:41:31.00]  ¿Y para pedir la mano cómo era?
[0:41:31.00]-[0:41:35.00]  Pues hablabas con tu padre, hablaba yo ahí, hablabas con mi hermana.
[0:41:35.00]-[0:41:37.00]  Ah, y había que pedirle permiso pa' agarrar un hielo.
[0:41:37.00]-[0:41:41.00]  Sí, pa' hablar con la novia también, pa' salir con ella y acompañarla.
[0:41:41.00]-[0:41:43.00]  Tenía que ir a hablar con el padre.
[0:41:43.00]-[0:41:49.00]  Entonces ahí iban las madres a los bailes, iban con ella y...
[0:41:52.00]-[0:41:58.00]  Son con la chica hasta ahí, lo mismo desde que salí hasta que ella entró.
[0:41:58.00]-[0:42:02.00]  Sí, antes, por ejemplo, la soltura de ahora que va.
[0:42:02.00]-[0:42:08.00]  Antes no tenían más controlado, que mi madre nos llevaba al baile y se sentaba allí a la orilla al baile.
[0:42:08.00]-[0:42:12.00]  Teníamos que bailar con una viecita al lado de mi madre otra vez.
[0:42:15.00]-[0:42:18.00]  Y alguno que le tenía miedo a las viejas, les ponía...
[0:42:18.00]-[0:42:23.00]  Dice, te quería sacar a bailar pero cualquiera te saca que estaba al lado de tu madre.
[0:42:26.00]-[0:42:31.00]  ¿Y aquí en las fiestas grandes eran aquí en Fácil o había otro pueblo donde se dejaban?
[0:42:31.00]-[0:42:35.00]  No, está el pueblo y después están los barrios que también hacen buenas fiestas.
[0:42:35.00]-[0:42:37.00]  También hacen buenas fiestas en los barrios.
[0:42:37.00]-[0:42:42.00]  Y la gente ahora mismo en el mes que entra está una fiesta ahí en la Sabina Alta, una romería.
[0:42:42.00]-[0:42:44.00]  Y es preciosa, preciosa.
[0:42:44.00]-[0:42:51.00]  Es una fiesta de mucha hermandad, es una fiesta que la gente muy unida.
[0:42:51.00]-[0:42:58.00]  Va todo el mundo y vienen las carrozas y todos eligen romeras y todo y eso es muy bonito, muy bonito.
[0:42:58.00]-[0:43:00.00]  Y comida.
[0:43:00.00]-[0:43:04.00]  Y comida ahí, a discreción y es bonito, bonito, bonito.
[0:43:04.00]-[0:43:10.00]  Y después un hermanamiento que hay que te deja bueno.
[0:43:10.00]-[0:43:14.00]  Sí, ahí se hacen en la Zarza, se hacen tres o cuatro fiestas.
[0:43:14.00]-[0:43:16.00]  Sí, después está la del Carmen en la Zarza.
[0:43:16.00]-[0:43:19.00]  La del Carmen está la de María Auxiliadora.
[0:43:19.00]-[0:43:22.00]  Después está la sombrera de María Auxiliadora y...
[0:43:22.00]-[0:43:26.00]  Después otra que hacen los cazadores arriba en el Pinal.
[0:43:26.00]-[0:43:29.00]  Otra que hacen también en San Bancracio.
[0:43:29.00]-[0:43:32.00]  Después está ahí la Cruz del Roque que celebra el Día de la Cruz.
[0:43:32.00]-[0:43:34.00]  En el Día 3 de mayo.
[0:43:34.00]-[0:43:36.00]  Y hay lo menos siete o ocho fiestas.
[0:43:36.00]-[0:43:38.00]  Y después está la Jera también que hacen buenas fiestas.
[0:43:38.00]-[0:43:40.00]  En la Jera también hacen buenas fiestas.
[0:43:40.00]-[0:43:46.00]  La Virgen del Carmen la hacen abajo en la playa La Jera.
[0:43:46.00]-[0:43:48.00]  También una fiesta de cinco o seis días buenas.
[0:43:48.00]-[0:43:53.00]  Y después está la del Roque aquí en Fania también que está San Bancracio.
[0:43:53.00]-[0:43:58.00]  Y después la de la Vierge de la Vierge que es la de la Vierge de la Vierge.
[0:43:58.00]-[0:44:03.00]  La del Roque aquí en Fania también que está San Roque.
[0:44:03.00]-[0:44:07.00]  ¿Y qué instrumento? ¿Cómo era antes la fiesta? ¿Qué se tocaba?
[0:44:07.00]-[0:44:09.00]  Acá era de cuervo.
[0:44:09.00]-[0:44:11.00]  Era de cuervo.
[0:44:11.00]-[0:44:13.00]  De guitarra y violines y acordeones.
[0:44:13.00]-[0:44:15.00]  De guitarra, timple, hum.
[0:44:15.00]-[0:44:18.00]  Y violín.
[0:44:18.00]-[0:44:19.00]  Eso era antes.
[0:44:19.00]-[0:44:24.00]  Los bailes se hacían antes y los hacían en cualquier casa.
[0:44:24.00]-[0:44:28.00]  Antes no era como hoy que se hacen los bailes en las plazas.
[0:44:28.00]-[0:44:30.00]  Antes lo hacían en cualquier casa.
[0:44:30.00]-[0:44:33.00]  Hacían los bailes.
[0:44:38.00]-[0:44:43.00]  ¿Y hubo mucha migración de Quilisfacien para otras partes de aquí?
[0:44:43.00]-[0:44:46.00]  ¿De Nereife o para otros países?
[0:44:46.00]-[0:44:47.00]  Sí, sí, sí.
[0:44:47.00]-[0:44:49.00]  Aquí empezaron a emigrar.
[0:44:49.00]-[0:44:53.00]  Aquí, primeramente, donde primero se fueron fue donde hay una gente de la salsa.
[0:44:53.00]-[0:44:55.00]  De Fania creo que no fue ninguno de la salsa.
[0:44:55.00]-[0:44:57.00]  Se fueron ahí por la Jera.
[0:44:57.00]-[0:45:00.00]  Se fueron en un cayuco de estos que hay ahora igual que los moros.
[0:45:00.00]-[0:45:01.00]  Estos que están viniendo.
[0:45:01.00]-[0:45:03.00]  Estuvieron un mes o no sé cuán.
[0:45:03.00]-[0:45:07.00]  Se estuvieron. Se les acabó lo que llevaban que comer.
[0:45:07.00]-[0:45:11.00]  Y después les pidieron de promesa que si llegaban a Venezuela y llegaron a Venezuela.
[0:45:11.00]-[0:45:13.00]  Yo creo que no se murieron ninguno.
[0:45:13.00]-[0:45:15.00]  No, no murieron pero pasaron bien las marcas.
[0:45:15.00]-[0:45:17.00]  Se les terminó la comida.
[0:45:17.00]-[0:45:20.00]  Se llevaron muchos hijos pasados y llevaron queso.
[0:45:20.00]-[0:45:24.00]  Cuando fueron a embarcar por la acera porque ese barco venía,
[0:45:24.00]-[0:45:28.00]  a lo mejor les llevaban a recoger unos pocos en el lado del Otago,
[0:45:28.00]-[0:45:30.00]  otros pocos iba recogiendo.
[0:45:30.00]-[0:45:33.00]  Y entonces cuando vino a recogerlos aquí a la Jera,
[0:45:33.00]-[0:45:39.00]  la guardia civil les cayó atrás o les tiró unos tiros a la isla.
[0:45:39.00]-[0:45:45.00]  Entonces salieron y dejaron la comida y se les quedó en tierra.
[0:45:45.00]-[0:45:48.00]  Algo llevaban que comer pero los de aquí por el por el.
[0:45:48.00]-[0:45:51.00]  Los de allá traían algo pero los de aquí dejaron todo yo creo.
[0:45:51.00]-[0:45:53.00]  Los dejaron todo.
[0:45:53.00]-[0:45:59.00]  Y después no tenían nada que comer y gracias a un barco que después los socorrió en las altas mares.
[0:45:59.00]-[0:46:01.00]  Y llegaron a Venezuela.
[0:46:01.00]-[0:46:06.00]  Les dio comida y después yo no sé porque no llegaron primero.
[0:46:06.00]-[0:46:09.00]  ¿Dónde llegaron primero? ¿A Puerto Rico?
[0:46:09.00]-[0:46:13.00]  Yo no sé. Ellos llegaron pero muy cerca de un sitio opuesto de Venezuela.
[0:46:13.00]-[0:46:15.00]  Pero llegaron. Siempre fueron a Venezuela.
[0:46:15.00]-[0:46:16.00]  Sí, siempre llegaron a Venezuela.
[0:46:16.00]-[0:46:19.00]  Y ustedes hicieron de promesa que si se salvaban,
[0:46:19.00]-[0:46:23.00]  ponían la Virgen del Carmen en la Jera y hacían una ermita.
[0:46:23.00]-[0:46:25.00]  Y ellos los por el arreglaban sus posibilidades,
[0:46:25.00]-[0:46:27.00]  hicieron la ermita y pusieron ahí la Virgen.
[0:46:27.00]-[0:46:31.00]  Y después un alcalde que estuvo y tiró la ermita que eso fue un pecado.
[0:46:31.00]-[0:46:33.00]  Sí, lo tiraron.
[0:46:33.00]-[0:46:35.00]  Fue un pecado. Era una cosa que estaba histórica.
[0:46:35.00]-[0:46:39.00]  Mi padre para descanse iba a ir y entonces estuvo esperando unos tres días
[0:46:39.00]-[0:46:43.00]  y el barco no llegaba y entonces se fue para la cumbre a hacer carbón.
[0:46:43.00]-[0:46:48.00]  Y cuando ya llegó esa misma noche ya ha salido el barco.
[0:46:48.00]-[0:46:54.00]  Entonces muchos se quedaron porque claro, no sabían que salían.
[0:46:54.00]-[0:46:57.00]  Fueron de los primeros que llegaron a Venezuela de aquí.
[0:46:57.00]-[0:46:59.00]  Pues empezaron ya a hablar bien de Venezuela.
[0:46:59.00]-[0:47:02.00]  Sí, porque primero también emigraron para Cuba.
[0:47:02.00]-[0:47:08.00]  Para Cuba emigró mucha gente antiguamente en 1800, desde 1800.
[0:47:08.00]-[0:47:10.00]  Y para Argentina también se fue mucha gente.
[0:47:10.00]-[0:47:14.00]  Y en 1900 mi suegro estuvo en Cuba y mi padre.
[0:47:14.00]-[0:47:18.00]  Y mi padre también estuvo en Cuba y mi tío estuvieron en Cuba.
[0:47:18.00]-[0:47:23.00]  ¿Y antes lo normal era vivían en América un tiempo y luego regresaban o lo normal era restar?
[0:47:23.00]-[0:47:27.00]  Uno regresaban y otros no. Otros se quedaban por allá, unos descasaron,
[0:47:27.00]-[0:47:32.00]  dejaron aquí sus niños y sus mujeres y pidieron créditos para poderse embarcar
[0:47:32.00]-[0:47:37.00]  y después mandaron dinero un poco tiempo y después no volvieron más aquí.
[0:47:37.00]-[0:47:38.00]  Hicieron sus vidas por allá.
[0:47:38.00]-[0:47:43.00]  No mandaron dinero ni nada, porque allá se buscaban otras mujeres allá
[0:47:43.00]-[0:47:48.00]  y aquí dejaron muchos de ellos, dejaron los hijos y las mujeres y todo.
[0:47:48.00]-[0:47:51.00]  Y se quedaron por allá.
[0:47:51.00]-[0:47:59.00]  Y ahora mismo aquí de Fania muchos que fueron vivieron bien, pero claro, no controlaron.
[0:47:59.00]-[0:48:02.00]  Y ahora también es que está mal.
[0:48:02.00]-[0:48:07.00]  Y entonces después estaban pasando necesidades y les estaban mandando de aquí para allá.
[0:48:07.00]-[0:48:10.00]  Pero ahora es que está mal, mal, ya no hay nadie que comer siquiera.
[0:48:10.00]-[0:48:14.00]  Bueno, y si que iban a cerrar las panaderías porque no había ni trigo que moler.
[0:48:14.00]-[0:48:16.00]  Dijo la radio el otro día.
[0:48:16.00]-[0:48:22.00]  Venezuela, Venezuela sí está mal ahora.
[0:48:22.00]-[0:48:24.00]  Y ahora se están marchando para...
[0:48:24.00]-[0:48:31.00]  Todo el que estudia aquí, pues que tiene carrera algo importante, se va fuera de aquí a trabajar
[0:48:31.00]-[0:48:36.00]  porque está... consigue mejores trabajos y hace las carreras
[0:48:36.00]-[0:48:39.00]  y después aquí no tienen trabajo ninguno.
[0:48:39.00]-[0:48:44.00]  Y entonces se marchan fuera de aquí a buscar trabajo.
[0:48:46.00]-[0:48:50.00]  ¿Y aquí había escuela? ¿Siempre hubo escuela aquí en Fania?
[0:48:50.00]-[0:48:51.00]  Sí, primero...
[0:48:51.00]-[0:48:55.00]  Sí, en la escuela sí había, cuando yo pequeño sí había escuela.
[0:48:55.00]-[0:48:57.00]  Cuando mi hermano más viejo le daba un cura.
[0:48:57.00]-[0:49:02.00]  Mi hermano, mi hermano que tiene ahora 93 años, 94.
[0:49:02.00]-[0:49:06.00]  Y eso te daba un cura aquí, venía mi hermano, mi hermano.
[0:49:06.00]-[0:49:09.00]  Pero ya yo cuando empecé a ir a la escuela, había una escuela.
[0:49:09.00]-[0:49:15.00]  Estaba una maestra para las niñas, tampoco íbamos juntos, ¿qué te crees?
[0:49:15.00]-[0:49:18.00]  Y un maestro para los niños.
[0:49:18.00]-[0:49:23.00]  Pero no, había dos maestros, dos escuelas de chicos y dos escuelas de chicas.
[0:49:23.00]-[0:49:28.00]  ¿Y cómo cree usted que es la educación en comparación al presente?
[0:49:28.00]-[0:49:35.00]  ¿En el que antes era más estricta o antes quizá era menos estricta?
[0:49:35.00]-[0:49:39.00]  Yo que antes había más respeto con la gente,
[0:49:39.00]-[0:49:43.00]  respetaba a la gente, respetaba a los mayores,
[0:49:43.00]-[0:49:47.00]  les daba la mano si los días que se iban a levantar o les dejaba el asiento.
[0:49:47.00]-[0:49:51.00]  Ahora ya que va eso, ya no se ve, se ríen de ti.
[0:49:51.00]-[0:49:55.00]  Había otro respeto, otra educación.
[0:49:55.00]-[0:50:00.00]  Y no, ahora ya hacen lo que quieren, hoy me insultan a los padres.
[0:50:00.00]-[0:50:05.00]  Yo veo muchos padres que tienen los niños y les dan todo, todo, todo.
[0:50:05.00]-[0:50:12.00]  Cuando llegan a 12 o 13 años o 14, ya ellos se creen grandes y ya los van a reprender y ya no pueden.
[0:50:12.00]-[0:50:14.00]  Ya no los puedes porque se te viran.
[0:50:14.00]-[0:50:18.00]  Yo he criado uno solo y la verdad tuve toda la vida en molos,
[0:50:18.00]-[0:50:22.00]  porque ya te digo yo tenía un centro de artesanía y cosía para la calle.
[0:50:22.00]-[0:50:26.00]  Aparte tenía una finca y la trabajábamos, yo tengo las piernas así.
[0:50:26.00]-[0:50:29.00]  Ahora tengo que, de lo que ha trabajado en este mundo.
[0:50:29.00]-[0:50:34.00]  Y yo nunca me faltó para darle 10 pesetas,
[0:50:34.00]-[0:50:38.00]  pero yo no le daba sino 5 para que nunca le sobrara el dinero.
[0:50:38.00]-[0:50:43.00]  Y cuando tenía, era buen estudiante, tenía 10, 12 años y era más estudiante bueno,
[0:50:43.00]-[0:50:47.00]  era más chapa contenta con él, ya estaban, ya le admito los colegios.
[0:50:47.00]-[0:50:50.00]  Y entonces ya después me empezó a llegar con malas notas.
[0:50:50.00]-[0:50:53.00]  Cuando yo le vi las malas notas digo al padre mira lo llevas para la finca a trabajar.
[0:50:53.00]-[0:50:56.00]  Digo, dice, ¡ay! ¿Qué vas que se me cae?
[0:50:56.00]-[0:50:57.00]  Digo, que se vuelve a levantar.
[0:50:57.00]-[0:50:59.00]  Eso no se va a hacer nada, lo enseña.
[0:50:59.00]-[0:51:03.00]  Digo, para que aprenda el lápiz de la guataca.
[0:51:03.00]-[0:51:04.00]  Lo llevas para arriba, oye.
[0:51:04.00]-[0:51:09.00]  Pues lo empezó a llevar, mira, él después terminó en el instituto,
[0:51:09.00]-[0:51:16.00]  se fue a empresariales, pero después tenía un cuñado que era de hostelería,
[0:51:16.00]-[0:51:21.00]  maestro de hostelería y lo aconsejó y se metió en hostelería.
[0:51:21.00]-[0:51:23.00]  Pues estuvo 4 años, pues hizo cocina.
[0:51:23.00]-[0:51:29.00]  Cuando me enteré, él se fue a matricular en mayo y yo me enteré que se había matriculado en septiembre por hostelería.
[0:51:29.00]-[0:51:33.00]  Me dio disgusto, yo quería que hiciera carrera distinta.
[0:51:33.00]-[0:51:39.00]  Pues hoy trabaja en el hospital de cocinero, tiene un trabajo ahí bueno.
[0:51:39.00]-[0:51:42.00]  ¿Y qué cosas se enseñaban en la escuela?
[0:51:42.00]-[0:51:48.00]  A abordar, a coser, los chicos…
[0:51:48.00]-[0:51:51.00]  A los chicos no enseñaban nada más que a leer y a escribir.
[0:51:51.00]-[0:51:52.00]  A leer y a escribir.
[0:51:52.00]-[0:51:54.00]  Y entonces no era como hoy.
[0:51:54.00]-[0:51:56.00]  Entonces estaba todavía la cosa que la mujer…
[0:51:56.00]-[0:52:04.00]  Todavía enseñan de otra manera y enseñan otros idiomas y idiomas y todo y entonces no.
[0:52:04.00]-[0:52:06.00]  Entonces no se enseñaban nada más que el español nada más.
[0:52:06.00]-[0:52:11.00]  Entonces todavía estaba que el hombre es el que tenía que aprender y la mujer a coser y a la cocina.
[0:52:11.00]-[0:52:14.00]  Todavía estaba esa cosa cuando yo me crié.
[0:52:14.00]-[0:52:22.00]  Entonces nos enseñaban a coser, a abordar y nos enseñaban y nos daban también, aprendíamos matemáticas.
[0:52:22.00]-[0:52:27.00]  Y otra vez iban a parte también, a aprender a coser y a…
[0:52:27.00]-[0:52:33.00]  Sí, pues estaban modistas aquí, después yo estuve con una modista desde que salí de la escuela.
[0:52:33.00]-[0:52:40.00]  Cuando salí de la escuela me echaron, porque yo siempre me quedo pena y siempre estaban cosas particulares, cursos particulares.
[0:52:40.00]-[0:52:42.00]  De todo lo que apuntaba.
[0:52:42.00]-[0:52:49.00]  Y cuando me echaron a los 14 años, después empecé a aprender a calar, que mi madre sabía, pero como tenía otro niño ya no calaba.
[0:52:49.00]-[0:52:52.00]  Pero tenía una tía y unas primas que calaban y empecé a calar.
[0:52:52.00]-[0:53:03.00]  Y cuando tenía 16 años vinieron del Puerto La Cruz y me trajeron una tonca de tela y me dieron 6.500 pesetas para que les repartiera calado.
[0:53:03.00]-[0:53:06.00]  Y me estuve toda la vida repartiendo calado.
[0:53:06.00]-[0:53:13.00]  Y después ya me contrató, ya estaba con el Cabildo y después ya estuve con el Cabildo, ha estado con el Cabildo toda la vida.
[0:53:13.00]-[0:53:22.00]  Ahora ya no, porque ahora dice que los vendedores ambulantes, el fraude está en los vendedores ambulantes.
[0:53:22.00]-[0:53:27.00]  El fraude de España está en los vendedores ambulantes.
[0:53:27.00]-[0:53:34.00]  Si yo me estoy un mes, un mes y pico, tú no sabes lo que es calado, porque el calado tiene que coger la tela, hacer el diseño,
[0:53:34.00]-[0:53:40.00]  sacarle todos los hilos, ponerlo en unos bastidores y después volverlo a empezar a hacerle ahí un modelo.
[0:53:40.00]-[0:53:45.00]  Que tú te imagines o que veas, hacerle ahí un modelo de calado todo con hilos rellenaditos,
[0:53:45.00]-[0:53:51.00]  pues te estás tal vez en un pañito así, te estás 6 días en hacerlo.
[0:53:51.00]-[0:53:57.00]  Y después lo vendes tal vez en 24, 25 euros.
[0:53:57.00]-[0:54:03.00]  Te tienes que calar 6 paños de esos para hacerte tal vez 100 euros.
[0:54:03.00]-[0:54:10.00]  Y después te tienes que darte de alta en Hacienda, y tienes que pagar, qué sé yo.
[0:54:10.00]-[0:54:12.00]  Tienes que estar un mes para hacerlo.
[0:54:12.00]-[0:54:16.00]  Tienes que pagar la Seguridad Social que te vale, yo creo que ya 300 y pico euros.
[0:54:16.00]-[0:54:23.00]  Y después lo que te cobre Hacienda, que no es que tú le hayas dicho, declare, yo vendí 6 paños nada más en este mes,
[0:54:23.00]-[0:54:25.00]  y después dicen, no, no, usted vendió más.
[0:54:25.00]-[0:54:27.00]  Declare más porque usted vendió más.
[0:54:27.00]-[0:54:31.00]  Y no me lo creen que vendí 6, porque así es Hacienda.
[0:54:31.00]-[0:54:36.00]  Entonces yo tenía un puesto aquí que abrieron un mercadillo en los Roques de Fasnio,
[0:54:36.00]-[0:54:42.00]  y tenía un puesto para ir a vender los calados, y me informé bien y me dieron eso.
[0:54:42.00]-[0:54:45.00]  Y perdí la pensión.
[0:54:45.00]-[0:54:49.00]  Digo, no, no, yo me quedo con la pensión, entonces ya lo dejé.
[0:54:49.00]-[0:54:51.00]  Ya ni renove el carné ni nada.
[0:54:51.00]-[0:54:53.00]  Lo dejé.
[0:54:53.00]-[0:55:04.00]  Y volviendo al tema de la escuela, ¿ustedes creen que el maestro tenía más autoridad antes, que era más estricto?
[0:55:04.00]-[0:55:06.00]  Sí, más respeto le teníamos.
[0:55:06.00]-[0:55:12.00]  Más respeto, ellos sí nos deportaban un poquito, no merecíamos que deportáramos,
[0:55:12.00]-[0:55:15.00]  y más les ponían hasta granos de anillo y los ponían de rodillas.
[0:55:15.00]-[0:55:16.00]  Sí, sí, sí.
[0:55:16.00]-[0:55:20.00]  Y aquí había una maestra, yo estuve con una que era más buena y me quería, la pobre.
[0:55:20.00]-[0:55:24.00]  Sí, pero aquí había una que iban de excursión todos los jueves por la tarde,
[0:55:24.00]-[0:55:27.00]  iban de excursión, unas veces iban para abajo, para un barranco que hay ahí,
[0:55:27.00]-[0:55:30.00]  entre los tres ojos, y otras veces iban a la montaña,
[0:55:30.00]-[0:55:34.00]  y le hacía traer bolsas de arena de picón desde la montaña,
[0:55:34.00]-[0:55:37.00]  para cuando las ponía de rodillas, ponerles debajo.
[0:55:37.00]-[0:55:39.00]  Sí, de rodillas.
[0:55:39.00]-[0:55:41.00]  De picón de la montaña, muchachos.
[0:55:41.00]-[0:55:45.00]  Y una vez me acuerdo que me dieron que me estudiara la...
[0:55:45.00]-[0:55:48.00]  Estudiara regla de tres, creo yo.
[0:55:48.00]-[0:55:50.00]  Sí, regla de tres era.
[0:55:50.00]-[0:55:52.00]  Yo no me acuerdo, ella no me acuerdo.
[0:55:52.00]-[0:55:55.00]  Me dieron que me la estudiara, mira, me escondía allá yo para estudiarlo,
[0:55:55.00]-[0:56:00.00]  porque la maestra sí te decía que mañana les pregunte y la que no lo sepa se las va a ver conmigo.
[0:56:00.00]-[0:56:02.00]  Y yo lo que estudié, estudié, y yo me acuerd...
[0:56:02.00]-[0:56:06.00]  Llegué hasta un sitio, hasta un lado, a esto más o menos se lo dije bien cuando me preguntó,
[0:56:06.00]-[0:56:08.00]  pero ahí me trabí, y ya...
[0:56:08.00]-[0:56:11.00]  Dicen de rodillas, estudiártelo en la puerta.
[0:56:11.00]-[0:56:15.00]  Yo digo, tú ya éramos, ya era, ya tenía lo menos 13 años,
[0:56:15.00]-[0:56:20.00]  porque ya éramos, ya estar con las matemáticas ya teníamos,
[0:56:20.00]-[0:56:24.00]  si hacíamos la suma, la resta, la multiplicación, la división,
[0:56:24.00]-[0:56:27.00]  pero después cuando entrábamos ya en problemas y entre las cosas,
[0:56:27.00]-[0:56:29.00]  ya teníamos que ya éramos más grandes.
[0:56:29.00]-[0:56:33.00]  Dice de rodillas, en la puerta, a mí y a otras dos chicas nos puso de rodillas,
[0:56:33.00]-[0:56:36.00]  en la puerta a estudiar, nos la con el libro, y pasaban ya unos muchachos,
[0:56:36.00]-[0:56:40.00]  y a nosotros mirábamos para los muchachos, ¡ay, qué tan de rodillas!
[0:56:40.00]-[0:56:45.00]  Y nosotros ahí estudiando con la cabeza cañazón.
[0:56:45.00]-[0:56:50.00]  Y con los niños también, ¿cómo eran los castigos para los niños en la escuela?
[0:56:50.00]-[0:56:53.00]  ¿Para los niños cómo eran los castigos?
[0:56:53.00]-[0:56:57.00]  Eso no te digo, les ponían hasta, les ponían hasta millón en el suelo,
[0:56:57.00]-[0:57:01.00]  les ponían de rodillas, arrestados.
[0:57:01.00]-[0:57:07.00]  Y ahí de rodillas hasta que les salía la sangre por las rodillas a veces alguno.
[0:57:07.00]-[0:57:15.00]  ¿Y ustedes creen que hay cosas que los profesores hoy dejan hacer a los niños que antes no dejaban hacer?
[0:57:15.00]-[0:57:23.00]  No, yo estoy de acuerdo que los niños se vayan criando de tú a tú, el padre y el hijo,
[0:57:23.00]-[0:57:28.00]  pero siempre con un respeto, siempre con un respeto, siempre decirle,
[0:57:28.00]-[0:57:31.00]  ¿dónde tienen la mano derecha que ellos vayan entrando?
[0:57:31.00]-[0:57:36.00]  Yo tengo un nieto que tiene los cinco años, y el padre no tengo sino ese nieto solo,
[0:57:36.00]-[0:57:41.00]  y el hijo y ese nieto solo, y el padre si tiene que reprenderlo, lo reprende,
[0:57:41.00]-[0:57:46.00]  y él le va diciendo las cosas como son, que él lo vaya comprendiendo,
[0:57:46.00]-[0:57:50.00]  que él vaya comprendiendo lo que está mal y lo que está bien.
[0:57:50.00]-[0:57:54.00]  Y yo cuando el mío estaba estudiando, que se quejaba, mamá,
[0:57:54.00]-[0:57:59.00]  que fulano me pegó cuando salía de la escuela, yo nunca iba a pelear con nadie,
[0:57:59.00]-[0:58:03.00]  porque mi madre siempre decía, uno por los hijos no pelea con nadie,
[0:58:03.00]-[0:58:06.00]  porque ellos los hijos, los muchachos son como los perros,
[0:58:06.00]-[0:58:09.00]  hoy pelean y mañana están juntos, y el que queda mal es uno, los padres,
[0:58:09.00]-[0:58:12.00]  dicen, pues los hijos no se pelean, y mi madre, el mío venía y dice,
[0:58:12.00]-[0:58:16.00]  mamá, que fulano me pegó, lo que sea, me pegó, y digole, ¿algo le haría?
[0:58:16.00]-[0:58:20.00]  Dice, no, no, yo venía tranquilo y él me pegó, digole, pues yo fui hasta,
[0:58:20.00]-[0:58:24.00]  hasta bajó hasta la plaza y yo vine aquí, a mí no me pegó nadie, algo le hiciste,
[0:58:24.00]-[0:58:29.00]  y otra vez se sepó y dice, mamá, que papá me pegó, digole, bueno, pues,
[0:58:29.00]-[0:58:36.00]  que papá me dijo, tal, digole, pues, digole, mira, en España gobierna Franco,
[0:58:36.00]-[0:58:41.00]  se te ha visto, ya estaba Franco cuando el mío, digole, en Santa Cruz gobierna,
[0:58:41.00]-[0:58:45.00]  entonces había un gobernador en Santa Cruz, no era presidente, sino un gobernador,
[0:58:45.00]-[0:58:49.00]  dice, digole, en Santa Cruz está el gobernador, y en Fania está la Guardia Civil,
[0:58:49.00]-[0:58:53.00]  y en casa está papá, en cada lugar hay uno que manda,
[0:58:53.00]-[0:58:59.00]  y nosotros tenemos que estarnos calladitos, pues se quedaba conforme.
