[0:00:00.00]-[0:00:01.00]  ¿Era eso?
[0:59:35.00]-[0:59:44.00]  Pero eso, habíamos ido allí y mi padre compró una garrafa de cuatro litros.
[0:59:44.00]-[0:59:53.00]  Porque tendrían que merendar para dar a la gente y tal.
[0:59:53.00]-[0:59:55.00]  Y cuando...
[0:59:55.00]-[0:59:57.00]  ¿Pero merendar en qué época? ¿En el campo?
[0:59:57.00]-[1:00:03.00]  Sí, en ese tiempo, en primavera, ahora es cuando se recoge el eno.
[1:00:03.00]-[1:00:11.00]  Y encima había el carro grande, digamos.
[1:00:11.00]-[1:00:17.00]  Y llevábamos un saco lleno de paja para sentarte encima del carro.
[1:00:17.00]-[1:00:22.00]  Porque cuando ibas de vacío no había nada para sentarte.
[1:00:22.00]-[1:00:28.00]  Y yo me quedé jugando allí en el carro.
[1:00:28.00]-[1:00:33.00]  Y cuando vinieron a merendar yo estaba sobando encima de él.
[1:00:33.00]-[1:00:36.00]  Y era que mientras tanto, encima del carro.
[1:00:36.00]-[1:00:41.00]  Porque el carro quedaba, yo qué sé, una altura así del suelo.
[1:00:41.00]-[1:00:46.00]  Y me iba bien bebiendo de la garrafa.
[1:00:46.00]-[1:00:50.00]  Yo qué sé, a lo mejor me tomé un vaso como los de agua.
[1:00:50.00]-[1:00:52.00]  Para un niño pequeño.
[1:00:52.00]-[1:00:59.00]  Y cuando me desperté, ya habíamos, eso estaba de casa, yo qué sé,
[1:00:59.00]-[1:01:02.00]  cinco o seis kilómetros debía estar de casa.
[1:01:02.00]-[1:01:11.00]  Cuando me desperté estaba en casa y mi padre había cargado el carro de gavillas.
[1:01:11.00]-[1:01:18.00]  Y cuando me desperté estaba en casa, encima del carro todavía.
[1:01:18.00]-[1:01:21.00]  Y me dijo, ¿qué hay? ¿Qué hay el FED?
[1:01:21.00]-[1:01:24.00]  ¿Qué hay por cubrir? Me dijo mi padre.
[1:01:24.00]-[1:01:26.00]  Y me dijo, ¿sí?
[1:01:26.00]-[1:01:32.00]  Y se ve que me había dormido y no...
[1:01:32.00]-[1:01:34.00]  ¿Y la madre qué dijo?
[1:01:34.00]-[1:01:37.00]  Nada que iba a decir.
[1:01:37.00]-[1:01:39.00]  Cosa de críos.
[1:01:39.00]-[1:01:41.00]  ¿Es ahora?
[1:01:41.00]-[1:01:43.00]  Sí, sí, sí.
[1:01:43.00]-[1:01:46.00]  Pero luego de mayor, no...
[1:01:46.00]-[1:01:54.00]  Yo y la Milly, yo y un sargento, nos bebimos una botella de Johnnie Wilde.
[1:01:54.00]-[1:01:59.00]  Pero esa vez era recluta yo todavía.
[1:01:59.00]-[1:02:03.00]  Pero yo algo mejor también solo bebí un vaso.
[1:02:03.00]-[1:02:08.00]  Y teníamos que ir, era por la tarde, y allí con el calor eso,
[1:02:08.00]-[1:02:12.00]  cerrados dentro de una oficina.
[1:02:12.00]-[1:02:17.00]  Y cuando salí para ir a pasar a retreta,
[1:02:17.00]-[1:02:23.00]  yo veía, había seis filas de formado allí,
[1:02:23.00]-[1:02:29.00]  y veía que las filas hacían como así.
[1:02:29.00]-[1:02:33.00]  Pero yo sabía también lo que hacía.
[1:02:33.00]-[1:02:38.00]  Y solo el auxiliar, eso llevaba, yo qué sé, doce días.
[1:02:38.00]-[1:02:41.00]  Pero pasó que el sargento ese era de Campos,
[1:02:41.00]-[1:02:44.00]  y me conocía y me había entretenido allí,
[1:02:44.00]-[1:02:48.00]  ni cenar ni nada, sino que solo bebiendo whisky.
[1:02:48.00]-[1:02:53.00]  Y yo solo oía el auxiliar que decía,
[1:02:53.00]-[1:02:56.00]  a ver este que se mueve, que eso lo decía cada día.
[1:02:56.00]-[1:03:00.00]  Pero yo estaba obsesionado que me había visto a mí,
[1:03:00.00]-[1:03:05.00]  porque yo veía las filas de Tudel y eso.
[1:03:05.00]-[1:03:08.00]  Pero no pasó nada.
[1:03:08.00]-[1:03:12.00]  La mañana siguiente, ya está.
[1:03:12.00]-[1:03:15.00]  ¿Por la zona de Campos no hay viña?
[1:03:15.00]-[1:03:21.00]  Sí, hay sitios que sí, ahora, pero antes no había.
[1:03:21.00]-[1:03:27.00]  Allí en la parte de Campos es la parte de Felenich,
[1:03:27.00]-[1:03:30.00]  que ahí sí que hay de viña en Felenich.
[1:03:30.00]-[1:03:35.00]  Pero en Campos ahora sí, o tenían cuatro viñas,
[1:03:35.00]-[1:03:41.00]  pero de platos de balanza, de uva de mesa.
[1:03:41.00]-[1:03:44.00]  ¿Platos de balanza que es un tipo?
[1:03:44.00]-[1:03:47.00]  No, en mallorquín es uva de mesa.
[1:03:47.00]-[1:03:49.00]  Vale, vale.
[1:03:49.00]-[1:03:53.00]  Vi de balanza, rey de balanza.
[1:03:53.00]-[1:03:55.00]  Vale, rey de balanza, no sabía.
[1:03:55.00]-[1:04:02.00]  Pero es porque ahora si recoges para ser uva,
[1:04:02.00]-[1:04:07.00]  hay estas botas que son portadoras,
[1:04:07.00]-[1:04:11.00]  que eso es como una mesura.
[1:04:11.00]-[1:04:16.00]  Y no lo pesan, no lo pesan a kilos, sino que se estima.
[1:04:16.00]-[1:04:19.00]  Es igual que las medidas del grano,
[1:04:19.00]-[1:04:24.00]  que es una barcella, un quintal, un humul, o eso.
[1:04:24.00]-[1:04:29.00]  Y en el vino, una portadora de vino.
[1:04:29.00]-[1:04:34.00]  Y se daba precio a la portadora.
[1:04:34.00]-[1:04:37.00]  O un quintal, sí, pero un quintal mallorquín
[1:04:37.00]-[1:04:41.00]  no es lo mismo que un quintal castellano.
[1:04:41.00]-[1:04:46.00]  Un quintal son 53 kilos, algo así.
[1:04:46.00]-[1:04:47.00]  Un quintal mallorquín.
[1:04:47.00]-[1:04:52.00]  Eso ya no lo tengo muy claro, pero más o menos es eso.
[1:04:52.00]-[1:04:57.00]  Porque luego había también una tonelada mallorquina,
[1:04:57.00]-[1:05:03.00]  que eso venía a ser 87 y medio o algo así.
[1:05:03.00]-[1:05:06.00]  Pero era resultado de esas medidas que te digo,
[1:05:06.00]-[1:05:09.00]  del grano y de la uva.
[1:05:09.00]-[1:05:10.00]  Y la cuantera.
[1:05:10.00]-[1:05:11.00]  Sí, sí, sí.
[1:05:11.00]-[1:05:19.00]  Una cuartera no es lo mismo que esa barcella.
[1:05:19.00]-[1:05:20.00]  Es más grande.
[1:05:20.00]-[1:05:22.00]  Es más grande.
[1:05:22.00]-[1:05:29.00]  La medida también va a eso, como un humul, una barcella,
[1:05:29.00]-[1:05:37.00]  una cuartera, un quintal, y no sé si esa cuartera, aquella,
[1:05:37.00]-[1:05:41.00]  era el doble de una barcella.
[1:05:41.00]-[1:05:46.00]  Porque una barcella, ahora tampoco eso te lo sabré explicar bien.
[1:05:46.00]-[1:05:51.00]  Una barcella creo que tiene ocho humuls.
[1:05:51.00]-[1:05:55.00]  El humul, eso se vendía mucho en los caracoles,
[1:05:55.00]-[1:05:58.00]  o las olivas.
[1:05:58.00]-[1:06:01.00]  Las olivas también en su humul.
[1:06:01.00]-[1:06:05.00]  Su humul equivale más o menos a un kilo.
[1:06:05.00]-[1:06:09.00]  La medida equivale más o menos.
[1:06:09.00]-[1:06:16.00]  Pero en tiempo atrás iban en lluvias, no iban con kilos.
[1:06:16.00]-[1:06:17.00]  En lluvias.
[1:06:17.00]-[1:06:27.00]  O sea que eso era una lluvia, crecas, 115 gramos.
[1:06:27.00]-[1:06:28.00]  115 gramos.
[1:06:28.00]-[1:06:30.00]  Crecas una lluvia.
[1:06:30.00]-[1:06:38.00]  Porque ahora en vez de ir en 100 gramos, muchas mujeres en las tiendas o eso,
[1:06:38.00]-[1:06:43.00]  una lluvia de café, o una lluvia de lo que sigui.
[1:06:43.00]-[1:06:45.00]  Que son 115 gramos, ¿no?
[1:06:45.00]-[1:06:48.00]  Sí, sí, sí.
[1:06:48.00]-[1:06:50.00]  Iban así.
[1:06:50.00]-[1:06:57.00]  Uno y un libro y medio, era eso.
[1:06:57.00]-[1:07:07.00]  Eso hay, no sé si lo tengo o no, había un libro calculador,
[1:07:07.00]-[1:07:10.00]  como un paquete de tabaco más o menos.
[1:07:10.00]-[1:07:13.00]  Pero era de un dedo, de un centímetro o menos.
[1:07:13.00]-[1:07:20.00]  Y te llevaba todas esas medidas y eso a lo mejor se podía encontrar.
[1:07:20.00]-[1:07:24.00]  ¿Pero de aquí o de medidas mallorquinas?
[1:07:24.00]-[1:07:29.00]  Medidas mallorquinas, de fuera, de pulgadas y de todo.
[1:07:29.00]-[1:07:34.00]  Era en la forma de un dietario, esos antiguos, que eran rojos.
[1:07:34.00]-[1:07:37.00]  Que hay todavía de esos.
[1:07:37.00]-[1:07:42.00]  Pero en tamaño pequeño, un poco más grande que un paquete de tabaco.
[1:07:42.00]-[1:07:52.00]  Y llevaba las cuentas, luego a lo mejor hasta medio libro,
[1:07:52.00]-[1:07:55.00]  pero lo demás eran cuentas hechas.
[1:07:55.00]-[1:08:00.00]  Tres kilos a tantas pesetas, como una tabla de multiplicar.
[1:08:00.00]-[1:08:05.00]  Que te llevaban y eso había...
[1:08:05.00]-[1:08:10.00]  Porque eso mucha gente no sabía ni leer ni escribir.
[1:08:10.00]-[1:08:12.00]  De mi edad ya no.
[1:08:12.00]-[1:08:18.00]  De mi edad, muy pocos no sabían ni leer ni escribir.
[1:08:18.00]-[1:08:22.00]  Pero que de antes había bastante.
[1:08:22.00]-[1:08:24.00]  ¿Usted fue a la escuela en el pueblo?
[1:08:24.00]-[1:08:25.00]  Sí, sí.
[1:08:25.00]-[1:08:27.00]  Que estaban separados niños y niñas.
[1:08:27.00]-[1:08:29.00]  Fui hasta los 14.
[1:08:29.00]-[1:08:31.00]  El último año ya íbamos juntos.
[1:08:31.00]-[1:08:33.00]  ¿Ah, el último año ya se iba juntos?
[1:08:33.00]-[1:08:34.00]  Sí.
[1:08:34.00]-[1:08:35.00]  Ah, vale.
[1:08:35.00]-[1:08:37.00]  O no reunían, que era un desastre,
[1:08:37.00]-[1:08:41.00]  porque ya éramos mayores y no nos habíamos hecho.
[1:08:41.00]-[1:08:42.00]  ¿Ya no estabais?
[1:08:42.00]-[1:08:43.00]  Sí, sí.
[1:08:43.00]-[1:08:45.00]  ¿Y qué sé?
[1:08:45.00]-[1:08:49.00]  Yo qué sé, tengo una hermana mayor que yo.
[1:08:49.00]-[1:08:52.00]  Y luego tengo dos detrás de mí.
[1:08:52.00]-[1:08:53.00]  ¿Cuatro en total?
[1:08:53.00]-[1:08:54.00]  Sí.
[1:08:54.00]-[1:09:04.00]  Y la más joven ya fue todo el tiempo de la escuela
[1:09:04.00]-[1:09:07.00]  con niños y niñas de todos lados.
[1:09:07.00]-[1:09:09.00]  ¿Qué eran muchos de aquella?
[1:09:09.00]-[1:09:10.00]  ¿Las clases eran grandes o no?
[1:09:10.00]-[1:09:12.00]  ¿Era pequeñito?
[1:09:12.00]-[1:09:20.00]  En mi tiempo unas 35, 37 cada aula.
[1:09:20.00]-[1:09:24.00]  ¿Y cómo se estudiaba, qué se hacía?
[1:09:24.00]-[1:09:25.00]  ¿Los maestros antes?
[1:09:25.00]-[1:09:27.00]  No.
[1:09:27.00]-[1:09:29.00]  Los maestros, buenos.
[1:09:29.00]-[1:09:33.00]  Los alumnos, malos.
[1:09:33.00]-[1:09:39.00]  No, pero existía todavía, dependía del maestro tampoco,
[1:09:39.00]-[1:09:41.00]  no todos eran iguales.
[1:09:41.00]-[1:09:47.00]  Yo había que te hacían poner dos dedos así con un cuero.
[1:09:47.00]-[1:09:52.00]  A mí me hizo poner una vez que nunca fui a la escuela con él,
[1:09:52.00]-[1:09:58.00]  pero íbamos el sábado por la mañana y rezábamos el rosario.
[1:09:58.00]-[1:10:03.00]  Yo ya tenía, creo que era el último año de la escuela,
[1:10:03.00]-[1:10:06.00]  creo que tenía 13 años ya.
[1:10:06.00]-[1:10:13.00]  Y ponía en el rosario, íbamos toda la escala del curso,
[1:10:13.00]-[1:10:21.00]  o sea de los 7 años hasta los 14, todos a rezar en una sala.
[1:10:21.00]-[1:10:24.00]  Y íbamos después del recreo.
[1:10:24.00]-[1:10:27.00]  Y ponía vigilantes de su clase,
[1:10:27.00]-[1:10:30.00]  nunca sentías ni una mosca.
[1:10:30.00]-[1:10:36.00]  Y te conocían, porque te conocías con todos.
[1:10:36.00]-[1:10:43.00]  Y hablábamos yo y un compañero, había unas arcadas,
[1:10:43.00]-[1:10:49.00]  y había las columnas de las arcadas eran como de un metro cincuenta,
[1:10:49.00]-[1:10:55.00]  y él predicaba allí, digamos, y nosotros estábamos ahí hablando.
[1:10:55.00]-[1:10:59.00]  Pero no es que hiciéramos ruido porque hablábamos flojo.
[1:10:59.00]-[1:11:03.00]  Y pasó el vigilante y…
[1:11:03.00]-[1:11:06.00]  … y…
[1:11:06.00]-[1:11:10.00]  … se llamaba…
[1:11:10.00]-[1:11:12.00]  … y…
[1:11:12.00]-[1:11:18.00]  … y nosotros seguimos de allí.
[1:11:18.00]-[1:11:22.00]  Y al final vio que aquel se paraba, porque no nos veía nosotros,
[1:11:22.00]-[1:11:26.00]  pero aquel cada vez se paraba para decirnos de ahí,
[1:11:26.00]-[1:11:29.00]  que vos lo crees, os tendré que…
[1:11:29.00]-[1:11:33.00]  … y a ver que salga lo que hay aquí detrás.
[1:11:33.00]-[1:11:38.00]  Y fuimos y me hizo poner así.
[1:11:38.00]-[1:11:43.00]  Y yo y el compañero nos peleamos, no, yo primer, yo primer.
[1:11:43.00]-[1:11:47.00]  Y me hizo poner, tenía un trozo de cuero así,
[1:11:47.00]-[1:11:54.00]  pero aún me he decido que eso te daba y te quitaba las moscas para ocho días.
[1:11:54.00]-[1:11:57.00]  Si te daba, sí, sí.
[1:11:57.00]-[1:12:01.00]  No, yo primer, yo primer, y empezamos ahí…
[1:12:01.00]-[1:12:05.00]  … las dos manos, venga, venga.
[1:12:05.00]-[1:12:09.00]  Y fui yo primero, y cuando me fue a golpear,
[1:12:09.00]-[1:12:16.00]  recogí el cuero este y se lo tiré por el portado.
[1:12:16.00]-[1:12:19.00]  Y nosotros nos salimos de la clase.
[1:12:19.00]-[1:12:22.00]  ¡Eh, venid aquí, cali, cali!
[1:12:22.00]-[1:12:25.00]  Y eso era un sábado y cuando fuimos el lunes,
[1:12:25.00]-[1:12:31.00]  el director nos dice, tenéis que ir a hablar vosotros dos con don…
[1:12:31.00]-[1:12:36.00]  … y nos ganamos el evitar el rosario.
[1:12:36.00]-[1:12:40.00]  Si no queréis venir a pasar el rosario, cuando toquen de recreo,
[1:12:40.00]-[1:12:42.00]  os podéis más ir a casa.
[1:12:42.00]-[1:12:44.00]  ¡Oh, me tuvedé! ¡Muy bien!
[1:12:44.00]-[1:12:47.00]  Y no fuimos nunca más allí.
[1:12:47.00]-[1:12:48.00]  ¿En vez de castigo, premio?
[1:12:48.00]-[1:12:53.00]  Sí, sí. Es la única vez que salió así.
[1:12:53.00]-[1:12:58.00]  Porque antes, si no sabía la lección…
[1:12:58.00]-[1:13:02.00]  Yo era muy duro de mollera, cuando era…
[1:13:02.00]-[1:13:06.00]  … hasta que tuve 10 o 11 años.
[1:13:06.00]-[1:13:10.00]  Estudiaba, pero no me entraba.
[1:13:10.00]-[1:13:14.00]  Decía a mi madre, llamame, vivíamos en el campo,
[1:13:14.00]-[1:13:17.00]  había tres kilómetros o eso a la escuela.
[1:13:17.00]-[1:13:21.00]  Iba en bicicleta, pero le decía, llamame,
[1:13:21.00]-[1:13:27.00]  que hoy no me ha sabido la lección otra vez y tengo antes de partir…
[1:13:27.00]-[1:13:30.00]  Y luego por el camino se me olvidaba.
[1:13:30.00]-[1:13:33.00]  La sabía, pero cuando me…
[1:13:33.00]-[1:13:35.00]  ¡A ver, eso de aquí!
[1:13:35.00]-[1:13:42.00]  Pero luego no, luego a los 11 o así, espabilé y…
[1:13:42.00]-[1:13:44.00]  … o me entró, o yo qué sé.
[1:13:44.00]-[1:13:51.00]  Y ahora no, ahora me acuerdo más que antes.
[1:13:51.00]-[1:13:55.00]  Y había tres kilómetros de la casa.
[1:13:55.00]-[1:14:03.00]  Sí, iba a subir a comer y luego me iba por la tarde otra vez y por la noche…
[1:14:03.00]-[1:14:06.00]  … luego a veces te quedabas también entretenido.
[1:14:06.00]-[1:14:12.00]  No había casi coches entonces, habían salido 600 por ahí.
[1:14:12.00]-[1:14:22.00]  Y te quedabas a comer, a jugar y si era en invierno iba a la cura de la dugasa.
[1:14:22.00]-[1:14:24.00]  Con la bicicleta.
[1:14:24.00]-[1:14:28.00]  Y mi padre también una vez me va a rival.
[1:14:28.00]-[1:14:31.00]  Teníamos que esquilar las ovejas.
[1:14:31.00]-[1:14:36.00]  Pero hacía dos meses que me advertía…
[1:14:36.00]-[1:14:41.00]  … que no vengas a que te lloraras, que te deje de que fuera un coche.
[1:14:41.00]-[1:14:44.00]  Y claro, era para bien.
[1:14:44.00]-[1:14:52.00]  Y un día cuando llegaba, ya también casi sol y media oscuridad…
[1:14:52.00]-[1:14:56.00]  … lo vi que me esperaba porque luego de la carretera había…
[1:14:56.00]-[1:15:01.00]  … yo qué sé, 150 metros de la carretera.
[1:15:01.00]-[1:15:07.00]  Y me esperaba en la entrada de la carretera y me dio un pescosón…
[1:15:07.00]-[1:15:11.00]  … y perdí la cartera que la llevaba con un manillar.
[1:15:11.00]-[1:15:17.00]  Porque después además del colegio los niños ayudaban también en…
[1:15:17.00]-[1:15:25.00]  Sí, sí, o entrar en leña o dar de comer a las gallinas.
[1:15:25.00]-[1:15:28.00]  Sí, cosas así.
[1:15:28.00]-[1:15:34.00]  Pero no como obligación, sino como devoción.
[1:15:34.00]-[1:15:36.00]  Como colaboración.
[1:15:36.00]-[1:15:38.00]  Sí, sí, sí.
[1:15:38.00]-[1:15:42.00]  Había que a lo mejor según qué familia…
[1:15:42.00]-[1:15:45.00]  … a lo mejor te obligaban o eso.
[1:15:45.00]-[1:15:48.00]  Pero en mi casa no es que…
[1:15:48.00]-[1:15:51.00]  Pero que sí que iba de buena gana.
[1:15:51.00]-[1:15:53.00]  No bueno como ahora.
[1:15:53.00]-[1:15:55.00]  Sí, sí, sí.
[1:15:55.00]-[1:15:59.00]  Sí, que ahora es que no lo puedes discutir hoy.
[1:15:59.00]-[1:16:05.00]  O sea que yo tengo dos nietos y yo qué sé…
[1:16:05.00]-[1:16:10.00]  … disfrutan de jugar de que yo juegue con la play.
[1:16:10.00]-[1:16:16.00]  Porque para qué hago burradas.
[1:16:16.00]-[1:16:20.00]  Que saben más que yo desde luego, no te creas.
[1:16:20.00]-[1:16:22.00]  No, ni yo.
[1:16:22.00]-[1:16:27.00]  Es que antes a lo mejor solo había dos sitios para jugar.
[1:16:27.00]-[1:16:31.00]  Y hoy tienen una play de esa ruptas modernas…
[1:16:31.00]-[1:16:34.00]  … que disparan y se recargan.
[1:16:34.00]-[1:16:37.00]  A ver, yo empiezo y solo cuando llego…
[1:16:37.00]-[1:16:40.00]  … predia de jugar esa play.
[1:16:40.00]-[1:16:41.00]  Bueno.
[1:16:41.00]-[1:16:42.00]  Sí, sí, sí.
[1:16:42.00]-[1:16:46.00]  Jugaban con un coche en un campo de fútbol.
[1:16:46.00]-[1:16:51.00]  Y yo estaba cerrado de rejilla para que el coche no se salga.
[1:16:51.00]-[1:16:54.00]  Y yo estaba siempre por la rejilla.
[1:16:54.00]-[1:16:58.00]  ¿Y al día que te veías?
[1:16:58.00]-[1:17:00.00]  Eso había…
[1:17:00.00]-[1:17:01.00]  ¿Hace años?
[1:17:01.00]-[1:17:06.00]  … peonsa a una cosa que les llamamos…
[1:17:06.00]-[1:17:08.00]  … pero eso se llama…
[1:17:08.00]-[1:17:18.00]  … se ponían tres en un sitio, en un pasillo como eso digamos…
[1:17:18.00]-[1:17:20.00]  … tres grupos.
[1:17:20.00]-[1:17:27.00]  Y el que tocaba la pelota o tiraba a hacer daño con una pelota de tenis…
[1:17:27.00]-[1:17:30.00]  … eso nosotros le llamábamos baña.
[1:17:30.00]-[1:17:32.00]  Pero…
[1:17:32.00]-[1:17:37.00]  … y si el que tocabas, si era del final, lo pasaban en medio…
[1:17:37.00]-[1:17:40.00]  … para bombardearlo con la pelota.
[1:17:40.00]-[1:17:44.00]  Y así, de entretenimiento.
[1:17:44.00]-[1:17:48.00]  Y había alguno con mala leche que te pegaba un pelotazo de…
[1:17:48.00]-[1:17:54.00]  … pero que si se jugaba bien era…
[1:17:54.00]-[1:18:01.00]  … luego jugabas al pañuelo que hacían un círculo…
[1:18:01.00]-[1:18:05.00]  … y pasabas y el que dejabas el pañuelo…
[1:18:05.00]-[1:18:09.00]  … el pañuelo era con un nudo, un pañuelo de esos del cuello…
[1:18:09.00]-[1:18:14.00]  … y le dabas al de lado derecho o de izquierdo según las órdenes…
[1:18:14.00]-[1:18:16.00]  … con el pañuelo.
[1:18:16.00]-[1:18:18.00]  Y tenía que echar a correr.
[1:18:18.00]-[1:18:20.00]  Si se daba cuenta que lo había dejado de sino…
[1:18:20.00]-[1:18:23.00]  … a lo mejor daba la vuelta y no le había pegado…
[1:18:23.00]-[1:18:26.00]  … y tenía que volver a su sitio.
[1:18:26.00]-[1:18:28.00]  Eso era…
[1:18:28.00]-[1:18:32.00]  … yo qué sé y luego…
[1:18:32.00]-[1:18:37.00]  … a fútbol y cosas de esas se jugaba como…
[1:18:37.00]-[1:18:41.00]  … bien o de otra manera porque…
[1:18:41.00]-[1:18:45.00]  … había un polideportivo en la escuela…
[1:18:45.00]-[1:18:50.00]  … y había que jugaban a balón sexto…
[1:18:50.00]-[1:18:55.00]  … y eso, la peonza y las chicas…
[1:18:55.00]-[1:19:01.00]  … igual también a esconderse o localizarte…
[1:19:01.00]-[1:19:05.00]  … eso, a piso jugaban las niñas también.
[1:19:05.00]-[1:19:09.00]  Piso es el cuadro ese que hoy juegan todavía.
[1:19:09.00]-[1:19:11.00]  Los pequeños.
[1:19:11.00]-[1:19:16.00]  Se salta, no sé si son…
[1:19:16.00]-[1:19:20.00]  … o diez o ocho cuadros, algo así, tienes que saltar…
[1:19:20.00]-[1:19:25.00]  … y lo numeran uno a dos y eso lo daban en el piso.
[1:19:25.00]-[1:19:26.00]  Muñecas y…
[1:19:26.00]-[1:19:28.00]  Si, muñecas y eso sí.
[1:19:28.00]-[1:19:32.00]  Mi hermana mayor tenía una que entonces era…
[1:19:32.00]-[1:19:36.00]  … también de esas de barro, de barro no, de cartón.
[1:19:36.00]-[1:19:38.00]  Ah, de cartón, sí.
[1:19:38.00]-[1:19:43.00]  Y las pinturas, la peinaba y le cambiaba los vestidos…
[1:19:43.00]-[1:19:49.00]  … y cuando yo también de esa borrachera, bueno, que te he contado…
[1:19:49.00]-[1:19:52.00]  … le lavé la cabeza.
[1:19:52.00]-[1:19:54.00]  Y la de cartón.
[1:19:54.00]-[1:19:55.00]  Y la de cartón.
[1:19:55.00]-[1:20:00.00]  Pero estaba barnizada y pintada bien, era una muñeca…
[1:20:00.00]-[1:20:04.00]  … pero todo eso se reblandeció y ha sido muñeca.
[1:20:04.00]-[1:20:05.00]  Pobre.
[1:20:05.00]-[1:20:06.00]  Sí, sí.
[1:20:06.00]-[1:20:09.00]  Y era… mi hermana tiene siete años más que yo.
[1:20:09.00]-[1:20:11.00]  ¿Y qué te…
[1:20:11.00]-[1:20:16.00]  Hombre, pelea… pero casera, pelea casera.
[1:20:16.00]-[1:20:21.00]  Pero que no es que lo hiciera para ser daño.
[1:20:21.00]-[1:20:26.00]  Era para cuidarla porque mi hermana estaba con la muñeca…
[1:20:26.00]-[1:20:31.00]  … que yo le cambiaba vestido, eso, le voy a lavar la cabeza y…
[1:20:31.00]-[1:20:33.00]  Para guardarlo.
[1:20:33.00]-[1:20:34.00]  Sí.
[1:20:34.00]-[1:20:35.00]  Por favor.
[1:20:35.00]-[1:20:38.00]  Porque luego las otras ya las tuvieron de plástico.
[1:20:38.00]-[1:20:39.00]  Ya eran de…
[1:20:39.00]-[1:20:41.00]  Sí, como ves.
[1:20:41.00]-[1:20:43.00]  Ajá.
[1:20:43.00]-[1:20:47.00]  Pues, muy bien, ¿cómo vamos, Patricia?
[1:20:47.00]-[1:20:50.00]  ¿En qué hora hemos empezado?
[1:20:50.00]-[1:20:51.00]  Yo creo que sí, ¿no?
[1:20:51.00]-[1:20:52.00]  ¿Qué me dices?
[1:20:52.00]-[1:20:55.00]  Yo creo que estamos, empezamos a media aproximadamente…
[1:20:55.00]-[1:20:59.00]  … porque ahora tenía una comida en algún sitio.
[1:20:59.00]-[1:21:00.00]  Tendrá el culi.
[1:21:00.00]-[1:21:01.00]  Sí.
[1:21:01.00]-[1:21:02.00]  Tendrá el culi.
[1:21:02.00]-[1:21:06.00]  Y ahora vamos a ir a la ciudad de Madrid para que vayamos con tiempo todos.
[1:21:06.00]-[1:21:07.00]  Sí, sí, sí.
[1:21:07.00]-[1:21:08.00]  Sí.
[1:21:08.00]-[1:21:09.00]  Bueno, cuando digáis.
[1:21:09.00]-[1:21:10.00]  Sí, ¿no?
[1:21:10.00]-[1:21:11.00]  Cuando…
[1:21:11.00]-[1:21:12.00]  Idola.
[1:21:12.00]-[1:21:13.00]  O sea, era una hora, está bien, ¿no?
[1:21:13.00]-[1:21:14.00]  Está bien, está bien.
[1:21:14.00]-[1:21:17.00]  Si me lo borras, ya lo subo.
[1:21:17.00]-[1:21:18.00]  Fantástico, eh.
[1:21:18.00]-[1:21:19.00]  Poli, ya vayamos.
[1:21:19.00]-[1:21:20.00]  Fantástico.
[1:21:20.00]-[1:21:21.00]  Muchas gracias.
[1:21:21.00]-[1:21:27.00]  Y ahora haremos alguna cosita más por aquí, por Mallorca…
[1:21:27.00]-[1:21:30.00]  … y luego esto, pues estudia todo, pues de toda…
[1:21:30.00]-[1:21:31.00]  Sí, por eso.
[1:21:31.00]-[1:21:32.00]  … a nivel nacional.
[1:21:32.00]-[1:21:33.00]  A nivel nacional, sí.
[1:21:33.00]-[1:21:34.00]  A nivel edad mía.
[1:21:34.00]-[1:21:35.00]  Sí, o mayores.
[1:21:35.00]-[1:21:36.00]  Pero…
[1:21:36.00]-[1:21:37.00]  ¿Qué años?
[1:21:37.00]-[1:21:38.00]  Del 53, estoy.
[1:21:38.00]-[1:21:39.00]  53, ah, cuando es joven.
[1:21:39.00]-[1:21:40.00]  Sí, que era una hostiguda de todos.
[1:21:40.00]-[1:21:41.00]  No, a ver, esto no sale, sale de…
[1:21:41.00]-[1:21:42.00]  … lo apuntamos nosotros, pero esto no sale a ningún sitio.
[1:21:42.00]-[1:21:43.00]  Ya, ya.
[1:21:43.00]-[1:21:44.00]  O sea, que…
[1:21:44.00]-[1:21:45.00]  … no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
[1:21:45.00]-[1:21:46.00]  no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
[1:21:46.00]-[1:22:01.72]  no, no, no, no, no, no, no…
[1:22:01.72]-[1:22:04.52]  A ver cómo se inspiring.
[1:22:04.52]-[1:22:05.52]  Watch out.
[1:22:05.52]-[1:22:06.52]  Do the food.
[1:22:06.52]-[1:22:08.78]  For free.
[1:22:08.78]-[1:22:13.60]  OK, I make a spirit-beating securities now.
[1:22:13.60]-[1:22:15.76]  Flippant Пока,irden.
