[0:00:00.00]-[0:00:02.00]  78 años.
[1:04:40.00]-[1:04:45.00]  Los domingos, algún día por la semana, pues hay algún aniversario,
[1:04:45.00]-[1:04:48.00]  la gente va, yo voy todos los domingos,
[1:04:48.00]-[1:04:51.00]  pero con una mocina de aquí que tiene coche,
[1:04:51.00]-[1:04:56.00]  va la suegra y ella y yo, todos los domingos vamos en coche.
[1:04:56.00]-[1:04:59.00]  Y bueno, lo que puede ir andando va andando.
[1:04:59.00]-[1:05:03.00]  Y los nenos que van al catecismo para hacer la primera comunión,
[1:05:03.00]-[1:05:05.00]  pues también van andando.
[1:05:05.00]-[1:05:11.00]  Pero yo no, andando no me soy quien pueda.
[1:05:11.00]-[1:05:15.00]  ¿Y antiguamente cuando no había coches y tenían que ir a ese pueblo,
[1:05:15.00]-[1:05:17.00]  en qué medio de transporte?
[1:05:17.00]-[1:05:21.00]  Andando, andando, andando y no había carretera por los caminos,
[1:05:21.00]-[1:05:24.00]  no había carretera.
[1:05:24.00]-[1:05:30.00]  Y iba a ser andando y con barro y, ¿sabéis qué?
[1:05:30.00]-[1:05:36.00]  Y en madreñes, pues en madreñes y zapatillas.
[1:05:36.00]-[1:05:40.00]  En zapatos no se podía ir porque, y botes.
[1:05:40.00]-[1:05:43.00]  No los había zapatos, sí que los tenías,
[1:05:43.00]-[1:05:47.00]  pero con aquel barro que había por aquellos caminos, no se podía ir.
[1:05:47.00]-[1:05:50.00]  ¿Y quién hacías, las madreñas?
[1:05:50.00]-[1:05:54.00]  Unos hombres que ellos llamaban madreñeros,
[1:05:54.00]-[1:05:59.00]  como decir ebanistas o decir fontanero o decir otra cosa,
[1:05:59.00]-[1:06:03.00]  pues voy a enseñarles a unos madreñistas que traigo yo.
[1:06:03.00]-[1:06:08.00]  Son unos trajeros así.
[1:06:08.00]-[1:06:11.00]  ¿Y eran del mismo color todos los zapatos?
[1:06:11.00]-[1:06:13.00]  Todos, todos de madera.
[1:06:13.00]-[1:06:20.00]  Bueno, estos pintáranselo un poco, no sé con qué,
[1:06:20.00]-[1:06:25.00]  porque yo la madera queda blanco.
[1:06:25.00]-[1:06:28.00]  Ay, tengo los pies más hinchados.
[1:06:28.00]-[1:06:32.00]  Mira la madera, como ahí.
[1:06:32.00]-[1:06:35.00]  Son los que tengo que pedir para huerta,
[1:06:35.00]-[1:06:38.00]  porque tengo otros nueve ahí,
[1:06:38.00]-[1:06:45.00]  pero aquí los que no traen, por ejemplo, botes o eso, todos traemos esto.
[1:06:45.00]-[1:06:52.00]  ¿Y usted cuando va con esos zapatos a por la leña, dónde la coge?
[1:06:52.00]-[1:06:55.00]  Por allá, por esos costañeros,
[1:06:55.00]-[1:06:58.00]  pero si no hay árboles, trae la leña seca,
[1:06:58.00]-[1:07:00.00]  yo no me voy a buscar.
[1:07:00.00]-[1:07:04.00]  No lo han echado al mío que me lo traiga para aprender a cocinar.
[1:07:04.00]-[1:07:07.00]  Tengo un poco de leña para aprender la cocina.
[1:07:07.00]-[1:07:09.00]  Pero antes sí iba usted a por la leña.
[1:07:09.00]-[1:07:15.00]  Sí, sí, sí, y con esto, con esto, ya no son madrellas.
[1:07:15.00]-[1:07:18.00]  Antes, me enviaban semas antes.
[1:07:18.00]-[1:07:23.00]  En la Viana había mercado, o hay todavía,
[1:07:23.00]-[1:07:26.00]  siempre fue mercado a los pueblos en la Viana,
[1:07:26.00]-[1:07:29.00]  pues me envían semas muchísimo,
[1:07:29.00]-[1:07:32.00]  porque por los pueblos todos se va a estar esto.
[1:07:32.00]-[1:07:35.00]  Y para los que yo conozco por aquí, por el pueblo de Asturias,
[1:07:35.00]-[1:07:38.00]  y para la parte de Caso, que no se habrá hecho allí tampoco,
[1:07:38.00]-[1:07:44.00]  pues para allí hay muchos que los hacen todavía.
[1:07:44.00]-[1:07:47.00]  Verás que también.
[1:07:47.00]-[1:07:55.00]  Aunque hayan sentado ahí en un banco, hacía leselo.
[1:07:55.00]-[1:07:57.00]  ¿Y de qué madera, de grámena?
[1:07:57.00]-[1:08:01.00]  Madera, pues vale toda madera, de cera,
[1:08:01.00]-[1:08:05.00]  pero más hacen madera de haya.
[1:08:05.00]-[1:08:11.00]  ¿No es muy, muy poco resistente o...?
[1:08:11.00]-[1:08:14.00]  No, la madera ahí era todo, que sí.
[1:08:14.00]-[1:08:23.00]  Y bueno, y de esto, de este árbol, llámese fresnos,
[1:08:23.00]-[1:08:27.00]  pues siendo madera gordo,
[1:08:27.00]-[1:08:33.00]  cortaban un rollo gordo, gordo y hacían cuatro cachos.
[1:08:33.00]-[1:08:37.00]  Patinaron la mitad y luego otra mitad.
[1:08:37.00]-[1:08:41.00]  Y de aquello pues ya iban haciéndoles moldures,
[1:08:41.00]-[1:08:45.00]  y después tenían un aparato así grande,
[1:08:45.00]-[1:08:50.00]  metían allí la madreña para hacer el hueco de dentro,
[1:08:50.00]-[1:08:57.00]  y tenían muchos aparatos para hacer todo eso.
[1:08:57.00]-[1:09:00.00]  ¿Y había que esperar que la madera...
[1:09:00.00]-[1:09:01.00]  Bueno, no.
[1:09:01.00]-[1:09:03.00] ...cuando se cortaba o...?
[1:09:03.00]-[1:09:08.00]  No, no, entonces no estaba como ahora que está tan delicado para cortar y todo eso.
[1:09:08.00]-[1:09:14.00]  Antes, cuando tenían falta de cortar madera,
[1:09:14.00]-[1:09:19.00]  viven y cortaban y hacíanlo y no había problemas para cortar.
[1:09:19.00]-[1:09:25.00]  No había ni mates ni nada para cortar madera, por ejemplo, para las sierras.
[1:09:25.00]-[1:09:33.00]  Hay una sierra para cortar madera, los dueños de la sierra,
[1:09:33.00]-[1:09:39.00]  porque ahí, que se llama el puente de Arco,
[1:09:39.00]-[1:09:42.00]  ahí hay una sierra y ahí hay una...
[1:09:42.00]-[1:09:48.00]  cortan madera para los mates y con tractores o con camiones o eso,
[1:09:48.00]-[1:09:53.00]  donde te anuñoso, cargalo camiones y llevarlos a la sierra para cerrarlo,
[1:09:53.00]-[1:09:56.00]  para hacer tabla.
[1:09:56.00]-[1:10:03.00]  Y en esa sierra no, en esa sierra solo para hacer tabla,
[1:10:03.00]-[1:10:07.00]  para hacer muebles y para esas cosas.
[1:10:07.00]-[1:10:12.00]  Pero dijo que podían hacer las madrenas enseguida de cortar o...?
[1:10:12.00]-[1:10:13.00]  Sí, sí, sí, sí.
[1:10:13.00]-[1:10:16.00]  ¿O se hacía cuando estaba la madera...?
[1:10:16.00]-[1:10:19.00]  No, no, no.
[1:10:19.00]-[1:10:24.00]  Cuando tenían necesidad de hacer, que no lo tenían en casa,
[1:10:24.00]-[1:10:29.00]  que ya se los terminaba bien y cortaban y hacían de madera.
[1:10:29.00]-[1:10:33.00]  ¿Y con la madera que sobra qué hacían?
[1:10:33.00]-[1:10:36.00]  La madera que sobraba era para la cocina.
[1:10:36.00]-[1:10:45.00]  Y cuando hacían esa matín, para curar los chorizos y los morcillos.
[1:10:45.00]-[1:10:49.00]  ¿Y cómo hacían los chorizos?
[1:10:49.00]-[1:10:55.00]  Los chorizos, pues después que mataban el cerdo, al día siguiente,
[1:10:55.00]-[1:11:06.00]  cortarlo y prepararlo a la carne más buena, picarlo con una máquina,
[1:11:06.00]-[1:11:09.00]  para hacer los chorizos.
[1:11:09.00]-[1:11:17.00]  Y después echaban y ajo, pimentón dulce, pimentón picante,
[1:11:17.00]-[1:11:24.00]  y estaba todo picaino, menudino, y después ya lo mezclaban todo bien,
[1:11:24.00]-[1:11:28.00]  y después hacían los chorizos con una máquina.
[1:11:28.00]-[1:11:30.00]  ¿Y morcillos también?
[1:11:30.00]-[1:11:34.00]  Ahora hacense más con la máquina, que antes,
[1:11:34.00]-[1:11:42.00]  antes hacíanse a mano, con un tubo, aquí en allá el coso, el trípode,
[1:11:42.00]-[1:11:50.00]  la piel de por fuera, en aquel tubo, y con aquel tubo echaban allá los morcillos.
[1:11:50.00]-[1:11:56.00]  ¿Y era el chorizo al comerlo? ¿Cómo estaba?
[1:11:56.00]-[1:12:03.00]  Buenísimo, buenísimo, porque, por lo menos lo que se hace en casa,
[1:12:03.00]-[1:12:09.00]  lo que se hace en las carnicerías, tengo un sobrino en Jejón,
[1:12:09.00]-[1:12:13.00]  que cuando la suegra termina los chorizos,
[1:12:13.00]-[1:12:19.00]  él tiene un supermercado bueno y compra, y eso, y dice él,
[1:12:19.00]-[1:12:23.00]  no compres chorizos, que lo que se vende en los chorizos,
[1:12:23.00]-[1:12:26.00]  en los hamburgueses, en todo eso,
[1:12:26.00]-[1:12:29.00]  es lo que no vale para vender en el mostrador,
[1:12:29.00]-[1:12:32.00]  es la carne, y es lo más malo que pueda haber.
[1:12:32.00]-[1:12:36.00]  Y compra carne tú, en la carnicería, y haces tú los chorizos en casa.
[1:12:36.00]-[1:12:38.00]  ¿Y dónde colgaban los chorizos?
[1:12:38.00]-[1:12:44.00]  Pues colgaban, tizaban en una hoguera, en las casas viejas,
[1:12:44.00]-[1:12:49.00]  y colgabanse hacia arriba, altos, en unos palos,
[1:12:49.00]-[1:12:52.00]  y pues tizaban y secaban los chorizos.
[1:12:52.00]-[1:12:55.00]  ¿Tardaba mucho?
[1:12:55.00]-[1:13:01.00]  Casi la casa sería en 21 días, o así, hablaban como de tres semanas o un mes,
[1:13:01.00]-[1:13:05.00]  y ya estaban secos, que valen para comer.
[1:13:05.00]-[1:13:09.00]  Y si los querían más tierninos, pues antes,
[1:13:09.00]-[1:13:17.00]  sabían muy ricos, fritos, pues así, tierninos sabían muy ricos.
[1:13:17.00]-[1:13:21.00]  ¿Y hoy la gente compra la carne ya en la carnicería?
[1:13:21.00]-[1:13:28.00]  Bueno, hay, en Vigoria hay carnicerías,
[1:13:28.00]-[1:13:36.00]  y en La Viana también, y más abajo, los míos van a buscarlo a un...
[1:13:36.00]-[1:13:39.00]  ¿Cómo se llama? Cama.
[1:13:39.00]-[1:13:46.00]  Una casa que se dedica a matar animales y vender al por mayor a los carniceros.
[1:13:46.00]-[1:13:50.00]  Y entonces van a buscarlo allí, y si lo quieres que te lo piquen, te lo piquen,
[1:13:50.00]-[1:13:57.00]  si no, tráelo tú y píquelo tú con la máquina aquí, y haces tú aquí.
[1:13:57.00]-[1:14:04.00]  Pero ahora, no, casi todo el mundo, pues hay congeladores en las casas,
[1:14:04.00]-[1:14:11.00]  y hay matices animales en casa, y tienes en casa, pues, carne de apa, tolaño,
[1:14:11.00]-[1:14:21.00]  pollos, corderos, algunos ya una noviñina grande, o un ternero grande, o eso, pues,
[1:14:21.00]-[1:14:27.00]  mátenlos y mételos en un congelador, y pártelos y mételos en bolsas,
[1:14:27.00]-[1:14:35.00]  o te los envasas al vacío, pero en mi casa envasan al vacío morcillos y los chorizos también.
[1:14:35.00]-[1:14:46.00]  Y, nada, tienen chorizos por lo menos, y morcillos y eso es para todo año.
[1:14:46.00]-[1:14:55.00]  Algunos envasan en látiz de hojalata, retíntenlos, llévenlos a un señor que sabe hacer eso,
[1:14:55.00]-[1:15:01.00]  soldales, y ahí, que no tenga aire, pues, ahí no se estropea nada.
[1:15:01.00]-[1:15:10.00]  Yo los niñineños, pues, envolses al vacío con una máquina, y envásenles y queden prensados, prensados,
[1:15:10.00]-[1:15:17.00]  porque allí no se estropea nada, porque no tienen nada de aire, y hasta los alubies,
[1:15:17.00]-[1:15:26.00]  si les quites verdes, alubies blancos de la granja, también se envasan al vacío.
[1:15:26.00]-[1:15:36.00]  Y verdura, porque hay época, por ejemplo, ahora la verdura de la huerta no vale para comer,
[1:15:36.00]-[1:15:46.00]  porque está muy dura, muy seca, pero cuando, por la primavera, por invierno, pues, recógese y envases verdura,
[1:15:46.00]-[1:15:49.00]  y tienes verdura ya por una temporada también.
[1:15:49.00]-[1:15:53.00]  Y usted me está hablando mucho de su huerta. ¿Qué tiene en su huerta?
[1:15:53.00]-[1:15:59.00]  Mira, tenía una huerta, pero allá no había un trabajo la huerta.
[1:15:59.00]-[1:16:14.00]  Pues en la huerta tenía, asemblaba patates, frejoles, ajos, cebolla, ajo puerlo, arvejos, un poco de cada, de todo un poquito.
[1:16:14.00]-[1:16:22.00]  Pero ahora ya no voy para allá. Trabajan los chavales que viven aquí, vienen todos los días,
[1:16:22.00]-[1:16:30.00]  pero tienen un piso, una bola, y como los chavales están trabajando, pues quedan en la bola,
[1:16:30.00]-[1:16:41.00]  y después vienen a regar los pimientos, los tomates, y a recoger, a solfatear para contra la niebla,
[1:16:41.00]-[1:16:45.00]  para que la patata no se estropee.
[1:16:45.00]-[1:16:58.00]  Es que la patata, ya hay unos cuantos años que hay que tienen una peste que vino, no sé yo,
[1:16:58.00]-[1:17:06.00]  eso antes no lo había, unos escarabajos que comen la rama de la patata, y después luego seca.
[1:17:06.00]-[1:17:15.00]  Y entonces echen ellos para matar esos escarabajos, y luego echen ellos también contra la niebla,
[1:17:15.00]-[1:17:22.00]  para que no seque muy luego la patata que se conserve hasta, por ejemplo, hasta septiembre o octubre,
[1:17:22.00]-[1:17:26.00]  o así, que se saque de la tierra.
[1:17:26.00]-[1:17:39.00]  Y otro que se echa a la frejola contra el pulgón, unos bichucos negros pequeñinos que se ponen en la frejola
[1:17:39.00]-[1:17:50.00]  y no valen para comer, si no se solfatea, pues eso tiene uno todo, porque no vale para comer, no se puede.
[1:17:50.00]-[1:17:58.00]  Y no sé qué demonios llegan a mi pulgón, mis hermanos solfaten para eso.
[1:18:01.00]-[1:18:10.00]  Nos han contado que hay diferentes maneras de hacer la morcilla, que hay gente que echa patata, calabaza, arroz...
[1:18:10.00]-[1:18:22.00]  Aquí hay un vecino que llega de Polada Llande que echa arroz, y nosotros no, aquí echamos cebolla y calabaza,
[1:18:22.00]-[1:18:32.00]  la sangre del cerdo, y después grasa, la grasa, porque si no, todo el arroz y el moro, y cebolla y calabaza solo,
[1:18:32.00]-[1:18:41.00]  y echen pimentón dulce y picante, y la sangre y la sal, nada más que eso.
[1:18:41.00]-[1:18:44.00]  Envolverlo todo junto y hacer la morcilla.
[1:18:44.00]-[1:18:55.00]  La sangre cuando maten los bochos, pues recógenlo, y esa sangre, la agua no, pero queda cuajado, duro.
[1:18:55.00]-[1:19:02.00]  Eso después va deshaciéndose con la sal, porque el otro día ya hay el líquido y ya no lo echen.
[1:19:02.00]-[1:19:10.00]  Pero eso deshacense cuando se echa la sal en medio del barcal, y la sangre y la sal, y la sal tiene que ser gorda,
[1:19:10.00]-[1:19:13.00]  no puede ser fina, para San Martín tiene que ser sal gorda.
[1:19:13.00]-[1:19:20.00]  Y entonces deshacense bien la sangre, y luego ya se mezcla con la cebolla y la calabaza,
[1:19:20.00]-[1:19:28.00]  y la grasa que quieras echar, eso lo intentas, por cuanto más echa, pues más buenos están los morfillos,
[1:19:28.00]-[1:19:30.00]  no están tan seques.
[1:19:30.00]-[1:19:34.00]  ¿Y qué temperatura tiene que tener la sangre?
[1:19:34.00]-[1:19:41.00]  No, la sangre maten hoy, pues mañana ya, a lo mejor ya salen los morfillos, y no se calientan ni se enfían ni nada,
[1:19:41.00]-[1:19:51.00]  son unos talos, se recogen en un cacharro, pues queda allí toda la noche, y el otro día si se hace uso de ello,
[1:19:51.00]-[1:19:56.00]  al día siguiente, pues como esté, ya se echa entre ellos.
[1:20:00.00]-[1:20:05.00]  ¿Y así algún baile regional, aquí típico, alguna costumbre de esto?
[1:20:05.00]-[1:20:21.00]  Aquí sí que hubo, así sí, pero en Villoria todavía lo hay, en Villoria hay un grupo que llaman el grupo del techo,
[1:20:21.00]-[1:20:31.00]  porque hay junto a la iglesia un techo que tendrá, qué se yo, 300 años, y pusieron ese nombre al grupo,
[1:20:31.00]-[1:20:43.00]  y traen la ropa típica de estos faldes largos, que son gruesos, que tienen rayes, unos son verdes, otros son rojos,
[1:20:43.00]-[1:20:54.00]  y aquí unos chavalines ahora están estudiando, uno ya terminó, también estuvieron en ese grupo de baile.
[1:20:54.00]-[1:21:03.00]  Y estuvimos una vez en Salamanca, en Bezma, y fueron en una excursión hasta allá, y no lo dieron,
[1:21:03.00]-[1:21:13.00]  porque había un camión que era de Tridasturias, y era que andara por aquí, y llevaronlos allá a ver lo de allí,
[1:21:13.00]-[1:21:25.00]  lo del balneario de Salamanca, y en Villoria sí hay baqueados, no lo hay.
[1:21:25.00]-[1:21:38.00]  Chavalines y chavalinos, hay dos chavalinos en Villoria, ya son mocinos, un toca la gaita y otro el tambor,
[1:21:38.00]-[1:21:51.00]  y aquí un pueblo, estudian música en la escuela, pero no deben de salir con... si no les gusta no salen con nada.
[1:21:51.00]-[1:21:55.00]  ¿Es música de aquí o música de los títulos?
[1:21:55.00]-[1:22:00.00]  No, aquí en la escuela hay música de flauta.
[1:22:00.00]-[1:22:02.00]  ¿De Arturia también?
[1:22:02.00]-[1:22:05.00]  Sí, sí.
[1:22:05.00]-[1:22:13.00]  Ahora, baita, bueno, todavía la tienen muchos, pero la tienen allá como de recuerdo, de religión,
[1:22:13.00]-[1:22:20.00]  desde hace tiempo, o sea antes, y todavía la conservan.
[1:22:20.00]-[1:22:35.00]  Entonces, de esta manera tocar aquí en pueblo no toca a nadie, que ellos sepan, no toca a nadie.
[1:22:35.00]-[1:22:45.00]  ¿Y su plato de comida así preferido, típico que ustedes hagan, las guajadas y todo eso, no sé, cuéntenos algo.
[1:22:45.00]-[1:22:50.00]  No, eso no lo hago porque no tengo leche, y la leche tengo que comprar.
[1:22:50.00]-[1:22:53.00]  ¿Cómo tiene que estar la leche para hacer la guajada?
[1:22:53.00]-[1:23:08.00]  Pues, déjalo cojar, déjalo dos días por ejemplo, y ya se quita la nata, y luego queda la leche gorda,
[1:23:08.00]-[1:23:18.00]  y después échenlo en una bolsina de tela blanca y sale el agua que tienes todo, que se llama suero,
[1:23:18.00]-[1:23:28.00]  y luego queda eso que aquí no, pero por la parte de Casu todavía hacen quesos caseros de casa.
[1:23:28.00]-[1:23:37.00]  Y yo nunca me gustaron mucho, antes así no, porque había mucha leche, pero ahora como no hay, hay pocos que tienen ambas,
[1:23:37.00]-[1:23:48.00]  la mayor parte ya son gente mayor y ya no tienen vaques, pero sí que se hacía, me acuerdo de que de velos acelos.
[1:23:48.00]-[1:24:00.00]  Después que estaba ya muy seco, que salía todo el líquido que tenía, quedaba duro, y amasávenlo con sal y pimentón,
[1:24:00.00]-[1:24:10.00]  y hacían unos quesinos así redondinos, dejándolos secar, que yo gustara, y contamos nosotros, no yo gustaba.
[1:24:10.00]-[1:24:12.00]  ¿Y de dónde conseguían la sal?
[1:24:12.00]-[1:24:14.00]  ¿Dónde cocinaban?
[1:24:14.00]-[1:24:15.00]  ¿Conseguían la sal?
[1:24:15.00]-[1:24:26.00]  La sal, cómprasenla, y les tiendes, les tiendes, hay sal, bastante, sal fina y sal gruesa,
[1:24:26.00]-[1:24:30.00]  y la sal gruesa ya es lo que más se utiliza para los sanmartinos.
[1:24:30.00]-[1:24:36.00]  Yo uso sal fina para la comida y para todo, la sal gorda no la uso.
[1:24:36.00]-[1:24:44.00]  ¿Y no nos ha contado nada de la fiesta de San Martín, de esa aquí tan típica que es la matanza, no?
[1:24:44.00]-[1:24:45.00]  Sí.
[1:24:45.00]-[1:24:47.00]  ¿Y cómo hacen esa matanza?
[1:24:47.00]-[1:24:58.00]  Pues esa matanza, hay una, tienen una fiesta, que es la fiesta de San Martín,
[1:24:58.00]-[1:25:17.00]  y tienen una cosa de madera grande, muy larga y ancha,
[1:25:17.00]-[1:25:26.00]  y traen al cerdo y echanlo encima del cajón ese, y amárrenlo porque si no marcha ellos,
[1:25:26.00]-[1:25:34.00]  tres o cuatro hombres sujetando y otro corar que se llama, para sacar la sangre,
[1:25:34.00]-[1:25:43.00]  y luego metenlo en el cajón ese y echen agua ya muy caliente, muy caliente,
[1:25:43.00]-[1:25:51.00]  para después sacarlo y quiten todo el pelo y algo de piel que se quita con el agua caliente,
[1:25:51.00]-[1:26:02.00]  y después abrenlo y saquen y la tripa, el hígado y los plumones.
[1:26:02.00]-[1:26:09.00]  El hígado guástese para en casa, pero el otro no se debe gastar, para que pierda.
[1:26:09.00]-[1:26:21.00]  Y después ya otro día ya se despedaza el cerdo y ya se prepara la carne para ir haciendo los chorizos y el morcillo.
[1:26:21.00]-[1:26:24.00]  Entonces usan más el cerdo que el cordero, ¿no?
[1:26:24.00]-[1:26:29.00]  No, el cordero lo usan mucho aquí, sí, porque casi todo el mundo los tiene.
[1:26:29.00]-[1:26:31.00]  ¿Y cómo lo matan, jóvenes?
[1:26:31.00]-[1:26:40.00]  Sí, los corderinos jóvenes, porque los corderos y las ovejas tienenles para criar,
[1:26:40.00]-[1:26:53.00]  y pues tienen un corderón grande con las ovejas, y pues cuando por Navidad y así empiezan a parirles las ovejas,
[1:26:53.00]-[1:26:56.00]  y ahora hasta hoy ya son los corderos grandes.
[1:26:56.00]-[1:27:04.00]  Algunos vendenlos para meriendas, vendenlos para fiestas, vendenlos, otros matenlos en casa para ellos,
[1:27:04.00]-[1:27:08.00]  el que tenga pocos, el que tiene muchos, pues vendenlos.
[1:27:08.00]-[1:27:18.00]  Cuando hay fiestas, madre, ahí arriba en Fergueral y a Santiago, con el mogollón de corderos que hacen, a la estaca.
[1:27:18.00]-[1:27:37.00]  Yo creo que muchísimas gracias por todo y por toda amabilidad, y nada, ha sido un placer.
