[0:00:00.00]-[0:00:01.00]  ¿Y por qué?
[0:30:45.20]-[0:30:48.20]  Zapatero de estos remendones.
[0:30:48.20]-[0:30:50.20]  Sí, no, que no tenía zapatero, pero justo de arreglar, ¿no?
[0:30:50.20]-[0:30:52.20]  Sí, de arreglar, no de hacer zapato.
[0:30:52.20]-[0:30:53.20]  ¿Y los da a hacer donde...?
[0:30:53.20]-[0:30:55.20]  Pues, él los compraba, ya digo, pues...
[0:30:55.20]-[0:30:57.20]  ¿Y la sangüesa?
[0:30:57.20]-[0:30:59.20]  La sangüesa y todo.
[0:30:59.20]-[0:31:01.20]  Muy bien.
[0:31:01.20]-[0:31:03.20]  A ver, ¿qué más?
[0:31:03.20]-[0:31:06.20]  Una pregunta que es que quería hacer antes, pero se me ha olvidado.
[0:31:06.20]-[0:31:09.20]  ¿Había bodas concertadas?
[0:31:09.20]-[0:31:11.20]  Pues, creo que sí.
[0:31:11.20]-[0:31:13.20]  ¿Voda de mire?
[0:31:13.20]-[0:31:19.20]  Ah, alguna, sí, siempre, sí, sí, sí, sí.
[0:31:19.20]-[0:31:23.20]  Se casaron concertados, sí, sí, no, sí, no, no, sí, sí.
[0:31:23.20]-[0:31:25.20]  No se preocupe, cuéntenos lo de sus suegros.
[0:31:25.20]-[0:31:29.20]  No, no de mis suegros, no, que no tuve suegros, sino...
[0:31:29.20]-[0:31:36.20]  Pues sí, pues había bodas, y mira, pues la bisabuela,
[0:31:36.20]-[0:31:43.20]  la abuela, no, la abuela, la casaron de 16 años porque les hacía falta un hombre.
[0:31:43.20]-[0:31:49.20]  Y 16 años la casaron, o sea que fue una boda, pues, concertada.
[0:31:49.20]-[0:31:52.20]  De 16 años se casó.
[0:31:52.20]-[0:31:54.20]  Sí.
[0:31:54.20]-[0:31:59.20]  Y, porque claro, no podían meter a un hombre en casa a menos que estuvieran casados.
[0:31:59.20]-[0:32:02.20]  Ah, no, no, no, entonces bien sí, aquello era muy sagrado.
[0:32:02.20]-[0:32:08.20]  Y cuando las mujeres tenían lo de los amigos que decimos que iban por la carretera,
[0:32:08.20]-[0:32:11.20]  a dar un pase, no sé qué, ¿los padres lo sabían o no lo sabían?
[0:32:11.20]-[0:32:13.20]  No, no, no, entonces no.
[0:32:13.20]-[0:32:18.20]  Ah, cuando se enterrarían, cuando miraban por la noche...
[0:32:18.20]-[0:32:22.20]  Y yo, no sé, no sé, no sé.
[0:32:22.20]-[0:32:29.20]  Niño, ¿sabes qué? No me acuerdo, no me acuerdo cuando empecé yo con mi marido,
[0:32:29.20]-[0:32:34.20]  me parece que no me acuerdo, me parece que no me pece más que una vez.
[0:32:34.20]-[0:32:35.20]  Ya, que no sé, pesa.
[0:32:35.20]-[0:32:36.20]  Bésame.
[0:32:36.20]-[0:32:38.20]  Ah, solo se besaron una vez.
[0:32:38.20]-[0:32:40.20]  Con que lo demás, mira cómo iría.
[0:32:40.20]-[0:32:42.20]  Pero antes o después de la boda.
[0:32:42.20]-[0:32:44.20]  No, hombre, antes de la boda.
[0:32:44.20]-[0:32:46.20]  Le está viniendo usted bien, antes de la boda.
[0:32:46.20]-[0:32:50.20]  Ya, pero tampoco vamos a entrar mucho.
[0:32:50.20]-[0:32:52.20]  No, no, no, no.
[0:32:52.20]-[0:32:54.20]  Que no quiero que se me desbarate la lengua.
[0:32:54.20]-[0:32:57.20]  Oiga, pero si se le desbarata no hay problema, ¿eh?
[0:32:57.20]-[0:33:02.20]  Esto luego se queda, es nuestro, no se lo damos a nadie, no pasa nada.
[0:33:02.20]-[0:33:04.20]  Ah, entonces esto es vuestro.
[0:33:04.20]-[0:33:06.20]  Esto no se lo damos a nadie, no se preocupe.
[0:33:06.20]-[0:33:07.20]  Pues no hacéis bien.
[0:33:07.20]-[0:33:10.20]  Ahí está, pues muy bien.
[0:33:10.20]-[0:33:13.20]  ¿Qué más? ¿Tenían ustedes miedo, preocupaciones?
[0:33:13.20]-[0:33:16.20]  No, yo no he tenido nunca miedo ni ninguna preocupación.
[0:33:16.20]-[0:33:20.20]  Es verdad, es verdad, yo miedo no lo he conocido nunca.
[0:33:20.20]-[0:33:22.20]  Nunca, no he tenido miedo.
[0:33:22.20]-[0:33:25.20]  Teníamos unas, las gallinas, pues aquí siempre se han tenido fuera.
[0:33:25.20]-[0:33:29.20]  Y cuántos días a las 12 de la noche, ay sí, me encerró las gallinas.
[0:33:29.20]-[0:33:34.20]  Cogía el tonlimax, era una corrida para cuando se enteraban mis padres y había hecho yo la vuelta.
[0:33:34.20]-[0:33:35.20]  Ya.
[0:33:35.20]-[0:33:39.20]  Estaba por ahí, y claro, y las gallinas no me acordaba encerrarlas.
[0:33:39.20]-[0:33:41.20]  ¿Y qué intereses tenían? ¿Qué les gustaba hacer?
[0:33:41.20]-[0:33:47.20]  Aquí hemos hecho de todo, de todo, barrer, limpiar, de todo, de todo.
[0:33:47.20]-[0:33:48.20]  ¿Por gusto?
[0:33:48.20]-[0:33:49.20]  Por gusto, por obligación.
[0:33:49.20]-[0:33:51.20]  Ah, pues eso digo, por gusto.
[0:33:51.20]-[0:33:52.20]  Ah, por gusto, nada.
[0:33:52.20]-[0:33:55.20]  Yo qué sé, me gustaba, yo qué sé.
[0:33:55.20]-[0:34:01.20]  Si no, si no, a mí no me quedaba tiempo, por decir una cosa, por gusto.
[0:34:01.20]-[0:34:06.20]  Me gustaba mucho marchar por ahí, pero eso era lo que más me gustaba.
[0:34:06.20]-[0:34:09.20]  Ya, era muy dura la vida de antes.
[0:34:09.20]-[0:34:10.20]  Sí.
[0:34:10.20]-[0:34:13.20]  Sí, más que la de ahora me parece.
[0:34:13.20]-[0:34:15.20]  Más que la de ahora, muy mucho.
[0:34:15.20]-[0:34:16.20]  ¿Y qué lo notas?
[0:34:16.20]-[0:34:22.20]  Pues en que lo noto porque antes, mira, antes más, cuando yo era joven, pues había que ir a lavar al río.
[0:34:22.20]-[0:34:27.20]  Tenías que cogerte una bañera y mira, aquí, aquí iba, para buscar el agua.
[0:34:27.20]-[0:34:31.20]  Y todo, o sea que era más dura que ahora.
[0:34:31.20]-[0:34:37.20]  De la vuelta, pues igual, capazos con aquí a subir, todo en la cabeza, capazos, y no era...
[0:34:37.20]-[0:34:42.20]  No era, esto mira, para allá mi prima.
[0:34:42.20]-[0:34:47.20]  Y todo eso, o sea que era más dura.
[0:34:47.20]-[0:34:55.20]  Sí, ya nos veremos, ya nos veremos.
[0:34:55.20]-[0:34:56.20]  Ya nos veremos.
[0:34:56.20]-[0:34:57.20]  Sí.
[0:34:57.20]-[0:35:03.20]  A ver, y bueno, los jóvenes hemos visto.
[0:35:03.20]-[0:35:10.20]  La iglesia, entonces, ¿qué importancia tenía? La iglesia, pues los curas, todo eso.
[0:35:10.20]-[0:35:13.20]  La iglesia, entonces, era, claro, más que ahora.
[0:35:13.20]-[0:35:18.20]  Sí, la iglesia, madre mía, era más que ahora, sí.
[0:35:18.20]-[0:35:23.20]  ¿Qué le preocupaba el cura, qué hacía el cura, qué suponía el cura para todos ustedes?
[0:35:23.20]-[0:35:31.20]  Porque el cura de aquí, no hemos tenido cura, cura fijo, fijo, desde el año 52, me parece.
[0:35:31.20]-[0:35:34.20]  Su vida de Navarín, su vida.
[0:35:34.20]-[0:35:35.20]  Sí, ya nos dijo.
[0:35:35.20]-[0:35:44.20]  Sí, y yo me acuerdo, pues nada más de mí al cura, que lo veías, Ave María Purísima, y Ave María Purísima, Ave María Purísima.
[0:35:44.20]-[0:35:50.20]  Era un respeto que le tenías grande al cura, mucho, mucho, mucho respeto se tenía.
[0:35:50.20]-[0:35:52.20]  Y el cura, que era la Argentina con ustedes, ¿tiene buena relación?
[0:35:52.20]-[0:35:53.20]  Sí, sí, sí.
[0:35:53.20]-[0:35:54.20]  ¿Por ahora también distante como con los puros?
[0:35:54.20]-[0:35:59.20]  No, no, no, no, no, no, no, no era distante, no, no, no.
[0:35:59.20]-[0:36:02.20]  Cuando se confesaban, por ejemplo, era muy restrictivo.
[0:36:02.20]-[0:36:06.20]  Ah, no, cuando te confesabas, no, no era, no.
[0:36:06.20]-[0:36:07.20]  No, no.
[0:36:07.20]-[0:36:09.20]  Yo no tenía pecaus.
[0:36:09.20]-[0:36:11.20]  Claro, es que yo he vivido esta vida también.
[0:36:11.20]-[0:36:12.20]  Sí.
[0:36:12.20]-[0:36:13.20]  Mi vida sí no me parece de pecaus.
[0:36:13.20]-[0:36:19.20]  Sí, pues cuando te confesabas, pues ibas con un miedo, para qué, a ver, oí, claro.
[0:36:19.20]-[0:36:21.20]  Y luego no era para tanto, ¿no?
[0:36:21.20]-[0:36:24.20]  No, no, no, luego te confesabas.
[0:36:24.20]-[0:36:25.20]  ¿No te confesabas de pecaus?
[0:36:25.20]-[0:36:26.20]  Sí.
[0:36:26.20]-[0:36:31.20]  ¿De mentir, de todas esas cosas de crías?
[0:36:31.20]-[0:36:32.20]  Sí.
[0:36:32.20]-[0:36:33.20]  He mentido, he reñido.
[0:36:33.20]-[0:36:34.20]  Sí, sí.
[0:36:34.20]-[0:36:35.20]  Mi padre ya ha hablado de él.
[0:36:35.20]-[0:36:36.20]  La retoca es un tema.
[0:36:36.20]-[0:36:38.20]  Sí, siempre da lo mismo, claro.
[0:36:38.20]-[0:36:39.20]  Siempre.
[0:36:39.20]-[0:36:43.20]  He mentido algo y mucho y todo eso.
[0:36:43.20]-[0:36:48.20]  Muchas veces no les hago caso a mis padres, que me dicen que vaya la hora y no acudo.
[0:36:48.20]-[0:36:49.20]  Esas chorradas.
[0:36:49.20]-[0:36:50.20]  Se confesaban ese tipo de cosas, ¿no?
[0:36:50.20]-[0:36:52.20]  Sí, esas cosas de crías.
[0:36:52.20]-[0:36:53.20]  Ya.
[0:36:53.20]-[0:37:00.20]  Y yo quería preguntarle, aunque era usted pequeña, si se acuerda algo de la guerra o aquí están apartados.
[0:37:00.20]-[0:37:05.20]  Ah, de la guerra aquí sí se estuvo apartados de la guerra, sí, de la guerra sí.
[0:37:05.20]-[0:37:08.20]  ¿No tenían que, se fueron los chicos o...?
[0:37:08.20]-[0:37:10.20]  Sí, hoy se fueron de aquí, se fueron mucha gente, sí.
[0:37:10.20]-[0:37:13.20]  Pues mataron, en la guerra, ¿cuántos mataron?
[0:37:13.20]-[0:37:14.20]  Lo menos a ocho, nueve.
[0:37:14.20]-[0:37:18.20]  De una casa dos hermanos, los dos únicos que había.
[0:37:18.20]-[0:37:19.20]  ¿Qué sabrán?
[0:37:19.20]-[0:37:25.20]  Si se notó, les costaba más trabajo encontrar comida o...
[0:37:25.20]-[0:37:28.20]  No, no, aquí, ¿sabes lo que pasó?
[0:37:28.20]-[0:37:32.20]  Aquí lo que más escasaba era el aceite, porque el pan estaba abundante.
[0:37:32.20]-[0:37:36.20]  Patatas te cosechabas de casa, judías te cosechabas para todo el año.
[0:37:36.20]-[0:37:40.20]  O sea que, para decir que escaseó la comida, no.
[0:37:40.20]-[0:37:41.20]  Te mataba el cerdo.
[0:37:41.20]-[0:37:45.20]  O sea que, que eso no... había carne.
[0:37:45.20]-[0:37:49.20]  O sea que, escasez de comida, nada, de eso nada, nada.
[0:37:49.20]-[0:37:51.20]  De eso nada.
[0:37:51.20]-[0:37:55.20]  Quería preguntarle otra cosa con respecto a lo del cura y todo eso.
[0:37:55.20]-[0:37:57.20]  ¿El cura se metía en la vida del pueblo?
[0:37:57.20]-[0:38:00.20]  No, no, no, no, no se metió, no.
[0:38:00.20]-[0:38:02.20]  No se metió.
[0:38:02.20]-[0:38:08.20]  Lo único una vez sí, que hacían un reinau, los hombres, no sé si sabréis, el día de reyes,
[0:38:08.20]-[0:38:11.20]  hacían un reinau, damas y caballeros.
[0:38:11.20]-[0:38:12.20]  Damas y... no.
[0:38:12.20]-[0:38:16.20]  Damas y galanes, oye, sí, damas y galanes, sí, damas y galanes.
[0:38:16.20]-[0:38:21.20]  Y salían y una vez pusieron el señor parroco, salió con una.
[0:38:21.20]-[0:38:23.20]  Y claro, y el hombre...
[0:38:23.20]-[0:38:24.20]  Salió con una.
[0:38:24.20]-[0:38:31.20]  Sí, con... que ponían fulano con fulana, a otra con otro, que hacían un reinau y lo gritaban a voz pública por la noche.
[0:38:31.20]-[0:38:38.20]  Y salió con una y el pobre hombre, claro, pasó lo que pasó, pero él no quería más que que les hubieran hecho una reprimenda
[0:38:38.20]-[0:38:44.20]  por poner al parroco y fue algo más de lo que él pensó, el pobre hombre, pero ya no pasó más.
[0:38:44.20]-[0:38:45.20]  No fue a más.
[0:38:45.20]-[0:38:46.20]  No fue a más.
[0:38:46.20]-[0:38:51.20]  Y cuando hacían ustedes, por ejemplo, baile, no sé si utilizaban, por ejemplo, faldas cortas...
[0:38:51.20]-[0:38:53.20]  Y a zapatero.
[0:38:53.20]-[0:38:55.20]  Y a zapatero.
[0:38:55.20]-[0:39:02.20]  Eso no sé si se ponía, cuando hacían el baile, no sé si usaban ustedes, a lo mejor, ropa, pues más...
[0:39:02.20]-[0:39:04.20]  Ves y ropa, madre mía, niño.
[0:39:04.20]-[0:39:05.20]  Bueno, el cico.
[0:39:05.20]-[0:39:07.20]  Mira con el cuello así.
[0:39:07.20]-[0:39:08.20]  Sí.
[0:39:08.20]-[0:39:09.20]  Sí.
[0:39:09.20]-[0:39:11.20]  Madre mía.
[0:39:11.20]-[0:39:13.20]  No, no, no, no, no.
[0:39:13.20]-[0:39:15.20]  No sé, no, no.
[0:39:15.20]-[0:39:16.20]  Ni bien sin minifalda.
[0:39:16.20]-[0:39:17.20]  Madre mía, minifalda.
[0:39:17.20]-[0:39:18.20]  Pecau.
[0:39:18.20]-[0:39:19.20]  Un pecau gordo.
[0:39:19.20]-[0:39:20.20]  ¿Eso cuando entró?
[0:39:20.20]-[0:39:24.20]  La minifalda, pues ya hace unos años que entró.
[0:39:24.20]-[0:39:25.20]  Ya.
[0:39:25.20]-[0:39:28.20]  Ya hace unos años que entró.
[0:39:28.20]-[0:39:29.20]  Sí.
[0:39:29.20]-[0:39:32.20]  No sé cuánto entraría.
[0:39:32.20]-[0:39:33.20]  Después de la guerra.
[0:39:33.20]-[0:39:35.20]  Después y después de la guerra.
[0:39:35.20]-[0:39:36.20]  Ya.
[0:39:36.20]-[0:39:38.20]  Ya, minifalda, bien chica, bien.
[0:39:38.20]-[0:39:41.20]  Hasta, casi un poco más arriba del tobillo.
[0:39:41.20]-[0:39:42.20]  Ya.
[0:39:46.20]-[0:39:49.20]  Y a la iglesia pues igual de manga larga y todo.
[0:39:49.20]-[0:39:50.20]  Sin manga tampoco.
[0:39:50.20]-[0:39:53.20]  No, no, de manga a manga pues hasta aquí así.
[0:39:53.20]-[0:39:56.20]  Y las fiestas del pueblo, ¿cómo eran?
[0:39:56.20]-[0:39:58.20]  ¿Se veía Romería o se sacaba la Virgen o algo así?
[0:39:58.20]-[0:40:01.20]  No, las fiestas, si Santa Bárbara, ¿qué eran?
[0:40:01.20]-[0:40:06.20]  Santa Bárbara, el 4 de diciembre.
[0:40:06.20]-[0:40:08.20]  El 4 de diciembre eran.
[0:40:08.20]-[0:40:10.20]  Se sacaba la Virgen a pasear por aquí.
[0:40:10.20]-[0:40:16.20]  No, si sacaban la patrona, Santa Bárbara, se acaban en procesión.
[0:40:16.20]-[0:40:18.20]  Sí.
[0:40:18.20]-[0:40:20.20]  ¿Y qué hacían? ¿Bebían o algo en la plaza?
[0:40:20.20]-[0:40:23.20]  Ay sí, menudas fiestas, hacían unas fiestas muy...
[0:40:23.20]-[0:40:24.20]  ¿Qué eran las fiestas?
[0:40:24.20]-[0:40:26.20]  Había cinco días de fiestas, eh.
[0:40:26.20]-[0:40:27.20]  Ah.
[0:40:27.20]-[0:40:28.20]  Cinco días.
[0:40:28.20]-[0:40:29.20]  ¿Y no trabajaba la gente?
[0:40:29.20]-[0:40:32.20]  No, no, no, no, no, no, no, no trabajaban.
[0:40:32.20]-[0:40:35.20]  Ellos eran sagrados para guardar fiestas.
[0:40:35.20]-[0:40:37.20]  A beber y a comer, ¿no?
[0:40:37.20]-[0:40:38.20]  ¿En?
[0:40:38.20]-[0:40:39.20]  A beber y a comer.
[0:40:39.20]-[0:40:40.20]  Ah, a beber y a comer, sí, y al café.
[0:40:40.20]-[0:40:43.20]  ¿Y había también toros o maquillas?
[0:40:43.20]-[0:40:48.20]  No, no, no, no, no, dos años hubo maquillas, pero nada más.
[0:40:48.20]-[0:40:52.20]  No, no, no, no, no, aquí maquillas y eso no, eso no.
[0:40:52.20]-[0:40:58.20]  Aquí bailes y comer y nada más que bailes.
[0:40:58.20]-[0:41:00.20]  ¿A usted le gustaban los toros aunque no hubiera aquí?
[0:41:00.20]-[0:41:02.20]  ¿Ha ido fuera a ver los toros en algún sitio?
[0:41:02.20]-[0:41:07.20]  Ah, yo en la tele, sí, con lo que valen, me voy a gastar yo esas perras.
[0:41:07.20]-[0:41:09.20]  Maño, ya los veo en la tele, ah.
[0:41:09.20]-[0:41:10.20]  Ya.
[0:41:10.20]-[0:41:12.20]  Que me... no, no.
[0:41:12.20]-[0:41:19.20]  Madre mía, del corazón me saldrían viendo en la tele.
[0:41:19.20]-[0:41:21.20]  ¿Y cuando los chicos iban a la mili?
[0:41:21.20]-[0:41:23.20]  ¿Se hacía alguna fiesta de los quintos?
[0:41:23.20]-[0:41:25.20]  Ah, sí, los quintos, sí, los quintos, sí.
[0:41:25.20]-[0:41:26.20]  ¿Cómo los celebraron aquí?
[0:41:26.20]-[0:41:33.20]  Pues se invitaban uno en cada casa, bueno uno en cada, con los que había,
[0:41:33.20]-[0:41:36.20]  pues iban a comer, a merendar a las casas donde eran los quintos,
[0:41:36.20]-[0:41:39.20]  se reunían y bailé también, y hacer baile.
[0:41:39.20]-[0:41:41.20]  ¿Y no en los mayos, lo del tronco, la ventana de la mujer?
[0:41:41.20]-[0:41:44.20]  No, aquí no, aquí no, aquí no, no se hizo eso.
[0:41:44.20]-[0:41:46.20]  Ni en ramadas tampoco.
[0:41:46.20]-[0:41:49.20]  Ya. ¿Cuánto tiempo estaban fuera ellos?
[0:41:49.20]-[0:41:50.20]  ¿Los quintos?
[0:41:50.20]-[0:41:51.20]  Sí.
[0:41:51.20]-[0:41:55.20]  Ah, entonces yo tuve un primo que estuvo a lo menos tres años.
[0:41:55.20]-[0:41:57.20]  Tres años me parece que estuvo, sí.
[0:41:57.20]-[0:41:58.20]  ¿Y a dónde iban ellos?
[0:41:58.20]-[0:42:03.20]  Ah, tomaba, aquí se incorporaban en Zaragoza y después a dónde lo destinaban.
[0:42:03.20]-[0:42:05.20]  ¿Y ustedes iban a visitarlos en algún momento?
[0:42:05.20]-[0:42:08.20]  No, no, venían ellos con permiso.
[0:42:08.20]-[0:42:09.20]  Muy bien.
[0:42:09.20]-[0:42:12.20]  ¿Y al cine? Claro, no iban al cine.
[0:42:12.20]-[0:42:13.20]  ¿No había cine o...?
[0:42:13.20]-[0:42:15.20]  Bien, sí, cine, hija mía.
[0:42:15.20]-[0:42:17.20]  ¿El que hacíamos nosotras?
[0:42:17.20]-[0:42:18.20]  ¿Teatros?
[0:42:18.20]-[0:42:21.20]  Ah, pero venían, venían gente, sí, a hacer cine, sí venían.
[0:42:21.20]-[0:42:22.20]  ¿Hacían tournés de estas de...?
[0:42:22.20]-[0:42:24.20]  Sí, también hacíamos teatro, también.
[0:42:24.20]-[0:42:25.20]  ¿Teatros?
[0:42:25.20]-[0:42:28.20]  Sí, una maestra que hacía así, nos hacíamos...
[0:42:28.20]-[0:42:30.20]  ¿Tenían grupo de teatro en el pueblo o...?
[0:42:30.20]-[0:42:33.20]  No, no, no, no, de la escuela, de la escuela.
[0:42:33.20]-[0:42:34.20]  ¿Y qué obras hacían?
[0:42:34.20]-[0:42:36.20]  Ay, niño, no me acuerdo.
[0:42:36.20]-[0:42:38.20]  ¿Cómo obras, no sé, obras para, bueno, para la fiesta de la mañana...?
[0:42:38.20]-[0:42:41.20]  Sainetes, se hacía algún sainete de estos cortos.
[0:42:41.20]-[0:42:42.20]  Ya.
[0:42:42.20]-[0:42:43.20]  Sí.
[0:42:43.20]-[0:42:45.20]  O obras...
[0:42:45.20]-[0:42:51.20]  Pues mira, con lo de los sainetes que se sacaba se compró un armonium para la iglesia.
[0:42:51.20]-[0:42:52.20]  ¿Un?
[0:42:52.20]-[0:42:57.20]  Un armonium para la iglesia, con una maestra que hubo de San Huesado, ya.
[0:42:57.20]-[0:43:00.20]  Pues con lo que se sacó se compró el armonium.
[0:43:00.20]-[0:43:01.20]  Bueno, pues entonces está un poco estada nada más.
[0:43:01.20]-[0:43:02.20]  Sí.
[0:43:05.20]-[0:43:13.20]  ¿Qué más? ¿Conoce usted algún relato tradicional, algún cuento, algo que se cuente aquí o en esta zona?
[0:43:13.20]-[0:43:17.20]  Que, no sé, cuentos...
[0:43:17.20]-[0:43:18.20]  Una leyenda o algo así.
[0:43:18.20]-[0:43:19.20]  Sí, historias que se narran...
[0:43:19.20]-[0:43:22.20]  ¿A los niños o algo así?
[0:43:22.20]-[0:43:23.20]  ¿Sabes qué? No, no sé.
[0:43:23.20]-[0:43:26.20]  ¿Como por ejemplo, por ejemplo, leyendas?
[0:43:26.20]-[0:43:31.20]  Leyendas, no, aquí no sé, chicos, de eso no recuerdo.
[0:43:31.20]-[0:43:32.20]  Una leyenda.
[0:43:32.20]-[0:43:35.20]  A lo mejor, ¿sabes cuándo me acordaré? Esta noche en la cama.
[0:43:35.20]-[0:43:37.20]  Pues lo hacía por teléfono.
[0:43:37.20]-[0:43:39.20]  Está, está hecho en la cama de mi...
[0:43:39.20]-[0:43:40.20]  ¿La historia que tiene?
[0:43:40.20]-[0:43:41.20]  Sí.
[0:43:41.20]-[0:43:42.20]  ¿De todo?
[0:43:42.20]-[0:43:44.20]  Pero ahora no me recuerdo, no.
[0:43:44.20]-[0:43:45.20]  ¿Está nerviosa?
[0:43:45.20]-[0:43:49.20]  No, nerviosa no, hijo mío, estoy más tranquila que el guerra.
[0:43:49.20]-[0:43:51.20]  ¿Te acordas menos que cuando...?
[0:43:51.20]-[0:43:54.20]  Sí, sí, cuando te preguntan, es verdad, cuando...
[0:43:54.20]-[0:43:55.20]  Ya.
[0:43:55.20]-[0:43:56.20]  Pues sí.
[0:43:56.20]-[0:44:01.20]  Y otra cosa, ha dicho que tenían animales, ¿ovejas ha dicho que tenía?
[0:44:01.20]-[0:44:04.20]  Sí, ovejas sí, ha habido siempre en este pueblo, Ganaus.
[0:44:04.20]-[0:44:05.20]  ¿Las esquilaban?
[0:44:05.20]-[0:44:07.20]  Sí, sí, sí, sí, mira.
[0:44:08.20]-[0:44:09.20]  Ahora van a esquilar.
[0:44:09.20]-[0:44:10.20]  Ya.
[0:44:10.20]-[0:44:16.20]  Llegaba el día en este tiempo y a los esquiladores venían a Tijera, castellanos venían, castellanos.
[0:44:16.20]-[0:44:18.20]  ¿Y lavan ustedes la lana?
[0:44:18.20]-[0:44:19.20]  También se hilaba.
[0:44:19.20]-[0:44:23.20]  También en tiempos cuando la guerra que no había, pues también se hilaba.
[0:44:23.20]-[0:44:30.20]  Hizo un carpintura que unas máquinas, cogías la lana, le dabas al pedal y hacía dale y a hilar allí.
[0:44:30.20]-[0:44:35.20]  Hacer calcetines, chaquetas, jerseyis, de todo se hacía, de lana de casa.
[0:44:35.20]-[0:44:37.20]  ¿Las hacían del color de la lana o también las teñían?
[0:44:37.20]-[0:44:41.20]  No, había que teñirlas, azul, verde, rojas.
[0:44:41.20]-[0:44:43.20]  ¿Con tintas químicas, naturales?
[0:44:43.20]-[0:44:45.20]  Ah, no, no, naturales, aquí era todo natural.
[0:44:45.20]-[0:44:46.20]  ¿Cómo le hacían eso?
[0:44:46.20]-[0:44:58.20]  Pues se compraba el tinte, lo ponías en una cacerola, en un pozal y hirviendo pues se hacía, dándole vuelta que no es todo y lo sacabas, se enfriaba y acláralo.
[0:44:58.20]-[0:45:00.20]  ¿Pero con plantas eran o...?
[0:45:00.20]-[0:45:03.20]  No, no, no, no, con polvos. Era polvos, sí.
[0:45:03.20]-[0:45:04.20]  Entonces, polvos sí.
[0:45:04.20]-[0:45:05.20]  ¿Era siquiera comprado por eso?
[0:45:05.20]-[0:45:08.20]  Sí, sí, era comprado, sí.
[0:45:08.20]-[0:45:14.20]  Lo que se hacía, ¿sabes lo que se hacía? Con remolacha azucarera, farinetas, cuando se casaba el azúcar.
[0:45:14.20]-[0:45:15.20]  Ah, sí, ¿y esto cómo es?
[0:45:15.20]-[0:45:19.20]  Farinetas, con remolacha azucarera, donde sale el azúcar.
[0:45:19.20]-[0:45:20.20]  ¿Pero qué son las farinetas?
[0:45:20.20]-[0:45:34.20]  Farinetas pues son con harina y echaban, cocian las, esto, las remolachas y el caldo ese, pues que en ese caldo se hacía, como era dulce, dulce, pues con ese caldo con harina pues lo hacían, farinetas.
[0:45:34.20]-[0:45:35.20]  Ah, como sopas.
[0:45:35.20]-[0:45:40.20]  Como sopas, sí, sí. Como las gachas de por ahí, de esos pueblos que hacen gachas.
[0:45:40.20]-[0:45:41.20]  Ya sé cómo dicen.
[0:45:41.20]-[0:45:49.20]  Ya sé, como las gachas que hacen por allí, por donde, por esos pueblos de la Castilla o por donde.
[0:45:49.20]-[0:45:52.20]  No sé, yo no me he sacado porque no sé.
[0:45:52.20]-[0:45:53.20]  ¿Por la Mancha?
[0:45:53.20]-[0:46:00.20]  Por la Mancha, sí, por la Mancha, por allí hacen gachas así, pues parecidas, pero que eran dulces, entonces esas saladas eran dulces.
[0:46:00.20]-[0:46:02.20]  ¿Y mantequilla hacían?
[0:46:02.20]-[0:46:03.20]  No, mantequilla no.
[0:46:03.20]-[0:46:04.20]  O sea, compraban.
[0:46:04.20]-[0:46:05.20]  No se compraba.
[0:46:05.20]-[0:46:06.20]  Muy bien.
[0:46:06.20]-[0:46:12.20]  Y iba a preguntar, ah sí, ¿tiene ustedes algún plato típico, algún postre típico, por ejemplo?
[0:46:12.20]-[0:46:15.20]  De aquí no, no sé, no, no, no, yo no sé.
[0:46:15.20]-[0:46:16.20]  ¿A qué no sé?
[0:46:16.20]-[0:46:26.20]  Unas tortas de Pascua decían, unas tortas de Pascua, pero con huevos y clara batida hacían, pero yo niño de eso ya no me acuerdo por qué no.
[0:46:26.20]-[0:46:28.20]  Y las tortas de patata también muy buenas.
[0:46:28.20]-[0:46:30.20]  ¿Cómo se hacen las tortas de patata?
[0:46:30.20]-[0:46:34.20]  Sí, pero la patata echaban yo tampoco no sé.
[0:46:34.20]-[0:46:44.20]  Si cocian patatas y con ese caldo lo echaban en la harina y se decían tortas de patata, como una mallorquina.
[0:46:44.20]-[0:46:46.20]  Pero niños de eso no, ¿para qué?
[0:46:46.20]-[0:46:52.20]  ¿Hacían ustedes por ejemplo en su familia, cocinaban juntos a veces o siempre la madre siempre, siempre?
[0:46:52.20]-[0:46:54.20]  No, la madre siempre, la madre siempre cocinaba.
[0:46:54.20]-[0:46:56.20]  ¿El padre no cocinaba nada nunca?
[0:46:56.20]-[0:47:06.20]  Mi padre le gustaba mucho, sí, limpiar la verdura y hacer, sí, mi padre le gustaba, le gustaba la cocina, pero no, casi siempre lo hacía mi madre.
[0:47:06.20]-[0:47:10.20]  ¿Hacían ustedes por ejemplo torrijas en Semana Santa o puches o algo de ese tipo?
[0:47:10.20]-[0:47:13.20]  Sí, sí, torrijas sí, torrijas sí que se hacían, sí.
[0:47:13.20]-[0:47:15.20]  ¿Cómo las hacían aquí las torrijas?
[0:47:15.20]-[0:47:24.20]  Pues con el, se ponía el pan con leche y después se rebozaba con huevo y hasta ahí echales azúcar por arriba, con canela.
[0:47:24.20]-[0:47:25.20]  ¿Y puches hacen?
[0:47:25.20]-[0:47:27.20]  No, puches que es.
