[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:28:11.00]-[0:28:13.00]  Y a lo mejor le daba al otro.
[0:28:13.00]-[0:28:15.00]  Y a ver cuál podía llegar más lejos en la choca.
[0:28:15.00]-[0:28:17.00]  O se le escapaba el palo.
[0:28:17.00]-[0:28:19.00]  O se le escapaba el palo y le daba que estaba allí.
[0:28:19.00]-[0:28:21.00]  De la vaina ciega también se jugaba, ¿te acuerdas?
[0:28:21.00]-[0:28:23.00]  De la vaina ciega.
[0:28:23.00]-[0:28:25.00]  A la torrea.
[0:28:25.00]-[0:28:27.00]  Y a los alfileres.
[0:28:27.00]-[0:28:29.00]  A los alfileres se jugaba yo doscientas veces.
[0:28:29.00]-[0:28:31.00]  Y al reloj de...
[0:28:31.00]-[0:28:33.00]  Y al reloj de...
[0:28:33.00]-[0:28:35.00]  Y al reloj de...
[0:28:35.00]-[0:28:37.00]  Y al reloj de...
[0:28:37.00]-[0:28:39.00]  Y al reloj de...
[0:28:39.00]-[0:28:41.00]  Y al reloj de...
[0:28:41.00]-[0:28:43.00]  De las estampas.
[0:28:43.00]-[0:28:45.00]  ¿Y a qué? ¿Y a qué más?
[0:28:45.00]-[0:28:49.00]  Te ponían en un sitio las estampas y tirabas una.
[0:28:49.00]-[0:28:53.00]  Y luego ponías otra y tirabas otra.
[0:28:53.00]-[0:28:55.00]  Y claro, caían.
[0:28:55.00]-[0:28:57.00]  Pesaban poco.
[0:28:57.00]-[0:28:59.00]  Y cuando se juntaban dos...
[0:28:59.00]-[0:29:01.00]  Se juntaban las dos.
[0:29:01.00]-[0:29:03.00]  Pues cogías todo lo que había.
[0:29:03.00]-[0:29:05.00]  Y otra vez a tirar.
[0:29:05.00]-[0:29:07.00]  Bueno, eso ha sido más cosa de chicos. Yo de la vez suya no jugaba a estampas.
[0:29:07.00]-[0:29:09.00]  Lo que es que como es más mayor,
[0:29:09.00]-[0:29:11.00]  se acuerdan de otras cosas un poquillo más.
[0:29:11.00]-[0:29:13.00]  Y jugábamos...
[0:29:13.00]-[0:29:15.00]  ¿Y al diario? ¿Cómo? ¿Cómo?
[0:29:15.00]-[0:29:17.00]  Eso que nos pintábamos, uno sentí mal y otro...
[0:29:17.00]-[0:29:19.00]  ¿Cómo se llamaba ese jugón?
[0:29:19.00]-[0:29:21.00]  ¿Cómo se llamaba? Que no me acuerdo.
[0:29:21.00]-[0:29:23.00]  Sí.
[0:29:23.00]-[0:29:25.00]  Y teníamos que andar con nuevas cuestas.
[0:29:25.00]-[0:29:27.00]  No, se ponían así cuatro.
[0:29:27.00]-[0:29:29.00]  ¿Pero son los alfileres, no?
[0:29:29.00]-[0:29:31.00]  No, no, no. ¿Cómo se llamaba aquello?
[0:29:31.00]-[0:29:33.00]  ¿Cómo se llamaba aquello?
[0:29:33.00]-[0:29:35.00]  Ay, coñota.
[0:29:35.00]-[0:29:37.00]  Y yo el saltar uno a uno...
[0:29:37.00]-[0:29:39.00]  Y yo el sapo.
[0:29:39.00]-[0:29:41.00]  A mi me falta el sapo.
[0:29:41.00]-[0:29:43.00]  A mi me falta el sapo.
[0:29:43.00]-[0:29:45.00]  Eso sí que les gustaría ver.
[0:29:45.00]-[0:29:47.00]  ¿Eso te pone uno a un caballo?
[0:29:47.00]-[0:29:49.00]  No, no, dos. Uno.
[0:29:49.00]-[0:29:51.00]  ¿Uno a cada lado?
[0:29:51.00]-[0:29:53.00]  Se pone uno solo. Y uno a cada lado se da las manos y le pone.
[0:29:53.00]-[0:29:55.00]  Eso, eso, eso, eso.
[0:29:55.00]-[0:29:57.00]  Uno así, acachado.
[0:29:57.00]-[0:29:59.00]  Uno así y otro se pone aquí tumbado.
[0:29:59.00]-[0:30:01.00]  Y otro aquí. Con los pies los dos encima de la espalda del que está tumbado.
[0:30:01.00]-[0:30:03.00]  Y se coge cada uno de los pies del otro.
[0:30:03.00]-[0:30:05.00]  Y se tiene que levantar.
[0:30:05.00]-[0:30:07.00]  Y el que está acachado tiene que levantarlos.
[0:30:07.00]-[0:30:09.00]  Y si no puede levantarlos...
[0:30:09.00]-[0:30:11.00]  Pues un palo en el culo.
[0:30:11.00]-[0:30:13.00]  Y si los levanta, pues eso, a ganar.
[0:30:13.00]-[0:30:15.00]  Si no puede, pues ala.
[0:30:15.00]-[0:30:17.00]  Ala, quítate que no sirve, zana.
[0:30:17.00]-[0:30:19.00]  A ver, otro.
[0:30:19.00]-[0:30:21.00]  Ese está muy gracioso.
[0:30:21.00]-[0:30:23.00]  Gracioso porque te ríes, ¿no?
[0:30:23.00]-[0:30:25.00]  Te ríes porque ves que el otro...
[0:30:25.00]-[0:30:27.00]  ¿Sabes qué te pasaba?
[0:30:27.00]-[0:30:29.00]  Que como antes no se llevaban bragas, pues te onjun a la aire.
[0:30:29.00]-[0:30:31.00]  No se llevaban pantalones ni bragas, pues cuando te levantabas,
[0:30:31.00]-[0:30:33.00]  pues tú la sabes haciendo en un bragas.
[0:30:33.00]-[0:30:35.00]  Y los muchachos querían jugar más que nada por esas pías, ¿sabes?
[0:30:35.00]-[0:30:37.00]  Pues qué mala, no me digas.
[0:30:37.00]-[0:30:39.00]  No he pensado yo en eso.
[0:30:39.00]-[0:30:41.00]  Ahora llevaban pantalones, pero antes no.
[0:30:41.00]-[0:30:43.00]  Ni bragas, ni pantalones.
[0:30:43.00]-[0:30:45.00]  Ahora lo que veías entonces...
[0:30:45.00]-[0:30:47.00]  Qué mala es bragas, es que no.
[0:30:47.00]-[0:30:49.00]  Yo me acuerdo de que sin bragas.
[0:30:49.00]-[0:30:51.00]  Y los años que no había bragas.
[0:30:51.00]-[0:30:53.00]  Y cuando mi madre me hacía una camilita de mi padre...
[0:30:59.00]-[0:31:01.00]  ¿Tú crees que serían más ricas?
[0:31:01.00]-[0:31:03.00]  ¡Sí!
[0:31:03.00]-[0:31:05.00]  ¡Sí!
[0:31:05.00]-[0:31:07.00]  Hasta no tenía ni madre.
[0:31:07.00]-[0:31:09.00]  Así que imagínate,
[0:31:09.00]-[0:31:11.00]  tú tenía tu madre.
[0:31:11.00]-[0:31:13.00]  Pero poco me duró.
[0:31:13.00]-[0:31:15.00]  Sí, que duró, coño.
[0:31:15.00]-[0:31:17.00]  Se murió de 53 años, ya ves lo que me duró.
[0:31:17.00]-[0:31:19.00]  Sí, pero tú eras moza, yo tenía dos años.
[0:31:19.00]-[0:31:21.00]  Y yo creo que se iba en el río a bañarse
[0:31:21.00]-[0:31:23.00]  y las mujeres se ponían unas camisas galgas.
[0:31:23.00]-[0:31:25.00]  Sí, sí, se iba en el río a bañarse.
[0:31:25.00]-[0:31:27.00]  Que no había piscinas, ni había cartuchas en las casas,
[0:31:27.00]-[0:31:29.00]  ni había ballenas.
[0:31:29.00]-[0:31:31.00]  ¿A la llegaba el mes de agosto del río?
[0:31:31.00]-[0:31:33.00]  No, iba para abajo.
[0:31:33.00]-[0:31:35.00]  Pues con unas camisas te metías y inflabas.
[0:31:35.00]-[0:31:37.00]  Sí, sí, sí.
[0:31:37.00]-[0:31:39.00]  Salían así mojadas y te lo veías.
[0:31:39.00]-[0:31:41.00]  No, me quise hacer una paella al río.
[0:31:41.00]-[0:31:43.00]  Te llevabas un conejo, un pollo,
[0:31:43.00]-[0:31:45.00]  hacías una sandía y ya estaba.
[0:31:45.00]-[0:31:47.00]  Y comías ahí en el río y tú...
[0:31:47.00]-[0:31:49.00]  Y te pasinabas al río y vas de boda.
[0:31:49.00]-[0:31:51.00]  Eso le pasaba de buena vida.
[0:31:51.00]-[0:31:53.00]  Pero la gente se iba aquí más al río
[0:31:53.00]-[0:31:55.00]  cuando terminaba de...
[0:31:55.00]-[0:31:57.00]  La quilla.
[0:31:57.00]-[0:31:59.00]  La quilla, ¿sabéis o no sabéis qué es la quilla?
[0:31:59.00]-[0:32:01.00]  Hombre, que yo qué bueno era.
[0:32:01.00]-[0:32:03.00]  La quilla es la cosecha del trigo.
[0:32:03.00]-[0:32:05.00]  Y la semana se trillaba...
[0:32:05.00]-[0:32:07.00]  Se trillaba con la quilla que daba el mundo vueltas alrededor.
[0:32:07.00]-[0:32:09.00]  En una cinta.
[0:32:09.00]-[0:32:11.00]  Con una cosa bastante grande,
[0:32:11.00]-[0:32:13.00]  mucho más grande que...
[0:32:13.00]-[0:32:15.00]  Como la plaza.
[0:32:15.00]-[0:32:17.00]  Y con una quilla y un macho...
[0:32:17.00]-[0:32:19.00]  Una quilla tampoco sabéis lo que es.
[0:32:19.00]-[0:32:21.00]  Pues es un trozo de madera.
[0:32:21.00]-[0:32:23.00]  Eso es una cosa exclusiva, ¿no?
[0:32:23.00]-[0:32:25.00]  Es un trozo de madera, es una cosa exclusiva.
[0:32:25.00]-[0:32:27.00]  Que está toda llena de...
[0:32:27.00]-[0:32:29.00]  Toda, toda, toda llena de trocillos de piedra.
[0:32:29.00]-[0:32:31.00]  Como con filo.
[0:32:31.00]-[0:32:33.00]  Y todo eso venga dando vueltas,
[0:32:33.00]-[0:32:35.00]  dando vueltas, dando vueltas...
[0:32:35.00]-[0:32:37.00]  Todo el día, todo el día, todo el día dando vueltas.
[0:32:37.00]-[0:32:39.00]  Hasta que el trigo y las vasas salían de la espiga.
[0:32:39.00]-[0:32:41.00]  Y luego por la tarde,
[0:32:41.00]-[0:32:43.00]  pues eso lo ablentaban con el aire,
[0:32:43.00]-[0:32:45.00]  lo ablentaban,
[0:32:45.00]-[0:32:47.00]  en un lado caía la paja,
[0:32:47.00]-[0:32:49.00]  en el otro la trigo.
[0:32:49.00]-[0:32:51.00]  Y cuando terminaban de hacer todo ese trigo,
[0:32:51.00]-[0:32:53.00]  lo ablentaban con el aire,
[0:32:53.00]-[0:32:55.00]  y cuando terminaban de hacer todo ese trabajo,
[0:32:55.00]-[0:32:57.00]  la gente
[0:32:57.00]-[0:32:59.00]  a bañarse al río.
[0:32:59.00]-[0:33:01.00]  Y aquí pues lo celebraban.
[0:33:01.00]-[0:33:03.00]  Hay quien tenía ocho días de estudio,
[0:33:03.00]-[0:33:05.00]  hay quien tenía quince, hay quien tenía un mes...
[0:33:05.00]-[0:33:07.00]  Hay quien no tenía nada...
[0:33:07.00]-[0:33:09.00]  Pero los que éramos críos...
[0:33:09.00]-[0:33:11.00]  Pero los que éramos críos...
[0:33:11.00]-[0:33:13.00]  Y...
[0:33:13.00]-[0:33:15.00]  Cuando venían de Madrid.
[0:33:15.00]-[0:33:17.00]  A mí es que eso me gustaba mucho,
[0:33:17.00]-[0:33:19.00]  de estar en la...
[0:33:19.00]-[0:33:21.00]  Luego el polvo no, polvo de madera no.
[0:33:21.00]-[0:33:23.00]  A mí sabes que no soy campera.
[0:33:23.00]-[0:33:25.00]  Bueno, buenos días.
[0:33:25.00]-[0:33:27.00]  Ay, Dios mío.
[0:33:27.00]-[0:33:29.00]  Hay muchas cosas, muchas cosas, hijas mías,
[0:33:29.00]-[0:33:31.00]  que contar de...
[0:33:31.00]-[0:33:33.00]  Bueno...
[0:33:33.00]-[0:33:35.00]  Si vais al mesón está...
[0:33:35.00]-[0:33:37.00]  He escrito un libro.
[0:33:37.00]-[0:33:39.00]  ¿Está en el mesón?
[0:33:39.00]-[0:33:41.00]  Sí.
[0:33:41.00]-[0:33:43.00]  Pues ese chico...
[0:33:43.00]-[0:33:45.00]  A lo mejor podéis.
[0:33:45.00]-[0:33:47.00]  A lo mejor podéis.
[0:33:47.00]-[0:33:49.00]  Está soltero, y guapo, y maco, y todo.
[0:33:49.00]-[0:33:51.00]  A veces aquí está un poco lejos para tener contacto
[0:33:51.00]-[0:33:53.00]  o relación.
[0:33:53.00]-[0:33:55.00]  Se viene la moza, mira, dice que...
[0:33:55.00]-[0:33:57.00]  Pues el chateo, ese de internet...
[0:33:57.00]-[0:33:59.00]  Eso digo yo.
[0:33:59.00]-[0:34:01.00]  Pues ese es el chico...
[0:34:01.00]-[0:34:03.00]  Mira que ya os tenemos buscadas hasta novia.
[0:34:03.00]-[0:34:05.00]  Bueno.
[0:34:05.00]-[0:34:07.00]  Estaría gracioso.
[0:34:07.00]-[0:34:09.00]  Oye, como aquí hay una chica...
[0:34:09.00]-[0:34:11.00]  Bueno, hay, es de aquí, pero no está aquí.
[0:34:11.00]-[0:34:13.00]  Que vino un chico...
[0:34:13.00]-[0:34:15.00]  A la fiesta.
[0:34:15.00]-[0:34:17.00]  Mejor dicho, estaba en Arguizuela.
[0:34:17.00]-[0:34:19.00]  Se vino con otro chico aquí a la fiesta.
[0:34:19.00]-[0:34:21.00]  Y...
[0:34:21.00]-[0:34:23.00]  Andando, andando, le pisa el pie a una chica.
[0:34:23.00]-[0:34:25.00]  A la Loli.
[0:34:25.00]-[0:34:27.00]  Es Cusi, es Cusi.
[0:34:27.00]-[0:34:29.00]  Era italiano.
[0:34:29.00]-[0:34:31.00]  Pero qué hostias Cusi,
[0:34:31.00]-[0:34:33.00]  Cusi pomeru, pisotón me ha dado.
[0:34:33.00]-[0:34:35.00]  Toma, y se ha casado con ella.
[0:34:35.00]-[0:34:37.00]  Se ha casado, vive en Italia.
[0:34:37.00]-[0:34:39.00]  Y vive en Italia.
[0:34:39.00]-[0:34:41.00]  Bailando se pisaron, y oye,
[0:34:41.00]-[0:34:43.00]  aquí el pisotón dio resultado, eh.
[0:34:43.00]-[0:34:45.00]  O sea que no...
[0:34:45.00]-[0:34:47.00]  Ya viene...
[0:34:47.00]-[0:34:49.00]  Viene mucho, viene de mucho, eh.
[0:34:49.00]-[0:34:51.00]  De lo menos viene tres o cuatro veces al año, eh.
[0:34:51.00]-[0:34:53.00]  Viene muchas veces.
[0:34:53.00]-[0:34:55.00]  Así que...
[0:34:55.00]-[0:34:57.00]  A mí sí,
[0:34:57.00]-[0:34:59.00]  mañana dice, no sé,
[0:34:59.00]-[0:35:01.00]  no me extraña, oye.
[0:35:01.00]-[0:35:03.00]  Este es que se ve que trabaja por su cuenta,
[0:35:03.00]-[0:35:05.00]  y cuando le parece le dice vámonos.
[0:35:05.00]-[0:35:07.00]  Vámonos, le gusta también al muchacho, este Paco.
[0:35:07.00]-[0:35:09.00]  Es que trabaja por su cuenta en algo de hostelería,
[0:35:09.00]-[0:35:11.00]  ¿no? Sí.
[0:35:11.00]-[0:35:13.00]  Y le gusta, le gusta mucho.
[0:35:13.00]-[0:35:15.00]  ¿Por qué no? Pues a Paco le podéis preguntar...
[0:35:15.00]-[0:35:17.00]  De todo.
[0:35:17.00]-[0:35:19.00]  Bueno, de cosas...
[0:35:19.00]-[0:35:21.00]  Pero claro,
[0:35:21.00]-[0:35:23.00]  de las cosas que nosotros sabemos.
[0:35:23.00]-[0:35:25.00]  Es que ha sacado cosas de aviante.
[0:35:25.00]-[0:35:27.00]  ¿De aviante? ¿Sí? Se ha enterado.
[0:35:27.00]-[0:35:29.00]  Lo que me ha hecho mi sabino, porque más sabe.
[0:35:29.00]-[0:35:31.00]  Es que la ha estado investigando hasta del...
[0:35:31.00]-[0:35:33.00]  Yo he tocado a tu Mari,
[0:35:33.00]-[0:35:35.00]  tu Mari también, pero tu Mari no estaba.
[0:35:35.00]-[0:35:37.00]  Eh, mi Mari no estaba ahora.
[0:35:37.00]-[0:35:39.00]  No, yo es que creí que venían buscando
[0:35:39.00]-[0:35:41.00]  alguna cosilla de...
[0:35:41.00]-[0:35:43.00]  Sí, esa vez...
[0:35:43.00]-[0:35:45.00]  Va a hacer un libro,
[0:35:45.00]-[0:35:47.00]  y está buscando fotografías...
[0:35:47.00]-[0:35:49.00]  Antiguas. Antiguas.
[0:35:49.00]-[0:35:51.00]  Y le tenemos ahí...
[0:35:51.00]-[0:35:53.00]  Yo qué sé...
[0:35:53.00]-[0:35:55.00]  Y anoche digo, voy a buscar porque ya...
[0:35:55.00]-[0:35:57.00]  Y dice, es que no tengo tiempo...
[0:35:57.00]-[0:35:59.00]  Yo más padre que tengo por ahí una de cuando era crío,
[0:35:59.00]-[0:36:01.00]  con los pantalones de pan, y los remiendos...
[0:36:01.00]-[0:36:03.00]  Y digo, esa noche voy a buscar.
[0:36:03.00]-[0:36:05.00]  Pero chica, fui aquí a la que...
[0:36:05.00]-[0:36:07.00]  Ayer había una reunión
[0:36:07.00]-[0:36:09.00]  no sé de qué, de los jubilaos,
[0:36:09.00]-[0:36:11.00]  no sé, no sé...
[0:36:11.00]-[0:36:13.00]  Y había una humisca,
[0:36:13.00]-[0:36:15.00]  y los ojos no veas,
[0:36:15.00]-[0:36:17.00]  me tuve que acostar con un escotorque para que
[0:36:17.00]-[0:36:19.00]  y no las busque. Pero él desde luego
[0:36:19.00]-[0:36:21.00]  es el que más os puede orientar...
[0:36:21.00]-[0:36:23.00]  Si vosotros iban a estar ahora acá abajo,
[0:36:23.00]-[0:36:25.00]  pero vos te disculpas.
[0:36:25.00]-[0:36:27.00]  Yo os he dicho muchas cosas, pero...
[0:36:27.00]-[0:36:29.00]  Oye, aquí vino...
[0:36:29.00]-[0:36:31.00]  Aquí vino una...
[0:36:31.00]-[0:36:33.00]  Y estoy cabrea, eh.
[0:36:33.00]-[0:36:35.00]  Porque dijo que iban a escribirme un libro
[0:36:35.00]-[0:36:37.00]  y me van a mandar uno.
[0:36:37.00]-[0:36:39.00]  Y me han mandado.
[0:36:39.00]-[0:36:41.00]  Y no sé quién es, ni cómo se llama,
[0:36:41.00]-[0:36:43.00]  ni de dónde...
[0:36:43.00]-[0:36:45.00]  Hoy, aquel día sí que lo sabía.
[0:36:45.00]-[0:36:47.00]  Oye, ¿le se habla mucho?
[0:36:47.00]-[0:36:49.00]  Vino un señor...
[0:36:49.00]-[0:36:51.00]  Menos mal que me pagaron por estar todo el día
[0:36:51.00]-[0:36:53.00]  cuatro mil pesetas.
[0:36:53.00]-[0:36:55.00]  Ah, pues no pensé ese día.
[0:36:55.00]-[0:36:57.00]  No te crees, no te crees.
[0:36:57.00]-[0:36:59.00]  No, no, no. Oye, lo dijo el hombre, eh.
[0:36:59.00]-[0:37:01.00]  Habían dos o tres.
[0:37:01.00]-[0:37:03.00]  Lo dijo el hombre.
[0:37:03.00]-[0:37:05.00]  Que yo...
[0:37:05.00]-[0:37:07.00]  Estaba para otra persona.
[0:37:07.00]-[0:37:09.00]  Pero esa otra persona se...
[0:37:09.00]-[0:37:11.00]  Se rasgó.
[0:37:11.00]-[0:37:13.00]  No, no quiso ir.
[0:37:13.00]-[0:37:15.00]  Y entonces me fui yo.
[0:37:15.00]-[0:37:17.00]  ¿Y si estuviera aquí dormiendo
[0:37:17.00]-[0:37:19.00]  les informaría de todo lo que me dijeron?
[0:37:19.00]-[0:37:21.00]  No, pero la policía no lo sabe.
[0:37:21.00]-[0:37:23.00]  Claro, claro.
[0:37:23.00]-[0:37:25.00]  El porque es muy...
[0:37:25.00]-[0:37:27.00]  Pero no, sabe más...
[0:37:27.00]-[0:37:29.00]  Si el vino ese, el lo hizo casi entre los dos.
[0:37:29.00]-[0:37:31.00]  Pero algo más.
[0:37:31.00]-[0:37:33.00]  Allí de recetas.
[0:37:33.00]-[0:37:35.00]  Allí tuve yo que...
[0:37:35.00]-[0:37:37.00]  Yo que sé.
[0:37:37.00]-[0:37:39.00]  De recetas, de no sé qué. Yo que sé, las cosas...
[0:37:39.00]-[0:37:41.00]  Ha expuesto en el libro hasta los apodos del pueblo.
[0:37:41.00]-[0:37:43.00]  Aquí en el pueblo, aquí en el pueblo
[0:37:43.00]-[0:37:45.00]  hay apodos de todo lo que puedan estar.
[0:37:45.00]-[0:37:47.00]  También de todo, de todo.
[0:37:47.00]-[0:37:49.00]  De cosas de la casa, de todo.
[0:37:49.00]-[0:37:51.00]  Pistones, escopetas, cartuchos, liebres,
[0:37:51.00]-[0:37:53.00]  zorras, lobos...
[0:37:53.00]-[0:37:55.00]  Conejos, de todo, de todo ahí.
[0:37:55.00]-[0:37:57.00]  Pérdices, conejos, de todo ahí, apodos.
[0:37:57.00]-[0:37:59.00]  De toda la clase.
[0:37:59.00]-[0:38:01.00]  Culebras.
[0:38:01.00]-[0:38:03.00]  A mí me dicen Cagancho.
[0:38:03.00]-[0:38:05.00]  Y Cagancho.
[0:38:05.00]-[0:38:07.00]  Y Cagancho también.
[0:38:07.00]-[0:38:09.00]  Eso Cagancho no había visto yo nunca.
[0:38:09.00]-[0:38:11.00]  Cagancho es mi cuñón.
[0:38:11.00]-[0:38:13.00]  Y cómo sé...
[0:38:13.00]-[0:38:15.00]  Pero alguna vez le digo,
[0:38:15.00]-[0:38:17.00]  pa' haberte puesto Cagancho, qué estrecho que eres.
[0:38:17.00]-[0:38:19.00]  Pero sabes por qué le funciona su padre Cagancho.
[0:38:19.00]-[0:38:21.00]  Porque era entonces moco.
[0:38:21.00]-[0:38:23.00]  Y el torero aquel que había que le decían Cagancho,
[0:38:23.00]-[0:38:25.00]  era el muy aficionado.
[0:38:25.00]-[0:38:27.00]  Ah, el torero aquel.
[0:38:27.00]-[0:38:29.00]  ¿Has oído desde dónde?
[0:38:29.00]-[0:38:31.00]  A mi abuelo le decían...
[0:38:31.00]-[0:38:33.00]  Boleros, Quiroses...
[0:38:33.00]-[0:38:35.00]  No sé qué, no sé cuántos por mitad.
[0:38:35.00]-[0:38:37.00]  De todos los apodos, de todos.
[0:38:37.00]-[0:38:39.00]  Porque se dice que cuando eran
[0:38:39.00]-[0:38:41.00]  chavales, jugaban,
[0:38:41.00]-[0:38:43.00]  y había uno que era el tío Pito ya,
[0:38:43.00]-[0:38:45.00]  que llevaba el pito.
[0:38:45.00]-[0:38:47.00]  Y cuando decían Pito ya, y los otros Pito ya...
[0:38:47.00]-[0:38:49.00]  Y con Pito ya se quedó.
[0:38:49.00]-[0:38:51.00]  Y mi padre,
[0:38:51.00]-[0:38:53.00]  mi padre Quirós,
[0:38:53.00]-[0:38:55.00]  porque hicieron una obra de teatro,
[0:38:55.00]-[0:38:57.00]  y él hacía de Quirós, después de Dios,
[0:38:57.00]-[0:38:59.00]  la casa de Quirós.
[0:38:59.00]-[0:39:01.00]  Y la condesita, y la condesita
[0:39:01.00]-[0:39:03.00]  hacía de condesa.
[0:39:07.00]-[0:39:09.00]  Esto es gracioso, muy gracioso.
[0:39:09.00]-[0:39:11.00]  ¿Por qué pierde el dinero?
[0:39:11.00]-[0:39:13.00]  ¿Y vos qué es que claro, de sobra?
[0:39:13.00]-[0:39:15.00]  Oye, pues muy bien.
[0:39:15.00]-[0:39:17.00]  Esto no va bueno, eh.
[0:39:17.00]-[0:39:19.00]  Se me sale, eh.
[0:39:19.00]-[0:39:21.00]  Lo voy a tirar.
[0:39:21.00]-[0:39:23.00]  Si no quieres madrugar, tíralo ya.
[0:39:23.00]-[0:39:25.00]  Pues hijas, ¿sabéis dónde está el mesón?
[0:39:25.00]-[0:39:27.00]  Bajáis abajo,
[0:39:27.00]-[0:39:29.00]  donde está...
[0:39:29.00]-[0:39:31.00]  Si lo ponen en un cartelito.
[0:39:31.00]-[0:39:33.00]  Eso lo ponen, a la izquierda.
[0:39:33.00]-[0:39:35.00]  Bajáis para abajo, a la izquierda.
[0:39:35.00]-[0:39:37.00]  Y puede...
[0:39:37.00]-[0:39:39.00]  Y es muy...
[0:39:39.00]-[0:39:41.00]  muy amable, muy...
[0:39:41.00]-[0:39:43.00]  Os tratará bien, mira.
[0:39:43.00]-[0:39:45.00]  Es joven.
[0:39:45.00]-[0:39:47.00]  Sí, sí, no te estoy diciendo que...
[0:39:47.00]-[0:39:49.00]  28 años.
[0:39:49.00]-[0:39:51.00]  ¿Y alguno más?
[0:39:51.00]-[0:39:53.00]  Más no creo.
[0:39:53.00]-[0:39:55.00]  28 años tiene, no tiene más, no.
[0:39:55.00]-[0:39:57.00]  Tiene 28 años.
[0:39:57.00]-[0:39:59.00]  Es maestro interino.
[0:39:59.00]-[0:40:01.00]  Y no parece que tenga tantos años,
[0:40:01.00]-[0:40:03.00]  ¿verdad, papi?
[0:40:03.00]-[0:40:05.00]  ¿Tiene el otro 34?
[0:40:05.00]-[0:40:07.00]  Tampoco lo parece, tampoco.
[0:40:07.00]-[0:40:09.00]  Pues tiene 34 el otro,
[0:40:09.00]-[0:40:11.00]  uno más que mi hija.
[0:40:11.00]-[0:40:13.00]  Y se tiene 28.
[0:40:13.00]-[0:40:15.00]  Ay, hijas mías.
[0:40:15.00]-[0:40:17.00]  Es muy aficionado al pueblo.
[0:40:17.00]-[0:40:19.00]  Los chacarrillos del pueblo,
[0:40:19.00]-[0:40:21.00]  es todo lo que queráis.
[0:40:21.00]-[0:40:23.00]  El azul, el azul.
[0:40:23.00]-[0:40:25.00]  Oye,
[0:40:25.00]-[0:40:27.00]  si está allí,
[0:40:27.00]-[0:40:29.00]  os reís con él.
[0:40:29.00]-[0:40:31.00]  A ver si se va a meter...
[0:40:31.00]-[0:40:33.00]  A ver si se va para allá o se mete en él.
[0:40:33.00]-[0:40:35.00]  Ese es el que anima.
[0:40:35.00]-[0:40:37.00]  Y los carnavales,
[0:40:37.00]-[0:40:39.00]  cuando llegan los carnavales,
[0:40:39.00]-[0:40:41.00]  es el que echa el pregón.
[0:40:41.00]-[0:40:43.00]  El que almonedea, almonedear es...
[0:40:43.00]-[0:40:45.00]  Aquí sale el diablo.
[0:40:45.00]-[0:40:47.00]  Salen una cuadrilla a pedir por el pueblo.
[0:40:47.00]-[0:40:49.00]  Antes eran los que iban.
[0:40:49.00]-[0:40:51.00]  Ahora los que iban a pedir.
[0:40:51.00]-[0:40:53.00]  Parece que está cojo.
[0:40:53.00]-[0:40:55.00]  El otro huevos, el otro patatas, cebollas,
[0:40:55.00]-[0:40:57.00]  lo que sea, lo recogen en casa del juzgado.
[0:40:57.00]-[0:40:59.00]  Y luego el día del mar que es de carnaval,
[0:40:59.00]-[0:41:01.00]  ahí se hace, y se cuasta.
[0:41:01.00]-[0:41:03.00]  Acudimos todo el pueblo ahí,
[0:41:03.00]-[0:41:05.00]  le ponen un puesto de cariño,
[0:41:05.00]-[0:41:07.00]  y lo van a llevar.
[0:41:07.00]-[0:41:09.00]  Hizo uñuelos.
[0:41:09.00]-[0:41:11.00]  Nosotros hicimos a la juz.
[0:41:11.00]-[0:41:13.00]  Ahí haces de todas las cosas.
[0:41:13.00]-[0:41:15.00]  Nos haces una cosa que pica de cuenta.
[0:41:15.00]-[0:41:17.00]  Y eso es una cosa buenísima.
[0:41:17.00]-[0:41:19.00]  Es con miel y con pan rallado.
[0:41:19.00]-[0:41:21.00]  Y con almendras.
[0:41:21.00]-[0:41:23.00]  Y piñones.
[0:41:23.00]-[0:41:25.00]  Pero está muy bueno.
[0:41:25.00]-[0:41:27.00]  Todo lo que se usa de comer y está dulce, está bueno.
[0:41:27.00]-[0:41:29.00]  Pero hay cosas que están más buenas que otras, ¿verdad?
[0:41:29.00]-[0:41:31.00]  Y claro,
[0:41:31.00]-[0:41:33.00]  también el gusto de cada uno.
[0:41:33.00]-[0:41:35.00]  Yo soy...
[0:41:35.00]-[0:41:37.00]  La madre del chico
[0:41:37.00]-[0:41:39.00]  este que vais a hablar con él,
[0:41:39.00]-[0:41:41.00]  ella le echa canela al alajuz.
[0:41:41.00]-[0:41:43.00]  Y a mí no me gusta.
[0:41:43.00]-[0:41:45.00]  No me gusta.
[0:41:45.00]-[0:41:47.00]  Y le echa todo.
[0:41:47.00]-[0:41:49.00]  Se le echa las almendras enteras.
[0:41:49.00]-[0:41:51.00]  Es turrera.
[0:41:51.00]-[0:41:53.00]  Es turrera.
[0:41:53.00]-[0:41:55.00]  Eso es.
[0:41:55.00]-[0:41:57.00]  Y todo está mucho mejor.
[0:41:57.00]-[0:41:59.00]  No es de aquí la chica,
[0:41:59.00]-[0:42:01.00]  pero vinieron aquí cuando eran jóvenes.
[0:42:01.00]-[0:42:03.00]  Y turreros.
