[0:00:00.00]-[0:00:02.00]  de aquí, ¿no?
[0:42:59.76]-[0:43:02.76]  y la novia por otro
[0:43:02.76]-[0:43:05.76]  yo los míos que se han casado
[0:43:05.76]-[0:43:08.76]  la novia por un lado y el novio por otro
[0:43:08.76]-[0:43:11.76]  uno de ellos dijo que muere y todo junto
[0:43:11.76]-[0:43:14.76]  y bueno lo hicimos en el campo y resultó muy bien
[0:43:14.76]-[0:43:17.76]  tuvimos todo, no hubo problema, hubo mucha gente
[0:43:17.76]-[0:43:20.76]  y lo pasamos muy bien
[0:43:20.76]-[0:43:23.76]  pero es muy distinto a la boda de hoy
[0:43:23.76]-[0:43:26.76]  y bueno, estuvo tres años viviendo con su novia
[0:43:26.76]-[0:43:29.76]  y otros tres años dijo que no tenía hija hasta que no se casara
[0:43:29.76]-[0:43:32.76]  y no llegó a tener hija hasta que no se casó
[0:43:32.76]-[0:43:35.76]  estuvo tres años viviendo con la novia
[0:43:35.76]-[0:43:38.76]  y luego se casó y al año y medio tuvo un niño
[0:43:38.76]-[0:43:41.76]  y luego se casó y al año y medio tuvo un niño
[0:43:41.76]-[0:43:44.76]  dijo que no vio que ella, hijo de padre soltero
[0:43:44.76]-[0:43:47.76]  no querían
[0:43:47.76]-[0:43:50.76]  pero que se iban a convivir y nada, pues se fueron
[0:43:50.76]-[0:43:53.76]  y se han casado y se han nido
[0:43:53.76]-[0:43:56.76]  eso es lo que más me ha pasado en esta vida
[0:43:56.76]-[0:43:59.76]  no haber nacido yo después
[0:43:59.76]-[0:44:02.76]  yo llevo a nacer después
[0:44:02.76]-[0:44:05.76]  yo tengo que convivir con muchas
[0:44:05.76]-[0:44:08.76]  esto es una licoca
[0:44:08.76]-[0:44:11.76]  de coger y decir
[0:44:11.76]-[0:44:14.76]  bueno pues nada, nos vamos a venir a vivir todos juntos
[0:44:14.76]-[0:44:17.76]  y vamos a tirarnos unos meses a ver si conveniamos
[0:44:17.76]-[0:44:20.76]  si nos llevamos bien, me mueve coca
[0:44:20.76]-[0:44:23.76]  te tira ella y que te apetece
[0:44:23.76]-[0:44:26.76]  pues mira, me parece que nos cojemos
[0:44:26.76]-[0:44:29.76]  yo por tu sitio y yo por otro y ahí busca la otra
[0:44:29.76]-[0:44:32.76]  y la otra coca es la misma
[0:44:32.76]-[0:44:35.76]  eso es disfrutar de la vida
[0:44:35.76]-[0:44:38.76]  porque yo desde que me he crecido aquí es lo que tengo
[0:44:38.76]-[0:44:41.76]  y no te atrevas a nada
[0:44:41.76]-[0:44:44.76]  porque hoy como está la situación de
[0:44:44.76]-[0:44:47.76]  la hija y de la señora
[0:44:47.76]-[0:44:50.76]  que en el momento que la señora le parece que dice
[0:44:50.76]-[0:44:53.76]  que la has querido llevar a la fiesta
[0:44:53.76]-[0:44:56.76]  y al cabo de 40 años dice que la has querido llevar
[0:44:56.76]-[0:44:59.76]  te manda, te corre la policía
[0:44:59.76]-[0:45:02.76]  a la cárcel
[0:45:02.76]-[0:45:05.76]  y vamos a coger eso
[0:45:05.76]-[0:45:08.76]  porque si, mira, bueno vamos a ver
[0:45:08.76]-[0:45:11.76]  tenga la culpa ella, la tenga yo
[0:45:11.76]-[0:45:14.76]  y yo voy a ir creado cada uno
[0:45:14.76]-[0:45:17.76]  se parte, por decirte si hay un capitán o que haya
[0:45:17.76]-[0:45:20.76]  la mitad para cada uno, no señor
[0:45:20.76]-[0:45:23.76]  el hombre sale como mosca
[0:45:23.76]-[0:45:26.76]  en primer lugar a la calle
[0:45:26.76]-[0:45:29.76]  si esta casa la hemos creado nosotros dos
[0:45:29.76]-[0:45:32.76]  y la hemos formado nosotros dos
[0:45:32.76]-[0:45:35.76]  y si hay un capitán, puede quedar capitán
[0:45:35.76]-[0:45:38.76]  ahí quietacito para que la señora disponga
[0:45:38.76]-[0:45:41.76]  es muy distinto
[0:45:41.76]-[0:45:44.76]  porque ya te digo
[0:45:44.76]-[0:45:47.76]  mis hijos se han casado y uno se ha casado aquí
[0:45:47.76]-[0:45:50.76]  y lo ha celebrado en Almendralejo
[0:45:50.76]-[0:45:53.76]  otro lo ha celebrado en Montijo
[0:45:53.76]-[0:45:56.76]  y otro lo ha celebrado en Larroyo
[0:45:56.76]-[0:45:59.76]  y otro en Calamonte
[0:45:59.76]-[0:46:02.76]  ya, ya si
[0:46:02.76]-[0:46:05.76]  porque claro, las cosas cambiaron
[0:46:05.76]-[0:46:08.76]  y nosotros aquí, pero mis hijos, pues fuera todo
[0:46:08.76]-[0:46:11.76]  la gente se casa mucho después, no?
[0:46:11.76]-[0:46:14.76]  si, yo ya si
[0:46:14.76]-[0:46:17.76]  porque con los padres están muy bien
[0:46:17.76]-[0:46:20.76]  ahora
[0:46:20.76]-[0:46:23.76]  antes también se estaba bien, sabes, pero como no había lo que hay ahora
[0:46:23.76]-[0:46:26.76]  pero ahora que llegan
[0:46:26.76]-[0:46:29.76]  y que tienen el frigorífico de todo
[0:46:29.76]-[0:46:32.76]  que te ponen la mesa, que te la quitas, que te planchas, que te lavas
[0:46:32.76]-[0:46:35.76]  y sin problemas de ninguna clase
[0:46:35.76]-[0:46:38.76]  ahora te casas y a compartir
[0:46:38.76]-[0:46:41.76]  tu barres, yo limpio el polvo
[0:46:41.76]-[0:46:44.76]  tu fregas la losa, yo hago las camas
[0:46:44.76]-[0:46:47.76]  yo tengo un moto que ha llegado ahora
[0:46:47.76]-[0:46:50.76]  pues se fue allá de pesca
[0:46:50.76]-[0:46:53.76]  se levantó por la mañana y me va que me voy de pesca, prepárate la comita
[0:46:53.76]-[0:46:56.76]  ala
[0:46:56.76]-[0:46:59.76]  prepara la comita, no es por nada porque
[0:46:59.76]-[0:47:02.76]  no sé si son amantes de mis hijos
[0:47:02.76]-[0:47:05.76]  porque mis hijos son muy amantes a mi
[0:47:05.76]-[0:47:08.76]  porque yo soy muy amante a nosotros
[0:47:08.76]-[0:47:11.76]  y la verdad, espero que como hoy
[0:47:11.76]-[0:47:14.76]  yo me casé de 20 años porque no tenía madre
[0:47:14.76]-[0:47:17.76]  y antiguamente
[0:47:17.76]-[0:47:20.76]  no había un novio en casa
[0:47:20.76]-[0:47:23.76]  sin nadie era un pecado
[0:47:23.76]-[0:47:26.76]  entonces siempre tenía que tener aquí a mi hermano chico conmigo
[0:47:26.76]-[0:47:29.76]  y no podía dejar de salir, o venía una vecina
[0:47:29.76]-[0:47:32.76]  o nos sentábamos en la puerta
[0:47:32.76]-[0:47:35.76]  porque antes era muy feo
[0:47:35.76]-[0:47:38.76]  de decir
[0:47:38.76]-[0:47:41.76]  entonces no teníamos que...
[0:47:41.76]-[0:47:44.76]  me casé con 20 años
[0:47:44.76]-[0:47:47.76]  porque él tenía 29
[0:47:47.76]-[0:47:50.76]  y el resto de la gente también se casaba con esa edad más tarde
[0:47:50.76]-[0:47:53.76]  bueno, se casaban un poquito más tarde
[0:47:53.76]-[0:47:56.76]  como ahora
[0:47:56.76]-[0:47:59.76]  ahora que se casan con 30 y tantos años
[0:47:59.76]-[0:48:02.76]  mi hermano yo se ha casado
[0:48:02.76]-[0:48:05.76]  con 37 años
[0:48:05.76]-[0:48:08.76]  se ha casado mi hermano mayor con 36, 37 años
[0:48:08.76]-[0:48:11.76]  y no siendo mi hija
[0:48:11.76]-[0:48:14.76]  que también se casó con 20 porque el marido era mayor
[0:48:14.76]-[0:48:17.76]  los demás se han casado con 30
[0:48:17.76]-[0:48:20.76]  29, 30 años, se han casado mayores
[0:48:20.76]-[0:48:23.76]  mi chico hace 25 está aquí con su mamá
[0:48:23.76]-[0:48:26.76]  vamos que no me pesan
[0:48:26.76]-[0:48:29.76]  no me pesan nada de tenerlos aquí
[0:48:29.76]-[0:48:32.76]  pero...
[0:48:32.76]-[0:48:35.76]  si se van a ir casando muchos más mayores
[0:48:35.76]-[0:48:38.76]  lo primero que mira yo cuando me casé
[0:48:38.76]-[0:48:41.76]  me quedaba viví aquí
[0:48:41.76]-[0:48:44.76]  que están conviviendo con las novias
[0:48:44.76]-[0:48:47.76]  sin casarse
[0:48:47.76]-[0:48:50.76]  yo tengo un sobrino
[0:48:50.76]-[0:48:53.76]  que todos están viviendo con la novia
[0:48:53.76]-[0:48:56.76]  todos están viviendo menos los niños
[0:48:56.76]-[0:48:59.76]  yo creo que están despertados tarde
[0:48:59.76]-[0:49:02.76]  los demás están ahí, mis sobrinos que son mucho más jóvenes
[0:49:02.76]-[0:49:05.76]  todos conviviendo con la novia
[0:49:05.76]-[0:49:08.76]  tienen un piso agrendado
[0:49:08.76]-[0:49:11.76]  yo me casé y me quedé viví aquí en mi casa
[0:49:11.76]-[0:49:14.76]  esto prácticamente era una sola, una casa antiguísima
[0:49:14.76]-[0:49:17.76]  me casé aquí y me quedé viví aquí en mi casa
[0:49:17.76]-[0:49:20.76]  con mi padre y con mi hermano
[0:49:20.76]-[0:49:23.76]  y nada más que puse el dormitorio
[0:49:23.76]-[0:49:26.76]  y una salita de estas
[0:49:26.76]-[0:49:29.76]  y me amoldé lo que había en mi casa
[0:49:29.76]-[0:49:32.76]  la loza de mi madre, las cosas de mi madre
[0:49:32.76]-[0:49:35.76]  y las cosas, porque no se podía
[0:49:35.76]-[0:49:38.76]  y como no se podía, pues sí que estrené
[0:49:38.76]-[0:49:41.76]  la salita y el dormitorio, lo demás lo que había
[0:49:41.76]-[0:49:44.76]  y ahora no, ahora se casan
[0:49:44.76]-[0:49:47.76]  y se casan cuando tienen los pisos puestos
[0:49:47.76]-[0:49:50.76]  que no le faltan de nada
[0:49:50.76]-[0:49:53.76]  que tardan tres años, compran el piso
[0:49:53.76]-[0:49:56.76]  de que ya la hacen el piso, que dan la entrada
[0:49:56.76]-[0:49:59.76]  compran un frigorífico, montan la cocina
[0:49:59.76]-[0:50:02.76]  luego ponen el frigorífico, luego ponen el microondas
[0:50:02.76]-[0:50:05.76]  luego ponen el dormitorio y hasta que no tienen la casa puesta
[0:50:05.76]-[0:50:08.76]  pues no se casan, pues qué pasa, pues que se casan cuarentones
[0:50:08.76]-[0:50:11.76]  a ver que es así
[0:50:11.76]-[0:50:14.76]  es que la vida cambia muchísimo, muchísimo
[0:50:14.76]-[0:50:17.76]  ya te digo que yo me casé aquí en mi casa
[0:50:17.76]-[0:50:20.76]  y prácticamente era una casa antigüísima, antigüísima
[0:50:20.76]-[0:50:23.76]  yo la he reformado a poco a poco
[0:50:23.76]-[0:50:26.76]  que este año he hecho esto, de aquí a dos años hago otra cosa
[0:50:26.76]-[0:50:29.76]  de aquí a tres años hago otra cosa, y así la he hecho
[0:50:29.76]-[0:50:32.76]  y así la he hecho
[0:50:32.76]-[0:50:35.76]  pero nada más que puse el dormitorio
[0:50:35.76]-[0:50:38.76]  y la salita, lo demás
[0:50:38.76]-[0:50:41.76]  la silla, la cocina, todo lo que había
[0:50:41.76]-[0:50:44.76]  era de...
[0:50:44.76]-[0:50:47.76]  ¿y había dote para casarse?
[0:50:47.76]-[0:50:50.76]  ¿las mujeres tenían que tener una dote o no?
[0:50:50.76]-[0:50:53.76]  ¿cómo una dote?
[0:50:53.76]-[0:50:56.76]  pues las sábanas, el ajual
[0:50:56.76]-[0:50:59.76]  y luego compraba el dormitorio
[0:50:59.76]-[0:51:02.76]  la novia, pero el novio compraba el comodín
[0:51:02.76]-[0:51:05.76]  la coqueta
[0:51:05.76]-[0:51:08.76]  porque por regla general la coqueta era donde estaba
[0:51:08.76]-[0:51:11.76]  la ropa del novio
[0:51:11.76]-[0:51:14.76]  y entonces sólo compraba el novio
[0:51:14.76]-[0:51:17.76]  la coqueta, porque supuestamente
[0:51:17.76]-[0:51:20.76]  era donde ahí se guardaban las ropas del novio
[0:51:20.76]-[0:51:23.76]  camisas, calzoncillos, camisetas
[0:51:23.76]-[0:51:26.76]  y esas cosas, entonces eso lo ponía el novio
[0:51:26.76]-[0:51:29.76]  no te vayas a creer que muchos novios
[0:51:29.76]-[0:51:32.76]  si tenía para cambiar su par de días, más no
[0:51:32.76]-[0:51:35.76]  lo que pasa es que las antiguas
[0:51:35.76]-[0:51:38.76]  tenían las costumbres esas
[0:51:38.76]-[0:51:41.76]  yo ya no sentí la oiga, van todo hecho
[0:51:41.76]-[0:51:44.76]  montan la casa
[0:51:44.76]-[0:51:47.76]  se hipotecan y dicen
[0:51:47.76]-[0:51:50.76]  bueno pues venga acá hay 2 o 3 millones de barretas hipotecadas
[0:51:50.76]-[0:51:53.76]  y ahora que hay un fuarte, las sábanas, lo que sea
[0:51:53.76]-[0:51:56.76]  antes no, antes las compraman las cuantas
[0:51:56.76]-[0:51:59.76]  para la guardia de mi hija
[0:51:59.76]-[0:52:02.76]  o este puchero para la guardia de mi hija
[0:52:02.76]-[0:52:05.76]  si se casaba la hija tenía el puchero más de 50 años
[0:52:05.76]-[0:52:08.76]  había pasado de moda a tostón
[0:52:08.76]-[0:52:11.76]  antes no cambiaba las cosas como ahora
[0:52:11.76]-[0:52:14.76]  que cambia las baterías y todas las cosas
[0:52:14.76]-[0:52:17.76]  era muy distinta
[0:52:17.76]-[0:52:20.76]  la vida de antes era muy distinta
[0:52:20.76]-[0:52:23.76]  pasa que o la contamos a vosotros
[0:52:23.76]-[0:52:26.76]  y no la creéis
[0:52:26.76]-[0:52:29.76]  es lo que pasa
[0:52:29.76]-[0:52:32.76]  o la contamos a vosotros y no la creéis
[0:52:32.76]-[0:52:35.76]  porque antes pasaban las bestias por aquí
[0:52:35.76]-[0:52:38.76]  y te ilustraban las calles de regla que eras en pedra
[0:52:38.76]-[0:52:41.76]  y te tenías que poner ahí para que las ovejas no pasaran
[0:52:41.76]-[0:52:44.76]  y no te ensuciaran las pajas
[0:52:44.76]-[0:52:47.76]  llegaba el tiempo de las pajas, pues entraban las pajas
[0:52:47.76]-[0:52:50.76]  ponían las pajas ahí en la calle
[0:52:50.76]-[0:52:53.76]  ponían sábanas grandes
[0:52:53.76]-[0:52:56.76]  llegaban las pajas y hacían los cuatro picos
[0:52:56.76]-[0:52:59.76]  los ataban, se los echaban a la mochila
[0:52:59.76]-[0:53:02.76]  y los entraban al pajar
[0:53:02.76]-[0:53:05.76]  y esas cosas, los melones por lo mismo
[0:53:05.76]-[0:53:08.76]  ahora entran a las cocheras
[0:53:08.76]-[0:53:11.76]  antes se ponían uno en el balcón y otro en el remolque
[0:53:11.76]-[0:53:14.76]  y los melones para arriba y los ladrillos
[0:53:14.76]-[0:53:17.76]  la vida cambia muchísimo
[0:53:17.76]-[0:53:20.76]  y eso sí, un médico nada más
[0:53:20.76]-[0:53:23.76]  y bajas a la consulta por la mañana
[0:53:23.76]-[0:53:26.76]  y luego le llevabas un papelito
[0:53:26.76]-[0:53:29.76]  se te tenía que avisar
[0:53:29.76]-[0:53:32.76]  y venía a verte todos los días hasta que ya estabas buena
[0:53:32.76]-[0:53:35.76]  hoy nada más que viene si acaso un día y nada más
[0:53:35.76]-[0:53:38.76]  ya no vienen más, tienes que ir al consultorio
[0:53:38.76]-[0:53:41.76]  y había seguridad social, ¿no?
[0:53:41.76]-[0:53:44.76]  bueno, no como hoy
[0:53:44.76]-[0:53:47.76]  no había la seguridad social nada más que la tenían
[0:53:47.76]-[0:53:50.76]  los que estaban trabajando, no había sellos
[0:53:50.76]-[0:53:53.76]  no había nada porque nosotros precisamente teníamos una tía soltera
[0:53:53.76]-[0:53:56.76]  y no tenía seguridad social, tenía lo que había antes
[0:53:56.76]-[0:53:59.76]  la beneficencia, la beneficencia era el ayuntamiento
[0:53:59.76]-[0:54:02.76]  iba al médico
[0:54:02.76]-[0:54:05.76]  te daba el médico y te veía
[0:54:05.76]-[0:54:08.76]  pero luego si necesitabas una receta
[0:54:08.76]-[0:54:11.76]  tenías que ir al ayuntamiento
[0:54:11.76]-[0:54:14.76]  el alcalde te la firmara
[0:54:14.76]-[0:54:17.76]  el alcalde te firmaba y tú con la firma del alcalde
[0:54:17.76]-[0:54:20.76]  ibas a comprar
[0:54:20.76]-[0:54:23.76]  a la farmacia porque las personas solteras
[0:54:23.76]-[0:54:26.76]  antes no trabajaban porque antes no se trabajaba
[0:54:26.76]-[0:54:29.76]  no tenían seguridad social
[0:54:29.76]-[0:54:32.76]  porque precisamente mi tía la que estaba con nosotros
[0:54:32.76]-[0:54:35.76]  la quiso poner mi padre en la seguridad social
[0:54:35.76]-[0:54:38.76]  y no la pudo poner porque no era hermana suya
[0:54:38.76]-[0:54:41.76]  ni era su madre, era una cuñada
[0:54:41.76]-[0:54:44.76]  entonces estaba en la beneficencia
[0:54:44.76]-[0:54:47.76]  te ibas al médico
[0:54:47.76]-[0:54:50.76]  el médico lo tenía porque lo pagaba el alcalde
[0:54:50.76]-[0:54:53.76]  pero luego los medicamentos no
[0:54:53.76]-[0:54:56.76]  los medicamentos tenías que firmarlos
[0:54:56.76]-[0:54:59.76]  ha sido un placer conoceros
[0:54:59.76]-[0:55:02.76]  pero me vais a perdonar porque yo soy muy hincha de Barça
[0:55:02.76]-[0:55:05.76]  vale, vale, pues ya nos vamos
[0:55:05.76]-[0:55:08.76]  pues vale, vale
[0:55:08.76]-[0:55:11.76]  vale, muchas gracias
[0:55:11.76]-[0:55:14.76]  adiós
[0:55:14.76]-[0:55:17.76]  mirete ese es el 6
[0:55:17.76]-[0:55:20.76]  vale, así que ya le digo
[0:55:20.76]-[0:55:23.76]  eso es la vida de antes, no había radio
[0:55:23.76]-[0:55:26.76]  yo me llamo
[0:55:26.76]-[0:55:29.76]  y cuántos años tiene más o menos
[0:55:29.76]-[0:55:32.76]  puede mentir un poquito
[0:55:32.76]-[0:55:35.76]  el mentir, el quitarte años es una tontería
[0:55:35.76]-[0:55:38.76]  de qué me sirve decirte que tengo menos
[0:55:38.76]-[0:55:41.76]  si no los tengo
[0:55:41.76]-[0:55:44.76]  yo he cumplido el día 4 de octubre
[0:55:44.76]-[0:55:47.76]  he cumplido 61
[0:55:47.76]-[0:55:50.76]  61, me quedé sin madre con 11 años
[0:55:50.76]-[0:55:53.76]  y un hermano de 14
[0:55:53.76]-[0:55:56.76]  y un hermano con 18 meses
[0:55:56.76]-[0:55:59.76]  con 18 meses
[0:55:59.76]-[0:56:02.76]  y tengo 61, nací en el 48
[0:56:02.76]-[0:56:05.76]  y del hermano pequeño, sin que guste
[0:56:05.76]-[0:56:08.76]  pues sí, nos duró 9 años mi tía
[0:56:08.76]-[0:56:11.76]  una hermana de mi madre que estaba soltera
[0:56:11.76]-[0:56:14.76]  entonces, qué es lo que pasaba que antiguamente
[0:56:14.76]-[0:56:17.76]  pues vivía muchas personas en sus casas
[0:56:17.76]-[0:56:20.76]  había a lo mejor 3 familias en las casas
[0:56:20.76]-[0:56:23.76]  mi madre se quedaba, vivía aquí
[0:56:23.76]-[0:56:26.76]  esta casa era de mi
[0:56:26.76]-[0:56:29.76]  esta casa era de mis abuelos
[0:56:29.76]-[0:56:32.76]  y antiguamente se le quedaba
[0:56:32.76]-[0:56:35.76]  a los hijos solteros
[0:56:35.76]-[0:56:38.76]  se le quedaba a los hijos solteros
[0:56:38.76]-[0:56:41.76]  mientras que vivía
[0:56:41.76]-[0:56:44.76]  y entonces pues mi madre se quedó aquí
[0:56:44.76]-[0:56:47.76]  a vivir con mi tía
[0:56:47.76]-[0:56:50.76]  y para nosotros fue una madre
[0:56:50.76]-[0:56:53.76]  una madre más
[0:56:53.76]-[0:56:56.76]  nosotros aquí vivimos con ella
[0:56:56.76]-[0:56:59.76]  con mi tía, toda la vida
[0:56:59.76]-[0:57:02.76]  y se murió, pues ya digo
[0:57:02.76]-[0:57:05.76]  ya mi tía se murió y me quedé al cargo de mi hermano
[0:57:05.76]-[0:57:08.76]  con 9 años que tenía, me quedé al cargo con él
[0:57:08.76]-[0:57:11.76]  y bueno, lo que hemos dicho
[0:57:11.76]-[0:57:14.76]  hemos cambiado la vida totalmente
[0:57:14.76]-[0:57:17.76]  fuimos una madre para él
[0:57:17.76]-[0:57:20.76]  y bueno, ahora pues claro
[0:57:20.76]-[0:57:23.76]  que se ha casado a su mujer y su hijo y su suyo
[0:57:23.76]-[0:57:26.76]  bueno, yo cuando lo vi en él, lo he recibido bien
[0:57:26.76]-[0:57:29.76]  porque lo hemos criado
[0:57:29.76]-[0:57:32.76]  pero que la vida ha cambiado
[0:57:32.76]-[0:57:35.76]  antes una persona viuda con 60 años
[0:57:35.76]-[0:57:38.76]  mi tía murió con 61 y era una mujer de respeto
[0:57:38.76]-[0:57:41.76]  una mujer de respeto con 61 años
[0:57:41.76]-[0:57:44.76]  que tenía mi tía cuando se murió
[0:57:44.76]-[0:57:47.76]  yo me acuerdo de ella y era una mujer
[0:57:47.76]-[0:57:50.76]  de respeto
[0:57:50.76]-[0:57:53.76]  y hoy ya pues no, la cosa ya
[0:57:53.76]-[0:57:56.76]  ya cambia totalmente
[0:57:56.76]-[0:57:59.76]  hoy ya no
[0:57:59.76]-[0:58:02.76]  la verdad es que sí
[0:58:02.76]-[0:58:05.76]  me gusta mucho la juventud que hay
[0:58:05.76]-[0:58:08.76]  y de todo
[0:58:08.76]-[0:58:11.76]  porque ya me gusta
[0:58:11.76]-[0:58:14.76]  ahora, esta época de ahora
[0:58:14.76]-[0:58:17.76]  hoy todo el mundo vive bien
[0:58:17.76]-[0:58:20.76]  prácticamente casi todo el mundo es muy raro el que viva
[0:58:20.76]-[0:58:23.76]  algunos viven porque se lo buscan
[0:58:23.76]-[0:58:26.76]  ellos porque son aventureros
[0:58:26.76]-[0:58:29.76]  pero hoy se vive muy bien
[0:58:29.76]-[0:58:32.76]  todo el mundo tiene de todo
[0:58:32.76]-[0:58:35.76]  y antiguamente pues no
[0:58:35.76]-[0:58:38.76]  por eso me gusta mucho
[0:58:38.76]-[0:58:41.76]  pero también me da muchísimas lástimas de la juventud
[0:58:41.76]-[0:58:44.76]  en todo y por todo
[0:58:44.76]-[0:58:47.76]  y ahora con la crisis, muchísimo más
[0:58:47.76]-[0:58:50.76]  pena me da de la juventud
[0:58:50.76]-[0:58:53.76]  porque yo, mi marido se ha jubilado
[0:58:53.76]-[0:58:56.76]  pero para mi marido y para mí siempre
[0:58:56.76]-[0:58:59.76]  yo tengo un hijo soltero que está parado
[0:58:59.76]-[0:59:02.76]  y como veo a mi hijo me da mucha lástima
[0:59:02.76]-[0:59:05.76]  de toda la juventud, eso sí
[0:59:05.76]-[0:59:08.76]  pero bueno, dentro de la juventud hay muchos
[0:59:08.76]-[0:59:11.76]  que uno se dan a respetar, otros no
[0:59:11.76]-[0:59:14.76]  uno se da cuenta de la crisis que hay y otros no se dan cuenta
[0:59:14.76]-[0:59:17.76]  de ella, pero de todas las maneras
[0:59:17.76]-[0:59:20.76]  una pena ahora como está la vida en todo y por todo
[0:59:20.76]-[0:59:23.76]  por el poco respeto, por la poca educación
[0:59:23.76]-[0:59:26.76]  y por todo lo que hay
[0:59:26.76]-[0:59:29.76]  y por la crisis me da mucha lástima
[0:59:29.76]-[0:59:32.76]  de todas esas cosas
[0:59:32.76]-[0:59:35.76]  pues muchísimas gracias
[0:59:35.76]-[0:59:38.76]  por nada, esto es lo que hay
[0:59:38.76]-[1:00:06.76]  así es que...
