[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:31:19.00]-[0:31:20.00]  ¿Eh?
[0:31:20.00]-[0:31:21.00]  Que cinco y aquí a la Casa de Montes.
[0:31:21.00]-[0:31:22.00]  ¿Qué cinco?
[0:31:22.00]-[0:31:23.00]  Hay que ver menos nueve.
[0:31:23.00]-[0:31:24.00]  Y otros cuatro como mínimo...
[0:31:24.00]-[0:31:25.00]  Nos piden por aquí.
[0:31:25.00]-[0:31:26.00]  Nueve.
[0:31:26.00]-[0:31:27.00]  Saliendo por aquí...
[0:31:27.00]-[0:31:28.00]  Bueno, ahora hay más, ¿eh?
[0:31:28.00]-[0:31:29.00]  Ahora hay más.
[0:31:29.00]-[0:31:30.00]  Bueno, porque ahora como han hecho la carretera así...
[0:31:30.00]-[0:31:31.00]  Ahora tienen que ir por aquí por la carretera.
[0:31:31.00]-[0:31:36.00]  Claro, se tira para la izquierda, ¿eh?
[0:31:36.00]-[0:31:40.00]  Cogen ustedes la carretera de la Colima.
[0:31:40.00]-[0:31:44.00]  Y a la derecha, pues viene una travesía, allí pone San Pedro y la Tárpela.
[0:31:44.00]-[0:31:45.00]  San Pedro y Villanueva de los Tomi.
[0:31:45.00]-[0:31:48.00]  Y a la izquierda ponen Villanueva de los Caballeros.
[0:31:48.00]-[0:31:49.00]  Otro pueblo cerca también.
[0:31:49.00]-[0:31:50.00]  Oye, perdona que le molesté.
[0:31:50.00]-[0:31:51.00]  ¿Esa señora qué pasa con esa señora?
[0:31:51.00]-[0:31:52.00]  ¿Sabes qué?
[0:31:52.00]-[0:31:53.00]  Esa es enana.
[0:31:53.00]-[0:31:54.00]  Esa es enana.
[0:31:54.00]-[0:31:55.00]  ¿Sabes dónde dice?
[0:31:55.00]-[0:31:56.00]  Esa es enana hoy.
[0:31:56.00]-[0:31:57.00]  Esa tiene cincuenta o sesenta años.
[0:31:57.00]-[0:31:58.00]  Cincuenta años.
[0:31:58.00]-[0:31:59.00]  Para, para, para.
[0:31:59.00]-[0:32:01.00]  Y tres, ¿no?
[0:32:01.00]-[0:32:02.00]  Tiene más vieja que yo.
[0:32:02.00]-[0:32:03.00]  Tiene por lo menos sesenta y cuatro.
[0:32:03.00]-[0:32:04.00]  Y qué pasa con ella?
[0:32:04.00]-[0:32:05.00]  Pues que nació en la niñez.
[0:32:05.00]-[0:32:06.00]  Ah, tiene una hermana llenada de silla.
[0:32:06.00]-[0:32:07.00]  Y hay otro hermano igual.
[0:32:07.00]-[0:32:08.00]  Y un hermano igual.
[0:32:08.00]-[0:32:09.00]  El hermano de Bacalto.
[0:32:09.00]-[0:32:10.00]  Y tiene una hermana...
[0:32:10.00]-[0:32:11.00]  Es una santa que yo.
[0:32:11.00]-[0:32:12.00]  Es una santa que yo.
[0:32:12.00]-[0:32:13.00]  ¿Y cómo llama a su señora?
[0:32:13.00]-[0:32:14.00]  O sea, a su familia, digo yo.
[0:32:14.00]-[0:32:15.00]  No, nada, nada.
[0:32:15.00]-[0:32:16.00]  Por su nombre.
[0:32:16.00]-[0:32:17.00]  No, por su nombre.
[0:32:17.00]-[0:32:18.00]  No, no, no.
[0:32:18.00]-[0:32:19.00]  No, no, no.
[0:32:19.00]-[0:32:20.00]  No, no, no.
[0:32:20.00]-[0:32:21.00]  No, no, no.
[0:32:21.00]-[0:32:22.00]  No, no, no.
[0:32:22.00]-[0:32:23.00]  No, no, no.
[0:32:23.00]-[0:32:24.00]  No, no, no.
[0:32:24.00]-[0:32:29.00]  No, no, no, no.
[0:32:29.00]-[0:32:58.00]  No, no, no.
[0:32:58.00]-[0:33:03.00]  No, no, no.
[0:33:03.00]-[0:33:32.00]  No, no, no.
[0:33:32.00]-[0:33:34.86]  ¿Aunca saliste, señor?
[0:33:34.86]-[0:33:35.86]  Claro.
[0:33:35.86]-[0:33:39.02]  Yo no tengo narrative.
[0:33:39.02]-[0:33:44.86]  Acima que vinimos a molestar.
[0:33:44.86]-[0:33:48.88]  Bueno, qué, ya lo cocían, ¿véis?
[0:33:48.88]-[0:33:49.84]  Sí, muchos ya�UEcmSgga.
[0:33:49.84]-[0:33:52.28]  Se me dan las dos de las noches, a ver por casual.
[0:33:52.28]-[0:33:53.28]  No, no.
[0:33:53.28]-[0:33:56.62]  Sólo que él no poco la lixa y el baile.
[0:33:56.62]-[0:33:57.62]  Eso ya Hare tu.
[0:33:57.62]-[0:33:58.62]  Eniend Saskia.
[0:33:58.62]-[0:33:59.62]  No, esto, cómo?
[0:33:59.62]-[0:34:00.62]  La comida.
[0:34:00.62]-[0:34:01.62]  Escuchamos.
[0:34:01.62]-[0:34:03.62]  ¿Cómo le llamaba?
[0:34:03.62]-[0:34:05.62]  No me acuerdo cómo le llamaba.
[0:34:05.62]-[0:34:07.62]  ¿Cómo le llamaba?
[0:34:07.62]-[0:34:09.62]  No me acuerdo cómo le llamaba.
[0:34:09.62]-[0:34:11.62]  ¿Cómo le llamaba?
[0:34:11.62]-[0:34:13.62]  No me acuerdo cómo le llamaba.
[0:34:13.62]-[0:34:15.62]  No me acuerdo cómo le llamaba.
[0:34:15.62]-[0:34:17.62]  Era una señora con moral de muchos años.
[0:34:17.62]-[0:34:19.62]  Trabajando en el verano, en ese tiempo.
[0:34:19.62]-[0:34:21.62]  ¿Usted conoció a esta señora?
[0:34:21.62]-[0:34:23.62]  No, yo y el amigo.
[0:34:23.62]-[0:34:25.62]  Nos conocemos de hace...
[0:34:25.62]-[0:34:27.62]  que nos conocemos aquí.
[0:34:27.62]-[0:34:33.62]  Y por eso dijo, vos lo hallevárate, que te damos remiso.
[0:34:33.62]-[0:34:35.62]  Bueno, ¿dónde llega? Vamos a ver.
[0:34:35.62]-[0:34:37.62]  Por las bodas no habíamos empezado todo.
[0:34:37.62]-[0:34:39.62]  Bueno, ahora vamos a hablar de la mujer.
[0:34:39.62]-[0:34:41.62]  No voy a pensar que ha contado más.
[0:34:41.62]-[0:34:43.62]  No, no, no, no haces.
[0:34:43.62]-[0:34:45.62]  Las bodas, pues aquí la voy a llegar,
[0:34:45.62]-[0:34:47.62]  en mi casa, por un sueño, el cura.
[0:34:47.62]-[0:34:49.62]  Se llama don...
[0:34:49.62]-[0:34:51.62]  México, era de Morales.
[0:34:51.62]-[0:34:53.62]  El cura era de Morales, pero vamos, vivía aquí.
[0:34:53.62]-[0:34:55.62]  ¿Cómo se llama?
[0:34:55.62]-[0:34:57.62]  ¿Cómo se...
[0:34:57.62]-[0:34:59.62]  a referirse a él, cómo se refería?
[0:34:59.62]-[0:35:01.62]  ¿A un...
[0:35:01.62]-[0:35:03.62]  El cura, el brevo, el cura.
[0:35:03.62]-[0:35:05.62]  ¿Para qué?
[0:35:05.62]-[0:35:07.62]  ¿Para irte a eso, a casarte, o eso?
[0:35:07.62]-[0:35:09.62]  ¿No te diré?
[0:35:09.62]-[0:35:11.62]  Si era de ustedes o de tú.
[0:35:11.62]-[0:35:13.62]  No, no, de usted, de usted, no de tú, nada.
[0:35:13.62]-[0:35:15.62]  Aquí eso no se llamaba mal.
[0:35:15.62]-[0:35:17.62]  De usted, de tú no se llama nada más que ahora.
[0:35:17.62]-[0:35:19.62]  Antes no se llamaba nada más que de usted a todos.
[0:35:19.62]-[0:35:21.62]  Pero ahora es de tú a todos.
[0:35:21.62]-[0:35:23.62]  No es de usted, nada.
[0:35:23.62]-[0:35:25.62]  Entonces, antes, en la víspera de casarte,
[0:35:25.62]-[0:35:27.62]  pues iba a sacar de cura.
[0:35:27.62]-[0:35:29.62]  Ya lo tenías, ya...
[0:35:29.62]-[0:35:31.62]  Dijo que te iba a casarte con él,
[0:35:31.62]-[0:35:33.62]  tenías las administraciones,
[0:35:33.62]-[0:35:35.62]  tenías la iglesia,
[0:35:35.62]-[0:35:37.62]  quiere encontrar matrimonio con una novedad,
[0:35:37.62]-[0:35:39.62]  con una novia bonada, tal, tal, tal,
[0:35:39.62]-[0:35:41.62]  esta es su primera administración.
[0:35:41.62]-[0:35:43.62]  Entonces se corrían tres administraciones, se llamaba mal.
[0:35:43.62]-[0:35:45.62]  Y la segunda, pues lo mismo.
[0:35:45.62]-[0:35:47.62]  Y la segunda, pues los chicos,
[0:35:47.62]-[0:35:49.62]  pues iban a darte la enhorabuena.
[0:35:49.62]-[0:35:51.62]  Los chicos del pueblo y las chicas.
[0:35:51.62]-[0:35:53.62]  Se asimían, se asimían,
[0:35:53.62]-[0:35:55.62]  se admitían que daban el personal dentro, no.
[0:35:55.62]-[0:35:57.62]  A darles, si no daban el refresco.
[0:35:57.62]-[0:35:59.62]  Pues había almendras y caramelos
[0:35:59.62]-[0:36:01.62]  y limonadas, y así entonces, y nada más.
[0:36:01.62]-[0:36:03.62]  Pues vino, limonada, una rola o veinte,
[0:36:03.62]-[0:36:05.62]  algunos llevaban
[0:36:05.62]-[0:36:07.62]  pues veinte, veinte marrujas pa casa.
[0:36:07.62]-[0:36:09.62]  Porque no daban la barracilla, booo.
[0:36:09.62]-[0:36:11.62]  No daban la barracilla de miedo.
[0:36:11.62]-[0:36:13.62]  ¿Y en casa de la mujer también iba?
[0:36:13.62]-[0:36:15.62]  No, era en casa de la mujer, casa de la novia.
[0:36:15.62]-[0:36:17.62]  La novia ponía las almendras y los caramelos.
[0:36:17.62]-[0:36:19.62]  Y el novio ponía el vino.
[0:36:19.62]-[0:36:21.62]  ¿En la misma casa de la mujer?
[0:36:21.62]-[0:36:23.62]  En la misma, eso se celebraba en la novia.
[0:36:23.62]-[0:36:25.62]  Y la boda se celebraba en casa de la novia.
[0:36:25.62]-[0:36:27.62]  Te casabas en la iglesia, yo me he casado en este colegiado.
[0:36:27.62]-[0:36:29.62]  Te casabas en la iglesia, esto verdad.
[0:36:29.62]-[0:36:31.62]  Y la víspera del egreso ibas a carcero cura.
[0:36:31.62]-[0:36:33.62]  Nos dimos la doctrina,
[0:36:33.62]-[0:36:35.62]  no le hacíamos nada.
[0:36:35.62]-[0:36:37.62]  Porque ibas a carcero cura.
[0:36:37.62]-[0:36:39.62]  ¡Hola, buenas noches!
[0:36:39.62]-[0:36:41.62]  Bueno, sentad, sentad, sentad.
[0:36:41.62]-[0:36:43.62]  Bueno, y qué tal va este novia.
[0:36:43.62]-[0:36:45.62]  Bien, el padre, vamos, vamos.
[0:36:45.62]-[0:36:47.62]  Toma, tígar, hijo.
[0:36:47.62]-[0:36:49.62]  Toma una copica.
[0:36:49.62]-[0:36:51.62]  Era un bendito, un cura, un bendito.
[0:36:51.62]-[0:36:53.62]  Toma una copica al cielo.
[0:36:53.62]-[0:36:55.62]  Cuando nos paramos,
[0:36:55.62]-[0:36:57.62]  que no digas que eramos,
[0:36:57.62]-[0:36:59.62]  que ibas por la noche, pues eso, la doctrina.
[0:36:59.62]-[0:37:01.62]  Que no había doctrina, no había nada.
[0:37:01.62]-[0:37:03.62]  Y lo primero que te daba,
[0:37:03.62]-[0:37:05.62]  te sacaba un cigarro rico, un cigarro, todo.
[0:37:05.62]-[0:37:07.62]  Y nos fumaba, eh. Y una copita de anís.
[0:37:07.62]-[0:37:09.62]  Una copita de anís, que eran aquellos tiempos,
[0:37:09.62]-[0:37:11.62]  unas copas, eran así, las copas.
[0:37:11.62]-[0:37:13.62]  Bueno, como eran entonces.
[0:37:13.62]-[0:37:15.62]  ¿Qué había, sabes, copas rondonas?
[0:37:15.62]-[0:37:17.62]  Ah, te sobraron, eh.
[0:37:17.62]-[0:37:19.62]  Si me había dado, porque no dijeras que no me debías eso.
[0:37:19.62]-[0:37:21.62]  Bueno, pues después de la boda...
[0:37:21.62]-[0:37:23.62]  ¿Dónde casabas, ya huyé a mí?
[0:37:23.62]-[0:37:25.62]  ¿Dónde?
[0:37:25.62]-[0:37:27.62]  ¿A dónde?
[0:37:27.62]-[0:37:29.62]  No, después de la boda.
[0:37:29.62]-[0:37:31.62]  No, después de la boda.
[0:37:31.62]-[0:37:33.62]  Y el día de la boda, pues ya sabes,
[0:37:33.62]-[0:37:35.62]  el liste de la boda,
[0:37:35.62]-[0:37:37.62]  y cuando eso, pues,
[0:37:37.62]-[0:37:39.62]  la costumbre era de coger arroz y tirar a los nobios,
[0:37:39.62]-[0:37:41.62]  como se hace ahora. Eso es de toda la vida.
[0:37:41.62]-[0:37:43.62]  Y no se ha quitado, porque yo estaba en boda de Magalit,
[0:37:43.62]-[0:37:45.62]  y llevan arroz, vamos, por un tubo,
[0:37:45.62]-[0:37:47.62]  sin más de...
[0:37:47.62]-[0:37:49.62]  de kilo,
[0:37:49.62]-[0:37:51.62]  una bolsa, otra bolsa,
[0:37:51.62]-[0:37:53.62]  y a tirar eso, ¿verdad?
[0:37:53.62]-[0:37:55.62]  Y bueno, pues después preparaban las comidas,
[0:37:55.62]-[0:37:57.62]  las preparaban, y casi no había preparado la comida.
[0:37:57.62]-[0:37:59.62]  Y había una señora o dos,
[0:37:59.62]-[0:38:01.62]  o la madre, la otra madre,
[0:38:01.62]-[0:38:03.62]  o quien fuera, otra señora que iba
[0:38:03.62]-[0:38:05.62]  a ayudar a guisar, ¿sabía?
[0:38:05.62]-[0:38:07.62]  Y se mataba por entonces el que podía,
[0:38:07.62]-[0:38:09.62]  un cordero mataba a un cordero,
[0:38:09.62]-[0:38:11.62]  o una oveja, o dos ovejas entre los dos,
[0:38:11.62]-[0:38:13.62]  o a base de conejos,
[0:38:13.62]-[0:38:15.62]  unas llevaban, los invitados,
[0:38:15.62]-[0:38:17.62]  todos llevaban, o un conejo,
[0:38:17.62]-[0:38:19.62]  o un gallo, o una gallina.
[0:38:19.62]-[0:38:21.62]  El invitado que iba todo llevaba, todo solto.
[0:38:21.62]-[0:38:23.62]  Y mataba a las gallinas, mataba a los conejos,
[0:38:23.62]-[0:38:25.62]  y se hacía, machado,
[0:38:25.62]-[0:38:27.62]  adiós.
[0:38:27.62]-[0:38:29.62]  ¿Y qué era, cómo, eso que era,
[0:38:29.62]-[0:38:31.62]  respira? No, eso no era para
[0:38:31.62]-[0:38:33.62]  la comida que se llamaba, la boda.
[0:38:33.62]-[0:38:35.62]  Si hacías la comida de la boda,
[0:38:35.62]-[0:38:37.62]  ibas a comer, si hacías la boda,
[0:38:37.62]-[0:38:39.62]  en casa la novia.
[0:38:39.62]-[0:38:41.62]  Y te pusieras una habitación como esta,
[0:38:41.62]-[0:38:43.62]  o más pequeña, y había hasta que
[0:38:43.62]-[0:38:45.62]  quitara hasta las camas, y las habitas,
[0:38:45.62]-[0:38:47.62]  para eso, para quitar las camas,
[0:38:47.62]-[0:38:49.62]  para que, entonces, la mujer había de boda,
[0:38:49.62]-[0:38:51.62]  pues, en la mía, bueno, fue los pocos,
[0:38:51.62]-[0:38:53.62]  porque yo tengo, tenía pues cuatro hermanos,
[0:38:53.62]-[0:38:55.62]  estaba casado dos,
[0:38:55.62]-[0:38:57.62]  los pocos, personal, tenía yo,
[0:38:57.62]-[0:38:59.62]  pero bueno, estos eran nueve hermanos,
[0:38:59.62]-[0:39:01.62]  y los tíos de ella que vinieron,
[0:39:01.62]-[0:39:03.62]  todos nos juntamos 670, por lo menos,
[0:39:03.62]-[0:39:05.62]  pero ha habido boda que se encontraba
[0:39:05.62]-[0:39:07.62]  hasta 120, 130.
[0:39:07.62]-[0:39:09.62]  Si, si, invitaba, yo invitaba a los amigos
[0:39:09.62]-[0:39:11.62]  que tenía, salió fuera, a comer,
[0:39:11.62]-[0:39:13.62]  y esas cosas, una cosa de la boda.
[0:39:13.62]-[0:39:15.62]  ¿Y cómo, cómo, cómo se invitaba?
[0:39:15.62]-[0:39:17.62]  ¿Con tarjetita o no?
[0:39:17.62]-[0:39:19.62]  No, entonces, no, entonces la invitada es palabra.
[0:39:19.62]-[0:39:21.62]  Bueno, ya sabes que me caso para el día,
[0:39:21.62]-[0:39:23.62]  el día 20,
[0:39:23.62]-[0:39:25.62]  supone, el día 20 igualmente,
[0:39:25.62]-[0:39:27.62]  cualquier día, así que,
[0:39:27.62]-[0:39:29.62]  te quedas invitado a la boda, no me vaciles,
[0:39:29.62]-[0:39:31.62]  compañame, coño, no faltaba más,
[0:39:31.62]-[0:39:33.62]  y no me quiero a la boda tuya,
[0:39:33.62]-[0:39:35.62]  pues Dios que sí, hombre que sí,
[0:39:35.62]-[0:39:37.62]  entonces iba solo el amigo,
[0:39:37.62]-[0:39:39.62]  entonces no se invitaba a la novia,
[0:39:39.62]-[0:39:41.62]  porque es que hoy día, si tú
[0:39:41.62]-[0:39:43.62]  invitas a ese y tiene novia,
[0:39:43.62]-[0:39:45.62]  va a estar bien la novia,
[0:39:45.62]-[0:39:47.62]  porque yo lo he visto con la boda de uno de los hijos míos
[0:39:47.62]-[0:39:49.62]  que se casaban,
[0:39:49.62]-[0:39:51.62]  las chicas se casaban hace años, el chico hace,
[0:39:51.62]-[0:39:53.62]  hoy, hoy es tín, no, ayer,
[0:39:53.62]-[0:39:55.62]  ayer dice cuatro que se casó,
[0:39:55.62]-[0:39:57.62]  pues si le invitó a eso a los amigos,
[0:39:57.62]-[0:39:59.62]  y la que entre el amigo tenía novia,
[0:39:59.62]-[0:40:01.62]  pues fue la novia de aquí,
[0:40:01.62]-[0:40:03.62]  entonces le he pagado el cubierto,
[0:40:03.62]-[0:40:05.62]  y para casa ahora, cubierto de unos vidrales,
[0:40:05.62]-[0:40:07.62]  y la novia que lleva, pero todo era,
[0:40:07.62]-[0:40:09.62]  entonces iba a comer a casa,
[0:40:09.62]-[0:40:11.62]  preparaban las cazuelas, ya te digo, de cordero,
[0:40:11.62]-[0:40:13.62]  te cuentes mejor yo de conejo,
[0:40:13.62]-[0:40:15.62]  y gallinas, y pollo, y eso,
[0:40:15.62]-[0:40:17.62]  y se preparaba, se comía,
[0:40:17.62]-[0:40:19.62]  y se cenaba ahí,
[0:40:19.62]-[0:40:21.62]  no es como ahora, ahora, como es todo, no,
[0:40:21.62]-[0:40:23.62]  no es loco, ahí entonces se comía,
[0:40:23.62]-[0:40:25.62]  y había hasta el segundo día de boda que se llamaba,
[0:40:25.62]-[0:40:27.62]  tras boda,
[0:40:27.62]-[0:40:29.62]  porque sobraba mucha comida,
[0:40:29.62]-[0:40:31.62]  porque sobraba, la liana, había conejo,
[0:40:31.62]-[0:40:33.62]  y los corales, no me acuerdo que hace mi madre,
[0:40:33.62]-[0:40:35.62]  que parece que me acuerdo yo, la pobre,
[0:40:35.62]-[0:40:37.62]  pues tenía un cuadro cuando yo me casé,
[0:40:37.62]-[0:40:39.62]  pues cincuenta conejos, de dos kilos subido a tres kilos,
[0:40:39.62]-[0:40:41.62]  conejos grandones, pero hermosados,
[0:40:41.62]-[0:40:43.62]  y claro, pues a matar conejos,
[0:40:43.62]-[0:40:45.62]  llevaba gente con conejos, pimpas,
[0:40:45.62]-[0:40:47.62]  o gallinas, o pollo, y ya,
[0:40:47.62]-[0:40:49.62]  pero mataban a los conejos ustedes mismos,
[0:40:49.62]-[0:40:51.62]  a quien se mataban, las mujeres,
[0:40:51.62]-[0:40:53.62]  mi madre,
[0:40:53.62]-[0:40:55.62]  y mi suegra,
[0:40:55.62]-[0:40:57.62]  o mi prima, o la vecina,
[0:40:57.62]-[0:40:59.62]  que iba con ellos,
[0:40:59.62]-[0:41:01.62]  y por rato, daban a conejos,
[0:41:01.62]-[0:41:03.62]  y las dos eran así,
[0:41:03.62]-[0:41:05.62]  ¿Deberían de querer bien a las mujeres,
[0:41:05.62]-[0:41:07.62]  porque todo el trabajo que llevaban?
[0:41:07.62]-[0:41:09.62]  Ay, ya ves, las mujeres,
[0:41:09.62]-[0:41:11.62]  siempre hay que querer a las bien,
[0:41:11.62]-[0:41:13.62]  porque si las quieres mal, tú te la tienes,
[0:41:13.62]-[0:41:15.62]  hay que no la ver bien siempre,
[0:41:15.62]-[0:41:17.62]  y la boda, voy a decir,
[0:41:17.62]-[0:41:19.62]  salías de la misa,
[0:41:19.62]-[0:41:21.62]  y ibas a tomar un refresco, un chocolate,
[0:41:21.62]-[0:41:23.62]  chocolate para todo,
[0:41:23.62]-[0:41:25.62]  tenías cincuenta kilos o cincuenta kilos de chocolate,
[0:41:25.62]-[0:41:27.62]  hoy en día no se usa eso,
[0:41:27.62]-[0:41:29.62]  y la boda, vayabolizos, vayabolizos,
[0:41:29.62]-[0:41:31.62]  o a Grecia, o a donde sea,
[0:41:31.62]-[0:41:33.62]  y hay un bar,
[0:41:33.62]-[0:41:35.62]  entras ahí, pinchas, compagas,
[0:41:35.62]-[0:41:37.62]  y entonces no, entonces, chocolate, chocolate,
[0:41:37.62]-[0:41:39.62]  le pagaba a la madrina, digo, la madrina,
[0:41:39.62]-[0:41:41.62]  el novio, y la novia,
[0:41:41.62]-[0:41:43.62]  los padres, los familiares pagaban eso,
[0:41:43.62]-[0:41:45.62]  y a los padrinos,
[0:41:45.62]-[0:41:47.62]  la madrina,
[0:41:47.62]-[0:41:49.62]  que era una señora,
[0:41:49.62]-[0:41:51.62]  y el padrino, un señor,
[0:41:51.62]-[0:41:53.62]  pues yo, el padrino mío era, pues un señor,
[0:41:53.62]-[0:41:55.62]  y esta madrina era una señora,
[0:41:55.62]-[0:41:57.62]  pagaban un refresco, ellos,
[0:41:57.62]-[0:41:59.62]  por cuenta de ellos,
[0:41:59.62]-[0:42:01.62]  no, un refresco de limonada,
[0:42:01.62]-[0:42:03.62]  y bollos, margaritas,
[0:42:03.62]-[0:42:05.62]  como se llama la lena, cosas de esas,
[0:42:05.62]-[0:42:07.62]  y pastas, entonces,
[0:42:07.62]-[0:42:09.62]  y entonces había, se hacían, se compraban almendras,
[0:42:09.62]-[0:42:11.62]  unas almendras que eran muy buenas,
[0:42:11.62]-[0:42:13.62]  se llamaban de barrabuelo,
[0:42:13.62]-[0:42:15.62]  que era de Vilafricio, de,
[0:42:15.62]-[0:42:17.62]  Vilafricio del Campo, no sé qué se llama,
[0:42:17.62]-[0:42:19.62]  y ahí se compraban
[0:42:19.62]-[0:42:21.62]  y los almendros,
[0:42:21.62]-[0:42:23.62]  y estas daban el día de la boda,
[0:42:23.62]-[0:42:25.62]  y por la mañana un refresco iba a salir,
[0:42:25.62]-[0:42:27.62]  vamos a la limonada, Leroy, con una bota de vino,
[0:42:27.62]-[0:42:29.62]  la llenabas, venga al baile,
[0:42:29.62]-[0:42:31.62]  y todos al baile,
[0:42:31.62]-[0:42:33.62]  anda, venga, por otra boda de limonada,
[0:42:33.62]-[0:42:35.62]  ahora encaja el padrino, después encaja el padrino,
[0:42:35.62]-[0:42:37.62]  venga, vamos a reencajarse al padrino,
[0:42:37.62]-[0:42:39.62]  y a lo mejor,
[0:42:39.62]-[0:42:41.62]  si estábamos de 170,
[0:42:41.62]-[0:42:43.62]  pues iban 40 o 50,
[0:42:43.62]-[0:42:45.62]  y venga, trae pa' acá, venga, sople más,
[0:42:45.62]-[0:42:47.62]  y venga pa' acá, y siempre estaba al rato,
[0:42:47.62]-[0:42:49.62]  y por la noche pues se hizo a cenar,
[0:42:49.62]-[0:42:51.62]  otra vez, que ahí antes el baile,
[0:42:51.62]-[0:42:53.62]  por la tarde se preparaba el baile,
[0:42:53.62]-[0:42:55.62]  hasta la hora de cenar, y hasta las 10 o las 9,
[0:42:55.62]-[0:42:57.62]  que iban a cenar,
[0:42:57.62]-[0:42:59.62]  después de cenar, otra vez al baile.
[0:42:59.62]-[0:43:01.62]  ¿Pero quién preparaba el baile?
[0:43:01.62]-[0:43:03.62]  Los invitados y los...
[0:43:03.62]-[0:43:05.62]  le pagaba el novio, el baile se lo pagaba el novio,
[0:43:05.62]-[0:43:07.62]  cuando yo lo pagué,
[0:43:07.62]-[0:43:09.62]  y cuando los demás,
[0:43:09.62]-[0:43:11.62]  pues les pagaba el novio el baile,
[0:43:11.62]-[0:43:13.62]  pagaba el novio,
[0:43:13.62]-[0:43:15.62]  siempre ha sido otra la vida, pagar el baile al novio,
[0:43:15.62]-[0:43:17.62]  y después bueno, después de cenar, al baile otra vez,
[0:43:17.62]-[0:43:19.62]  y el señor del baile,
[0:43:19.62]-[0:43:21.62]  el chinganillo que llevábamos, el piano,
[0:43:21.62]-[0:43:23.62]  pues lo invitábamos a comer y a cenar,
[0:43:23.62]-[0:43:25.62]  para ir a comer y a cenar a la boda.
[0:43:25.62]-[0:43:27.62]  ¿Cómo llamaban al piano?
[0:43:27.62]-[0:43:29.62]  No, no, ha dicho...
[0:43:29.62]-[0:43:31.62]  ¿Al chinganillo?
[0:43:31.62]-[0:43:33.62]  Sí.
[0:43:33.62]-[0:43:35.62]  ¿Al manubrio?
[0:43:35.62]-[0:43:37.62]  No habéis visto vosotros,
[0:43:37.62]-[0:43:39.62]  el de Madrid, cuando tocan en chautis,
[0:43:39.62]-[0:43:41.62]  no lo ha visto el de mi hijo.
[0:43:41.62]-[0:43:43.62]  El mano de ese empadecido, lo mismo.
[0:43:43.62]-[0:43:45.62]  Yo sabía que se llamaba así.
[0:43:45.62]-[0:43:47.62]  Es un manubrio.
[0:43:47.62]-[0:43:49.62]  Toco con el chinganillo.
[0:43:49.62]-[0:43:51.62]  Es un manubrio,
[0:43:51.62]-[0:43:53.62]  igual que el de Madrid,
[0:43:53.62]-[0:43:55.62]  cuando se van y salen bailando chautis,
[0:43:55.62]-[0:43:57.62]  las así, que salen con las miseras ellos,
[0:43:57.62]-[0:43:59.62]  los flamencos y ellas,
[0:43:59.62]-[0:44:01.62]  es lo mismo, se dan un piano, pues como eso,
[0:44:01.62]-[0:44:03.62]  y se toca baile.
[0:44:03.62]-[0:44:05.62]  Oiga, ¿y en la ceremonia,
[0:44:05.62]-[0:44:07.62]  lo que es la ceremonia en la iglesia?
[0:44:07.62]-[0:44:09.62]  Entonces no había como,
[0:44:09.62]-[0:44:11.62]  entonces se hacía la ceremonia,
[0:44:11.62]-[0:44:13.62]  ni había fotógrafo, ni había nada.
[0:44:13.62]-[0:44:15.62]  Allí se ponían las rodillas en el medio,
[0:44:15.62]-[0:44:17.62]  el novio aquí, la novia aquí,
[0:44:17.62]-[0:44:19.62]  el padrino de un lado y el de otro lado,
[0:44:19.62]-[0:44:21.62]  del lado del novio, el padrino, del lado de lado, la madre.
[0:44:21.62]-[0:44:23.62]  Se acabó eso, se firmaban los testigos,
[0:44:23.62]-[0:44:25.62]  le hablaba el señor, el juez,
[0:44:25.62]-[0:44:27.62]  que entonces iba siempre el secretario.
[0:44:27.62]-[0:44:29.62]  Llevaba con el libro de,
[0:44:29.62]-[0:44:31.62]  de esto, del Jumbado,
[0:44:31.62]-[0:44:33.62]  firmaba que tenía que firmar los contrarientes,
[0:44:33.62]-[0:44:35.62]  y firmaban los padrinos,
[0:44:35.62]-[0:44:37.62]  que habían asistido,
[0:44:37.62]-[0:44:39.62]  y se firmaban dos o tres testigos,
[0:44:39.62]-[0:44:41.62]  y nada más, no se.
[0:44:41.62]-[0:44:43.62]  Pero no había yugo, ni nada.
[0:44:43.62]-[0:44:45.62]  Y ya, tal lado los sandinos, las sarras,
[0:44:45.62]-[0:44:47.62]  y de un lado, y de otro lado,
[0:44:47.62]-[0:44:49.62]  y te corría la mano,
[0:44:49.62]-[0:44:51.62]  a la novia y al novio, eso sí me exploté.
[0:44:51.62]-[0:44:53.62]  O sea, el novio cogía...
[0:44:53.62]-[0:44:55.62]  ¿El novio?
[0:44:55.62]-[0:44:57.62]  Dice, quiero usted por esposo,
[0:44:57.62]-[0:44:59.62]  no me acuerdo, ya no me acuerdo.
[0:44:59.62]-[0:45:01.62]  Y recoge la mano del novio y de la novia.
[0:45:01.62]-[0:45:03.62]  No se hizo la derecha de los dos,
[0:45:03.62]-[0:45:05.62]  porque se cruza así.
[0:45:05.62]-[0:45:07.62]  Saben que no eran las dos derechas.
[0:45:07.62]-[0:45:09.62]  La derecha del novio era la mujer,
