[0:00:00.00]-[0:00:02.00]  Hola, ¿ves? ¿En verdad?
[0:45:31.00]-[0:45:34.00]  Yo creo que no tendríamos tiempo.
[0:45:34.00]-[0:45:36.00]  Mira, la teresa es...
[0:45:36.00]-[0:45:38.00]  ¿Ya?
[0:45:38.00]-[0:45:41.00]  ¿Estás preparándote de comida?
[0:45:41.00]-[0:45:43.00]  Pues, me pongo todo revuelto.
[0:45:43.00]-[0:45:46.00]  Hola, alcachofas con arroz bien verde y una pasta también.
[0:45:46.00]-[0:45:48.00]  Hola, buenas.
[0:45:48.00]-[0:45:50.00]  Hola, ¿qué tal?
[0:45:50.00]-[0:45:51.00]  ¿Qué onda?
[0:45:51.00]-[0:45:52.00]  Huele muy bien.
[0:45:52.00]-[0:45:54.00]  Sí, huele para huevonadas.
[0:45:54.00]-[0:46:00.00]  Huele, alcachofa huele, esto cuando me regalo quitaré.
[0:46:00.00]-[0:46:01.00]  Vale, pues.
[0:46:01.00]-[0:46:02.00]  Ay, bien.
[0:46:02.00]-[0:46:04.00]  Y de hecho, ahora más calzas, ¿ok?
[0:46:04.00]-[0:46:05.00]  Sí.
[0:46:05.00]-[0:46:07.00]  Bien.
[0:46:07.00]-[0:46:19.00]  Ay, mis cosas.
[0:46:19.00]-[0:46:20.00]  Nos vemos a valentia.
[0:46:20.00]-[0:46:22.00]  Sí.
[0:46:22.00]-[0:46:24.00]  Adiós.
