[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:27:58.00]-[0:28:00.00]  Y pues ya hay que deshacer la ropa y la mudaron.
[0:28:00.00]-[0:28:02.00]  ¿Has visto en una vez en la tele
[0:28:02.00]-[0:28:04.00]  las mujeres hacer los labores?
[0:28:04.00]-[0:28:06.00]  ¿Has visto?
[0:28:06.00]-[0:28:08.00]  Pues eso, era así.
[0:28:08.00]-[0:28:10.00]  Hombre, pues trabajar.
[0:28:10.00]-[0:28:12.00]  Y eso también las mujeres nada más.
[0:28:12.00]-[0:28:14.00]  Las mujeres lo hacían nada más.
[0:28:14.00]-[0:28:16.00]  Ah, sí, los hombres.
[0:28:16.00]-[0:28:18.00]  Los hombres tenían bastante que ver con el campo.
[0:28:18.00]-[0:28:20.00]  Porque todo el día los hombres trabajaban.
[0:28:20.00]-[0:28:22.00]  Sí, todo el día estaban los hombres en el campo.
[0:28:22.00]-[0:28:24.00]  ¿Cómo era un día, por ejemplo?
[0:28:24.00]-[0:28:26.00]  Un día, pues ocho horas, diez horas.
[0:28:26.00]-[0:28:28.00]  Pues todo no había horas.
[0:28:28.00]-[0:28:30.00]  Cuando salía el sol hasta que se ponía.
[0:28:30.00]-[0:28:32.00]  Entonces no había relojes.
[0:28:32.00]-[0:28:34.00]  ¿El invierno como el verano?
[0:28:34.00]-[0:28:36.00]  Igual. Hasta que salía el sol,
[0:28:36.00]-[0:28:38.00]  hasta que se ponía, trabajando ahí.
[0:28:38.00]-[0:28:40.00]  Todo el día en el campo.
[0:28:40.00]-[0:28:42.00]  ¿Y arar, arar, a usted?
[0:28:42.00]-[0:28:44.00]  Sí, y a los griegos.
[0:28:44.00]-[0:28:46.00]  ¿Y cómo se ara?
[0:28:46.00]-[0:28:48.00]  Pues un par de veces, los mulos,
[0:28:48.00]-[0:28:50.00]  se ponían así en el cuello
[0:28:50.00]-[0:28:52.00]  y se arrancaban el arao
[0:28:52.00]-[0:28:54.00]  y a los rales.
[0:28:54.00]-[0:28:56.00]  ¿Y en el cuello les ponían qué?
[0:28:56.00]-[0:28:58.00]  A las bestias.
[0:28:58.00]-[0:29:00.00]  El rubio que se decía aquello.
[0:29:00.00]-[0:29:02.00]  Sí, sí.
[0:29:02.00]-[0:29:04.00]  Sí, el labrado, sí.
[0:29:04.00]-[0:29:06.00]  ¿Y las collaras qué son?
[0:29:06.00]-[0:29:08.00]  Pues eso, eso es para labrar.
[0:29:08.00]-[0:29:10.00]  ¿Pero qué parte es?
[0:29:10.00]-[0:29:12.00]  El cuello se las ponía en las bestias.
[0:29:12.00]-[0:29:14.00]  Eso son las collaras.
[0:29:14.00]-[0:29:16.00]  Y el rubio se pone ahí encima,
[0:29:16.00]-[0:29:18.00]  para que no se dieran daño.
[0:29:18.00]-[0:29:20.00]  Y ahí trabajaba, a labrar.
[0:29:20.00]-[0:29:22.00]  ¿Y el labrador iba detrás?
[0:29:22.00]-[0:29:24.00]  Sí, se trae con el arao.
[0:29:24.00]-[0:29:26.00]  Y lo llevaba llevando el arao.
[0:29:26.00]-[0:29:28.00]  ¿Y el arao cómo era?
[0:29:28.00]-[0:29:30.00]  Pues un paro y el hierro lo trae.
[0:29:30.00]-[0:29:32.00]  Una vez que le hicieran
[0:29:32.00]-[0:29:34.00]  la reja aquello,
[0:29:34.00]-[0:29:36.00]  se ponía y ya lo podía lograr.
[0:29:36.00]-[0:29:38.00]  ¿Y para llevarlo bien?
[0:29:38.00]-[0:29:40.00]  Hombre, hay que llevarlo agarrado,
[0:29:40.00]-[0:29:42.00]  si no se cae.
[0:29:42.00]-[0:29:44.00]  ¿Y para agarrar cómo?
[0:29:44.00]-[0:29:46.00]  Pues llevaba dos.
[0:29:46.00]-[0:29:48.00]  ¿Cómo?
[0:29:48.00]-[0:29:50.00]  Dos estevas, sí.
[0:29:50.00]-[0:29:52.00]  Dos hierros.
[0:29:52.00]-[0:29:54.00]  ¿Qué eran? ¿Cómo eran?
[0:29:54.00]-[0:29:56.00]  Pues le echaban todos los tozos de hierro,
[0:29:56.00]-[0:29:58.00]  salían así,
[0:29:58.00]-[0:30:00.00]  con suese que tenían para agarrarlo.
[0:30:00.00]-[0:30:02.00]  ¿Y los arados quién los fabricaba?
[0:30:02.00]-[0:30:04.00]  Pues el herrero que había ahí en Coy.
[0:30:04.00]-[0:30:06.00]  Porque la reja de labrar se...
[0:30:06.00]-[0:30:08.00]  Así, ahí en Coy.
[0:30:08.00]-[0:30:10.00]  Y los arados lo hacían ahí en Coy también.
[0:30:10.00]-[0:30:12.00]  ¿Y luego la reja se estropeaba de agarrar?
[0:30:12.00]-[0:30:14.00]  Hombre, claro, porque tenían que llevarlas,
[0:30:14.00]-[0:30:16.00]  llevarlas a las aras.
[0:30:16.00]-[0:30:18.00]  Y cómo la...
[0:30:18.00]-[0:30:20.00]  En Coy, ¿no? En Coy había herrero.
[0:30:20.00]-[0:30:22.00]  Sí, en Coy había herrero. Y aquí también había otro.
[0:30:22.00]-[0:30:24.00]  Sí, aquí había otro también.
[0:30:24.00]-[0:30:26.00]  ¿Y el de aquí no era muy bueno?
[0:30:26.00]-[0:30:28.00]  No era bueno porque al hombre...
[0:30:28.00]-[0:30:30.00]  no le cundía mucho.
[0:30:30.00]-[0:30:32.00]  No le cundía mucho porque...
[0:30:32.00]-[0:30:34.00]  No le gustaba mucho trabajar, no.
[0:30:38.00]-[0:30:40.00]  ¿Y para hacer el surco derecho,
[0:30:40.00]-[0:30:42.00]  que saliera bien derecho, cómo hacían?
[0:30:42.00]-[0:30:44.00]  Hombre, pues las festas llevaban las bien llevadas,
[0:30:44.00]-[0:30:46.00]  que las festas fueran derechas.
[0:30:46.00]-[0:30:48.00]  Si las festas no iban derechas, el surco no salía derecho.
[0:30:48.00]-[0:30:50.00]  Si las festas hacían así,
[0:30:50.00]-[0:30:52.00]  pues sí, ya no, el surco no.
[0:30:52.00]-[0:30:54.00]  ¿Pero el primer surco para que saliera derecho?
[0:30:54.00]-[0:30:56.00]  ¿En qué se ha fijado?
[0:30:56.00]-[0:30:58.00]  Si ya el conejar tenía aquí...
[0:30:58.00]-[0:31:00.00]  Hombre, claro, está bien, pero eso no importa,
[0:31:00.00]-[0:31:02.00]  si no trae nada.
[0:31:02.00]-[0:31:04.00]  No, sí, eso no, sí, ¿de qué es el conejar?
[0:31:04.00]-[0:31:06.00]  El conejar, pues un pico en el piezo,
[0:31:06.00]-[0:31:08.00]  que empieza a dar surcos pequeños, pequeños,
[0:31:08.00]-[0:31:10.00]  cada vez más largos, cada vez más largos y así.
[0:31:10.00]-[0:31:12.00]  Ese es el conejar.
[0:31:12.00]-[0:31:14.00]  Ah, hombre, no, no, no.
[0:31:14.00]-[0:31:16.00]  Pero, ¿y el primer surco qué cogían?
[0:31:16.00]-[0:31:18.00]  ¿Un monte?
[0:31:18.00]-[0:31:20.00]  Algún punto.
[0:31:20.00]-[0:31:22.00]  Yo sé que los muleros, que eran muleros de verdad,
[0:31:22.00]-[0:31:24.00]  para siempre agarraban los surcos
[0:31:24.00]-[0:31:26.00]  y se quedaban allá,
[0:31:26.00]-[0:31:28.00]  lejos, y iban fijos en aquello.
[0:31:30.00]-[0:31:32.00]  Vamos, entonces el surco salía derecho.
[0:31:32.00]-[0:31:34.00]  Porque si no, salía derecho.
[0:31:34.00]-[0:31:36.00]  Ese era el primero.
[0:31:36.00]-[0:31:38.00]  Sí, sí, había...
[0:31:38.00]-[0:31:40.00]  Aquí, no, por allí en La Mancha,
[0:31:40.00]-[0:31:42.00]  había tíos, que se ganaban unos premios buenos con eso.
[0:31:42.00]-[0:31:44.00]  A ver quién sacaba el surco más derecho.
[0:31:46.00]-[0:31:48.00]  ¿Y usted fue alguno de...
[0:31:48.00]-[0:31:50.00]  No, yo allí no fui, pero yo seguí en La Mancha,
[0:31:50.00]-[0:31:52.00]  y allí me dijeron eso.
[0:31:52.00]-[0:31:55.00]  Y allí después me dijeron que se había que ir
[0:31:55.00]-[0:31:57.00]  hacia un punto lento.
[0:31:57.00]-[0:31:59.00]  Porque usted era jornalero, porque...
[0:31:59.00]-[0:32:01.00]  Claro que soy jornalero de todo,
[0:32:01.00]-[0:32:03.00]  soy jornalero de todo.
[0:32:03.00]-[0:32:05.00]  Y albañil.
[0:32:05.00]-[0:32:07.00]  Y albañil también he sido un puñado de años también.
[0:32:07.00]-[0:32:09.00]  Ah, ¿sí? ¿Aquí mismo, en Doña Inés?
[0:32:09.00]-[0:32:11.00]  Aquí en Doña Inés, sí.
[0:32:11.00]-[0:32:13.00]  Yo aquí, en el 30 años de albañil.
[0:32:13.00]-[0:32:15.00]  ¿Fabricado usted casas o...?
[0:32:15.00]-[0:32:17.00]  Haciendo casas, arreglando casas, pues...
[0:32:17.00]-[0:32:19.00]  Sí, sí, lo he hecho todo.
[0:32:19.00]-[0:32:21.00]  ¿Qué es lo que mejor se le da de albañilería?
[0:32:21.00]-[0:32:23.00]  Se le daba bien.
[0:32:23.00]-[0:32:25.00]  ¿Se le daba bien?
[0:32:25.00]-[0:32:27.00]  Pues yo me hice albañil porque no me gustaba
[0:32:27.00]-[0:32:29.00]  la brasa con las bestias.
[0:32:29.00]-[0:32:31.00]  Mi hermano sí, pero yo no.
[0:32:31.00]-[0:32:33.00]  Pero eso me hice albañil.
[0:32:33.00]-[0:32:35.00]  ¿Es mejor vida?
[0:32:35.00]-[0:32:37.00]  Pues para mí sí.
[0:32:37.00]-[0:32:39.00]  Yo hoy todo el día...
[0:32:39.00]-[0:32:41.00]  Es que yo...
[0:32:41.00]-[0:32:43.00]  Sí.
[0:32:43.00]-[0:32:45.00]  Entonces yo digo ya...
[0:32:45.00]-[0:32:47.00]  Entonces mi hermano no hablaba ni yo, no.
[0:32:47.00]-[0:32:49.00]  Y ya después ya con los trastores, ya, amigo, esto ya...
[0:32:49.00]-[0:32:51.00]  Esto es gloria.
[0:32:51.00]-[0:32:53.00]  Claro.
[0:32:53.00]-[0:32:55.00]  Esto...
[0:32:55.00]-[0:32:57.00]  Acostumbrado, antes lo que hacíamos,
[0:32:57.00]-[0:32:59.00]  pero ahora te crees que va a montar en un coche.
[0:32:59.00]-[0:33:01.00]  Ah, claro.
[0:33:01.00]-[0:33:03.00]  Claro.
[0:33:03.00]-[0:33:05.00]  Y sí.
[0:33:05.00]-[0:33:07.00]  ¿Y sembrar, siembran trigo?
[0:33:07.00]-[0:33:09.00]  Trigo se va, avena,
[0:33:09.00]-[0:33:11.00]  centeno,
[0:33:11.00]-[0:33:13.00]  avena, de todo.
[0:33:13.00]-[0:33:15.00]  ¿El centeno y la avena más bien para las bestias?
[0:33:15.00]-[0:33:17.00]  Sí.
[0:33:17.00]-[0:33:19.00]  ¿El panizo tienen aquí?
[0:33:19.00]-[0:33:21.00]  Aquí el que tenía riego, sí.
[0:33:21.00]-[0:33:23.00]  Ah, el que tenía riego, ¿no?
[0:33:23.00]-[0:33:25.00]  Porque todo esto otro es...
[0:33:25.00]-[0:33:27.00]  Todos los demás no teníamos riego.
[0:33:27.00]-[0:33:29.00]  Ahí estaba el riego ahí abajo, había...
[0:33:29.00]-[0:33:31.00]  Claro, sí, teníamos.
[0:33:31.00]-[0:33:33.00]  Y ya está.
[0:33:33.00]-[0:33:35.00]  Y ahí tenían panizo.
[0:33:35.00]-[0:33:37.00]  Tomate, de todo.
[0:33:37.00]-[0:33:39.00]  Ahora hay más riego, ¿no?
[0:33:39.00]-[0:33:41.00]  Aquí no hay ninguno.
[0:33:41.00]-[0:33:43.00]  ¿No?
[0:33:43.00]-[0:33:45.00]  Se perdió el agua.
[0:33:45.00]-[0:33:47.00]  Sí, ¿por qué?
[0:33:47.00]-[0:33:49.00]  Pues se perdió, hicieron unos pozos ahí arriba en Coy,
[0:33:49.00]-[0:33:51.00]  pues se la llevaron y no hemos quedado sin agua.
[0:33:51.00]-[0:33:53.00]  ¿Los de Coy se la han llevado?
[0:33:53.00]-[0:33:55.00]  Sí.
[0:33:55.00]-[0:33:57.00]  ¿Por qué no vas a salir?
[0:33:57.00]-[0:33:59.00]  Claro, ¿cómo es que se la han llevado?
[0:33:59.00]-[0:34:01.00]  Porque hicieron unos pozos ahí,
[0:34:01.00]-[0:34:03.00]  más donde hay el nacimiento,
[0:34:03.00]-[0:34:05.00]  y entonces aquí como salía sola,
[0:34:05.00]-[0:34:07.00]  acabó.
[0:34:07.00]-[0:34:09.00]  ¿Y no les han denunciado?
[0:34:09.00]-[0:34:11.00]  Qué va.
[0:34:11.00]-[0:34:13.00]  Como esto como era...
[0:34:13.00]-[0:34:15.00]  Era de cuatro señoritos, ¿eh?
[0:34:15.00]-[0:34:17.00]  Y los señoritos pues ellos...
[0:34:17.00]-[0:34:19.00]  probaron.
[0:34:19.00]-[0:34:21.00]  Pero entonces no había como ahora que denuncia...
[0:34:21.00]-[0:34:23.00]  estamos, y entonces pues nada.
[0:34:23.00]-[0:34:25.00]  Pero hemos quedado sin agua y ya está.
[0:34:25.00]-[0:34:27.00]  Estamos bien.
[0:34:27.00]-[0:34:29.00]  ¿Y qué pasó, que los señoritos se arreglaron entre ellos?
[0:34:29.00]-[0:34:31.00]  Pues qué no, quisieron denunciar a la casa.
[0:34:31.00]-[0:34:33.00]  ¿A la caja?
[0:34:33.00]-[0:34:35.00]  Sí, a la caja de San Suroeste,
[0:34:35.00]-[0:34:37.00]  porque si me han denunciado,
[0:34:37.00]-[0:34:39.00]  la que nacía aquí no te han quedado.
[0:34:39.00]-[0:34:41.00]  Claro.
[0:34:41.00]-[0:34:43.00]  Pero no hicieron nada y nada por tu perdido.
[0:34:43.00]-[0:34:45.00]  ¿No quisieron?
[0:34:45.00]-[0:34:47.00]  ¿Eh?
[0:34:47.00]-[0:34:49.00]  ¿No quisieron?
[0:34:49.00]-[0:34:51.00]  La tierra entonces era de muy poca gente, ¿no?
[0:34:51.00]-[0:34:53.00]  ¿Eh?
[0:34:53.00]-[0:34:55.00]  La tierra era de cuatro señoritos.
[0:34:55.00]-[0:34:57.00]  Cuatro señoritos, ahí, esas.
[0:34:57.00]-[0:34:59.00]  Y como ha llevado a probar.
[0:34:59.00]-[0:35:01.00]  Ahora sí, las han vendido los señoritos a eso
[0:35:01.00]-[0:35:03.00]  y a tomar en partida.
[0:35:03.00]-[0:35:05.00]  Y ahora tenemos entre todos.
[0:35:05.00]-[0:35:07.00]  Ah, muy bien. ¿Aquí hay cooperativa?
[0:35:07.00]-[0:35:09.00]  Aquí no. La cooperativa yo mismo la uva la llevo a Buya,
[0:35:09.00]-[0:35:11.00]  a una cooperativa que hay.
[0:35:11.00]-[0:35:13.00]  A Buya.
[0:35:13.00]-[0:35:15.00]  Y la almendra la llevamos a Totala.
[0:35:15.00]-[0:35:17.00]  Otra cooperativa que hay.
[0:35:17.00]-[0:35:19.00]  ¿Almendra hay por aquí también?
[0:35:19.00]-[0:35:21.00]  Almendra sí, bastante. Yo creo que tengo también bastante.
[0:35:21.00]-[0:35:23.00]  ¿Y es buena?
[0:35:23.00]-[0:35:25.00]  Sí, buena.
[0:35:25.00]-[0:35:27.00]  ¿Y cómo, qué labor tiene la almendra?
[0:35:27.00]-[0:35:29.00]  Escarzando árboles.
[0:35:29.00]-[0:35:31.00]  Sufatarlo, que hay que sufatarlo
[0:35:31.00]-[0:35:33.00]  bastantes veces.
[0:35:33.00]-[0:35:35.00]  Porque luego cojo él y...
[0:35:35.00]-[0:35:37.00]  La máquina que la coge ahora, la misma máquina,
[0:35:37.00]-[0:35:39.00]  la va pelando y todo.
[0:35:39.00]-[0:35:41.00]  Ahora...
[0:35:41.00]-[0:35:43.00]  Un laborado es un señorito para otras veces.
[0:35:45.00]-[0:35:47.00]  Muy bien. ¿Y además de almendra se coge
[0:35:47.00]-[0:35:49.00]  algo más por ahí?
[0:35:49.00]-[0:35:51.00]  No, almendra. Almendra y la uva
[0:35:51.00]-[0:35:53.00]  y el grano.
[0:35:53.00]-[0:35:55.00]  Y ya está.
[0:35:55.00]-[0:35:57.00]  ¿Y eso? No, no, porque no hay riego, no hay fruta.
[0:35:57.00]-[0:35:59.00]  Aquí no tienen nada, ¿no? Lleva todo de fuera.
[0:35:59.00]-[0:36:01.00]  Sí.
[0:36:01.00]-[0:36:03.00]  Muy bien. Y plantas,
[0:36:03.00]-[0:36:05.00]  ¿eh? Otras plantas, flores...
[0:36:05.00]-[0:36:07.00]  No, no, aquí tampoco.
[0:36:07.00]-[0:36:09.00]  Muy bien.
[0:36:09.00]-[0:36:11.00]  Oiga, ¿y cuando era pequeño los animales
[0:36:11.00]-[0:36:13.00]  vivían dentro de las casas?
[0:36:13.00]-[0:36:15.00]  ¿O dónde? Sí, sí, los animales dentro de las casas,
[0:36:15.00]-[0:36:17.00]  claro. Sí, sí, pasaban
[0:36:17.00]-[0:36:19.00]  por las mismas casas, para dentro que estaban
[0:36:19.00]-[0:36:21.00]  en la habitación español.
[0:36:21.00]-[0:36:23.00]  Ah, ¿sí? Sí. En la propia casa...
[0:36:23.00]-[0:36:25.00]  los animales, sí.
[0:36:25.00]-[0:36:27.00]  Claro, porque es que
[0:36:27.00]-[0:36:29.00]  muchos que los dejaban fuera se los robaban.
[0:36:29.00]-[0:36:31.00]  Claro, creo.
[0:36:31.00]-[0:36:33.00]  Ah, sí, había... Llegaron a robar
[0:36:33.00]-[0:36:35.00]  que sabéis, más de una vez, bestias.
[0:36:37.00]-[0:36:39.00]  ¿Y quién las ha robado?
[0:36:39.00]-[0:36:41.00]  Pues los gitanos. ¿Gitanos había
[0:36:41.00]-[0:36:43.00]  por aquí? Sí.
[0:36:43.00]-[0:36:45.00]  ¿Sí? Es de una vez que robaron
[0:36:45.00]-[0:36:47.00]  dos pales de muras y las
[0:36:47.00]-[0:36:49.00]  encontraron en Castillón de la Plana.
[0:36:49.00]-[0:36:51.00]  Agárrate.
[0:36:51.00]-[0:36:53.00]  Esos se los llevaron a la infancia.
[0:36:53.00]-[0:36:55.00]  ¿Cómo sabían que eran esas? ¿Eh?
[0:36:55.00]-[0:36:57.00]  ¿Cómo sabían que eran esas? Hombre, con tanques
[0:36:57.00]-[0:36:59.00]  y todo lo que habló los almanicos
[0:36:59.00]-[0:37:01.00]  re hincharon.
[0:37:01.00]-[0:37:03.00]  ¿Ah, sí?
[0:37:03.00]-[0:37:05.00]  Ya no creo.
[0:37:05.00]-[0:37:07.00]  La limada se piso, vamos, pues darte cuenta.
[0:37:09.00]-[0:37:11.00]  Ya no creo. Sí, sí.
[0:37:11.00]-[0:37:13.00]  ¿Y en eso había
[0:37:13.00]-[0:37:15.00]  muchos robos por aquí? Sí, sí, había algunos, sí.
[0:37:15.00]-[0:37:17.00]  Sí, ya no creo. Sí, sí.
[0:37:17.00]-[0:37:19.00]  ¿Y si no los gitanos por aquí no
[0:37:19.00]-[0:37:21.00]  se asentaban? No, los gitanos no.
[0:37:21.00]-[0:37:23.00]  Aquí no, venían
[0:37:23.00]-[0:37:25.00]  de paso y tal, pero aquí no.
[0:37:25.00]-[0:37:27.00]  Sí.
[0:37:27.00]-[0:37:29.00]  ¿Y en las casas tenían conejos? Sí.
[0:37:29.00]-[0:37:31.00]  Con conejos y gallinas.
[0:37:31.00]-[0:37:33.00]  Ah, y gallinas también. Sí.
[0:37:33.00]-[0:37:35.00]  Eso en todas las casas. ¿Y cómo las cuidaban?
[0:37:35.00]-[0:37:37.00]  Pues lo echamos en el chándalos de granos o en el chándalos
[0:37:37.00]-[0:37:39.00]  de comas eh. Pues los conejos igual,
[0:37:39.00]-[0:37:41.00]  chándalos de comas eh, pues va.
[0:37:41.00]-[0:37:43.00]  Sí.
[0:37:43.00]-[0:37:45.00]  ¿Y las gallinas luego? ¿Eh?
[0:37:45.00]-[0:37:47.00]  ¿Las gallinas para...? Como para poner guapos,
[0:37:47.00]-[0:37:49.00]  para la casa.
[0:37:49.00]-[0:37:51.00]  ¿Y las mataban también para
[0:37:51.00]-[0:37:53.00]  comer o no? Sí, también, claro,
[0:37:53.00]-[0:37:55.00]  cuando las gallinas ya no ponían,
[0:37:55.00]-[0:37:57.00]  pues esas, un se vendía, un se mataba.
[0:37:57.00]-[0:37:59.00]  ¿Y cómo se guisa una gallina?
[0:37:59.00]-[0:38:01.00]  ¿Eh? ¿Cómo se guisa una gallina?
[0:38:01.00]-[0:38:03.00]  ¿Con qué se puede hacer?
[0:38:03.00]-[0:38:05.00]  ¿Con qué se guisa? Pues en todos los guisados, vale.
[0:38:05.00]-[0:38:07.00]  ¿Sí? En todos, sí, sí.
[0:38:07.00]-[0:38:09.00]  Para todos los guisados, vale.
[0:38:09.00]-[0:38:11.00]  ¿Y el conejo?
[0:38:11.00]-[0:38:13.00]  El conejo por lo mismo.
[0:38:13.00]-[0:38:15.00]  Para hacer las rodas, para guisar
[0:38:15.00]-[0:38:17.00]  guisajos, para hacer patatas
[0:38:17.00]-[0:38:19.00]  fritas con conejos, para hacer fritas con conejos,
[0:38:19.00]-[0:38:21.00]  pues todo eso.
[0:38:21.00]-[0:38:23.00]  ¿Y qué se guisajo?
[0:38:23.00]-[0:38:25.00]  ¿Eh? ¿Qué se guisajo?
[0:38:25.00]-[0:38:27.00]  ¿Cómo? Guisajo ha dicho usted que...
[0:38:27.00]-[0:38:29.00]  Guisao, guisao. Ah, guisao, está muy bien.
[0:38:29.00]-[0:38:31.00]  Muchas gracias.
[0:38:31.00]-[0:38:33.00]  Sí.
[0:38:33.00]-[0:38:35.00]  Hola, pobres.
[0:38:35.00]-[0:38:37.00]  Pues vaya, vaya a leer el libro aquí.
[0:38:37.00]-[0:38:39.00]  Sí, claro.
[0:38:39.00]-[0:38:41.00]  No contra esto, esto sí te unteo, sí.
[0:38:41.00]-[0:38:43.00]  Por eso nos interesa... Y tú no sabes de la
[0:38:43.00]-[0:38:45.00]  gente.
[0:38:45.00]-[0:38:47.00]  No, que claro.
[0:38:47.00]-[0:38:49.00]  ¿Y las gallinas daban pollos también?
[0:38:49.00]-[0:38:51.00]  ¿Eh? ¿Las gallinas daban pollos?
[0:38:51.00]-[0:38:53.00]  Claro, que también decían,
[0:38:53.00]-[0:38:55.00]  los huevos,
[0:38:55.00]-[0:38:57.00]  que decían cloca, la cloca, que es la gallina,
[0:38:57.00]-[0:38:59.00]  eh,
[0:38:59.00]-[0:39:01.00]  pues los calentados, los empollados, como se decía,
[0:39:01.00]-[0:39:03.00]  y ahí salían los pollos, pequeños.
[0:39:03.00]-[0:39:05.00]  Y salían gallinas y pollos.
[0:39:05.00]-[0:39:07.00]  Pero para eso
[0:39:07.00]-[0:39:09.00]  hay que tener un gallo ¿no? Sí, hay que tener gallos.
[0:39:09.00]-[0:39:11.00]  Si no tienen gallos, no valen los huevos
[0:39:11.00]-[0:39:13.00]  para hacer pollo.
[0:39:13.00]-[0:39:15.00]  ¿Por qué hay que tener un gallo? Sí, sí, claro.
[0:39:15.00]-[0:39:17.00]  ¿Por qué hay que tener un gallo? ¿Eh?
[0:39:17.00]-[0:39:19.00]  ¿Por qué hay que tener un gallo? Un pozo que
[0:39:19.00]-[0:39:21.00]  es macho, las pillaba,
[0:39:21.00]-[0:39:23.00]  y si no pillaban las gallinas,
[0:39:23.00]-[0:39:25.00]  el huevo no saca pollo, no vale.
[0:39:25.00]-[0:39:27.00]  Ah, pero las gallinas ponen
[0:39:27.00]-[0:39:29.00]  huevos, no hay amas.
[0:39:29.00]-[0:39:31.00]  Sí, sí, ellas ponen con gallinas machos, pero no tiene
[0:39:31.00]-[0:39:33.00]  no tiene pollo.
[0:39:33.00]-[0:39:35.00]  Ah. Tienes que tener machos
[0:39:35.00]-[0:39:37.00]  porque salgan los pollos. ¿Y qué había que hacer
[0:39:37.00]-[0:39:39.00]  para que las gallinas tuvieran huevos? ¿Eh?
[0:39:39.00]-[0:39:41.00]  Pues le dicen, pues echárate de comer
[0:39:41.00]-[0:39:43.00]  y ya está.
[0:39:43.00]-[0:39:45.00]  ¿Y le echaban de comer salvado también?
[0:39:45.00]-[0:39:47.00]  Sí, salvado, sí,
[0:39:47.00]-[0:39:49.00]  y grano, y...
[0:39:49.00]-[0:39:51.00]  Y entonces,
[0:39:51.00]-[0:39:53.00]  ¿y después, cuando salía el pollito,
[0:39:53.00]-[0:39:55.00]  qué hacían ustedes con él?
[0:39:55.00]-[0:39:57.00]  Pues los pollos pues los que creaban, los que se iban haciendo grandes.
[0:39:57.00]-[0:39:59.00]  A lo mejor salían
[0:39:59.00]-[0:40:01.00]  6, 10, 12, salían 4, 5 pollos,
[0:40:01.00]-[0:40:03.00]  y los otros eran pollo, gallinas.
[0:40:03.00]-[0:40:05.00]  ¿Y era muy difícil criarlos?
[0:40:05.00]-[0:40:09.00]  No, no, no.
[0:40:09.00]-[0:40:11.00]  Si la madre misma los creaba.
[0:40:11.00]-[0:40:13.00]  Los llamaba para que comieran allí.
[0:40:13.00]-[0:40:15.00]  ¿Las gallinas clocas no se esconden?
[0:40:15.00]-[0:40:17.00]  ¿Eh?
[0:40:17.00]-[0:40:19.00]  ¿Las gallinas clocas no se esconden?
[0:40:19.00]-[0:40:21.00]  ¿Se esconden?
[0:40:21.00]-[0:40:23.00]  Sí, sí, sí.
[0:40:23.00]-[0:40:25.00]  Sí, ¿por qué?
[0:40:25.00]-[0:40:27.00]  Porque están, los clocas están...
[0:40:27.00]-[0:40:29.00]  Sí.
[0:40:29.00]-[0:40:31.00]  ¿Ponen clocas y pierden la cabeza?
[0:40:31.00]-[0:40:33.00]  Sí, sí, sí.
[0:40:33.00]-[0:40:35.00]  ¿Ponen clocas y pierden la cabeza?
[0:40:35.00]-[0:40:37.00]  No pierden la cabeza porque
[0:40:37.00]-[0:40:39.00]  es una cosa que hay así que...
[0:40:39.00]-[0:40:41.00]  Si ponen clocas los animalicos y hasta
[0:40:41.00]-[0:40:43.00]  no se va la cloquera, pues la verdad.
[0:40:43.00]-[0:40:45.00]  Mejor va a estar en algo y te
[0:40:45.00]-[0:40:47.00]  para rato ponen la titiera en la pista y no
[0:40:47.00]-[0:40:49.00]  se quita.
[0:40:49.00]-[0:40:51.00]  ¿Ah, sí?
[0:40:51.00]-[0:40:53.00]  Claro que sí.
[0:40:53.00]-[0:40:55.00]  ¿Y luego cuánto tarda en salir el pollo?
[0:40:55.00]-[0:40:57.00]  ¿Pollo? No sé lo que tardaba.
[0:40:57.00]-[0:40:59.00]  ¿No hay 45 días?
[0:40:59.00]-[0:41:01.00]  ¿Eh?
[0:41:01.00]-[0:41:03.00]  ¿21 días?
[0:41:03.00]-[0:41:05.00]  Sí.
[0:41:05.00]-[0:41:07.00]  ¿Qué hace el pollo el día
[0:41:07.00]-[0:41:09.00]  señor Kichiro Kruka ya antes?
[0:41:09.00]-[0:41:11.00]  Pues nada.
[0:41:11.00]-[0:41:13.00]  ¿Y qué festividades tenían aquí
[0:41:13.00]-[0:41:15.00]  en Doña Inés?
[0:41:15.00]-[0:41:17.00]  ¿Qué celebraban?
[0:41:17.00]-[0:41:19.00]  ¿Celebraban de qué?
[0:41:19.00]-[0:41:21.00]  ¿Fiestas?
[0:41:21.00]-[0:41:23.00]  ¿Fiestas?
[0:41:23.00]-[0:41:25.00]  Sí.
[0:41:25.00]-[0:41:27.00]  El día del viejo de septiembre ha sido siempre la fiesta de aquí.
[0:41:27.00]-[0:41:29.00]  Ahora en mayo lo han
[0:41:29.00]-[0:41:31.00]  hecho.
[0:41:31.00]-[0:41:33.00]  No estaba viendo la gente a Francia,
[0:41:33.00]-[0:41:35.00]  mucha, entonces venían de vacaciones
[0:41:35.00]-[0:41:37.00]  y si no se hacían septiembre la gente se había ido.
[0:41:37.00]-[0:41:39.00]  Entonces la cambiaron en mayo
[0:41:39.00]-[0:41:41.00]  y estaba la gente, todo el que iba a Francia por ahí.
