[0:00:00.00]-[0:00:04.80]  Bueno pues, ya le hemos dicho, queríamos saber cómo era la vida de antes.
[1:14:03.08]-[1:14:17.08]  el pueblo y este pueblo con otros y otros con este, comunicado por medio de caminos, como se le llama caminos peatonales, caminos para ir con animales,
[1:14:17.08]-[1:14:36.08]  gente caminando, pero carreteras no, pero esa era toda la isla, en los años 40 y pico abrieron la primer carretera frontera,
[1:14:36.08]-[1:14:54.08]  la primer carretera que bajo derecho a Mereci, o entre Mereci lo habían ellos, se llama Artero, esa carretera me acuerdo yo, que claro que por eso es que les quería decirles,
[1:14:54.08]-[1:15:06.08]  que entonces en aquel momento todas las casas estaban necesitadas, pero una casa con mi padre, con la cantidad de hijos que tenía, todo lo que le daba a casa era poco,
[1:15:06.08]-[1:15:20.08]  y entonces él, un hombre trabajador, él agarraba por todo lo que podía, siempre que fuera para adquirir algo para la casa, él agarraba por todo,
[1:15:20.08]-[1:15:33.08]  él sembraba, recogía, se criaban animales, aunque los animales éramos más bien nosotros, mis hermanos y yo que los cuidábamos,
[1:15:33.08]-[1:15:47.08]  pero él trabajó también en la carretera que bajaba para frontera, bueno, los tumiaba, se llamaba, se decía, dice que me van a dar una quincema, quince días de trabajo,
[1:15:47.08]-[1:16:03.08]  bueno pues esa gente, nosotros cambiamos en una época del año a frontera por la cuestión de los animales, más que nada buscando la amanteción de los animales,
[1:16:03.08]-[1:16:20.08]  vivíamos en el Pierrico, allá al final, y él salía de allá de noche caminando para ir a amanecer arriba, no a la cumbre, pero sí arriba bastante alto para trabajar,
[1:16:20.08]-[1:16:34.08]  trabajaba hasta la noche, porque se trabajaba de sol a sol, y ahí soltaba después y volvía a ir caminando por Pierrico, que la vida entonces era muy sacrificada,
[1:16:34.08]-[1:16:49.08]  claro, la carretera, la primer carretera que abrieron a frontera fue por allí, que yo recuerdo, la primera, y después ya las vieron en la plaza de Candelaria,
[1:16:49.08]-[1:17:05.08]  ¿Y qué le voy a decir? ¿Nos han contado alguna ocasión que la gente de los pueblos de aquí tenía tierras en frontera, porque la frontera era la parte más fértil, con más agua, o era como…
[1:17:05.08]-[1:17:25.08]  No, era que la gente… O sea, hacían como… tenían cultivos diferentes en las dos partes… Teníamos cultivos diferentes, pero más que nada era, ya le dije, buscando la forma, el bienestar de los animales,
[1:17:25.08]-[1:17:39.08]  digiéramos, la comida de los animales. Frontera, ¿ya ven lo pequeña que es? Yo recuerdo cuando frontera, en algunas épocas del año, sobre todo en el verano,
[1:17:39.08]-[1:17:58.08]  se trasladaba gente de todas partes de la isla. De Valverde se mudaba una cantidad de gente a frontera, por un tiempo, por un par de meses. De El Pinar, de aquí, de San Andrés,
[1:17:58.08]-[1:18:15.08]  abajo tenía… Cada pueblo de los de aquí tenía en su parte ya asignada para vivir. El pueblo de San Andrés, después había algunos en medio, pero pocos.
[1:18:15.08]-[1:18:33.08]  El pueblo de San Andrés se situaba en todos los llanillos. En frontera estaban los llanillos y ya está. El pueblo de aquí de Isola, sobre todo, era Vergara.
[1:18:33.08]-[1:18:50.08]  Y después, en algunas partes del golfo también, el pueblo de El Pinar, las tocas, ahí subiendo la crocanta hacia arriba. Y la gente que iba abajo,
[1:18:50.08]-[1:19:04.08]  tenía abajo unas propiedades, unas más, otras menos. Se aprovechaba algunos pactos para el ganado. Mientras comían aquello se los robaba aquí para traerlos aquí.
[1:19:04.08]-[1:19:21.08]  En el invierno, la gente se trabajaba abajo con los animales, aprovechaba lo que tenían allí, hacían algunas labores, cagaban la viña para darla,
[1:19:21.08]-[1:19:38.08]  plantar papas, juguías, en fin. Y entonces era que se necesitaba lo que teníamos abajo y lo que teníamos aquí para poder sobrevivir.
[1:19:38.08]-[1:19:57.08]  ¿Y tenían casa allí también? Sí. Mi padre tenía, primeramente, casa abajo y aquí no. Aquí se mudaba casa alquilada. Pero luego después ya tuvo casa en las dos partes.
[1:19:57.08]-[1:20:12.08]  Pero esto era muy frecuente, ¿no? ¿Qué era frecuente tener casa en los dos sitios? En los dos sitios, sí, sí, sí. No serían buenas, pero una mayor parte de la gente que se trasladaba tenía casa en las dos partes.
[1:20:12.08]-[1:20:29.08]  Lo que ha pasado es que después hubo una época que Frontera se abandonó. La gente después se dio cuenta que eso para abajo y para arriba, no. La gente de Valverde por lo menos vendieron casi todo lo que tenían abajo.
[1:20:29.08]-[1:20:45.08]  Y eso ahora en San Andrés se aguantó más. Entonces ahora hay una parte de vecinos, no muchos, hubieron más que los que hay en este momento, de vecinos de aquí, de este pueblo, viviendo abajo.
[1:20:45.08]-[1:20:57.08]  Y San Andrés, la gente mayor, todos van a parar a los de Anay Lhosa, terminan su vida abajo. Entonces se estabilizan abajo.
[1:20:57.08]-[1:21:03.08]  ¿Por qué? ¿Porque el clima es mejor o por qué? ¿Porque el clima es mejor?
[1:21:03.08]-[1:21:31.08]  Bueno, sí, es más caliente, más al gusto de cada uno. No, abajo es menos frío que aquí. A mí la temperatura de allí, sobre todo en el verano, no me gusta. No me ha gustado nunca Frontera, me gusta más aquí. Pero reconozco que sí, que para personas mayores, aquello abajo no es tan frío como esto ahora en los meses de invierno.
[1:21:31.08]-[1:21:34.08]  Sí.
[1:21:34.08]-[1:21:37.08]  ¿Y el agua? ¿Cómo hacían antiguamente con el agua?
[1:21:37.08]-[1:21:38.08]  ¿Con el agua?
[1:21:38.08]-[1:21:40.08]  Sí, ¿de dónde sacaban el agua?
[1:21:40.08]-[1:22:08.08]  Con el agua se pasó mucho. Aquí había una pequeña cantidad de agribus, depósito de agua, que daban agua mientras llovía. Mientras llovía, si pasaba un mes sin llover, los meses de invierno, luego llovía y recuperaban la que se había ido sacando.
[1:22:08.08]-[1:22:29.08]  Pero cuando llegaba el verano, que no llovía, la mayor parte de las casas se quedaban sin agua. Y Sola tenía una fuente, y la tiene. Ya no, no mala no producir la cantidad que producía, pero hubo una época que daba bastante agua y buena.
[1:22:29.08]-[1:22:44.08]  Y entonces cuando llegaba el verano, se ponía un señor, lo nombraba al alcalde Pedáñez del pueblo, para que controlara el agua, tantos litros de agua por casa de familia.
[1:22:44.08]-[1:22:59.08]  Entonces había veces que decía, bueno pues, un garrafón de agua para una casa de familia, lo que se conoce por un garrafón son 16 litros.
[1:22:59.08]-[1:23:15.08]  Tenía que arreglársela en una casa de familia, para beber, para hacer de comer, para lavarse, para que fuera poco, y los animales era el problema.
[1:23:15.08]-[1:23:30.08]  Entonces, hubo el año 46, hasta el 49, hasta el primero del 49, fue un desastre aquí.
[1:23:30.08]-[1:23:47.08]  Fueron tres años ahí seguidos de sequía, se iba a los pozos, y aquí se iba con un burro a traer dos garrafones de agua, 32 litros, al puerto de Tejimiraca, casi al puerto de Las Tacas.
[1:23:47.08]-[1:24:01.08]  Y un señor, que por cierto tenía la casa aquí, aquí detrás de la mía, un poquito ahí, ya murió, hace como dos años que murió, que eso es increíble.
[1:24:01.08]-[1:24:15.08]  Eso a la gente de hoy, la gente joven, se le dice, y no lo cree que eso me ocurrió, pero yo lo cuento como verdad, porque lo vi, lo vi y sé que...
[1:24:15.08]-[1:24:37.08]  salió de aquí con un garrafón, en una mochila, en una talera se le llama aquí, un garrafón de 16 litros de agua, vacío, y fue, a riesgo que se nombrara el camino de Hinama.
[1:24:37.08]-[1:24:47.08]  El camino de Hinama, abajo a medio camino, casualmente se considera a mitad del risco del monte.
[1:24:47.08]-[1:24:59.08]  Hay una fuente que creo que ya no maná, se le llama la Fuente de Tiencos, y allí aquel año todavía la fuente manaba, y la gente iba a hacer cola.
[1:24:59.08]-[1:25:16.08]  Yo al llegar, y pues está aquí con su garrafón, yo estoy más como aquí, pero estoy aquí por su. Y después había cantidad de gente, no había dejado agua ninguna en casa para las mujeres, y un hijo que tenía,
[1:25:16.08]-[1:25:34.08]  de guadí, se puso en cola con el garrafón vacío, y tenía mucha gente alante, iba llenando el que le iba tocando, se iba niando hielo, se había ido por la tarde y oscureció,
[1:25:34.08]-[1:25:49.08]  llegó las tantas de la noche y el cinto caliente. Carró otra vez por el garrafón vacío, lo metió en la talera, en la mochila, se lo puso a las espaldas, pasó por aquí, por la casa, no entró en casa,
[1:25:49.08]-[1:26:02.08]  para no traer agua no entró en casa, fue a Tengiraki, al río del mar, llenó el garrafón de agua, se lo puso a las espaldas y para casa con él.
[1:26:02.08]-[1:26:07.08]  ¿Cuántos kilómetros haría? ¿Cuántos kilómetros haría este hombre?
[1:26:07.08]-[1:26:34.08]  No, tenía que haber hecho como mínimo 18 o 20 kilómetros. Y hubo otro señor, que con los años malos, los vehículos que había para el trabajo de la casa eran los burros,
[1:26:34.08]-[1:26:50.08]  los burros con la poca comida y el mucho trabajo, se agotaron los animales. Hubo un señor que ya murió, vivía ahí más arriba, llegó allí al centro del pueblo,
[1:26:50.08]-[1:27:05.08]  el burro venía con dos garrafones de agua, ese camino se hacía casi de noche, yo era un muchacho y fui mucho a buscar agua con un burro y el hombre llegó allí con el burro,
[1:27:05.08]-[1:27:18.08]  el burro venía entregado desmayado, traía dos garrafones, lo descargó porque vio que no le iba a llegar a casa, lo descargó, lo echó alante de él sin garrafones y nada,
[1:27:18.08]-[1:27:30.08]  él con un garrafón al hombro, para ir a casa a dejar el burro y el garrafón y volver por el otro garrafón, cuando volvió por el otro garrafón, ya no lo había llevado.
[1:27:30.08]-[1:27:49.08]  Porque alguien que lo estaba mirando, un garrafón de agua, en aquel momento era una fortuna y entonces, ahora llegaba uno con dos garrafones de agua, 32 litros, donde tenía una cuadra de vaca,
[1:27:49.08]-[1:28:02.08]  en fin, nosotros vimos unos que al final los trasladamos a fronteras y de el pierisco llevábamos las vacas a beber al pozo del Agua Nueva, porque abajo si había agua,
[1:28:02.08]-[1:28:24.08]  abajo si había agua, en aquel momento, que después eso mejoró, que una familia, unos hermanos, estaban en Las Palmas, llamaban los Villarreales, montaron después un molino, un motor,
[1:28:24.08]-[1:28:40.08]  montaron el pozo del Agua Nueva, no había entonces sino un solo pozo, abajo donde gastar agua, después cuando llegó el plantillo de plátanos y piñas y tal, el que no había estos pozos,
[1:28:40.08]-[1:28:58.08]  pero entonces para gastar agua al público había un solo pozo y entonces montaron un motor fuerte, ahí plantaron de momento caña dulce, caña de azúcar y la molían por medio del motor,
[1:28:58.08]-[1:29:13.08]  sacaban agua y a las casas que no había gasoil para los motores de los molinos de gofio, que entonces se molían mucho gofio, la gente vivía de eso,
[1:29:13.08]-[1:29:30.08]  y entonces tuvieron que los molinos de gofio trasladarlos allí, el motor ese bombeaba agua, molía la caña y movía los molinos de gofio y entonces nosotros fuimos unos
[1:29:30.08]-[1:29:45.08]  y mucha gente sobre todo de la parte norte se trasladaron a fronteras y llevaban a una vaca a beber allí al pozo, se daban agua allí para las vacas,
[1:29:45.08]-[1:30:05.08]  porque las casas de agua, los animales estaban sin beber y entonces bueno, pues esa fue la vida que hubo que llevar, que por eso que yo les repito otra vez,
[1:30:05.08]-[1:30:19.08]  que yo la vida que llevamos ya unos años, que todos éramos satisfechos de ella, aunque no sea tan buena, pero para que pasamos entonces.
[1:30:22.08]-[1:30:30.08]  ¿Y usted ha pescado alguna vez? ¿Ha ido al mar a sacar?
[1:30:30.08]-[1:30:48.08]  ¿A pescar? Sí, pero mire, esto de la pesca, yo ahora muchas veces la gente joven que nunca he criado animales, yo digo los crían porque oigan decir que se crían
[1:30:48.08]-[1:31:09.08]  pero no saben nada sobre eso ni hacen por saber, bueno a mí me pasa igual, el asunto de la pesca, yo fui a pescar porque me dijeron que sí que se pescaba, entonces yo una vez iba a las playas,
[1:31:09.08]-[1:31:21.08]  donde está el parador del Zirín, iba a coger morcigos y un primo de mi mujer, que por cierto él vive en frontera, ella estuvo aquí y me dijo,
[1:31:21.08]-[1:31:39.08]  dígame las cañas de tu suero que voy derecho abajo para ir a pescar, hay un tipo de pez, se le llama alpunchiño, que se pesca de noche, dice vamos para ahí,
[1:31:39.08]-[1:31:54.08]  vamos para ir a pescar alpunchiño, pero hay que buscar la carnada para pescarlos, se le pone otro pedazo de la carnada de los demás peces, incluso de ellos mismos, ellos comen de ellos mismos.
[1:31:54.08]-[1:32:16.08]  Y bueno yo me fui y él se equivocó en la hora de ir y tardó en ir, mi mujer, el padre pescó bastante, siempre pescaba, tenía hasta un barquito y mi mujer del mar conocía algo,
[1:32:16.08]-[1:32:29.08]  yo no conocía nada, yo el mar lo había visto de lejos, ya que el día llegué se escogieron unos bichitos que hay en los candres, se les llama araña, que hay en la playa,
[1:32:29.08]-[1:32:43.08]  abajo las piedras para pescar, sobre todo viejas, y él llegó y me dijo, mira por ahí para abajo mi padre se mentía a coger la araña para pescar,
[1:32:43.08]-[1:32:58.08]  yo entré también, vi araña a montones pero no cogía una, al fin, que eso se le da vuelta la piedra, yo estando abajo la piedra, se le da vuelta la piedra,
[1:32:58.08]-[1:33:15.08]  se ajunta las manos y la que venga aquí, y acerté a coger, bueno, cogí como, no se me ha olvidado, como unas 12 arañas, ayer me dice mi mujer, por aquí solía pescar mi padre,
[1:33:15.08]-[1:33:41.08]  yo tengo un hijo, yo tuve tres hijos, pero el más viejo murió, murió cuando tenía 40 años, y tengo un hijo que tiene 50, va a cumplir 57 años,
[1:33:41.08]-[1:33:58.08]  no, va a cumplir 58 en diciembre, yo lo llevo a 30, y ya no ha sido, era pequeño, cuando yo pedí ir al mar,
[1:33:58.08]-[1:34:13.08]  y llego, y noto que algo estaba halando por la caña, y cogí una viejita, una viejita chiquita, una viejita pequeñita, yo nunca se me ha olvidado,
[1:34:13.08]-[1:34:31.08]  cogí, mi hijo se llama, digo cogí una vieja, después cogí otro pejito allí, y ahí llegó después el primo de mi mujer, yo cuando me equivoqué, la marea, la baja mar,
[1:34:31.08]-[1:34:46.08]  creí que era más tarde, y para coger, unas arañas para coger, digo mira, yo cogí esto aquí, una viejita y un pejito, otro pejito pequeño,
[1:34:46.08]-[1:35:01.08]  dice, no, ya tenemos carnada con eso, y que se yo, pero miren, peor al mar, se puso un mar malo, que tuvimos que salir de allí, estamos allí en un rancho,
[1:35:01.08]-[1:35:17.08]  y nos quedamos él, mi mujer y yo, teniendo las penas a mi, que le faltó para que una ola lo levantara, que se lo pusiera la gomera, y bueno, ya después, me entró como,
[1:35:17.08]-[1:35:31.08]  más bien con él, después otro día me dijo él, vamos palmar, y tal, yo más bien por darle compañía, pero después ya me entró fiebre por ir, me gustaba peirar,
[1:35:31.08]-[1:35:48.08]  y con todo que yo, ni entonces, ni nunca quería abandonar mis obligaciones por ir palmar, pero iba, bueno, estuve de todo, estuve días buenos, días malos,
[1:35:48.08]-[1:36:01.08]  porque yo le decía a Mariana que ya me iba entonces al mar, ya que cuando yo fui, diciendo lo que es, no yo, cualquiera no iba al mar por necesidad,
[1:36:01.08]-[1:36:15.08]  era por lo que era, creo, una satisfacción, el pasar un día de otra manera, pero en algunas épocas la gente iba al mar por obligación,
[1:36:15.08]-[1:36:27.08]  si traía un pescadito, traía un marisco, hacían una sopa, era algo que se ha falta en casa, ya cuando yo fui nadie estaba en esa situación,
[1:36:27.08]-[1:36:39.08]  en la necesidad de ir al mar por decir, por traer un kilo de pescado y eso, pero yo fui, estuve de todo, que yo le había de decir a gente que le han ido,
[1:36:39.08]-[1:36:49.08]  que le han estrenado, que no cogieron, nunca le pasó eso, pues al poco sí, pero también algunas veces, pero claro, cuando ya empecé,
[1:36:49.08]-[1:37:01.08]  ya con años ya de edad, después yo no dejaba de hacer mis cosas por ir, y ya mientras tanto me puse viejo y ya no fui más a pescar,
[1:37:01.08]-[1:37:16.08]  estuve yendo un tiempo con mi hijo, el más viejo que tengo, que tuvo un tiempo que iba, y ahora tengo un nieto que tiene un barco para pescar,
[1:37:16.08]-[1:37:31.08]  sí, profesional. Y cuéntenos de su mujer, cómo se hicieron novios, cómo eran los noviados en aquella época y las pocas.
[1:37:31.08]-[1:37:48.08]  Eso parece mentira, que el ser novio, el saber que el hombre es para mujer y la mujer para hombre, eso no hay que hacer estudios,
[1:37:48.08]-[1:38:03.08]  porque entonces era más fácil que ahora, era más fácil por el que un hombre tuviera novia o una mujer tuviera un novio,
[1:38:03.08]-[1:38:21.08]  era más fácil por varios sentidos, una porque el hombre entonces, y yo me repiero los de mi edad, éramos con todo el respeto más activos para las mujeres,
[1:38:21.08]-[1:38:33.08]  estábamos más pendientes de las mujeres que los hombres de hoy, sí, hoy lo hacen de una manera distinta las relaciones, las relaciones,
[1:38:33.08]-[1:38:49.08]  uno con el otro y así, en aquel entonces eran los bailes, en los pueblos había bailes, por lo menos los domingos y días festivos era la estuera fiesta,
[1:38:49.08]-[1:39:05.08]  y veces que había por la tarde y por la noche, y bueno, y ahí con todo el respeto a la mujer, la mujer al hombre, ahí los bailes se bailaba, se hablaba,
[1:39:05.08]-[1:39:20.08]  porque dicen, dicen y creo que había sido así, en una época antes que yo, a mí me han dicho que los novios de las hijas se los buscaba,
[1:39:20.08]-[1:39:36.08]  y de los sí, se las buscaban los padres, que llegaban y decían, mira, Fulanita tiene casa, como te hubiera un pajero, dice Fulanita,
[1:39:36.08]-[1:39:55.08]  mira Fulanita es un hombre trabajador y tal, y ellos lo iban acotellando, no, cuando yo eso ya no existía, y uno iba a los bailes, bailaba, a las fiestas, hablaba,
[1:39:55.08]-[1:40:10.08]  después en algunos momentos, aunque algunos padres no lo aceptaban, con mucho gusto, pero se acompañaba una chica, Piva Nidafe,
[1:40:10.08]-[1:40:25.08]  a pasturiar a sus cabras, pero cuando venía para casa, aquí viene Fulanita, había hijos en ella, se acompañaba, o se iba a la fuente, se iba tal,
[1:40:25.08]-[1:40:41.08]  pues se casaban. ¿Y era difícil casarse? ¿Era difícil casarse? No, uno aceptando los momentos en que estábamos y las facilidades que había,
[1:40:41.08]-[1:41:04.08]  que eran ninguna, mire, yo diría que más difícil que a mí, no se le haría a nadie, yo llegué y a los 19 años decidí casarme, tenía yo 19 y mi mujer también,
[1:41:04.08]-[1:41:26.08]  éramos de la misma edad, y yo no tenía nada que iba a tener, mis padres no me podían ayudar porque no tenían tampoco, mis suedros tampoco,
[1:41:26.08]-[1:41:42.08]  entonces yo estaba en una frontera en el invierno, en estos meses, yo nunca había ganado nada, nunca había trabajado nada,
[1:41:42.08]-[1:41:56.08]  que no tenía nada para eso, yo digo, tenía 19 años, aparte que yo, trabajaba para su padre, pero no trabajaba para su madre, no, no trabajaba para la casa nada más,
[1:41:56.08]-[1:42:14.08]  dar un sueldo, pues los tenía, cuidaba con ellos, y mis suedros, los padres de mi mujer, pasaba igual, o yo diría que peor, y entonces,
[1:42:14.08]-[1:42:30.08]  el trajito, dio un trajito porque no era cosa buena, y los zapatos que mi mujer llevó cuando se casó, se los compré yo con los suelditos que estaba ganando,
[1:42:30.08]-[1:42:50.08]  mi suero tenía dos vacas en casa, él estaba para irse para Venezuela, y se fue, y cuando yo fui a contar con ellos, quería casar con la hija,
[1:42:50.08]-[1:43:04.08]  me dijo mi suero, mira, yo tengo dos vacas, no se me ha olvidado la relación que me hizo, era la correcta, yo, lo que usted quiera, si quieren, les doy una vaca,
[1:43:04.08]-[1:43:20.08]  para que la criáramos, para que pudiéramos vivir, dice, si no la venden, y con lo que le dan por la vaca, compran algo que poner en la bondi, vamos a los árboles, vamos a vivir,
[1:43:20.08]-[1:43:38.08]  y yo me fui a mi suero, arriba de la casa de ellos, yo decidí que quería la vaca en vez de venderla, aunque no estuviéramos, bueno, pues, fue un sacrificio,
[1:43:38.08]-[1:44:01.08]  compramos un ropero, un roperito, compramos una cama, y después, una mesita, donde comer, la hice yo de un cajón, que yo no se clavaron un clavo, pero en aquel momento,
[1:44:01.08]-[1:44:17.08]  yo no me quise la mesa, de otro cajón hice dos banquitos, y claro, y más nada, y después a trabajar, y a vivir con sacrificios, mi mujer fue muy trabajadora,
[1:44:17.08]-[1:44:34.08]  y yo por lo mismo, trabajaba bastante, a los 10 meses de casado, tuve el primer hijo, y me fui yo para el cuartel, los 3 días de masito, me fui,
[1:44:34.08]-[1:44:52.08]  volví a casa a los 6 meses, me volví otra vez a ir, donde llevaba 6 meses de servicio, vine aquí, estuve un mes aquí, me volví a ir y regresé, después de los 2 años y pico,
[1:44:52.08]-[1:45:10.08]  tuve, cuando me licencié, y haciendo sacrificios, pero diciendo lo que es, la, el viaje a Venezuela, me cambió mucho la vida, yo no de él trabajar,
[1:45:10.08]-[1:45:25.08]  yo seguí trabajando lo mío, criando animales, sembrando, recogiendo, pero claro, trabajar en terrenos ajenos, a trabajar en terrenos propios,
[1:45:25.08]-[1:45:28.08]  Claro, porque consiguió un dinero para comprar,
[1:45:28.08]-[1:45:42.08]  Yo compré, yo pues, bueno lo más que conocía, bueno decir, yo vivía en Tenerife, y por mediación, un señor conocido allí, un vecino de aquí que se había ido a vivir allá,
[1:45:42.08]-[1:45:55.08]  yo me capriché en Juchón de Tenerife, comprar una pensión, pero era difícil, no habían pensiones en venta, y las que habían tenían problemas de algo,
[1:45:55.08]-[1:46:03.08]  y bueno, vine para aquí, ya yo había comprado un poco de terreno, y después compré otros pedazos más,
[1:46:03.08]-[1:46:17.08]  en aquel momento yo no había traído mucho dinero, pero pues si, daba por un poco, pues hice, que asusten de meterlo, y en fin,
[1:46:17.08]-[1:46:38.08]  y ahí pues, he ayudado a mis hijos a lo que ha podido, yo aparte de ya el trabajo, como le digo, de mis animales, y sembrar y recoger,
[1:46:38.08]-[1:46:51.08]  tuve ahí, antes cada pueblo tenía una sociedad de baile, casino se llamaba, ese casino tenía un bar,
[1:46:51.08]-[1:47:01.08]  y ese bar en aquel momento había gente, y venía gente de Venezuela, incluso a casarse y tal, gastaban dinero,
[1:47:01.08]-[1:47:10.08]  pero bueno, entonces en aquel momento dieron dinero, tuve el bar del casino aquí del pueblo, ha rendado diez años,
[1:47:10.08]-[1:47:25.08]  y crié unos movillos que vendía, en fin, bueno, iba pues más o menos llevando la vida,
[1:47:25.08]-[1:47:45.08]  y ahora mis hijos, pues uno, el más viejo que tengo, trabajó en la central que se era, pero ahora se ha dedicado a las colmenas,
[1:47:45.08]-[1:48:00.08]  es muy aficionado a las colmenas, tiene varias colmenas, tiene bastantes, no sé bien las que tiene, pero lo mejor, tiene doscientas o que se yo,
[1:48:00.08]-[1:48:17.08]  y tiene una casa, sí, pues autorizada por la sanidad, por todo lo que se falta, para su conservación, para lavar la miel, paquetar y que yo,
[1:48:17.08]-[1:48:32.08]  y más bien, aparte que él hace otras cosas más, planta también, recoge, ayuda a los hijos, pero sobre todo se va a hacer también,
[1:48:32.08]-[1:48:48.08]  pues tengo otro, el maestro, y la mujer que vive aquí, está en una casa de madera que está ahí, la mujer que vive aquí, también la maestra,
[1:48:48.08]-[1:48:52.08]  y bueno, y la familia, pues ahí vamos.
[1:48:52.08]-[1:48:55.08]  O sea, que tiene los hijos muy cerca.
[1:48:55.08]-[1:48:56.08]  Sí.
[1:48:56.08]-[1:49:01.08]  ¿No se han ido de la isla? ¿Los hijos no se han ido de la isla?
[1:49:01.08]-[1:49:08.08]  Bueno, el maestro que vive aquí, vivió unos años en Tenerife.
[1:49:08.08]-[1:49:09.08]  Pero aguanto.
[1:49:09.08]-[1:49:13.08]  Pero aguanto otra vez para aquí, la Colación Valverde.
[1:49:13.08]-[1:49:25.08]  El más viejo que murió era policía nacional, que ha estado en la península, después en La Palma se casó, cuando murió dejó tres hijas,
[1:49:25.08]-[1:49:42.08]  una le ha dado por recorrer el mundo, ha estado en muchas partes, en Inglaterra, tuvo unos siete años, después estuvo en Taislania,
[1:49:42.08]-[1:49:53.08]  y después estuvo en Hong Kong, después vino, al año pasado, dijo que no se iba a volver, que iba a vivir en Tenerife,
[1:49:53.08]-[1:50:07.08]  pero después parece que, no sé qué problema hubo con una empleada allí que tuvo problemas de luz, y tuvo unos problemas y estaba de baja.
[1:50:07.08]-[1:50:21.08]  Le dijeron que si quería ir a relevarla, que se lo agradecían porque la necesitaban y tal se fue, más bien por hacerle favor.
[1:50:21.08]-[1:50:37.08]  Y al verano, aguanto vino y un día, hablando, me dijo que en Undecuido se quedaba allá un par de años más.
[1:50:37.08]-[1:50:53.08]  Y le compró un piso en Tenerife, Puerto La Cruz, piso pequeño, pero ahora ella, cuando no tiene una cosa, pida más, ella ahora dice que quería comprar una casa,
[1:50:53.08]-[1:51:07.08]  incluso una casa con algo de terreno. El marido es húngaro, pero eso tiene un vicio por la tierra, para pagar la tierra,
[1:51:07.08]-[1:51:23.08]  suerte que yo tengo un terreno en la carretera que entra para el parador de Turín, y allí hizo un hijo que murió una casita, bueno, que para mí no era,
[1:51:23.08]-[1:51:38.08]  y me dijo que no iba a hacer algo más, y eso ahora tiene una piebre por estar abajo, que cuando llega aquí a Tenerife está pijo bajo, y se entretiene allí en la tierra,
[1:51:38.08]-[1:51:50.08]  y entonces dice que a lo mejor aquí en Tenerife no había las cosas tan claras, que a lo mejor se iba a ir a por el joncón un par de años más.
[1:51:50.08]-[1:51:53.08]  Y ganó más dinero, porque allí ganó dinero.
[1:51:53.08]-[1:52:08.08]  Sí, sí ganó dinero, allí lo he ido bien. Después tengo una hermana de ella, la segunda, está en Tenerife, es maestra, tiene dos niños de menos,
[1:52:08.08]-[1:52:20.08]  son los dos primeros bisnietos, que tienen ya como unos siete años, y después ellas son tres.
[1:52:20.08]-[1:52:39.08]  Después la más chica estaba caprichada en venir aquí para ti para el tierra, y resulta que, bueno, no que yo tenga cantidad de propiedades, pero aquí más arriba
[1:52:39.08]-[1:52:56.08]  tengo lo que se llama dos sitios, pues fueron dos casas con unas huertas cada una y que si yo, y una de las casas le tocó a mis nietas.
[1:52:56.08]-[1:53:13.08]  La parte que el padre murió, pero yo le hice su parte igual que los ti. Y le tocó a sus nietas, después mi noera, la madre, me dijo que si a mí me pasaría bien que hiciera
[1:53:13.08]-[1:53:28.08]  una reforma a la casa, y yo le dije, bueno, le hicieron la casa primeramente, era una casa de las de antes, que no tenía los servicios necesarios.
[1:53:28.08]-[1:53:40.08]  Hoy sí, hoy es una casa que se puede vivir. Entonces ella quiso venir a vivir pa' Lleró, vino pa' acá, está ahí trabajando en el cabino.
[1:53:40.08]-[1:53:57.08]  Y por cierto, no había tenido hijos, están ahora en estado. Y bueno, pues también, porque yo diciendo lo que es, me ayuda un poco más con el tema de la enfermedad de mi mujer,
[1:53:57.08]-[1:54:12.08]  pero mis hijos y mi nieto no me han abandonado, no. Han estado muy pendientes a ayudarme en todo lo que se podía. Y ahí vamos.
[1:54:12.08]-[1:54:27.08]  Pues nos ha dado un testimonio estupendo, de todo lo que nos ha contado. Fantástico. Y no sé si queréis preguntar algo más.
[1:54:27.08]-[1:54:43.08]  Yo ya tengo lo que necesito. ¿A usted le importa decirnos su apellido?
[1:54:43.08]-[1:54:58.08]  Sí. Pues tiene usted la cabeza extraordinariamente, y bueno, todo, para la edad que tiene es estupendo.
[1:54:58.08]-[1:55:05.08]  Usted recuerda muchas cosas. Recuerda muchísimas cosas, y con una claridad, una nitidez.
[1:55:05.08]-[1:55:24.08]  No, en eso no he tenido conocimiento. Casualmente ya estuvo aquí el primo ese de mi señora, que yo lo miro como un primo mío, incluso lo llamamos muy bien.
[1:55:24.08]-[1:55:37.08]  Y estuvo un sobrino mío, y fue una hermana, que vive fijo en frontera. Y bueno, esperamos nombrar al pobrecito este de El Pierrisco,
[1:55:37.08]-[1:55:44.08]  que lo más que ha tenido aquel pobrecito, pues, ha llegado a tener 14 vecinos.
[1:55:44.08]-[1:55:58.08]  Y ahora no tiene ninguno. Ahora tiene un par de ellos que no son ni vecinos, sino unas casas que se fueron abandonando allí, y se fueron vendiendo las casas.
[1:55:58.08]-[1:56:13.08]  Y ahora se han situado allí, yo creo que hay unos cuatro vecinos que son de Las Palmas, y la casa la tienen, compraron casa allí, la reformaron,
